'tamo'	t̪ a m o
Acaz	a k a s
Accra	a k ɾ a
Acebedo	a s e β̞ e ð̞ o
Acebo	a s e β̞ o
Acedo	a s e ð̞ o
Aceituno	a s e i̯ t̪ u n o
Acelhuate	a s e l w̝ a t̪ e
Acero	a s e ɾ o
Acetes	a s e t̪ e s
Acevedo	a s e β̞ e ð̞ o
Aceves	a s e β̞ e s
Achí	a t͡ʃ i
Acnur	a ɣ̞ n u ɾ
Aconcagua	a k õ ŋ k a ɣ̞ w a
Aconchi	a k õ nʲ t͡ʃ i
Acorda	a k o ɾ ð̞ a
Acosta	a k o s t̪ a
Acra	a k ɾ a
Acrópolis	a k ɾ o p o l i s
Acuario	a k w a ɾ j o
Acuña	a k u ɲ a
Ada	a ð̞ a
Adalberto	a ð̞ a l β̞ e ɾ t̪ o
Adam	a ð̞ ã m
Adame	a ð̞ a m e
Adela	a ð̞ e l a
Adelaida	a ð̞ e l a i̯ ð̞ a
Adelardo	a ð̞ e l a ɾ ð̞ o
Adelia	a ð̞ e l j a
Adelina	a ð̞ e l i n a
Adelio	a ð̞ e l j o
Adelita	a ð̞ e l i t̪ a
Adiel	a ð̞ j e l
Adigio	a ð̞ i x j o
Adiguesia	a ð̞ i ɣ̞ e s j a
Adisoda	a ð̞ i s o ð̞ a
Adjuntas	a ð̞ x ũ n̪ t̪ a s
Adolfito	a ð̞ o l f i t̪ o
Adolfo	a ð̞ o l f o
Adolpho	a ð̞ o l f o
Adonai	a ð̞ o n a i̯
Adri	a ð̞ ɾ i
Adriana	a ð̞ ɾ j a n a
Adriano	a ð̞ ɾ j a n o
Adrián	a ð̞ ɾ j ã n
Adriático	a ð̞ ɾ j a t̪ i k o
Adviento	a ð̞ β̞ j ẽ n̪ t̪ o
Advíncula	a ð̞ β̞ ĩ ŋ k u l a
Adán	a ð̞ ã n
Adén	a ð̞ ẽ n
Aedo	a e ð̞ o
Aemet	a e m e t̪
Aeroniense	a e ɾ o n j ẽ n s e
Afamia	a f a m j a
Afanador	a f a n a ð̞ o ɾ
Afganistán	a v ɣ̞ a n i s t̪ ã n
Afrodita	a f ɾ o ð̞ i t̪ a
Agamenón	a ɣ̞ a m e n õ n
Agapito	a ɣ̞ a p i t̪ o
Agar	a ɣ̞ a ɾ
Agaña	a ɣ̞ a ɲ a
Agda	a ɣ̞ ð̞ a
Agostini	a ɣ̞ o s t̪ i n i
Agra	a ɣ̞ ɾ a
Agramonte	a ɣ̞ ɾ a m õ n̪ t̪ e
Agredano	a ɣ̞ ɾ e ð̞ a n o
Aguachica	a ɣ̞ w a t͡ʃ i k a
Aguadas	a ɣ̞ w a ð̞ a s
Aguado	a ɣ̞ w a ð̞ o
Aguas	a ɣ̞ w a s
Aguascalientes	a ɣ̞ w a s k a l j ẽ n̪ t̪ e s
Aguayo	a ɣ̞ w a ʝ o
Aguiar	a ɣ̞ j a ɾ
Aguilar	a ɣ̞ i l a ɾ
Aguilares	a ɣ̞ i l a ɾ e s
Aguilera	a ɣ̞ i l e ɾ a
Aguillón	a ɣ̞ i ʝ õ n
Aguiluz	a ɣ̞ i l u s
Aguinaga	a ɣ̞ i n a ɣ̞ a
Aguinaldo	a ɣ̞ i n a l̪ d̪ o
Aguirre	a ɣ̞ i r e
Agundo	a ɣ̞ ũ n̪ d̪ o
Agustina	a ɣ̞ u s t̪ i n a
Agustín	a ɣ̞ u s t̪ ĩ n
Aguón	a ɣ̞ w õ n
Agún	a ɣ̞ ũ n
Agúndez	a ɣ̞ ũ n̪ d̪ e s
Agüero	a ɣ̞ w e ɾ o
Ahuachapán	a w a t͡ʃ a p ã n
Ahumada	a u̯ m a ð̞ a
Aija	a i̯ x a
Aimar	a i̯ m a ɾ
Ainara	a i̯ n a ɾ a
Ainhoa	a i̯ n o a
Ainoa	a i̯ n o a
Aipe	a i̯ p e
Aispuro	a i̯ s p u ɾ o
Aitana	a i̯ t̪ a n a
Aitor	a i̯ t̪ o ɾ
Aión	a j õ n
Ajanel	a x a n e l
Ajijic	a x i x i k
Akenatón	a k e n a t̪ õ n
Akinetón	a k i n e t̪ õ n
Alabama	a l a β̞ a m a
Alagoas	a l a ɣ̞ o a s
Alajuela	a l a x w e l a
Alameda	a l a m e ð̞ a
Alamilla	a l a m i ʝ a
Alamillo	a l a m i ʝ o
Alarcón	a l a ɾ k õ n
Alaska	a l a s k a
Alatorre	a l a t̪ o r e
Alavez	a l a β̞ e s
Alayón	a l a ʝ õ n
Alba	a l β̞ a
Albacete	a l β̞ a s e t̪ e
Albania	a l β̞ a n j a
Albano	a l β̞ a n o
Albarracín	a l β̞ a r a s ĩ n
Albarrán	a l β̞ a r ã n
Alberche	a l β̞ e ɾ t͡ʃ e
Alberta	a l β̞ e ɾ t̪ a
Alberto	a l β̞ e ɾ t̪ o
Albiceleste	a l β̞ i s e l e s t̪ e
Albina	a l β̞ i n a
Albir	a l β̞ i ɾ
Albireo	a l β̞ i ɾ e o
Albornoz	a l β̞ o ɾ n o s
Albuquerque	a l β̞ u k e ɾ k e
Alburquerque	a l β̞ u ɾ k e ɾ k e
Albíter	a l β̞ i t̪ e ɾ
Alcaide	a l k a i̯ ð̞ e
Alcalatén	a l k a l a t̪ ẽ n
Alcalde	a l k a l̪ d̪ e
Alcalá	a l k a l a
Alcaraz	a l k a ɾ a s
Alcatraz	a l k a t̪ ɾ a s
Alcauter	a l k a u̯ t̪ e ɾ
Alcazarén	a l k a s a ɾ ẽ n
Alcira	a l s i ɾ a
Alcmena	a l ɣ̞ m e n a
Alcmeón	a l ɣ̞ m e õ n
Alcocer	a l k o s e ɾ
Alcorcón	a l k o ɾ k õ n
Alcorán	a l k o ɾ ã n
Alcoser	a l k o s e ɾ
Alcoy	a l k o i̯
Alcubierre	a l k u β̞ j e r e
Alcácer	a l k a s e ɾ
Alcántara	a l k ã n̪ t̪ a ɾ a
Alcázar	a l k a s a ɾ
Alcívar	a l s i β̞ a ɾ
Aldaba	a l̪ d̪ a β̞ a
Aldaco	a l̪ d̪ a k o
Aldama	a l̪ d̪ a m a
Aldana	a l̪ d̪ a n a
Alday	a l̪ d̪ a i̯
Aldebarán	a l̪ d̪ e β̞ a ɾ ã n
Aldeguer	a l̪ d̪ e ɣ̞ e ɾ
Alderete	a l̪ d̪ e ɾ e t̪ e
Aldo	a l̪ d̪ o
Aldonza	a l̪ d̪ õ n s a
Ale	a l e
Alegranza	a l e ɣ̞ ɾ ã n s a
Alegre	a l e ɣ̞ ɾ e
Alegría	a l e ɣ̞ ɾ i a
Aleixandre	a l e i̯ ɣ̞ s ã n̪ d̪ ɾ e
Alejandra	a l e x ã n̪ d̪ ɾ a
Alejandrina	a l e x ã n̪ d̪ ɾ i n a
Alejandrino	a l e x ã n̪ d̪ ɾ i n o
Alejandro	a l e x ã n̪ d̪ ɾ o
Alejandría	a l e x ã n̪ d̪ ɾ i a
Alejandrópolis	a l e x ã n̪ d̪ ɾ o p o l i s
Alejo	a l e x o
Alejándrez	a l e x ã n̪ d̪ ɾ e s
Alemania	a l e m a n j a
Alemán	a l e m ã n
Alentejo	a l ẽ n̪ t̪ e x o
Alepo	a l e p o
Alessandro	a l e s ã n̪ d̪ ɾ o
Alexander	a l e ɣ̞ s ã n̪ d̪ e ɾ
Alexander	a l ɪ ɣ̞ s e ə n̪ d̪ ɚ
Alexander	æ l ɪ ɣ̞ s e ə n̪ d̪ ɚ
Alexandrescu	a l e ɣ̞ s ã n̪ d̪ ɾ e s k u
Alexis	a l e ɣ̞ s i s
Alexópulos	a l e ɣ̞ s o p u l o s
Alfaro	a l f a ɾ o
Alfeche	a l f e t͡ʃ e
Alfonsina	a l f õ n s i n a
Alfonso	a l f õ n s o
Alfredo	a l f ɾ e ð̞ o
Alférez	a l f e ɾ e s
Alfónsez	a l f õ n s e s
Algarbe	a l ɣ̞ a ɾ β̞ e
Algarve	a l ɣ̞ a ɾ β̞ e
Algeciras	a l x e s i ɾ a s
Algete	a l x e t̪ e
Algol	a l ɣ̞ o l
Alguer	a l ɣ̞ e ɾ
Alhambra	a l ã m b ɾ a
Aliaga	a l j a ɣ̞ a
Alicante	a l i k ã n̪ t̪ e
Alicia	a l i s j a
Alina	a l i n a
Alipio	a l i p j o
Alirio	a l i ɾ j o
Aliud	a l j u ð̞
Aljovín	a l x o β̞ ĩ n
Allende	a ʝ ẽ n̪ d̪ e
Alma	a l m a
Almadén	a l m a ð̞ ẽ n
Almagro	a l m a ɣ̞ ɾ o
Almaguer	a l m a ɣ̞ e ɾ
Almanza	a l m ã n s a
Almaraz	a l m a ɾ a s
Almario	a l m a ɾ j o
Almatý	a l m a t̪ i
Almazán	a l m a s ã n
Almeda	a l m e ð̞ a
Almeida	a l m e i̯ ð̞ a
Almendares	a l m ẽ n̪ d̪ a ɾ e s
Almendra	a l m ẽ n̪ d̪ ɾ a
Almendralejo	a l m ẽ n̪ d̪ ɾ a l e x o
Almendras	a l m ẽ n̪ d̪ ɾ a s
Almendárez	a l m ẽ n̪ d̪ a ɾ e s
Almería	a l m e ɾ i a
Almeyda	a l m e i̯ ð̞ a
Almodóvar	a l m o ð̞ o β̞ a ɾ
Almu	a l m u
Almudena	a l m u ð̞ e n a
Almánzar	a l m ã n s a ɾ
Alodia	a l o ð̞ j a
Alondra	a l õ n̪ d̪ ɾ a
Alonso	a l õ n s o
Alpes	a l p e s
Alpízar	a l p i s a ɾ
Alquízar	a l k i s a ɾ
Alsacia	a l s a s j a
Alsasua	a l s a s w a
Altagracia	a l̪ t̪ a ɣ̞ ɾ a s j a
Altamira	a l̪ t̪ a m i ɾ a
Altamirano	a l̪ t̪ a m i ɾ a n o
Altea	a l̪ t̪ e a
Altísimo	a l̪ t̪ i s i m o
Alvarado	a l β̞ a ɾ a ð̞ o
Alvardo	a l β̞ a ɾ ð̞ o
Alvarenga	a l β̞ a ɾ ẽ ŋ ɡ a
Alviar	a l β̞ j a ɾ
Alzaga	a l s a ɣ̞ a
Alzamora	a l s a m o ɾ a
Alzate	a l s a t̪ e
Alzheimer	a l s e i̯ m e ɾ
Alzheimer	a l̪ t̪ s h a i̯ m a
Alá	a l a
Alán	a l ã n
Amadeo	a m a ð̞ e o
Amado	a m a ð̞ o
Amador	a m a ð̞ o ɾ
Amagá	a m a ɣ̞ a
Amalfitano	a m a l f i t̪ a n o
Amalia	a m a l j a
Amancio	a m ã n s j o
Amanda	a m ã n̪ d̪ a
Amapola	a m a p o l a
Amarilla	a m a ɾ i ʝ a
Amarillo	a m a ɾ i ʝ o
Amaro	a m a ɾ o
Amatista	a m a t̪ i s t̪ a
Amaya	a m a ʝ a
Amazonas	a m a s o n a s
Amazonía	a m a s o n i a
Amberes	ã m b e ɾ e s
Ambo	ã m b o
Ambrosini	ã m b ɾ o s i n i
Ameghino	a m e ɣ̞ i n o
Amelia	a m e l j a
Amescua	a m e s k w a
Amezcua	a m e s k w a
Amigo	a m i ɣ̞ o
Ammán	a m ã n
Amor	a m o ɾ
Amorebieta	a m o ɾ e β̞ j e t̪ a
Amoy	a m o i̯
Amparo	ã m p a ɾ o
Amritsar	ã m r i t̪ s a ɾ
Amsterdam	ã m s t̪ e ɾ ð̞ ã m
Amur	a m u ɾ
Amán	a m ã n
América	a m e ɾ i k a
Américas	a m e ɾ i k a s
Américo	a m e ɾ i k o
Amésquita	a m e s k i t̪ a
Amézquita	a m e s k i t̪ a
Amílcar	a m i l k a ɾ
Amón	a m õ n
Amós	a m o s
Ana	a n a
Anabel	a n a β̞ e l
Anacleto	a n a k l e t̪ o
Anahí	a n a i
Analía	a n a l i a
Anamorós	a n a m o ɾ o s
Anampa	a n ã m p a
Ananké	a n ã ŋ k e
Anapa	a n a p a
Anastasia	a n a s t̪ a s j a
Anastasio	a n a s t̪ a s j o
Anatolia	a n a t̪ o l j a
Anaxágoras	a n a ɣ̞ s a ɣ̞ o ɾ a s
Anaya	a n a ʝ a
Ancheta	ã nʲ t͡ʃ e t̪ a
Anchondo	ã nʲ t͡ʃ õ n̪ d̪ o
Ancud	ã ŋ k u ð̞
Anda	ã n̪ d̪ a
Andalucía	ã n̪ d̪ a l u s i a
Andaya	ã n̪ d̪ a ʝ a
Anderson	ã n̪ d̪ e ɾ s õ n
Andes	ã n̪ d̪ e s
Andorra	ã n̪ d̪ o r a
Andoáin	ã n̪ d̪ o ã ĩ n
Andrada	ã n̪ d̪ ɾ a ð̞ a
Andrade	ã n̪ d̪ ɾ a ð̞ e
Andrea	ã n̪ d̪ ɾ e a
Andreu	ã n̪ d̪ ɾ e u̯
André	ã n̪ d̪ ɾ e
Andrés	ã n̪ d̪ ɾ e s
Andrómaca	ã n̪ d̪ ɾ o m a k a
Andrómeda	ã n̪ d̪ ɾ o m e ð̞ a
Anfiarao	ã ɱ f j a ɾ a o
Anfitrión	ã ɱ f i t̪ ɾ j õ n
Anfíloco	ã ɱ f i l o k o
Angat	ã ŋ ɡ a t̪
Angelina	ã ŋ x e l i n a
Angelópolis	ã ŋ x e l o p o l i s
Ango	ã ŋ ɡ o
Angol	ã ŋ ɡ o l
Angola	ã ŋ ɡ o l a
Angora	ã ŋ ɡ o ɾ a
Anguiano	ã ŋ ɡ j a n o
Anguila	ã ŋ ɡ i l a
Angulo	ã ŋ ɡ u l o
Angélica	ã ŋ x e l i k a
Angélina	ã ŋ x e l i n a
Angón	ã ŋ ɡ õ n
Aniceto	a n i s e t̪ o
Anita	a n i t̪ a
Ankara	ã ŋ k a ɾ a
Anorí	a n o ɾ i
Ansaldo	ã n s a l̪ d̪ o
Anselmo	ã n s e l m o
Ansoáin	ã n s o ã ĩ n
Anta	ã n̪ t̪ a
Antananarivo	ã n̪ t̪ a n a n a ɾ i β̞ o
Antauro	ã n̪ t̪ a u̯ ɾ o
Antequera	ã n̪ t̪ e k e ɾ a
Antero	ã n̪ t̪ e ɾ o
Antigua	ã n̪ t̪ i ɣ̞ w a
Antigüedad	ã n̪ t̪ i ɣ̞ w e ð̞ a ð̞
Antilla	ã n̪ t̪ i ʝ a
Antioquia	ã n̪ t̪ j o k j a
Antioquía	ã n̪ t̪ j o k i a
Antlia	ã n̪ t̪ l j a
Antofagasta	ã n̪ t̪ o f a ɣ̞ a s t̪ a
Antonela	ã n̪ t̪ o n e l a
Antonia	ã n̪ t̪ o n j a
Antonieta	ã n̪ t̪ o n j e t̪ a
Antonio	ã n̪ t̪ o n j o
Antonito	ã n̪ t̪ o n i t̪ o
Antártica	ã n̪ t̪ a ɾ t̪ i k a
Antártida	ã n̪ t̪ a ɾ t̪ i ð̞ a
Antístenes	ã n̪ t̪ i s t̪ e n e s
Antón	ã n̪ t̪ õ n
Antúnez	ã n̪ t̪ u n e s
Anubis	a n u β̞ i s
Anunciación	a n ũ n s j a s j õ n
Anzaldo	ã n s a l̪ d̪ o
Anzoátegui	ã n s o a t̪ e ɣ̞ i
Anádir	a n a ð̞ i ɾ
Aníbal	a n i β̞ a l
Aorno	a o ɾ n o
Aoy	a o i̯
Apalaches	a p a l a t͡ʃ e s
Apaneca	a p a n e k a
Aparicio	a p a ɾ i s j o
Apastepeque	a p a s t̪ e p e k e
Apaza	a p a s a
Apeninos	a p e n i n o s
Apia	a p j a
Apocalipsis	a p o k a l i β̞ s i s
Apodaca	a p o ð̞ a k a
Apolinar	a p o l i n a ɾ
Apolinario	a p o l i n a ɾ j o
Apolo	a p o l o
Apolodoro	a p o l o ð̞ o ɾ o
Apolonia	a p o l o n j a
Apolonio	a p o l o n j o
Aponte	a p õ n̪ t̪ e
Apopa	a p o p a
Apulia	a p u l j a
Apure	a p u ɾ e
Apurímac	a p u ɾ i m a k
Apóstol	a p o s t̪ o l
Aqueloo	a k e l o o
Aqueronte	a k e ɾ õ n̪ t̪ e
Aquerón	a k e ɾ õ n
Aquiles	a k i l e s
Aquilino	a k i l i n o
Aquino	a k i n o
Aquise	a k i s e
Aquisgrán	a k i z ɣ̞ ɾ ã n
Aquitania	a k i t̪ a n j a
Arabia	a ɾ a β̞ j a
Araceli	a ɾ a s e l i
Aracely	a ɾ a s e l i
Aracena	a ɾ a s e n a
Aragonés	a ɾ a ɣ̞ o n e s
Aragua	a ɾ a ɣ̞ w a
Aragón	a ɾ a ɣ̞ õ n
Araiza	a ɾ a i̯ s a
Arakaki	a ɾ a k a k i
Arambala	a ɾ ã m b a l a
Aramburo	a ɾ ã m b u ɾ o
Arana	a ɾ a n a
Arancha	a ɾ ã nʲ t͡ʃ a
Arancibia	a ɾ ã n s i β̞ j a
Aranda	a ɾ ã n̪ d̪ a
Arandia	a ɾ ã n̪ d̪ j a
Araneta	a ɾ a n e t̪ a
Arango	a ɾ ã ŋ ɡ o
Aranjuez	a ɾ ã ŋ x w e s
Arantxa	a ɾ ã nʲ t͡ʃ a
Aranza	a ɾ ã n s a
Aratoca	a ɾ a t̪ o k a
Arauca	a ɾ a u̯ k a
Araucanía	a ɾ a u̯ k a n i a
Arauco	a ɾ a u̯ k o
Araujo	a ɾ a u̯ x o
Arauz	a ɾ a u̯ s
Araújo	a ɾ a u x o
Araújo	a ɾ a u̯ x o
Arbaiza	a ɾ β̞ a i̯ s a
Arbeláez	a ɾ β̞ e l a e s
Arboleda	a ɾ β̞ o l e ð̞ a
Arcabuco	a ɾ k a β̞ u k o
Arcadia	a ɾ k a ð̞ j a
Arcatao	a ɾ k a t̪ a o
Arcaya	a ɾ k a ʝ a
Arce	a ɾ s e
Arceaga	a ɾ s e a ɣ̞ a
Arceo	a ɾ s e o
Archibeque	a ɾ t͡ʃ i β̞ e k e
Archuleta	a ɾ t͡ʃ u l e t̪ a
Arcilla	a ɾ s i ʃ a
Arcilla	a ɾ s i ʝ a
Ardecha	a ɾ ð̞ e t͡ʃ a
Ardenas	a ɾ ð̞ e n a s
Arecibo	a ɾ e s i β̞ o
Arellano	a ɾ e ʝ a n o
Arenas	a ɾ e n a s
Arencibia	a ɾ ẽ n s i β̞ j a
Arequipa	a ɾ e k i p a
Ares	a ɾ e s
Areópago	a ɾ e o p a ɣ̞ o
Argel	a ɾ x e l
Argelia	a ɾ x e l j a
Argentina	a ɾ x ẽ n̪ t̪ i n a
Argentinazo	a ɾ x ẽ n̪ t̪ i n a s o
Argento	a ɾ x ẽ n̪ t̪ o
Argenzuela	a ɾ x ẽ n s w e l a
Argo	a ɾ ɣ̞ o
Argos	a ɾ ɣ̞ o s
Argote	a ɾ ɣ̞ o t̪ e
Argueta	a ɾ ɣ̞ e t̪ a
Argólide	a ɾ ɣ̞ o l i ð̞ e
Argüelles	a ɾ ɣ̞ w e ʝ e s
Ariana	a ɾ j a n a
Arias	a ɾ j a s
Arica	a ɾ i k a
Ariel	a ɾ i e l
Ariel	a ɾ j e l
Aries	a ɾ j e s
Arisméndez	a ɾ i z m ẽ n̪ d̪ e s
Aristeo	a ɾ i s t̪ e o
Aristizábal	a ɾ i s t̪ i s a β̞ a l
Aristófanes	a ɾ i s t̪ o f a n e s
Aristóteles	a ɾ i s t̪ o t̪ e l e s
Arizaga	a ɾ i s a ɣ̞ a
Arizona	a ɾ i s o n a
Arjona	a ɾ x o n a
Arkansas	a ɾ k ã n s a s
Armagedón	a ɾ m a x e ð̞ õ n
Armando	a ɾ m ã n̪ d̪ o
Armañac	a ɾ m a ɲ a k
Armendáriz	a ɾ m ẽ n̪ d̪ a ɾ i s
Armenia	a ɾ m e n j a
Arnaiz	a ɾ n a i̯ s
Arnoldo	a ɾ n o l̪ d̪ o
Arnulfo	a ɾ n u l f o
Aro	a ɾ o
Arredondo	a r e ð̞ õ n̪ d̪ o
Arriaga	a r j a ɣ̞ a
Arriaza	a r j a s a
Arrieta	a r j e t̪ a
Arrio	a r j o
Arriola	a r j o l a
Arroyo	a r o ʝ o
Arteaga	a ɾ t̪ e a ɣ̞ a
Artemio	a ɾ t̪ e m j o
Artemisa	a ɾ t̪ e m i s a
Artiaga	a ɾ t̪ j a ɣ̞ a
Artigas	a ɾ t̪ i ɣ̞ a s
Artola	a ɾ t̪ o l a
Arturo	a ɾ t̪ u ɾ o
Aruba	a ɾ u β̞ a
Aruküla	a ɾ u k u l a
Arvayo	a ɾ β̞ a ʝ o
Arzadun	a ɾ s a ð̞ ũ n
Arzaga	a ɾ s a ɣ̞ a
Arzate	a ɾ s a t̪ e
Arzolar	a ɾ s o l a ɾ
Arzuaga	a ɾ s w a ɣ̞ a
Arámbulo	a ɾ ã m b u l o
Arámburo	a ɾ ã m b u ɾ o
Arámburu	a ɾ ã m b u ɾ u
Aránzazu	a ɾ ã n s a s u
Aréchiga	a ɾ e t͡ʃ i ɣ̞ a
Arévalo	a ɾ e β̞ a l o
Ascención	a s ẽ n s j õ n
Ascensión	a s ẽ n s j õ n
Asclepio	a s k l e p j o
Asdrúbal	a z ð̞ ɾ u β̞ a l
Asebedo	a s e β̞ e ð̞ o
Aser	a s e ɾ
Asfura	a s f u ɾ a
Asia	a s j a
Asiago	a s j a ɣ̞ o
Asiria	a s i ɾ j a
Asjabad	a s x a β̞ a ð̞
Asmara	a z m a ɾ a
Aspilcueta	a s p i l k w e t̪ a
Assam	a s ã m
Astaná	a s t̪ a n a
Astiages	a s t̪ j a x e s
Astorga	a s t̪ o ɾ ɣ̞ a
Astracán	a s t̪ ɾ a k ã n
Astrea	a s t̪ ɾ e a
Astudillo	a s t̪ u ð̞ i ʝ o
Asturias	a s t̪ u ɾ j a s
Asuero	a s w e ɾ o
Asun	a s ũ n
Asunción	a s ũ n s j õ n
Asís	a s i s
Atacama	a t̪ a k a m a
Atalaya	a t̪ a l a ʝ a
Atenas	a t̪ e n a s
Atencio	a t̪ ẽ n s j o
Atenea	a t̪ e n e a
Athanasia	a t̪ a n a s j a
Atienza	a t̪ j ẽ n s a
Atiquizaya	a t̪ i k i s a ʝ a
Atlanta	a t̪ l ã n̪ t̪ a
Atlas	a t̪ l a s
Atleti	a t̪ l e t̪ i
Atlántico	a t̪ l ã n̪ t̪ i k o
Atlántida	a t̪ l ã n̪ t̪ i ð̞ a
Atlético	a t̪ l e t̪ i k o
Atmán	a ð̞ m ã n
Atropatena	a t̪ ɾ o p a t̪ e n a
Auckland	o k l ã n̪ d̪
Audelia	a u̯ ð̞ e l j a
Augusto	a u̯ ɣ̞ u s t̪ o
Augustín	a u̯ ɣ̞ u s t̪ ĩ n
Aurelia	a u̯ ɾ e l j a
Aureliano	a u̯ ɾ e l j a n o
Aurelio	a u̯ ɾ e l j o
Auristela	a u̯ ɾ i s t̪ e l a
Aurora	a u̯ ɾ o ɾ a
Auschwitz	a u̯ ʃ β̞ i t̪ s
Austin	a u̯ s t̪ ĩ n
Austin	a w s t̪ ĩ n
Austin	o s t̪ ĩ n
Australasia	a u̯ s t̪ ɾ a l a s j a
Australia	a u̯ s t̪ ɾ a l j a
Austrasia	a u̯ s t̪ ɾ a s j a
Austria	a u̯ s t̪ ɾ j a
Auvernia	a u̯ β̞ e ɾ n j a
Avelar	a β̞ e l a ɾ
Avelina	a β̞ e l i n a
Avelino	a β̞ e l i n o
Avellaneda	a β̞ e ʝ a n e ð̞ a
Avellano	a β̞ e ʝ a n o
Avempace	a β̞ ẽ m p a s e
Avendaño	a β̞ ẽ n̪ d̪ a ɲ o
Avicena	a β̞ i s e n a
Avilés	a β̞ i l e s
Aviñón	a β̞ i ɲ õ n
Ayacucho	a ʝ a k u t͡ʃ o
Ayala	a ʝ a l a
Ayaria	a ʝ a ɾ j a
Ayerbe	a ʝ e ɾ β̞ e
Ayerve	a ʝ e ɾ β̞ e
Ayllón	a i̯ ʝ õ n
Aylwin	e l w ĩ n
Aymaraes	a i̯ m a ɾ a e s
Aysén	a i̯ s ẽ n
Ayuso	a ʝ u s o
Ayutuxtepeque	a ʝ u t̪ u ɣ̞ s t̪ e p e k e
Azacualpa	a s a k w a l p a
Azaña	a s a ɲ a
Azcapotzalco	a s k a p o t̪ s a l k o
Azcoitia	a s k o i̯ t̪ j a
Azerbaiyán	a s e ɾ β̞ a i̯ ʝ ã n
Azerbayán	a s e ɾ β̞ a ʝ ã n
Aznar	a z n a ɾ
Azores	a s o ɾ e s
Azpeitia	a s p e i̯ t̪ j a
Azpíllaga	a s p i ʃ a ɣ̞ a
Azpíllaga	a s p i ʝ a ɣ̞ a
Azrael	a z r a e l
Azuara	a s w a ɾ a
Azuay	a s w a i̯
Azucena	a s u s e n a
Azul	a s u l
Azurmendi	a s u ɾ m ẽ n̪ d̪ i
Aída	a i ð̞ a
Aínsa	a ĩ n s a
Aýna	a i n a
BBC	b e β̞ e s e
BOPE	b o p e
BRICS	b ɾ i ɣ̞ s
Babel	b a β̞ e l
Babia	b a β̞ j a
Babilonia	b a β̞ i l o n j a
Bacallao	b a k a ʝ a o
Bachicha	b a t͡ʃ i t͡ʃ a
Bachiller	b a t͡ʃ i ʝ e ɾ
Bacilio	b a s i l j o
Baco	b a k o
Bacoor	b a k o o ɾ
Bacólod	b a k o l o ð̞
Badajoz	b a ð̞ a x o s
Badalona	b a ð̞ a l o n a
Baeza	b a e s a
Bagadó	b a ɣ̞ a ð̞ o
Bagdad	b a ɣ̞ ð̞ a ð̞
Bahamas	b a a m a s
Bahrein	b a ɾ ẽ ĩ n
Bahréin	b a ɦ ɾ ẽ ĩ̯ n
Bahréin	b a ɾ ẽ ĩ n
Bailarín	b a i̯ l a ɾ ĩ n
Baires	b a i̯ ɾ e s
Baker	b a k e ɾ
Bakú	b a k u
Balaguer	b a l a ɣ̞ e ɾ
