ア	a̠
アウトロー	a̠ ɯ̟ᵝ t o̞ ɾ o̞ː
アウフヘーベン	a̠ ɯ̟ᵝ ɸ ɯ̟ᵝ h e̞ː b ẽ̞ ɴ
アウローラ	a̠ ɯ̟ᵝ ɾ o̞ː ɾ a̠
アエロフロート	a̠ e̞ ɾ o̞ ɸ ɯ̟ᵝ ɾ o̞ː t o̞
アオザイ	a̠ o̞ z a̠ i
アカウント	a̠ k a̠ ɯ̟̃ᵝ n t o̞
アカシア	a̠ k a̠ ɕ i a̠
アカデミー	a̠ k a̠ d e̞ mʲ iː
アカペラ	a̠ k a̠ p e̞ ɾ a̠
アガメムノーン	a̠ ɡ a̠ m e̞ m ɯ̟ᵝ n õ̞ː ɴ
アキレウス	a̠ kʲ i ɾ e̞ ɯ̟ᵝ s ɨᵝ
アギラレス	a̠ ɡʲ i ɾ a̠ ɾ e̞ s ɨᵝ
アクアウオーキング	a̠ k ɯ̟ᵝ a̠ ɯ̟ᵝ o̞ː kʲ ĩ ŋ ɡ ɯ̟ᵝ
アクアサイズ	a̠ k ɯ̟ᵝ a̠ s a̠ i z ɨᵝ
アクアビクス	a̠ k ɯ̟ᵝ a̠ bʲ i k ɯ̟ᵝ s ɨᵝ
アクアマリン	a̠ k ɯ̟ᵝ a̠ m a̠ ɾʲ ĩ ɴ
アクアリウム	a̠ k ɯ̟ᵝ a̠ ɾʲ i ɯ̟ᵝ m ɯ̟ᵝ
アクサン	a̠ k ɯ̟ᵝ s ã̠ ɴ
アクサンテギュ	a̠ k ɯ̟ᵝ s ã̠ n t e̞ ɡʲ ɨᵝ
アクシス	a̠ k ɯ̟ᵝ ɕ i s ɨᵝ
アクシスジカ	a̠ k ɯ̟ᵝ ɕ i s ɨᵝ ʑ i k a̠
アクシデント	a̠ k ɯ̟̊ᵝ ɕ i d ẽ̞ n t o̞
アクション	a̠ k ɯ̟̊ᵝ ɕ õ̞ ɴ
アクスタ	a̠ k ɯ̟ᵝ s ɨᵝ t a̠
アクセ	a̠ k ɯ̟ᵝ s e̞
アクセサリー	a̠ k ɯ̟̊ᵝ s e̞ s a̠ ɾʲ iː
アクセシビリティ	a̠ k ɯ̟ᵝ s e̞ ɕ i bʲ i ɾʲ i tʲ i
アクセシビリティー	a̠ k ɯ̟ᵝ s e̞ ɕ i bʲ i ɾʲ i tʲ iː
アクセス	a̠ k ɯ̟̊ᵝ s e̞ s ɨᵝ
アクセント	a̠ k ɯ̟̊ᵝ s ẽ̞ n t o̞
アクチニウム	a̠ k ɯ̟̊ᵝ t͡ɕ i ɲ̟ i ɯ̟ᵝ m ɯ̟ᵝ
アクチニド	a̠ k ɯ̟̊ᵝ t͡ɕ i ɲ̟ i d o̞
アクチノイド	a̠ k ɯ̟̊ᵝ t͡ɕ i n o̞ i d o̞
アクメ	a̠ k ɯ̟ᵝ m e̞
アクラ	a̠ k ɯ̟ᵝ ɾ a̠
アクリジン	a̠ k ɯ̟ᵝ ɾʲ i ʑ ĩ ɴ
アクリル	a̠ k ɯ̟ᵝ ɾʲ i ɾ ɯ̟ᵝ
アクロバット	a̠ k ɯ̟ᵝ ɾ o̞ b a̠ t̚ t o̞
アグアスカリエンテス	a̠ ɡ ɯ̟ᵝ a̠ s ɨᵝ k a̠ ɾʲ i ẽ̞ n t e̞ s ɨᵝ
アグリコン	a̠ ɡ ɯ̟ᵝ ɾʲ i k õ̞ ɴ
アグレット	a̠ ɡ ɯ̟ᵝ ɾ e̞ t̚ t o̞
アグワスカリエンテス	a̠ ɡ ɯ̟ᵝ ɰᵝ a̠ s ɨᵝ k a̠ ɾʲ i ẽ̞ n t e̞ s ɨᵝ
アケローン	a̠ k e̞ ɾ õ̞ː ɴ
アコーディオン	a̠ k o̞ː dʲ i õ̞ ɴ
アコーデオン	a̠ k o̞ː d e̞ õ̞ ɴ
アサイ	a̠ s a̠ i
アサイー	a̠ s a̠ iː
アシ	a̠ ɕ i
アシガバート	a̠ ɕ i ɡ a̠ b a̠ː t o̞
アシスタント	a̠ ɕ i s ɨ̥ᵝ t ã̠ n t o̞
アシル	a̠ ɕ i ɾ ɯ̟ᵝ
アジ	a̠ ʑ i
アジア	a̠ ʑ i a̠
アジスアベバ	a̠ ʑ i s ɨᵝ a̠ b e̞ b a̠
アジト	a̠ ʑ i t o̞
アジャスト	a̠ ʑ a̠ s ɨᵝ t o̞
アジヤ	a̠ ʑ i j a̠
アスガルズ	a̠ s ɨᵝ ɡ a̠ ɾ ɯ̟ᵝ z ɨᵝ
アスガルト	a̠ s ɨᵝ ɡ a̠ ɾ ɯ̟ᵝ t o̞
アスガルド	a̠ s ɨᵝ ɡ a̠ ɾ ɯ̟ᵝ d o̞
アスガード	a̠ s ɨᵝ ɡ a̠ː d o̞
アスタチン	a̠ s ɨᵝ t a̠ t͡ɕ ĩ ɴ
アステカ	a̠ s ɨ̥ᵝ t e̞ k a̠
アステリスク	a̠ s ɨ̥ᵝ t e̞ ɾʲ i s ɨ̥ᵝ k ɯ̟ᵝ
アストリア	a̠ s ɨᵝ t o̞ ɾʲ i a̠
アストリヤ	a̠ s ɨᵝ t o̞ ɾʲ i j a̠
アストレア	a̠ s ɨᵝ t o̞ ɾ e̞ a̠
アストロターフ	a̠ s ɨᵝ t o̞ ɾ o̞ t a̠ː ɸ ɯ̟ᵝ
アスパラ	a̠ s ɨᵝ p a̠ ɾ a̠
アスパラガス	a̠ s ɨ̥ᵝ p a̠ ɾ a̠ ɡ a̠ s ɨᵝ
アスパラギン	a̠ s ɨᵝ p a̠ ɾ a̠ ɡʲ ĩ ɴ
アスピック	a̠ s ɨᵝ pʲ i k̚ k ɯ̟ᵝ
アスピリン	a̠ s ɨ̥ᵝ pʲ i ɾʲ ĩ ɴ
アスファルト	a̠ s ɨ̥ᵝ ɸ a̠ ɾ ɯ̟ᵝ t o̞
アスベスト	a̠ s ɨᵝ b e̞ s ɨ̥ᵝ t o̞
アスペ	a̠ s ɨᵝ p e̞
アスペルギルス	a̠ s ɨᵝ p e̞ ɾ ɯ̟ᵝ ɡʲ i ɾ ɯ̟ᵝ s ɨᵝ
アスリート	a̠ s ɨᵝ ɾʲ iː t o̞
アスレチック	a̠ s ɨᵝ ɾ e̞ t͡ɕ i̥ k̚ k ɯ̟ᵝ
アスンシオン	a̠ s ɨ̃ᵝ ɰ̃ ɕ i õ̞ ɴ
アズレン	a̠ z ɨᵝ ɾ ẽ̞ ɴ
アセチレン	a̠ s e̞ t͡ɕ i ɾ ẽ̞ ɴ
アセティシズム	a̠ s e̞ tʲ i ɕ i z ɨᵝ m ɯ̟ᵝ
アセナフテン	a̠ s e̞ n a̠ ɸ ɯ̟ᵝ t ẽ̞ ɴ
アゼチジン	a̠ z e̞ t͡ɕ i ʑ ĩ ɴ
アゼルバイジャン	a̠ z e̞ ɾ ɯ̟ᵝ b a̠ i ʑ ã̠ ɴ
アゾール	a̠ z o̞ː ɾ ɯ̟ᵝ
アタック	a̠ t a̠ k̚ k ɯ̟ᵝ
アタッシェ	a̠ t a̠ ɕː e̞
アタリ	a̠ t a̠ ɾʲ i
アダム	a̠ d a̠ m ɯ̟ᵝ
アダムズ	a̠ d a̠ m ɯ̟ᵝ z ɨᵝ
アダルティ	a̠ d a̠ ɾ ɯ̟ᵝ tʲ i
アダルティック	a̠ d a̠ ɾ ɯ̟ᵝ tʲ i k̚ k ɯ̟ᵝ
アダルティー	a̠ d a̠ ɾ ɯ̟ᵝ tʲ iː
アダルト	a̠ d a̠ ɾ ɯ̟ᵝ t o̞
アダルトビデオ	a̠ d a̠ ɾ ɯ̟ᵝ t o̞ bʲ i d e̞ o̞
アックス	a̠ k̚ k ɯ̟ᵝ s ɨᵝ
アッサム	a̠ sː a̠ m ɯ̟ᵝ
アッシリア	a̠ ɕː i ɾʲ i a̠
アッシー	a̠ ɕː iː
アット	a̠ t̚ t o̞
アットホーム	a̠ t̚ t o̞ h o̞ː m ɯ̟ᵝ
アッパー	a̠ p̚ p a̠ː
アッピール	a̠ p̚ʲ pʲ iː ɾ ɯ̟ᵝ
アップ	a̠ p̚ p ɯ̟ᵝ
アップテンポ	a̠ p̚ p ɯ̟ᵝ t ẽ̞ m p o̞
アップリケ	a̠ p̚ p ɯ̟ᵝ ɾʲ i k e̞
アップル	a̠ p̚ p ɯ̟ᵝ ɾ ɯ̟ᵝ
アップローダー	a̠ p̚ p ɯ̟ᵝ ɾ o̞ː d a̠ː
アップロード	a̠ p̚ p ɯ̟ᵝ ɾ o̞ː d o̞
アッラー	a̠ ɾ̚ ɾ a̠ː
アッラーフ	a̠ ɾ̚ ɾ a̠ː ɸ ɯ̟ᵝ
アテネ	a̠ t e̞ n e̞
アテーナー	a̠ t e̞ː n a̠ː
アディダス	a̠ dʲ i d a̠ s ɨᵝ
アデュー	a̠ dʲ ɨᵝː
アトピー	a̠ t o̞ pʲ iː
アトム	a̠ t o̞ m ɯ̟ᵝ
アトラクション	a̠ t o̞ ɾ a̠ k ɯ̟ᵝ ɕ õ̞ ɴ
アトランティス	a̠ t o̞ ɾ ã̠ n tʲ i s ɨᵝ
アトリウム	a̠ t o̞ ɾʲ i ɯ̟ᵝ m ɯ̟ᵝ
アトリエ	a̠ t o̞ ɾʲ i e̞
アド	a̠ d o̞
アドバイザー	a̠ d o̞ b a̠ i z a̠ː
アドバイス	a̠ d o̞ b a̠ i s ɨ̥ᵝ
アドバンテージ	a̠ d o̞ b ã̠ n t e̞ː ʑ i
アドベ	a̠ d o̞ b e̞
アドベンチュア	a̠ d o̞ b ẽ̞ ɲ̟ t͡ɕ ɨᵝ a̠
アドラブル	a̠ d o̞ ɾ a̠ b ɯ̟ᵝ ɾ ɯ̟ᵝ
アドリブ	a̠ d o̞ ɾʲ i b ɯ̟ᵝ
アドレナリン	a̠ d o̞ ɾ e̞ n a̠ ɾʲ ĩ ɴ
アナ	a̠ n a̠
アナウンサー	a̠ n a̠ ɯ̟̃ᵝ ɰ̃ s a̠ː
アナウンス	a̠ n a̠ ɯ̟̃ᵝ ɰ̃ s ɨᵝ
アナウンスメント	a̠ n a̠ ɯ̟̃ᵝ ɰ̃ s ɨᵝ m ẽ̞ n t o̞
アナキスト	a̠ n a̠ kʲ i s ɨ̥ᵝ t o̞
アナキズム	a̠ n a̠ kʲ i z ɨᵝ m ɯ̟ᵝ
アナグラム	a̠ n a̠ ɡ ɯ̟ᵝ ɾ a̠ m ɯ̟ᵝ
アナグリフ	a̠ n a̠ ɡ ɯ̟ᵝ ɾʲ i ɸ ɯ̟ᵝ
アナコンダ	a̠ n a̠ k õ̞ n d a̠
アナザー	a̠ n a̠ z a̠ː
アナフィラキシー	a̠ n a̠ ɸʲ i ɾ a̠ kʲ i ɕ iː
アナログ	a̠ n a̠ ɾ o̞ ɡ ɯ̟ᵝ
アナーキスト	a̠ n a̠ː kʲ i s ɨ̥ᵝ t o̞
アナーキズム	a̠ n a̠ː kʲ i z ɨᵝ m ɯ̟ᵝ
アニオン	a̠ ɲ̟ i õ̞ ɴ
アニサキス	a̠ ɲ̟ i s a̠ kʲ i s ɨᵝ
アニマンガ	a̠ ɲ̟ i m ã̠ ŋ ɡ a̠
アニメ	a̠ ɲ̟ i m e̞
アニメーション	a̠ ɲ̟ i m e̞ː ɕ õ̞ ɴ
アニメーションスタジオ	a̠ ɲ̟ i m e̞ː ɕ õ̞ ɰ̃ s ɨᵝ t a̠ ʑ i o̞
アニリン	a̠ ɲ̟ i ɾʲ ĩ ɴ
アネクドート	a̠ n e̞ k ɯ̟ᵝ d o̞ː t o̞
アノア	a̠ n o̞ a̠
アノラック	a̠ n o̞ ɾ a̠ k̚ k ɯ̟ᵝ
アノード	a̠ n o̞ː d o̞
アバカス	a̠ b a̠ k a̠ s ɨᵝ
アバサー	a̠ b a̠ s a̠ː
アバター	a̠ b a̠ t a̠ː
アバン	a̠ b ã̠ ɴ
アバンギャルド	a̠ b ã̠ ŋʲ ɡʲ a̠ ɾ ɯ̟ᵝ d o̞
アバンタイトル	a̠ b ã̠ n t a̠ i t o̞ ɾ ɯ̟ᵝ
アパタイト	a̠ p a̠ t a̠ i t o̞
アパルトヘイト	a̠ p a̠ ɾ ɯ̟ᵝ t o̞ h e̞ː t o̞
アパート	a̠ p a̠ː t o̞
アヒージョ	a̠ ç iː ʑ o̞
アビシニアン	a̠ bʲ i ɕ i ɲ̟ i ã̠ ɴ
アピ	a̠ pʲ i
アピア	a̠ pʲ i a̠
アピール	a̠ pʲ iː ɾ ɯ̟ᵝ
アフィ	a̠ ɸʲ i
アフィリエイト	a̠ ɸʲ i ɾʲ i e̞ː t o̞
アフォ	a̠ ɸ o̞
アフガニスタン	a̠ ɸ ɯ̟ᵝ ɡ a̠ ɲ̟ i s ɨᵝ t ã̠ ɴ
アフガン	a̠ ɸ ɯ̟ᵝ ɡ ã̠ ɴ
アフターサービス	a̠ ɸ ɯ̟ᵝ t a̠ː s a̠ː bʲ i s ɨᵝ
アフターバーナー	a̠ ɸ ɯ̟̊ᵝ t a̠ː b a̠ː n a̠ː
アフリカ	a̠ ɸ ɯ̟ᵝ ɾʲ i k a̠
アフレコ	a̠ ɸ ɯ̟ᵝ ɾ e̞ k o̞
アブサン	a̠ b ɯ̟ᵝ s ã̠ ɴ
アブダビ	a̠ b ɯ̟ᵝ d a̠ bʲ i
アブラギッシュ	a̠ b ɯ̟ᵝ ɾ a̠ ɡʲ i ɕː ɯ̟ᵝ
アブラムシ	a̠ b ɯ̟ᵝ ɾ a̠ m ɯ̟ᵝ ɕ i
アプデ	a̠ p ɯ̟ᵝ d e̞
アプライアンス	a̠ p ɯ̟ᵝ ɾ a̠ i ã̠ ɰ̃ s ɨᵝ
アプリオリ	a̠ p ɯ̟ᵝ ɾʲ i o̞ ɾʲ i
アプリケーション	a̠ p ɯ̟ᵝ ɾʲ i k e̞ː ɕ õ̞ ɴ
アプロディーテー	a̠ p ɯ̟ᵝ ɾ o̞ dʲ iː t e̞ː
アヘアヘ	a̠ h e̞ a̠ h e̞
アベガー	a̠ b e̞ ɡ a̠ː
アベック	a̠ b e̞ k̚ k ɯ̟ᵝ
アベノセイダーズ	a̠ b e̞ n o̞ s e̞ː d a̠ː z ɨᵝ
アベノマスク	a̠ b e̞ n o̞ m a̠ s ɨᵝ k ɯ̟ᵝ
アベノミクス	a̠ b e̞ n o̞ mʲ i k ɯ̟ᵝ s ɨᵝ
アベル	a̠ b e̞ ɾ ɯ̟ᵝ
アペタイザー	a̠ p e̞ t a̠ i z a̠ː
アホロートル	a̠ h o̞ ɾ o̞ː t o̞ ɾ ɯ̟ᵝ
アボカド	a̠ b o̞ k a̠ d o̞
アポ	a̠ p o̞
アポイントメント	a̠ p o̞ ĩ n t o̞ m ẽ̞ n t o̞
アポストロフィ	a̠ p o̞ s ɨ̥ᵝ t o̞ ɾ o̞ ɸʲ i
アポロー	a̠ p o̞ ɾ o̞ː
アポローン	a̠ p o̞ ɾ õ̞ː ɴ
アマゾーン	a̠ m a̠ z õ̞ː ɴ
アマビエ	a̠ m a̠ bʲ i e̞
アミ	a̠ mʲ i
アミジン	a̠ mʲ i ʑ ĩ ɴ
アミド	a̠ mʲ i d o̞
アミノ	a̠ mʲ i n o̞
アミン	a̠ mʲ ĩ ɴ
アムカ	a̠ m ɯ̟ᵝ k a̠
アムピトリーテー	a̠ m ɯ̟ᵝ pʲ i t o̞ ɾʲ iː t e̞ː
アムラー	a̠ m ɯ̟ᵝ ɾ a̠ː
アメシスト	a̠ m e̞ ɕ i s ɨ̥ᵝ t o̞
アメピン	a̠ m e̞ pʲ ĩ ɴ
アメフト	a̠ m e̞ ɸ ɯ̟̊ᵝ t o̞
アメポチ	a̠ m e̞ p o̞ t͡ɕ i
アメリカ	a̠ m e̞ ɾʲ i k a̠
アメリカオオアカイカ	a̠ m e̞ ɾʲ i k a̠ o̞ː a̠ k a̠ i k a̠
アメリカグマ	a̠ m e̞ ɾʲ i k a̠ ɡ ɯ̟ᵝ m a̠
アメリカムシクイ	a̠ m e̞ ɾʲ i k a̠ m ɯ̟ᵝ ɕ i k ɯ̟ᵝ i
アメリカン	a̠ m e̞ ɾʲ i k ã̠ ɴ
アメリカンドッグ	a̠ m e̞ ɾʲ i k ã̠ n d o̞ ɡ̚ ɡ̊ ɯ̟ᵝ
アメリシウム	a̠ m e̞ ɾʲ i ɕ i ɯ̟ᵝ m ɯ̟ᵝ
アメージング	a̠ m e̞ː ʑ ĩ ŋ ɡ ɯ̟ᵝ
アメーバ	a̠ m e̞ː b a̠
アヤトラ	a̠ j a̠ t o̞ ɾ a̠
アヤワスカ	a̠ j a̠ ɰᵝ a̠ s ɨᵝ k a̠
アラゴン	a̠ ɾ a̠ ɡ õ̞ ɴ
アラサー	a̠ ɾ a̠ s a̠ː
アラザン	a̠ ɾ a̠ z ã̠ ɴ
アラジン	a̠ ɾ a̠ ʑ ĩ ɴ
アラニン	a̠ ɾ a̠ ɲ̟ ĩ ɴ
アラバスター	a̠ ɾ a̠ b a̠ s ɨᵝ t a̠ː
アラフォー	a̠ ɾ a̠ ɸ o̞ː
アラブ	a̠ ɾ a̠ b ɯ̟ᵝ
アラメダ	a̠ ɾ a̠ m e̞ d a̠
アラレガコ	a̠ ɾ a̠ ɾ e̞ ɡ a̠ k o̞
アラン	a̠ ɾ ã̠ ɴ
アラー	a̠ ɾ a̠ː
アラーム	a̠ ɾ a̠ː m ɯ̟ᵝ
アリゲーター	a̠ ɾʲ i ɡ e̞ː t a̠ː
アリゾナ	a̠ ɾʲ i z o̞ n a̠
アリツカゲラ	a̠ ɾʲ i t͡s ɨᵝ k a̠ ɡ e̞ ɾ a̠
アリバイ	a̠ ɾʲ i b a̠ i
アルカイ	a̠ ɾ ɯ̟ᵝ k a̠ i
アルカリ	a̠ ɾ ɯ̟ᵝ k a̠ ɾʲ i
アルカン	a̠ ɾ ɯ̟ᵝ k ã̠ ɴ
アルカーイダ	a̠ ɾ ɯ̟ᵝ k a̠ː i d a̠
アルキン	a̠ ɾ ɯ̟ᵝ kʲ ĩ ɴ
アルギニン	a̠ ɾ ɯ̟ᵝ ɡʲ i ɲ̟ ĩ ɴ
アルケン	a̠ ɾ ɯ̟ᵝ k ẽ̞ ɴ
アルケー	a̠ ɾ ɯ̟ᵝ k e̞ː
アルコーブ	a̠ ɾ ɯ̟ᵝ k o̞ː b ɯ̟ᵝ
アルコール	a̠ ɾ ɯ̟ᵝ k o̞ː ɾ ɯ̟ᵝ
アルゴリズム	a̠ ɾ ɯ̟ᵝ ɡ o̞ ɾʲ i z ɨᵝ m ɯ̟ᵝ
アルゴン	a̠ ɾ ɯ̟ᵝ ɡ õ̞ ɴ
アルシン	a̠ ɾ ɯ̟ᵝ ɕ ĩ ɴ
アルジェ	a̠ ɾ ɯ̟ᵝ ʑ e̞
アルジェリア	a̠ ɾ ɯ̟ᵝ ʑ e̞ ɾʲ i a̠
アルゼンチン	a̠ ɾ ɯ̟ᵝ z ẽ̞ ɲ̟ t͡ɕ ĩ ɴ
アルタイル	a̠ ɾ ɯ̟ᵝ t a̠ i ɾ ɯ̟ᵝ
アルダム	a̠ ɾ ɯ̟ᵝ d a̠ m ɯ̟ᵝ
アルテミス	a̠ ɾ ɯ̟ᵝ t e̞ mʲ i s ɨᵝ
アルテルナリア	a̠ ɾ ɯ̟ᵝ t e̞ ɾ ɯ̟ᵝ n a̠ ɾʲ i a̠
アルデヒド	a̠ ɾ ɯ̟ᵝ d e̞ ç i d o̞
アルデンテ	a̠ ɾ ɯ̟ᵝ d ẽ̞ n t e̞
アルト	a̠ ɾ ɯ̟ᵝ t o̞
アルトオーボエ	a̠ ɾ ɯ̟ᵝ t o̞ː o̞ b o̞ e̞
アルハラ	a̠ ɾ ɯ̟ᵝ h a̠ ɾ a̠
アルバ	a̠ ɾ ɯ̟ᵝ b a̠
アルバイト	a̠ ɾ ɯ̟ᵝ b a̠ i t o̞
アルバトロス	a̠ ɾ ɯ̟ᵝ b a̠ t o̞ ɾ o̞ s ɨᵝ
アルバニア	a̠ ɾ ɯ̟ᵝ b a̠ ɲ̟ i a̠
アルバム	a̠ ɾ ɯ̟ᵝ b a̠ m ɯ̟ᵝ
アルバータ	a̠ ɾ ɯ̟ᵝ b a̠ː t a̠
アルパカ	a̠ ɾ ɯ̟ᵝ p a̠ k a̠
アルビン	a̠ ɾ ɯ̟ᵝ bʲ ĩ ɴ
アルファ	a̠ ɾ ɯ̟ᵝ ɸ a̠
アルファベット	a̠ ɾ ɯ̟ᵝ ɸ a̠ b e̞ t̚ t o̞
アルフォンソ	a̠ ɾ ɯ̟ᵝ ɸ õ̞ ɰ̃ s o̞
アルブミン	a̠ ɾ ɯ̟ᵝ b ɯ̟ᵝ mʲ ĩ ɴ
アルブレヒト	a̠ ɾ ɯ̟ᵝ b ɯ̟ᵝ ɾ e̞ ç i t o̞
アルプス	a̠ ɾ ɯ̟ᵝ p ɯ̟ᵝ s ɨᵝ
アルベド	a̠ ɾ ɯ̟ᵝ b e̞ d o̞
アルベルト	a̠ ɾ ɯ̟ᵝ b e̞ ɾ ɯ̟ᵝ t o̞
アルペッジョ	a̠ ɾ ɯ̟ᵝ p e̞ d̚ d͡ʑ o̞
アルマゲドン	a̠ ɾ ɯ̟ᵝ m a̠ ɡ e̞ d õ̞ ɴ
アルマジロ	a̠ ɾ ɯ̟ᵝ m a̠ ʑ i ɾ o̞
アルマトイ	a̠ ɾ ɯ̟ᵝ m a̠ t o̞ i
アルミ	a̠ ɾ ɯ̟ᵝ mʲ i
アルミナ	a̠ ɾ ɯ̟ᵝ mʲ i n a̠
アルミニウム	a̠ ɾ ɯ̟ᵝ mʲ i ɲ̟ i ɯ̟ᵝ m ɯ̟ᵝ
アレイ	a̠ ɾ e̞ː
アレクサンドライト	a̠ ɾ e̞ k ɯ̟̊ᵝ s ã̠ n d o̞ ɾ a̠ i t o̞
アレクサンドリア	a̠ ɾ e̞ k ɯ̟ᵝ s ã̠ n d o̞ ɾʲ i a̠
アレクサンドルーポリ	a̠ ɾ e̞ k ɯ̟ᵝ s ã̠ n d o̞ ɾ ɯ̟ᵝː p o̞ ɾʲ i
アレゴリー	a̠ ɾ e̞ ɡ o̞ ɾʲ iː
アレス	a̠ ɾ e̞ s ɨᵝ
アレッポ	a̠ ɾ e̞ p̚ p o̞
アレルギー	a̠ ɾ e̞ ɾ ɯ̟ᵝ ɡʲ iː
アレンジ	a̠ ɾ ẽ̞ ɲ̟ d͡ʑ i
アレース	a̠ ɾ e̞ː s ɨᵝ
アロエ	a̠ ɾ o̞ e̞
アロン	a̠ ɾ õ̞ ɴ
アンインストール	ã̠ ɰ̃ ĩ ɰ̃ s ɨᵝ t o̞ː ɾ ɯ̟ᵝ
アンカラ	ã̠ ŋ k a̠ ɾ a̠
アンカン	ã̠ ŋ k ã̠ ɴ
アンカー	ã̠ ŋ k a̠ː
アンギラ	ã̠ ŋʲ ɡʲ i ɾ a̠
アンク	ã̠ ŋ k ɯ̟ᵝ
アンクレット	ã̠ ŋ k ɯ̟ᵝ ɾ e̞ t̚ t o̞
アングル	ã̠ ŋ ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ
アングロサクソン	ã̠ ŋ ɡ ɯ̟ᵝ ɾ o̞ s a̠ k ɯ̟̊ᵝ s õ̞ ɴ
アンケート	ã̠ ŋ k e̞ː t o̞
アンゲリア	ã̠ ŋ ɡ e̞ ɾʲ i a̠
アンコントローラブル	ã̠ ŋ k õ̞ n t o̞ ɾ o̞ː ɾ a̠ b ɯ̟ᵝ ɾ ɯ̟ᵝ
アンコール	ã̠ ŋ k o̞ː ɾ ɯ̟ᵝ
アンゴラ	ã̠ ŋ ɡ o̞ ɾ a̠
アンサンブル	ã̠ ɰ̃ s ã̠ m b ɯ̟ᵝ ɾ ɯ̟ᵝ
アンジャベル	ã̠ ɲ̟ d͡ʑ a̠ b e̞ ɾ ɯ̟ᵝ
アンセム	ã̠ ɰ̃ s e̞ m ɯ̟ᵝ
アンソロジー	ã̠ ɰ̃ s o̞ ɾ o̞ ʑ iː
アンタナナリボ	ã̠ n t a̠ n a̠ n a̠ ɾʲ i b o̞
アンダー	ã̠ n d a̠ː
アンダーウエア	ã̠ n d a̠ː ɯ̟ᵝ e̞ a̠
アンダーシャツ	ã̠ n d a̠ː ɕ a̠ t͡s ɨᵝ
アンダーバスト	ã̠ n d a̠ː b a̠ s ɨᵝ t o̞
アンダーバー	ã̠ n d a̠ː b a̠ː
アンチエイジング	ã̠ ɲ̟ t͡ɕ i e̞ː ʑ ĩ ŋ ɡ ɯ̟ᵝ
アンチスレ	ã̠ ɲ̟ t͡ɕ i s ɨᵝ ɾ e̞
アンチック	ã̠ ɲ̟ t͡ɕ i̥ k̚ k ɯ̟ᵝ
アンチノミー	ã̠ ɲ̟ t͡ɕ i n o̞ mʲ iː
アンチモン	ã̠ ɲ̟ t͡ɕ i m õ̞ ɴ
アンチョビ	ã̠ ɲ̟ t͡ɕ o̞ bʲ i
アンテナ	ã̠ n t e̞ n a̠
アンテロープ	ã̠ n t e̞ ɾ o̞ː p ɯ̟ᵝ
アンデレ	ã̠ n d e̞ ɾ e̞
アントシアニン	ã̠ n t o̞ ɕ i a̠ ɲ̟ ĩ ɴ
アントラセン	ã̠ n t o̞ ɾ a̠ s ẽ̞ ɴ
