AFI	a f i
Agramonte	a ɣ̞ ɾ a m õ n̪ t̪ e
Agredano	a ɣ̞ ɾ e ð̞ a n o
Aguachica	a ɣ̞ w a t͡ʃ i k a
Aguadas	a ɣ̞ w a ð̞ a s
Aguado	a ɣ̞ w a ð̞ o
Aguas	a ɣ̞ w a s
Aguascalientes	a ɣ̞ w a s k a l j ẽ n̪ t̪ e s
Aguayo	a ɣ̞ w a ʝ o
Aguiar	a ɣ̞ j a ɾ
Aguilar	a ɣ̞ i l a ɾ
Aguilares	a ɣ̞ i l a ɾ e s
Aguilera	a ɣ̞ i l e ɾ a
Aguillón	a ɣ̞ i ʝ õ n
Aguiluz	a ɣ̞ i l u θ
Aguinaga	a ɣ̞ i n a ɣ̞ a
Aguinaldo	a ɣ̞ i n a l̪ d̪ o
Aguirre	a ɣ̞ i r e
Agundo	a ɣ̞ ũ n̪ d̪ o
Agustina	a ɣ̞ u s t̪ i n a
Agustín	a ɣ̞ u s t̪ ĩ n
Aguón	a ɣ̞ w õ n
Agún	a ɣ̞ ũ n
Agúndez	a ɣ̞ ũ n̪ d̪ e θ
Agüero	a ɣ̞ w e ɾ o
Ahuachapán	a w a t͡ʃ a p ã n
Ahumada	a u̯ m a ð̞ a
Aija	a i̯ x a
Aimar	a i̯ m a ɾ
Ainara	a i̯ n a ɾ a
Ainhoa	a i̯ n o a
Aipe	a i̯ p e
Aispuro	a i̯ s p u ɾ o
Aitana	a i̯ t̪ a n a
Aitor	a i̯ t̪ o ɾ
Aión	a j õ n
Ajanel	a x a n e l
Ajijic	a x i x i k
Akenatón	a k e n a t̪ õ n
Akinetón	a k i n e t̪ õ n
Alabama	a l a β̞ a m a
Alajuela	a l a x w e l a
Alamilla	a l a m i ʝ a
Alamillo	a l a m i ʝ o
Alarcón	a l a ɾ k õ n
Alaska	a l a s k a
Alatorre	a l a t̪ o r e
Alavez	a l a β̞ e θ
Alayón	a l a ʝ õ n
Alba	a l β̞ a
Albacete	a l β̞ a θ e t̪ e
Albania	a l β̞ a n j a
Albano	a l β̞ a n o
Albarracín	a l β̞ a r a θ ĩ n
Albarrán	a l β̞ a r ã n
Alberta	a l β̞ e ɾ t̪ a
Alberto	a l β̞ e ɾ t̪ o
Albina	a l β̞ i n a
Albir	a l β̞ i ɾ
Albireo	a l β̞ i ɾ e o
Albornoz	a l β̞ o ɾ n o θ
Albuquerque	a l β̞ u k e ɾ k e
Alburquerque	a l β̞ u ɾ k e ɾ k e
Albíter	a l β̞ i t̪ e ɾ
Alcaide	a l k a i̯ ð̞ e
Alcalde	a l k a l̪ d̪ e
Alcalá	a l k a l a
Alcaraz	a l k a ɾ a θ
Alcatraz	a l k a t̪ ɾ a θ
Alcauter	a l k a u̯ t̪ e ɾ
Alcira	a l̟ θ i ɾ a
Alcmena	a l ɣ̞ m e n a
Alcocer	a l k o θ e ɾ
Alcorcón	a l k o ɾ k õ n
Alcorán	a l k o ɾ ã n
Alcoser	a l k o s e ɾ
Alcoy	a l k o i̯
Alcubierre	a l k u β̞ j e r e
Alcácer	a l k a θ e ɾ
Alcántara	a l k ã n̪ t̪ a ɾ a
Alcázar	a l k a θ a ɾ
Alcívar	a l̟ θ i β̞ a ɾ
Aldaba	a l̪ d̪ a β̞ a
Aldaco	a l̪ d̪ a k o
Aldama	a l̪ d̪ a m a
Aldana	a l̪ d̪ a n a
Alday	a l̪ d̪ a i̯
Aldebarán	a l̪ d̪ e β̞ a ɾ ã n
Aldeguer	a l̪ d̪ e ɣ̞ e ɾ
Alderete	a l̪ d̪ e ɾ e t̪ e
Aldo	a l̪ d̪ o
Ale	a l e
Alegre	a l e ɣ̞ ɾ e
Alegría	a l e ɣ̞ ɾ i a
Aleixandre	a l e i̯ ɣ̞ s ã n̪ d̪ ɾ e
Alejandra	a l e x ã n̪ d̪ ɾ a
Alejandrina	a l e x ã n̪ d̪ ɾ i n a
Alejandro	a l e x ã n̪ d̪ ɾ o
Alejandría	a l e x ã n̪ d̪ ɾ i a
Alejandrópolis	a l e x ã n̪ d̪ ɾ o p o l i s
Alejo	a l e x o
Alejándrez	a l e x ã n̪ d̪ ɾ e θ
Alemania	a l e m a n j a
Alemán	a l e m ã n
Alentejo	a l ẽ n̪ t̪ e x o
Alepo	a l e p o
Alessandro	a l e s ã n̪ d̪ ɾ o
Alexander	a l e ɣ̞ s ã n̪ d̪ e ɾ
Alexander	a l ɪ ɣ̞ s e ə n̪ d̪ ɚ
Alexander	æ l ɪ ɣ̞ s e ə n̪ d̪ ɚ
Alexandrescu	a l e ɣ̞ s ã n̪ d̪ ɾ e s k u
Alexis	a l e ɣ̞ s i s
Alexópulos	a l e ɣ̞ s o p u l o s
Alfaro	a l f a ɾ o
Alfonsina	a l f õ n s i n a
Alfonso	a l f õ n s o
Alfredo	a l f ɾ e ð̞ o
Alférez	a l f e ɾ e θ
Alfónsez	a l f õ n s e θ
Algeciras	a l x e θ i ɾ a s
Algol	a l ɣ̞ o l
Alguer	a l ɣ̞ e ɾ
Alhambra	a l ã m b ɾ a
Aliaga	a l j a ɣ̞ a
Alicante	a l i k ã n̪ t̪ e
Alicia	a l i θ j a
Alina	a l i n a
Alipio	a l i p j o
Alirio	a l i ɾ j o
Aljovín	a l x o β̞ ĩ n
Allende	a ʝ ẽ n̪ d̪ e
Alma	a l m a
Almadén	a l m a ð̞ ẽ n
Almagro	a l m a ɣ̞ ɾ o
Almaguer	a l m a ɣ̞ e ɾ
Almanza	a l m ã n̟ θ a
Almaraz	a l m a ɾ a θ
Almario	a l m a ɾ j o
Almatý	a l m a t̪ i
Almazán	a l m a θ ã n
Almeda	a l m e ð̞ a
Almeida	a l m e i̯ ð̞ a
Almendares	a l m ẽ n̪ d̪ a ɾ e s
Almendra	a l m ẽ n̪ d̪ ɾ a
Almendralejo	a l m ẽ n̪ d̪ ɾ a l e x o
Almendárez	a l m ẽ n̪ d̪ a ɾ e θ
Almería	a l m e ɾ i a
Almeyda	a l m e i̯ ð̞ a
Almodóvar	a l m o ð̞ o β̞ a ɾ
Almu	a l m u
Almudena	a l m u ð̞ e n a
Almánzar	a l m ã n̟ θ a ɾ
Alodia	a l o ð̞ j a
Alondra	a l õ n̪ d̪ ɾ a
Alonso	a l õ n s o
Alpes	a l p e s
Alpízar	a l p i θ a ɾ
Alquízar	a l k i θ a ɾ
Alsacia	a l s a θ j a
Alsasua	a l s a s w a
Altamira	a l̪ t̪ a m i ɾ a
Altamirano	a l̪ t̪ a m i ɾ a n o
Altea	a l̪ t̪ e a
Alvarado	a l β̞ a ɾ a ð̞ o
Alvardo	a l β̞ a ɾ ð̞ o
Alvarenga	a l β̞ a ɾ ẽ ŋ ɡ a
Alviar	a l β̞ j a ɾ
Alzaga	a l̟ θ a ɣ̞ a
Alzamora	a l̟ θ a m o ɾ a
Alzate	a l̟ θ a t̪ e
Alá	a l a
Alán	a l ã n
Amadeo	a m a ð̞ e o
Amado	a m a ð̞ o
Amador	a m a ð̞ o ɾ
Amagá	a m a ɣ̞ a
Amalfitano	a m a l f i t̪ a n o
Amalia	a m a l j a
Amancio	a m ã n̟ θ j o
Amanda	a m ã n̪ d̪ a
Amapola	a m a p o l a
Amarilla	a m a ɾ i ʝ a
Amarillo	a m a ɾ i ʝ o
Amaro	a m a ɾ o
Amatista	a m a t̪ i s t̪ a
Amaya	a m a ʝ a
Amazonas	a m a θ o n a s
Amazonía	a m a θ o n i a
Amberes	ã m b e ɾ e s
Ambo	ã m b o
Ambrosini	ã m b ɾ o s i n i
Ameghino	a m e ɣ̞ i n o
Amelia	a m e l j a
Amescua	a m e s k w a
Amezcua	a m e θ k w a
Amigo	a m i ɣ̞ o
Ammán	a m ã n
Amor	a m o ɾ
Amorebieta	a m o ɾ e β̞ j e t̪ a
Amparo	ã m p a ɾ o
Amsterdam	ã m s t̪ e ɾ ð̞ ã m
Amán	a m ã n
América	a m e ɾ i k a
Américas	a m e ɾ i k a s
Américo	a m e ɾ i k o
Amésquita	a m e s k i t̪ a
Amézquita	a m e θ k i t̪ a
Amílcar	a m i l k a ɾ
Amón	a m õ n
Amós	a m o s
Ana	a n a
Anabel	a n a β̞ e l
Anacleto	a n a k l e t̪ o
Anahí	a n a i
Analía	a n a l i a
Anamorós	a n a m o ɾ o s
Anampa	a n ã m p a
Ananké	a n ã ŋ k e
Anapa	a n a p a
Anastasia	a n a s t̪ a s j a
Anastasio	a n a s t̪ a s j o
Anatolia	a n a t̪ o l j a
Anaya	a n a ʝ a
Ancheta	ã nʲ t͡ʃ e t̪ a
Anchondo	ã nʲ t͡ʃ õ n̪ d̪ o
Anda	ã n̪ d̪ a
Andalucía	ã n̪ d̪ a l u θ i a
Andaya	ã n̪ d̪ a ʝ a
Anderson	e ə n̪ d̪ ɚ s ə n
Anderson	ã n̪ d̪ e ɾ s õ n
Andes	ã n̪ d̪ e s
Andorra	ã n̪ d̪ o r a
Andoáin	ã n̪ d̪ o ã ĩ n
Andrade	ã n̪ d̪ ɾ a ð̞ e
Andrea	ã n̪ d̪ ɾ e a
André	ã n̪ d̪ ɾ e
Andrés	ã n̪ d̪ ɾ e s
Andrómaca	ã n̪ d̪ ɾ o m a k a
Andrómeda	ã n̪ d̪ ɾ o m e ð̞ a
Anfitrión	ã ɱ f i t̪ ɾ j õ n
Angat	ã ŋ ɡ a t̪
Angola	ã ŋ ɡ o l a
Angora	ã ŋ ɡ o ɾ a
Anguiano	ã ŋ ɡ j a n o
Anguila	ã ŋ ɡ i l a
Angulo	ã ŋ ɡ u l o
Angélica	ã ŋ x e l i k a
Angélina	ã ŋ x e l i n a
Angón	ã ŋ ɡ õ n
Aniceto	a n i θ e t̪ o
Anita	a n i t̪ a
Ankara	ã ŋ k a ɾ a
Anorí	a n o ɾ i
Ansaldo	ã n s a l̪ d̪ o
Anselmo	ã n s e l m o
Ansoáin	ã n s o ã ĩ n
Antananarivo	ã n̪ t̪ a n a n a ɾ i β̞ o
Antauro	ã n̪ t̪ a u̯ ɾ o
Antequera	ã n̪ t̪ e k e ɾ a
Antero	ã n̪ t̪ e ɾ o
Antigua	ã n̪ t̪ i ɣ̞ w a
Antilla	ã n̪ t̪ i ʝ a
Antioquia	ã n̪ t̪ j o k j a
Antioquía	ã n̪ t̪ j o k i a
Antofagasta	ã n̪ t̪ o f a ɣ̞ a s t̪ a
Antonela	ã n̪ t̪ o n e l a
Antonia	ã n̪ t̪ o n j a
Antonieta	ã n̪ t̪ o n j e t̪ a
Antonio	ã n̪ t̪ o n j o
Antonito	ã n̪ t̪ o n i t̪ o
Antártida	ã n̪ t̪ a ɾ t̪ i ð̞ a
Antón	ã n̪ t̪ õ n
Antúnez	ã n̪ t̪ u n e θ
Anubis	a n u β̞ i s
Anunciación	a n ũ n̟ θ j a θ j õ n
Anzaldo	ã n̟ θ a l̪ d̪ o
Anzoátegui	ã n̟ θ o a t̪ e ɣ̞ i
Anádir	a n a ð̞ i ɾ
Aníbal	a n i β̞ a l
Apalaches	a p a l a t͡ʃ e s
Apaneca	a p a n e k a
Aparicio	a p a ɾ i θ j o
Apastepeque	a p a s t̪ e p e k e
Apaza	a p a θ a
Apeninos	a p e n i n o s
Apia	a p j a
Apocalipsis	a p o k a l i β̞ s i s
Apolinar	a p o l i n a ɾ
Apolinario	a p o l i n a ɾ j o
Apolo	a p o l o
Apolonia	a p o l o n j a
Apolonio	a p o l o n j o
Aponte	a p õ n̪ t̪ e
Apopa	a p o p a
Apure	a p u ɾ e
Apurímac	a p u ɾ i m a k
Aqueronte	a k e ɾ õ n̪ t̪ e
Aquerón	a k e ɾ õ n
Aquiles	a k i l e s
Aquilino	a k i l i n o
Aquino	a k i n o
Aquise	a k i s e
Aquisgrán	a k i z ɣ̞ ɾ ã n
Aquitania	a k i t̪ a n j a
Arabia	a ɾ a β̞ j a
Araceli	a ɾ a θ e l i
Aracely	a ɾ a θ e l i
Aracena	a ɾ a θ e n a
Aragonés	a ɾ a ɣ̞ o n e s
Aragua	a ɾ a ɣ̞ w a
Aragón	a ɾ a ɣ̞ õ n
Araiza	a ɾ a i̯ θ a
Arakaki	a ɾ a k a k i
Arambala	a ɾ ã m b a l a
Aramburo	a ɾ ã m b u ɾ o
Arana	a ɾ a n a
Arancibia	a ɾ ã n̟ θ i β̞ j a
Arandia	a ɾ ã n̪ d̪ j a
Arango	a ɾ ã ŋ ɡ o
Aranjuez	a ɾ ã ŋ x w e θ
Arantxa	a ɾ ã nʲ t͡ʃ a
Aratoca	a ɾ a t̪ o k a
Arauca	a ɾ a u̯ k a
Araucanía	a ɾ a u̯ k a n i a
Arauco	a ɾ a u̯ k o
Araujo	a ɾ a u̯ x o
Arauz	a ɾ a u̯ θ
Araújo	a ɾ a u x o
Araújo	a ɾ a u̯ x o
Arbaiza	a ɾ β̞ a i̯ θ a
Arbeláez	a ɾ β̞ e l a e θ
Arboleda	a ɾ β̞ o l e ð̞ a
Arcabuco	a ɾ k a β̞ u k o
Arcadia	a ɾ k a ð̞ j a
Arcatao	a ɾ k a t̪ a o
Arcaya	a ɾ k a ʝ a
Arce	a ɾ θ e
Arceaga	a ɾ θ e a ɣ̞ a
Arceo	a ɾ θ e o
Archibeque	a ɾ t͡ʃ i β̞ e k e
Archuleta	a ɾ t͡ʃ u l e t̪ a
Arcilla	a ɾ θ i ʝ a
Ardenas	a ɾ ð̞ e n a s
Arecibo	a ɾ e θ i β̞ o
Arellano	a ɾ e ʝ a n o
Arenas	a ɾ e n a s
Arencibia	a ɾ ẽ n̟ θ i β̞ j a
Arequipa	a ɾ e k i p a
Ares	a ɾ e s
Argel	a ɾ x e l
Argelia	a ɾ x e l j a
Argentina	a ɾ x ẽ n̪ t̪ i n a
Argentinazo	a ɾ x ẽ n̪ t̪ i n a θ o
Argento	a ɾ x ẽ n̪ t̪ o
Argenzuela	a ɾ x ẽ n̟ θ w e l a
Argo	a ɾ ɣ̞ o
Argos	a ɾ ɣ̞ o s
Argote	a ɾ ɣ̞ o t̪ e
Argueta	a ɾ ɣ̞ e t̪ a
Argüelles	a ɾ ɣ̞ w e ʝ e s
Arias	a ɾ j a s
Arica	a ɾ i k a
Ariel	a ɾ j e l
Aries	a ɾ j e s
Arisméndez	a ɾ i z m ẽ n̪ d̪ e θ
Aristizábal	a ɾ i s t̪ i θ a β̞ a l
Aristófanes	a ɾ i s t̪ o f a n e s
Aristóteles	a ɾ i s t̪ o t̪ e l e s
Arizaga	a ɾ i θ a ɣ̞ a
Arizona	a ɾ i θ o n a
Arjona	a ɾ x o n a
Arkansas	a ɾ k ã n s a s
Armagedón	a ɾ m a x e ð̞ õ n
Armando	a ɾ m ã n̪ d̪ o
Armañac	a ɾ m a ɲ a k
Armendáriz	a ɾ m ẽ n̪ d̪ a ɾ i θ
Armenia	a ɾ m e n j a
Arnaiz	a ɾ n a i̯ θ
Arnoldo	a ɾ n o l̪ d̪ o
Arnulfo	a ɾ n u l f o
Arriaga	a r j a ɣ̞ a
Arriaza	a r j a θ a
Arrieta	a r j e t̪ a
Arrio	a r j o
Arriola	a r j o l a
Arroyo	a r o ʝ o
Arteaga	a ɾ t̪ e a ɣ̞ a
Artemio	a ɾ t̪ e m j o
Artemisa	a ɾ t̪ e m i s a
Artiaga	a ɾ t̪ j a ɣ̞ a
Artigas	a ɾ t̪ i ɣ̞ a s
Artola	a ɾ t̪ o l a
Arturo	a ɾ t̪ u ɾ o
Aruba	a ɾ u β̞ a
Arvayo	a ɾ β̞ a ʝ o
Arzadun	a ɾ θ a ð̞ ũ n
Arzaga	a ɾ θ a ɣ̞ a
Arzate	a ɾ θ a t̪ e
Arzolar	a ɾ θ o l a ɾ
Arzuaga	a ɾ θ w a ɣ̞ a
Arámbulo	a ɾ ã m b u l o
Arámburo	a ɾ ã m b u ɾ o
Arámburu	a ɾ ã m b u ɾ u
Aránzazu	a ɾ ã n̟ θ a θ u
Aréchiga	a ɾ e t͡ʃ i ɣ̞ a
Arévalo	a ɾ e β̞ a l o
Ascención	a s θ ẽ n̟ θ j õ n
Ascensión	a s θ ẽ n s j õ n
Asclepio	a s k l e p j o
Asdrúbal	a z ð̞ ɾ u β̞ a l
Asebedo	a s e β̞ e ð̞ o
Aser	a s e ɾ
Asia	a s j a
Asiago	a s j a ɣ̞ o
Asjabad	a s x a β̞ a ð̞
Asmara	a z m a ɾ a
Aspilcueta	a s p i l k w e t̪ a
Astaná	a s t̪ a n a
Astorga	a s t̪ o ɾ ɣ̞ a
Astrea	a s t̪ ɾ e a
Astudillo	a s t̪ u ð̞ i ʝ o
Asturias	a s t̪ u ɾ j a s
Asunción	a s ũ n̟ θ j õ n
Asís	a s i s
Atacama	a t̪ a k a m a
Atalaya	a t̪ a l a ʝ a
Atenas	a t̪ e n a s
Atencio	a t̪ ẽ n̟ θ j o
Atenea	a t̪ e n e a
Athanasia	a t̪ a n a s j a
Atienza	a t̪ j ẽ n̟ θ a
Atiquizaya	a t̪ i k i θ a ʝ a
Atlanta	a t̪ l ã n̪ t̪ a
Atlas	a t̪ l a s
Atlántico	a t̪ l ã n̪ t̪ i k o
Atlántida	a t̪ l ã n̪ t̪ i ð̞ a
Atlético	a t̪ l e t̪ i k o
Audelia	a u̯ ð̞ e l j a
Augusto	a u̯ ɣ̞ u s t̪ o
Aurelia	a u̯ ɾ e l j a
Aureliano	a u̯ ɾ e l j a n o
Aurelio	a u̯ ɾ e l j o
Aurora	a u̯ ɾ o ɾ a
Austin	a w s t̪ ĩ n
Austin	o s t̪ ĩ n
Australasia	a u̯ s t̪ ɾ a l a s j a
Australia	a u̯ s t̪ ɾ a l j a
Austria	a u̯ s t̪ ɾ j a
Auvernia	a u̯ β̞ e ɾ n j a
Avelar	a β̞ e l a ɾ
Avelina	a β̞ e l i n a
Avelino	a β̞ e l i n o
Avellaneda	a β̞ e ʝ a n e ð̞ a
Avellano	a β̞ e ʝ a n o
Avempace	a β̞ ẽ m p a θ e
Avendaño	a β̞ ẽ n̪ d̪ a ɲ o
Avilés	a β̞ i l e s
Aviñón	a β̞ i ɲ õ n
Ayacucho	a ʝ a k u t͡ʃ o
Ayala	a ʝ a l a
Ayerbe	a ʝ e ɾ β̞ e
Ayerve	a ʝ e ɾ β̞ e
Ayllón	a i̯ ʝ õ n
Aylwin	e l w ĩ n
Aysén	a i̯ s ẽ n
Ayuso	a ʝ u s o
Ayutuxtepeque	a ʝ u t̪ u ɣ̞ s t̪ e p e k e
Azacualpa	a θ a k w a l p a
Azaña	a θ a ɲ a
Azcapotzalco	a θ k a p o t̪ θ a l k o
Azcoitia	a θ k o i̯ t̪ j a
Azerbaiyán	a θ e ɾ β̞ a i̯ ʝ ã n
Aznar	a θ̬ n a ɾ
Azores	a θ o ɾ e s
Azpeitia	a θ p e i̯ t̪ j a
Azpíllaga	a θ p i ʝ a ɣ̞ a
Azrael	a θ̬ r a e l
Azuara	a θ w a ɾ a
Azuay	a θ w a i̯
Azurmendi	a θ u ɾ m ẽ n̪ d̪ i
Aída	a i ð̞ a
Aýna	a i n a
BRICS	b ɾ i ɣ̞ s
Babel	b a β̞ e l
Babia	b a β̞ j a
Bacallao	b a k a ʝ a o
Bachicha	b a t͡ʃ i t͡ʃ a
Bachiller	b a t͡ʃ i ʝ e ɾ
Bacilio	b a θ i l j o
Baco	b a k o
Bacoor	b a k o o ɾ
Bacólod	b a k o l o ð̞
Badajoz	b a ð̞ a x o θ
Badalona	b a ð̞ a l o n a
Baeza	b a e θ a
Bagadó	b a ɣ̞ a ð̞ o
Bagdad	b a ɣ̞ ð̞ a ð̞
Bahamas	b a a m a s
Bahréin	b a ɾ ẽ ĩ n
Baires	b a i̯ ɾ e s
Baker	b a k e ɾ
Bakú	b a k u
Balaguer	b a l a ɣ̞ e ɾ
Balboa	b a l β̞ o a
Balbuena	b a l β̞ w e n a
Baldenegro	b a l̪ d̪ e n e ɣ̞ ɾ o
Balderama	b a l̪ d̪ e ɾ a m a
Balderas	b a l̪ d̪ e ɾ a s
Balderrama	b a l̪ d̪ e r a m a
Baldomero	b a l̪ d̪ o m e ɾ o
Baldor	b a l̪ d̪ o ɾ
Baldovinos	b a l̪ d̪ o β̞ i n o s
Balduino	b a l̪ d̪ w i n o
Bali	b a l i
Ballester	b a ʝ e s t̪ e ɾ
Ballivián	b a ʝ i β̞ j ã n
Balmaceda	b a l m a θ e ð̞ a
Balmaseda	b a l m a s e ð̞ a
Balmes	b a l m e s
Balta	b a l̪ t̪ a
Baltazar	b a l̪ t̪ a θ a ɾ
Baltodano	b a l̪ t̪ o ð̞ a n o
Balíuag	b a l i w a ɣ̞
Banderas	b ã n̪ d̪ e ɾ a s
Bangkok	b ã ŋ k o k
Bangladesh	b ã ŋ ɡ l a ð̞ e ʃ
Bangladés	b ã ŋ ɡ l a ð̞ e s
Bangui	b ã ŋ ɡ i
Baquílides	b a k i l i ð̞ e s
Baracoa	b a ɾ a k o a
Baraguá	b a ɾ a ɣ̞ w a
Barahona	b a ɾ a o n a
Barajas	b a ɾ a x a s
Baranoa	b a ɾ a n o a
Baraya	b a ɾ a ʝ a
Barbados	b a ɾ β̞ a ð̞ o s
Barbarán	b a ɾ β̞ a ɾ ã n
Barbosa	b a ɾ β̞ o s a
Barcelona	b a ɾ θ e l o n a
Barcino	b a ɾ θ i n o
Barco	b a ɾ k o
Bari	b a ɾ i
Barinas	b a ɾ i n a s
Barquilla	b a ɾ k i ʝ a
Barrabás	b a r a β̞ a s
Barrameda	b a r a m e ð̞ a
Barranca	b a r ã ŋ k a
Barraza	b a r a θ a
Barreda	b a r e ð̞ a
Barreiro	b a r e i̯ ɾ o
Barrera	b a r e ɾ a
Barrientos	b a r j ẽ n̪ t̪ o s
Barrionuevo	b a r j o n w e β̞ o
Barrios	b a r j o s
Barroso	b a r o s o
Barrundia	b a r ũ n̪ d̪ j a
Bartolo	b a ɾ t̪ o l o
Bartolomé	b a ɾ t̪ o l o m e
Bartolón	b a ɾ t̪ o l õ n
Baruc	b a ɾ u k
Barásoain	b a ɾ a s o ã ĩ n
Barça	b a ɾ s a
Baréin	b a ɾ ẽ ĩ n
Basa	b a s a
Basadre	b a s a ð̞ ɾ e
Basaldúa	b a s a l̪ d̪ u a
Basallote	b a s a ʝ o t̪ e
Basco	b a s k o
Basilea	b a s i l e a
Basilio	b a s i l j o
Bastardo	b a s t̪ a ɾ ð̞ o
Bataglia	b a t̪ a ɣ̞ l j a
Batangas	b a t̪ ã ŋ ɡ a s
Bataán	b a t̪ a ã n
Batista	b a t̪ i s t̪ a
Batlle	b a ʝ e
Batman	b a ð̞ m ã n
Batres	b a t̪ ɾ e s
Baudilio	b a u̯ ð̞ i l j o
Bauta	b a u̯ t̪ a
Bautista	b a u̯ t̪ i s t̪ a
Baviera	b a β̞ j e ɾ a
Bayamo	b a ʝ a m o
Bayona	b a ʝ o n a
Bayón	b a ʝ õ n
Baz	b a θ
Bazalar	b a θ a l a ɾ
Bazaldúa	b a θ a l̪ d̪ u a
Bazán	b a θ ã n
Bañolas	b a ɲ o l a s
Beasáin	b e a s ã ĩ n
Beato	b e a t̪ o
Beatriz	b e a t̪ ɾ i θ
Becerra	b e θ e r a
Bedoy	b e ð̞ o i̯
Bedoya	b e ð̞ o ʝ a
Begoña	b e ɣ̞ o ɲ a
Beijing	b e i̯ ʝ ĩ n
Beirut	b e i̯ ɾ u t̪
Belarmino	b e l a ɾ m i n o
Belarra	b e l a r a
Belarús	b e l a ɾ u s
Belasco	b e l a s k o
Belau	b e l a u̯
Belcebú	b e l̟ θ e β̞ u
Belfast	b e l f a s t̪
Belgrado	b e l ɣ̞ ɾ a ð̞ o
Belice	b e l i θ e
Belisario	b e l i s a ɾ j o
Bellavista	b e ʝ a β̞ i s t̪ a
Belmonte	b e l m õ n̪ t̪ e
Belmopán	b e l m o p ã n
Beltrán	b e l̪ t̪ ɾ ã n
Belén	b e l ẽ n
Benalmádena	b e n a l m a ð̞ e n a
Benarés	b e n a ɾ e s
Benasque	b e n a s k e
