ཀ	k ɑ
ཐིམ་ཕུ	tʰ i m ˥ pʰ u ˥
ཐོཝ	tʰ o w ˥
ད	t ɑ ˥
དང	tʰ ɑ ˩
དྲུག	ʈʰ u k̚ ˩
དྲེལ	ʈʰ e ŋ ˩
གདོང	t o ŋ ˩
གདོང་པ	t o ŋ ˩ p ɑ ˥
ནདཔ	n e p ˩
བདུན	t yː n ˩
མདའ	t ɑ ˩
སྡིག་ཅན	t i k ˩ t͡ɕ e ŋ ˥
སྡུད	t u ˩
བསྡུ	t u ˩
བསྡུ་ཚིག	t u ˩ t͡sʰ i k̚ ˥
བསྡུ་ཡིག	t u ˩ j i k̚ ˥
ན	n ɑ ˥
ནང	n ɑ ˩
ནངས་པ	n ɑː ˩ p ɑ ˩
ནད	n eː ˩
ནཱ	n ɑː ˩
གནམ་གྲུ	n ɑ m ˥ ʈ u ˩
པ	p ɑ ˥
པགས་ཀོ	p ɑ k̚ ˥ k o ˥
གནགཔོ	n ɑ p ˥
དཔེ་ཆ	p e ˥ t͡ɕʰ ɑ ˥
དམརཔོ	m ɑː p ˥
དཔྱལཝ	p t͡ɕ ɛː w ˥
དཔྱི་སྨད	p t͡ɕ i ˥ m i ˩
སྤྱ	p t͡ɕ ɑ ˥
སྤྱུང་ཀ	p t͡ɕ ɑ ŋ ˥ k ɑ ˥
སྤྲོད	ʈ øː ˥
ཕ	pʰ ɑ
ཕད་ཅུང	pʰ e ˥ t͡ɕ u ˥
ཕར	pʰ ɑː ˥
ཕོ་ཅུངམ	pʰ o ˥ t͡ɕ u m ˥
ཕྱི་རྒྱལ	p t͡ɕʰ i ˥ k ɛː ˩
ཕྱུགཔོ	p t͡ɕʰ u p ˥
ཕྱོ	p t͡ɕʰ o ˥
འཕོཝ	pʰ o w ˥
བ	p ɑ ˥
བོད	b̥ øː ˩
བོདཔ	pʰ øː p ˩
བྱག	p t͡ɕʰ ɑː k̚ ˩
བྱང་ཀོ་རི་ཡ	p t͡ɕ ɑ ŋ k o r i j ɑ
བྱི་ཙི	p t͡ɕʰ i ˩ t͡s i ˥
བྱི་ལི	p t͡ɕʰ i ˩ l i ˩
བྱུང	p t͡ɕʰ u ŋ ˩
འབུཔ	p u p
འབྱུང	p t͡ɕʰ u ŋ ˩
འབྲུག	ʈ u k̚ ˩
འབྲུག་ཡུལ	ʈ u k̚ ˩ yː ˩
ལྦ	w ɑ ˩
ལྦ་གཤོང	w o ˩ ɕ o ˥
སྦལཔ	p ɛː p ˩
སྦལཔ་ཀང་ཀུར	p ɛː p ˩ k ɑ ŋ ˥ k u r ˥
སྦོམ	p oː m ˩
མ	m ɑ ˥
མ	m ɑ ˩
མར	m ɑː
མི	m i ˥
མི	m i ˩
མིག་ཏོ	m i k̚ ˥ t o ˥
མིང	m e ŋ ˩
མིང་སྡུད	m e ŋ ˩ t u ˩
མེ	m e ˩
མོ	m o ˩
རྨགཔ	m ɑ p ˥
སྨན	m e n ˥
སྨན	m ɛː n ˥
སྨེ	m eː ˥
ཙ	t͡s ɑ ˥
ཙ་རི	t͡s ɑ ˥ r i ˩
ཙན་དན	t͡s e n ˥ t e ˩
ཚ	t͡sʰ ɑ ˥
ཚིག	t͡sʰ i k̚ ˥
ཚིག་མཛོད	t͡sʰ i k̚ ˥ t͡s øː ˩
ཚུ	t͡sʰ u ˥
ཚོང	t͡sʰ o ŋ ˥
མཚམས	t͡sʰ ɑ m ˥
ཛ	t͡s ɑ ˥
ཛ་ཏི	t͡s ɑ ˩ t i ˥
ཛའི	t͡s ɑ j ˩
མཛོད	t͡s øː ˩
ཝ	w ɑ ˥
ཝ	w ɑ ˩
ཝ་གཤོང	w o ˩ ɕ o ˥
ཞ	ɕ ɑ ˥
ཞབས	ɕ ɑ p ˩
ཞབས་ཁྲ	ɕ ɑ p ˩ ʈʰ ɑ ˥
ཞལ	ɕ ɛː ˩
ཞྭམོ	ɕ ɑ m ˩
གཞུང	ʑ u ŋ ˩
གཞོནམ	ʑ øː m ˩
བཞི	ʑ i ˩
བཞི	p t͡ɕ i ˩
བཞི་ཕོད	ʑ e ˩ pʰ øː ˥
ཟ	s ɑ ˥
ཟ	s ɑ ˩
ཟོརཝ	s o w ˩
ཟོརཝ་དང་ཐོཝ	s o w ˩ tʰ ɑ ˩ tʰ o w ˥
གཟི	z i ˩
གཟུགས	z uː ˩
འུ	u ˩
འུགཔ	uː p ˩
ཡ	j ɑ ˥
ཡ	j ɑ ˩
ཡང	j ɑ ˩
ཡི	j i ˩
ཡིག་ཚང	j i k̚ ˩ t͡sʰ ɑ ˥
ཡུ་ཁོད	j u ˩ kʰ øː ˥
ཡུལ	yː ˩
ཡེ་ཤུའི་ལྷ	j e ˩ ɕ u j ˥ ɬ ɑ ˥
ཡོད	j øː ˩
གཡག	j ɑː ˥
གཡུས	yː ˥
ར	r ɑ ˥
རི	r i ˩
རྫས	t͡s ɛː ˩
རྫས་མདའ	t͡s ɛː ˩ t ɑ ˩
རྫོང	t͡s o ŋ ˩
རྫོང་ཁ	t͡s o ŋ ˩ kʰ ɑ ˥
ཆརཔ	t͡ɕʰ ɑː p ˥
ཨརཝ	ɑː w ˥
ལ	l ɑ ˥
ལ	l ɑ ˩
ལམ	l ɑ m ˩
ལཱ	l ɑː ˩
ལོ	l o ˩
ལྷ	ɬ ɑ ˥
ལྷག	ɬ ɑː k̚ ˥
ལྷབ	ɬ ɑ p ˥
ལྷོ	ɬ o ˥
ལྷོ་མཚམས་ཁ	ɬ o ˥ t͡sʰ ɑ m ˥ kʰ ɑ ˥
ལྷོ་མཚམས་པ	ɬ o ˥ t͡sʰ ɑ m ˥ p ɑ ˥
ལྷོ་མཚམས་མི་ཁ	ɬ o ˥ t͡sʰ ɑ m ˥ m i ˥ kʰ ɑ ˥
ལྷོད	ɬ øː ˥
ལྷོད	h øː ˥
ལྷོད་ལམ	ɬ øː ˥ l ɑ m ˩
ལྷོད་ལམ	h øː ˥ l ɑ m ˩
ཤ	ɕ ɑ ˥
ཤི	ɕ i ˥
ཤིང	ɕ i ŋ ˥
ཤེས	ɕ eː ˥
ས	s ɑ ˥
སེརཔོ	s eː p ˥
སོདཔ	s øː p ˥
སོདབ་ཁ	s øː p ˥ kʰ ɑ ˥
སླབ	l ɑ p ˥
གསུམ	s u m ˥
གསུམ	s u mˀ ˩˥
གསེབ​	s e p ˥
གསེར	s eː ˥
བསླབ་བྱ	l ɑ p ˥ p t͡ɕʰ ɑ ˩
ཧ	h ɑ ˥
ཧབ	h ɑ p ˥
ཧོནམོ	h øː m ˥
ཧྲལ	r ɛː ˥
ཧྲིལ་པོ	r i l ˥ pʰ u ˩
ཧྲིལཔོ	r iː p ˥
ཨ	ɑ ˥
ཨ་ཝ	ɑ w ɑ
ཨ་ཝ་གླང	ɑ w ɑ l ɑ ŋ
ཨ་རཔ	ɑ ˥ r ɑ p ˩
ཨ་རབ་ཁ	ɑ ˥ r ɑ p ˩ kʰ ɑ ˥
ཨཕ་ག་ནིསི་ཏཱན	ɑ p k ɑ n i s i t ɑː n
ཨམ་སྲུ	ɑ m ˥ s u ˩
ཨིཤ་ཏོ་ནི་ཡ	i ɕ ˥ t o ˥ n i ˩ j ɑ ˩
ཨུ་རུ་སུ	u ˥ r u ˩ s u ˥
ཨེ་པཱལ	e p ɑ l
ཨོ་ལེ	o ˥ l e ˩
ཨོ་ལེ་ཁ	o ˥ l e ˩ kʰ ɑ ˥
