AB	ɑː b eː
Haninge	h ɑː n i ŋ ɛ
Hans	h ɑː n s
Helsingborg	h ɛ l s ɪ ŋ b ɔ r j
Helsingfors	h ɛ l s ɪ ŋ f ɔ r s
Helsingör	h ɛ l s ɪ ŋ øː r
Herbert	¹ h æ r b æ ʈ
Herran	² h ɛ rː a n
Herren	² h ɛ rː ɛ n
Himalaya	h ɪ m a ² l a jː a
Himalaya	h ɪ ¹ m ɑː l a j a
Huddinge	h ɵ dː ɪ ŋ ɛ
Hälsingland	h ɛ l s ɪ ŋ l a n d
Härjedalen	h ɛ r j ɛ d ɑː l ɛ n
I	iː
I	ɪ
IKEA	ɪ k êː a
IVA	iː v a
Inez	iː n ɛ s
Inn	ɪ n
Irak	ɪ r ɑː k
Irland	ɪ r l a n d
Isabella	ɪ s a ² b ɛ l a
Island	iː s l a n d
Israel	² iː s r ɛː l
Italien	ɪ t ɑː l ɪ ɛ n
Ivar	iː v a r
Jacke	² j a k ɛ
Japan	¹ j ɑː p a n
Jasmine	ɧ a s m iː n
Jason	j ɑː s ɔ n
Jemen	j eː m ɛ n
Jennie	¹ j ɛ n ɪ
Jenny	¹ j ɛ n ʏ
Jeppis	j e pː i s
Jerusalem	j ɛ ² r ʉː s a l ɛ m
Jesus	j eː s ɵ s
Jesus	² j eː s ɵ s
Jocke	² j ʊ k ɛ
Joel	² j uː ɛ l
Johan	j ʊ a n
Johanna	j ʊ ² h a n a
Jonas	j uː n a s
Jonsson	j ʊ n s ɔ n
Jonte	² j ɔ n t ɛ
Jukkasjärvi	j ɵ̂ kː a s j æ r v ɪ
Jungfrun	² j ɵ ŋ f r ʉː n
Jupiter	j ʉː p ɪ t ɛ r
Jämtland	j ɛ m t l a n d
Järfälla	j æ r f ɛ lː a
Jönköping	j œ n ɕ øː p ɪ ŋ
K	k
K	k oː
K	ɕ
Kalifornien	k a l ɪ f oː r n ɪ ɛ n
Kalle	² k a l ɛ
Kamerun	k a m ɛ r ʉː n
Kanada	k a n a d a
Karina	k a ² r iː n a
Karl	k ɑː r l
Karlskrona	k a r l s ² k r uː n a
Karolina	k a r ʊ ² l iː n a
Katarina	k a t a ² r iː n a
Katharina	k a t a ² r iː n a
Katrina	k a ² t r iː n a
Katrineholm	k a t r iː n ɛ h ɔ l m
Kazakstan	k a s a k s t ɑː n
Kenya	k eː n ʏ a
Kerstin	² ɕ æ ʂ t ɪ n
Kesusjön	ɕ ɛ s ʉ ɧ øː n
Kina	² ɕ iː n a
Kirgizistan	k ɪ r ɡ ɪ s ɪ s t ɑː n
Kjell	ɕ ɛ l
Kjellberg	ɕ ɛ l b æ r j
Knut	k n ʉː t
Kolmården	k ɔ l m oː ɖ ɛ r n
Komorerna	k ʊ m oː r ɛ r n a
Kongo	k ɔ ŋ ɡ ʊ
Korea	k ʊ ² r eː a
Kosovo	k ɔ s ʊ v ʊ
Krille	² k r ɪ l ɛ
Kristianstad	k r ɪ ɧ a n s t a
Kristianstad	k r ɪ ɧ a n s t ɑː d
Kristina	k r ɪ ² s t iː n a
Kristinestad	k r ɪ s t iː n ɛ s t ɑː d
Kristinestads	k r ɪ s t iː n ɛ s t ɑː d s
Kroatien	k r ʊ ɑː t s ɪ ɛ n
Kräftan	² k r ɛ f t a n
Kuba	k ʉː b a
Kånna	k ɔ n a
Köpenhamn	ɕ øː p ɛ n h a m n
LAN	l ɑː n
LOB	l uː b
LOB	l ɔ b
Lagan	l ɑː ɡ a n
Laholm	l a h ɔ l m
Lappland	l a p l a n d
Lasse	l a s ə
Leif	l ɛ j f
Lejonet	² l ɛ jː ɔ n ɛ t
Lesotho	l ɛ s uː t ʊ
Lettland	l ɛ t l a n d
Liberia	l ɪ b eː r ɪ a
Libyen	l iː b ʏ ɛ n
Lidhult	l iː d h ɵ l t
Liechtenstein	l ɪ ɧ t ɛ n s t a j n
Lima	² l iː m a
Lina	² l iː n a
Lindgren	l ɪ n d ɡ r eː n
Lindgren	l ɪ ŋ ɡ r eː n
Linköping	l ɪ nː ɕ øː p ɪ ŋ
Linnea	l ɪ ² n eː a
Linné	l ɪ n eː
Linnéa	l ɪ ² n eː a
Lisa	² l iː s a
Lisas	² l iː s a s
Litauen	l ɪ t a ʊ̯ ɛ n
Ljungby	² j ɵ ŋ b ʏ
London	l ɔ n d ɔ n
Love	l uː v ɛ
Lucia	l ɵ s iː a
Lund	l ɵ n d
Lundgren	² l ɵ n d ɡ r eː n
Lundgren	² l ɵ n ɡ r eː n
Lundgren	¹ l ɵ n d ɡ r eː n
Lundgren	¹ l ɵ n ɡ r eː n
Luxemburg	l ɵ k s ɛ m b ɵ r ɡ
Madagaskar	m a d a ɡ a s k a r
Magnus	¹ m a ŋ n ɵ s
Majvor	m a j v ʊ r
Malawi	m a l ɑː v ɪ
Mali	m ɑː l ɪ
Malin	m a l iː n
Malin	m ɑː l ɪ n
Mallis	¹ m a l ɪ s
Malmö	² m a l m øː
Malta	² m a l t a
Malte	² m a l t ɛ
Margareta	m a r ɡ a ² r eː t a
Maria	m a ² r iː a
Marika	m a ² r iː k a
Marocko	m a r ɔ k ʊ
Mars	m a r s
Mars	m a ʂː
Mattias	m a t iː a s
Mauretanien	m a ʊ r ɛ t ɑː n ɪ ɛ n
Medelpad	m eː d ɛ l p a d
Merkurius	m ɛ r k ʉː r ɪ ɵ s
Mexiko	m ɛ k s i k ʊ
Mikael	m iː k aː e l
Miklagård	m iː k l a ɡ oː r d
Mjölner	m j œ l n i r
Moldavien	m ɔ l d ɑː v ɪ ɛ n
Mona	² m oː n a
Monaco	m ɔ n a k ʊ
Montenegro	m ɔ n t ɛ n eː ɡ r ʊ
Moskva	m ʊ s k v ɑː
MÖP	m øː p
Målaskog	m oː l a s k uː ɡ
NIVA	n iː v a
Nato	n ɑː t ʊ
Nauru	n a ʉː r u
Nederländerna	n eː d ɛ r l ɛ n d ɛ r n a
Nellie	¹ n ɛ l ɪ
Nelly	¹ n ɛ l ʏ
Neptunus	n ɛ p t ʉː n ɵ s
Nicke	² n ɪ k ɛ
Niger	n iː j ɛ r
Nigeria	n ɪ ɡ eː r ɪ a
Nobel	n ʊ b ɛ l
Nordamerika	n uː r d a m eː r ɪ k a
Nordirland	n uː r d ɪ r l a n d
Nordkorea	² n uː ɖ k ʊ r eː a
Nordmakedonien	n uː r d m a k a d uː n ɪ ɛ n
Nordqvist	n uː r d k v ɪ s t
Norge	n ɔ r j ɛ
Norrbotten	n ɔ r b ɔ t ɛ n
Norrköping	² n ɔ rː ɕ øː p ɪ ŋ
Norrmalmstorgssyndrom	n ɔ r m a l m s ² t ɔ r j s s ʏ n d r oː m
Norrtälje	n ɔ ʈ ɛ l j ɛ
Norrtälje	n ʊ ʈ ɛ l j ɛ
Nynäshamn	n yː n ɛ s h a m n
Närke	n ɛ r k ɛ
Oceanien	ʊ s ɪ ɑː n ɪ ɛ n
Odensjö	uː d ɛ n ɧ øː
Ogge	² ɔ ɡ ɛ
Olle	² ʊ lː ɛ
Olof	uː l ɔ f
Olof	uː l ɔ v
Olof	² uː l ɔ f
Olof	² uː l ɔ v
Oscar	¹ ɔ s k a r
Oskar	¹ ɔ s k a r
Oslo	² ʊ s l ʊ
Ove	² uː v ɛ
Oxen	² ʊ k s ɛ n
Paris	p a r iː s
Paris	p ɑː r ɪ s
Paul	p a͜ʊ l
Paulina	p a͜ʊ ² l iː n a
Peter	p eː t ɛ r
Peter	p ɛ t r
Polen	p oː l ɛ n
Pommern	p ɔ m ɛ r n
Portugal	p ɔ r t ɵ ɡ a l
Preussen	¹ p r ɔ j s ɛ n
Pål	p oː l
Qatar	k a t ɑː r
Quito	k iː t ʊ
Ragge	² r a ɡ ɛ
Ragnarök	r a ŋ n a r øː k
Reykjavik	² r ɛ j k j a v iː k
Robert	¹ r oː b æ ʈ
Robert	¹ r oː b ɛ ʈ
Roffe	² r ɔ f ɛ
Rumänien	r ɵ m ɛː n ɪ ɛ n
Rwanda	² r v a n d a
Ryssby	r ʏ s b yː
Ryssland	r ʏ s l a n d
Rådström	r oː d s t r œ m
Rådulf	r oː d ʉ l f
Rådulfs	r oː d ʉ l f s
SIV	s iː v
Sahlin	s a l iː n
Saturnus	s a t ɵ r n ɵ s
Schweiz	ɧ v ɛ j t s
Serbien	s ɛ r b ɪ ɛ n
Sevilla	s ɛ v iː a
Shetlandsöarna	ɧ ɛ t l a n d s øː a ɳ a
Shetlandsöarna	ɧ ɛ t l a n s øː a ɳ a
Sigtuna	s ɪ ɡː t ʉː n a
Sjökvist	² ɧ øː k v ɪ s t
Sjöquist	² ɧ øː k v ɪ s t
Sjöqvist	² ɧ øː k v ɪ s t
Skeen	ɧ eː n
Skorpionen	s k o r p i uː n ɛ n
Skottland	s k ɔ t l a n d
Skytten	ɧ ʏ tː ɛ n
Skåne	² s k oː n ɛ
Slovakien	s l ʊ v ɑː k ɪ ɛ n
Slovenien	s l ʊ v eː n ɪ ɛ n
Småland	s m oː l a n d
Snövit	² s n øː v iː t
Sofia	s ʊ ² f iː a
Solgerd	s uː l j e r ɖ
Solna	² s oː l n a
Solveig	s ǔː l v ɛ j
Spanien	s p a n j ɛ n
Stenbocken	s t eː n b ɔ kː ɛ n
Stig	s t iː ɡ
Stockholm	² s t ɔ kː h ɔ l m
Stockholm	² s t ɔ kː ɔ l m
Stockholmssyndrom	² s t ɔ k h ɔ l m s s ʏ n d r oː m
Stockholmssyndrom	² s t ɔ k ɔ l m s s ʏ n d r oː m
Storbritannien	s t uː r b r ɪ t a n j ɛ n
Ströget	s t r øː ɡ ɛ t
Sundbyberg	² s ɵ n d b ʏ b æ r j
Sundsvall	s ɵ nː d s v a l
Sundsvall	s ɵ nː s v a l
Svartån	s v a r t oː n
Sveg	s v eː ɡ
Sven	s v ɛ n
Sverige	s v ɛ r j ɛ
Swish	s v ɪ ɕː
Swish	s w ɪ ɕː
Sydamerika	s yː d a m eː r ɪ k a
Sydkorea	² s yː d k ʊ r eː a
Systemet	s ʏ ² s t eː m ɛ t
Säpo	s ɛː p ʊ
Södermanland	s øː d ɛ r m a n l a n d
Södermanland	s œ r m l a n d
Södertälje	s œ d ɛ ʈ ɛ lː j ɛ
Sörmland	s œ r m l a n d
Söul	s øː ʉː l
TP	t eː p eː
Tadzjikistan	t a d ʝ ɪ k ɪ s t ɑː n
Taiwan	t a j v a n
Taiwan	t a j w a n
Tarzan	¹ t a ʂ a n
Therese	t ɛ r eː s
Thunberg	t ʉ̂ː n b æ r j
Tina	² t iː n a
Tjeckien	ɕ ɛ k ɪ ɛ n
Tor	t uː r
Tornedalen	t oː r n ɛ d ɑː l ɛ n
Troca	² t r ɔ k a
Tromsø	t r ʊ m s œ
Turkiet	t ɵ r k iː ɛ t
Turkmenistan	t ɵ r k m ɛ n ɪ s t ɑː n
Tutaryd	t ʉː t a r yː d
Tvillingarna	² t v ɪ lː ɪ ŋː a r n a
Tyresö	t yː r ɛ s øː
Tyresös	t yː r ɛ s øː s
Tyskland	t ʏ s k l a n d
Täby	² t ɛ̌ː b ʏ
UEFA	ɵ ² eː f a
USA	ʉː ɛ s ɑː
Ukraina	ɵ k r a ² iː n a
Ukraina	ɵ ² k r a j n a
Uleåborg	ʉː l ɛ ɔ b ɔ r j
Ulla	² ɵ l a
Ulrika	ɵ l ² r iː k a
Umeå	ʉː m ɛ
Umeå	ʉː m ɛ ɔ
Ungern	ɵ ŋ ɛ r n
Uppland	ɵ p l a n d
Uppsala	ɵ pː s ɑː l a
Uranus	ɵ r ɑː n ɵ s
Uzbekistan	ʉ s b ɛ k ɪ s t ɑː n
Vadstena	v a sː t eː n a
Valhall	v ɑː l h a l
Vallentuna	v a lː ɛ n t ʉː n a
Vanda	v a nː d a
Vatikanstaten	v a t ɪ k ɑː n s t ɑː t ɛ n
Vattumannen	v a tː ʉ m a nː ɛ n
Vaxholm	v a k s h ɔ l m
Venus	v eː n ɵ s
Viborg	v ǐː b ɔ r j
Viola	v ɪ ² uː l a
Vislanda	v ɪ s l a n d a
Vitryssland	v iː t r ʏ s l a n d
Vittaryd	v ɪ t a r yː d
Volvo	v ɔ l v ʊ
Vrå	v r oː oː
Väduren	² v ɛː d ʉː r ɛ n
Värmdö	v æ r m d œː
Värmland	v ɛ r m l a n d
Västerbotten	v ɛ s t ɛ r b ɔ t ɛ n
Västergötland	v ɛ s t ɛ r j øː t l a n d
Västernorrland	v ɛ sː t ə r n ɔ r l ɑ n d
Västerås	ʋ ɛ s t ɛ r oː s
Västeuropa	v ɛ s t ɛ r uː p a
Västmanland	v ɛ s t m a n l a n d
Västsverige	v ɛ s t s v ɛ r j ɛ
Växjö	v ɛ kː ɧ øː
Vågen	v oː ɡ ɛ n
Vårberg	v ɔː r b æ r j
W	v eː
WT	v eː t eː
Wales	w ɛ j l s
Warszawa	v a r ʂ ɑː v a
Wien	v iː n
Ystad	yː s t a
Ytterby	ʏ̂ tː ɛ r b yː
Zeus	s ɛ v s
aa	² ɑː a
abba	² a bː a
abborre	a b b ɔ rː ɛ
abbot	a bː ɔ t
aboensisk	a b ʊ ɛ n s ɪ s k
abonnemang	a b ɔ n ɛ m a ŋː
abonnentförteckning	a b ɔ n ɛ n t f œ ʈ ɛ k n ɪ ŋ
abrupt	a b r ɵ pː t
absolut	a b s ɔ l ʉː t
absorptionsförmåga	a b s ɔ ɹ p ʃ ʊ n s f œ ɹ m oː ɡ a
abstinens	a bː s t ɪ n ɛ nː s
abstinensbesvär	a bː s t ɪ n ɛ nː s b e s v æː r
acajounöt	a k a j u n øː t
acajouträd	a k a j u t r ɛː d
accent	a kː s a ŋː
accent	a kː s ɛ nː t
acceptera	a k s ɛ p t eː r a
accis	a k s iː s
acetylsalicylsyra	a s ɛ t yː l s a l ɪ s yː l s yː r a
ackja	a k j a
ackusativ	a k ɵ s a t iː v
ackuschör	a k ɵ ɧ øː r
ackuschörska	a k ɵ ɧ œ ʂ k a
actionhjälte	a k ʃ ɔ n j ɛ l t ə
adamsäpple	aː d a m s ɛ pː l ɛ
adel	ɑː d ɛ l
adelssläkt	ɒ̀ː d ə l s ‿ s l ɛ kː t
adjektiv	² a dː j ɛ k t iː v
adjunkt	a d j ɵ ŋ k t
adjö	a j øː
adla	ɑː d l a
adlig	ɑː d l ɪ ɡ
adrätt	² ɑː d r ɛ tː
advent	a d v ɛ n t
adventsljusstake	a d ² v ɛ n t s j ʉ̟ː s s t ɑː k ɛ
adventsstjärna	a d v ɛ n t s ɧ ɛː r n a
adventssöndag	a d v ɛ n t s s œ n d ɑː ɡ
adverb	a d v ɛ rː b
adverbial	a d v ɛ r b i ɑː l
advokat	a d v ʊ k ɑː t
affektionsvärde	a f ɛ k ɧ uː n s v ɛː r d ə
affrikata	a f r ɪ k ɑː t a
affär	a ¹ f ɛː r
affärsbiträde	a f æ ʂː b ɪ t r ɛː d ɛ
affärsidé	a f æ ʂ iː d eː
affärskvinna	a f ɛː r s k v ɪ nː a
affärsliv	a f æ ʂ l iː v
affärsman	a f æ ʂ m a n
affärsmässig	a f æ ʂ m ɛ s ɪ ɡ
affärsresa	a f æ ʂ r eː s a
afse	² a f s ɛ
afterski	ɑː f t æː r s k iː
afterski	ɑː f t æː s k iː
afterwork	ɑː f t æː r w oː r k
afterwork	ɑː f t æː w oː r k
afton	a f t ɔ n
aftonfalk	a f t ɔ n f a l k
agat	a ɡ ɑː t
agenda	a ɡ ɛ nː d a
agent	a ɡ ɛ nː t
aggressiv	a ɡ r ɛ s iː v
agna	a ŋ n a
agnosticism	a ɡ n ɔ s t ɪ s ɪ s m
agnostiker	a ɡː n ɔ sː t ɪ k ɛ rː
aioli	a j oː l ɪ
aj	a j
ajdå	a j d oː
ajour	a ɧ uː r
ajö	a j øː
ajöken	a j øː k ɛ n
ajöss	a j œ s
akaciames	a k ɑː s i j a m eː s
akilleshäl	aː k ɪ l ɛ s h ɛː l
akter	² a k t ɛ r
akter	¹ a k t ɛ r
aktie	a kː t s ɪ ɛ
aktiebolag	a k t s i ɛ b ʊ l ɑː ɡ
aktieägare	a kː t s ɪ ɛ ɛː ɡ a r ɛ
aktinium	a k t iː n ɪ ɵ m
aktningsvärd	a k t n ɪ ŋ s v ɛː r d
aktningsvärdhet	a k t n ɪ ŋ s v ɛː ɖ h ɛ t
aktuell	a k t ɵ ɛ l
akupunktur	a k ʉ p ʉ ŋ k t ʉː r
akut	a k ʉː t
akvarellmålare	a k v a r ɛ l m oː l aː r ɛ
al	ɑː l
aladåb	aː l a d oː b
albatross	a l b a t r ɔ s
aldrig	² a lː d r ɪ
aldrig	² a lː d r ɪ ɡ
alert	a l æ ʈ
alfabet	a l f a b eː t
alfastrålning	a l f a s t r oː l n ɪ ŋ
alfågel	ɑː l f oː ɡ ɛ l
alförrädare	ɑː l f œ ɾ ɛː d a ɾ ɛ
alg	a l j
algerier	a l ɧ eː r ɪ ɛ r
algerisk	a l ɧ eː r ɪ s k
alkekung	a l k ɛ k ɵ ŋ
alkohol	a l k ʊ h oː l
alkoholism	a l k ʊ h ʊ l ɪ s m
alkoholism	a l k ʊ l ɪ s m
alkoholist	a l k ʊ h ʊ l ɪ s t
alkoholist	a l k ʊ l ɪ s t
alkoholpåverkad	a l k u h ɔ l p ɔː v ɛ r k a d
alkoläsk	a l k u l ɛ s k
alkolås	a l k u l oː s
all	a l
alla	a l a
alldes	² a lː d ɛ s
allemansrätt	a lː ɛ m a n s r ɛ tː
allestädes	a lː ɛ s t ɛː d ɛ s
allestädesnärvaro	a lː ɛ s t ɛː d s n æ rː v ɑ r uː
allihop	a l ɪ h uː p
allihopa	a l ɪ h uː p a
allmogespråk	a lː m uː ɡ ə s p r oː k
allmän	a l m ɛ n
allmänbildning	a l m ɛ n b ɪ l d n ɪ ŋː
allmängiltig	a lː m ɛ n j ɪ lː t ɪ ɡ
allmängiltighet	a lː m ɛ n j ɪ lː t ɪ ɡ h eː t
allmänhet	a lː m ɛ n h eː t
allmänning	a lː m ɛ n n ɪ ŋ
allmännyttig	a lː m ɛ n n y tː ɪ ɡ
allmänordbok	a lː m ɛ n uː ɖ b uː k
allmänspråk	a lː m ɛ n s p r oː k
allmänspråklig	a lː m ɛ n s p r oː k l ɪ ɡ
allmänt	a lː m ɛ n t
allmäntjänstgöring	a lː m ɛ n t j ɛ n s t s j øː r ɪ ŋ
allofon	a l ʊ f oː n
allriskförsäkring	ɑ l r ɪ s k f œ r s ɛː k r ɪ ŋ
allsköns	ɑ l ɧ œ n s
allsmäktig	ɑ l s m ɛ kː t ɪ ɡ
allsmäktigt	ɑ l s m ɛ kː t ɪ k t
allt	a l t
alltid	² a lː t iː d
alltid	² a lː t ɪ
alltifrån	ɑ l t ɪ f r ɔ n
allting	a l t ɪ ŋ
alltjämt	ɑ l t j ɛ mː t
alltmer	a l t m eː r
alltså	a l t s ɔ
alltså	a s ɔ
allvarlig	a l v ɑː r l ɪ
allvarlig	a l v ɑː r l ɪ ɡ
allätare	ɑ l ɛː t ɑ r ɛ
allé	a l eː
alpglöd	ɑ l p ɡ l øː d
alpjärnsparv	ɑ l p j æː ɳ s p a r v
alpseglare	a l p s eː ɡ l a ɾ ɛ
altblockflöjt	ɑ l t b l ɔ k f l œ j t
alternativfält	ɑ l t ɛ r n ɑ t ɪ v f ɛ l t
altruism	a l t r ɵ ɪ s m
aluminium	a l ɵ m iː n ɪ ɵ m
alun	² ɑː l ɵ n
alun	ɑː l ɵ n
alv	a l v
alveolar	a l v ɛ ʊ l ɑː r
amatör	a m a t øː r
amatörmässig	ɑ m ɑ t œ r m ɛ s ɪ ɡ
ambassadråd	ɑ m b ɑ s ɑ d r ɑː d
ambassadör	ɑ m b ɑ s ɑ d øː r
ambitiös	a m b ɪ ɧ øː s
amerikan	a m r i k ɑː n
amerikan	a m ɛ r i k ɑː n
ametist	a m ɛ t ɪ s t
amma	² a m a
amper	a m p ɛ r
ampere	a m p æː r
amurfalk	ɑː m ɵ r f a l k
ana	² ɑː n a
and	a n d
ande	² a nː d ɛ
anden	² a n d ɛ n
anden	¹ a n d ɛ n
andlig	a n d l ɪ
andlig	a n d l ɪ ɡ
andra	a n d r a
andra	a n d r ɑː
anfalla	a n f a lː a
ange	a n j eː
anhängiggöra	² á n h ɛ ŋ ɡ ɪ ɡ j œ́ː r a
anka	a ŋ k a
anklagelse	a n k l ɑː ɡ ɛ l s ɛ
anmodan	² a n m uː d a n
annanstans	a nː a n s t a nː s
anno	a n uː
annons	a n ɔ n s
annons	a n ɔ ŋ s
anod	a n oː d
anod	a n uː d
anomali	a n ʊ m a l iː
anonym	a n ɔ n yː m
ansat	² a n s a t
ansatt	² a n s a t
ansikte	a nː s ɪ k t ə
ansjovis	a n ɧ uː v ɪ s
anspråk	² a n s p r oː k
ansvarig	² a n s v ɑː r ɪ ɡ
antepenultima	a n t ɛ p ɛ n ɵ l t ɪ m a
antimateria	² a n t ɪ m a t eː r ɪ a
antimon	a n t ɪ m oː n
antimon	a n t ɪ m uː n
antisemit	a n t ɪ s ɛ m iː t
antisemitisk	a n t ɪ s ɛ m iː t ɪ s k
antisemitism	a n t ɪ s ɛ m ɪ t ɪ s m
antyda	a n t yː d a
använda	a n v ɛ n d a
apa	² ɑː p a
apelsinjuice	a p ɛ l ² s iː n j uː s
apotek	a p ʊ t eː k
appellativ	² a p ɛ l a t i v
appetit	a p ɛ t iː t
april	a p r iː l
april	a p r ɪ l
aptit	a p t iː t
aptitlig	a p t ǐː t l ɪ ɡ
aptitretande	a p t îː t r eː t a n d ɛ
aptitretare	a p t îː t r eː t a r ɛ
ara	² ɑː r a
arbeta	á r b eː t a
arbetar	² a rː b eː t a r
arbete	a r b eː t ɛ
arbetslös	a r b eː t s l øː s
