abeag	ɑː b æ͜ɑː ɣ
acweðan	ɑː k w e ð ɑ n
acweðaþ	ɑː k w e ð ɑ θ
acweðe	ɑː k w e ð e
acweðende	ɑː k w e ð e n d e
acweðenne	ɑː k w e ð e n n e
acwelan	ɑː k w e ɫ ɫ ɑ n
acwellan	ɑː k w e ɫ ɫ ɑ n
acwellaþ	ɑː k w e ɫ ɫ ɑ θ
acwelle	ɑː k w e ɫ ɫ e
acwellen	ɑː k w e ɫ ɫ e n
acwellende	ɑː k w e ɫ ɫ e n d e
acwellenne	ɑː k w e ɫ ɫ e n n e
acwencte	ɑː k w e ŋ k t e
acwencton	ɑː k w e ŋ k t o n
acwencþ	ɑː k w e ŋ k θ
acweorna	ɑː k w e͜o rˠ n ɑ
acweorran	ɑː k w e͜o rˠ rˠ ɑ n
acweþan	ɑː k w e ð ɑ n
acweþaþ	ɑː k w e ð ɑ θ
acweþe	ɑː k w e ð e
acweþen	ɑː k w e ð e n
acweþende	ɑː k w e ð e n d e
acweþenne	ɑː k w e ð e n n e
acwilþ	ɑː k w i ɫ θ
acwincan	ɑː k w i ŋ k ɑ n
acwincaþ	ɑː k w i ŋ k ɑ θ
acwince	ɑː k w i ŋ k e
acwincende	ɑː k w i ŋ k e n d e
acworren	ɑː k w o rˠ rˠ e n
acwuncen	ɑː k w u ŋ k e n
acwuncon	ɑː k w u ŋ k o n
acwurron	ɑː k w u rˠ rˠ o n
acyrde	ɑː t͡ʃ y rˠ d e
acyrdon	ɑː t͡ʃ y rˠ d o n
acyrran	ɑː t͡ʃ y rˠ rˠ ɑ n
acyrraþ	ɑː t͡ʃ y rˠ rˠ ɑ θ
acyrre	ɑː t͡ʃ y rˠ rˠ e
acyrred	ɑː t͡ʃ y rˠ rˠ e d
acyrrednes	ɑː t͡ʃ y rˠ rˠ e d n e s
acyrrednessa	ɑː t͡ʃ y rˠ rˠ e d n e s s ɑ
acyrrednesse	ɑː t͡ʃ y rˠ rˠ e d n e s s e
acyrrednessum	ɑː t͡ʃ y rˠ rˠ e d n e s s u m
acyþan	ɑː k yː ð ɑ n
acyþde	ɑː k yː ð d e
acyþed	ɑː k yː ð e d
adælde	ɑː d æː ɫ d e
adælden	ɑː d æː ɫ d e n
adældest	ɑː d æː ɫ d e s t
adældon	ɑː d æː ɫ d o n
adælst	ɑː d æː ɫ s t
adælþ	ɑː d æː ɫ θ
adeafian	ɑː d æ͜ɑː v i ɑ n
adealf	ɑː d æ͜ɑ ɫ f
adelf	ɑː d e ɫ f
adelfan	ɑː d e ɫ v ɑ n
adelfaþ	ɑː d e ɫ v ɑ θ
adelfe	ɑː d e ɫ v e
adelfen	ɑː d e ɫ v e n
adelfende	ɑː d e ɫ v e n d e
adelfenne	ɑː d e ɫ v e n n e
adeliht	ɑ d e l i ç t
adelihtan	ɑ d e l i ç t ɑ n
adelihtum	ɑ d e l i ç t u m
adeorcaþ	ɑː d e͜o rˠ k ɑ θ
adeorcian	ɑː d e͜o rˠ k i ɑ n
adeorcod	ɑː d e͜o rˠ k o d
adiefan	ɑː d i͜yː v ɑ n
adihtan	ɑː d i ç t ɑ n
adilega	ɑː d i l e ɣ ɑ
adilegian	ɑː d i l e ɣ i ɑ n
adilegiende	ɑː d i l e ɣ i e n d e
adilegige	ɑː d i l e ɣ i j e
adilegigen	ɑː d i l e ɣ i j e n
adilegod	ɑː d i l e ɣ o d
adilegode	ɑː d i l e ɣ o d e
adilegodest	ɑː d i l e ɣ o d e s t
adilfst	ɑː d i ɫ f s t
adilfþ	ɑː d i ɫ f θ
adilga	ɑː d i ɫ ɣ ɑ
adilgian	ɑː d i ɫ ɣ i ɑ n
adilgiende	ɑː d i ɫ ɣ i e n d e
adilgige	ɑː d i ɫ ɣ i j e
adilgigen	ɑː d i ɫ ɣ i j e n
adilgod	ɑː d i ɫ ɣ o d
adilgode	ɑː d i ɫ ɣ o d e
adilgodest	ɑː d i ɫ ɣ o d e s t
adlunga	ɑː d l u ŋ ɡ ɑ
adlunge	ɑː d l u ŋ ɡ e
adlungum	ɑː d l u ŋ ɡ u m
adolfen	ɑː d o ɫ v e n
adræfan	ɑː d r æ v ɑ n
adræfaþ	ɑː d r æ v ɑ θ
adræfde	ɑː d r æ v d e
adræfdon	ɑː d r æ v d o n
adræfed	ɑː d r æ v e d
adræfende	ɑː d r æ v e n d e
adranc	ɑː d r ɑ ŋ k
adreag	ɑː d r æ͜ɑː ɣ
adreogan	ɑː d r e͜oː ɣ ɑ n
adreogaþ	ɑː d r e͜oː ɣ ɑ θ
adreoge	ɑː d r e͜oː ɣ e
adreogenne	ɑː d r e͜oː ɣ e n n e
adrifan	ɑː d r iː v ɑ n
adrifaþ	ɑː d r iː v ɑ θ
adrife	ɑː d r iː v e
adrife	ɑː d r i v e
adrifen	ɑː d r iː v e n
adrifen	ɑː d r i v e n
adrifende	ɑː d r iː v e n d e
adrifenne	ɑː d r iː v e n n e
adrifon	ɑː d r i v o n
adrinc	ɑː d r i ŋ k
adrincan	ɑː d r i ŋ k ɑ n
adrincaþ	ɑː d r i ŋ k ɑ θ
adrince	ɑː d r i ŋ k e
adrincende	ɑː d r i ŋ k e n d e
adrincenne	ɑː d r i ŋ k e n n e
adrincst	ɑː d r i ŋ k s t
adrincþ	ɑː d r i ŋ k θ
adrogen	ɑː d r o ɣ e n
adruge	ɑː d r u ɣ e
adrugon	ɑː d r u ɣ o n
adrunce	ɑː d r u ŋ k e
adruncen	ɑː d r u ŋ k e n
adruncon	ɑː d r u ŋ k o n
adsa	ɑ d z ɑ
adulfe	ɑː d u ɫ v e
adulfen	ɑː d u ɫ v e n
adulfon	ɑː d u ɫ v o n
adyfan	ɑː d yː v ɑ n
adyfeþ	ɑː d yː v e θ
æbse	æ b z e
æbylgan	æː b y ɫ j ɑ n
æcerceorl	æ k e r t͡ʃ e͜o rˠ l
æcerceorla	æ k e r t͡ʃ e͜o rˠ l ɑ
æcerceorlas	æ k e r t͡ʃ e͜o rˠ l ɑ s
æcerceorle	æ k e r t͡ʃ e͜o rˠ l e
æcerceorles	æ k e r t͡ʃ e͜o rˠ l e s
æcerceorlum	æ k e r t͡ʃ e͜o rˠ l u m
æcermann	æ k e r m ɑ n
æcern	æː k e rˠ n
æcernu	æː k e rˠ n u
æcerweorc	æ k e r w e͜o rˠ k
æcerweorce	æ k e r w e͜o rˠ k e
æcirn	æː k i rˠ n
æcirnu	æː k i rˠ n u
æðela	æ ð e l ɑ
æðelan	æ ð e l ɑ n
æðelboren	æ ð e l b o r e n
æðelborenan	æ ð e l b o r e n ɑ n
æðelborene	æ ð e l b o r e n e
æðelborenre	æ ð e l b o r e n r e
æðelcyning	æ ð e l k y n i ŋ ɡ
æðelcyninge	æ ð e l k y n i ŋ ɡ e
æðelcyninges	æ ð e l k y n i ŋ ɡ e s
æðele	æ ð e l e
æðeles	æ ð e l e s
Æðelhere	æ ð e l h e r e
Æðelheres	æ ð e l h e r e s
æðeling	æ ð e l i ŋ ɡ
æðelne	æ ð e ɫ n e
æðelo	æ ð e l o
æðelra	æ ð e ɫ r ɑ
æðelre	æ ð e ɫ r e
Æðelred	æ ð e l r e d
Æðelrede	æ ð e l r e d e
Æðelredes	æ ð e l r e d e s
Æðelþryð	æ ð e l θ r yː θ
æðelu	æ ð e l u
æðelum	æ ð e l u m
æðm	æː ð m
æðmas	æː ð m ɑ s
æðme	æː ð m e
æðmes	æː ð m e s
æðmum	æː ð m u m
æfæsta	æː v æ s t ɑ
æfdæl	æ v d æ l
æfdæla	æ v d æ l ɑ
æfdæle	æ v d æ l e
æfdæles	æ v d æ l e s
æfdælu	æ v d æ l u
æfdælum	æ v d æ l u m
æfdyne	æ v d yː n e
æfen	æː v e n
æfendream	æː v e n d r æ͜ɑː m
æfendreame	æː v e n d r æ͜ɑː m e
æfendreames	æː v e n d r æ͜ɑː m e s
æfengebed	æː v e n j e b e d
æfengebede	æː v e n j e b e d e
æfengebedes	æː v e n j e b e d e s
æfengereord	æː v e n j e r e͜o rˠ d
æfengereorda	æː v e n j e r e͜o rˠ d ɑ
æfengereorde	æː v e n j e r e͜o rˠ d e
æfengereordes	æː v e n j e r e͜o rˠ d e s
æfengereordu	æː v e n j e r e͜o rˠ d u
æfengereordum	æː v e n j e r e͜o rˠ d u m
æfenglom	æː v e n ɡ l oː m
æfenlac	æː v e n l ɑː k
æfenlæcan	æː v e n l æː t͡ʃ ɑ n
æfenleoht	æː v e n l e͜oː x t
æfenmete	æː v e n m e t e
æfenna	æː v e n n ɑ
æfennas	æː v e n n ɑ s
æfenne	æː v e n n e
æfennes	æː v e n n e s
æfennum	æː v e n n u m
æfensang	æː v e n s ɑ ŋ ɡ
æfensanga	æː v e n s ɑ ŋ ɡ ɑ
æfensangas	æː v e n s ɑ ŋ ɡ ɑ s
æfensange	æː v e n s ɑ ŋ ɡ e
æfensanges	æː v e n s ɑ ŋ ɡ e s
æfensangum	æː v e n s ɑ ŋ ɡ u m
æfensceop	æː v e n ʃ oː p
æfenscop	æː v e n ʃ o p
æfensteorra	æː v e n s t e͜o rˠ rˠ ɑ
æfensteorran	æː v e n s t e͜o rˠ rˠ ɑ n
æfentid	æː v e n t iː d
æfentida	æː v e n t iː d ɑ
æfentide	æː v e n t iː d e
æfentidum	æː v e n t iː d u m
æfentima	æː v e n t iː m ɑ
æfentiman	æː v e n t iː m ɑ n
æfentimena	æː v e n t iː m e n ɑ
æfentimum	æː v e n t iː m u m
æfentungel	æ v e n t u ŋ ɡ e l
æfentungle	æ v e n t u ŋ ɡ l e
æfentungles	æ v e n t u ŋ ɡ l e s
æfenþeowdom	æː v e n θ e͜oː w d oː m
æfest	æ v e s t
æfesta	æ v e s t ɑ
æfesta	æː v e s t ɑ
æfestan	æː v e s t ɑ n
æfeste	æ v e s t e
æfestes	æ v e s t e s
æfestian	æ v eː s t i ɑ n
æfestiaþ	æ v eː s t i ɑ θ
æfestig	æ v e s t i j
æfestige	æ v e s t i j e
æfestnesse	æː v e s t n e s s e
æfestode	æ v eː s t o d e
æfestum	æ v e s t u m
æfgælþ	æ v ɡ æ ɫ θ
æfgælþa	æ v ɣ æ ɫ ð ɑ
æfgælþe	æ v ɣ æ ɫ ð e
æfgælþum	æ v ɣ æ ɫ ð u m
æfgrynde	æ v ɡ r y n d e
æfnan	æ v n ɑ n
æfnaþ	æ v n ɑ θ
æfnian	æː v n i ɑ n
æfnung	æː v n u ŋ ɡ
æfnunge	æː v n u ŋ ɡ e
æfre	æː v r e
æftercweþan	æ f t e r k w e ð ɑ n
æftercweþaþ	æ f t e r k w e ð ɑ θ
æftercweþe	æ f t e r k w e ð e
æftercweþen	æ f t e r k w e ð e n
æftercweþende	æ f t e r k w e ð e n d e
æftercweþendra	æ f t e r k w e ð e n d r ɑ
æftercweþenne	æ f t e r k w e ð e n n e
æfterfolgian	æ f t e r f o ɫ ɣ i ɑ n
æfterfolgiende	æ f t e r f o ɫ ɣ i e n d e
æfterfylgan	æ f t e r f y ɫ j ɑ n
æftergenga	æ f t e r ɡ e n d͡ʒ ɑ
æftergengan	æ f t e r ɡ e ŋ ɡ ɑ n
æftergengel	æ f t e r ɡ e ŋ ɡ e l
æftergengena	æ f t e r ɡ e ŋ ɡ e n ɑ
æftergengle	æ f t e r ɡ e ŋ ɡ l e
æftergengles	æ f t e r ɡ e ŋ ɡ l e s
æftergengum	æ f t e r ɡ e ŋ ɡ u m
æfterra	æ f t e rˠ rˠ ɑ
æfterspyrian	æ f t e r s p y rˠ j ɑ n
æfterspyriaþ	æ f t e r s p y rˠ j ɑ θ
æfterspyrie	æ f t e r s p y rˠ j e
æfterspyriende	æ f t e r s p y rˠ j e n d e
æfteryldo	æ f t e r y ɫ d o
æfþanca	æ f θ ɑ ŋ k ɑ
æfþancas	æ f θ ɑ ŋ k ɑ s
æfþance	æ f θ ɑ ŋ k e
æfþances	æ f θ ɑ ŋ k e s
æfþancum	æ f θ ɑ ŋ k u m
æfweard	æ v w æ͜ɑ rˠ d
æfweardan	æ v w æ͜ɑ rˠ d ɑ n
æfwearde	æ v w æ͜ɑ rˠ d e
æfweardnes	æ v w æ͜ɑ rˠ d n e s
æfweardnesse	æ v w æ͜ɑ rˠ d n e s s e
æfweardra	æ v w æ͜ɑ rˠ d r ɑ
æfweardum	æ v w æ͜ɑ rˠ d u m
æfwela	æ v w e l ɑ
æfwyrdla	æ v w y rˠ d l ɑ
æfwyrdlan	æ v w y rˠ d l ɑ n
Ægelbeorht	æ ɣ e l b e͜o rˠ x t
Ægenbeald	æː j e n b æ͜ɑ ɫ d
Ægenbealde	æː j e n b æ͜ɑ ɫ d e
Ægenbealdes	æː j e n b æ͜ɑ ɫ d e s
Ægenwulf	æː j e n w u ɫ f
Ægenwulfe	æ ɣ e n w u ɫ v e
Ægenwulfes	æ ɣ e n w u ɫ v e s
ægerfelma	æː j e r f e ɫ m ɑ
æghwa	æː j ʍ ɑː
æghwæm	æː j ʍ æː m
æghwær	æː j ʍ æː r
æghwæt	æː j ʍ æ t
æghwæþer	æː j ʍ æ ð e r
æghwam	æː j ʍ ɑː m
æghwelc	æː j ʍ e ɫ t͡ʃ
æghwelce	æː j ʍ e ɫ t͡ʃ e
æghwelces	æː j ʍ e ɫ t͡ʃ e s
æghwelcne	æː j ʍ e ɫ k n e
æghwelcre	æː j ʍ e ɫ k r e
æghwelcum	æː j ʍ e ɫ t͡ʃ u m
æghwilc	æː j ʍ i ɫ t͡ʃ
æghwilce	æː j ʍ i ɫ t͡ʃ e
æghwilces	æː j ʍ i ɫ t͡ʃ e s
æghwilcne	æː j ʍ i ɫ k n e
æghwilcre	æː j ʍ i ɫ k r e
æghwilcum	æː j ʍ i ɫ t͡ʃ u m
æghwone	æː j ʍ o n e
æghwylc	æː j ʍ y ɫ t͡ʃ
æghwylce	æː j ʍ y ɫ t͡ʃ e
æghwylces	æː j ʍ y ɫ t͡ʃ e s
æghwylcne	æː j ʍ y ɫ k n e
æghwylcre	æː j ʍ y ɫ k r e
æghwylcum	æː j ʍ y ɫ t͡ʃ u m
ægsciell	æː j ʃ i͜y ɫ
ægþer	æː j ð e r
ægweard	æː j w æ͜ɑ rˠ d
ægwyrt	æː j w y rˠ t
ægwyrta	æː j w y rˠ t ɑ
ægwyrte	æː j w y rˠ t e
ægwyrtum	æː j w y rˠ t u m
Ægypta	æ ɣ y p t ɑ
Ægypte	æ ɣ y p t e
Ægyptisca	æ ɣ y p t i ʃ ʃ ɑ
Ægyptiscan	æ ɣ y p t i ʃ ʃ ɑ n
Ægyptisce	æ ɣ y p t i ʃ ʃ e
Ægyptiscena	æ ɣ y p t i ʃ ʃ e n ɑ
Ægyptisces	æ ɣ y p t i ʃ ʃ e s
Ægyptiscne	æ ɣ y p t i ʃ n e
Ægyptiscra	æ ɣ y p t i ʃ r ɑ
Ægyptiscre	æ ɣ y p t i ʃ r e
Ægyptiscum	æ ɣ y p t i ʃ ʃ u m
Ægyptum	æ ɣ y p t u m
æhta	æ ç t ɑ
ælagol	æː l ɑ ɣ o l
ælc	æː ɫ t͡ʃ
ælce	æː ɫ t͡ʃ e
ælces	æː ɫ t͡ʃ e s
ælcne	æː ɫ k n e
ælcor	æ ɫ k o r
ælcre	æː ɫ k r e
ælcum	æː ɫ k u m
ælda	æ ɫ d ɑ
ælde	æ ɫ d e
ældest	æː ɫ d e s t
ældon	æː ɫ d o n
ældra	æ ɫ d r ɑ
Ældred	æ ɫ d r eː d
ældum	æ ɫ d u m
ælenge	æ l e ŋ ɡ e
ælengum	æ l e ŋ ɡ u m
ælf	æ ɫ f
Ælf	æ ɫ f
ælfa	æ ɫ v ɑ
ælfadl	æ ɫ v ɑː d l
ælfcynn	æ ɫ f k y n
ælfcynne	æ ɫ f k y n n e
ælfcynnes	æ ɫ f k y n n e s
ælfe	æ ɫ v e
ælfen	æ ɫ v e n
ælfes	æ ɫ v e s
Ælfflæd	æ ɫ f f l æː d
Ælfgar	æ ɫ v ɡ ɑː r
Ælfgare	æ ɫ v ɡ ɑː r e
Ælfgares	æ ɫ v ɡ ɑː r e s
Ælfgeate	æ ɫ v j æ͜ɑː t e
Ælfgeates	æ ɫ v j æ͜ɑː t e s
Ælfgiefe	æ ɫ v j i͜y f e
Ælfgiefu	æ ɫ v j i͜y v u
Ælfgyþ	æ ɫ v ɡ yː θ
Ælfhelm	æ ɫ f h e ɫ m
Ælfhelme	æ ɫ f h e ɫ m e
Ælfhelmes	æ ɫ f h e ɫ m e s
Ælfhere	æ ɫ f h e r e
Ælfheres	æ ɫ f h e r e s
Ælfhild	æ ɫ f h i ɫ d
Ælfmær	æ ɫ v m æː r
Ælfmære	æ ɫ v m æː r e
Ælfmæres	æ ɫ v m æː r e s
Ælfnoþ	æ ɫ v n oː θ
Ælfnoþe	æ ɫ v n oː ð e
Ælfnoþes	æ ɫ v n oː ð e s
Ælfræd	æ ɫ v r æː d
Ælfræde	æ ɫ v r æː d e
Ælfrædes	æ ɫ v r æː d e s
Ælfrede	æ ɫ v r eː d e
Ælfredes	æ ɫ v r eː d e s
ælfremd	æ ɫ v r e m d
ælfremed	æ ɫ v r e m e d
Ælfric	æ ɫ v r iː t͡ʃ
Ælfrice	æ ɫ v r iː k e
Ælfrices	æ ɫ v r iː k e s
Ælfrun	æ ɫ v r uː n
ælfsciene	æ ɫ f ʃ i͜yː n e
Ælfsige	æ ɫ f s i j e
Ælfsiges	æ ɫ f s i j e s
ælfsogoþa	æ ɫ f s o ɣ o θ ɑ
Ælfstan	æ ɫ f s t ɑː n
Ælfstane	æ ɫ f s t ɑː n e
Ælfstanes	æ ɫ f s t ɑː n e s
Ælfswiþ	æ ɫ f s w i θ
Ælfswiþe	æ ɫ f s w i ð e
ælfþone	æ ɫ f θ o n e
Ælfþryþ	æ ɫ f θ r yː θ
Ælfþryþe	æ ɫ f θ r yː ð e
ælfum	æ ɫ v u m
Ælfware	æ ɫ v w ɑ r e
Ælfwaru	æ ɫ v w ɑ r u
Ælfweard	æ ɫ v w æ͜ɑ rˠ d
Ælfwearde	æ ɫ v w æ͜ɑ rˠ d e
Ælfweardes	æ ɫ v w æ͜ɑ rˠ d e s
Ælfwig	æ ɫ v w iː j
Ælfwine	æ ɫ v w i n e
Ælfwines	æ ɫ v w i n e s
Ælfwynn	æ ɫ v w y n
ælgylden	æ l ɡ y ɫ d e n
ælgyldena	æ l ɡ y ɫ d e n ɑ
ælgyldene	æ l ɡ y ɫ d e n e
ælgyldenne	æ l ɡ y ɫ d e n n e
ælgyldenra	æ ɫ ɣ y ɫ d e n r ɑ
ælgyldenu	æ l ɡ y ɫ d e n u
ælgyldenum	æ l ɡ y ɫ d e n u m
ælgyldnan	æ l ɡ y ɫ d n ɑ n
ælgyldne	æ l ɡ y ɫ d n e
ælgyldnum	æ l ɡ y ɫ d n u m
ælhwit	æ l ʍ iː t
ælincg	æː l i ŋ ɡ
ælincge	æː l i ŋ ɡ ɡ e
æling	æː l i ŋ ɡ
æling	æ l i ŋ ɡ
ælinge	æː l i ŋ ɡ e
Ælle	æ ɫ ɫ e
ællyfta	æ l l y v ɑ
ælmesdæd	æ ɫ m e z d æː d
ælmesdæda	æ ɫ m e z d æː d ɑ
ælmesdæde	æ ɫ m e z d æː d e
ælmesdædum	æ ɫ m e z d æː d u m
ælmesmann	æ ɫ m e z m ɑ n
ælmesmanna	æ ɫ m e z m ɑ n n ɑ
ælmesmannes	æ ɫ m e z m ɑ n n e s
ælmesmannum	æ ɫ m e z m ɑ n n u m
ælmesmenn	æ ɫ m e z m e n
ælmesse	æ ɫ m e s s e
ælmiht	æ l m i ç t
ælmihtga	æ l m i ç t j ɑ
ælmihtgan	æ l m i ç t j ɑ n
ælmihtge	æ l m i ç t j e
ælmihtges	æ l m i ç t j e s
ælmihtgum	æ l m i ç t j u m
ælmihtig	æ l m i ç t i j
Ælmihtig	æ ɫ m i ç t i ɣ
ælmihtiga	æ ɫ m i ç t i j ɑ
ælmihtigan	æ ɫ m i ç t i j ɑ n
ælmihtige	æ l m i ç t i j e
ælmihtiges	æ ɫ m i ç t i j e s
ælmihtigne	æ ɫ m i ç t i j n e
ælmihtigra	æ l m i ç t i j r ɑ
ælmihtigre	æ l m i ç t i j r e
ælmihtigum	æ l m i ç t i j u m
ælnett	æː l n e t
ælreord	æ l r e͜o rˠ d
æmethwil	æː m e t ʍ iː l
æmethyll	æː m e t h y ɫ
æmethyllum	æː m e t h y ɫ ɫ u m
æmielle	æː m i͜y ɫ ɫ e
æmielnessa	æː m i͜y ɫ n e s s ɑ
æmielnesse	æː m i͜y ɫ n e s s e
æmyrgan	æː m y rˠ j ɑ n
æmyrge	æː m y rˠ j e
ængel	æ n d͡ʒ e l
ænges	æː n d͡ʒ e s
ængla	æ n d͡ʒ l ɑ
ænglas	æ n d͡ʒ l ɑ s
Ængle	æ ŋ ɡ l e
ængle	æ n d͡ʒ l e
ængles	æ n d͡ʒ l e s
Ænglisc	æ ŋ ɡ l i ʃ
ænglum	æ n d͡ʒ l u m
ængum	æː n d͡ʒ u m
æppelbearo	æ p p e ɫ b æ͜ɑ r o
æppelbearu	æ p p e ɫ b æ͜ɑ r u
æppelbearwa	æ p p e l b æ͜ɑ rˠ w ɑ
æppelbearwas	æ p p e l b æ͜ɑ rˠ w ɑ s
æppelbearwe	æ p p e l b æ͜ɑ rˠ w e
æppelbearwes	æ p p e l b æ͜ɑ rˠ w e s
æppelbearwum	æ p p e l b æ͜ɑ rˠ w u m
æppelcyrnel	æ p p e l k y rˠ n e l
æppelfealwes	æ p p e ɫ v æ͜ɑ ɫ w e s
æppelhus	æ p p e l h uː s
æppeltreow	æ p p e ɫ t r e͜oː w
æppelþorn	æ p p e l θ o rˠ n
ærcebiscep	æ rˠ t͡ʃ e b i ʃ ʃ e p
ærcebiscep	æ rˠ t͡ʃ e b i ʃ ʃ e p
ærcebiscop	æ rˠ t͡ʃ e b i ʃ ʃ o p
ærcebiscop	æ rˠ t͡ʃ e b i ʃ ʃ o p
ærcebiscopa	æ rˠ t͡ʃ e b i ʃ ʃ o p ɑ
ærcebiscopas	æ rˠ t͡ʃ e b i ʃ ʃ o p ɑ s
ærcebiscope	æ rˠ t͡ʃ e b i ʃ ʃ o p e
ærcebiscopes	æ rˠ t͡ʃ e b i ʃ ʃ o p e s
ærcebiscopum	æ rˠ t͡ʃ e b i ʃ ʃ o p u m
ærdaga	æː r d ɑ ɣ ɑ
ærdagum	æː r d ɑ ɣ u m
ærfe	æ rˠ v e
ærgewinn	æː rˠ j e w i n
ærmorgen	æː r m o rˠ ɣ e n
ærn	æ rˠ n
ærna	æ rˠ n ɑ
ærnan	æ rˠ n ɑ n
ærnaþ	æ rˠ n ɑ θ
ærndon	æ rˠ n d o n
ærnu	æː rˠ n u
ærnum	æː rˠ n u m
ærre	æː rˠ rˠ e
ærs	æ rˠ s
ærses	æ rˠ z e s
Æschere	æ ʃ h e r e
Æscheres	æ ʃ h e r e s
æscholt	æ ʃ h o ɫ t
æscmann	æ ʃ m ɑ n
æscmenn	æ ʃ m e n
Æscwulf	æ ʃ w u ɫ f
Æscwulfe	æ ʃ w u ɫ v e
Æscwulfes	æ ʃ w u ɫ v e s
æse	æː z e
æsellend	æː s e ɫ ɫ e n d
æses	æː z e s
æspring	æː s p r i ŋ ɡ
ætbærst	æ t b æ rˠ s t
ætberstan	æ t b e rˠ s t ɑ n
ætberstaþ	æ t b e rˠ s t ɑ θ
ætberste	æ t b e rˠ s t e
ætberstende	æ t b e rˠ s t e n d e
ætberstenne	æ t b e rˠ s t e n n e
ætbirst	æ t b i rˠ s t
ætbirþ	æ t b i rˠ θ
ætborsten	æ t b o rˠ s t e n
