ཀ	k ɐ́
ཁུག་ཤ་ལིང	kʰ ú k ç ɐ l i ŋ
ཁུན་ཏོ་ལ	kʰ ú n t̪ o l ɐ
ཁུན་ཏོལ	kʰ ú n t̪ o l
ཁེ་དི	kʰ é d̪ i
ཁེ་ཡ་ང	kʰ é j ɐ ŋ ɐ
ཁོར	kʰ ó r
ཁྭི	kʰ w í
ཁྭེ	kʰ w é
ག	ɡ ɐ̀
ག་མ་སེང	ɡ ɐ̀ m ɐ s e ŋ
ག་མི	ɡ ɐ̀ m i
ག་རོ	ɡ ɐ̀ r o
ག་ལིང་མ	ɡ ɐ̀ l i ŋ m ɐ
གར	ɡ ɐ̀ r
གུ་ཡུང	ɡ ù j u ŋ
གེ	ɡ è
གེ་ཚུལ	ɡ è t̪͡sʰ u i̯ l ɐ
གེ་ཚུལ	ɡ è t̪͡sʰ u l ɐ
གེ་ཚུལ	ɡ è t̪͡sʰ yː l ɐ
གེ་ཤང	ɡ è ç ɐ ŋ
གོ	ɡ ò
གོན་པ	ɡ ò n p ɐ
གོམ་ཅིན་ཕ་ཝང	ɡ ò m c͡ɕ i n pʰ ɐ w ɐ ŋ
གོར	ɡ ò r
ང́ན་མན	ŋ ɐ́ n m ɐ n
ངག	ŋ ɐ̀ k
ངག	ŋ ɐ̀ː
ངད	ŋ ɐ̀ t̪
ངར	ŋ ɐ̀ r
ངཱ́	ŋ ɐ́ː
ངི́་ཡ	ŋ í j ɐ
ངོའི	ŋ ò i̯
ཅ	c͡ɕ ɐ́
ཅ་ཀར	c͡ɕ ɐ́ k ɐ r
ཅ་ཁར་པ	c͡ɕ ɐ́ kʰ ɐ r p ɐ
ཅ་པལ	c͡ɕ ɐ́ p ɐ l
ཅ་མ	c͡ɕ ɐ́ m ɐ
ཅ་མ་ལིང	c͡ɕ ɐ́ m ɐ l i ŋ
ཅ་མ་ལིང་སེང	c͡ɕ ɐ́ m ɐ l i ŋ s e ŋ
ཅ་ཞམ	c͡ɕ ɐ́ ç ɐ m
ཅ་ར	c͡ɕ ɐ́ r ɐ
ཅང་ཏ	c͡ɕ ɐ́ ŋ t̪ ɐ
ཅང་མ	c͡ɕ ɐ́ ŋ m ɐ
ཅང་མ་སེང	c͡ɕ ɐ́ ŋ m ɐ s e ŋ
ཅང་མའི་སེང	c͡ɕ ɐ́ ŋ m ɐ i̯ s e ŋ
ཅང་མི་སེང	c͡ɕ ɐ́ ŋ m i s e ŋ
ཅི་ཚོག	c͡ɕ í t̪͡sʰ o k
ཅི་ཚོག	c͡ɕ í t̪͡sʰ oː
ཅུ་ཀ་ལིང	c͡ɕ ú k ɐ l i ŋ
ཅེན	c͡ɕ é n
ཆ་ཝ	c͡ɕʰ ɐ́ w ɐ
ཆ་རོ	c͡ɕʰ ɐ́ r o
ཆར་ནིང	c͡ɕʰ ɐ́ r n i ŋ
ཆར་ནིན	c͡ɕʰ ɐ́ r n i n
ཆི	c͡ɕʰ í
ཆི་ལིང་པ	c͡ɕʰ í l i ŋ p ɐ
ཆིས་ཀུམ	c͡ɕʰ í s k u m
ཆིས་པུང	c͡ɕʰ í s p u ŋ
ཆེ	c͡ɕʰ é
ཆོ	c͡ɕʰ ó
ཆོ	c͡ɕʰ ó i̯
ཆོ	c͡ɕʰ ǿː
ཆོ་ཙི	c͡ɕʰ ó i̯ t̪͡s i
ཆོ་ཙི	c͡ɕʰ ó t̪͡s i
ཆོ་ཙི	c͡ɕʰ ǿː t̪͡s i
ཇ	ɟ͡ʑ ɐ̀
ཇ་ཆུང	ɟ͡ʑ ɐ̀ c͡ɕʰ u ŋ
ཇ་ཐམ་པ	ɟ͡ʑ ɐ̀ t̪ʰ ɐ m p ɐ
ཇ་ཚ	ɟ͡ʑ ɐ̀ t̪͡sʰ ɐ
ཇ་ཟི་ལ	ɟ͡ʑ ɐ̀ z i l ɐ
ཇང	ɟ͡ʑ ɐ̀ ŋ
ཇད	ɟ͡ʑ ɐ̀ t̪
ཇར་ཀན	ɟ͡ʑ ɐ̀ r k ɐ n
ཇར་ཀིན	ɟ͡ʑ ɐ̀ r k i n
ཇིག་པ	ɟ͡ʑ ì k p ɐ
ཇིན	ɟ͡ʑ ì n
ཇུ	ɟ͡ʑ ù
ཇུ་ཏང	ɟ͡ʑ ù t̪ ɐ ŋ
ཇོ་མ	ɟ͡ʑ ò m ɐ
ཇོ་མོ་ལྷ་རི	ɟ͡ʑ ò m o l̥ ɐ r i
ཇོམ	ɟ͡ʑ ò m
ཉ	ɲ ɐ̀
ཉོ́་ཟེ	ɲ ó z e
ཉོ́མ	ɲ ó m
ཏ	t̪ ɐ́
ཏ་མ་ཟི	t̪ ɐ́ m ɐ z i
ཏ་ཝ	t̪ ɐ́ w ɐ
ཏབ	t̪ ɐ́ p
ཏར་ཝ	t̪ ɐ́ r w ɐ
ཏཱ	t̪ ɐ́ː
ཏི་ད་ལིང	t̪ í d̪ ɐ l i ŋ
ཏི་རུ	t̪ í r u
ཏུ	t̪ ú
ཏོ	t̪ ó
ཏོ	t̪ ó i̯
ཏོ	t̪ ǿː
ཏོང་ཕུ	t̪ ó ŋ pʰ u
ཏྲ	ʈ r ɐ́
ཏྲ	ʈ ɐ́
ཏྲ་ཤི་གང	ʈ r ɐ́ ç i ɡ ɐ ŋ
ཏྲ་ཤི་གང	ʈ ɐ́ ç i ɡ ɐ ŋ
ཏྲཱ	ʈ r ɐ́ː
ཏྲཱ	ʈ ɐ́ː
ཏྲེ	ʈ r é
ཏྲེ	ʈ é
ཏྲོ	ʈ r ó
ཏྲོ	ʈ ó
ཏྲོང	ʈ r ó ŋ
ཏྲོང	ʈ ó ŋ
ཏྲོང་སར	ʈ r ó ŋ s ɐ r
ཏྲོང་སར	ʈ ó ŋ s ɐ r
ཐང	t̪ʰ ɐ́ ŋ
ཐབ་གང	t̪ʰ ɐ́ p ɡ ɐ ŋ
ཐཱོ	t̪ʰ óː
ཐིང་ཕུ	t̪ʰ í ŋ pʰ u
ཐིམ་ཕུ	t̪ʰ í m pʰ u
ཐུག	t̪ʰ ú k
ཐུག	t̪ʰ úː
ཐེག	t̪ʰ é k
ཐེག	t̪ʰ éː
ཐེབ	t̪ʰ é p
ཐོང	t̪ʰ ó ŋ
ཐྲ	ʈʰ r ɐ́
ཐྲ	ʈʰ ɐ́
ཐྲག	ʈʰ r ɐ́ k
ཐྲག	ʈʰ r ɐ́ː
ཐྲག	ʈʰ ɐ́ k
ཐྲག	ʈʰ ɐ́ː
ཐྲད	ʈʰ r ɐ́ t̪
ཐྲད	ʈʰ ɐ́ t̪
ཐྲི	ʈʰ r í
ཐྲི	ʈʰ í
ཐྲོང	ʈʰ r ó ŋ
ཐྲོང	ʈʰ ó ŋ
ཐྲོང་ཏ	ʈʰ r ó ŋ t̪ ɐ
ཐྲོང་ཏ	ʈʰ ó ŋ t̪ ɐ
ཐྲོམ	ʈʰ r ó m
ཐྲོམ	ʈʰ ó m
ད་སུམ	d̪ ɐ̀ s u m
དང་ནིན	d̪ ɐ̀ ŋ n i n
དང་མ	d̪ ɐ̀ ŋ m ɐ
དམ	d̪ ɐ̀ m
དའུ	d̪ ɐ̀ u̯
དི	d̪ ì
དིའུ	d̪ ì u̯
དིས་ཀུམ	d̪ ì s k u m
དིས་པུང	d̪ ì s p u ŋ
དུང་མ	d̪ ù ŋ m ɐ
དུང་མིན	d̪ ù ŋ m i n
དོ་གོ	d̪ ò ɡ o
དོང	d̪ ò ŋ
དོད	d̪ ò t̪
དོམ	d̪ ò m
དྲ	ɖ r ɐ̀
དྲ	ɖ ɐ̀
དྲཱེ	ɖ r èː
དྲཱེ	ɖ èː
དྲི་བུ	ɖ r ì b u
དྲི་བུ	ɖ ì b u
དྲུ	ɖ r ù
དྲུ	ɖ ù
དྲུག	ɖ r ù k
དྲུག	ɖ r ùː
དྲུག	ɖ ù k
དྲུག	ɖ ùː
དྲུག་ཡུལ	ɖ r ù k j u l
དྲུག་ཡུལ	ɖ ù k j u l
དྲེམ	ɖ r è m
དྲེམ	ɖ è m
དྲོ	ɖ r ò
དྲོ	ɖ ò
དྲོང་གིམ་ཙི	ɖ r ò ŋ ɡ i m t̪͡s i
དྲོང་གིམ་ཙི	ɖ ò ŋ ɡ i m t̪͡s i
ན́	n ɐ́
ན́་ལིང་པ	n ɐ́ l i ŋ p ɐ
ན́་ལིམ་པ	n ɐ́ l i m p ɐ
ན́་ལུམ་པ	n ɐ́ l u m p ɐ
ན́ན	n ɐ́ n
ན́མ	n ɐ́ m
ནད	n ɐ̀ t̪
ནས་ཀུམ	n ɐ̀ s k u m
ནས་པུང	n ɐ̀ s p u ŋ
ནཱི́	n íː
ནཱེ́་སང	n éː s ɐ ŋ
ནི	n ì
ནི́འུ་ལི	n í u̯ l i
ནིན	n ì n
ནུབ	n ù p
ནེ	n è
ནེ́ང	n é ŋ
ནེ་ནེ	n è n e
ནེ་ཡོར	n è j o r
ནེད	n è t̪
ནེར	n è r
ནོ	n ò
ནོ་མི	n ò m i
ནོ་མེ	n ò m e
ནོར	n ò r
ནོར་བུ་སི་ལི	n ò r b u s i l i
པ་རི་ཝ	p ɐ́ r i w ɐ
པ་ལང	p ɐ́ l ɐ ŋ
པཱ	p ɐ́ː
པི་པ་ལིང	p í p ɐ l i ŋ
པི་སིང	p í s i ŋ
པི་སེང	p í s e ŋ
པུ་ར	p ú r ɐ
པུ་སུམ	p ú s u m
པུས་ཀུམ	p ú s k u m
པོ	p ó
པོང་མ	p ó ŋ m ɐ
པྲ	p r ɐ́
པྲི་མང	p r í m ɐ ŋ
ཕ་མ	pʰ ɐ́ m ɐ
ཕག	pʰ ɐ́ k
ཕག	pʰ ɐ́ː
ཕག་པ	pʰ ɐ́ k p ɐ
ཕད	pʰ ɐ́ t̪
ཕར་ཝ	pʰ ɐ́ r w ɐ
ཕཱི	pʰ íː
ཕཱེ	pʰ éː
ཕི་ལིང་པ	pʰ í l i ŋ p ɐ
ཕི་ལིང་པི་ཁ	pʰ í l i ŋ p i kʰ ɐ
ཕིག་སང	pʰ í k s ɐ ŋ
ཕུན་ཚོ་ལིང	pʰ ú n t̪͡sʰ o l i ŋ
ཕེང	pʰ é ŋ
ཕེལ་ཀེ	pʰ é l k e
ཕོ	pʰ ó
ཕོ་ཇ	pʰ ó ɟ͡ʑ ɐ
ཕོ་ཝ	pʰ ó w ɐ
ཕོབ་ས	pʰ ó p s ɐ
ཕྲུམ	pʰ r ú m
བ	b ɐ̀
བ་རི	b ɐ̀ r i
བ་ཤ	b ɐ̀ ç ɐ
བར་ཕེ་ལ	b ɐ̀ r pʰ e l ɐ
བས	b ɐ̀ s
བས	b ɐ̀ː
བཱུ	b ùː
བཱེ	b èː
བི	b ì
བི་རོ	b ì r o
བུ་ཚབ	b ù t̪͡sʰ ɐ p
བུམ་པ	b ù m p ɐ
བེས་ཀོབ	b è s k o p
བོ	b ò
བོ་མི	b ò m i
བོ་ས	b ò s ɐ
བོང་ཀུ	b ò ŋ k u
བོད	b ò t̪
བོར	b ò r
བྲང	b r ɐ̀ ŋ
བྲང་ཏོ	b r ɐ̀ ŋ t̪ o
བྲན	b r ɐ̀ n
བྲན་ཏ	b r ɐ̀ n t̪ ɐ
བྲེ	b r è
བླེ	b l è
མ་ཧེ	m ɐ̀ h e
མག་པ	m ɐ̀ k p ɐ
མང་ཏོ་ལ	m ɐ̀ ŋ t̪ o l ɐ
མན་ཏི	m ɐ̀ n t̪ i
མར	m ɐ̀ r
མཱེ	m èː
མི	m ì
མི́ག་མར	m í k m ɐ r
མི་པང	m ì p ɐ ŋ
མི་ཡའུ	m ì j ɐ u̯
མིག	m ì k
མིག	m ìː
མིང	m ì ŋ
མུ	m ù
མུ་ཏུ་མ	m ù t̪ u m ɐ
མེ་ཏོ	m è t̪ o
མེ་མེ	m è m e
མེང	m è ŋ
མོ་ཇ	m ò ɟ͡ʑ ɐ
མོ་བ་འིལ	m ò b ɐ i l
མོབ་ས	m ò p s ɐ
མོར	m ò r
མྱ	m ɲ ɐ̀
མྱ	ɲ ɐ̀
ཙ	t̪͡s ɐ́
ཙ་ཝ	t̪͡s ɐ́ w ɐ
ཙང་ཆུ	t̪͡s ɐ́ ŋ c͡ɕʰ u
ཙིད་པོ	t̪͡s í t̪ p o
ཙུན	t̪͡s ú n
ཚ	t̪͡sʰ ɐ́
ཚཱོ	t̪͡sʰ óː
ཚེ	t̪͡sʰ é
ཚེ་ཝང	t̪͡sʰ é w ɐ ŋ
ཚོ	t̪͡sʰ ó
ཝ	w ɐ̀
ཝང	w ɐ̀ ŋ
ཝམ	w ɐ̀ m
ཝིད	w ì t̪
ཝིར	w ì r
ཝུ་དི	w ù d̪ i
ཝེང	w è ŋ
ཝེང་ཁ	w è ŋ kʰ ɐ
ཝོ	w ò
ཝོ་མེ	w ò m e
ཝོ་ཟི	w ò z i
ཝོ་ཡེ	w ò j e
ཞ་ཙིག	ç ɐ̀ t̪͡s i k
ཞ་ཙིག	ç ɐ̀ t̪͡s iː
ཞཱ	ç ɐ̀ː
ཞི་དོང་ལ	ç ì d̪ o ŋ l ɐ
ཞི་ལུང	ç ì l u ŋ
ཞིང་སེང	ç ì ŋ s e ŋ
ཞིན་ཏི	ç ì n t̪ i
ཞིན་སེང	ç ì n s e ŋ
ཞིམ་བུ་ལ	ç ì m b u l ɐ
ཞེ་ས	ç è s ɐ
ཞོ	ç ò
ཞོང	ç ò ŋ
ཞོར	ç ò r
ཟ	z ɐ̀
ཟང	z ɐ̀ ŋ
ཟང་པོ	z ɐ̀ ŋ p o
ཟིག	z ì k
ཟིག	z ìː
ཟིམ་ཅུང	z ì m c͡ɕ u ŋ
ཟོང	z ò ŋ
ཟོང་ཁ	z ò ŋ kʰ ɐ
ཟོན	z ò n
འ་ཀུ	ʔ ɐ̀ k u
འ་ཅི	ʔ ɐ̀ c͡ɕ i
འ་པ	ʔ ɐ̀ p ɐ
འ་མ	ʔ ɐ̀ m ɐ
འ་མིན	ʔ ɐ̀ m i n
འ་ཤང	ʔ ɐ̀ ç ɐ ŋ
འམ	ʔ ɐ̀ m
འམ་ཅུ་ཀུ་ལི	ʔ ɐ̀ m c͡ɕ u k u l i
འའི	ʔ ɐ̀ i̯
འའི་ཡ	ʔ ɐ̀ i̯ j ɐ
འའུ་ཞ	ʔ ɐ̀ u̯ ç ɐ
འུག་པ	ʔ ù k p ɐ
ཡ་ང	j ɐ̀ ŋ ɐ
ཡང་པ	j ɐ̀ ŋ p ɐ
ཡམ	j ɐ̀ m
ཡམ་པ	j ɐ̀ m p ɐ
ཡཱ	j ɐ̀ː
ཡུའི	j ú
ཡུའི	j ú i̯
ཡུའི	j ýː
ཡོག	j ò k
ཡོག	j òː
ཡོད	j ò t̪
ར	r ɐ̀
ར́	r ɐ́
ར́མ	r ɐ́ m
ར་ཙ	r ɐ̀ t̪͡s ɐ
རག་ཤ	r ɐ̀ k ç ɐ
རི	r ì
རི́ན་པོ	r í n p o
རི་ཕག	r ì pʰ ɐ k
རི་ཕག	r ì pʰ ɐː
རི་བུང	r ì b u ŋ
རི་བོང	r ì b o ŋ
རི་ལང	r ì l ɐ ŋ
རུ་ལུ་ཝ	r ù l u w ɐ
རེ་མོ	r è m o
རོད་པ	r ò t̪ p ɐ
རོས་པ	r ò s p ɐ
ལ	l ɐ̀
ལ́་མ	l ɐ́ m ɐ
ལ́ང་པོ་ཆེ	l ɐ́ ŋ p o c͡ɕʰ e
ལ́ར་ཙི	l ɐ́ r t̪͡s i
ལ་ཝམ	l ɐ̀ w ɐ m
ལག	l ɐ̀ k
ལག	l ɐ̀ː
ལར་ཙེ	l ɐ̀ r t̪͡s e
ལི́	l í
ལི་མི	l ì m i
ལུས་པུ	l ù s p u
ལེ́་ཀོར	l é k o r
ལེང	l è ŋ
ལེབ	l è p
ལོ́་ཝ	l ó w ɐ
ལྷ་ཁང	l̥ ɐ́ kʰ ɐ ŋ
ལྷག་པ	l̥ ɐ́ k p ɐ
ལྷོ	l̥ ó
ཤ	ç ɐ́
ཤ་ཝ	ç ɐ́ w ɐ
ཤར	ç ɐ́ r
ཤིའུ་ལི	ç í u̯ l i
ཤུ་ཤུ	ç ú ç u
ས	s ɐ́
སཱེ	s éː
སི་ངི	s í ŋ i
སིང་གེ	s í ŋ ɡ e
སུད	s ú t̪
སུད་ཁན	s ú t̪ kʰ ɐ n
སུམ	s ú m
སེ	s é
སེ་མོ	s é m o
སེང	s é ŋ
སེང་གེ	s é ŋ ɡ e
སེང་ལེབ	s é ŋ l e p
སེམ	s é m
སེམ་ཅན	s é m c͡ɕ ɐ n
སེར	s é r
ཧར་པོ་ལ	h ɐ́ r p o l ɐ
ཨ་ཀུ	ʔ ɐ́ k u
ཨ་ཅི	ʔ ɐ́ c͡ɕ i
ཨ་པ	ʔ ɐ́ p ɐ
ཨ་བུ་ཀ་ཀི	ʔ ɐ́ b u k ɐ k i
ཨ་མ	ʔ ɐ́ m ɐ
ཨ་མིན	ʔ ɐ́ m i n
ཨ་ཝ	ʔ ɐ́ w ɐ
ཨ་རི་ཟོ་ན	ʔ ɐ́ r i z o n ɐ
ཨ་ཤང	ʔ ɐ́ ç ɐ ŋ
ཨའི་ཡ	ʔ ɐ́ i̯ j ɐ
ཨིས་ཀུལ	ʔ í s k u l
ཨུ་ཤ	ʔ ú ç ɐ
ཨུ་སི་ལ	ʔ ú s i l ɐ
ཨུ་སེ་ལ	ʔ ú s e l ɐ
