A	a
czytmorz	t͡ʂ ɪ t m ɔ ʂ
czyńścij	t͡ʂ ɪ ɲ ɕ t͡ɕ i j
czyńść	t͡ʂ ɪ ɲ ɕ t͡ɕ
czyścić	t͡ʂ ɪ ɕ t͡ɕ i t͡ɕ
człowiek	t͡ʂ w ɔ v j ɛ k
człōnek	t͡ʂ w o n ɛ k
czŏrny	t͡ʂ ɔ r n ɪ
czŏrny	t͡ʂ ɔ w r n ɪ
czŏrny	t͡ʂ ɛ w r n ɪ
cōż	t͡s o ʂ
daks	d a k s
daksi	d a k ɕ i
daleki	d a l ɛ k i
daleko	d a l ɛ k ɔ
dalij	d a l i j
damas	d a m a s
damast	d a m a s t
damaszek	d a m a ʂ ɛ k
danga	d a ŋ ɡ a
Danijŏ	d a ɲ i j ɔ
Danijŏ	d a ɲ i j ɔ w
Danijŏ	d a ɲ i j ɛ w
dar	d a r
dać	d a t͡ɕ
departamynt	d ɛ p a r t a m ɪ n t
dermatologijŏ	d ɛ r m a t ɔ l ɔ ɡ i j ɔ
dermatologijŏ	d ɛ r m a t ɔ l ɔ ɡ i j ɔ w
dermatologijŏ	d ɛ r m a t ɔ l ɔ ɡ i j ɛ w
dinst	d i n s t
diŏboł	d j ɔ b ɔ w
diŏboł	d j ɔ w b ɔ w
diŏboł	d j ɛ w b ɔ w
dlō	d l o
dlŏ	d l ɔ
dlŏ	d l ɔ w
dlŏ	d l ɛ w
do	d ɔ
dobry	d ɔ b r ɪ
dobrze	d ɔ b ʐ ɛ
dodać	d ɔ d a t͡ɕ
dograć	d ɔ ɡ r a t͡ɕ
dojzdrzały	d ɔ j z d ʐ a w ɪ
dokumynt	d ɔ k u m ɪ n t
dolar	d ɔ l a r
doległość	d ɔ l ɛ ɡ w ɔ ɕ t͡ɕ
dolmeczer	d ɔ l m ɛ t͡ʂ ɛ r
dopiyro	d ɔ p j ɪ r ɔ
dopytać	d ɔ p ɪ t a t͡ɕ
dostympny	d ɔ s t ɪ m p n ɪ
dotōnd	d ɔ t o n t
dowiedzieć	d ɔ v j ɛ d͡ʑ ɛ t͡ɕ
dowōd	d ɔ v o t
dość	d ɔ ɕ t͡ɕ
drabka	d r a p k a
drach	d r a x
drewno	d r ɛ v n ɔ
drobny	d r ɔ b n ɪ
drogi	d r ɔ ɡ i
drugi	d r u ɡ i
drużyna	d r u ʐ ɪ n a
drzewianny	d ʐ ɛ v j a n n ɪ
drzewo	d ʐ ɛ v ɔ
drzistać	d ʐ i s t a t͡ɕ
drzwi	d ʐ v i
drzymać	d ʐ ɪ m a t͡ɕ
drzyń	d ʐ ɪ ɲ
drōga	d r o ɡ a
drōgã	d r o ɡ ã
dubać	d u b a t͡ɕ
dugi	d u ɡ i
dugość	d u ɡ ɔ ɕ t͡ɕ
dumać	d u m a t͡ɕ
durch	d u r x
durś	d u r ɕ
dużo	d u ʐ ɔ
duży	d u ʐ ɪ
dwa	d v a
dy	d ɪ
dycha	d ɪ x a
dykcjōnŏrz	d ɪ k t͡s j o n ɔ ʂ
dykcjōnŏrz	d ɪ k t͡s j o n ɔ w ʂ
dykcjōnŏrz	d ɪ k t͡s j o n ɛ w ʂ
dymbiōnka	d ɪ m b j o ŋ k a
dymbiōnkã	d ɪ m b j o ŋ k ã
dynga	d ɪ ŋ ɡ a
dynkmal	d ɪ ŋ k m a l
dyrgać	d ɪ r ɡ a t͡ɕ
dyskusyjŏ	d ɪ s k u s ɪ j ɔ
dyskusyjŏ	d ɪ s k u s ɪ j ɔ w
dyskusyjŏ	d ɪ s k u s ɪ j ɛ w
dyszcz	d ɪ ʂ t͡ʂ
dyć	d ɪ t͡ɕ
działanie	d͡ʑ a w a ɲ ɛ
działać	d͡ʑ a w a t͡ɕ
dzie	d͡ʑ ɛ
dziechcioł	d͡ʑ ɛ x t͡ɕ ɔ w
dziecko	d͡ʑ ɛ t͡s k ɔ
dziedzina	d͡ʑ ɛ d͡ʑ i n a
dziesiyńć	d͡ʑ ɛ ɕ ɪ ɲ t͡ɕ
dziesiōnty	d͡ʑ ɛ ɕ o n t ɪ
dzieucha	d͡ʑ ɛ w x a
dziewiytnŏsty	d͡ʑ ɛ v j ɪ t n ɔ s t ɪ
dziewiytnŏsty	d͡ʑ ɛ v j ɪ t n ɔ w s t ɪ
dziewiytnŏsty	d͡ʑ ɛ v j ɪ t n ɛ w s t ɪ
dziewiyńć	d͡ʑ ɛ v j ɪ ɲ t͡ɕ
dziewiōnty	d͡ʑ ɛ v j o n t ɪ
dzieło	d͡ʑ ɛ w ɔ
dziełucha	d͡ʑ ɛ w u x a
dzioucha	d͡ʑ ɔ u x a
dziołcha	d͡ʑ ɔ w x a
dzisiej	d͡ʑ i ɕ ɛ j
dzisiejszy	d͡ʑ i ɕ ɛ j ʂ ɪ
dzisio	d͡ʑ i ɕ ɔ
dzisioj	d͡ʑ i ɕ ɔ j
dziurdziuch	d͡ʑ u r d͡ʑ u x
dziwny	d͡ʑ i v n ɪ
dziwoki	d͡ʑ i v ɔ k i
dziycio	d͡ʑ ɪ t͡ɕ ɔ
dziyndzioł	d͡ʑ ɪ n d͡ʑ ɔ w
dziynki	d͡ʑ ɪ ŋ k i
dziynkować	d͡ʑ ɪ ŋ k ɔ v a t͡ɕ
dziywka	d͡ʑ ɪ f k a
dziywkã	d͡ʑ ɪ f k ã
dziyń	d͡ʑ ɪ ɲ
dziŏć	d͡ʑ ɔ t͡ɕ
dziŏć	d͡ʑ ɔ w t͡ɕ
dziŏć	d͡ʑ ɛ w t͡ɕ
dziś	d͡ʑ i ɕ
dłōń	d w o ɲ
dō	d o
dōm	d o m
dōmb	d o m p
dŏchtōr	d ɔ x t o r
dŏchtōr	d ɔ w x t o r
dŏchtōr	d ɛ w x t o r
dŏr	d ɔ r
dŏr	d ɔ w r
dŏr	d ɛ w r
dŏwać	d ɔ v a t͡ɕ
dŏwać	d ɔ w v a t͡ɕ
dŏwać	d ɛ w v a t͡ɕ
dŏwno	d ɔ v n ɔ
dŏwno	d ɔ w v n ɔ
dŏwno	d ɛ w v n ɔ
dŏwny	d ɔ v n ɪ
dŏwny	d ɔ w v n ɪ
dŏwny	d ɛ w v n ɪ
dźwiyrze	d͡ʑ v j ɪ ʐ ɛ
efoj	ɛ f ɔ j
ejźli	ɛ j ʑ l i
eli	ɛ l i
elwer	ɛ l v ɛ r
epny	ɛ p n ɪ
erb	ɛ r p
erbizna	ɛ r b i z n a
erbować	ɛ r b ɔ v a t͡ɕ
erbowizna	ɛ r b ɔ v i z n a
erc	ɛ r t͡s
Estōnijŏ	ɛ s t o ɲ i j ɔ
Estōnijŏ	ɛ s t o ɲ i j ɔ w
Estōnijŏ	ɛ s t o ɲ i j ɛ w
etap	ɛ t a p
etapa	ɛ t a p a
eźli	ɛ ʑ l i
fabryka	f a b r ɪ k a
fachlować	f a x l ɔ v a t͡ɕ
fajer	f a j ɛ r
fajla	f a j l a
fajlbank	f a j l b a ŋ k
fajlować	f a j l ɔ v a t͡ɕ
fajrować	f a j r ɔ v a t͡ɕ
fakt	f a k t
faktōr	f a k t o r
falka	f a l k a
fana	f a n a
fanga	f a ŋ ɡ a
fara	f a r a
farny	f a r n ɪ
farski	f a r s k i
farŏrz	f a r ɔ ʂ
farŏrz	f a r ɔ w ʂ
farŏrz	f a r ɛ w ʂ
faska	f a s k a
fater	f a t ɛ r
fazan	f a z a n
fecher	f ɛ x ɛ r
fedrować	f ɛ d r ɔ v a t͡ɕ
fera	f ɛ r a
ferflejgować	f ɛ r f l ɛ j ɡ ɔ v a t͡ɕ
ferflejgōng	f ɛ r f l ɛ j ɡ o ŋ k
fergismajnikt	f ɛ r ɡ i s m a j ɲ i k t
ferã	f ɛ r ã
fest	f ɛ s t
festelny	f ɛ s t ɛ l n ɪ
festōng	f ɛ s t o ŋ k
film	f i l m
filować	f i l ɔ v a t͡ɕ
Finlandyjŏ	f i n l a n d ɪ j ɔ
Finlandyjŏ	f i n l a n d ɪ j ɔ w
Finlandyjŏ	f i n l a n d ɪ j ɛ w
flama	f l a m a
flancować	f l a n t͡s ɔ v a t͡ɕ
flekować	f l ɛ k ɔ v a t͡ɕ
flider	f l i d ɛ r
flidrowy	f l i d r ɔ v ɪ
fliga	f l i ɡ a
fliger	f l i ɡ ɛ r
flikować	f l i k ɔ v a t͡ɕ
flyjger	f l ɪ j ɡ ɛ r
flyjgować	f l ɪ j ɡ ɔ v a t͡ɕ
flōs	f l o s
fojercojg	f ɔ j ɛ r t͡s ɔ j k
fojermōn	f ɔ j ɛ r m o n
fojerwera	f ɔ j ɛ r v ɛ r a
folga	f ɔ l ɡ a
forbaj	f ɔ r b a j
forma	f ɔ r m a
forsztelować	f ɔ r ʂ t ɛ l ɔ v a t͡ɕ
francuski	f r a n t͡s u s k i
