аб	ä b
баргаштан	b ä r ɡ ä ʃ t̪ʰ ǽ n
бардамидан	b ä ɹ d̪ ä m i d̪ ǽ n
барзагов	b ä ɹ z ä ɡ ɔ́ v
бародар	b ä r ɔ d̪ ǽ r
бародарона	b ä r ɔ d̪ ä r ɔ n ǽ
барра	b ä r r ǽ
барф	b ä r f
баскетбол	b ä s kʰ e t̪ b ɔ́ l
бастан	b ä s t̪ʰ ǽ n
бахшидан	b ä χ ʃ i d̪ ǽ n
бача	b ä t͡ʃʰ ǽ
башара	b ä ʃ ä r ǽ
башир	b ä ʃ i r
баъд	b ä ʔ d̪
баъл	b ä ʔ l
баълабак	b ä ʔ l ä b ǽ k
баъс	b ä ʔ s
баъсӣ	b ä ʔ s í
бағдод	b ä ʁ d̪ ɔ́ d̪
бағлон	b ä ʁ l ɔ́ n
баҳор	b ä ɦ ɔ́ r
баҳр	b ä ɦ r
баҳрайн	b ä ɦ r ǽ j n
бе	b e
бебок	b e b ɔ́ k
бевафо	b e v ä f ɔ́
бегоҳ	b e ɡ ɔ́ʰ
бегуноҳ	b e ɡ u n ɔ́ʰ
бедодгарӣ	b e d̪ ɔ d̪ ɡ ä ` r í
бедодӣ	b e d̪ ɔ d̪ í
бел	b e l
беларус	b e l ä r ú s
бемаънӣ	b e m ä ʔ n í
бемор	b e m ɔ́ r
бемористон	b e m ɔ r i s t̪ʰ ɔ́ n
беморӣ	b e m ɔ r í
беназир	b e n ä z í r
бепарво	b e pʰ ä r v ɔ́
беранг	b e r ǽ ŋ ɡ
бесим	b e s í m
беситора	b e s i t̪ʰ ɔ r ǽ
бетараф	b e t̪ʰ ä r ǽ f
бетақсир	b e t̪ʰ ä q s í r
бехабар	b e χ ä b ǽ r
бехтан	b e χ t̪ʰ ǽ n
беша	b e ʃ ǽ
бешумор	b e ʃ u m ɔ́ r
беҳ	b eʱ
беҳрӯз	b e ɦ r ɵ́ z
бибӣ	b i b í
бино	b i n ɔ́
бинӣ	b i n í
биринҷ	b i r í n d͡ʒ
бист	b i s t̪
бишкек	b i ʃ kʰ é k
биёбон	b i j ɔ b ɔ́ n
биҳишт	b i ɦ í ʃ t̪
биҳӣ	b i ɦ í
бо	b ɔ
бобо	b ɔ b ɔ́
бовар	b ɔ v ǽ r
богота	b ɔ ɡ ɔ t̪ʰ ǽ
бодимҷон	b ɔ d̪ i m d͡ʒ ɔ́ n
бодинҷон	b ɔ d̪ i n d͡ʒ ɔ́ n
бодиринг	b ɔ d̪ i r í ŋ ɡ
бодом	b ɔ d̪ ɔ́ m
бодғис	b ɔ d̪ ʁ í s
бозор	b ɔ z ɔ́ r
бозу	b ɔ z ú
бозубанд	b ɔ z u b ǽ n̪ d̪
бол	b ɔ l
бом	b ɔ m
бомиён	b ɔ m i j ɔ́ n
бонк	b ɔ ŋ k
бор	b ɔ r
боридан	b ɔ r i d̪ ǽ n
борон	b ɔ r ɔ́ n
бостоншинос	b ɔ s t̪ʰ ɔ n ʃ i n ɔ́ s
бостоншиносӣ	b ɔ s t̪ʰ ɔ n ʃ i n ɔ s í
бофтан	b ɔ f t̪ʰ ǽ n
боғ	b ɔ ʁ
боғбон	b ɔ ʁ b ɔ́ n
боқлаҷон	b ɔ q l ä d͡ʒ ɔ́ n
боҳу	b ɔ h ú
братислава	b r ä t̪ʰ i s l ǽ v ä
бритониё	b r i t̪ʰ ɔ n i j ɔ́
буд	b u d
будан	b u d̪ ǽ n
буз	b u z
бузург	b u z ú r ɡ
булғористон	b u l ʁ ɔ r i s t̪ʰ ɔ́ n
булӯр	b u l ɵ́ r
бум	b u m
бунафш	b u n ǽ f ʃ
бунёдӣ	b u n j ɔ d̪ í
бурдан	b u ɹ d̪ ǽ n
бурунди	b u r u n̪ d̪ í
бурҷ	b u r d͡ʒ
бухарест	b u χ ä r é s t̪
бухор	b u χ ɔ́ r
бухоро	b u χ ɔ r ɔ́
бушаҳр	b u ʃ ǽ ɦ r
бӯй	b ɵ j
бӯйидан	b ɵ j i d̪ ǽ n
бӯр	b ɵ r
бӯрон	b ɵ r ɔ́ n
бӯсидан	b ɵ s i d̪ ǽ n
ва	v ä
вазидан	v ä z i d̪ ǽ n
вазир	v ä z í r
вазире	v ä z i r e
вазиреро	v ä z i r e r ɔ
вазири	v ä z i r i
вазиристон	v ä z i r i s t̪ʰ ɔ́ n
вазирон	v ä z i r ɔ n
вазирони	v ä z i r ɔ n i
вазиронро	v ä z i r ɔ n r ɔ
вазирро	v ä z i r r ɔ
вазифа	v ä z i f ǽ
ваилло	v ä j i l l ɔ́
вай	v ä j
вайрон	v ä j r ɔ́ n
вардак	v ä ɹ d̪ ǽ k
варзидан	v ä ɹ z i d̪ ǽ n
варзиш	v ä ɹ z í ʃ
ватан	v ä t̪ʰ ǽ n
ватанпараст	v ä t̪ʰ ä m pʰ ä r ǽ s t̪
ватанпарастӣ	v ä t̪ʰ ä m pʰ ä r ä s t̪ʰ í
ватанфурӯш	v ä t̪ʰ ä ɱ f u r ɵ́ ʃ
ватанӣ	v ä t̪ʰ ä n í
ваъда	v ä ʔ d̪ ǽ
вақт	v a χ t
вақт	v ä q t̪
ваҳрон	v ä ɦ r ɔ́ n
вижагӣ	v i ʒ ä ` ɡ í
вироиш	v i r ɔ j i ʃ
вйетнам	v j e t̪ n ǽ m
водӣ	v ɔ d̪ í
вожа	v ɔ ʒ ǽ
вожашиносӣ	v ɔ ʒ a ʃ i n ɔ s í
вопасин	v ɔ pʰ ä s í n
восит	v ɔ s í t̪
вотикон	v ɔ t̪ʰ i kʰ ɔ́ n
газидан	ɡ ä z i d̪ ǽ n
галстук	ɡ ä l s t̪ʰ u k
гандидан	ɡ ä n̪ d̪ i d̪ ǽ n
гандум	ɡ ä n̪ d̪ ú m
гап	ɡ ä p
гараж	ɡ ä r ǽ ʒ
гардан	ɡ ä ɹ d̪ ǽ n
гардидан	ɡ ä ɹ d̪ i d̪ ǽ n
гармо	ɡ ä r m ɔ́
гач	ɡ ä t͡ʃ
гаштан	ɡ ä ʃ t̪ʰ ǽ n
гелос	ɡ e l ɔ́ s
география	ɡ e ɔ ɡ r ä f i j ä
гил	ɡ i l
гирд	ɡ i ɹ d̪
гирифтан	ɡ i r i f t̪ʰ ǽ n
гов	ɡ ɔ v
гоидан	ɡ ɔ j i d̪ ǽ n
гол	ɡ ɔ l
гоҳе	ɡ ɔ h é
гузаштан	ɡ u z ä ʃ t̪ʰ ǽ n
гузоштан	ɡ u z ɔ ʃ t̪ʰ ǽ n
гул	ɡ u l
гулистон	ɡ u l i s t̪ʰ ɔ́ n
гулобӣ	ɡ u l ɔ ` b í
гунбад	ɡ u m b ǽ d̪
гунбаз	ɡ u m b ǽ z
гунг	ɡ u ŋ ɡ
гуноҳ	ɡ u n ɔ́ʰ
гуноҳкор	ɡ u n ɔ h kʰ ɔ́ r
гурба	ɡ u r b ǽ
гург	ɡ u r ɡ
гурда	ɡ u ɹ d̪ ǽ
гурехтан	ɡ u r e χ t̪ʰ ǽ n
гурз	ɡ u ɹ z
гуроз	ɡ u r ɔ́ z
гуруснагӣ	ɡ u r u s n ä ` ɡ í
гурҷистон	ɡ u r d͡ʒ i s t̪ʰ ɔ́ n
гуфтан	ɡ u f t̪ʰ ǽ n
гуҷарот	ɡ u d͡ʒ ä r ɔ́ t̪
гӯгирд	ɡ ɵ ɡ í ɹ d̪
гӯр	ɡ ɵ r
гӯристон	ɡ ɵ r i s t̪ʰ ɔ́ n
гӯсола	ɡ ɵ s ɔ l ǽ
гӯсфанд	ɡ ɵ s f ǽ n̪ d̪
гӯш	ɡ ɵ ʃ
гӯшвора	ɡ ɵ ʃ v ɔ r ǽ
гӯшт	ɡ ɵ ʃ t̪
дабистон	d̪ ä b i s t̪ʰ ɔ́ n
давидан	d̪ ä v i d̪ ǽ n
давлат	d̪ ä v l ǽ t̪
дамидан	d̪ ä m i d̪ ǽ n
дара	d̪ ä r ǽ
дарё	d̪ ä r j ɔ́
дақиқа	d̪ ä q i q ǽ
декабр	d̪ e kʰ ǽ b r
деҳқон	d̪ e ɦ q ɔ n
дигарҷинсгароӣ	d̪ i ɡ ä r d͡ʒ i n s ɡ ä r ɔ j í
дидан	d̪ i d̪ ä n
динӣ	d̪ i n í
додан	d̪ ɔ d̪ ä n
дойкундӣ	d̪ ɔ j kʰ u n̪ d̪ í
донистан	d̪ ɔ n i s t̪ʰ ä n
донишгоҳ	d̪ ɔ n i ʃ ɡ ɔʰ
доштан	d̪ ɔ ʃ t̪ʰ ä n
дубай	d̪ u b ä j
дувоздаҳ	d̪ u v ɔ z d̪ äʱ
душанбе	d̪ u ʃ ä m b e
душман	d̪ u ʃ m ä n
дуҷинсгароӣ	d̪ u d͡ʒ i n s ɡ ä r ɔ j í
дӯзах	d̪ ɵ z ä χ
дӯстона	d̪ ɵ s t̪ʰ ɔ n ä
ереван	j e r e v ä n
закар	z ä kʰ ǽ r
занҷон	z ä n d͡ʒ ɔ n
заррофа	z ä r r ɔ f ǽ
зафаробод	z ä f ä r ɔ b ɔ d̪
зилзила	z i l z i l ä
зиндагӣ	z i n̪ d̪ ä ɡ í
иброҳим	i b r ɔ h í m
идрис	i d̪ r í s
имтиҳон	i m t̪ʰ i ɦ ɔ́ n
индонезия	i n̪ d̪ ɔ n e z i j ä
интернет	i n̪ t̪ʰ e r n e t̪
инҷо	i n d͡ʒ ɔ
искандария	i s kʰ ä n̪ d̪ ä r i j ä
исмоилия	i s m ɔ j i l i j ä
исҳоқ	i s h ɔ q
иқтисод	i q t̪ʰ i s ɔ d̪
иқтисоддон	i q t̪ʰ i s ɔ d̪ d̪ ɔ́ n
иҷтимоӣ	i d͡ʒ t̪ʰ i m ɔ j í
кабел	kʰ ä b e l
калима	kʰ ä l i m ǽ
камол	kʰ ä m ɔ l
канъон	kʰ ä n ʔ ɔ́ n
кардан	kʰ ä ɹ d̪ ä n
карим	kʰ ä r í m
картошка	kʰ ä ɹ t̪ʰ ɔ ʃ kʰ ä
кишоварз	kʰ i ʃ ɔ v ä ɹ z
киштан	k i ʃ t æ n
кобул	kʰ ɔ b ú l
коммунизм	kʰ ɔ m m u n í z m
кор	kʰ ɔ r
корбар	kʰ ɔː ɾ b æ ɾ
корея	kʰ ɔ r e j ä
кроват	k r ɔ v ǽ t̪
кумак	kʰ u m ä k
кучук	kʰ u t͡ʃʰ u k
куштан	kʰ u ʃ t̪ʰ ǽ n
кӯдакистон	kʰ ɵ d̪ ä kʰ i s t̪ʰ ɔ n
кӯпол	kʰ ɵ pʰ ɔ́ l
лола	l ɔ l ä
луқмон	l u q m ɔ́ n
лӯхтак	l ɵ χ t̪ʰ ä k
мавз	m ä v z
май	m ä j
макидан	m æ k i d æ n
мамлакат	m ä m l ä kʰ ä t̪
марг	m ä r ɡ
марказӣ	m ä r kʰ ä ` z í
март	m ä ɹ t̪
маска	m ä s kʰ ä
масҷид	m ä s d͡ʒ í d̪
маънӣ	m ä ʔ n í
мақдунӣ	m ä q d̪ u n í
маҳмуд	m ä ɦ m u d̪
маҳтоб	m ä ɦ t̪ʰ ɔ́ b
мева	m e v ä
меҳан	m e ɦ ǽ n
меҳмонхона	m e ɦ m ɔ n χ ɔ n ǽ
меҳрубон	m e ɦ r u b ɔ́ n
миллат	m i l l ǽ t̪
миллӣ	m i l ` l í
миншор	m i n ʃ ɔ́ r
миср	m i s r
мост	m ɔ s t̪
мошин	m ɔ ʃ i n
мумкин	m u m kʰ í n
муносибат	m u n ɔ s i b ä t̪
мурдан	m u r d æ n
мусо	m u s ɔ
мустафо	m u s t̪ʰ ä f ɔ́
мутафаккир	m u t̪ʰ ä f ä k kʰ i r
мухлис	m u χ l i s
мӯ	m ɵ
навиштан	n ä v i ʃ t̪ʰ ä n
навохтан	n ä v ɔ χ t̪ʰ ä n
наврӯз	n æ v ɾ ɵː z
намедонам	n ǽ m e d̪ ɔ n ä m
намоз	n a m ɔː z
нана	n ä n ä
нангарҳор	n ä ŋ ɡ ä r h ɔ r
насл	n ä s l
наср	n ä s r
наҳр	n ä ɦ r
непал	n e pʰ ǽ l
нигоҳ	n i ɡ ɔʰ
носир	n ɔ s i r
ношто	n ɔ ʃ t̪ʰ ɔ
ноябр	n ɔ j ǽ b r
нӯшидан	n ɵ ʃ i d̪ ä n
нӯҳ	n ɵʱ
об	ɔː b
овардан	ɔː v a ɾ d a n
озмудан	ɔː z m u d æ n
озодӣ	ɔ z ɔ d̪ í
октябр	ɔ k t̪ j ä b r
оллоҳ	ɔ l l ɔʰ
олмон	ɔ l m ɔ n
омадан	ɔ m ä d̪ ä n
оринҷ	ɔ r i n d͡ʒ
ориф	ɔ r i f
осон	ɔː s ɔː n
охир	ɔ χ í r
охирин	ɔ χ i r í n
ошиқ	ɔ ʃ í q
оҳангар	ɔ h ä ŋ ɡ ä r
падарбузург	pʰ ä d̪ ä r b u z u r ɡ
пазируфтан	p æ z i r u f t æ n
паймудан	pʰ ä j m u d̪ ä n
пайғом	pʰ ä j ʁ ɔ m
пактиё	pʰ ä k t̪ʰ i j ɔ
панҷшанбе	pʰ ä n d͡ʒ ʃ ä m b e
панҷшер	pʰ ä n d͡ʒ ʃ e r
паранда	pʰ ä r ä n̪ d̪ ä
парастидан	pʰ ä r ä s t̪ʰ i d̪ ä n
парво	pʰ ä r v ɔ́
паридан	pʰ ä r i d̪ ä n
поезд	pʰ ɔ́ j e z d̪
пой	pʰ ɔ j
покистон	p ɔː k i s t̪ ɔː n̪
пурсидан	p u ɾ s i d a n
пухтан	p u x t æ n
пушти	pʰ u ʃ t̪ʰ i
рай	r ä j
рамазон	r ä m ä z ɔ́ n
ранг	r ä ŋ ɡ
рафиқ	r a f i q
рафтан	r ä f t̪ʰ ä n
раҳмат	r ä ɦ m ǽ t̪
раҷоӣ	r ä d͡ʒ ɔ j í
ресторан	r e s t̪ʰ ɔ r ǽ n
рехтан	r e χ t̪ʰ ǽ n
розӣ	r ɔ ` z í
рон	r ɔː n
ронҳо	r ɔː n h ɔː
роҳ	r ɔʰ
роҳатулҳулқум	r ɔ h ä t̪ʰ u l h u l q ú m
рус	r u s
рустам	r u s t̪ʰ ǽ m
русӣ	r u s i
рӯд	r ɵ d̪
рӯз	r ɵ z
рӯй	r ɵ j
рӯм	r ɵ m
рӯфтан	r ɵ f t æ n
сабза	s ä b z ä
саг	s ä ɡ
садо	s ä d̪ ɔ́
сайёра	s ä j j ɔ r ä
салом	s ä l ɔ m
салҷуқ	s ä l d͡ʒ u q
салҷуқӣ	s ä l d͡ʒ u q í
самир	s ä m i r
самъ	s ä m ʔ
сафар	s ä f ä r
саъб	s ä ʔ b
сешанбе	s e ʃ a n b e
синд	s i n̪ d̪
синф	s i ɱ f
сирк	s i r k
ситора	s i t̪ʰ ɔ r ǽ
сиёҳчашм	s i j ɔ h t͡ʃʰ ä ʃ m
сомия	s ɔ m i j ä
сомонӣ	s ɔ m ɔ n í
сомӣ	s ɔ m í
сулаймонӣ	s u l ä j m ɔ n í
сулфа	s u l f a
суол	s u ɔ l
сурайё	s u r ä j j ɔ
сурфа	s u l f a
сурхчашм	s u r χ t͡ʃʰ ä ʃ m
сурёнӣ	s u r j ɔ n í
суханронӣ	s u χ ä n r ɔ n í
сӯм	s ɵ m
тайёра	t̪ʰ ä j j ɔ r ǽ
тамоман	t̪ʰ ä m ɔ m ä n
тараф	t̪ʰ ä r ǽ f
тарбуз	t̪ʰ ä r b u z
таробарӣ	tʰ a ɾ ɔː b a ɾ iː
тарфгарӣ	t̪ʰ ä r f ɡ ä r í
ташаккур	t̪ʰ ä ʃ ä k kʰ ú r
тақсир	t̪ʰ ä q s í r
театр	t̪ʰ e ä t̪ r
телефон	t̪ʰ e l e f ɔ́ n
техника	t̪ʰ é χ n i kʰ ä
тиб	t̪ʰ i b
тиббӣ	t̪ʰ i b b í
тирамоҳ	t̪ʰ i r ä m ɔʰ
тифлис	t̪ʰ i f l i s
тортанак	t̪ʰ ɔ ɹ t̪ʰ ä n ǽ k
тубо	t̪ʰ u b ɔ
тутфарангӣ	t̪ʰ u t̪ f ä r ä ŋ ɡ í
туҳмат	t̪ʰ u ɦ m ä t̪
тӯфон	t̪ʰ ɵ f ɔ́ n
тӯшак	t̪ʰ ɵ ʃ ä k
урӯзгон	u r ɵ z ɡ ɔ n
файсал	f ä j s ä l
фарзанд	f ä ɹ z ǽ n̪ d̪
фаришта	f ä r i ʃ t̪ʰ ǽ
фаронса	f ä r ɔ n s ǽ
фашизм	f ä ʃ í z m
феврал	f e v r ä l
фикр	f i k r
финиқия	f i n i q i j ǽ
финиқӣ	f i n i ` q í
фиръавн	f i r ʔ ǽ v n
фотима	f ɔ t̪ʰ i m ǽ
фурот	f u r ɔ́ t̪
фурӯпошӣ	f u r ɵ pʰ ɔ ʃ í
фурӯхтан	f u r ɵ χ t̪ʰ ǽ n
хабар	χ ä b ǽ r
халифа	χ ä l i f ä
халиҷ	χ ä l í d͡ʒ
хандидан	x æ n d i d æ n
хитой	χ i t̪ʰ ɔ j
хиёр	χ i j ɔ́ r
хоб	χ ɔ b
хобидан	x ɔː b i d æ n
хола	χ ɔ l ǽ
хоманаӣ	χ ɔ m ä n ä j í
хуб	χ u b
хумайнӣ	χ u m ä j n í
хӯрдан	χ ɵ ɹ d̪ ǽ n
чаридан	t ʃ æ r i d æ n
чашм	t͡ʃʰ ä ʃ m
чаҳоршанбе	t͡ʃʰ ä ɦ ɔ ɹ ʃ ä m b e
чин	t͡ʃʰ i n
чинор	t͡ʃʰ i n ɔː ɾ
чоршанбе	t͡ʃʰ ɔ ɹ ʃ ä m b e
чуқур	t͡ʃʰ u q u r
чӯбдаст	t͡ʃʰ ɵ b d̪ ǽ s t̪
чӯпон	t͡ʃʰ ɵ pʰ ɔ n
чӯтка	t͡ʃʰ ɵ t̪ kʰ ä
шаввол	ʃ ä v v ɔ́ l
шакалод	ʃ ä kʰ ä l ɔ́ d̪
шамъ	ʃ ä m ʔ
шанбе	ʃ ä m b e
шарманка	ʃ ä r m ǽ ŋ kʰ ä
шафтолу	ʃ ä f t̪ʰ ɔ l u
шаъбон	ʃ ä ʔ b ɔ́ n
шақро	ʃ ä q r ɔ́
шаҳло	ʃ ä ɦ l ɔ
шаҳлочашм	ʃ ä ɦ l ɔ t͡ʃʰ ä ʃ m
шаҳлоӣ	ʃ ä ɦ l ɔ j í
шаҳрӯз	ʃ ä ɦ r ɵ́ z
шир	ʃ i r
шод	ʃ ɔː d̪
шоҳзода	ʃ ɔ h z ɔ d̪ ä
шоҳкор	ʃ ɔ h kʰ ɔ r
шумо	ʃ u m ɔ
шуморидан	ʃ u m ɔː r i d æ n
шумурдан	ʃ u m u ɹ d̪ ä n
шунидан	ʃ u n i d̪ ä n
шуруъ	ʃ u r ɵ́ ʔ
шустан	ʃ u s t æ n
шуш	ʃ u ʃ
шӯрбо	ʃ ɵ r b ɔ
шӯҳрат	ʃ ɵ ɦ r ǽ t̪
юнон	j u n ɔ́ n
якшанбе	j ä k ʃ ä m b e
январ	j ä ɱ v ǽ r
яъқуб	j ä ʔ q u b
ё	j ɔ
ғавғо	ʁ ä v ʁ ɔ́
ғазнӣ	ʁ ä z n í
ғайриманқул	ʁ ä j r i m ä ɴ q ú l
ғайримумкин	ʁ ä j r i m u m kʰ í n
ғайриҳукуматӣ	ʁ ä j r i ɦ u kʰ u m ä t̪ʰ í
ғарб	ʁ ä r b
ғарбӣ	ʁ ä r b í
ғизо	ʁ i z ɔ́
ғоз	ʁ ɔ z
ғор	ʁ ɔ r
ғук	ʁ u k
ғулом	ʁ u l ɔ́ m
ғуломдорӣ	ʁ u l ɔ m d̪ ɔ r í
ғуломӣ	ʁ u l ɔ m í
ғур	ʁ u r
қабристон	q ä b r i s t̪ʰ ɔ́ n
қайравон	q ä j r ä v ɔ́ n
қалб	q ä l b
қатӣ	q ä t̪ʰ í
қафқоз	q ä f q ɔ z
қирғизистон	q i r ʁ i z i s t̪ʰ ɔ n
қисм	q i s m
қисман	q i s m ä n
қозӣ	q ɔ z í
қосим	q ɔ s i m
қочоқчӣ	q ɔ t͡ʃʰ ɔ q t͡ʃʰ í
қум	q u m
қуния	q u n i j ä
қуръон	q u r ʔ ɔ n
қутб	q u t̪ b
ҳ	h
ҳа	h ä
ҳавопаймо	h ä v ɔ pʰ ä j m ɔ
ҳазрат	h ä z r ǽ t̪
ҳамҷинсгароӣ	h ä m d͡ʒ i n s ɡ ä r ɔ j í
ҳасан	h ä s ǽ n
ҳашара	h a ʃ a ɾ a
ҳаёт	h ä j ɔ t̪
ҳаётӣ	h ä j ɔ t̪ʰ í
ҳоҷатхона	h ɔ d͡ʒ ä t̪ χ ɔ n ä
ҳукумат	h u kʰ u m ǽ t̪
ҳукуматӣ	h u kʰ u m ä t̪ʰ í
ҳусайн	h u s ǽ j n
ҷ	d͡ʒ
ҷавон	d ʒ a v ɔː n
ҷалебӣ	d͡ʒ ä l e b í
ҷамил	d͡ʒ ä m i l
ҷамъ	d͡ʒ ä m ʔ
ҷангал	d͡ʒ ä ŋ ɡ ǽ l
ҷарроҳ	d͡ʒ ä r r ɔ́ʰ
ҷинсӣ	d͡ʒ i n s í
ҷумъа	d͡ʒ u m ʔ ä
ҷурғот	d͡ʒ u r ʁ ɔ t̪
ҷуғрофия	d͡ʒ u ʁ r ɔ f i j ä
ҷӯзҷон	d͡ʒ ɵ z d͡ʒ ɔ n
ӯ	ɵː
ӯрдак	ɵ ɹ d̪ ä k
