'ntós	n̪ t̪ o s
abondancia	a β̞ õ n̪ d̪ ã n̟ θ j a
abondoceo	a β̞ õ n̪ d̪ o θ e o
abondu	a β̞ õ n̪ d̪ u
abonducéu	a β̞ õ n̪ d̪ u θ ø u
abonáu	a β̞ o n a u̯
aborrecer	a β̞ o r e θ e ɾ
abotonar	a β̞ o t̪ o n a ɾ
abotonáu	a β̞ o t̪ o n a u̯
abreviatura	a β̞ ɾ e β̞ j a t̪ u ɾ a
abril	a β̞ ɾ i l
abrir	a β̞ ɾ i ɾ
abruxar	a β̞ ɾ u ʃ a ɾ
abruxáu	a β̞ ɾ u ʃ a u̯
absorbíu	a β̞ s o ɾ β̞ i u
absueltu	a β̞ s w e l̪ t̪ u
aburríu	a β̞ u r i u
abusivu	a β̞ u s i β̞ u
abxasu	a β̞ ʃ a s u
acababa	a k a β̞ a β̞ a
acabar	a k a β̞ a ɾ
acabose	a k a β̞ o s e
académicu	a k a ð̞ e m i k u
acarréu	a k a r ø u
acastellanada	a k a s̪ t̪ e ʎ a n a ð̞ a
acastellanar	a k a s̪ t̪ e ʎ a n a ɾ
acastellanáu	a k a s̪ t̪ e ʎ a n a u̯
accedáis	a k θ e ð̞ a i̯ s
accedéis	a k θ e ð̞ e i̯ s
accedía	a k θ e ð̞ i a
accedíu	a k θ e ð̞ i u
acebu	a θ e β̞ u
aceición	a θ e i̯ θ j õ ŋ
aceite	a θ e i̯ t̪ e
acentos	a θ ẽ n̪ t̪ o s
acentu	a θ ẽ n̪ t̪ u
acepción	a θ e p θ j õ ŋ
aceptable	a θ e p t̪ a β̞ l e
aceptar	a θ e p t̪ a ɾ
aceptáu	a θ e p t̪ a u̯
acertar	a θ e ɾ t̪ a ɾ
aceru	a θ e ɾ u
acetona	a θ e t̪ o n a
aceutar	a θ ø u t̪ a ɾ
achacosu	a t͡ʃ a k o s u
achaplar	a t͡ʃ a p l a ɾ
achaque	a t͡ʃ a k e
aclimatáu	a k l i m a t̪ a u̯
acobar	a k o β̞ a ɾ
acoldu	a k o l̪ d̪ u
acollechar	a k o ʎ e t͡ʃ a ɾ
acolumbrar	a k o l ũ m b ɾ a ɾ
acompangar	a k õ m p a ŋ ɡ a ɾ
aconceyamientu	a k õ n̟ θ e ʝ a m j ẽ n̪ t̪ u
aconceyar	a k õ n̟ θ e ʝ a ɾ
acordanza	a k o ɾ ð̞ ã n̟ θ a
acorde	a k o ɾ ð̞ e
acordi	a k o ɾ ð̞ i
acordias	a k o ɾ ð̞ j a s
acordies	a k o ɾ ð̞ j e s
acordiones	a k o ɾ ð̞ j o n e s
acordión	a k o ɾ ð̞ j õ ŋ
acordáu	a k o ɾ ð̞ a u̯
acotar	a k o t̪ a ɾ
acoxicar	a k o ʃ i k a ɾ
acoyedor	a k o ʝ e ð̞ o ɾ
acoyer	a k o ʝ e ɾ
acoyíu	a k o ʝ i u
acrónimu	a k ɾ o n i m u
activar	a k t̪ i β̞ a ɾ
activas	a k t̪ i β̞ a s
actualidá	a t̪ w a l i ð̞ a
acullá	a k u ʎ a
acumuláu	a k u m u l a u̯
acupuntura	a k u p ũ n̪ t̪ u ɾ a
acurdión	a k u ɾ ð̞ j õ ŋ
acusa	a k u s a
acutar	a k u t̪ a ɾ
adaptar	a ð̞ a t̪ a ɾ
adatar	a ð̞ a t̪ a ɾ
adautar	a ð̞ a u̯ t̪ a ɾ
adegañu	a ð̞ e ɡ a ɲ u
adiantre	a ð̞ j ã n̪ t̪ ɾ e
aditivos	a ð̞ i t̪ i β̞ o s
aditivu	a ð̞ i t̪ i β̞ u
adivinar	a ð̞ i β̞ i n a ɾ
adoctrináu	a ð̞ o k t̪ ɾ i n a u̯
adolescente	a ð̞ o l e s̪ θ ẽ n̪ t̪ e
adormir	a ð̞ o ɾ m i ɾ
adoráu	a ð̞ o ɾ a u̯
adquirida	a ð̞ k i ɾ i ð̞ a
adquiríu	a ð̞ k i ɾ i u
adrezar	a ð̞ ɾ e θ a ɾ
aduces	a ð̞ u θ e s
aducíu	a ð̞ u θ i u
adulces	a ð̞ u l̟ θ e s
adulteriu	a ð̞ u l̪ t̪ e ɾ j u
adúlteru	a ð̞ u l̪ t̪ e ɾ u
aeropuertos	a e ɾ o p w e ɾ t̪ o s
aeropuertu	a e ɾ o p w e ɾ t̪ u
afacer	a f a θ e ɾ
afachadizu	a f a t͡ʃ a ð̞ i θ u
afacinar	a f a θ i n a ɾ
afayadizu	a f a ʝ a ð̞ i θ u
afayaízu	a f a ʝ a i θ u
afeitar	a f e i̯ t̪ a ɾ
afeutu	a f ø u t̪ u
Afganistán	a f ɡ a n i s̪ t̪ ã ŋ
afiar	a f i a ɾ
aficháu	a f i t͡ʃ a u̯
afirmar	a f i ɾ m a ɾ
afiyáu	a f i ʝ a u̯
afiáu	a f j a u̯
afió	a f i o
afogar	a f o ɡ a ɾ
afondar	a f õ n̪ d̪ a ɾ
aforfugu	a f o ɾ f u ɡ u
aforismu	a f o ɾ i z m u
aformigar	a f o ɾ m i ɡ a ɾ
aforrador	a f o r a ð̞ o ɾ
aforrar	a f o r a ɾ
aforru	a f o r u
africanu	a f ɾ i k a n u
afu	a f u
afuxir	a f u ʃ i ɾ
afuñar	a f u ɲ a ɾ
agarradera	a ɡ a r a ð̞ e ɾ a
agarrapañar	a ɡ a r a p a ɲ a ɾ
agarrar	a ɡ a r a ɾ
agnosticismu	a ɡ n o s̪ t̪ i θ i z m u
agnósticu	a ɡ n o s̪ t̪ i k u
agonizáu	a ɡ o n i θ a u̯
agora	a ɡ o ɾ a
agostu	a ɡ o s̪ t̪ u
agradecer	a ɡ ɾ a ð̞ e θ e ɾ
agradescer	a ɡ ɾ a ð̞ e s̪ θ e ɾ
agraecer	a ɡ ɾ a e θ e ɾ
agrisáu	a ɡ ɾ i s a u̯
agriu	a ɡ ɾ j u
agua	a ɡ w a
aguacate	a ɡ w a k a t̪ e
aguamala	a ɡ w a m a l a
aguamanil	a ɡ w a m a n i l
aguarón	a ɡ w a ɾ õ ŋ
aguañu	a ɡ w a ɲ u
aguixar	a ɡ i ʃ a ɾ
aguiyar	a ɡ i ʝ a ɾ
aguiyón	a ɡ i ʝ õ ŋ
aguión	a ɡ j õ ŋ
aguya	a ɡ u ʝ a
agüecar	a ɡ w e k a ɾ
agüeldu	a ɡ w e l̪ d̪ u
aiciones	a i̯ θ j o n e s
aición	a i̯ θ j õ ŋ
Aida	a i̯ ð̞ a
aigla	a i̯ ɡ l a
Aique	a i̯ k e
aire	a i̯ ɾ e
akán	a k ã ŋ
ala	a l a
alambre	a l ã m b ɾ e
alante	a l ã n̪ t̪ e
alantre	a l ã n̪ t̪ ɾ e
Albania	a l β̞ a n j a
albanés	a l β̞ a n e s
albaricoca	a l β̞ a ɾ i k o k a
albaricoque	a l β̞ a ɾ i k o k e
albentestate	a l β̞ ẽ n̪ t̪ e s̪ t̪ a t̪ e
alboriar	a l β̞ o ɾ j a ɾ
albortu	a l β̞ o ɾ t̪ u
albu	a l β̞ u
albuertu	a l β̞ w e ɾ t̪ u
alcacer	a l k a θ e ɾ
alcachofa	a l k a t͡ʃ o f a
alcaldada	a l k a l̪ d̪ a ð̞ a
alcantarelláu	a l k ã n̪ t̪ a ɾ e ʎ a u̯
alcantariella	a l k ã n̪ t̪ a ɾ j e ʎ a
alce	a l̟ θ e
alcontradizu	a l k õ n̪ t̪ ɾ a ð̞ i θ u
alcontrar	a l k õ n̪ t̪ ɾ a ɾ
alcontrar	a l k ũ n̪ t̪ ɾ a ɾ
alcontraízu	a l k õ n̪ t̪ ɾ a i θ u
alcordión	a l k o ɾ ð̞ j õ ŋ
alcuando	a l k w ã n̪ d̪ o
alcuentru	a l k w ẽ n̪ t̪ ɾ u
alcuntradizu	a l k ũ n̪ t̪ ɾ a ð̞ i θ u
alcurdión	a l k u ɾ ð̞ j õ ŋ
alcárcel	a l k a ɾ θ e l
aldea	a l̪ d̪ e a
aldeanu	a l̪ d̪ e a n u
aldericar	a l̪ d̪ e ɾ i k a ɾ
alderique	a l̪ d̪ e ɾ i k e
aldovinar	a l̪ d̪ o β̞ i n a ɾ
aldu	a l̪ d̪ u
Alemaña	a l e m a ɲ a
alemán	a l e m ã ŋ
alerxa	a l e ɾ ʃ a
aleta	a l e t̪ a
Alexandru	a l e ʃ ã n̪ d̪ ɾ u
alfabetizáu	a l f a β̞ e t̪ i θ a u̯
alfabetu	a l f a β̞ e t̪ u
alfaxeme	a l f a ʃ e m e
alfayate	a l f a ʝ a t̪ e
alferi	a l f e ɾ i
alfil	a l f i l
algodón	a l ɡ o ð̞ õ ŋ
alicar	a l i k a ɾ
alimentación	a l i m ẽ n̪ t̪ a θ j õ ŋ
alimentar	a l i m ẽ n̪ t̪ a ɾ
allabancia	a ʎ a β̞ ã n̟ θ j a
allabanciosu	a ʎ a β̞ ã n̟ θ j o s u
allabar	a ʎ a β̞ a ɾ
allacrán	a ʎ a k ɾ ã ŋ
allancar	a ʎ a ŋ k a ɾ
Allande	a ʎ ã n̪ d̪ e
allargar	a ʎ a ɾ ɡ a ɾ
allegar	a ʎ e ɡ a ɾ
allegría	a ʎ e ɡ ɾ i a
allendar	a ʎ ẽ n̪ d̪ a ɾ
allexar	a ʎ e ʃ a ɾ
allogueru	a ʎ o ɡ e ɾ u
alloñar	a ʎ o ɲ a ɾ
alluendi	a ʎ w ẽ n̪ d̪ i
allugar	a ʎ u ɡ a ɾ
allumar	a ʎ u m a ɾ
alma	a l m a
almendra	a l m ẽ n̪ d̪ ɾ a
almisible	a l m i s i β̞ l e
almitir	a l m i t̪ i ɾ
almitíu	a l m i t̪ i u
alquirir	a l k i ɾ i ɾ
alquitrán	a l k i t̪ ɾ ã ŋ
alsa	a l s a
altabal	a l̪ t̪ a β̞ a l
altor	a l̪ t̪ o ɾ
aluminiu	a l u m i n j u
alviola	a l β̞ j o l a
alvioles	a l β̞ j o l e s
alérxicu	a l e ɾ ʃ i k u
amagüestu	a m a ɡ w e s̪ t̪ u
amalucar	a m a l u k a ɾ
amante	a m ã n̪ t̪ e
amarga	a m a ɾ ɡ a
amargo	a m a ɾ ɡ o
amargos	a m a ɾ ɡ o s
amargu	a m a ɾ ɡ u
amargues	a m a ɾ ɡ e s
amariella	a m a ɾ j e ʎ a
amariello	a m a ɾ j e ʎ o
amatagar	a m a t̪ a ɡ a ɾ
Amberes	ã m b e ɾ e s
ambulancia	ã m b u l ã n̟ θ j a
ambulancies	ã m b u l ã n̟ θ j e s
amburar	ã m b u ɾ a ɾ
amenaza	a m e n a θ a
americanizáu	a m e ɾ i k a n i θ a u̯
americanu	a m e ɾ i k a n u
americiu	a m e ɾ i θ j u
ameritar	a m e ɾ i t̪ a ɾ
amesturar	a m e s̪ t̪ u ɾ a ɾ
amestáu	a m e s̪ t̪ a u̯
ameyoramientu	a m e ʝ o ɾ a m j ẽ n̪ t̪ u
Amieva	a m j e β̞ a
amiga	a m i ɡ a
amollecer	a m o ʎ e θ e ɾ
amor	a m o ɾ
amosar	a m o s a ɾ
amplemanía	ã m p l e m a n i a
amplifica	ã m p l i f i k a
amplificada	ã m p l i f i k a ð̞ a
amplificáu	ã m p l i f i k a u̯
amputáu	ã m p u t̪ a u̯
amurniar	a m u ɾ n j a ɾ
amuyerar	a m u ʝ e ɾ a ɾ
amuyeráu	a m u ʝ e ɾ a u̯
América	a m e ɾ i k a
anacronismu	a n a k ɾ o n i z m u
analizáu	a n a l i θ a u̯
analís	a n a l i s
analóxicu	a n a l o ʃ i k u
anantes	a n ã n̪ t̪ e s
anantias	a n ã n̪ t̪ j a s
ananties	a n ã n̪ t̪ j e s
anantres	a n ã n̪ t̪ ɾ e s
anarquismu	a n a ɾ k i z m u
anarquistes	a n a ɾ k i s̪ t̪ e s
anarquía	a n a ɾ k i a
anatomía	a n a t̪ o m i a
ancla	a ŋ k l a
anclar	a ŋ k l a ɾ
ancles	a ŋ k l e s
andarina	ã n̪ d̪ a ɾ i n a
andecha	ã n̪ d̪ e t͡ʃ a
andolina	ã n̪ d̪ o l i n a
andorga	ã n̪ d̪ o ɾ ɡ a
andorgar	ã n̪ d̪ o ɾ ɡ a ɾ
Andorra	ã n̪ d̪ o r a
andulina	ã n̪ d̪ u l i n a
anfibia	ã ɱ f i β̞ j a
anfibies	ã ɱ f i β̞ j e s
anfibio	ã ɱ f i β̞ j o
anfibios	ã ɱ f i β̞ j o s
anfibiu	ã ɱ f i β̞ j u
Angola	a ŋ ɡ o l a
anguaño	a ŋ ɡ w a ɲ o
anguila	a ŋ ɡ i l a
anguiles	a ŋ ɡ i l e s
angüeña	a ŋ ɡ w e ɲ a
aniantes	a n j ã n̪ t̪ e s
aniantres	a n j ã n̪ t̪ ɾ e s
anicios	a n i θ j o s
aniciu	a n i θ j u
animal	a n i m a l
anotáu	a n o t̪ a u̯
anque	a ŋ k e
antayeri	ã n̪ t̪ a ʝ e ɾ i
antegüeyos	ã n̪ t̪ e ɡ w e ʝ o s
antena	ã n̪ t̪ e n a
antes	ã n̪ t̪ e s
antia	ã n̪ t̪ j a
antias	ã n̪ t̪ j a s
anticlericalismu	ã n̪ t̪ i k l e ɾ i k a l i z m u
anticristu	ã n̪ t̪ i k ɾ i s̪ t̪ u
anticristu	ĩ n̪ t̪ i k ɾ i s̪ t̪ u
anties	ã n̪ t̪ j e s
antifascismu	ã n̪ t̪ i f a s̪ θ i z m u
antiguu	ã n̪ t̪ i ɡ u w
antioyos	ã n̪ t̪ j o ʝ o s
antisemitismu	ã n̪ t̪ i s e m i t̪ i z m u
antoncias	ã n̪ t̪ õ n̟ θ j a s
antoxu	ã n̪ t̪ o ʃ u
antropocentrismu	ã n̪ t̪ ɾ o p o θ ẽ n̪ t̪ ɾ i z m u
antropofaxa	ã n̪ t̪ ɾ o p o f a ʃ a
antropolóxico	ã n̪ t̪ ɾ o p o l o ʃ i k o
antropolóxicu	ã n̪ t̪ ɾ o p o l o ʃ i k u
antroxu	ã n̪ t̪ ɾ o ʃ u
antóncenes	ã n̪ t̪ õ n̟ θ e n e s
antóncianas	ã n̪ t̪ õ n̟ θ j a n a s
antós	ã n̪ t̪ o s
antóscenas	ã n̪ t̪ o s̪ θ e n a s
antóscinis	ã n̪ t̪ o s̪ θ i n i s
anual	a n w a l
anubrir	a n u β̞ ɾ i ɾ
anunciáu	a n ũ n̟ θ j a u̯
Anxela	ã ɲ ʃ e l a
Anxelu	ã ɲ ʃ e l u
análisis	a n a l i s i s
análogu	a n a l o ɡ u
anárquicu	a n a ɾ k i k u
apacible	a p a θ i β̞ l e
apanoyar	a p a n o ʝ a ɾ
apavoriar	a p a β̞ o ɾ j a ɾ
apañar	a p a ɲ a ɾ
apegadiegu	a p e ɡ a ð̞ j e ɡ u
apeligrar	a p e l i ɡ ɾ a ɾ
apelucar	a p e l u k a ɾ
aperiar	a p e ɾ j a ɾ
apiar	a p j a ɾ
aplausu	a p l a u̯ s u
aplicáu	a p l i k a u̯
apodrecer	a p o ð̞ ɾ e θ e ɾ
apodrentar	a p o ð̞ ɾ ẽ n̪ t̪ a ɾ
apolazar	a p o l a θ a ɾ
aportar	a p o ɾ t̪ a ɾ
aportelláu	a p o ɾ t̪ e ʎ a u̯
aportiellar	a p o ɾ t̪ j e ʎ a ɾ
aportáu	a p o ɾ t̪ a u̯
aposar	a p o s a ɾ
aposentar	a p o s ẽ n̪ t̪ a ɾ
apostalgar	a p o s̪ t̪ a l ɡ a ɾ
apousar	a p o u̯ s a ɾ
apoyando	a p o ʝ ã n̪ d̪ o
apoyo	a p o ʝ o
apoyu	a p o ʝ u
aprender	a p ɾ ẽ n̪ d̪ e ɾ
aprés	a p ɾ e s
apu	a p u
apurríu	a p u r i u
apuñalar	a p u ɲ a l a ɾ
apéndiz	a p ẽ n̪ d̪ i θ
apóstol	a p o s̪ t̪ o l
aquesta	a k e s̪ t̪ a
aqueste	a k e s̪ t̪ e
aquestes	a k e s̪ t̪ e s
aquesti	a k e s̪ t̪ i
aquesto	a k e s̪ t̪ o
aquestos	a k e s̪ t̪ o s
aquén	a k ẽ ŋ
aquí	a k i
arabizáu	a ɾ a β̞ i θ a u̯
aragonesa	a ɾ a ɡ o n e s a
aragoneses	a ɾ a ɡ o n e s e s
aragoneso	a ɾ a ɡ o n e s o
aragonés	a ɾ a ɡ o n e s
Aragón	a ɾ a ɡ õ ŋ
arame	a ɾ a m e
arbeyera	a ɾ β̞ e ʝ e ɾ a
arbeyu	a ɾ β̞ e ʝ u
arcebispu	a ɾ θ e β̞ i s p u
arcu	a ɾ k u
arcánxel	a ɾ k ã ɲ ʃ e l
arena	a ɾ e n a
arencón	a ɾ e ŋ k õ ŋ
argayar	a ɾ ɡ a ʝ a ɾ
argayu	a ɾ ɡ a ʝ u
argolla	a ɾ ɡ o ʎ a
argumentos	a ɾ ɡ u m ẽ n̪ t̪ o s
arguyu	a ɾ ɡ u ʝ u
argüir	a ɾ ɡ w i ɾ
armamentos	a ɾ m a m ẽ n̪ t̪ o s
Armenia	a ɾ m e n j a
armes	a ɾ m e s
arqueolóxico	a ɾ k e o l o ʃ i k o
arqueolóxicu	a ɾ k e o l o ʃ i k u
arquiteutura	a ɾ k i t̪ ø u t̪ u ɾ a
arrabalde	a r a β̞ a l̪ d̪ e
arrampañar	a r ã m p a ɲ a ɾ
arrampuñar	a r ã m p u ɲ a ɾ
arrechu	a r e t͡ʃ u
arremellar	a r e m e ʎ a ɾ
arrexuntar	a r e ʃ ũ n̪ t̪ a ɾ
arroz	a r o θ
arruaxe	a r w a ʃ e
articulación	a ɾ t̪ i k u l a θ j õ ŋ
artificial	a ɾ t̪ i f i θ j a l
artista	a ɾ t̪ i s̪ t̪ a
artistes	a ɾ t̪ i s̪ t̪ e s
artículu	a ɾ t̪ i k u l u
Arxelia	a ɾ ʃ e l j a
arxelín	a ɾ ʃ e l ĩ ŋ
Arxentina	a ɾ ʃ ẽ n̪ t̪ i n a
arxán	a ɾ ʃ ã ŋ
arzobispu	a ɾ θ o β̞ i s p u
asar	a s a ɾ
Asclepiu	a s k l e p j u
asegundar	a s e ɡ ũ n̪ d̪ a ɾ
asemechar	a s e m e t͡ʃ a ɾ
asemeichar	a s e m e i̯ t͡ʃ a ɾ
asemeyar	a s e m e ʝ a ɾ
asemeñar	a s e m e ɲ a ɾ
asensu	a s ẽ n s u
aseo	a s e o
asientos	a s j ẽ n̪ t̪ o s
asientu	a s j ẽ n̪ t̪ u
asimiláu	a s i m i l a u̯
asistas	a s i s̪ t̪ a s
asistida	a s i s̪ t̪ i ð̞ a
asistíu	a s i s̪ t̪ i u
asociáu	a s o θ j a u̯
asomear	a s o m e a ɾ
asomechar	a s o m e t͡ʃ a ɾ
asomeyar	a s o m e ʝ a ɾ
aspaciu	a s p a θ j u
asperxar	a s p e ɾ ʃ a ɾ
asprosu	a s p ɾ o s u
aspru	a s p ɾ u
astronomía	a s̪ t̪ ɾ o n o m i a
asturcón	a s̪ t̪ u ɾ k õ ŋ
asturiana	a s̪ t̪ u ɾ j a n a
asturianada	a s̪ t̪ u ɾ j a n a ð̞ a
asturianes	a s̪ t̪ u ɾ j a n e s
asturianismu	a s̪ t̪ u ɾ j a n i z m u
asturianizada	a s̪ t̪ u ɾ j a n i θ a ð̞ a
asturianizáu	a s̪ t̪ u ɾ j a n i θ a u̯
asturiano	a s̪ t̪ u ɾ j a n o
asturianos	a s̪ t̪ u ɾ j a n o s
asturianu	a s̪ t̪ u ɾ j a n u
Asturies	a s̪ t̪ u ɾ j e s
asuelu	a s w e l u
aséu	a s ø u
atabal	a t̪ a β̞ a l
atabalu	a t̪ a β̞ a l u
atachar	a t̪ a t͡ʃ a ɾ
atachu	a t̪ a t͡ʃ u
atarrecer	a t̪ a r e θ e ɾ
atayar	a t̪ a ʝ a ɾ
atayu	a t̪ a ʝ u
atestar	a t̪ e s̪ t̪ a ɾ
ateísmu	a t̪ e i z m u
atinar	a t̪ i n a ɾ
atleta	a t̪ l e t̪ a
atlánticu	a t̪ l ã n̪ t̪ i k u
atochecer	a t̪ o t͡ʃ e θ e ɾ
atomizáu	a t̪ o m i θ a u̯
atopadiegu	a t̪ o p a ð̞ j e ɡ u
atopadizu	a t̪ o p a ð̞ i θ u
atopaízu	a t̪ o p a i θ u
atoupadizu	a t̪ o u̯ p a ð̞ i θ u
atraer	a t̪ ɾ a e ɾ
atrayíu	a t̪ ɾ a ʝ i u
atrocar	a t̪ ɾ o k a ɾ
atroncar	a t̪ ɾ o ŋ k a ɾ
atropar	a t̪ ɾ o p a ɾ
attual	a t̪ t̪ w a l
atual	a t̪ w a l
atualidá	a t̪ w a l i ð̞ a
augurar	a u̯ ɡ u ɾ a ɾ
ausencia	a u̯ s ẽ n̟ θ j a
austeridá	a u̯ s̪ t̪ e ɾ i ð̞ a
austeru	a u̯ s̪ t̪ e ɾ u
Austria	a u̯ s̪ t̪ ɾ j a
automáticamente	a u̯ t̪ o m a t̪ i k a m ẽ n̪ t̪ e
automático	a u̯ t̪ o m a t̪ i k o
automóvil	a u̯ t̪ o m o β̞ i l
autonomía	a u̯ t̪ o n o m i a
autopista	a u̯ t̪ o p i s̪ t̪ a
autorizar	a u̯ t̪ o ɾ i θ a ɾ
autorizáu	a u̯ t̪ o ɾ i θ a u̯
autoría	a u̯ t̪ o ɾ i a
autónomu	a u̯ t̪ o n o m u
avagosu	a β̞ a ɡ o s u
avenencia	a β̞ e n ẽ n̟ θ j a
avenir	a β̞ e n i ɾ
averiguar	a β̞ e ɾ i ɡ w a ɾ
averosu	a β̞ e ɾ o s u
aveséu	a β̞ e s ø u
avientu	a β̞ j ẽ n̪ t̪ u
Avilés	a β̞ i l e s
avisiegu	a β̞ i s j e ɡ u
aviéspora	a β̞ j e s p o ɾ a
avés	a β̞ e s
axedrez	a ʃ e ð̞ ɾ e θ
axeitar	a ʃ e i̯ t̪ a ɾ
axetivos	a ʃ e t̪ i β̞ o s
axetivu	a ʃ e t̪ i β̞ u
axudáu	a ʃ u ð̞ a u̯
axuntanza	a ʃ ũ n̪ t̪ ã n̟ θ a
axuntar	a ʃ ũ n̪ t̪ a ɾ
ayalga	a ʝ a l ɡ a
Ayande	a ʝ ã n̪ d̪ e
ayenu	a ʝ e n u
Ayer	a ʝ e ɾ
ayeri	a ʝ e ɾ i
ayuda	a ʝ u ð̞ a
ayudar	a ʝ u ð̞ a ɾ
ayudáu	a ʝ u ð̞ a u̯
ayunáu	a ʝ u n a u̯
azafrán	a θ a f ɾ ã ŋ
azul	a θ u l
azuláu	a θ u l a u̯
Aída	a i ð̞ a
aínda	a ĩ n̪ d̪ a
aínda	ã ĩ n̪ d̪ a
añoranza	a ɲ o ɾ ã n̟ θ a
añu	a ɲ u
aúnda	a ũ n̪ d̪ a
aḥayadizu	a h a ʝ a ð̞ i θ u
aḥiyáu	a h i ʝ a u̯
babayosu	b a β̞ a ʝ o s u
babayu	b a β̞ a ʝ u
bable	b a β̞ l e
bablista	b a β̞ l i s̪ t̪ a
bablistes	b a β̞ l i s̪ t̪ e s
backgammon	b a ɡ a m õ ŋ
balagar	b a l a ɡ a ɾ
baleiru	b a l e i̯ ɾ u
baleru	b a l e ɾ u
ballesta	b a ʎ e s̪ t̪ a
ballestes	b a ʎ e s̪ t̪ e s
banana	b a n a n a
bancu	b a ŋ k u
bandera	b ã n̪ d̪ e ɾ a
banduyu	b ã n̪ d̪ u ʝ u
banzáu	b ã n̟ θ a u̯
banzón	b ã n̟ θ õ ŋ
baqueta	b a k e t̪ a
barafunda	b a ɾ a f ũ n̪ d̪ a
barandiella	b a ɾ ã n̪ d̪ j e ʎ a
baratiegu	b a ɾ a t̪ j e ɡ u
barato	b a ɾ a t̪ o
baratu	b a ɾ a t̪ u
barba	b a ɾ β̞ a
barcu	b a ɾ k u
bardín	b a ɾ ð̞ ĩ ŋ
bareru	b a ɾ e ɾ u
barraza	b a r a θ a
barriga	b a r i ɡ a
barón	b a ɾ õ ŋ
base	b a s e
basiliscu	b a s i l i s k u
batalla	b a t̪ a ʎ a
bautismu	b a u̯ t̪ i z m u
bautizar	b a u̯ t̪ i θ a ɾ
bautizáu	b a u̯ t̪ i θ a u̯
baxar	b a ʃ a ɾ
baxu	b a ʃ u
bayura	b a ʝ u ɾ a
beatu	b e a t̪ u
bebediegu	b e β̞ e ð̞ j e ɡ u
beber	b e β̞ e ɾ
bebida	b e β̞ i ð̞ a
bebáis	b e β̞ a i̯ s
bebéis	b e β̞ e i̯ s
bebía	b e β̞ i a
bebíes	b e β̞ i e s
bebíu	b e β̞ i u
Beixín	b e i̯ ʃ ĩ ŋ
belarmín	b e l a ɾ m ĩ ŋ
Belize	b e l i θ e
Benasc	b e n a s k
benasqués	b e n a s k e s
bendicir	b ẽ n̪ d̪ i θ i ɾ
beneficioso	b e n e f i θ j o s o
beneficiosu	b e n e f i θ j o s u
benéfico	b e n e f i k o
benéficu	b e n e f i k u
berenxena	b e ɾ ẽ ɲ ʃ e n a
berenxenal	b e ɾ ẽ ɲ ʃ e n a l
beriliu	b e ɾ i l j u
bermeyu	b e ɾ m e ʝ u
berriu	b e r j u
bestia	b e s̪ t̪ j a
besu	b e s u
bezu	b e θ u
biblioteca	b i β̞ l j o t̪ e k a
bicar	b i k a ɾ
biecu	b j e k u
Bielorrusia	b j e l o r u s j a
bienvenida	b j ẽ m b e n i ð̞ a
bienveníes	b j ẽ m b e n i e s
bienveníu	b j ẽ m b e n i u
billón	b i ʎ õ ŋ
Bimenes	b i m e n e s
biográfica	b j o ɡ ɾ a f i k a
