آئیں	ã́ː j
بوݭاگ	b ú ʂ àː ɡ
بٹ	b á ʈ
بٹ	b áː ʈ
بٹ	b ə̂ ʈ
بڅھور	b ə́ t̪ s h òː ɾ
بڅھیر	b ə́ t̪ s h èː ɾ
بچنت	b ə́ t͡ɕ á n t̪
بڈیر	b ə́ ɖ íː ɾ
بکول	b ə́ k ú l
بکول	b ə́ k úː l
بکھر	b í kʰ ə̀ ɾ
بکھر	b í kʰ ə̀ː ɾ
بکیر	b ì k í ɾ
بکیر	b ì k íː ɾ
بھا	b ǎː
بھاگ	b ǎː ɡ
بی	b í
بیر	b íː ɾ
بیرے	b í ɾ é
بیس	b éː s
بیلگ	b í l á ɡ
بیلگار	b í l ə́ ɡ áː ɾ
بݭنت	b í ʂ à n t̪
جوک	d͡ʑ ú k
دا	d̪ ǎː
داد	d̪ áː d̪
داوال	d̪ áː w áː l
دتر	d̪ ə̀ t̪ ə́ ɾ
دتر	d̪ ə̀ t̪ ə́ː ɾ
در	d̪ ə́ ɾ
در	d̪ ə́ː ɾ
دران	d̪ ə́ ɾ áː n
دربیٹ	d̪ ə̀ ɾ b é ʈ
دربیٹ	d̪ ə́ ɾ b é ʈ
دربیٹ	d̪ ə́ ɾ b éː ʈ
درہ	d̪ ə́ ɾ á
درین	d̪ ə̀ ɾ í n
درین	d̪ ə̀ ɾ íː n
دس	d̪ ə́ s
دش	d̪ ə́ ɕ
دش	d̪ ə́ː ɕ
دشئ	d̪ ə́ ɕ é j
دن	d̪ á n
علاقہ	ə̀ l àː q á
میش	m íː ɕ
ٞ	æ
ڄ	ʈ͡ʂ
ڄھان	ʈ͡ʂʰ ǎː n
ڄھاننت	ʈ͡ʂʰ àː n á n t̪
ڄھن	ʈ͡ʂʰ ə̀ n
ڄھن	ʈ͡ʂʰ ə̀ː n
ڄھور	ʈ͡ʂʰ òː ɾ
ڄھور	ʈ͡ʂʰ ùː ɾ
ڄھیر	ʈ͡ʂʰ ìː ɾ
چابی	t͡ɕ àː b íː
چارئی	t͡ɕ áː ɾ é j
چارپہ	t͡ɕ áː ɾ p à
چانت	t͡ɕ âː n t̪
چاچیٹ	t͡ɕ áː t͡ɕ è ʈ
چاکو	t͡ɕ áː k ù
چاݭ	t͡ɕ ə́ː ʂ
چرور	t͡ɕ ə́ ɾ óː ɾ
چل	t͡ɕ ə́ l
چل	t͡ɕ ə́ː l
چلپ	t͡ɕ ə́ l á p
چلپ	t͡ɕ ə́ l áː p
چلک	t͡ɕ ə́ l á k
چلک	t͡ɕ ə́ l áː k
چم	t͡ɕ á m
چمکنت	t͡ɕ ə́ m ə́ k à n t̪
چنار	t͡ɕ í n áː ɾ
چنڑنت	t͡ɕ ə́ ɳ á n t̪
چور	t͡ɕ óː ɾ
چومر	t͡ɕ ú m ə́ ɾ
چونجنت	t͡ɕ ṹː d͡ʑ á n t̪
چونر	t͡ɕ ó n ə̀ ɾ
چونر	t͡ɕ ó n ə̀ː ɾ
چونوٹ	t͡ɕ ú n ú ʈ
چونوٹ	t͡ɕ ú n úː ʈ
چونڑنت	t͡ɕ ú ɳ à n t̪
چوٹ	t͡ɕ ó ʈ
چوٹ	t͡ɕ óː ʈ
چوپوٹ	t͡ɕ ú p ú ʈ
چوچینہ	t͡ɕ óː t͡ɕ íː n à
چوکدریٹ	t͡ɕ ó k d̪ ə́ ɾ èː ʈ
چوکیٹ	t͡ɕ ú k é ʈ
چوکیٹ	t͡ɕ ú k éː ʈ
چچ	t͡ɕ á t͡ɕ
چک	t͡ɕ ú k
چک	t͡ɕ úː k
چکار	t͡ɕ í k ə́ː ɾ
چکڑ	t͡ɕ ə́ k á ɽ
چھتور	t͡ɕʰ ə́ t̪ óː ɾ
چھتیر	t͡ɕʰ ə́ t̪ éː ɾ
چھل	t͡ɕʰ ə̀ l
چھل	t͡ɕʰ ə̀ː l
چھی	t͡ɕʰ ǐː
چھیل	t͡ɕʰ èː l
چھیننت	t͡ɕʰ ì n á n t̪
چیر	t͡ɕ íː ɾ
چیش	t͡ɕ í ɕ
چیش	t͡ɕ íː ɕ
چینی	t͡ɕ í n íː
چیچ	t͡ɕ í t͡ɕ
چیچ	t͡ɕ íː t͡ɕ
ڈڈ	ɖ à ɖ
ڈڈ	ɖ àː ɖ
کرسی	k ú ɾ s í
ہیریٹ	h í ɾ éː ʈ
ݪ	ɬ
ݭ	ʂ
ݭݭار	ʂ í ʂ áː ɾ
