กก	k o k
จีเจด	c i c e t
จูโจะฮ	c u c o h
ซรัย	s r a j
ซา	s a
ซากฺี	s a ɡ i
ซาตัด	s a t a t
ซาปัก	s a p a k
ซาปา	s a p a
ซามา	s a m a
ซายัก	s a j a k
ซารัก	s a r a k
ซาละฮ	s a l a h
ซาวารา	s a w a r a
ซาเกะ	s a k e ʔ
ซาเบะ	s a b e ʔ
ซาเราะ	s a r ɔ ʔ
ซาเลด	s a l e t
ซาโมยจ	s a m o c
ซาโวะฮ	s a w o h
ซี	s i
ซีกู	s i k u
ซีงะฮ	s i ŋ a h
ซีงี	s i ŋ i
ซีดี	s i d i
ซีตา	s i t a
ซีปากู	s i p a k u
ซีเซ	s i s e
ซีเระฮ	s i r e h
ซีโปยจ	s i p o c
ซูกา	s u k a
ซูดะฮ	s u d a h
ซูดู	s u d u
ซูรัยจ	s u r a c
ซูวัยจ	s u w a c
ซูโงะฮ	s u ŋ o h
ซูโรยจ	s u r o c
ซูโระฮ	s u r o h
ซูโละฮ	s u l o h
ญา	ɲ a
ญาญี	ɲ a ɲ i
ญามัน	ɲ a m a n
ญาวา	ɲ a w a
ญาเมาะ	ɲ a m ɔ ʔ
ญาเวาะ	ɲ a w ɔ ʔ
ญาแญะ	ɲ a ɲ ɛ ʔ
ญาแระ	ɲ a r ɛ ʔ
ญาโตะ	ɲ a t o ʔ
ดะฮ	d a h
ดักดัก	d a k d a k
ดากฺู	d a ɡ u
ดาดา	d a d a
ดาตัก	d a t a k
ดาปิก	d a p i k
ดามัล	d a m a l
ดาระฮ	d a r a h
ดาลับ	d a l a p
ดาวัย	d a w a j
ดาฮัด	d a h a t
ดาเมอ	d a m ə
ดาโวด	d a w o t
ดีนิง	d i n i ŋ
ดีฮา	d i h a
ดือนียา	d ɨ n i j a
ดูรี	d u r i
ดูลี	d u l i
ดูลู	d u l u
ดูวา	d u w a
ดูเวะ	d u w e ʔ
ดูโดะ	d u d o ʔ
ตรก	t r o k
ตลีงา	t l i ŋ a
ตัง	t a ŋ
ตางัน	t a ŋ a n
ตาญก	t a ɲ o k
ตาญา	t a ɲ a
ตานะฮ	t a n a h
ตานา	t a n a
ตาปิฮ	t a p i h
ตาปี	t a p i
ตามาตา	t a m a t a
ตารา	t a r a
ตารี	t a r i
ตาลับ	t a l a p
ตาลี	t a l i
ตาฮด	t a h o t
ตาฮัด	t a h a t
ตาฮู	t a h u
ตาแมะ	t a m ɛ ʔ
ตาโกยจ	t a k o c
ตาโระ	t a r o ʔ
ตาโระฮ	t a r o h
ตีกอ	t i k ɔ
ตีกฺา	t i ɡ a
ตีมอน	t i m ɔ n
ตีมะฮ	t i m a h
ตีเมอ	t i m ə
ตีเมา	t i m a w
ตีโนะ	t i n o ʔ
ตูดก	t u d o k
ตูนู	t u n u
ตูบา	t u b a
ตูปัย	t u p a j
ตูรด	t u r o t
ตูลก	t u l o k
ตูละ	t u l a ʔ
ตูลัก	t u l a k
ตูลี	t u l i
ตูฮัด	t u h a t
ตูฮา	t u h a
ตูโดก	t u d o k
ตูโปะ	t u p o ʔ
ตูโยฺะฮ	t u ɟ o h
ตูโรยจ	t u r o c
ตูโฮะ	t u h o ʔ
ทก	tʰ o k
ทานี	tʰ a n i
ทายุ	tʰ a j u ʔ
ทาโยะ	tʰ a j o ʔ
ทุย	tʰ u j
นอ	n ɔ
นะ	n a ʔ
นังกฺรี	n a ŋ ɡ r i
นังนัยฮ	n a ŋ n a s
นัม	n a m
นากา	n a k a
นาซี	n a s i
นาตี	n a t i
นานะ	n a n a ʔ
นามา	n a m a
นารี	n a r i
นาแงะฮ	n a ŋ ɛ h
นีกะฮ	n i k a h
นีบีนี	n i b i n i
นีปิฮ	n i p i h
นีเดะฮ	n i d e h
นุยฮ	n u s
นูตู	n u t u
นูนัง	n u n a ŋ
บรัยฮ	b r a s
บราซา	b r a s a
บรานี	b r a n i
บรี	b r i
บรีบรี	b r i b r i
บรูตัด	b r u t a t
บรูวัก	b r u w a k
บลาเยอ	b l a j ə
บลูมา	b l u m a
บวยจ	b u a c
บัยจ	b a c
บากัก	b a k a k
บางัยจ	b a ŋ a c
บาจัด	b a c a t
บาจา	b a c a
บาญะ	b a ɲ a ʔ
บาตัน	b a t a n
บาตู	b a t u
บานา	b a n a
บาบี	b a b i
บายฺิ	b a ɟ i ʔ
บายฺู	b a ɟ u
บาระฮ	b a r a h
บารัก	b a r a k
บารัยจ	b a r a c
บารี	b a r i
บารู	b a r u
บาลัก	b a l a k
บาลัย	b a l a j
บาลิ	b a l i ʔ
บาวะฮ	b a w a h
บาวา	b a w a
บาฮายา	b a h a j a
บาฮู	b a h u
บาเกะ	b a k e ʔ
บาเตน	b a t e n
บาโตะ	b a t o ʔ
บาโฮะ	b a h o ʔ
บีดิก	b i d i k
บีตัก	b i t a k
บีนี	b i n i
บีเบ	b i b e
บูกัด	b u k a t
บูกิ	b u k i ʔ
บูกุยฮ	b u k u s
บูกู	b u k u
บูงา	b u ŋ a
บูงี	b u ŋ i
บูบู	b u b u
บูมอ	b u m ɔ
บูมอล	b u m ɔ l
บูรก	b u r o k
บูริ	b u r i ʔ
บูลัด	b u l a t
บูลี	b u l i
บูลู	b u l u
บูวะฮ	b u w a h
บูเกะ	b u k e ʔ
บูเลอ	b u l ə
บูโระ	b u r o ʔ
บูโละฮ	b u l o h
บโระ	b r o ʔ
ปรัก	p r a k
ปราฮู	p r a h u
ปลาโนะ	p l a n o ʔ
ปลีตา	p l i t a
ปะ	p a ʔ
ปัยจ	p a c
ปากฺี	p a ɡ i
ปาคัยจ	p a kʰ a c
ปาจัก	p a c a k
ปาซัก	p a s a k
ปาญัก	p a ɲ a k
ปาดัก	p a d a k
ปาดี	p a d i
ปาตัย	p a t a j
ปานะฮ	p a n a h
ปาปัด	p a p a t
ปารัก	p a r a k
ปารี	p a r i
ปาลัยฮ	p a l a s
ปาลา	p a l a
ปาลู	p a l u
ปาฮับ	p a h a p
ปาฮา	p a h a
ปาฮาฆิ	p a h a ɡ i ʔ
ปาเฮะ	p a h e ʔ
ปาโตยจ	p a t o c
ปี	p i
ปีงัก	p i ŋ a k
ปีซัก	p i s a k
ปีตู	p i t u
ปีนัง	p i n a ŋ
ปีปี	p i p i
ปีระ	p i r a ʔ
ปีเกาะ	p i k ɔ ʔ
ปีเซา	p i s a w
ปูกัยจ	p u k a c
ปูซัยจ	p u s a c
ปูตุยฮ	p u t u s
ปูลัก	p u l a k
ปูเตะฮ	p u t e h
ปูเลา	p u l a w
ปูโฮด	p u h o t
พลอก	pʰ l ɔ k
พากฺิ	pʰ a ɡ i ʔ
พาซา	pʰ a s a
พาดัก	pʰ a d a k
พาเพะ	pʰ a pʰ e ʔ
พุพุ	pʰ u ʔ pʰ u ʔ
ฟีม	f i m
มรับ	m r a p
มรากะ	m r a k a ʔ
มราตะ	m r a t a ʔ
มรีงัย	m r i ŋ a j
มะ	m a ʔ
มัยฮ	m a s
มากัด	m a k a t
มาจัก	m a c a k
มาซะ	m a s a ʔ
มาซับ	m a s a p
มาตะฮ	m a t a h
มาตา	m a t a
มาทู	m a tʰ u
มานี	m a n i
มาลับ	m a l a p
มาเซด	m a s e t
มาเรอมา	m a r ə m a
มาแระฮ	m a r ɛ h
มาโกะ	m a k o ʔ
มาโซะ	m a s o ʔ
มีญะ	m i ɲ a ʔ
มีตา	m i t a
มียา	m i j a
มีระฮ	m i r a h
มือนาแงฮ	m ɨ n a ŋ ɛ h
มูคา	m u kʰ a
มูดา	m u d a
มูมู	m u m u
มูโลยจ	m u l o c
ยับ	j a p
ยางัน	j a ŋ a n
ยาตก	j a t o k
ยาลา	j a l a
ยาโกฺะ	j a ɡ o ʔ
ยฺราวัยจ	ɟ r a w a c
ยฺัวะ	ɟ u a ʔ
ยฺางัน	ɟ a ŋ a n
ยฺาดี	ɟ a d i
ยฺารบ	ɟ a r o p
ยฺารี	ɟ a r i
ยฺาลัด	ɟ a l a t
ยฺาฮัยจ	ɟ a h a c
ยฺูกฺา	ɟ u ɡ a
รอยจ	r ɔ c
รากฺา	r a ɡ a
ราซา	r a s a
ราดารา	r a d a r a
ราตุยฮ	r a t u s
รามัย	r a m a j
ราโมยจ	r a m o c
รีฮัน	r i h a n
รีโบยจ	r i b o c
รูมด	r u m o t
รูมะฮ	r u m a h
รูเงก	r u ŋ e k
รูโซะ	r u s o ʔ
รูโปยจ	r u p o c
ละอูละ	l a ʔ ʔ u l a ʔ
ลัมโพง	l a m pʰ o ŋ
ลัยจ	l a c
ลัวะ	l u a ʔ
ลากี	l a k i
ลากฺี	l a ɡ i
ลากฺู	l a ɡ u
ลาดา	l a d a
ลาตอ	l a t ɔ
ลาปัด	l a p a t
ลามูลา	l a m u l a
ลายัล	l a j a l
ลาวัด	l a w a t
ลาเงา	l a ŋ a w
ลาเปอ	l a p ə
ลาเยอ	l a j ə
ลาแงะ	l a ŋ ɛ ʔ
ลาโวยจ	l a w o c
ลาโวะ	l a w o ʔ
ลิด	l i t
ลีดะฮ	l i d a h
ลีปัด	l i p a t
ลีมา	l i m a
ลีฮัยจ	l i h a c
ลีเมา	l i m a w
ลีเลด	l i l e t
ลูนัยฮ	l u n a s
ลูปา	l u p a
ลูมัยจ	l u m a c
ลูเปอ	l u p ə
ลูเมาะฮ	l u m ɔ h
ลูโตยจ	l u t o c
วะตู	w a ʔ t u
วัยจ	w a c
วายัก	w a j a k
วี	w i
อาซะ	ʔ a s a ʔ
อาซะฮ	a s a h
อาซู	ʔ a s u
อาดา	ʔ a d a
อาตัยจ	ʔ a t a c
อาตัยฮ	ʔ a t a s
อาปัล	a p a l
อาปี	ʔ a p i
อารอก	ʔ a r ɔ k
อาระ	ʔ a r a ʔ
อารี	ʔ a r i
อาเกอ	ʔ a k ə
อาเกะ	ʔ a k e ʔ
อาเปอ	a p ə
อาเมด	ʔ a m e t
อาเย	ʔ a j e
อาเยน	a j e n
อาแงน	ʔ a ŋ ɛ n
อีกัด	ʔ i k a t
อีกัยจ	ʔ i k a c
อีงัยจ	ʔ i ŋ a c
อีซี	ʔ i s i
อีตัด	ʔ i t a t
อีติ	ʔ i t i ʔ
อีริ	ʔ i r i ʔ
อีเกอ	ʔ i k ə
อูจะ	ʔ u c a ʔ
อูซิ	ʔ u s i ʔ
อูตก	ʔ u t o k
อูปัด	ʔ u p a t
อูมอล	ʔ u m ɔ l
อูมะ	ʔ u m a ʔ
อูรัก	ʔ u r a k
อูรัยจ	ʔ u r a c
อูเลอ	ʔ u l ə
อูแยะ	ʔ u j ɛ ʔ
อูโดะฮ	u d o h
ฮยู	h j u
ฮลอด	h l ɔ t
ฮลัก	h l a k
ฮวยจ	h u a c
ฮอย	h ɔ j
ฮางัยจ	h a ŋ a c
ฮาญอยจ	h a ɲ ɔ c
ฮาดะ	h a d a ʔ
ฮาตี	h a t i
ฮาตู	h a t u
ฮาบิฮ	h a b i h
ฮาบู	h a b u
ฮายับ	h a j a p
ฮารัก	h a r a k
ฮาลุยฮ	h a l u s
ฮาลู	h a l u
ฮีดก	h i d o k
ฮีตับ	h i t a p
ฮีโดะ	h i d o ʔ
ฮูตัด	h u t a t
ฮูยฺัด	h u ɟ a t
ฮูรัก	h u r a k
ฮูลู	h u l u
เกรอเบา	k r ə b a w
เกอญิ	k ə ɲ i ʔ
เกอดัย	k ə d a j
เกอตับ	k ə t a p
เกอมัก	k ə m a k
เกอมูดี	k ə m u d i
เกอเมียน	k ə m i a n
เกา	k a w
เกฺอตาวะ	ɡ ə t a w a ʔ
เกฺอนัก	ɡ ə n a k
เกฺอนีรา	ɡ ə n i r a
เคก	kʰ e k
เคอนัม	kʰ ə n a m
เจรอปู	c r ə p u
เจรอเมน	c r ə m e n
เจอบุ	c ə b u ʔ
เจอมางี	c ə m a ŋ i
เจอลุ	c ə l u ʔ
เชอนีง	cʰ ə n i ŋ
เซอกัยจ	s ə k a c
เซองะ	s ə ŋ a ʔ
เซอปูโละฮ	s ə p u l o h
เซอมะฮ	s ə m a h
เซอมียา	s ə m i j a
เซอมีลัด	s ə m i l a t
เซอเบอลัยฮ	s ə b ə l a s
เซอโนะ	s ə n o ʔ
เซาะ	s ɔ ʔ
เดอนัก	d ə n a k
เดอปา	d ə p a
เดอเงอ	d ə ŋ ə
เดะ	d e ʔ
เดียด	d i a t
เตด	t e t
เตอกฺีรี	t ə ɡ i r i
เตองะฮ	t ə ŋ a h
เตอบัก	t ə b a k
เตอบู	t ə b u
เตอเบะ	t ə b e ʔ
เตอเลอ	t ə l ə
เตอโละ	t ə l o ʔ
เบอกาจะ	b ə k a c a ʔ
เบอกฺาญะ	b ə ɡ a ɲ a ʔ
เบอซี	b ə s i
เบอตาฮัด	b ə t a h a t
เบอติฮ	b ə t i h
เบอนัว	b ə n u a
เบอนาตัก	b ə n a t a k
เบอปากัย	b ə p a k a j
เบอลี	b ə l i
เบอเกฺาะ	b ə ɡ ɔ ʔ
เบอเซอ	b ə s ə
เบอเละฮ	b ə l e h
เบอแนะฮ	b ə n e h
เบอแยะ	b ə j ɛ ʔ
เบาะฮ	b ɔ h
เปอกฺัก	p ə ɡ a k
เปอจะฮ	p ə c a h
เปอญู	p ə ɲ u
เปอตี	p ə t i
เปอนานา	p ə n a n a
เปอโดะ	p ə d o ʔ
เฟด	f e t
เมอเลา	m ə l a w
เมียว	m i a w
เยฺรา	ɟ r a w
เรอนัก	r ə n a k
เลองัน	l ə ŋ a n
เลอซก	l ə s o k
เลอปัยจ	l ə p a c
เลอมู	l ə m u
แกฺรก	ɡ r ɛ k
แคะ	kʰ ɛ ʔ
แจ	c ɛ
แดด	d ɛ t
แบะ	b ɛ ʔ
แฟบ	f ɛ p
แระกฺีแระ	r ɛ ʔ ɡ i r ɛ ʔ
แอบเปิน	ʔ ɛ p p ə n
แฮ	h ɛ
โกก	k o k
โกปี	k o p i
โกย	k o j
โจะบัด	c o ʔ b a t
โบะ	b o ʔ
โปรยจ	p r o c
โมะ	m o ʔ
โยะฮ	j o h
โอะ	ʔ o ʔ
