'ya	j̰ áː
Haɗeja	h á ɗ éː d ʒ à
Husaina	h ú s à i n áː
Husaini	h ù s á i n ì
Ibrahim	ʔ ì b r áː h ì m
Ikko	ʔ ì k k ó
Indiya	ʔ í n d í j à
Ingila	ʔ íː n ɡ ì l à
Ingilishi	ʔ í n ɡ ì l íː ʃ ìː
Iraƙ	ʔ ì r â kʼ
Iraƙi	ʔ ì r âː kʼ ì
Isa	ʔ íː s áː
Isiyaku	ʔ í s í j áː k ù
Isma'ilu	ʔ ì s m áː ʔ íː l ù
Isra'ila	ʔ ì s r áː ʔ íː l à
Isƙandariya	ʔ ì s kʼ á n d à r í j à
Italiya	ʔ ì t áː l í j à
Jahun	d ʒ áː h ù n
Jamus	d ʒ áː m ù s
Jamusanci	d ʒ áː m ú s á n t͡ʃ íː
Janairu	d ʒ à n á i r ù
Japan	d ʒ à p â n
Jatau	d ʒ àː t á u
Jega	d ʒ èː ɡ á
Jibirilu	d ʒ ì b ì r íː l ù
Jibiya	d ʒ í b í j à
Jos	d ʒ ò s
Jumma'a	d ʒ ú m m á ʔ àː
Jummai	d ʒ ú m m á i
Kaduna	k á d úː n á
Kairo	k á i r ò
Kaita	k á i t á
Kaka	k àː k á
Kamaru	k à m à r ú
Kano	k á n ó
Katagum	k á t áː ɡ ù m
Katsina	k à t sʼ í n à
Kawu	k áː w ù
Kazaure	k à z á u ɽ é
Kibiya	k í b í j à
Kirsimati	k í r s ì m á t ì
Kura	k úː ɽ á
Kwango	kʷ á n ɡ ò
Kwara	kʷ áː ɽ à
Kwiyat	kʷ ì j â t
Kyanada	c á n á d à
Ladi	l áː d ì
Lahadi	l á h à d ì
Lahira	l áː h í r àː
Lakwaja	l á kʷ á d ʒ à
Lami	l àː m îː
Landan	l á n d à n
Laraba	l àː r à b áː
Legas	l éː ɡ à s
Linjila	l ì n d ʒ íː l áː
Litinin	l ìː t ì n î n
Lubayya	l ù b á j j à
Madina	m à d íː n à
Magaji	m á ɡ àː d ʒ í
Magajiya	m á ɡ áː d ʒ ì j áː
Mahmudu	m àː m úː d ù
Maiduguri	m à i d ú ɡ ù r í
Maigado	m à i ɡ á d ó
Maigari	m à i ɡ à ɽ í
Maikuɗi	m à i k ú ɗ í
Maina	m á i n à
Mairiga	m à i ɽ ìː ɡ à
Maitama	m à i t á m á
Maiwada	m à i w à d áː
Maiɗaki	m à i ɗ áː k ì
Maka	m á k à
Makka	m á k k à
Mantau	m à n t á u
Maraɗi	m á ɽ áː ɗ í
Maris	m áː r ì s
Maroko	m à r óː k ò
Maru	m áː ɽ ù
Maryamu	m á r j á m ù
Masar	m á s à r
Masoro	m à s óː ɽ ó
Mayu	m áː j ùː
Mirya	m í ɽ j à
Misira	m í s í r à
Mohammed	m ù h á m m à d
Muhammadiyya	m ù h à m m à d í j j àː
Muhammadu	m ù h á m m á d ù
Muharram	m ù h á r r à m
Muhtari	m ù k t áː r í
Musa	m úː s áː
Musawa	m úː s áː w áː
Mustapha	m ú s t à f áː
Naijeriya	n à i d ʒ éː r í j àː
Najeriya	n àː d ʒ éː r í j àː
Neja	n éː d ʒ à
Nijeriya	n ìː d ʒ éː r í j à
Nil	n î l
Nuhu	n ú h ù
Nuwamba	n ù w á m b àː
Oktoba	ʔ ò k t óː b àː
Pakistan	p áː k í s t à n
Palasɗinu	p à l à s ɗ íː n ù
Paris	p áː r ì s
Pasha	p áː ʃ à
Pijo	p ì d ʒ ó
Rahila	ɽ à h íː l áː
Rajab	ɽ á d ʒ à b
Ramalan	ɽ à m à l â n
Rano	ɽ á n ó
Rasha	ɽ áː ʃ à
Rimi	ɽ íː m í
Ringim	ɽ í n ɡ ì m
Rogo	ɽ óː ɡ ò
Ruƙayyatu	ɽ ú kʼ à j j á t ù
Sabo	s áː b ó
Sadau	s àː d á u
Safar	s á f à r
Sakkwato	s á kʷ kʷ á t ó
Saliyo	s àː l ì j ôː
Sallau	s à l l á u
Samɓala	s á m ɓ á l áː
Samɓali	s á m ɓ á l í
Santambul	s à n t à m b û l
Saratu	s áː r á t ù
Sarki	s á ɽ k í
Satumba	s à t ú m b àː
Saudiyya	s à u d í j j àː
Sha'aban	ʃ à ʔ à b â n
Sham	ʃ â m
Shanono	ʃ àː n óː n ò
Shawwal	ʃ à w w â l
Shekarau	ʃ èː k à ɽ á u
Sin	s í n
Siriya	s íː r í j à
Soba	s òː b á
Sulemanu	s ú l èː m áː n ù
Takum	t áː k ù m
Talata	t à l áː t à
Talatu	t à l áː t ù
Tambutu	t à m b úː t ù , t á m b úː t ù
Tanimu	t à n íː m ù
Tarabulus	t á r áː b ú l ù s
Tasalla	t á s á l l à
Tsanyawa	t sʼ á n j áː w áː
Tunau	t ù n á u
Turai	t úː r á i
Turanci	t úː r á n t͡ʃ íː
Umaru	ʔ ù m á r ù
Usaina	ʔ ú s à i n áː
Usumanu	ʔ ù s ù m áː n ù
Uwa	ʔ ú w á
Wagadugu	w à ɡ à d ú ɡ ù
Watari	w à t à ɽ í
Wudil	w ù d í l
Yakubu	j àː k ú b ù
Yalwa	j à l w á
Yamai	j à m à i
Yamal	j á m à l
Yaƙubu	j àː kʼ ú b ù
Yuganda	j ù ɡ á n d à
Yuli	j úː l ì
Yunan	j ùː n â n
Yunananci	j úː n áː n á n t͡ʃ íː
Yuni	j úː n ì
Yusufu	j úː s ú f ù
Zainabu	z à i n á b ù
Zandar	z à n d â r
Zariya	z áː ɽ í j à
Zazzau	z á z z à u
Zubairu	z ù b á i r ù
Zulhajji	z ú l h á d ʒ d ʒ ì
Zulƙida	z ù l kʼ íː d àː
abacada	ʔ àː b àː t͡ʃ àː d âː
abada	ʔ à b à d âː
abarba	ʔ à b à ɽ b áː
abiyo	ʔ à b ì j ôː
abjadi	ʔ á b d ʒ à d íː
aboka	ʔ à b òː k âː
aboki	ʔ à b óː k íː
abu	ʔ à b ù
acca	ʔ á t͡ʃ t͡ʃ àː
adabi	ʔ á d à b íː
adabo	ʔ á d àː b óː
adadi	ʔ á d à d íː
adawa	ʔ à d áː w àː
addaba	ʔ à d d á b àː
addini	ʔ à d d íː n ìː
addu'a	ʔ à d d ú ʔ àː
adire	ʔ à d ì r é
adu	ʔ á d ú
aduwa	ʔ á d ú w àː
agade	ʔ à ɡ à d è
agogo	ʔ à ɡ óː ɡ ó
agola	ʔ á ɡ òː l à
agushi	ʔ à ɡ ú ʃ íː
agwado	ʔ à ɡʷ àː d óː
agwagwa	ʔ à ɡʷ àː ɡʷ áː
aibi	ʔ á i b ì
aibu	ʔ á i b ù
aidin	ʔ à i d î n
aiki	ʔ á i k ìː
ainun	ʔ á i n ù n
ajali	ʔ á d ʒ à l íː
ajami	ʔ à d ʒ à m í
ajuza	ʔ à d ʒ úː z àː
akala	ʔ á k àː l à
akara	ʔ à k à ɽ à
akasidan	ʔ à k àː s ìː d â n
akasidan	ʔ á k á s ì d â n
akawal	ʔ á k á w à l
akawali	ʔ á k á w à l íː
akawu	ʔ à k àː w ú
akushi	ʔ á k ù ʃ íː
akuya	ʔ à k ú j àː
akwasa	ʔ á kʷ á s áː
akwati	ʔ à kʷ àː t ì
al'ada	ʔ à l ʔ áː d àː
al'ajabi	ʔ à l ʔ á d ʒ à b íː
al'amari	ʔ à l ʔ á m à r íː
al'aura	ʔ à l ʔ á u r àː
al'umma	ʔ à l ʔ ú m m àː
alabe	ʔ à l á b èː
alabo	ʔ à l à b óː
alade	ʔ à l á d èː
alama	ʔ à l áː m àː
alaramma	ʔ á l à r á m m à
alatu	ʔ áː l áː t ù
alawa	ʔ à l áː w àː
albaras	ʔ à l b á r à s
albarka	ʔ à l b á r k àː
albarushi	ʔ à l b à r úː ʃ ìː
albasa	ʔ à l b á s àː
albashi	ʔ à l b âː ʃ íː
albishir	ʔ à l b í ʃ ì r
alfadari	ʔ à l f á d á r íː
alfahari	ʔ à l f á h à r íː
alfijir	ʔ à l f í d ʒ ì r
algaita	ʔ à l ɡ á i t àː
algashi	ʔ á l ɡ à ʃ íː
alhaji	ʔ à l h á d ʒ íː
alhaki	ʔ à l h á k íː
alhali	ʔ à l h áː l íː
alhamdulillahi	ʔ à l h á m d ù l ì l l áː h ì
alhanzir	ʔ à l h à n z î r
alheri	ʔ à l h éː r ìː
alhudahuda	ʔ à l h ú d à h ú d à
alif	ʔ á l ì f
aljabara	ʔ à l d ʒ á b á r àː
aljan	ʔ à l d ʒ á n
aljani	ʔ à l d ʒ á n íː
aljanna	ʔ à l d ʒ á n n àː
alkadari	ʔ à l k á d à r íː
alkali	ʔ à l k áː l íː
alkama	ʔ à l k á m àː
alkarya	ʔ à l k á r j àː
alkawari	ʔ à l k á w à r íː
alkyabba	ʔ à l c á b b àː
alli	ʔ â l l íː
allura	ʔ à l l úː r àː
almajiri	ʔ à l m áː d ʒ ì r íː
almakashi	ʔ à l m á k à ʃ íː
alwala	ʔ à l w à l áː
alƙalami	ʔ à l kʼ á l à m íː
alƙali	ʔ à l kʼ áː l íː
amalanke	ʔ á m áː l á n k é
amale	ʔ á m áː l è
amana	ʔ à m áː n àː
amarya	ʔ á m á ɽ j áː
amawali	ʔ á m áː w à l íː
ambaliya	ʔ á m b àː l í j àː
amfani	ʔ à m f àː n íː
amin	ʔ àː m í n
amini	ʔ à m íː n ìː
amma	ʔ à m m áː
amo	ʔ á m óː
amsa	ʔ á m s àː
anabi	ʔ á n à b íː
anini	ʔ à n íː n íː
annabi	ʔ à n n á b ìː
annoba	ʔ à n n òː b áː
annuri	ʔ à n n úː r ìː
anta	ʔ á n t àː
ar	ʔ á r
arabiyya	ʔ à r à b í j j àː
aradu	ʔ à r áː d ù
arba'in	ʔ à r b à ʔ í n
arewa	ʔ á ɽ èː w á
arziki	ʔ á r z ì k íː
asabari	ʔ á s á b à r íː
asali	ʔ á s á l íː
asara	ʔ à s áː r àː
asawaki	ʔ à s á w àː k íː
asham	ʔ á ʃ á m
ashana	ʔ à ʃ áː n áː
ashirin	ʔ à ʃ ì r í n
asibiti	ʔ á s ì b í t ì
asiri	ʔ à s íː r íː
aske	ʔ á s k èː
asuba	ʔ à s ù b âː
asubahi	ʔ à s ù b áː h ì
attajiri	ʔ à t t áː d ʒ ì r íː
auduga	ʔ á u d ù ɡ áː
aure	ʔ á u ɽ éː
awa	ʔ á w àː
awaza	ʔ à w á z àː
aya	ʔ áː j àː
ayaba	ʔ à j à b à
ayari	ʔ áː j à r íː
ayu	ʔ à j úː
azaba	ʔ à z áː b àː
azahar	ʔ à z á h à r
azahariyya	ʔ à z à h à r í j j àː
azumi	ʔ á z ù m íː
azurfa	ʔ á z ù r f áː
azzakari	ʔ à z z á k à r íː
aƙalla	ʔ à kʼ á l l à
aƙida	ʔ à kʼ íː d àː
ba'askare	b à ʔ á s k á r èː
baba	b àː b á
baba	b àː b áː
baba	b áː b à
baba	b áː b áː
babba	b à b b á
babur	b àː b ú r
bado	b á d òː
baffa	b á f f à
bahar	b á h à r
bahasi	b á h à s íː
bahili	b à h íː l ìː
baho	b áː h òː
baibai	b à i b â i
baiti	b á i t ìː
baitulmali	b à i t ù l m áː l ì
baiwa	b â i w áː
bajau	b á d ʒ á u
bajo	b áː d ʒ òː
baka	b à k áː
baka	b á k à
baki	b àː k íː
bakwai	b á kʷ à i
bal	b â l
bala'i	b à l áː ʔ ìː
balas	b á l à s
bana	b á n á
banda	b à n d áː
banga	b à n ɡ áː
bangaskiya	b á n ɡ á s k í j áː
bango	b á n ɡ óː
bappa	b á p p à
bara	b àː r áː
bara	b àː ɽ á
bara	b á r àː
bara	b á ɽ àː
barewa	b à ɽ éː w áː
bargo	b à r ɡ óː
barka	b á r k àː
barkono	b à r k òː n óː
bas	b â s
basasa	b áː s áː s àː
basukur	b áː s ú k ù r
batir	b áː t ì r
batta	b á t t àː
bauta	b à u t áː
bawa	b áː w àː
baya	b áː j á
baya	b áː j áː
bayan	b áː j á n
baƙi	b á kʼ íː
bedi	b éː d ìː
bel	b é l
bidi'a	b í d í ʔ àː
bif	b î p
bika	b ì k áː
bil	b î l
bincike	b ì n t͡ʃ ì k éː
bindi	b í n d ìː
bindiga	b í n d í ɡ àː
birgediya	b ì r ɡ éː d í j àː
birjik	b ì r d ʒ í k
birni	b í r n íː
bisa	b í s áː
bishar̃a	b ì ʃ áː r àː
bishiya	b í ʃ í j àː
bisimilla	b ì s í m í l l àː
bisimillahi	b ì s í m ì l l áː h ìː
biya	b í j à
biya	b í j áː
biyar	b ì j á r
biyayya	b ì j á j j àː
biyer	b ì j ê r
biyu	b í j ú
biza	b íː z àː
boca	b óː t͡ʃ àː
boka	b óː k áː
boko	b óː k òː
bonono	b òː n òː n òː
bora	b óː ɽ àː
bori	b òː ɽ íː
borintinke	b òː ɽ í n t í n k èː
boyi	b òː j í
boɗoɗo	b òː ɗ òː ɗ òː
budurwa	b ù d ú ɽ w áː
buguzunzum	b ù ɡ ù z ù n z ù m
bukka	b ú k k àː
bura	b úː ɽ áː
buroka	b ù r óː k àː
burɗunɗun	b ù r ɗ ù n ɗ ù n
buta	b úː t àː
buƙata	b ù kʼ áː t àː
buƙwi	b ù kʷʼ íː
buɗuɗu	b ú ɗ ú ɗ ú
ca	t͡ʃ áː
ca	t͡ʃ âː
caka	t͡ʃ à k áː
caka	t͡ʃ á k á
cali	t͡ʃ àː l í
cali	t͡ʃ áː l íː
canko	t͡ʃ à n k óː
casa'in	t͡ʃ à s à ʔ í n
cata	t͡ʃ áː t àː
caɓaɓa	t͡ʃ á ɓ á ɓ á
ci	t͡ʃ í
cibi	t͡ʃ í b íː
cibi	t͡ʃ íː b ìː
cibiya	t͡ʃ íː b ì j áː
cif	t͡ʃ í p
cif	t͡ʃ î f
cigaba	t͡ʃ îː ɡ à b á
ciki	t͡ʃ í k ìː
ciki	t͡ʃ í k í
cindo	t͡ʃ í n d òː
cir	t͡ʃ î r
ciroma	t͡ʃ í r òː m à
citta	t͡ʃ ì t t á
citta	t͡ʃ í t t à
ciwo	t͡ʃ íː w òː
coci	t͡ʃ óː t͡ʃ ì
coi	t͡ʃ ó í
cokali	t͡ʃ óː k à l íː
cuku	t͡ʃ ú k úː
cukwi	t͡ʃ ú kʷ íː
cuna	t͡ʃ úː n àː
cura	t͡ʃ úː ɽ àː
curi	t͡ʃ úː ɽ ìː
cwai	t͡ʃʷ á i
da'awa	d à ʔ à w áː
da'ira	d áː ʔ ì r áː
dabba	d á b b àː
dabino	d á b íː n òː
dabo	d á b òː
daddawa	d à d d á w áː
daftari	d á f t à r íː
daga	d á ɡ áː
daga	d áː ɡ áː
dage	d á ɡ éː
dahir	d áː h ì r
daimon	d á i m ò n
daina	d á i n àː
dala	d àː l á
dala	d á l àː
dalili	d à l íː l ìː
dama	d áː m áː
dambe	d á m b é
dambu	d á m b úː
damisa	d àː m í s àː
damuwa	d àː m ú w áː
danana	d á n á n á
danda	d à n d á
dandali	d á n d à l íː
danga	d á n ɡ áː
dankali	d à n k á l ìː
daraja	d á r á d ʒ àː
darasi	d á r à s íː
darduma	d à r d úː m àː
dari	d á ɽ ìː
darma	d á r m àː
darni	d à r n íː
datti	d à t t í
dattijo	d á t t íː d ʒ ò
dau	d à u
daula	d á u l àː
dawa	d á w à
dawa	d áː w àː
daƙashi	d á kʼ à ʃ íː
daƙiƙa	d à kʼ íː kʼ àː
daƙiƙi	d à kʼ íː kʼ ìː
di'o	d íː ʔ òː
diflomasiyya	d ì f l òː m à s í j j àː
diga	d í ɡ àː
dimilmilo	d í m í l m í l òː
dimokuraɗiyya	d ì m ò k ù ɽ à ɗ í j j àː
dina	d í n àː
dinari	d íː n áː r ìː
dinya	d í n j áː
diwani	d íː w áː n ìː
diyya	d í j j àː
dogara	d òː ɡ á ɽ à
dogara	d òː ɡ á ɽ àː
dogari	d òː ɡ á ɽ ìː
dogo	d óː ɡ óː
doki	d óː k ìː
dokta	d ó k t àː
domin	d òː m í n
dorina	d òː ɽ í n áː
dososo	d òː s òː s òː
du'a'i	d ú ʔ áː ʔ ìː
dubban	d ù b b â n
dubu	d ú b úː
dukiya	d úː k ì j áː
dukuku	d ù k ù k ù
duma	d ú m àː
duma	d ú m áː
dumɓu	d ú m ɓ úː
duna	d úː n àː
duniya	d úː n í j àː
duri	d úː ɽ ìː
duros	d ù r ô s
dutse	d úː t sʼ èː
edita	ʔ é d í t à
eka	ʔ éː k àː
el'e	ʔ é l ʔ êː
emti	ʔ é m t ìː
en'e	ʔ é n ʔ èː
fa'ida	f áː ʔ í d àː
fahami	f á h à m íː
fahari	f á h à r íː
falsafa	f á l s á f àː
fam	f â m
fangali	f á n ɡ á l íː
fanke	f à n k éː
fanni	f á n n ìː
fara	f àː ɽ áː
fara'a	f á r á ʔ àː
farali	f á r à l íː
farce	f á ɽ t͡ʃ èː
fari	f á ɽ íː
fari	f áː ɽ ì
farilla	f à r í l l àː
farko	f á ɽ k óː
fartanya	f á r t á n j àː
fasa'ofis	f á s à ʔ óː f ì s
fasali	f á s à l íː
fasfo	f à s f ó
fashe	f á ʃ é
fasinja	f áː s í n d ʒ à
fasiƙi	f áː s ì kʼ íː
fassara	f á s s á r àː
fat	f á t
fatanya	f á t á n j àː
fatau	f á t á u
fatsa	f á t sʼ á
fatsi	f á t sʼ íː
fau	f á u
faƙiri	f à kʼ íː r ìː
faɗa	f à ɗ áː
faɗa	f á ɗ àː
faɗa	f áː ɗ àː
feda	f éː d àː
fensir	f é n s ì r
fes	f é s
fetal	f èː t á l
fetur̃	f éː t ù r
fi'ili	f í ʔ ì l íː
fida'u	f ì d áː ʔ ùː
filafili	f í l à f í l íː
filas	f ì l â s
fili	f íː l íː
firamare	f í r áː m à r èː
fis	f î s
fita	f ì t áː
fitila	f ì t í l àː
fitina	f ì t í n àː
fitsari	f í t sʼ áː ɽ íː
fiƙihu	f í kʼ í h ù
fom	f ô m
fula	f ùː l áː
funkaso	f ù n k àː s óː
fura	f ú ɽ áː
fure	f ù ɽ éː
fururu	f ú ɽ ú ɽ ú
fusata	f ù s áː t à
fusata	f ú s àː t áː
fuɗu	f ú ɗ ú
gabar	ɡ á b à r
gabas	ɡ á b à s
gada	ɡ à d áː
gada	ɡ á d àː
gadara	ɡ à d áː r àː
gado	ɡ á d óː
gadu	ɡ à d úː
gafara	ɡ áː f á r àː
gagai	ɡ á ɡ à i
gaggafa	ɡ á ɡ ɡ áː f áː
gahawa	ɡ á h á w àː
gaibi	ɡ á i b ì
gaira	ɡ á i r à
gaiwa	ɡ â i w áː
gajere	ɡ à d ʒ éː ɽ éː
galadima	ɡ à l àː d íː m àː
galala	ɡ àː l àː l àː
galau	ɡ à l á u
galibi	ɡ áː l ì b íː
gam	ɡ â m
gamsheƙa	ɡ à m ʃ èː kʼ áː
gandu	ɡ á n d úː
ganima	ɡ à n íː m àː
ganji	ɡ á n d ʒ ìː
ganuwa	ɡ áː n ú w áː
ganye	ɡ á n j éː
garafuni	ɡ à ɽ àː f ú n íː
gari	ɡ à ɽ íː
gari	ɡ àː ɽ íː
garkuwa	ɡ à ɽ k ú w áː
garu	ɡ àː r úː
garwashi	ɡ á ɽ w áː ʃ íː
gasa	ɡ àː s áː
gaskata	ɡ à s k á t à
gaskata	ɡ á s k à t áː
gaskiya	ɡ á s k í j áː
gatari	ɡ àː t á ɽ íː
gato	ɡ àː t ôː
gaula	ɡ á u l áː
gawa	ɡ áː w áː
gawasa	ɡ á w á s àː
gazet	ɡ à z é t
gefin	ɡ èː f ì n
gemu	ɡ éː m ùː
giginya	ɡ í ɡ í n j àː
gimbiya	ɡ í m b ì j áː
giris	ɡ ì r î s
girka	ɡ í ɽ k àː
girka	ɡ í ɽ k áː
girma	ɡ í ɽ m áː
gitta	ɡ í t t àː
giwa	ɡ íː w áː
giya	ɡ í j àː
goba	ɡ óː b àː
goge	ɡ òː ɡ éː
goma	ɡ óː m à
gomiya	ɡ òː m í j áː
gona	ɡ óː n áː
goro	ɡ óː r ò
goyo	ɡ óː j óː
guba	ɡ ú b àː
guduma	ɡ ù d ú m àː
gula	ɡ ú l àː
gulbi	ɡ ú l b íː
gum	ɡ ù m
guma	ɡ ú m àː
guna	ɡ ú n àː
gunda	ɡ ú n d àː
gunki	ɡ ú n k ìː
gunus	ɡ ù n ù s
gunya	ɡ ú n j áː
gurasa	ɡ ù r áː s àː
gurnet	ɡ ù r n é t
guru	ɡ úː r úː
gusa	ɡ ú s àː
gusum	ɡ ú s ù m
guɗa	ɡ úː ɗ àː
gwaggo	ɡʷ á ɡ ɡ ò
gwaiba	ɡʷ á i b àː
gwal	ɡʷ â l
gwamna	ɡʷ á m n àː
gwamnati	ɡʷ á m n á t ì
gwanda	ɡʷ á n d àː
gwangwani	ɡʷ á n ɡʷ á n íː
gwanjo	ɡʷ à n d ʒ óː
gwanki	ɡʷ á n k íː
gwaza	ɡʷ áː z áː
gwiwa	ɡʷ íː w àː
hadda	h á d d àː
haddi	h á d d ìː
hadisi	h à d íː s ìː
haihu	h á i h ù
haihuwa	h á i h ù w áː
haila	h á i l àː
hairan	h á i r à n
haja	h áː d ʒ àː
haji	h á d ʒ ì
hajji	h á d ʒ d ʒ ì
hajji	ʔ à l h á d ʒ í
hakimi	h áː k ì m íː
hakiya	h á k í j àː
hakkan	h á k k à n
hakki	h á k k ìː
halaka	h à l á k à
halaka	h á l à k áː
halal	h à l â l
halama	h à l áː m àː
hali	h áː l íː
halwa	h á l w àː
hama	h á m àː
hamada	h à m áː d àː
hamayya	h à m á j j àː
hamdala	h á m d á l àː
hamila	h à m íː l àː
hamsin	h à m s í n
hanci	h á n t͡ʃ ìː
hanci	h á n t͡ʃ í
hangum	h à n ɡ ú m
hanhai	h à n h á i
hani	h á n ìː
hani'an	h áː n í ʔ à n
hankali	h á n k à l ì
hannu	h á n n úː
hanta	h á n t àː
hanya	h á n j àː
har	h á r
harafi	h á r à f íː
haraji	h à r áː d ʒ ìː
haram	h à r â m
harsashi	h à r s áː ʃ ìː
harshe	h á ɽ ʃ è
hasa	h á s àː
hasafi	h á s à f íː
hasara	h à s áː r àː
hassada	h á s s á d àː
hatimi	h áː t ì m íː
hatta	h à t t áː
hau	h â u
hausa	h á u s á
hawa'i	h à w áː ʔ íː
hawainiya	h à w á i n ì j áː
hazbiya	h á z b í j áː
haziƙi	h áː z ì kʼ íː
hazo	h á z óː
haƙori	h á kʼ óː ɽ íː
haɓa	h á ɓ àː
haɓe	h áː ɓ è
haɓɓoje	h á ɓ ɓ óː d ʒ è
haɗama	h à ɗ á m àː
haɗari	h á ɗ à r íː
haɗi	h á ɗ ìː
hidima	h í d í m áː
hijabi	h ì d ʒ áː b ìː
hijira	h í d ʒ í r áː
hikaya	h ì k áː j àː
hikima	h í k í m àː
hisabi	h ì s áː b ìː
hoda	h óː d àː
hole	h óː l èː
holo	h óː l òː
homan	h óː m à n
hoto	h òː t óː
hubbare	h ú b b áː r è
huhu	h ùː h úː
huhu	h úː h ùː
hukuma	h ù k úː m àː
hukunci	h ú k ú n t͡ʃ í
hula	h ùː l áː
humushi	h ú m ùː ʃ íː
humusi	h ú m ùː s íː
huntu	h ú n t úː
hura	h úː ɽ àː
hurriyya	h ù r r í j j àː
husufi	h ù s úː f ìː
hutsu	h úː t sʼ úː
hutu	h úː t úː
huɗu	h ú ɗ ú
huɗuba	h ú ɗ ú b àː
ibada	ʔ ì b áː d àː
ibilis	ʔ ì b ì l î s
iblis	ʔ ì b l î s
ice	ʔ í t͡ʃ èː
idan	ʔ ì d á n
idda	ʔ í d d àː
idi	ʔ íː d ìː
ido	ʔ í d òː
igiya	ʔ í ɡ í j àː
igwa	ʔ ì ɡʷ áː
ijara	ʔ ì d ʒ áː r àː
iko	ʔ íː k òː
ilimi	ʔ í l ì m íː
illa	ʔ í l l àː
illa	ʔ í l l áː
ilmi	ʔ í l m ìː
ilmi	ʔ î l m íː
imani	ʔ íː m áː n ìː
inabi	ʔ í n à b íː
