เʼงีย	ˀŋ i a̯
ซัด	s a t
เซอ	s ə
เซะ	s e ʔ
เซาฺะ	s ɒ ʔ
โซงะ	s o ŋ a ʔ
โซจ	s o c
โซม	s o m
โซะ	s o ʔ
ฌวง	ʄ u a̯ ŋ
ฌุจ	ʄ u c
เฌือ	ʄ ɨ a̯
เฌือม	ʄ ɨ a̯ m
ญัก	ɲ a k
ญับ	ɲ a p
ญุ	ɲ u ʔ
ญุง	ɲ u ŋ
เญะ	ɲ e ʔ
เญือฮ	ɲ ɨ a̯ h
เญือะ	ɲ ɨ a̯ ʔ
โญม	ɲ o m
โญะ	ɲ o ʔ
ด̱า	ⁿd a
ด̱าอติก	ⁿd a ʔ t i k
ด̱ี	ⁿd i
ดอ	ɗ ɔ
ดึง	ɗ ɨ ŋ
แด	ɗ ɛ
แดม	ɗ ɛ m
โดะ	ɗ o ʔ
ตวด	t u a̯ t
ตอง	t ɔ ŋ
ตอฺ	t ɒ
ตอฺง	t ɒ ŋ
ตอฺม	t ɒ m
ตัก	t a k
ตังเอิก	t a ŋ ʔ ə k
ตัญ	t a ɲ
ติง	t i ŋ
ตู	t u
เต	t e
เตะ	t e ʔ
เตียะ	t i a̯ ʔ
เตือ	t ɨ a̯
เตือก	t ɨ a̯ k
แต	t ɛ
โต	t o
โตม	t o m
โตม	t o m
ทอ	tʰ ɔ
เทิก	tʰ ə k
นอง	n ɔ ŋ
นักเนิง	n a k n ə ŋ
เนม	n e m
แนม	n ɛ m
แนมเบ̱ระ	n ɛ mᵐ b r e ʔ
แนมเบ̱ละ	n ɛ mᵐ b l e ʔ
บ̱วก	ᵐb u a̯ k
บักงอ	ɓ a k ŋ ɔ
บุ̱งบ̱ัง	ᵐb u ŋᵐ b a ŋ
เบ̱ริก	ᵐb r ə k
เบ̱ลิก	ᵐb l ə k
เบ̱ิญ	ᵐb ə ɲ
เบิก	ɓ ə k
แบ̱ญ	ᵐb ɛ ɲ
ปรุกปรัก	p r u k p r a k
ปลุกปลัก	p l u k p l a k
ปอฺ	p ɒ
ปอฺง	p ɒ ŋ
ปิง	p i ŋ
ปีดวก	p i ɗ u a̯ k
ปู	p u
เปรฮ	p r e h
เประ	p r e ʔ
เปรีย	p r i a̯
เปลฮ	p l e h
เปละ	p l e ʔ
เปลีย	p l i a̯
เปิง	p ə ŋ
เปียง	p i a̯ ŋ
เปือน	p ɨ a̯ n
เปือฮ	p ɨ a̯ h
เปือะ	p ɨ a ʔ
แป	p ɛ
โปง	p o ŋ
โปฮ	p o h
พรัง	pʰ r a ŋ
พรัญ	pʰ r a ɲ
พลัง	pʰ l a ŋ
พวน	pʰ u a̯ n
เพรือ	pʰ r ɨ a̯
เพลือ	pʰ l ɨ a̯
ฟวน	f u a̯ n
เฟือะ	f ɨ a̯ ʔ
มลอง	m l ɔ ŋ
มวน	m u a̯ n
มอ	m ɔ
มอง	m ɔ ŋ
มอฺก	m ɒ k
มอฺง	m ɒ ŋ
มะ	m a ʔ
มัจ	m a c
มาซเงะ	m a s ŋ e ʔ
มาซแงะ	m a s ŋ ɛ ʔ
มาซะ	m a s a ʔ
มาเซม	m a s e m
มุด	m u t
โมง	m o ŋ
ยวก	j u a̯ k
ยวกฮวก	j u a̯ k h u a̯ k
ยิบ	j i p
ยึง	j ɨ ŋ
ยึด	j ɨ t
ยุม	j u m
ยุฮ	j u h
โยง	j o ŋ
โยะ	j o ʔ
รัจ	r a c
รึ	r ɨ ʔ
เรฮ	r e h
แรฮ	r ɛ h
ลอก	l ɔ k
ลอง	l ɔ ŋ
ลอม	l ɔ m
ลอา	l ʔ a
ลเอม	l ʔ e m
ลฮะ	l h a ʔ
ลัจ	l a c
ลึ	l ɨ ʔ
เลม	l e m
เลฮ	l e h
เลิจ	l ə c
แลจ	l ɛ c
แลฮ	l ɛ h
แลฮ	l ɛ h
วัด	w a t
เวียก	w i a̯ k
เวือฮ	w ɨ a̯ h
แว	w ɛ
อเกือะ	ʔ k ɨ a̯ ʔ
อซัจ	ʔ s a c
อเญ	ʔ ɲ e
อบ̱อม	ʔᵐ b ɔ m
อเปะ	ʔ p e ʔ
อโปะ	ʔ p o ʔ
อเมะ	ʔ m e ʔ
อแมะ	ʔ m ɛ ʔ
อโมะ	ʔ m o ʔ
อเยือ	ʔ j ɨ a̯
อเลียง	ʔ l i a̯ ŋ
อแลฮ	ʔ l ɛ h
อวด	ʔ u a̯ t
อวน	ʔ u a̯ n
อเวีย	ʔ w i a̯
อเวือะ	ʔ w ɨ a̯ ʔ
อัก	ʔ a k
อัจ	ʔ a c
เอบ	ʔ e p
เอาะ	ʔ ɔ ʔ
เอีย	ʔ i a̯
เอียฮ	ʔ i a̯ h
แอ	ʔ ɛ
ฮงับ	ŋ̊ a p
ฮนัม	n̥ a m
ฮมอง	m̥ ɔ ŋ
ฮมัจ	m̥ a c
ฮมัญ	m̥ a ɲ
ฮลวง	l̥ u a̯ ŋ
ฮละ	l̥ a ʔ
ฮลัด	l̥ a t
ฮัก	h a k
ฮัจ	h a c
ฮับ	h a p
ฮัว	h u a̯
เฮงาะ	ŋ̊ ɔ ʔ
เฮละ	l̥ e ʔ
เฮลาะ	l̥ ɔ ʔ
เฮลิจ	l̥ ə c
เฮาะ	h ɔ ʔ
เฮิง	h ə ŋ
แฮ	h ɛ
แฮลจ	l̥ ɛ c
แฮละ	l̥ ɛ ʔ
โฮมะ	m̥ o ʔ
