'sti	s t iː
apostolig	a p ɔ s t ɔ l ɪ ɡ
apostolion	a pʰ ɔ s t ɔ l j ɔ n
aradr	a r a d r̩
archdeyrniaeth	a r χ t e i̯ r n j a i̯ θ
archdeyrniaeth	a r χ t e i̯ r n j ɛ θ
archesgob	a r χ ɛ s k ɔ b
archesgobion	a r χ ɛ s k ɔ b j ɔ n
arestiad	a r ɛ s t j a d
arestiadau	a r ɛ s t j a d a i̯
arestiadau	a r ɛ s t j a d ɛ
arestiadau	a r ɛ s t j aː d a i̯
arestiadau	a r ɛ s t j aː d ɛ
arestio	a r ɛ s t j ɔ
arogl	a r ɔ ɡ l̩
arogl	a r ɔ ɡ ɔ l
arogl	aː r ɔ ɡ l̩
arogl	aː r ɔ ɡ ɔ l
arwyddbost	a r w ɪ ð b ɔ s t
arwyddbost	a r ʊ i̯ ð b ɔ s t
asbri	a s p r i
asgell	a s k ɛ ɬ
asgellog	a s k ɛ ɬ ɔ ɡ
asgetaidd	a s k ɛ tʰ a i̯ ð
asgetig	a s k ɛ tʰ ɪ ɡ
asgetigiaeth	a s k ɛ tʰ ɪ ɡ j a i̯ θ
asgetigiaeth	a s k ɛ tʰ ɪ ɡ j ɛ θ
asglod	a s k l ɔ t
asgwrn	a s k ʊ r n
astatin	a s t a tʰ ɪ n
astell	a s t ɛ ɬ
astigmatedd	a s t ɪ ɡ m a t ɛ ð
astrus	a s t r ɪ s
astrusi	a s t r ɪ s i
astud	a s t ɪ d
astudiaeth	a s d ɪ d j ɛ θ
astudiaeth	a s t ɪ d j a i̯ θ
astudiaethau	a s t ɪ d j e i̯ θ a i̯
astudiaethau	a s t ɪ d j e i̯ θ ɛ
astudio	a s t ɪ d j ɔ
atddodol	a t θ oː d ɔ l
atddodol	a t θ ɔ d ɔ l
atgas	a t k a s
atgyfeirio	a t k ə v e i̯ r j ɔ
atgyflenwad	a t k ə v l ɛ n w a t
atgyflenwi	a t k ə v l ɛ n w i
awdl	a u̯ d l̩
awtistiaeth	a u̯ tʰ ɪ s t j a i̯ θ
awtistiaeth	a u̯ tʰ ɪ s t j ɛ θ
awtistig	a u̯ tʰ ɪ s t ɪ ɡ
bachgen	b a χ k ɛ n
bachgennes	b a χ k ɛ n ɛ s
bachgennyn	b a χ k ɛ n ɪ n
balchder	b a l χ t a r
balchder	b a l χ t ɛ r
banadl	b a n a d l̩
banadl	b aː n a d l̩
basbort	b a s p ɔ r tʰ
basgad	b a s k a d
basged	b a s k ɛ d
basgedi	b a s k eː d i
basgedi	b a s k ɛ d i
basgrythau	b a s k r ə θ a i̯
basgrythau	b a s k r ə θ ɛ
bast	b a s t
basta	b a s t a
bastai	b a s t a i̯
bathdai	b a θ t a i̯
bathdy	b a θ t i
bechgyn	b ɛ χ k ɪ n
beidr	b e i̯ d r̩
bellter	bʰ ɛ ɬ t ɛ r
bisged	b ɪ s k ɛ t
bisged	b ɪ ʃ k ɛ t
bloesg	b l ɔ i̯ s k
bloesgedd	b l ɔ i̯ s k ɛ ð
bloesgi	b l ɔ i̯ s k i
bloesgni	b l ɔ i̯ s k n i
bobl	b ɔ b l̩
bochgoch	b ɔ χ k ɔ χ
bonclust	b ɔ ŋ k l ɪ s t
bonclustiad	b ɔ ŋ k l ɪ s t j a d
bonclustio	b ɔ ŋ k l ɪ s t j ɔ
bostio	b ɔ s t j ɔ
brasgamu	b r a s k a m i
braster	b r a s t ɛ r
brasterog	b r a s t eː r ɔ ɡ
brasterog	b r a s t ɛ r ɔ ɡ
brawychdod	b r a u̯ ə χ t ɔ t
brechdan	b r ɛ χ t a n
brest	b r ɛ s t
brwmstan	b r ʊ m s t a n
brwydr	b r ʊ i̯ d r̩
brwysg	b r ʊ i̯ s k
bustachu	b ɪ s t a χ i
bustachu	b ɪ s t aː χ i
bwyst	b ʊ i̯ s t
bwytaist	b u i̯ t a i̯ s d
bwytaist	b ɪ t ɛ s t
byrstio	b ə r s t j ɔ
bysbrint	b ə s p r ɪ n t
cachgi	kʰ a χ k i
cadr	k a d r̩
cafn	kʰ a v n̩
caifn	kʰ a i̯ v n̩
callestr	k a ɬ ɛ s t
callestr	k a ɬ ɛ s t r
camddealltwriaeth	k a m ð ɛ a ɬ t ʊ r j a i̯ θ
camddealltwriaeth	k a m ð ɛ a ɬ t ʊ r j ɛ θ
camesgor	kʰ a m ɛ s k ɔ r
camesgoriad	kʰ a m ɛ s k oː r j a d
camesgoriad	kʰ a m ɛ s k ɔ r j a d
camhysbysu	k a m ɦ ə s p ə s i
caraist	kʰ a r a i̯ s t
caraist	kʰ a r ɛ s t
caraist	kʰ aː r a i̯ s t
caraist	kʰ aː r ɛ s t
carest	kʰ a r ɛ s t
carest	kʰ aː r ɛ s t
casgen	kʰ a s k ɛ n
casgennu	kʰ a s k ɛ n i
casgliad	kʰ a s k l j a d
casglu	kʰ a s k l i
cast	kʰ a s t
castan	k a s t a n
castanwydd	kʰ a s t a n w ɪ ð
castanwydd	kʰ a s t a n ʊ i̯ ð
castanwydden	k a s t a n w iː ð ɛ n
castanwydden	k a s t a n w ɪ ð ɛ n
castell	kʰ a s t ɛ ɬ
castelli	kʰ a s t ɛ ɬ i
castiog	kʰ a s t j ɔ ɡ
cefn	kʰ ɛ v n̩
cefngoch	k ɛ v ŋ̩ ɡ ɔ χ
ceifn	kʰ e i̯ v n̩
cenedl	kʰ eː n ɛ d l̩
cenedl	kʰ ɛ n ɛ d l̩
cengl	k ɛ ŋ l̩
cengl	k ɛ ŋ ɛ l
ceraist	kʰ e r a i̯ s t
ceraist	kʰ eː r a i̯ s t
ceraist	kʰ ɛ r a i̯ s t
cest	kʰ eː s t
cest	kʰ ɛ s t
cestyll	kʰ ɛ s t ɪ ɬ
chastell	χ a s t ɛ ɬ
chdi	χ t iː
chefn	χ ɛ v n̩
chestyll	χ ɛ s t ɪ ɬ
chist	χ ɪ s t
chwedl	χ w ɛ d l̩
chwestiwn	χ w̥ʰ ɛ s t j ʊ n
chwibl	χ w ɪ b l̩
chwistl	χ w ɪ s t l̩
cist	kʰ ɪ s t
ciwcymbr	kʰ ɪ u̯ kʰ ə m b r̩
clasgu	kʰ l a s k i
cledr	k lʰ ɛ d r̩
clochdy	k l ɔ χ t i
clust	k l ɪ s t
clustdlws	k lʰ ɪ s t l ʊ s
clusten	k l ɪ s t ɛ n
clustiog	kʰ l ɪ s t j ɔ ɡ
clustlws	k lʰ ɪ s t l ʊ s
clustog	kʰ l ɪ s t ɔ ɡ
clwbfwsogl	k l ʊ b v ʊ s ɔ ɡ l̩
clwstwr	k l ʊ s t ʊ r
clwyfdy	kʰ l ʊ i̯ f t i
cochbryf	kʰ ɔ χ p r ɪ v
cochgam	kʰ ɔ χ k a m
codaist	kʰ oː d a i̯ s t
codaist	kʰ oː d ɛ s t
codaist	kʰ ɔ d a i̯ s t
codaist	kʰ ɔ d ɛ s t
coesgam	k ɔ i̯ s k a m
coesgoch	k ɔ i̯ s k ɔ χ
cofrestr	kʰ oː v r ɛ s t r̩
cofrestrfa	kʰ ɔ v r e s t r v a
cofrestrfeydd	kʰ ɔ v r e s t r v e i̯ ð
cofrestriad	kʰ ɔ v r ɛ s t r j a d
cofrestriadau	kʰ ɔ v r ɛ s t r j a d a i̯
cofrestriadau	kʰ ɔ v r ɛ s t r j a d ɛ
cofrestriadau	kʰ ɔ v r ɛ s t r j aː d a i̯
cofrestriadau	kʰ ɔ v r ɛ s t r jː a d a i̯
cofrestru	kʰ ɔ v r ɛ s t r i
cofrestrydd	kʰ ɔ v r ɛ s t r ɪ ð
cofrestryddion	kʰ ɔ v r ɛ s t r ə ð j ɔ n
colofn	k oː l ɔ v n̩
colofn	k ɔ l ɔ v n̩
cosb	kʰ ɔ s p
cosbau	kʰ ɔ s p a i̯
cosbau	kʰ ɔ s p ɛ
cost	kʰ ɔ s t
costio	kʰ ɔ s t j ɔ
costrel	kʰ ɔ s t r ɛ l
crasboeth	kʰ r a s p ɔ ɨ̯ θ
crasboethder	kʰ r a s p ɔ ɨ̯ θ t ɛ r
crocbren	kʰ r ɔ k p r ɛ n
croesgad	k r ɔ i̯ s k a d
croestoriad	k r ɔ ɨ̯ s t ɔ r ɪ
croestorri	k r ɔ i̯ s t ɔ r i
crwst	kʰ r ʊ s t
crwydr	kʰ r ʊ i̯ d r̩
crychdon	k r ə χ t ɔ n
crychdonni	k r ə χ t ɔ n i
crynhoi	kʰ r ə n ɦ ɔ i̯
crynoddisg	kʰ r ə n o ð ɪ s k
cwbl	kʰ ʊ b l̩
cwblhau	kʰ ʊ b l̩ h a i̯
cwest	k w̥ʰ ɛ s t
cwestau	k w̥ʰ ɛ s t a i̯
cwestau	k w̥ʰ ɛ s t ɛ
cwestiwn	k w̥ʰ ɛ s t j ʊ n
cwestiynau	k w̥ʰ ɛ s t j uː n ɛ
cwestiynau	k w̥ʰ ɛ s t j ə n a i̯
cwestiynau	k w̥ʰ ɛ s t j ə n ɛ
cwestiynau	k w̥ʰ ɛ s t j ʊ n ɛ
cwestiynau	k w̥ʰ ɛ s t ə n ɛ
cwfl	kʰ ʊ v l̩
cwlltwr	kʰ ʊ ɬ t ʊ r
cwsg	kʰ ʊ s k
cwstard	kʰ ʊ s t a r d
cwstardiau	kʰ ʊ s t a r d j a i̯
cwstardiau	kʰ ʊ s t a r d j ɛ
cwtigl	k ʊ t ɪ ɡ l̩
cwtigl	k ʊ t ɪ ɡ ɪ l
cydanrhydedd	kʰ i d a n ɦ r ə d ɛ ð
cydgrynhoi	kʰ ə t k r ə n ɦ ɔ i̯
cydseiniol	k iː t s e i̯ n j ɔ l
cydseiniol	k ɪ t s e i̯ n j ɔ l
cyffesfa	kʰ ə f ɛ s v a
cyffesgell	kʰ ə f ɛ s k ɛ ɬ
cyfrwngddarostyngedigaeth	k ə v r ʊ ŋ ð a r ɔ s t ə ŋ ɛ d iː ɡ a i̯ θ
cyfrwngddarostyngedigaeth	k ə v r ʊ ŋ ð a r ɔ s t ə ŋ ɛ d iː ɡ ɛ θ
cyfrwngddarostyngedigaeth	k ə v r ʊ ŋ ð a r ɔ s t ə ŋ ɛ d ɪ ɡ a i̯ θ
cyfrwngddarostyngedigaeth	k ə v r ʊ ŋ ð a r ɔ s t ə ŋ ɛ d ɪ ɡ ɛ θ
cyfrwyster	kʰ ə v r ʊ i̯ s t ɛ r
cyfrwystra	kʰ ə v r ʊ i̯ s t r a
cylchdro	kʰ ə l χ t r ɔ
cylchdro	kʰ ɪ l χ t r ɔ
cymdeithasgar	k ə m d e i̯ θ a s k a r
cymedr	kʰ ə m ɛ d r̩
cymhleth	k ə m l ɛ θ
cymhleth	k ə m ɦ l ɛ θ
cymhlethdod	kʰ ə m l̥ʰ ɛ θ t ɔ t
cymhlethdodau	kʰ ə m l ɛ θ t oː d ɛ
cymhlethdodau	kʰ ə m l ɛ θ t ɔ d ɛ
cymhlethdodau	kʰ ə m l̥ʰ ɛ θ t oː d a i̯
cymhlethdodau	kʰ ə m l̥ʰ ɛ θ t oː d ɛ
cymhlethdodau	kʰ ə m l̥ʰ ɛ θ t ɔ d a i̯
cymhlethdodau	kʰ ə m l̥ʰ ɛ θ t ɔ d ɛ
cymhwyster	kʰ ə m h ʊ i̯ s t ɛ r
cymysg	kʰ ə m ɪ s k
cymysgedd	kʰ ə m ə s k ɛ ð
cymysglyd	kʰ ə m ə s k l ɪ d
cynhyrfiad	k ə n ɦ ə r v j a t
cynhyrfu	k ə n ɦ ə r v i
cysb	kʰ ɪ s p
cysblys	kʰ ə s p l ɪ s
cysegrfa	k ə s ɛ ɡ ɛ r v a
cysgadrwydd	k ə s k a d r ʊ i̯ ð
cysgadur	k ə s k a d ɪ r
cysgadur	k ə s k aː d ɪ r
cysgiff	k ə s k ɪ f
cysglyd	kʰ ə s k l ɪ d
cysgoch	kʰ ə s k ɔ χ
cysgod	kʰ ə s k ɔ d
cysgodd	kʰ ə s k ɔ ð
cysgodi	kʰ ə s k oː d i
cysgodi	kʰ ə s k ɔ d ɪ
cysgodion	kʰ ə s k ɔ d j ɔ n
cysgodlen	kʰ ə s k ɔ d l ɛ n
cysgodlun	kʰ ə s k ɔ d l ɪ n
cysgodluniau	kʰ ə s k ɔ d l ɪ n j a i̯
cysgodluniau	kʰ ə s k ɔ d l ɪ n j ɛ
cysgon	kʰ ə s k ɔ n
cysgu	kʰ ə s k i
cysgwch	kʰ ə s ɡ ʊ χ
cystadlaethau	kʰ ə s t a d l e i̯ θ a i̯
cystadlaethau	kʰ ə s t a d l e i̯ θ ɛ
cystadleuaeth	kʰ ə s t a d l e i̯ a i̯ θ
cystadleuaeth	kʰ ə s t a d l e i̯ ɛ θ
cystadleuol	kʰ ə s t a d l e i̯ ɔ l
cystadleuwr	kʰ ə s t a d l e i̯ ʊ r
cystadleuwyr	kʰ ə s t a d l e i̯ w ɪ r
cystadleuydd	kʰ ə s t a d l e i̯ ɪ ð
cystadlu	kʰ ə s t a d l i
cystal	kʰ ə s t a l
cystal	kʰ ɪ s t a l
cystal	kʰ ɪ s t ɛ l
cystudd	k ə s t ɪ ð
cystwyad	k ə s t u i̯ a d
cyswllt	kʰ ə s ʊ ɬ t
cysylltair	kʰ ə s ə ɬ t a i̯ r
cysyllteiriau	kʰ ə s ə ɬ t e i̯ r j a i̯
cysyllteiriau	kʰ ə s ə ɬ t e i̯ r j ɛ
cysylltiad	kʰ ə s ə ɬ t j a d
cysylltiadau	kʰ ə s ə ɬ t j a d a i̯
cysylltiadau	kʰ ə s ə ɬ t j a d ɛ
cysylltiadau	kʰ ə s ə ɬ t j aː d a i̯
cysylltiadau	kʰ ə s ə ɬ t j aː d ɛ
cysylltle	kʰ ə s ə ɬ t ɬ ɛ
cysylltnod	kʰ ə s ə ɬ t n ɔ d
cysylltnodau	kʰ ə s ə ɬ t n oː d a i̯
cysylltnodau	kʰ ə s ə ɬ t n oː d ɛ
cysylltnodau	kʰ ə s ə ɬ t n ɔ d a i̯
cysylltnodau	kʰ ə s ə ɬ t n ɔ d ɛ
cysylltu	kʰ ə s ə ɬ t i
cysylltydd	kʰ ə s ə ɬ t ɪ ð
cysylltyddion	kʰ ə s ə ɬ t ə ð j ɔ n
cywasgu	k ə w a s k i
cêbl	k eː b l̩
cêbl	k eː b ɛ l
dadl	d a d l̩
dallt	d a ɬ t
danadl	d a n a d l̩
danadl	d aː n a d l̩
darllenaist	d a r ɬ eː n a i̯ s t
darllenaist	d a r ɬ eː n ɛ s t
darllenaist	d a r ɬ ɛ n ɛ s t
darmstadtiwm	d a r m s t a t jʰ ʊ m
darmstadtiwm	d a r m ʃ t a t jʰ ʊ m
darostwng	d a r ɔ s t ʊ ŋ
datglymu	d a t k l ə m i
ddysgu	ð ə s k i
deallaist	d j a ɬ ɛ s t
deallaist	d ɛ a ɬ a i̯ s t
deallaist	d ɛ a ɬ ɛ s t
deallaist	d ɪ a ɬ ɛ s t
dealltwriaeth	d ɛ a ɬ t ʊ r j a i̯ θ
dealltwriaeth	d ɛ a ɬ t ʊ r j ɛ θ
dellt	d ɛ ɬ t
delysg	d eː l ɪ s k
delysg	d ɛ l ɪ s k
desg	d ɛ s k
desgiau	d ɛ s k j a i̯
desgiau	d ɛ s k j ɛ
dest	d eː s t
dest	d ɛ s t
diamedr	d i a m ɛ d r̩
diesgeulus	d i ɛ s k e i̯ l ɪ s
diffeithdir	d ɪ f e i̯ θ t ɪ r
dinistrio	d ɪ n ɪ s t r j o
dirwestol	d ɪ r w ɛ s t ɔ l
disbyddu	d ɪ s p ə ð i
disgo	d ɪ s k ɔ
disgotec	d ɪ s k ɔ tʰ ɛ kʰ
disgrifiad	d ɪ s k r ɪ v j a d
disgwyl	d ɪ s k ʊ i̯ l
disgwyl	d ɪ s k ʊ l
disgwyl	d ɪ ʃ k ʊ i̯ l
disgwyl	d ɪ ʃ k ʊ l
disgybl	d ɪ s k ɪ b l̩
disgyblaeth	d ɪ s k ə b l a i̯ θ
disgyblaeth	d ɪ s k ə b l ɛ θ
disgyblaethol	d ɪ s k ə b l e i̯ θ ɔ l
disgyblion	d ɪ s k ə b l j ɔ n
disgyn	d ɪ s k ɪ n
disgyn	d ɪ ʃ k ɪ n
disgynebau	d ɪ s k ə n eː b a i̯
disgynebau	d ɪ s k ə n eː b ɛ
disgynebau	d ɪ s k ə n ɛ b a i̯
disgynebau	d ɪ s k ə n ɛ b ɛ
disgyniad	d ɪ s k ə n j a d
disgynneb	d ɪ s k ə n ɛ b
disgynnydd	d ɪ s k ə n ɪ ð
disgyrchedd	d ɪ s k ə r χ ɛ ð
disgyrchiant	d ɪ s k ə r χ j a n t
disgyrchu	d ɪ s k ə r χ i
disgyrrwr	d ɪ s k ə r ʊ r
distadl	d ɪ s t a d a l
distadl	d ɪ s t a d l̩
distadl	d ɪ s t aː d a l
distawrwydd	d ɪ s t a u̯ r ʊ i̯ ð
distrywio	d ɪ s t r ə u̯ j ɔ
distrywiol	d ɪ s t r ə u̯ j ɔ l
diwair	d ɪ u̯ a i̯ r
diweithdra	d ɪ w e i̯ θ t r a
diystyriol	d iː ə s t ə r j ɔ l
diystyrllyd	d iː ə s t ə r ɬ ɪ d
diystyru	d iː ə s t ə r i
dodrefn	d ɔ d r ɛ v n̩
dosbarth	d ɔ s p a r θ
dosbarthau	d ɔ s b a r θ a i̯
dosbarthau	d ɔ s b a r θ ɛ
dosbarthiad	d ɔ s p a r θ j a d
dosbarthiadau	d ɔ s p a r θ j a d a i̯
dosbarthiadau	d ɔ s p a r θ j a d ɛ
dosbarthiadau	d ɔ s p a r θ j aː d a i̯
dosbarthiadau	d ɔ s p a r θ j aː d ɛ
dosbarthol	d ɔ s p a r θ ɔ l
dosbarthu	d ɔ s p a r θ i
dosbarthwr	d ɔ s p a r θ ʊ r
dosbarthwyr	d ɔ s p a r θ w ɪ r
dreidl	d r e i̯ d l̩
drost	d r ɔ s t
drysgoed	d r ə s k ɔ i̯ d
dwfn	d ʊ v n̩
dwst	d ʊ s t
dygn	d ɪ ɡ n̩
dylosg	d ə l ɔ s k
dyrysgoed	d ə r ə s k ɔ i̯ d
dysg	d ɪ s k
dysgl	d ɪ s k l
dysgl	d ɪ s k ɪ l
dysglaid	d ɪ s k l a i̯ d
dysglaid	d ɪ s k l ɛ d
dysglaid	d ɪ ʃ k l ɛ d
dysgleidiau	d ɪ s k l e i̯ d j a i̯
dysgleidiau	d ɪ s k l e i̯ d j ɛ
dysgleidiau	d ɪ ʃ k l e i̯ d j ɛ
dysgu	d ə s k i
dysgwch	d ə s k ʊ χ
dysgwr	d ə s k ʊ r
dysprosiwm	d ɪ s p r ɔ s j ʊ m
echdoe	ɛ χ t ɔ i̯
echdoriad	ɛ χ t ɔ r j a d
echdorri	ɛ χ t ɔ r i
edn	ɛ d n̩
egr	ɛ ɡ r̩
egyllt	eː ɡ ɪ ɬ t
egyllt	ɛ ɡ ɪ ɬ t
einsteiniwm	a i̯ n s t a i̯ n j ʊ m
einsteiniwm	e i̯ n s t e i̯ n j ʊ m
eistedd	ɪ s t ɛ
eistedd	ɪ ʃ t ɛ
eisteddfodau	e i̯ s t ɛ ð v oː d a i̯
eisteddfodau	e i̯ s t ɛ ð v ɔ d a i̯
eisteddfodau	s t ɛ ð v oː d ɛ
eisteddfodau	s t ɛ ð v ɔ d ɛ
eisteddfodwr	e i̯ s t ɛ ð v oː d ʊ r
eisteddfodwr	e i̯ s t ɛ ð v ɔ d ʊ r
eisteddfodwr	s t ɛ ð v oː d ʊ r
eisteddfodwr	s t ɛ ð v ɔ d ʊ r
eisteddfodwyr	e i̯ s t ɛ ð v oː d ʊ i̯ r
eisteddfodwyr	e i̯ s t ɛ ð v ɔ d ʊ i̯ r
eisteddfota	e i̯ s t ɛ ð v ɔ t a
eisteddle	e i̯ s t ɛ ð l ɛ
elltydd	ɛ ɬ t ɪ ð
emrallt	ɛ m r a ɬ t
enghraifft	ɛ ŋ r ɛ f t
enghraifft	ɛ ŋ̊ r a i̯ f t
enghraifft	ɛ ŋ̊ r ɛ f t
erchyllter	ɛ r χ ə ɬ t ɛ r
erchylltod	ɛ r χ ə ɬ t ɔ d
