अख़ना	a x n aː
चकड़	t͡ʃ a k a ɽ
चपटा	t͡ʃ a p ʈ aː
चल्कुर	t͡ʃ a l k u ɾ
चान	t͡ʃ aː n
चिंद	t͡ʃ i n d
चिइना	t͡ʃ i ʔ i n aː
चिच	t͡ʃ i t͡ʃ
चीपना	t͡ʃ iː p n aː
चेँप	t͡ʃ ẽː p
जोबना	d͡ʒ o b n aː
टेम्पा	ʈ e m p aː
ततख़ा	t a t x aː
ताका	t aː k aː
तीना	t iː n aː
तुकना	t u k n aː
तुप्पना	t u pː n aː
तोरंग	t oː ɾ a ŋ ɡ
दरा	d a ɾ aː
दरियौ	d a ɾ i j a u
दव	d a u
दीघा	d iː ɡʱ aː
दुधी	d u dʱ iː
धरना	dʱ a ɾ n aː
धूले	dʱ uː l eː
नटगना	n a ʈ ɡ n aː
नन्ना	n a nː aː
नाख़ना	n aː x n aː
नामे	n aː m eː
निरग्रना	n i ɾ ɡ ɾ n aː
नुसुगना	n u s u ɡ n aː
नू	n uː
नेर्र	n e r r
नोँड़ना	n õː ɽ n aː
पंचे	p a ɲ t͡ʃ eː
पंडरू	p a ɳ ɖ ɾ uː
पईयाँ	p a iː j ãː
पखना	p a kʰ n aː
पच्गी	p a t͡ʃ ɡ iː
पच्चा	p a t͡ʃː aː
पच्चो	p a t͡ʃː oː
पन्हा	p a n h aː
पर्ता	p a r t aː
पल्कना	p a l k n aː
पल्ल	p a lː
पाब	p aː b
पारना	p aː ɾ n aː
पिटना	p i ʈ n aː
पीख़ना	p iː x n aː
पुत्रना	p u t ɾ n aː
पुद्दा	p u dː aː
पुना	p u n aː
पूँप	p ũː p
पूख़ना	p uː x n aː
पेंचो	p e ɲ t͡ʃ oː
पेन	p eː n
पोखारी	p o kʰ aː ɾ iː
पोच्गो	p o t͡ʃ ɡ oː
पोत्ता	p o tː aː
बदाली	b a d aː l iː
बरना	b a ɾ n aː
बा	b aː
बाल्का	b aː l k aː
बिंको	b i ŋ k oː
बिड़ना	b i ɽ n aː
बीड़ी	b iː ɽ iː
बुक्का	b u kː aː
बेक	b eː k
बेचना	b eː t͡ʃ n aː
बेरख़ा	b e ɾ x aː
बेस	b eː s
बै	b a i
बोहारना	b o h aː ɾ n aː
मन्न	m a nː
मरग	m a ɾ a ɡ
मल	m a l
मल्दव	m a l d a u
माख़ा	m aː x aː
मुइँ	m u ĩ
मुक्का	m u kː aː
मूंड	m uː ɳ ɖ
मूका	m uː k aː
मेत	m eː t
मेद	m eː d
मेन्ना	m e nː aː
मेरख़ा	m e ɾ x aː
मोँट	m õː ʈ
मोख़ना	m oː x n aː
मोख़ारो	m o x aː ɾ oː
मोजख़ा	m o d͡ʒ x aː
रगदअना	ɾ a ɡ d a ʔ a n aː
रिँड़ो	ɾ ĩ ɽ oː
लवना	l a u n aː
लेंडा	l e ɳ ɖ aː
लौना	l a u n aː
संगे	s a ŋ ɡ eː
सन्नी	s a nː iː
सरुवा	s a ɾ u aː
सोट्टा	s o ʈː aː
हरियर	h a ɾ i j a ɾ
हेएना	h eː ʔ eː n aː
हेड्डे	h e ɖː eː
हेब्रना	h e b ɾ n aː
‌ख़न	x a n
