Ace	a c ç e
anjaguru'	a ɲ ɟ a ɡ u r u ʔ
anjakkala'	a ɲ ɟ a kː a l a ʔ
anjama	a ɲ ɟ a m a
anjaʼ	a ɲ ɟ ʝ a ʔ
anjo	a ɲ ɟ ɔ
anjo'jo'	a ɲ ɟ o ʔ ɟ o ʔ
anjoreng	a ɲ ɟ o r e ŋ
annampiling	a nː a m p i l i ŋ
annang	a nː a ŋ
annaʼgalaʼ	a nː a ʔ ɡ a l a ʔ
anne	a nː ɛ
annepo'	a nː e p o ʔ
anngai	a ŋː a i
anngakka'	a ŋː a kː a ʔ
anngalimbuki	a ŋː a l i m b u k i
anngalle	a ŋː a lː ɛ
anngalloi	a ŋː a lː o i
anngalotori	a ŋː a l o t o r i
anngangkang	a ŋː a ŋ k a ŋ
anngangkaʼ	a ŋ ŋ a ŋ kʰ a ʔ
annganre	a ŋː a n r ɛ
anngarruʼ	a ŋː a rː u ʔ
anngaʼluʼ	a ŋː a ʔ l u ʔ
anngerang	a ŋː e r a ŋ
annginrang	a ŋː i n r a ŋ
annginung	a ŋː i n u ŋ
anngisseng	a ŋː i sː e ŋ
anngokko'	a ŋː o kː o ʔ
anngondang	a ŋː o n d a ŋ
anngota	a ŋː o t a
annguʼrangi	a ŋː u ʔ r a ŋ i
anno'do'	a nː o ʔ d o ʔ
annobo'	a nː o b o ʔ
annyala	a ɲ ɲ a l a
annyokko	a ɳː ɔ kː ɔ
annyungke	a ɲː u ŋ k ɛ
anrappung	a n r a pː u ŋ
anrinni	a n r i nː i
anriʼbaʼ	a n r i ʔ b a ʔ
anrong	ã n d r õ ŋ
antama	ã n t̪ʰ a m ã
antang	ã n t̪ʰ ã ŋ
antu	a n t u
antureng	a n t u r e ŋ
anu	ã n ũ
apokàʼ	a pʰ o kʰ a ʔ
appaenteng	a pː a e n t e ŋ
appainro	a pː a i n r o
appakarruʼ	a pː a k a rː u ʔ
appalaʼ	a pː a l a ʔ
appallu	a pː a l l u
appareʼ	a pː a r e ʔ
apparinra	a pː a r i n r a
appariʼbaʼ	a pː a r i ʔ b a ʔ
appasulu'	a pː a s u l u ʔ
appattasaʼ	a pː a tː a s a ʔ
appatuʼguruʼ	a pː a t u ʔ ɡ u r u ʔ
appilanngeri	a pː i l a ŋː e r i
appirassi	a pː i r a sː i
apung	a pʰ ũ ŋ
araloji	a r a l o ɟ ʝ i
araʼ	a r a ʔ
are	a r e
areng	a r ẽ ŋ
ari	a r i
ariau	a r i j a u
ariʼ	a r i ʔ
aro	a r o
arreʼ	a r r e ʔ
arroʼ	a r r o ʔ
arrung	a r r ũ ŋ
aru	a r u
arusuʼ	a r u s u ʔ
asa	a s a
asaang	a s a ʔ ã ŋ
asalaʼ	a s a l a ʔ
asapalaʼ	a s a pʰ a l a ʔ
asaraʼ	a s a r a ʔ
asaʼ	a s a ʔ
ase	a s ɛ
aseng	ã s ẽ ŋ
asi	a s i
asoroʼ	a s o r o ʔ
assa	a sː a
assaluaraʼ	a sː a l u a r a ʔ
assang	a s s ã ŋ
assare	a sː a r ɛ
assassa	a sː a sː a
assaʼ	a s s a ʔ
assaʼ	ʔ a s s a ʔ
assi	a s s i
assingaraʼ	a sː i ŋ a r a ʔ
assombalaʼ	a sː o m b a l a ʔ
assongoʼ	a sː o ŋ o ʔ
assoʼna	a sː o ʔ n a
assuluʼ	a sː u l u ʔ
assung	a s s ũ ŋ
assuro	a sː u r ɔ
asu	a s u
ata	a t̪ʰ a
ate	a t̪ʰ ɛ
ati	a t̪ʰ i
atoroʼ	a t̪ʰ o r o ʔ
atta	ʔ a t̪ t̪ʰ a
attayang	a tː a j a ŋ
attaʼ	a t̪ t̪ʰ a ʔ
atterèng	a t̪ t̪ʰ ɛ r ẽ ŋ
atteʼ	a t̪ t̪ʰ e ʔ
atti	a t̪ t̪ʰ i
attiʼ	a t̪ t̪ʰ i ʔ
attuʼ	a t t̪ʰ u ʔ
au	a u
aung	ã ũ ŋ
awajeʼ	a w a ɟ ʝ e ʔ
awarrang	a w a r r ã ŋ
awe	a w ɛ
awiʼ	a w i ʔ
ayang	a j ã ŋ
aʼagama	a ʔ a ɡ a m a
aʼba	a ʔ ɓ a
aʼbabeleʼ	a ʔ ɓ a b e l e ʔ
aʼbarrasaʼ	a ʔ b a rː a s a ʔ
aʼbebe	a ʔ b ɛ b ɛ
aʼbesoʼ	a ʔ b e s o ʔ
aʼboya	a ʔ b o j a
aʼbunting	a ʔ ɓ ũ n t̪ʰ ĩ ŋ
aʼdengka	a ʔ d e ŋ k a
aʼdeʼ	a ʔ d e ʔ
aʼgaru	a ʔ ɡ a r u
aʼgeng	a ʔ ɡ ẽ ŋ
aʼjalaʼ	a ʔ ɟ ʝ a l a ʔ
aʼjeʼneʼ	a ʔ ɟ e ʔ n e ʔ
aʼji	a ʔ ɟ ʝ i
aʼjidàng	a ʔ ɟ ʝ i d ã ŋ
aʼlamung	a ʔ l a m u ŋ
aʼluʼ	a ʔ l u ʔ
aʼmasaʼ	a ʔ m ã s a ʔ
aʼrang	a ʔ r ã ŋ
aʼrappungang	a ʔ r a pː u ŋ a ŋ
aʼrasaʼ	a ʔ r a s a ʔ
aʼrekeng	a ʔ r e kʰ ẽ ŋ
aʼrokoʼ	a ʔ r o k o ʔ
aʼrung	a ʔ r ũ ŋ
babeleʼ	ɓ a b e l e ʔ
babingka	ɓ a b ĩ ŋ kʰ a
badang	ɓ a d ã ŋ
badaʼ	ɓ a d a ʔ
badiʼ	ɓ a d i ʔ
baiccuʼ	b a i c c ç u ʔ
baine	b a i n ɛ
bajang	ɓ a ɟ ʝ ã ŋ
bajaʼ	ɓ a ɟ ʝ a ʔ
bajiʼ	ɓ a ɟ ʝ i ʔ
bakkang	ɓ a k kʰ ã ŋ
bakkaraʼ	ɓ a k kʰ a r a ʔ
bakkasaʼ	ɓ a k kʰ a s a ʔ
bakkaʼ	ɓ a k kʰ a ʔ
bala	ɓ a l a
balaki	ɓ a l a k i
balala	ɓ a l a l a
balampoaʼ	ɓ a l ã m pʰ ɔ a ʔ
balang	ɓ a l ã ŋ
balao	b a l a ɔ
balasitèng	ɓ a l a s i t̪ʰ ẽ ŋ
balatung	ɓ a l a t̪ʰ ũ ŋ
bale	ɓ a l ɛ
balla	ɓ a l l a
ballang	ɓ ã l l ã ŋ
ballasaʼ	ɓ a l l a s a ʔ
ballaʼ	ɓ a l l a ʔ
balle	ɓ a l l ɛ
balli	b a lː i
balolang	ɓ a l o l ã ŋ
baloʼ	ɓ a l o ʔ
balài	ɓ a l a i
balèʼ	ɓ a l e ʔ
balòng	ɓ a l õ ŋ
bambang	ɓ ã m ɓ ã ŋ
bandera	ɓ ã n d e r a
bandong	ɓ ã n d õ ŋ
bangkeng	b a ŋ k e ŋ
banjiriʼ	ɓ a ɲ ɟ ʝ i r i ʔ
banngi	ɓ ã ŋ ŋ ĩ
banoa	b a n õ a
banua	b a n ũ a
banyaʼ	ɓ a ɲ a ʔ
bapeleʼ	ɓ a pʰ e l e ʔ
barambang	b a r ã m b ã ŋ
baraʼ	ɓ a r a ʔ
bari'basa'	b a r i ʔ b a s a ʔ
barongko	ɓ a r ɔ̃ ŋ kʰ ɔ̃
barrasaʼ	b a rː a s a ʔ
bassikoeʼ	ɓ a s s i kʰ o e ʔ
bassikoiʼ	ɓ a s s i kʰ o i ʔ
bassoro'	b a sː o r o ʔ
bata	ɓ a t̪ʰ a
batara	ɓ a t̪ʰ a r a
bataraʼ	ɓ a t̪ʰ a r a ʔ
battalaʼ	b a t̪ t̪ʰ a l a ʔ
battang	ɓ a t̪ t̪ʰ ã ŋ
bauʼ	ɓ a u ʔ
bawa	b a w a
bawi	b a w i
bayao	ɓ a j a ɔ
baʼ	ɓ a ʔ
baʼbiʼ	ɓ a ʔ ɓ i ʔ
baʼda	ɓ a ʔ d a
baʼdiliʼ	ɓ a ʔ d i l i ʔ
baʼdoʼ	ɓ a ʔ ɗ o ʔ
baʼji	ɓ a ʔ ɟ ʝ i
baʼle	ɓ a ʔ l ɛ
bebe	ɓ ɛ b ɛ
bedeng	b e d e ŋ
bella	b e l l a
bembe	ɓ ɛ̃ m b ɛ
bensìng	ɓ e n s ĩ ŋ
benteng	b e n t e ŋ
berang	b e r a ŋ
bereʼ	ɓ e r e ʔ
beru	b e r u
besoʼ	b e s o ʔ
bibere'	b i b e r e ʔ
billeʼ	ɓ i l l e ʔ
bilolang	ɓ i l o l ã ŋ
biluaʼ	ɓ i l u a ʔ
binanga	b i n a ŋ a
bincu	b i ɲ c ç u
biralle	b i r a lː ɛ
biring	ɓ ĩ r ĩ ŋ
biroang	ɓ i r õ ã ŋ
biroang	ɓ i r õʷ ã ŋ
bise	b i s ɛ
biseang	b i s ɛ a ŋ
bissikoeʼ	ɓ i s s i kʰ o e ʔ
bissikoiʼ	ɓ i s s i kʰ o i ʔ
bitisi'	b i t i s i ʔ
biʼbiʼ	ɓ i ʔ ɓ i ʔ
biʼla	b i ʔ l a
bo'bo'	b o ʔ b o ʔ
bo'dong	b o ʔ d o ŋ
bodo	b ɔ d ɔ
bombong	ɓ õ m b õ ŋ
bongga	b o ŋ ɡ a
bongoloʼ	ɓ ɔ ŋ ɔ̃ l ɔ ʔ
bongong	ɓ o ŋ õ ŋ
bonto	ɓ ɔ̃ n t̪ʰ ɔ
boong	ɓ õ õ ŋ
boriʼ	b o r i ʔ
boteʼ	ɓ o t̪ʰ e ʔ
bottoʼ	ɓ o t̪ t̪ʰ o ʔ
bowong	ɓ o w õ ŋ
boya	b o j a
bu	ɓ u
buagang	ɓ u a ɡ ã ŋ
buaʼ	ɓ u w a ʔ
buburuʼ	ɓ u b u r u ʔ
bujung	ɓ u ɟ ʝ ũ ŋ
bukkuleng	ɓ u k kʰ u l ẽ ŋ
buku	ɓ u kʰ u
bulaeng	ɓ u l a ẽ ŋ
bulang	ɓ u l ã ŋ
buleng	ɓ ũ l ẽ ŋ
bulepeseʼ	ɓ u l e pʰ e s e ʔ
buli	ɓ u l i
bulintaʼ	ɓ u l ĩ n t̪ʰ a ʔ
buliʼnyaʼ	ɓ u l i ʔ ɲ ã ʔ
bullung	ɓ u l l ũ ŋ
bulo	ɓ u l ɔ
bunduʼ	ɓ ũ n d u ʔ
bunga	ɓ u ŋ ã
bungko	ɓ ũ ŋ kʰ ɔ
bungung	ɓ u ŋ ũ ŋ
bunrang	ɓ ũ n d r ã ŋ
bunting	ɓ ũ n t̪ʰ ĩ ŋ
buntuluʼ	b ũ n tʰ u l u ʔ
buntìngi	ɓ ũ n t̪ʰ ĩ ŋ ĩ
bura'ne	b u r a ʔ n ɛ
burasaʼ	b u r a s a ʔ
bussang	ɓ ũ sː ã ŋ
buto	ɓ u t̪ʰ ɔ
butta	b u tː a
butung	ʼɓ ũ t̪ʰ ũ ŋ
buwu	ɓ u w u
buwung	ɓ u w ũ ŋ
buyang	ɓ u j ã ŋ
buʼbuʼ	ɓ u ʔ ɓ u ʔ
caccaʼ	c ç a c c ç a ʔ
cammiʼ	c ç a m m i ʔ
carammeng	c a r a mː e ŋ
caraʼdeʼ	c ç a r a ʔ ɗ e ʔ
caʼdi	c ç a ʔ d̪ i
caʼdì	c ç a ʔ d i
caʼdì	c ç a ʔ d i i
cenggereʼ	c ç ẽ ŋ ɡ e r e ʔ
ceraʼ	c ç e r a ʔ
ceʼla	c ç e ʔ l a
cidu'	c i d u ʔ
cikali	c i k a l i
ciniʼ	c i n i ʔ
cipuru'	c i p u r u ʔ
ciʼnong	c ç i ʔ n õ ŋ
ciʼriʼ	c ç i ʔ r i ʔ
coba	c ç o b a
cokko	c ɔ kː ɔ
colo'	c o l o ʔ
coʼmoʼ	c o ʔ m o ʔ
cumi'	c u m i ʔ
cuʼlaʼ	c ç u ʔ l a ʔ
daeng	d ã ẽ ŋ
dalleʼ	d a l l e ʔ
dampolaʼ	d ã m p o l a ʔ
dampoʼ	d ã m p õ ʔ
dapara'	d a p a r a ʔ
dara	d a r a
dare'	d a r e ʔ
dareʼ	d a r e ʔ
dayaʼ	d a j a ʔ
deng	d ẽ ŋ
dengeʼ	d e ŋ ẽ ʔ
denggaʼ	d ẽ ŋ ɡ a ʔ
dengka	d e ŋ k a
denraʼ	d e n d r a ʔ
dentuʼ	d ẽ n t̪ʰ u ʔ
didi	d i d i
diminggu	d i m ĩ ŋ ɡ u
dinging	d i ŋ i ŋ
ditti'	d i tː i ʔ
doang	d ɔ a ŋ
doke'	d o k e ʔ
dompalaʼ	d õ m pʰ a l a ʔ
eja	e ɟ a
eloroʼ	e l o r o ʔ
epa	e p a
erang	e r a ŋ
ero'	e r o ʔ
gammaraʼ	ɡ ã m m ã r a ʔ
gampang	ɡ a m p a ŋ
gana	ɡ a n ã
gangang	ɡ a ŋ ã ŋ
gappa	ɡ a pː a
garagaji	ɡ a r a ɡ a ɟ i
garring	ɡ a rː i ŋ
garu	ɡ a r u
gassalaʼ	ɡ a s s a l a ʔ
gassallì	ɡ a s s a l i
gau'	ɡ a u ʔ
gawe	ɡ a w ɛ
gegereʼ	ɡ e ɡ e r e ʔ
genggeng	ɡ ẽ ŋ ɡ ẽ ŋ
gibasaʼ	ɡ i b a s a ʔ
gimbalaʼ	ɡ ĩ m b a l a ʔ
giʼgiliʼ	ɡ i ʔ ɡ i l i ʔ
godoʼ	ɡ o d o ʔ
gusung	ɡ u s ũ ŋ
hamente	h a m ẽ n t̪ʰ ɛ
handuʼ	h ã n d u ʔ
haramopòng	h a r a m o pʰ õ ŋ
hitàraʼ	h i t̪ʰ a r a ʔ
hong	h õ ŋ
hoteleʼ	h o t̪ʰ e l e ʔ
illaʼ	i l l a ʔ
iloroʼ	i l o r o ʔ
ingaʼ	i ŋ ã ʔ
ingka	i ŋ kʰ a
ingkong	i ŋ k o ŋ
inrang	i n r a ŋ
inruʼ	ĩ n d r u ʔ
inung	i n u ŋ
io	i j o
ioʼ	i j o ʔ
isseng	i sː e ŋ
iyo	i j o
iyoʼ	i j o ʔ
iòʼ	i j o ʔ
jaguru'	ɟ a ɡ u r u ʔ
jai	ɟ ʝ a i
jakkala'	ɟ a kː a l a ʔ
jalla	ɟ ʝ a l l a
jama	ɟ a m a
jamang	ɟ a m a ŋ
jambang	ɟ ʝ ã m b ã ŋ
jambatang	ɟ ã m b a t̪ʰ ã ŋ
jangang	ɟ a ŋ a ŋ
jangka	ɟ a ŋ k a
jannang	ɟ ʝ a n n ã ŋ
jappa	ɟ ʝ a p pʰ a
jarang	ɟ ʝ a r ã ŋ
jeʼneʼ	ɟ ʝ e ʔ n ẽ ʔ
jo'jo'	ɟ o ʔ ɟ o ʔ
joja	ɟ ʝ o ɟ ʝ a
jonga	ɟ ʝ o ŋ ã
jukuʼ	ɟ ʝ u kʰ u ʔ
jumpaiʼ	ɟ ʝ ũ m pʰ a i ʔ
jumàʼ	ɟ ʝ u m ã ʔ
ka'daro	k a ʔ d a r ɔ
kabalalàng	kʰ a b a l a l a ŋ
kacikoro'	k a c i k o r o ʔ
kadera	kʰ a d e r a
kaeroki	k a e r o k i
kajallài	kʰ a ɟ ʝ a l l a i
kaka	kʰ a kʰ a
kakka'	k a kː a ʔ
kalarroang	k a l a rː ɔ a ŋ
kalarroi	k a l a rː o i
kalaumang	kʰ a l a u m ã ŋ
kalaʼbirang	kʰ a l a ʔ ɓ i r ã ŋ
kale	k a l ɛ
kalimbuki	k a l i m b u k i
kalimbuʼ	k a l i m b u ʔ
kaliwara	kʰ a l i w a r a
kaliwatereʼ	kʰ a l i w a t̪ʰ e r e ʔ
kallong	k a lː o ŋ
kaloaʼ	kʰ a l oʷ a ʔ
kalomang	kʰ a l o m ã ŋ
kalotori	k a l o t o r i
kaluara	kʰ a l u a r a
kaluatereʼ	kʰ a l uʷ a t̪ʰ e r e ʔ
kaluku	k a l u k u
kalumpang	kʰ a l ũ m pʰ ã ŋ
kalàsaʼ	kʰ a l a s a ʔ
kalèreʼ	kʰ a l e r e ʔ
kalùruʼ	k a l u r u ʔ
kamallakkang	k a m a lː a kː a ŋ
kamannyang	kʰ a m ã ɲ ɲ ã ŋ
kamanre	kʰ a m ã n d r ɛ
kamaraʼ	kʰ a m a r a ʔ
kambe	k a m b ɛ
kambing	kʰ ã m b ĩ ŋ
kampong	kʰ ã m p õ ŋ
kana	k a n a
kangkang	k a ŋ k a ŋ
kaniakkang	kʰ a n ĩ ã k kʰ ã ŋ
kannying	k a ɲː i ŋ
kanre	k a n r ɛ
kantoroʼ	kʰ ã n t̪ʰ ɔ r ɔ ʔ
kapalaʼ	kʰ a pʰ a l a ʔ
kape	kʰ a pʰ ɛ
kapereʼ	kʰ a pʰ e r e ʔ
karaeng	kʰ a r a ẽ ŋ
karanjeng	kʰ a r ã ɲ ɟ ʝ ẽ ŋ
karattasaʼ	kʰ a r a t̪ t̪ʰ a s a ʔ
karatuang	kʰ a r a t̪ʰ u ã ŋ
karemeng	k a r e m e ŋ
kareta	kʰ a r e t̪ʰ a
karong	kʰ a r õ ŋ
karoppoʼ	kʰ a r o p pʰ o ʔ
karruki	k a rː u k i
karuèng	kʰ a r uʷ ẽ ŋ
karàcisiʼ	kʰ a r a c ç i s i ʔ
karàng	kʰ a r ã ŋ
kasaraʼ	kʰ a s a r a ʔ
kasaʼ	kʰ a s a ʔ
kasiaʼ	kʰ a s i a ʔ
kasomberang	kʰ a s õ m b e r ã ŋ
kasombo	kʰ a s ɔ̃ m b ɔ
kassaʼ	kʰ a s s a ʔ
katala'	k a t a l a ʔ
katimbang	k a t i m b a ŋ
katinting	k a t i n t i ŋ
katte	k a tː ɛ
kaʼdoroʼ	kʰ a ʔ ɗ o r o ʔ
kaʼjalaʼ	kʰ a ʔ ɟ ʝ a l a ʔ
kaʼmuru	kʰ a ʔ m ũ r u
kea	kʰ e a
kebo'	k e b o ʔ
keke	kʰ ɛ kʰ ɛ
kepo	kʰ e pʰ ɔ
keʼbuʼ	k e ʔ b u ʔ
keʼdeʼ	kʰ e ʔ ɗ e ʔ
keʼnang	kʰ e ʔ n ã ŋ
kidong	kʰ i d õ ŋ
kikkiriʼ	kʰ i k kʰ i r i ʔ
kioʼ	k i o ʔ
koi	kʰ o i
kokko'	k o kː o ʔ
koko	k ɔ k ɔ
kolu	kʰ o l u
kongkong	kʰ ɔ̃ ŋ kʰ ɔ̃ ŋ
kontaʼ	kʰ õ n t̪ʰ a ʔ
kontàng	kʰ õ n t ã ŋ
kopasaʼ	kʰ o pʰ a s a ʔ
koporoʼ	kʰ ɔ pʰ ɔ r ɔ ʔ
korontigi	kʰ ɔ r ɔ̃ n t i ɡ i
kota	k o t a
kulantuʼ	k u l a n t u ʔ
kulicca	kʰ u l i c c ç a
kulipasaʼ	kʰ u l i pʰ a s a ʔ
kuliʼ	kʰ u l i ʔ
kunyiʼ	kʰ ũ ɲ ĩ ʔ
kuttu	kʰ u t̪ t̪ʰ u
kutu	k u t u
la'bu	l a ʔ b u
laci	l a c ç i
lada	l a d a
lading	l a d i ŋ
laja	l a ɟ ʝ a
laki	l a kʰ i
laku	l a kʰ u
lalang	l a l ã ŋ
lambateʼ	l ã m b a t̪ʰ e ʔ
lambusuʼ	l ã m b u s u ʔ
lammoroʼ	l ã m m õ r o ʔ
lampa	l a m pʰ a
lamung	l a m u ŋ
lamungang	l a m u ŋ a ŋ
langi'	l a ŋ i ʔ
langkosèng	l a ŋ kʰ o s ẽ ŋ
lannga	l ã ŋ ŋ ã
lanngereʼ	l a ŋː e r e ʔ
lannying	l ã ɲ ɲ ĩ ŋ
lantang	l a n t a ŋ
lanynying	l ã ɲ ɲ ĩ ŋ
lapòroʼ	l a pʰ o r o ʔ
larro	l a rː ɔ
laso	l a s ɔ
lasuna	l a s u n a
late	l a t̪ʰ ɛ
lau'	l a u ʔ
lawaraʼ	l a w a r a ʔ
laʼbiriʼ	l a ʔ ɓ i r i ʔ
laʼbusuʼ	l a ʔ b u s u ʔ
laʼlaraʼ	l a ʔ l a r a ʔ
le'leng	l e ʔ l e ŋ
lebong	l e b õ ŋ
ledo	l e d o
lekoʼ	l e kʰ o ʔ
lemba	l ẽ m b a
lembang	l ẽ m b ã ŋ
lembara'	l e m b a r a ʔ
lembarang	l e m b a r a ŋ
leng	l ẽ ŋ
lessereʼ	l e s s e r e ʔ
letterèi	l e t̪ t̪ʰ e r e i
leʼbaʼ	l e ʔ b a ʔ
lila	l i l a
lima	l i m a
limonada	l i m o n a d a
lingka	l ĩ ŋ kʰ a
lingu	l i ŋ ũ
lino	l i n õ
lipa'	l i p a ʔ
lippu	l i p pʰ u
lisereʼ	l i s e r e ʔ
lisu	l i s u
litereʼ	l i t̪ʰ e r e ʔ
liukang	l i u kʰ ã ŋ
lolo	l ɔ l ɔ
lommoroʼ	l o m m õ r o ʔ
lompo	l ɔ m p ɔ
londeng	l o n d e ŋ
