ab	ɑˀ b
Bulgārij	b u l ɡ ɑː r i j
buļ	b uˀ ʎ
bumbīer	b u m b iː e r
buŗŗõ	b uˀ rʲː ə
buzārtõ	b u z ɑː r t ə
būmbal	b uː m b ɑ l
būoḑ	b uː o ɟ
būolgõz	b uː o l ɡ ə z
būom	b uː o m
d	d̪
dabā	d ɑ b ɑː
dadžā	d ɑ d ʒ ɑː
daggõl	d ɑˀ ɡː ə l
damā	d ɑ m ɑː
danktõ	d ɑˀ n k t ə
danktõ	d ɑ n k t ə
daņtš	d ɑ ɲ t͡ʃ
daņtšõ	d ɑ ɲ t͡ʃ ə
datīv	d ɑ t iː v
datōr	d ɑ t oː r
dattõd	d ɑ tː ə d
dālba	d ɑː l b ɑ
dek	d e k
derk	d e r k
detsembõr	d e t s e m b ə r
dēļ	d eː ʎ
Dēņmō	d eː ɲ m ɒː
dillõd	d i lː ə d
drukkõ	d r u kː ə
drūošõ	d r uːˀ o ʃ ə
dullõnz	d u lː ə n z
duņtš	d u ɲ t͡ʃ
Dūoņig	d uː o ɲ i ɡ
dūrbal	d uː r b ɑ l
Ḑ	ɟ
ḑ	ɟ
e	e
eḑḑi	eˀ ɟː i
eḑḑinim	eˀ ɟː i n iˀ m
eggiļ	eˀ ɡː i ʎ
egļi	eˀ ɡ ʎ i
Eirōp	e i r oː p
eitõ	e i t ə
elatīv	e l ɑ t iː v
elektrīb	e l e k t r iː b
eļ	e ʎ
eļkõ	e ʎ k ə
eļļõ	e ʎː ə
eļm	e ʎ m
Englišmō	e n ɡ l i ʃ m ɒː
engõl	e n ɡ ə l
Engõlmō	e n ɡ ə l m ɒː
entsiklopēdij	e n t s i k l o p eː d i j
epțõ	e p c ə
erk	e r k
erktõ	e r k t ə
ertļõ	e r t ʎ ə
ețkā	e c k ɑː
evangēlium	e v ɑ n ɡ eː l i u m
ežmi	eˀ ʒ m i
ežmõks	eˀ ʒ m ə k s
ežōrõn	eˀ ʒ ɒːˀ r ə n
ežžõmpǟva	eˀ ʒː ə m p æː v ɑ
ē	eː
ēbrikš	eː b r i k ʃ
ēdrikšõ	eː d r i k ʃ ə
ēdrõm	eː d r ə m
ēḑõ	eːˀ ɟ ə
ēḑtõ	eːˀ ɟ t ə
ēļ	eː ʎ
ēņõz	eːˀ ɲ ə z
ērgiļd	eː r ɡ i ʎ d
ērgiļnikā	eː r ɡ i ʎ n i k ɑː
ēriņ	eː r i ɲ
Ēstimō	eː s t i m ɒː
ētam	eː t ɑ m
ēviļ	eː v i ʎ
ēviļtõ	eː v i ʎ t ə
f	f
fakt	f ɑ k t
februar	f e b r u ɑ r
februār	f e b r u ɑː r
fonētik	f o n eː t i k
Frantsij	f r ɑ n t s i j
g	ɡ
gadāg	ɡ ɑ d ɑː ɡ
gaffõl	ɡ ɑ fː ə l
gārban	ɡ ɑː r b ɑ n
genitīv	ɡ e n i t iː v
gidīkšõ	ɡ i d iː k ʃ ə
gilgõ	ɡ i l ɡ ə
giltõ	ɡ i l t ə
Gipk	ɡ i p k
gläbbõ	ɡ l æˀ bː ə
glōz	ɡ l ɒː z
goŗīkšõ	ɡ o rʲ iː k ʃ ə
grant	ɡ r ɑ n t
grād	ɡ r ɑː d
Grēkõmō	ɡ r eː k ə m ɒː
Grīekmō	ɡ r iː e k m ɒː
guŗkõz	ɡ u rʲ k ə z
gūlma	ɡ uː l m ɑ
gūngaserk	ɡ uː n ɡ ɑ s e r k
gūogõz	ɡ uː o ɡ ə z
h	x
Holand	h o l ɑ n d
Horvātij	h o r v ɑː t i j
ibbi	iˀ bː i
ibūks	i b uː k s
idā	i d ɑː
idāntõ	i d ɑː n t ə
iddõ	iˀ dː ə
ig	iˀ ɡ
igā	i ɡ ɑː
igāb	i ɡ ɑː b
igāniz	i ɡ ɑː n i z
iggi	iˀ ɡː i
iggõz	iˀ ɡː ə z
igmõd	iˀ ɡ m ə d
ikš	i k ʃ
ikšiggiņ	i k ʃ iˀ ɡː i ɲ
ikšlug	i k ʃ l uˀ ɡ
ikštäuž	i k ʃ t æ u ʒ
ikštuoistõn	i k ʃ t u o i s t ə n
ilā	i l ɑː
ildīņ	i l d iː ɲ
ildõ	iˀ l d ə
illatīv	i lː ɑ t iː v
illõ	iˀ lː ə
ilp	i l p
ilzõ	iˀ l z ə
iļ	iˀ ʎ
iļdžēmḑa	iˀ ʎ d ʒ eː m ɟ ɑ
iļļiskūol	iˀ ʎː i s k uː o l
iļļõ	iˀ ʎː ə
im	iˀ m
imāb	i m ɑː b
imlõ	iˀ m l ə
immõ	iˀ mː ə
immõr	i mː ə r
immõrtõ	i mː ə r t ə
imtõ	iˀ m t ə
imū	i m uː
ind	i n d
inesīv	i n e s iː v
informātsij	i n f o r m ɑː t s i j
innõ	iˀ nː ə
instrumentāl	i n s t r u m e n t ɑː l
irdi	i r d i
Irē	i r eː
irg	i r ɡ
irgõ	i r ɡ ə
irīkšõ	i r iː k ʃ ə
irm	i r m
irmõz	i r m ə z
irmtõ	i r m t ə
iŗāmōŗa	i rʲ ɑː m ɒː rʲ ɑ
Island	i s l ɑ n d
istōrij	i s t oː r i j
istõ	i s t ə
Itālij	i t ɑː l i j
Itāļmō	i t ɑː ʎ m ɒː
itkõ	i t k ə
iz	iˀ z
izā	i z ɑː
izāmō	i z ɑː m ɒː
izānd	i z ɑː n d
izāsõzār	i z ɑː s ɯ z ɑː r
izāveļ	i z ɑː v eˀ ʎ
Izrael	iˀ z r ɑ e l
Izraēl	i z r ɑ eː l
izt	iˀ z t
ī	iː
īdiņțõ	iːˀ d i ɲ c ə
īdlimi	iːˀ d l i m i
īdõks	iːˀ d ə k s
īdõkskimdõ	iːˀ d ə k s k i m d ə
īdõkskimdõz	iːˀ d ə k s k i m d ə z
īdõksmõz	iːˀ d ə k s m ə z
īdõkssadā	iːˀ d ə k s s ɑ d ɑː
īdõkssadāz	iːˀ d ə k s s ɑ d ɑː z
īdõkstuoistõn	iːˀ d ə k s t u o i s t ə n
īdõkstuoistõnz	iːˀ d ə k s t u o i s t ə n z
īdskubs	iːˀ d s k uˀ b s
īdtõluggõ	iːˀ d t ə l uˀ ɡː ə
īdtuoistõnz	iːˀ d t u o i s t ə n z
īe	iː e
īedõ	iː e d ə
īedõ	iːˀ e d ə
īedõ	iː e d ə
īeīr	iː e iː r
īekõ	iː e k ə
īeltõ	iː e l t ə
īevad	iː e v ɑ d
īlbõks	iː l b ə k s
īlgaz	iː l ɡ ɑ z
īlma	iː l m ɑ
īm	iːˀ m
īnda	iː n d ɑ
īņõkst	iː ɲ ə k s t
īņõz	iː ɲ ə z
īņõzkilliji	iː ɲ ə z k iˀ lː i j i
īr	iː r
Īra	iː r ɑ
īrgandõks	iː r ɡ ɑ n d ə k s
Īrõmō	iː r ə m ɒː
Īsland	iː s l ɑ n d
īt	iːˀ t
īti	iːˀ t i
īž	iːˀ ʒ
īžkilliji	iːˀ ʒ k iˀ lː i j i
j	j
ja	j ɑ
jadā	j ɑ d ɑː
jag	j ɑˀ ɡ
jaggõ	j ɑˀ ɡː ə
jakt	j ɑ k t
jaktõ	j ɑ k t ə
jaļkš	j ɑ ʎ k ʃ
jamdi	j ɑˀ m d i
jamdõ	j ɑˀ m d ə
jamstõ	j ɑ m s t ə
janvār	j ɑ n v ɑː r
jarā	j ɑ r ɑː
jatk	j ɑ t k
jatkõ	j ɑ t k ə
jālga	j ɑː l ɡ ɑ
Jālgab	j ɑː l ɡ ɑ b
jālgab	j ɑː l ɡ ɑ b
jālgiņ	j ɑː l ɡ i ɲ
jämp	j æ m p
jedāl	j e d ɑː l
jeddõ	j eˀ dː ə
jeddõpēḑõn	j eˀ dː ə p eːˀ ɟ ə n
jedmõl	j eˀ d m ə l
jeds	j eˀ d s
jedsõ	j eˀ d s ə
jedspēḑõn	j eˀ d s p eːˀ ɟ ə n
jedstõ	j eˀ d s t ə
jegā	j e ɡ ɑː
jegāikš	j e ɡ ɑː i k ʃ
jei	j e i
jeiji	j e i j i
Jeimer	j e i m eˀ r
jeksõ	j e k s ə
jel	j eˀ l
jelāb	j e l ɑː b
jelāj	j e l ɑː j
jelāmi	j e l ɑː m i
jelānikā	j e l ɑː n i k ɑː
jellõ	j eˀ lː ə
jelsõ	j eˀ l s ə
jemā	j e m ɑː
jemākēļ	j e m ɑː k eː ʎ
jemānd	j e m ɑː n d
jemāsõzār	j e m ɑː s ɯ z ɑː r
jemāveļ	j e m ɑː v eˀ ʎ
jemīņ	j e m iː ɲ
jeng	j e n ɡ
jengõ	j e n ɡ ə
jengõz	j eˀ n ɡ ə z
jennõ	j eˀ nː ə
jettõ	j e tː ə
jērnaz	j eː r n ɑ z
jo	j o
joud	j o u d
joudõ	j o u d ə
joudzi	j o u d z i
joug	j oˀ u ɡ
jougūzõ	j o u ɡ uː z ə
jouļiki	j oˀ u ʎ i k i
joutõm	j o u t ə m
joutõmläpš	j o u t ə m l æ p ʃ
jovātõ	j o v ɑː t ə
jovd	j oˀ v d
jōdõ	j ɒːˀ d ə
jōḑ	j ɒː ɟ
jōlõks	j ɒː l ə k s
Jōņpǟva	j ɒː ɲ p æː v ɑ
jōra	j ɒː r ɑ
jōsõ	j ɒː s ə
jōtaz	j oː t ɑ z
jõbā	j ɯ b ɑː
jõugõ	j ɯ u ɡ ə
jõugõmōŗa	j ɯ u ɡ ə m ɒː rʲ ɑ
jõvā	j ɯ v ɑː
jõvām	j ɯ v ɑː m
jõvīst	j ɯ v iː s t
jõvvõ	j ɯˀ vː ə
julgi	j u l ɡ i
julgõ	j u l ɡ ə
jumāl	j u m ɑː l
Jumāl	j u m ɑː l
juo	j u o
jurg	j u r ɡ
jutlõ	j u t l ə
jutlõks	j u t l ə k s
Jūdõmō	j uː d ə m ɒː
jūlij	j uː l i j
jūnij	j uː n i j
jūod	j uːˀ o d
jūodiji	j uːˀ o d i j i
jūodõ	j uː o d ə
jūodõ	j uːˀ o d ə
jūoimi	j uː o i m i
jūoimki	j uː o i m k i
jūoji	j uː o j i
jūokš	j uː o k ʃ
jūokšõ	j uː o k ʃ ə
jūom	j uː o m
jūomi	j uː o m i
jūomnāiga	j uː o m n ɑː i ɡ ɑ
jūotõ	j uː o t ə
jūrõ	j uːˀ r ə
jūŗ	j uː rʲ
jūsõ	j uː s ə
k	k
ka	k ɑ
kabāl	k ɑ b ɑː l
kabāt	k ɑ b ɑː t
kabātš	k ɑ b ɑː t͡ʃ
kad	k ɑˀ d
kaddõ	k ɑˀ dː ə
kaffe	k ɑ fː e
kaffekuodā	k ɑ fː e k u o d ɑː
kaffetas	k ɑ fː e t ɑ s
kaggõl	k ɑˀ ɡː ə l
kaggõrz	k ɑˀ ɡː ə r z
kaibõ	k ɑ i b ə
kaimkuodā	k ɑ i m k u o d ɑː
kaimõ	k ɑ i m ə
kaits	k ɑ i t s
kaitsõ	k ɑ i t s ə
kaj	k ɑˀ j
kajāgõz	k ɑ j ɑː ɡ ə z
kajtõ	k ɑˀ j t ə
kak	k ɑ k
kakš	k ɑ k ʃ
kakškimdõ	k ɑ k ʃ k i m d ə
kakšsadā	k ɑ k ʃ s ɑ d ɑː
kakštuoistõn	k ɑ k ʃ t u o i s t ə n
kalā	k ɑ l ɑː
kalādrok	k ɑ l ɑː d r o k
kalāmīez	k ɑ l ɑː m iː e z
kaļ	k ɑ ʎ
kaļāj	k ɑ ʎ ɑː j
kamār	k ɑ m ɑː r
kanā	k ɑ n ɑː
Kanād	k ɑ n ɑː d
kand	k ɑ n d
kandõ	k ɑ n d ə
kangpūd	k ɑ n ɡ p uː d
kangti	k ɑ n ɡ t i
kangtõ	k ɑ n ɡ t ə
kaņki	k ɑˀ ɲ k i
kaņț	k ɑ ɲ c
kapīņțõ	k ɑ p iː ɲ c ə
kaptēn	k ɑ p t eː n
kard	k ɑ r d
kardi	k ɑˀ r d i
kardi	k ɑ r d i
kardi	k ɑ r d i
kargõ	k ɑ r ɡ ə
karīņțõ	k ɑ r iː ɲ c ə
karri	k ɑ rː i
kartõ	k ɑ r t ə
karū	k ɑ r uː
kas	k ɑ s
kast	k ɑ s t
kastõ	k ɑ s t ə
kastūg	k ɑ s t uː ɡ
kaš	k ɑ ʃ
katkismus	k ɑ t k i s m u s
katkõ	k ɑ t k ə
katōļusk	k ɑ t oː ʎ u s k
kattõ	k ɑ tː ə
katūks	k ɑ t uː k s
kațki	k ɑ c k i
kațļā	k ɑ c ʎ ɑː
kaz	k ɑˀ z
kazātõ	k ɑ z ɑː t ə
kazzõ	k ɑˀ zː ə
kažži	k ɑˀ ʒː i
kāika	k ɑː i k ɑ
kāima	k ɑː i m ɑ
kāinal	k ɑː i n ɑ l
kālma	k ɑː l m ɑ
kālmadtarā	k ɑː l m ɑ d t ɑ r ɑː
Kāndab	k ɑː n d ɑ b
kāndam	k ɑː n d ɑ m
kāndatõ	k ɑː n d ɑ t ə
kāndla	k ɑː n d l ɑ
kāndõks	k ɑː n d ə k s
kāngar	k ɑː n ɡ ɑ r
kāngaz	k ɑː n ɡ ɑ z
kārda	k ɑː r d ɑ
kārgastõ	k ɑː r ɡ ɑ s t ə
kārnaz	k ɑː r n ɑ z
käbā	k æ b ɑː
käbrāz	k æ b r ɑː z
kädlabā	k æˀ d l ɑ b ɑː
kädūks	k æ d uː k s
kädvaŗž	k æˀ d v ɑ rʲ ʒ
käg	k æˀ ɡ
käl	k æˀ l
käp	k æ p
käpā	k æ p ɑː
kärmi	k æ r m i
kärp	k æ r p
käsk	k æ s k
käskõ	k æ s k ə
kǟdõ	k æːˀ d ə
kǟnga	k æː n ɡ ɑ
kǟrani	k æː r ɑ n i
kǟrpa	k æː r p ɑ
kǟtõ	k æːˀ t ə
keijõ	k e i j ə
kejā	k e j ɑː
kem	k e m
kemmõ	k e mː ə
kengmõd	k e n ɡ m ə d
kengõ	k e n ɡ ə
kengšepā	k e n ɡ ʃ e p ɑː
kerīkšõ	k e r iː k ʃ ə
kerk	k e r k
keržõ	k eˀ r ʒ ə
kež	k eˀ ʒ
kēja	k eː j ɑ
kēk	k eː k
kēļ	k eː ʎ
kēņig	k eː ɲ i ɡ
kēra	k eː r ɑ
kērabi	k eː r ɑ b i
kēratēḑ	k eː r ɑ t eːˀ ɟ
kēratiji	k eː r ɑ t i j i
kēratõ	k eː r ɑ t ə
kēratõks	k eː r ɑ t ə k s
kēravīț	k eː r ɑ v iː c
kēv	k eː v
kibār	k i b ɑː r
kibḑi	k iˀ b ɟ i
kidūd	k i d uː d
kieddõr	k i eˀ dː ə r
kieddõrtõ	k i eˀ dː ə r t ə
kierā	k i e r ɑː
kierdi	k i e r d i
kierdõ	k i e r d ə
kieuž	k i e u ʒ
kiev	k i eˀ v
kievād	k i e v ɑː d
kievādkū	k i e v ɑː d k uː
kievām	k i e v ɑː m
kievtõ	k i eˀ v t ə
kik	k i k
kikīm	k i k iː m
kiksēņ	k i k s eː ɲ
kil	k iˀ l
kil	k iˀ l
kil	k i l
kilā	k i l ɑː
kild	k i l d
kildzi	k iˀ l d z i
kilglū	k i l ɡ l uː
kilgõ	k iˀ l ɡ ə
kilgõ	k i l ɡ ə
kilgsõ	k i l ɡ s ə
kilgstõ	k i l ɡ s t ə
killõ	k i lː ə
killõ	k iˀ lː ə
kilmõ	k i l m ə
kiļ	k i ʎ
kiļb	k i ʎ b
kiļg	k i ʎ ɡ
kim	k i m
kimdõ	k i m d ə
kimdõz	k i m d ə z
kimmõz	k i mː ə z
kimp	k i m p
kinā	k i n ɑː
kindõ	k i n d ə
kino	k i n o
kinō	k i n oː
kiņņõ	k i ɲː ə
kir	k iˀ r
kirb	k i r b
kiršõmōŗa	k i r ʃ ə m ɒː rʲ ɑ
kiršt	k i r ʃ t
kirt	k i r t
kis	k i s
kistāntõ	k i s t ɑː n t ə
kistõ	k i s t ə
kitkõ	k i t k ə
kitsāstiz	k i t s ɑː s t i z
kitsāz	k i t s ɑː z
kittõ	k i tː ə
kittõb	k i tː ə b
kiužõ	k i u ʒ ə
kiv	k iˀ v
kizlõ	k iˀ z l ə
kizzõ	k iˀ zː ə
kī	k iː
kīebi	k iː e b i
kīedõ	k iː e d ə
kīela	k iː e l ɑ
kīeldõ	k iː e l d ə
kīerlõ	k iː e r l ə
kīerõ	k iː e r ə
kīetõ	k iː e t ə
kīl	k iːˀ l
kīlma	k iː l m ɑ
kīlmakū	k iː l m ɑ k uː
kīlõ	k iːˀ l ə
kīļ	k iː ʎ
kīļaz	k iː ʎ ɑ z
kīndabǟ	k iː n d ɑ b æː
kīndaz	k iː n d ɑ z
kīndõks	k iː n d ə k s
kīndõr	k iː n d ə r
kīndõrbū	k iː n d ə r b uː
Kīnõmō	k iː n ə m ɒː
kīntš	k iː n t͡ʃ
kīņ	k iː ɲ
kīņḑõl	k iː ɲ ɟ ə l
kīņḑõljālga	k iː ɲ ɟ ə l j ɑː l ɡ ɑ
kīņḑõlpǟva	k iː ɲ ɟ ə l p æː v ɑ
kīņḑõļkū	k iː ɲ ɟ ə ʎ k uː
kīņtš	k iː ɲ t͡ʃ
kīraz	k iː r ɑ z
kīskõ	k iː s k ə
kīš	k iː ʃ
kītõ	k iː t ə
kītõbsõnā	k iː t ə b s ɯ n ɑː
kītõks	k iː t ə k s
kītõm	k iː t ə m
kīv	k iː v
kīvit	k iː v i t
kleit	k l eˀ i t
klēibõ	k l eː i b ə
klūk	k l uː k
klūostõr	k l uː o s t ə r
knaš	k n ɑ ʃ
knīplōka	k n iː p l oː k ɑ
koggõrz	k oˀ ɡː ə r z
kogtõ	k oˀ ɡ t ə
kok	k o k
koks	k o k s
konferents	k o n f e r e n t s
kontsert	k o n t s e r t
kougi	k o u ɡ i
kougit	k o u ɡ i t
kougõl	k o u ɡ ə l
kougõn	k o u ɡ ə n
kouš	k o u ʃ
kouți	k o u c i
kouv	k o u v
kouvõ	k o u v ə
kovāl	k o v ɑː l
kovālõz	k o v ɑː l ə z
kovālstiz	k o v ɑː l s t i z
kōdkimdõz	k ɒːˀ d k i m d ə z
kōdõks	k ɒːˀ d ə k s
kōdõkskimdõ	k ɒːˀ d ə k s k i m d ə
kōdõkskimdõz	k ɒːˀ d ə k s k i m d ə z
kōdõksmõz	k ɒːˀ d ə k s m ə z
kōdõkssadā	k ɒːˀ d ə k s s ɑ d ɑː
kōdõkssadāz	k ɒːˀ d ə k s s ɑ d ɑː z
kōdõkstuoistõn	k ɒːˀ d ə k s t u o i s t ə n
kōdõkstuoistõnz	k ɒːˀ d ə k s t u o i s t ə n z
kōdsadāz	k ɒːˀ d s ɑ d ɑː z
kōdtuoistõnz	k ɒːˀ d t u o i s t ə n z
kōgaz	k oː ɡ ɑ z
kōgi	k oː ɡ i
kōgiņ	k oː ɡ i ɲ
kōj	k ɒː j
kōla	k ɒː l ɑ
kōļõ	k ɒːˀ ʎ ə
kōma	k ɒː m ɑ
kōmal	k ɒː m ɑ l
kōņim	k ɒː ɲ i m
kōņtš	k ɒː ɲ t͡ʃ
kōp	k oː p
kōpmīez	k oː p m iː e z
kōr	k ɒː r
kōra	k ɒː r ɑ
kōrand	k ɒː r ɑ n d
kōraz	k ɒː r ɑ z
kōrtõz	k ɒː r t ə z
kōŗa	k ɒː rʲ ɑ
kōskõ	k ɒːˀ s k ə
kōsta	k oː s t ɑ
kōtõ	k ɒːˀ t ə
kōv	k ɒː v
kōzgõnd	k ɒː z ɡ ɯ n d
kõddõrz	k ɯˀ dː ə r z
kõl	k ɯˀ l
kõlā	k ɯ l ɑː
kõlbõ	k ɯ l b ə
kõm	k ɯ m
kõps	k ɯ p s
kõr	k ɯˀ r
kõrd	k ɯ r d
kõurõ	k ɯˀ u r ə
kõuvõ	k ɯ u v ə
kõvīst	k ɯ v iː s t
kõvīstõ	k ɯ v iː s t ə
kõzā	k ɯ z ɑː
kõzātõ	k ɯ z ɑː t ə
kõzīņtõ	k ɯ z iː ɲ t ə
kõzzi	k ɯˀ zː i
kȭidaz	k ɯː i d ɑ z
kȭlbatõ	k ɯː l b ɑ t ə
kȭļim	k ɯː ʎ i m
kȭļimkū	k ɯː ʎ i m k uː
kȭnka	k ɯː n k ɑ
kȭr	k ɯː r
kȭrda	k ɯː r d ɑ
kȭvaz	k ɯː v ɑ z
kramā	k r ɑ m ɑː
krämp	k r æ m p
Krīevmō	k r iːˀ e v m ɒː
Krīevõmō	k r iːˀ e v ə m ɒː
krīzdag	k r iː z d ɑ ɡ
krōipa	k r ɒː i p ɑ
krupā	k r u p ɑː
kruțk	k r u c k
krūogõ	k r uː o ɡ ə
krūz	k r uː z
ku	k u
kub	k uˀ b
kubbõ	k uˀ bː ə
kubs	k uˀ b s
kud	k uˀ d
kud	k uˀ d
kuddõ	k uˀ dː ə
kui	k u i
kuigid	k u i ɡ i d
kuijõ	k u i j ə
kukki	k u kː i
kukkõ	k u kː ə
kukkõr	k u kː ə r
kukkõrz	k u kː ə r z
kukurūz	k u k u r uː z
kul	k uˀ l
kuldi	k u l d i
Kuldīg	k u l d iː ɡ
kullõ	k uˀ lː ə
kultūr	k u l t uː r
kuļ	k u ʎ
kummit	k u mː i t
kunā	k u n ɑː
kunāgid	k u n ɑː ɡ i d
kunāgõst	k u n ɑː ɡ ə s t
kuņšt	k u ɲ ʃ t
kuņštnikā	k u ɲ ʃ t n i k ɑː
kuņtš	k u ɲ t͡ʃ
kuod	k u oˀ d
kuodā	k u o d ɑː
kuodāj	k u o d ɑː j
kuoi	k u o i
kuoig	k u oˀ i ɡ
kuolm	k u o l m
kuolmi	k u o l m i
kuolmiņ	k u o l m i ɲ
kuolmkimdõ	k u o l m k i m d ə
kuolmkimdõz	k u o l m k i m d ə z
