Ա	ɑ
Արծրուն	ɑ ɾ t͡s ɾ u n
Արծրունի	ɑ ɾ t͡s ɾ u n i
Արկադի	ɑ ɾ k ɑ d i
Արման	ɑ ɾ m ɑ n
Արմավիր	ɑ ɾ m ɑ v i ɾ
Արմին	ɑ ɾ m i n
Արշալույս	ɑ ɾ ʃ ɑ l u j s
Արշակ	ɑ ɾ ʃ ɑ k
Արշակյան	ɑ ɾ ʃ ɑ k j ɑ n
Արշակունի	ɑ ɾ ʃ ɑ k u n i
Արշակունյաց	ɑ ɾ ʃ ɑ k u n j ɑ t͡sʰ
Արշամ	ɑ ɾ ʃ ɑ m
Արշավիր	ɑ ɾ ʃ ɑ v i ɾ
Արուսյակ	ɑ ɾ u s j ɑ k
Արսլանճյան	ɑ ɾ s l ɑ n t͡ʃ j ɑ n
Արսլանյան	ɑ ɾ s l ɑ n j ɑ n
Արտակ	ɑ ɾ t ɑ k
Արտաշատ	ɑ ɾ t ɑ ʃ ɑ t
Արտաշիր	ɑ ɾ t ɑ ʃ i ɾ
Արտավազդ	ɑ ɾ t ɑ v ɑ z d
Արտավան	ɑ ɾ t ɑ v ɑ n
Արտուքյան	ɑ ɾ t u kʰ j ɑ n
Արցախ	ɑ ɾ t͡sʰ ɑ χ
Աքայա	ɑ kʰ ɑ j ɑ
Աքքա	ɑ kʰː ɑ
Աֆանասի	ɑ f ɑ n ɑ s i
Աֆղանստան	ɑ f ʁ ɑ n ə s t ɑ n
Աֆրիկա	ɑ f ɾ i k ɑ
Բ	b ə
ԲԴԽ	b ə d ə χ ə
ԲՀԿ	b ə h ə k ə
ԲՈՒՀ	b u h
Բաբախանյան	b ɑ b ɑ χ ɑ n j ɑ n
Բաբայան	b ɑ b ɑ j ɑ n
Բաբաջանյան	b ɑ b ɑ d͡ʒ ɑ n j ɑ n
Բագարատ	b ɑ ɡ ɑ ɾ ɑ t
Բագրատ	b ɑ ɡ ɾ ɑ t
Բագրատյան	b ɑ ɡ ɾ ɑ t j ɑ n
Բագրատունի	b ɑ ɡ ɾ ɑ t u n i
Բագրատունյաց	b ɑ ɡ ɾ ɑ t u n j ɑ t͡sʰ
Բադալյան	b ɑ d ɑ l j ɑ n
Բադարա	b ɑ d ɑ ɾ ɑ
Բադրուպանյան	b ɑ d ɾ u p ɑ n j ɑ n
Բազարդյուզյու	b ɑ z ɑ ɾ d j u z j u
Բաթու	b ɑ tʰ u
Բաթում	b ɑ tʰ u m
Բաթումի	b ɑ tʰ u m i
Բալայան	b ɑ l ɑ j ɑ n
Բալջյան	b ɑ l d͡ʒ j ɑ n
Բախչիսարայ	b ɑ χ t͡ʃʰ i s ɑ ɾ ɑ j
Բակալյան	b ɑ k ɑ l j ɑ n
Բակունց	b ɑ k u n t͡sʰ
Բակուր	b ɑ k u ɾ
Բաղդադ	b ɑ ʁ d ɑ d
Բաղդասար	b ɑ ʁ d ɑ s ɑ ɾ
Բաղդասարյան	b ɑ ʁ d ɑ s ɑ ɾ j ɑ n
Բաղրամյան	b ɑ ʁ ɾ ɑ m j ɑ n
Բայբարս	b ɑ j b ɑ ɾ s
Բայկալ	b ɑ j k ɑ l
Բանգալուր	b ɑ ŋ ɡ ɑ l u ɾ
Բանդունգ	b ɑ n d u ŋ ɡ
Բանջուլ	b ɑ n d͡ʒ u l
Բառնաբաս	b ɑ r n ɑ b ɑ s
Բառնաուլ	b ɑ r n ɑ u l
Բավարիա	b ɑ v ɑ ɾ i j ɑ
Բատ	b ɑ t
Բարաք	b ɑ ɾ ɑ kʰ
Բարդախչյան	b ɑ ɾ d ɑ χ t͡ʃʰ j ɑ n
Բարդակչյան	b ɑ ɾ d ɑ k t͡ʃʰ j ɑ n
Բարդույթ	b ɑ ɾ tʰ u j tʰ
Բարխուդար	b ɑ ɾ χ u d ɑ ɾ
Բարխուդարյան	b ɑ ɾ χ u d ɑ ɾ j ɑ n
Բարութչյան	b ɑ ɾ u tʰ t͡ʃʰ j ɑ n
Բաքու	b ɑ kʰ u
Բըրբանք	b ə ɾ b ɑ ŋ kʰ
Բիհար	b i h ɑ ɾ
Բիշան	b i ʃ ɑ n
Բիչախչյան	b i t͡ʃʰ ɑ χ t͡ʃʰ j ɑ n
Բիրմա	b i ɾ m ɑ
Բիրմինգամ	b i ɾ m i ŋ ɡ ɑ m
Բիրմինհամ	b i ɾ m i n h ɑ m
Բյուզանդիա	b j u z ɑ n d i j ɑ
Բյութանիա	b j u tʰ ɑ n i j ɑ
Բուդաքյան	b u d ɑ kʰ j ɑ n
Բութան	b u tʰ ɑ n
Բութանիա	b u tʰ ɑ n i j ɑ
Բուժումբուրա	b u ʒ u m b u ɾ ɑ
Բուլղարիա	b u l ʁ ɑ ɾ i j ɑ
Բուխարա	b u χ ɑ ɾ ɑ
Բուրգունդիա	b u ɾ ɡ u n d i j ɑ
Բուրունդի	b u ɾ u n d i
Բրազիլիա	b ɾ ɑ z i l i j ɑ
Բրահմա	b ɾ ɑ h m ɑ
Բրատիսլավա	b ɾ ɑ t i s l ɑ v ɑ
Բրիտանիա	b ɾ i t ɑ n i j ɑ
Բրյանսկ	b ɾ j ɑ n s k
Բրուտյան	b ɾ u t j ɑ n
Գ	ɡ ə
Գաբիկյան	ɡ ɑ b i k j ɑ n
Գագ	ɡ ɑ ɡ
Գագիկ	ɡ ɑ ɡ i k
Գագուլ	ɡ ɑ ɡ u l
Գագուլիկ	ɡ ɑ ɡ u l i k
Գագրա	ɡ ɑ ɡ ɾ ɑ
Գազա	ɡ ɑ z ɑ
Գազայի	ɡ ɑ z ɑ j i
Գալիլիա	ɡ ɑ l i l i j ɑ
Գալիցիա	ɡ ɑ l i t͡sʰ i j ɑ
Գալուստ	ɡ ɑ l u s t
Գալստյան	ɡ ɑ l ə s t j ɑ n
Գաղատիա	ɡ ɑ ʁ ɑ t i j ɑ
Գամբիա	ɡ ɑ m b i j ɑ
Գամիրք	ɡ ɑ m i ɾ kʰ
Գայանա	ɡ ɑ j ɑ n ɑ
Գայմագճյան	ɡ ɑ j m ɑ ɡ t͡ʃ j ɑ n
Գանա	ɡ ɑ n ɑ
Գանդի	ɡ ɑ n d i
Գանդինագար	ɡ ɑ n d i n ɑ ɡ ɑ ɾ
Գանթարճյան	ɡ ɑ n tʰ ɑ ɾ t͡ʃ j ɑ n
Գանձակ	ɡ ɑ n d͡z ɑ k
Գաշըգճյան	ɡ ɑ ʃ ə ɡ t͡ʃ j ɑ n
Գառնիկ	ɡ ɑ r n i k
Գասապյան	ɡ ɑ s ɑ p j ɑ n
Գասպարյան	ɡ ɑ s p ɑ ɾ j ɑ n
Գավառ	ɡ ɑ v ɑ r
Գավրիլ	ɡ ɑ v ɾ i l
Գարագաշյան	ɡ ɑ ɾ ɑ ɡ ɑ ʃ j ɑ n
Գարամանյան	ɡ ɑ ɾ ɑ m ɑ n j ɑ n
Գարիկ	ɡ ɑ ɾ i k
Գարճյան	ɡ ɑ ɾ t͡ʃ j ɑ n
Գըրպաճյան	ɡ ə ɾ p ɑ t͡ʃ j ɑ n
Գյանջա	ɡ j ɑ n d͡ʒ ɑ
Գյուլազյան	ɡ j u l ɑ z j ɑ n
Գյուլասարյան	ɡ j u l ɑ s ɑ ɾ j ɑ n
Գյումրի	ɡ j u m ɾ i
Գյուրջինյան	ɡ j u ɾ d͡ʒ i n j ɑ n
Գուգարք	ɡ u ɡ ɑ ɾ kʰ
Գուգլ	ɡ u ɡ ə l
Գուգուշ	ɡ u ɡ u ʃ
Գուգս	ɡ u kʰ s
Գուգսիկ	ɡ u ɡ s i k
Գուդաութա	ɡ u d ɑ u tʰ ɑ
Գուլահճյան	ɡ u l ɑ h t͡ʃ j ɑ n
Գումճյան	ɡ u m t͡ʃ j ɑ n
Գույուճյան	ɡ u j u t͡ʃ j ɑ n
Գույուջյան	ɡ u j u d͡ʒ j ɑ n
Գուջարաթ	ɡ u d͡ʒ ɑ ɾ ɑ tʰ
Դ	d ə
ԴՆԹ	d ə n ə tʰ ə
Դալար	d ɑ l ɑ ɾ
Դալմաթիա	d ɑ l m ɑ tʰ i j ɑ
Դաղստան	d ɑ ʁ ə s t ɑ n
Դանիա	d ɑ n i j ɑ
Դանիիլ	d ɑ n i i l
Դանուբ	d ɑ n u b
Դավթյան	d ɑ f tʰ j ɑ n
Դավիթ	d ɑ v i tʰ
Դարակչյան	d ɑ ɾ ɑ k t͡ʃʰ j ɑ n
Դարբինյան	d ɑ ɾ pʰ i n j ɑ n
Դաքա	d ɑ kʰ ɑ
Դաքքա	d ɑ kʰː ɑ
Դի	d i
Դիանա	d i j ɑ n ɑ
Դիլիջան	d i l i d͡ʒ ɑ n
Դինգիլյան	d i ŋ ɡ i l j ɑ n
Դիշչյան	d i ʃ t͡ʃʰ j ɑ n
Դնչիկ	d ə n t͡ʃʰ i k
Դուբայ	d u b ɑ j
Դուբլին	d u b l i n
Դուդուկչյան	d u d u k t͡ʃʰ j ɑ n
Դուրգարյան	d u ɾ ɡ ɑ ɾ j ɑ n
Դուք	d u kʰ
Դրաստամատ	d ə ɾ ɑ s t ɑ m ɑ t
Եզնիկ	j ɛ z n i k
Զ	z ə
ԶԼՄ	z ə l ə m ə
Զալցբուրգ	z ɑ l t͡sʰ b u ɾ ɡ
Զախար	z ɑ χ ɑ ɾ
Զախարի	z ɑ χ ɑ ɾ i
Զախարյան	z ɑ χ ɑ ɾ j ɑ n
Զամբիա	z ɑ m b i j ɑ
Զանգի	z ɑ ŋ ɡ i
Զավզավաթճյան	z ɑ v z ɑ v ɑ tʰ t͡ʃ j ɑ n
Զարդարյան	z ɑ ɾ tʰ ɑ ɾ j ɑ n
Զարմանյան	z ɑ ɾ m ɑ n j ɑ n
Զարուհի	z ɑ ɾ u h i
Զաքարիա	z ɑ kʰ ɑ ɾ i j ɑ
Զաքարյան	z ɑ kʰ ɑ ɾ j ɑ n
Զիլճյան	z i l t͡ʃ j ɑ n
Զինճիրճյան	z i n t͡ʃ i ɾ t͡ʃ j ɑ n
Զինջիրջյան	z i n d͡ʒ i ɾ d͡ʒ j ɑ n
Զմյուռնիա	z m j u r n i j ɑ
Զվարթ	z ə v ɑ ɾ tʰ
Զրադաշտ	z ə ɾ ɑ d ɑ ʃ t
Ը	ə
Թ	tʰ ə
Թաթարստան	tʰ ɑ tʰ ɑ ɾ s t ɑ n
Թաթուլ	tʰ ɑ tʰ u l
Թաթուլյան	tʰ ɑ tʰ u l j ɑ n
Թաիլանդ	tʰ ɑ j l ɑ n d
Թալիբան	tʰ ɑ l i b ɑ n
Թալին	tʰ ɑ l i n
Թախտաջյան	tʰ ɑ χ t ɑ d͡ʒ j ɑ n
Թահաթ	tʰ ɑ h ɑ tʰ
Թահմազ	tʰ ɑ h m ɑ z
Թահմազյան	tʰ ɑ h m ɑ z j ɑ n
Թամիլնադ	tʰ ɑ m i l n ɑ d
Թայմիր	tʰ ɑ j m i ɾ
Թայվան	tʰ ɑ j v ɑ n
Թաշճյան	tʰ ɑ ʃ t͡ʃ j ɑ n
Թասլաքյան	tʰ ɑ s l ɑ kʰ j ɑ n
Թավուքճյան	tʰ ɑ v u kʰ t͡ʃ j ɑ n
Թավրիզ	tʰ ɑ v ɾ i z
Թարախչյան	tʰ ɑ ɾ ɑ χ t͡ʃʰ j ɑ n
Թարթառ	tʰ ɑ ɾ tʰ ɑ r
Թարխանյան	tʰ ɑ ɾ χ ɑ n j ɑ n
Թբիլիսի	tʰ ə b i l i s i
Թթուջուր	tʰ ə tʰ u d͡ʒ u ɾ
Թիֆլիս	tʰ i f l i s
Թհիմփհու	tʰ h i m pʰ h u
Թյուրինգիա	tʰ j u ɾ i ŋ ɡ i j ɑ
Թուզճյան	tʰ u z t͡ʃ j ɑ n
Թութունջյան	tʰ u tʰ u n d͡ʒ j ɑ n
Թուլումբաջյան	tʰ u l u m b ɑ d͡ʒ j ɑ n
Թուլումպաճյան	tʰ u l u m p ɑ t͡ʃ j ɑ n
Թուղլաճյան	tʰ u ʁ l ɑ t͡ʃ j ɑ n
Թուն	tʰ u n
Թունիս	tʰ u n i s
Թուրին	tʰ u ɾ i n
Թուրքիա	tʰ u ɾ kʰ i j ɑ
Թռփանճյան	tʰ ə r pʰ ɑ n t͡ʃ j ɑ n
Թրակիա	tʰ ə ɾ ɑ k i j ɑ
Թրամփ	tʰ ə ɾ ɑ m pʰ
Թրփանճյան	tʰ ə ɾ pʰ ɑ n t͡ʃ j ɑ n
Ժ	ʒ ə
Ժիրայր	ʒ i ɾ ɑ j ɾ
Ի	i
ԻԻՀ	i i h ə
Իգնատի	i ɡ n ɑ t i
Իզմիր	i z m i ɾ
Իլանջյան	i l ɑ n d͡ʒ j ɑ n
Իլլիրիա	i lː i ɾ i j ɑ
Իլհամ	i l h ɑ m
Իլյա	i l j ɑ
Ինգա	i ŋ ɡ ɑ
Ինգուշիա	i ŋ ɡ u ʃ i j ɑ
Ինճիճյան	i n t͡ʃ i t͡ʃ j ɑ n
Ինստագրամ	i n s t ɑ ɡ ɾ ɑ m
Իշխանյան	i ʃ χ ɑ n j ɑ n
Իռլանդիա	i r l ɑ n d i j ɑ
Իսախանյան	i s ɑ χ ɑ n j ɑ n
Իսահակ	i s ɑ h ɑ k
Իսլամաբադ	i s l ɑ m ɑ b ɑ d
Իսլանդիա	i s l ɑ n d i j ɑ
Իսկանդարյան	i s k ɑ n d ɑ ɾ j ɑ n
Իսմայիլի	i s m ɑ j i l i
Իսպանիա	i s p ɑ n i j ɑ
Իվան	i v ɑ n
Իտալիա	i t ɑ l i j ɑ
Իտանագար	i t ɑ n ɑ ɡ ɑ ɾ
Իրան	i ɾ ɑ n
Իրաք	i ɾ ɑ kʰ
Իրկուտսկ	i ɾ k u t s k
Լ	l ə
ԼՂԻՄ	l ə ʁ i m
ԼՂՀ	l ə ʁ ə h ə
Լաթաքիա	l ɑ tʰ ɑ kʰ i j ɑ
Լայպցիգ	l ɑ j p t͡sʰ i ɡ
Լատվիա	l ɑ t v i j ɑ
Լացիում	l ɑ t͡sʰ i j u m
Լիանա	l i j ɑ n ɑ
Լիբանան	l i b ɑ n ɑ n
Լիբիա	l i b i j ɑ
Լիգուրիա	l i ɡ u ɾ i j ɑ
Լիլիթ	l i l i tʰ
Լիկիա	l i k i j ɑ
Լիմա	l i m ɑ
Լինց	l i n t͡sʰ
Լիպարիտ	l i p ɑ ɾ i t
Լիպարիտյան	l i p ɑ ɾ i t j ɑ n
Լիտվա	l i t v ɑ
Լյուբլյանա	l j u b l j ɑ n ɑ
Լյուդվիգ	l j u d v i ɡ
Լյուկիա	l j u k i j ɑ
Լուանդա	l u ɑ n d ɑ
Լուար	l u ɑ ɾ
Լուարա	l u ɑ ɾ ɑ
Լուգանսկ	l u ɡ ɑ n s k
Լուսին	l u s i n
Լուսինյան	l u s i n j ɑ n
Լուսնթագ	l u s ə n tʰ ɑ ɡ
Խ	χ ə
ԽՍՀՄ	χ ə s ə h ə m
ԽՍՀՄ	χ ə s ə h ə m ə
Խադ	χ ɑ d
Խաժակ	χ ɑ ʒ ɑ k
Խալաճյան	χ ɑ l ɑ t͡ʃ j ɑ n
Խաղխաղ	χ ɑ ʁ χ ɑ ʁ
Խանճյան	χ ɑ n t͡ʃ j ɑ n
Խանջյան	χ ɑ n d͡ʒ j ɑ n
Խաչանյան	χ ɑ t͡ʃʰ ɑ n j ɑ n
Խաչատուր	χ ɑ t͡ʃʰ ɑ t u ɾ
Խաչատրյան	χ ɑ t͡ʃʰ ɑ t ə ɾ j ɑ n
Խաչատրյան	χ ɑ t͡ʃʰ ɑ t ɾ j ɑ n
Խաչիկ	χ ɑ t͡ʃʰ i k
Խաչիկյան	χ ɑ t͡ʃʰ i k j ɑ n
Խառան	χ ɑ r ɑ n
Խառատյան	χ ɑ r ɑ t j ɑ n
Խարաճճյան	χ ɑ ɾ ɑ t͡ʃː j ɑ n
Խուրշուդյան	χ u ɾ ʃ u d j ɑ n
Խրիմ	χ ə ɾ i m
Ծ	t͡s ə
Ծաղկազարդ	t͡s ɑ χ k ɑ z ɑ ɾ tʰ
Ծառուկ	t͡s ɑ r u k
Ծառուկյան	t͡s ɑ r u k j ɑ n
Ծատուրյան	t͡s ɑ t u ɾ j ɑ n
Ծղուկ	t͡s ə ʁ u k
Կ	k ə
ԿԸՀ	k ə ə h ə
Կաբակչյան	k ɑ b ɑ k t͡ʃʰ j ɑ n
Կադիս	k ɑ d i s
Կազան	k ɑ z ɑ n
Կալինին	k ɑ l i n i n
Կալինինգրադ	k ɑ l i n i ŋ ɡ ɾ ɑ d
Կալկաթա	k ɑ l k ɑ tʰ ɑ
Կալուգա	k ɑ l u ɡ ɑ
Կալվին	k ɑ l v i n
Կամա	k ɑ m ɑ
Կամչատկա	k ɑ m t͡ʃʰ ɑ t k ɑ
Կամպալա	k ɑ m p ɑ l ɑ
Կամպուչիա	k ɑ m p u t͡ʃʰ i j ɑ
Կամսար	k ɑ m s ɑ ɾ
Կանադա	k ɑ n ɑ d ɑ
Կանն	k ɑ nː
Կաունաս	k ɑ u n ɑ s
Կապան	k ɑ p ɑ n
Կապուտան	k ɑ p u t ɑ n
Կապուտյան	k ɑ p u t j ɑ n
Կառնատակա	k ɑ r n ɑ t ɑ k ɑ
Կասյան	k ɑ s j ɑ n
Կասպարյան	k ɑ s p ɑ ɾ j ɑ n
Կասպք	k ɑ s p kʰ
Կատար	k ɑ t ɑ ɾ
Կատմանդու	k ɑ t m ɑ n d u
Կարագանդա	k ɑ ɾ ɑ ɡ ɑ n d ɑ
Կարակաշյան	k ɑ ɾ ɑ k ɑ ʃ j ɑ n
Կարակաս	k ɑ ɾ ɑ k ɑ s
Կարայան	k ɑ ɾ ɑ j ɑ n
Կարթաձուկ	k ɑ ɾ tʰ ɑ d͡z u k
Կարիա	k ɑ ɾ i j ɑ
Կարիճ	k ɑ ɾ i t͡ʃ
Կարին	k ɑ ɾ i n
Կարպիս	k ɑ ɾ p i s
Կարս	k ɑ ɾ s
Կզըլ	k ə z ə l
Կիլիկիա	k i l i k i j ɑ
Կլարա	k l ɑ ɾ ɑ
Կյուսյու	k j u s j u
Կնյազ	k ə n j ɑ z
Կուբա	k u b ɑ
Կուկըլ	k u k ə l
Կույումջյան	k u j u m d͡ʒ j ɑ n
Կուր	k u ɾ
Կուրգան	k u ɾ ɡ ɑ n
Կուրսկ	k u ɾ s k
Կտրիճ	k ə t ɾ i t͡ʃ
Կրիշնա	k ɾ i ʃ n ɑ
Կրյուչկյան	k ɾ j u t͡ʃʰ k j ɑ n
Հ	h ə
ՀԱԿ	h ɑ k
ՀԱՀ	h ɑ h
ՀԱՊԿ	h ɑ p k
ՀԱՊԿ	h ɑ p ə k ə
ՀՀ	h ə h ə
