ئا	a
باشاق	b ɑ ʃ ɑ q
باققال	b ɑ q q ɑ l
باقى	b ɑ q i
بالا	b ɑ l ɑ
بالكون	b ɑ l k o n
بالېت	b ɑ l e t
بانا	b ɑ n ɑ
بانان	b ɑ n ɑ n
بانداژ	b ɑ n d ɑ ʒ
بايراق	b ɑ j r ɑ q
بايرام	b ɑ j r ɑ m
بايقۇش	b ɑ j q u ʃ
باپ	b ɑ p
باھا	b ɑ h ɑ
بروم	b r o m
بوخچا	b o χ t͡ʃ ɑ
بور	b o r
بورچ	b o r t͡ʃ
بوستان	b o s t ɑ n
بوسەي	b o s ɛ j
بولكا	b o l k ɑ
بولۇو	b o l u o
بولۇپ	b o l u p
بومبا	b o m b ɑ
بويۇن	b o j u n
بىتون	b i t o n
بىر	b i r
بىرىليانت	b i r i l j ɑ n t
بىرىنچى	b i r i n t͡ʃ i
بىسمۇت	b i s m u t
بىلەن	b i l ɛ n
بىڭگۇر	b i ŋ ɡ u r
بۆرەك	b ø r ɛ k
بۆشۈك	b ø ʃ y k
بۆك	b ø k
بۆھران	b ø h r ɑ n
بۇ	b u
بۇت	b u t
بۇتپەرەس	b u t p ɛ r ɛ s
بۇدجېت	b u d d͡ʒ e t
بۇرادەر	b u r ɑ d ɛ r
بۇرژۇئا	b u r ʒ u ʔ ɑ
بۇرژۇئازىيە	b u r ʒ u ʔ ɑ z i j ɛ
بۇرۇت	b u r u t
بۇرۇن	b u r u n
بۇغ	b u ʁ
بۇقا	b u q ɑ
بۇلاق	b u l ɑ q
بۇلبۇل	b u l b u l
بۇلجۇڭ	b u l d͡ʒ u ŋ
بۇلغارىيە	b u l ʁ ɑ r i j ɛ
بۇلۇت	b u l u t
بۇيرۇق	b u j r u q
بۈيۈك	b y j y k
بېركلىي	b e r k l i j
بېرىللىي	b e r i l l i j
بېغىر	b e ʁ i r
بېلوك	b e l o k
بېلىق	b e l i q
بېلىقچى	b e l i q t͡ʃ i
بېلەت	b e l ɛ t
بېنزىن	b e n z i n
بېگېموت	b e ɡ e m o t
بەختىيار	b ɛ χ t i j ɑ r
بەخش	b ɛ χ ʃ
بەدەل	b ɛ d ɛ l
بەدەن	b ɛ d ɛ n
بەركە	b ɛ r k ɛ
بەرمەك	b ɛ r m ɛ k
بەز	b ɛ z
بەسەي	b ɛ s ɛ j
بەش	b æ ʃ
بەش	b ɛ ʃ
بەشىنچى	b ɛ ʃ i n t ʃ i
بەك	b ɛ k
بەل	b ɛ l
بەلغەم	b ɛ l ʁ ɛ m
بەنزە	b ɛ n z ɛ
بەنسىيۇەن	b ɛ n s i j u ɛ n
بەنسىچۇ	b ɛ n s i t͡ʃ u
بەياز	b ɛ j ɑ z
بەگ	b ɛ ɡ
ت	t
ت	t e
تار	t ɑ r
تارازا	t ɑ r ɑ z ɑ
تاراۋى	t ɑ r ɑ w i
تاغ	t ɑ ʁ
تاماق	t ɑ m ɑ q
تاملار	tʰ a m l ɑː
تاملار	tʰ ɑ m l ɑ r
ترامپ	t r ɑ m p
تورۇق	t o r u q
توسۇن	t o s u n
توقسان	t o q s ɑ n
توققۇز	t o q q u z
توققۇز	t ɔ q q u z
توققۇزىنچى	t o q q u z i n t ʃ i
توپ	t o p
توپۇق	t o p u q
تىرناق	t i r n ɑ q
تىلەك	t i l ɛ k
تىمساخ	t i m s ɑ χ
تىيىن	t i j i n
تۆت	t ø t̚
تۆت	t œ t̚
تۆتىنچى	t ø t i n t ʃ i
تۆتىنچى	t œ t i n t ʃ i
تۆش	t ø ʃ
تۆمۈر	t ø m y r
تۆپە	t ø p ɛ
تۆگە	t ø ɡ æ
تۆگە	t ø ɡ ɛ
تۆگە	t œ ɡ æ
تۆگە	t œ ɡ ɛ
تۇتماق	t u t m ɑ q
تۇخۇم	t u χ u m
تۇز	t u z
تۇزاق	t u z ɑ q
تۇياق	t u j ɑ q
تۈتۈن	t y t y n
تۈز	t y z
تۈك	t y k
تۈلكە	t y l k æ
تۈلكە	t y l k ɛ
تېز	t e z
تېكە	t e k ɛ
تەبلىغ	t ɛ b l i ʁ
تەخسە	t æ kʰ s æ
تەخسە	t æ x s æ
تەخسە	t ɛ kʰ s ɛ
تەخسە	t ɛ x s ɛ
تەخمىن	t ɛ χ m i n
تەدبىر	t ɛ d b i r
تەر	t ɛ r
تەرجىمان	t ɛ r d͡ʒ i m ɑ n
تەرجىمە	t æ r d͡ʒ i m æ
تەرجىمە	t ɛ r d͡ʒ i m ɛ
تەس	t ɛ s
تەلۋە	t ɛ l w ɛ
تەپەككۇر	t ɛ p ɛ k k u r
تەڭرى	t ɛ ŋ r i
تەھدىت	t ɛ h d i t
ج	d͡ʒ
ج	d͡ʒ e
جازا	d͡ʒ ɑ z ɑ
جامائەت	d͡ʒ ɑ m ɑ ʔ ɛ t
جاڭيۇ	d͡ʒ ɑ ŋ j u
جاۋاپ	d͡ʒ ɑ w ɑ p
جوزا	d͡ʒ o z ɑ
جىنازا	d͡ʒ i n ɑ z ɑ
جىنايەت	d͡ʒ i n ɑ j ɛ t
جىگەر	d͡ʒ i ɡ ɛ r
جۇدا	d͡ʒ u d ɑ
جۇڭگو	d͡ʒ u ŋ ɡ o
جۈمە	d͡ʒ y m æ
جۈمە	d͡ʒ y m ɛ
جەسۇر	d͡ʒ ɛ s u r
جەڭچى	d ʒ æ ŋ t ʃ i
جەڭچى	d ʒ ɛ ŋ t ʃ i
خ	χ
خ	χ e
خوتەن	χ o t ɛ n
خوراز	χ o r ɑ z
خورۋاتىيە	χ o r w ɑ t i j ɛ
خوش	x o ʃ
خوش	x ɔ ʃ
خىت	χ i t
خىزمەتچى	χ i z m ɛ t t ʃ i
خېچىر	χ e t͡ʃ i r
خەنزۇ	χ ɛ n z u
د	d
د	d e
دادا	d ɑ d ɑ
داستان	d ɑ s t ɑ n
داشۈئې	d ɑ ʃ y ʔ e
دانە	d ɑ n ɛ
داۋا	d ɑ w ɑ
داۋۇت	d ɑ w u t
دوست	d o s t
دوستانە	d o s t ɑ n ɛ
دومبىرا	d o m b i r ɑ
دىن	d i n
دۇئا	d u ʔ ɑ
دۇتار	d u t ɑ r
دۇتتار	d u t t ɑ r
دۈدۈك	d y d y k
دۈشەنبە	d y ʃ æ n b æ
دۈشەنبە	d y ʃ ɛ n b ɛ
دېكابر	d e k ɑ b r
دېڭىز	d e ŋ i z
دەپتەر	d æ p̚ t æ r
دەپتەر	d ɛ p̚ t ɛ r
ر	r
ر	r e
روبرۇ	r o b r u
رۇخسەت	r u χ s ɛ t
رۇسىيە	r ú s i j ɛ
رەھمەت	r æ h m ɛ t
ز	z
ز	z e
زامىن	z ɑ m i n
زاپاس	z ɑ p ɑ s
زوق	z o q
زىت	z i t
زىرە	z i r ɛ
زىننەت	z i n n ɛ t
زۇلۇم	z u l u m
زۇمرەت	z u m r ɛ t
زەئىپ	z ɛ ʔ i p
زەربە	z ɛ r b ɛ
زەررە	z ɛ r r ɛ
زەرەر	z ɛ r ɛ r
زەمبىرەك	z ɛ m b i r ɛ k
زەنجىر	z ɛ n d͡ʒ i r
زەنجىۋىل	z ɛ n d͡ʒ i w i l
س	s
س	s e
سائەت	s a ʔ ɛ t
ساختا	s ɑ χ t ɑ
ساداق	s ɑ d ɑ q
ساراي	s ɑ r ɑ j
سارراپ	s ɑ r r ɑ p
ساقاق	s ɑ q ɑ q
ساقچى	s ɑ q t ʃ i
سال	s ɑ l
ساما	s ɑ m ɑ
سامان	s ɑ m ɑ n
ساماۋار	s ɑ m ɑ w ɑ r
سايە	s ɑ j ɛ
ساپان	s ɑ p ɑ n
سىركە	s i r k ɛ
سىرەك	s i r ɛ k
سىياسەت	s i j ɑ s ɛ t
سىيىر	s i j i r
سىڭىر	s i ŋ i r
سۆز	s ø z
سۆگەت	s ø ɡ ɛ t
سۆھبەت	s ø h b ɛ t
سۇ	s u
سۈت	s y t
سۈلھ	s y l h
سۈمۈرمەك	s y m y r m ɛ k
سۈيدۈك	s y j d y k
سېغىزخان	s e ʁ i z χ ɑ n
سېمىز	s e m i z
سېمىزئوت	s e m i z ʔ o t
سېنتەبر	s e n t ɛ b r
سەرخۇش	s ɛ r χ u ʃ
سەكسەن	s ɛ k s ɛ n
سەكسەنپۇت	s ɛ k s ɛ n p u t
سەككىز	s æ k k i z
سەككىز	s æ k̚ k i z
سەككىز	s ɛ k k i z
سەككىز	s ɛ k̚ k i z
سەككىزىنچى	s ɛ k k i z i n t ʃ i
سەمەرقەند	s ɛ m ɛ r q ɛ n d
سەنئەت	s ɛ n ʔ ɛ t
سەي	s ɛ j
سەيشەنبە	s æ j ʃ æ n b æ
سەيشەنبە	s ɛ j ʃ ɛ n b ɛ
سەپەر	s ɛ p ɛ r
ش	ʃ
ش	ʃ e
شام	ʃ ɑ m
شامان	ʃ ɑ m ɑ n
شاپتۇل	ʃ ɑ p t u l
شاھ	ʃ ɑ h
شوپۇر	ʃ o p u r
شىرىن	ʃ i r i n
شىنجاڭ	ʃ i n d͡ʒ ɑ ŋ
شياڭگاڭ	ʃ j ɑ ŋ ɡ ɑ ŋ
شۆھرەت	ʃ ø h r ɛ t
شۈبھە	ʃ y b h ɛ
شۈكۈر	ʃ y k y r
شېكەر	ʃ e k ɛ r
شەنبە	ʃ æ n b æ
شەنبە	ʃ ɛ n b ɛ
شەپكە	ʃ ɛ p k ɛ
غ	ʁ
غ	ʁ e
غازى	ʁ ɑ z i
غالىپ	ʁ ɑ l i p
غايىپ	ʁ ɑ j i p
غايە	ʁ ɑ j ɛ
غايەت	ʁ ɑ j ɛ t
غاپىل	ʁ ɑ p i l
غىجەك	ʁ i d͡ʒ ɛ k
غۇربەت	ʁ u r b ɛ t
غۇرۇر	ʁ u r u r
غۇلاچ	ʁ u l ɑ t͡ʃ
غەددار	ʁ ɛ d d ɑ r
غەرپ	ʁ ɛ r p
غەرەز	ʁ ɛ r ɛ z
غەزەپ	ʁ ɛ z ɛ p
غەلىبە	ʁ ɛ l i b ɛ
غەلۋىر	ʁ ɛ l w i r
غەم	ʁ ɛ m
غەمزە	ʁ ɛ m z ɛ
غەنى	ʁ ɛ n i
غەنىمەت	ʁ ɛ n i m ɛ t
غەيرەت	ʁ ɛ j r ɛ t
غەيۋەت	ʁ ɛ j w ɛ t
غەپلەت	ʁ ɛ p l ɛ t
غەۋغا	ʁ ɛ w ʁ ɑ
ف	f
ف	f e
فاشىست	f ɑ ʃ i s t
فرانسىيە	f r ɑ n s i j ɛ
فېۋرال	f e w r ɑ l
ق	q
ق	q e
قائىدە	q ɑ ʔ i d ɛ
قابىلىيەت	q ɑ b i l i j ɛ t
قات	q ɑ t
قادىر	q ɑ d i r
قار	q ɑ r
قارار	q ɑ r ɑ r
قارارگاھ	q ɑ r ɑ r ɡ ɑ h
قاراچاي	t͡ʃ ɑ j
قارشى	q ɑ r ʃ i
قارىن	q ɑ r i n
قازاغىستان	q ɑ z ɑ ʁ i s t ɑ n
قازى	q ɑ z i
قاسساپ	q ɑ s s ɑ p
قاسىم	q ɑ s i m
قاغا	q ɑ ʁ ɑ
قالقان	q ɑ l q ɑ n
قالپاق	q ɑ l p ɑ q
قالۇن	q ɑ l u n
قامچا	q ɑ m t͡ʃ ɑ
قانائەت	q ɑ n ɑ ʔ ɛ t
قانال	q ɑ n ɑ l
قانجۇق	q ɑ n d͡ʒ u q
قانۇن	q ɑ n u n
قايسى	q ɑ j s i
قايغۇ	q ɑ j ʁ u
قايماق	q ɑ j m ɑ q
قاپقاق	q ɑ p q ɑ q
قاچا	q ɑ t͡ʃ ɑ
قاچاق	q ɑ t͡ʃ ɑ q
قاھىرە	q ɑ h i r ɛ
قوبۇل	q o b u l
قورقاق	q o r q ɑ q
قورقۇنچ	q o r q u n t͡ʃ
قوزا	q o z ɑ
قوزىقۇلاق	q o z i q u l ɑ q
قوزۇق	q o z u q
قوساق	q o s ɑ q
قوشۇق	q o ʃ u q
قوغۇن	q o ʁ u n
قومۇش	q o m u ʃ
قونچ	q o n t͡ʃ
قويۇق	q o j u q
قويۇن	q o j u n
قوڭغۇز	q o ŋ ʁ u z
قوۋم	q o w m
قوۋۇرغا	q o w u r ʁ ɑ
قىرغۇل	q i r ʁ u l
قىرو	q i r o
قىرىق	q i r i q
قىز	q ɤ z
قىزىلغاز	q i z i l ʁ ɑ z
قىساس	q i s ɑ s
قىسقاچ	q i s q ɑ t͡ʃ
قىسمەت	q i s m ɛ t
قىسىر	q i s i r
قىشلاق	q i ʃ l ɑ q
قىلىق	q i l i q
قىلىچ	q i l i t͡ʃ
قىمار	q i m ɑ r
قىن	q i n
قىيامەت	q i j ɑ m ɛ t
قىياپەت	q i j ɑ p ɛ t
قىيما	q i j m ɑ
قىچىق	q i t͡ʃ i q
قۇببە	q u b b ɛ
قۇتلۇق	q u t l u q
قۇدرەت	q u d r ɛ t
قۇدۇق	q u d u q
قۇرئان	q u r ʔ ɑ n
قۇرغاق	q u r ʁ ɑ q
قۇزغۇن	q u z ʁ u n
قۇسۇر	q u s u r
قۇش	q u ʃ
قۇلۇن	q u l u n
قۇم	q u m
قۇمچاق	q u m t͡ʃ ɑ q
قۇيرۇق	q u j r u q
قۇچاق	q u t͡ʃ ɑ q
قۇۋانچ	q u w ɑ n t͡ʃ
قېلىپ	q e l i p
قېنى	q e n i
قېيىق	q e j i q
قېيىن	q e j i n
قەبرە	q ɛ b r ɛ
قەتئى	q ɛ t ʔ i
قەترە	q ɛ t r ɛ
قەدىم	q ɛ d i m
قەدەھ	q ɛ d ɛ h
قەرەنفىل	q ɛ r ɛ n f i l
قەستەن	q ɛ s t ɛ n
قەسىدە	q ɛ s i d ɛ
قەسىر	q ɛ s i r
قەغەز	q æ ʁ æ z
قەلئە	q ɛ l ʔ ɛ
قەلەم	q æ l æ m
قەلەي	q ɛ l ɛ j
قەمەر	q ɛ m ɛ r
قەندىل	q ɛ n d i l
قەيسەر	q ɛ j s ɛ r
قەپەز	q ɛ p ɛ z
قەھر	q ɛ h r
قەھرىۋا	q ɛ h r i w ɑ
قەۋرە	q ɛ w r ɛ
ك	k
ك	k e
كائىنات	k ɑ ʔ i n ɑ t
كابىل	k ɑ b i l
كابىنېت	k ɑ b i n e t
كاتالوگ	k ɑ t ɑ l o ɡ
كاتالىزاتور	k ɑ t ɑ l i z ɑ t o r
كاتولىك	k ɑ t o l i k
كاتىپ	k ɑ t i p
كاتېگورىيە	k ɑ t e ɡ o r i j ɛ
كادمىي	k ɑ d m i j
كارانتىن	k ɑ r ɑ n t i n
كارىدور	k ɑ r i d o r
كارۋات	k ɑ r w ɑ t
كاسا	k ɑ s ɑ
كاسات	k ɑ s ɑ t
كاستۇم	k ɑ s t u m
كاكاۋۇ	k ɑ k ɑ w u
كالتسىي	k ɑ l t s i j
كاللا	k ɑ l l ɑ
كالىفورنىي	k ɑ l i f o r n i j
كالىي	k ɑ l i j
كامال	k ɑ m ɑ l
كاپىر	k ɑ p i r
كاپۇستا	k ɑ p u s t ɑ
كاھىن	k ɑ h i n
كاۋاپ	k ɑ w ɑ p
كاۋچۇك	k ɑ w t͡ʃ u k
كرىمنىي	k r i m n i j
كرىپتون	k r i p t o n
كسېنون	k s e n o n
كوبالت	k o b ɑ l t
كور	k o r
كورلۇق	k o r l u q
كوسا	k o s ɑ
كوفېيىن	k o f e j i n
كوكائىن	k o k ɑ ʔ i n
كولخوز	k o l χ o z
كومپاس	k o m p ɑ s
كونسۇل	k o n s u l
كويزا	k o j z ɑ
كىبىر	k i b i r
كىت	k i t
كىتاب	k i t ɑ p
كىر	k i r
كىرا	k i r ɑ
كىرىچ	k i r i t͡ʃ
كىرپىك	k i r p i k
كىرپىچ	k i r p i t͡ʃ
كىرپە	k i r p ɛ
كىشنەمەك	k i ʃ n ɛ m ɛ k
كىشى	k i ʃ i
كىلو	k i l o
كىلومېتىر	k i l o m e t i r
كىلوگىرام	k i l o ɡ i r ɑ m
كىنو	k i n o
كىيمەك	k i j m ɛ k
كىيىك	k i j i k
كىپەك	k i p ɛ k
كىچىك	k i t͡ʃ i k
كيۇرىي	k j u r i j
كۆت	k ø t
كۆرۈك	k ø r y k
كۆز	k ø z
