ং	ŋ
অকাণ্ডে	ɔ k a ɳ ɖ eˑ
অকাতর	ɔ k a t̪ ɔ ɾ
অকাতরে	ɔ k a t̪ ɔ ɾ eˑ
অকাম	ɔ k a m
অকাম্য	ɔ k a mː oˑ
অকার	ɔ k a ɾ
অকারণ	ɔ k a ɾ o n
অকারণে	ɔ k a ɾ ɔ n eˑ
অকারত	ɔ k a ɾ ɔ t̪
অকারাদি	ɔ k a ɾ a d̪ iˑ
অকারান্ত	ɔ k a ɾ a n t̪ oˑ
অকার্য	ɔ k a ɾ d͡ʒ oˑ
অকার্যকরী	ɔ k a ɾ d͡ʒ ɔ k o ɾ iˑ
অকাল	ɔ k a l
অকালপক্ব	ɔ k a l p ɔ kː oˑ
অকালপক্বতা	ɔ k a l p ɔ kː ɔ t̪ aˑ
অকালবর্ষণ	ɔ k a l b ɔ ɾ ʃ ɔ n
অকালবার্ধক্য	ɔ k a l b a ɾ d̪ʱ ɔ kː oˑ
অকালবোধন	ɔ k a l b o d̪ʱ ɔ n
অকালমৃত্যু	ɔ k a l m ɾ i t̪ː uˑ
অকালসন্ধ্যা	ɔ k a l ɔ ʃ ɔ n d̪ʱ aˑ
অকালে	ɔ k a l eˑ
অকিঞ্চনতা	ɔ k i n t͡ʃ ɔ n o t̪ aˑ
অকিঞ্চনত্ব	ɔ k i n t͡ʃ ɔ n o t̪ː oˑ
অঘ্রান	ɔ ɡ ɾ a n
অঘ্রান	ɔ ɡʱ ɾ a n
অঙ্ক	ɔ ŋ k oˑ
অঙ্গ	ɔ ŋ ɡ oˑ
অঙ্গন	ɔ ŋ ɡ o n
অঙ্গার	ɔ ŋ ɡ a ɾ
অঙ্গুষ্ঠ	ɔ ŋ ɡ u ʂ ʈʰ oˑ
অচেনা	ɔ t͡ʃ e n aˑ
অছি	ɔ t͡ʃʰ iˑ
অজগর	ɔ d͡ʒ o ɡ ɔ ɾ
অজুহাত	ɔ d͡ʒ u h a t̪
অজ্ঞাত	ɔ ɡː æ t̪ oˑ
অজ্ঞাতনামা	ɔ ɡː æ t̪ o n a m aˑ
অঞ্চল	ɔ n t͡ʃ ɔ l
অঞ্জলি	ɔ n d͡ʒ o l iˑ
অটল	ɔ ʈ ɔ l
অড়হর	ɔ ɽ h ɔ ɾ
অড়হর	ɔ ɽ o h ɔ ɾ
অড়হর	ɔ ɾ h ɔ ɾ
অড়হর	ɔ ɾ o h ɔ ɾ
অণু	o n uˑ
অণুবীক্ষণ	o n u b i kʰː ɔ n
অণ্ড	ɔ ɳ ɖ oˑ
অণ্ডজ	ɔ ɳ ɖ o d͡ʒ
অত	ɔ t̪ oˑ
অতএব	ɔ t̪ o e b
অতিথি	o t̪ i t̪ʰ iˑ
অতিরিক্ত	o t̪ i ɾ i k t̪ oˑ
অতীত	o t̪ i t̪
অত্যাচার	o t̪ː a t͡ʃ a ɾ
অথবা	ɔ t̪ʰ o b aˑ
অদৃশ্য	ɔ d̪ː ɾ i ʃː oˑ
অদ্বিতীয়	ɔ d̪ː i t̪ i̯ oˑ
অদ্ভুত	ɔ d̪ bʱ u t̪
অদ্ভুত	ɔ d̪ v u t̪
অধঃপতন	ɔ d̪ʱ ɔ h p ɔ t̪ o n
অধর্ম	ɔ d̪ʱ ɔ ɾ m ɔˑ
অধিকার	o d̪ʱ i k a ɾ
অধিকার	ɔ d̪ʱ i k a ɾ
অধীর	ɔ d̪ʱ i ɹ
অধীশ্বর	ɔ d̪ʱ i ʃː ɔ ɾ
অধৈর্য	ɔ dʱ o i̯ r d͡ʒː o
অধ্যবসায়	ɔ d̪ʱː ɔ b ʃ a e̯
অধ্যয়ন	ɔ d̪ʱː ɔ e̯ o n
অধ্যাদেশ	ɔ d̪ʱː a d̪ e ʃ
আখেরাত	a kʰ e ɾ a t̪
আজার	a d͡ʒ a ɾ
আনন্দিত	a n ɔ n d̪ i t̪ oˑ
আনা	a n aˑ
আনাড়	a n a ɽ
আনাড়	a n a ɾ
আনাড়ি	a n a ɽ iˑ
আনাড়ি	a n a ɾ iˑ
আনার	a n a ɾ
আনারস	a n a ɾ ɔ ʃ
আনোয়ার	a n o̯ a ɾ
আনোয়ারউদ্দিন	a n o̯ a ɾ u d̪ː i n
আন্টার্কটিকা	a ɳ ʈ a ɾ k ʈ i k aˑ
আন্তঃনগর	a n t̪ ɔ n o ɡ ɔ ɾ
আন্তর্জাতিক	a n t̪ ɔ ɾ d͡ʒ a t̪ i k
আন্তর্জাল	a n t̪ ɔ ɾ d͡ʒ a l
আন্দাজ	a n d̪ a d͡ʒ
আন্দোলন	a n d̪ o l o n
আন্দোলন	a n d̪ o l ɔ n
আপকাওয়াস্তে	a p k a o̯ a s t̪ eˑ
আপত্তি	a p ɔ t̪ː iˑ
আপন	a p ɔ n
আপনাকে	a p n a k eˑ
আপনাদের	a p n a d̪ e ɾ
আপনার	a p n a ɾ
আপনারা	a p n a ɾ aˑ
আপনি	a p n iˑ
আপা	a p aˑ
আপু	a p uˑ
আপেল	a p e l
আফজল	a f d͡ʒ ɔ l
আফতাব	a f t̪ a b
আফসোস	a f s o s
আফিম	a f i m
আফ্রিকা	a f ɾ i k aˑ
আফ্রোদিতি	a f ɾ o d̪ i t̪ iˑ
আব	a b
আব	aː b
আবছা	a b ɔ t͡ʃʰ aˑ
আবছায়া	a b t͡ʃʰ a e̯ aˑ
আবশ্যকীয়	a b ɔ ʃː ɔ k i̯ oˑ
আবহাওয়া	a b h a o̯ aˑ
আবহাওয়া	a b o h a o̯ aˑ
আবাদ	a b a d̪
আবার	a b a ɾ
আবাস	a b a ʃ
আবির	ä b iˑ ɾ
আবিষ্কার	a b i ʃ k a ɾ
আবেগ	a b e ɡ
আবেগাপ্লুত	a b e ɡ a p l u t̪ oˑ
আবেদ	a b e d̪
আব্দুল	a b d̪ u l
আব্দুল্লাহ	a b d̪ u lː aˑ
আব্বা	a bː aˑ
আব্বু	a bː uˑ
আব্রাহাম	a b ɾ a h a m
আম	a m
আম	aː m
আমন্ত্রণ	a m o n t̪ː ɾ o n
আমন্ত্রণ	a m o n t̪ː ɾ ɔ n
আমপারা	a m p a ɾ aˑ
আমরা	ä m ɹ ä
আমল	a m o l
আমাকে	a m a k eˑ
আমাগর	ä m ä ɡ ɔ ɾ
আমাগর	ä m ä ɡ ɔ̝
আমাগর	ä m ɡ ɔ ɾ
আমাগর	ä m ɡ ɔ̝
আমাগর	ä ŋ ɡ ɔ ɾ
আমাগর	ä ŋ ɡ ɔ̝
আমাদের	a m a d̪ e ɾ
আমানত	a m a n ɔ t̪
আমার	a m a ɾ
আমারে	a m a ɾ eˑ
আমাশয়	a m a ʃ ɔ e̯
আমি	ɑ m iˑ
আমীর	a m i ɾ
আমেজ	a m e d͡ʒ
আমেজ	a m e z
আমেরিকা	a m e ɾ i k aˑ
আম্মা	a mː aˑ
আযহার	a z h a ɾ
আয়কর	a e̯ k ɔ ɾ
আয়না	a e̯ n aˑ
আয়াতুল্লাহ	a e̯ a t̪ o lː a
আয়াতুল্লাহ	a e̯ a t̪ o lː a h
আয়াতুল্লাহ	a e̯ a t̪ u lː a
আয়াতুল্লাহ	a e̯ a t̪ u lː a h
আয়ারল্যান্ড	a e̯ a ɾ l æ ɳ ɖ
আয়ু	a i̯ uˑ
আয়েশা	a e̯ ʃ aˑ
আযাদ	a d͡ʒ a d̪
আযান	a d͡ʒ a n
আযাব	a d͡ʒ a b
আর	a ɹ
আরও	a ɾ oˑ
আরক	a ɾ ɔ k
আরজ	a ɾ o d͡ʒ
আরজু	a ɾ d͡ʒ uˑ
আরজুমান্দ	a ɾ d͡ʒ u m a n
আরজুমান্দ	a ɾ d͡ʒ u m a n d̪
আরতি	a ɾ o t̪ iˑ
আরব	a ɾ ɔ b
আরম্ভ	a ɾ ɔ m bʱ oˑ
আরম্ভ	a ɾ ɔ m v oˑ
আরশি	a ɾ ʃ iˑ
আরাফাত	a ɾ a f a t̪
আরাম	a ɾ a m
আরিফ	a ɾ i f
আরে	a ɾ eˑ
আরেক	a ɾ æ k
আরোগ্য	a ɾ o ɡː oˑ
আর্জি	a ɾ d͡ʒ iˑ
আর্জেণ্টিনা	a ɾ d͡ʒ e ɳ ʈ i n aˑ
আর্জেন্টিনা	a ɾ d͡ʒ e ɳ ʈ i n aˑ
আর্জেন্তিনা	a ɾ d͡ʒ e n t̪ i n aˑ
আর্ত	a ɾ t̪ oˑ
আর্তব	ä ɾ t̪ oˑ b̥
আর্দ্র	a ɾ d̪ː ɾ oˑ
আর্মেনিয়া	a ɾ m e n i̯ aˑ
আর্য	a ɾ d͡ʒ oˑ
আল	a l
আল	aː l
আলকাতরা	a l k a t̪ː ɾ aˑ
আলগা	a l ɡ aˑ
আলপনা	a l p o n aˑ
আলবেনিয়া	a l b e n i̯ aˑ
আলভী	ɐ l bʱ iˑ
আলভী	ɐ l v iˑ
আলভী	ɐ l β iˑ
আলভী	ɐ lᵊ bʱ iˑ
আলভী	ɐ lᵊ v iˑ
আলভী	ɐ lᵊ β iˑ
আলম	a l o m
আলমগীর	a l o m ɡ i ɾ
আলমারি	a l m a ɾ iˑ
আলয়	a l ɔ e̯
আলহামদুলিল্লাহ	a l h a m d̪ u l i lː aˑ
আলাদা	a l a d̪ aˑ
আলামত	a l a m o t̪
আলামত	a l a m ɔ t̪
আলামিন	a l a m i n
উনআশি	u n a ʃ iˑ
ঊরু	u ɾ uˑ
একাকী	e k a k iˑ
একাডেমি	æ k a ɖ e m iˑ
একাত্তর	e k a t̪ː ɔ ɾ
একাদশ	æ k a d̪ ɔ ʃ
একাধিপত্য	e k a d̪ʱ i p ɔ t̪ː oˑ
একামত	e k a m ɔ t̪
একামত	i k a m ɔ t̪
একুশে	e k u ʃ eˑ
একে	e k eˑ
একেবারে	e k e b a ɾ eˑ
এখতিয়ার	e k t̪ i̯ a ɾ
এখতিয়ার	e x t̪ i̯ a ɾ
এখন	æ kʰ ɔ n
এখান	e kʰ a n
এখানে	e kʰ a n e
এগারো	ɛ ɡ ɑ ɹ oˑ
এগুলা	e ɡ u l aˑ
এগোনো	e ɡ o n oˑ
এজাজতনামা	e d͡ʒ a z ɔ t̪ n a m aˑ
এটা	e ʈ aˑ
এটি	e ʈ iˑ
এডমন্টন	e ɖ ɔ m ɔ ɳ ʈ ɔ n
এত	æ t̪ oˑ
এতে	e t̪ eˑ
এদের	e d̪ e ɾ
এনসাফ	e n s a f
এনসাফ	i n s a f
এন্ড্রু	æ ɳ ɖ ɻ uˑ
এন্তেখাব	e n t̪ e kʰ a b
এন্তেখাব	ɪ n t̪ e kʰ a b
এন্তেজার	e n t̪ e d͡ʒ a ɾ
এন্তেজার	e n t̪ e z a ɾ
এন্তেজার	i n t̪ e d͡ʒ a ɾ
এন্তেজার	i n t̪ e z a ɾ
এন্তেজারি	e n t̪ e d͡ʒ a ɾ iˑ
এন্থনি	æ n t̪ʰ o n iˑ
এপ্রিল	e p ɾ i l
এবং	e b o ŋ
এবং	e b ɔ ŋ
এবার	e b a r
এবে	e b eˑ
এমন	æ m o n
এমনকী	æ m ɔ n k iˑ
এমেরিকা	e m e ɾ i k aˑ
এমেরিকা	æ m e ɾ i k aˑ
এর	e ɾ
এর	eː ɾ
এরশাদ	e ɾ ʃ a d̪
এরা	e ɾ aˑ
এলজাম	e l z a m
এলজাম	e l̪ d͡ʒ a m
এলজিবিটি	e l̪ d͡ʒ i b i ʈ iˑ
এলা	e l aˑ
এলাকা	e l a k aˑ
এলাচ	e l a t͡ʃ
এলাহাবাদ	e l a h a b a d̪
এলে	e l eˑ
এলেম	e l e m
এলেমান	e l e m a n
এলোহিম	e l o h i m
এশক	e ʃ k
এশক	e ʃ o k
এশক	e ʃ o q
এশক	e ʃ q
এশট্রে	e ʃ ɔ ʈː ɾ eˑ
এশিয়া	e ʃ i̯ aˑ
এস্তেমাল	e s t̪ e m a l
এস্রাজ	e s ɾ a d͡ʒ
ঐতিহাসিক	o i̯ t̪ i h a ʃ i k
ওঁ	o ũ m
ওঁ	õ m
ওঁম	o m
ওঁম	o ũ m
ওঁম	oː m
ওঁম	õ m
ওঁম্	o m
ওঁম্	o ũ m
ওঁম্	oː m
ওঁম্	õ m
ওঁর	õ ɾ
ওঁরা	õ ɾ aˑ
ওই	o i̯
ওকালতি	o k a l o t̪ iˑ
ওকে	o k eˑ
ওক্ত	o k t̪
ওক্ত	o k t̪ oˑ
ওক্‌ত	o k t̪
ওখান	o kʰ a n
ওখানে	o kʰ a n eˑ
ওগো	o ɡ oˑ
ওজন	o d͡ʒ o n
ওজন	o d͡ʒ ɔ n
ওজন	o z o n
ওজর	o d͡ʒ ɔ ɾ
ওজু	o d͡ʒ uˑ
ওজোন	o d͡ʒ o n
ওজোন	o z o n
ওঝা	o d͡ʒʱ aˑ
ওড়না	o ɽ n aˑ
ওড়া	o ɽ aˑ
ওড়া	o ɾ aˑ
ওড়িশা	o ɽ i ʃ aˑ
ওড়িশা	o ɾ i ʃ aˑ
ওতফ	o t̪ ɔ f ɔˑ
ওদের	o d̪ e ɾ
ওফাত	ɔ f a t̪
ওফাত	ʊ f a t̪
ওম	o m
ওম	o ũ m
ওম	oː m
ওম	õ m
ওমর	o m o ɾ
ওম্	o m
ওম্	o ũ m
ওম্	oː m
ওম্	õ m
ওয়াইন	o̯ a i̯ n
ওয়াকফ	o̯ a k f
ওয়াকফ	o̯ a k ɔ f
ওয়াকেফ	o̯ a k e f
ওয়াক্ত	o̯ a k t̪ oˑ
ওয়াক্‌ফ	o̯ a k f
ওয়াজ	o̯ a d͡ʒ
ওয়াজ	o̯ a z
ওয়াজিব	o̯ a d͡ʒ i b
ওয়াতন	o̯ a t̪ ɔ n
ওয়াদা	o̯ a d̪ aˑ
ওয়ারিস	o̯ a ɾ i ʃ
ওয়ালেদ	o̯ a l e d̪
ওয়ালেদা	o̯ a l e d̪ aˑ
ওয়াশিংটন	o̯ a ʃ i ŋ ʈ ɔ n
ওয়াস্তা	o̯ a s t̪ aˑ
ওয়াহেগুরু	o̯ a h e ɡ u ɾ uˑ
ওয়েবপেজ	o̯ e b p e d͡ʒ
ওয়েলস	o̯ e l s
ওয়েল্‌স্‌	o̯ e l s
ওরফে	o ɾ o f eˑ
ওরফে	o ɾ o pʰ eˑ
ওল	o l
ওল	oː l
ওলদ	o l o d̪
ওলন্দাজ	o l o n d̪ a d͡ʒ
ওলি	o l iˑ
ওশেনিয়া	o ʃ e n i̯ aˑ
ওষুধ	o ʃ u d̪
ওষ্ঠ্য	o ʂ ʈʰː oˑ
ওসমান	o s m a n
ওস্তাদ	o s t̪ a d̪
ওহাইও	o h a i̯ oˑ
ঔঁ	o m
ঔঁ	o ũ m
ঔঁ	oː m
ঔঁ	õ m
ঔষধ	o u̯ ʃ ɔ d̪
ক	k ɔː
ক	k ɔˑ
কংগ্রেস	k ɔ ŋ ɡ ɾ e s
কই	k o i̯
কওম	k ɔ o̯ m
কওয়া	k ɔ o̯ aˑ
কক্সবাজার	k ɔ k s b a d͡ʒ a ɾ
কক্সবাজার	k ɔ k s e s b a d͡ʒ a ɾ
কক্সবাজার	k ɔ k s e z b a d͡ʒ a ɾ
কক্সবাজার	k ɔ k s e z b a z a ɾ
কক্সবাজার	k ɔ ɡ z b a d͡ʒ a ɾ
কক্সবাজার	k ɔ ɡ z b a z a ɾ
কখন	k ɔ kʰ ɔ n
কখনো	k ɔ kʰ o n oˑ
কঙ্কাল	k ɔ ŋ k a l
কচু	k ɔ t͡ʃ uˑ
কচুয়া	k ɔ t͡ʃ u̯ aˑ
কচ্ছপ	k ɔ t͡ʃʰː ɔ p
কটা	k ɔ ʈ a
কঠিন	k o ʈʰ i n
কঠোর	k ɔ t̪ʰ o ɾ
কড়া	k ɔ ɽ aˑ
কড়া	k ɔ ɾ aˑ
কড়াই	k ɔ ɽ a i̯
কড়াই	k ɔ ɾ a i̯
কণা	k ɔ n aˑ
কণ্ঠ	k ɔ ɳ ʈʰ oˑ
কণ্ঠা	k ɔ ɳ ʈʰ aˑ
কণ্ঠ্য	k ɔ ɳ ʈʰ oˑ
কত	k ɔ t̪ oˑ
কথন	k ɔ t̪ʰ ɔ n
কথা	k ɔ t̪ʰ aˑ
কথাবার্তা	k ɔ t̪ʰ a b a ɾ t̪ aˑ
কথ্য	k o t̪ʰː oˑ
কদবেল	k ɔ d̪ b e l
কদম	k ɔ d̪ o m
কদম্ব	k ɔ d̪ o m b oˑ
কদম্বকুসুম	k ɔ d̪ o m b ɔ k u ʃ u m
কদর	k ɔ d̪ o ɾ
কদাচিৎ	k ɔ d̪ a t͡ʃ i t̪
কদু	k o d̪ uˑ
কনক	k ɔ n o k
কনকচাঁপা	k ɔ n o k t͡ʃ ã p aˑ
কনস্টান্টিনোপল	k ɔ n s ʈ a ɳ ʈ i n o p o l
কনুই	k o n u̯ iˑ
কন্যা	k o nː aˑ
কন্যা	k ɔ nː aˑ
কপাল	k ɔ p a l
কপি	k o p iˑ
কপিত্থ	k o p i t̪ʰː oˑ
কফ	k ɔ f
কফ	k ɔː f
কফি	k ɔ f iˑ
কবর	k ɔ b o ɾ
কবর	q ɔ b o ɾ
কবরস্থান	k ɔ b o ɾ ɔ s t̪ʰ a n
কবি	k o b iˑ
কবিতা	k o b i t̪ aˑ
কবুতর	k o b u t̪ ɔ ɾ
কবুল	k o b u l
কবে	k ɔ b eˑ
কম	k ɔ m
কম	k ɔː m
কমলা	k ɔ m l aˑ
কমলা	k ɔ m o l aˑ
কমা	k ɔ m a
কমানো	k ɔ m a n oˑ
কম্পিউটার	k ɔ m p i u̯ ʈ a ɾ
কম্পিউটিং	k ɔ m p i u̯ ʈ i ŋ
কম্বল	k ɔ m b o l
কয়	k ɔ e̯
কয়থ	k ɔ e̯ o t̪
কয়লা	k ɔ e̯ l aˑ
কয়লাখনি	k ɔ e̯ l a kʰ o n iˑ
কয়েক	k ɔ e k
কয়েক	k ɔ e̯ æ k
কয়েতবেল	k ɔ e̯ e t̪ b e l
কয়েথ	k ɔ e t̪
কয়েদ	k ɔ e d̪
কয়েদখানা	k ɔ e d̪ kʰ a n aˑ
কর	k ɔ ɾ
কর	k ɔː ɾ
করজ	k ɔ ɾ o z
করণ	k ɔ ɾ o n
করত	k ɔ ɾ t̪ oˑ
করতে	k o ɾ t̪ eˑ
করবে	k ɔ ɾ b eˑ
করবেন	k o ɾ b e n
করলে	k ɔ ɾ l eˑ
করা	k ɔ ɾ aˑ
করানো	k ɔ ɾ a n oˑ
করি	k o ɾ iˑ
করিম	k o ɾ i m
করুণা	k o ɾ u n aˑ
করুন	k o ɾ u n
করে	k ɔ ɾ eˑ
করেছিল	k ɔ ɾ e t͡ʃʰ i l oˑ
করেছিলেন	k ɔ ɾ e t͡ʃʰ i l e n
করেন	k ɔ ɾ e n
করো	k ɔ ɾ oˑ
করোনা	k ɔ ɾ o n aˑ
করোনাভাইরাস	k ɔ ɾ o n a bʱ a i̯ ɾ a s
করোনাভাইরাস	k ɔ ɾ o n a v a i̯ ɾ a s
কর্কট	k ɔ ɾ k ɔ ʈ
কর্জ	k ɔ ɾ d͡ʒ oˑ
কর্ণ	k ɔ ɾ n oˑ
কর্ণপাত	k ɔ ɾ n o p a t̪
কর্ণাটক	k ɔ ɾ n a ʈ ɔ k
কর্তৃকারক	k ɔ ɾ t̪ː ɾ i k a ɾ ɔ k
কর্তৃত্ব	k o ɾ t̪ː ɾ i t̪ː oˑ
কর্পূর	k ɔ ɾ p u ɾ
কর্বুর	k ɔ ɾ b u ɾ
কর্ম	k ɔ ɾ m oˑ
কারখানা	k a ɾ kʰ a n aˑ
কুকুর	k u k u ɹ
কুকুর	k u k u ɾ
কেন্দ্র	k e n d̪ː ɾ oˑ
কেবল	k e b ɔ l
কেবল	k ɛ b ɔ l
কেমন	k æ m o n
কেমন	k æ m ɔ n
কেয়ামত	k e a m ɔ t̪
কেয়ামত	k e̯ a m ɔ t̪
কেরল	k e ɾ ɔ l
কেরামত	k e ɾ a m ɔ t̪
কেরামতি	k e ɾ a m o t̪ iˑ
কেরালা	k e ɾ a l aˑ
কেরোসিন	k e ɾ o ʃ i n
কেল্লা	k e lː aˑ
কেল্লাফতে	k e lː a f o t̪ eˑ
কেষ্ট	k e ʂ ʈ o
কেষ্টবিষ্টু	k e ʂ ʈ o b i ʂ ʈ uˑ
কৈ	k o i̯
কোকিল	k o k i l
কোটি	k o ʈ̟ iˑ
কোঠা	k o ʈʰ aˑ
কোণ	k o n
কোণ	k oː n
কোত	k o t̪
কোতোয়াল	k o t̪ o̯ a l
কোথা	k o t̪ʰ aˑ
কোথাও	k o t̪ʰ a o̯
কোথায়	k o t̪ʰ a e̯
কোদাল	k o d̪ äˑ l
কোদালি	k o d̪ a l iˑ
কোন	k o n
কোন	k oː n
কোনখানে	k o n kʰ a n eˑ
কোনা	k o n a
কোনো	k o n oˑ
কোপতা	k o p t̪ aˑ
কোপ্তা	k o p t̪ aˑ
কোফতা	k o f t̪ aˑ
কোফতা	k o p t̪ aˑ
কোফতা	k o pʰ t̪ aˑ
কোমর	k o m o ɾ
কোমল	k o m o l
কোমলাস্থি	k o m o l a s t̪ʰ iˑ
কোল	k o l
কোল	k oː l
কোলবালিশ	k o l b a l i ʃ
কোশ	k oː s̠
কোশেশ	k o ʃ e ʃ
কোষ	k o ʃ
কোষ	k oː ʃ
কোষ্টা	k o ʂ ʈ aˑ
কোহিনূর	k o h i n u ɾ
কৌঁসুলি	k o ũ ʃ u l iˑ
কৌমুদী	k o u̯ m u d̪ iˑ
কৌলিক	k o u̯ l iˑ k
কৌশল	k o u̯ ʃ ɔ l
কৌশল্যা	k o u̯ ʃ ɔ lː aˑ
ক্বিবলা	k i b l aˑ
ক্যা	k æː
ক্যা	k æˑ
ক্যাঁ	k æ̃ˑ
ক্যাঁচাল	k æ̃ t͡ʃ a l
ক্যাঁয়চি	k æ̃ e̯ t͡ʃ iˑ
ক্যানোপাস	k æ n o p a s
ক্যান্ডি	k æ ɳ ɖ iˑ
ক্যামেরা	k æ m e ɾ aˑ
ক্যালগারি	k æ l ɡ a ɾ iˑ
ক্যালিফর্নিয়া	k æ l i f o ɾ n i̯ aˑ
ক্যালিফর্নিয়া	k æ l i f ɔ ɾ n i̯ aˑ
ক্যালিফোর্নিয়া	k æ l i f o ɾ n i̯ aˑ
ক্যালিফোর্নিয়াবাসী	k æ l i f o ɾ n i̯ a b a ʃ iˑ
ক্রমাগত	k ɾ ɔ m a ɡ ɔ t̪ oˑ
ক্রিকেট	k i k e ʈ
ক্রিকেট	k ɾ i k e ʈ
ক্রিয়া	k ɾ i̯ aˑ
ক্রিয়াপদ	k ɾ i̯ a p ɔ d̪
ক্রুশ	k ɾ u ʃ
ক্রুশ	k ɾ uː ʃ
ক্রোধ	k ɾ o d̪
ক্রোশ	k ɾ o ʃ
ক্রোশ	k ɾ oː ʃ
ক্লম	k l o m
ক্লম	k l oː m
ক্লান্তি	k l a n t̪ iˑ
ক্লাসরুম	k l a ʃ o ɾ u m
ক্ষত	kʰ ɔ t̪ oˑ
ক্ষতি	kʰ o t̪ iˑ
ক্ষতিকর	kʰ o t̪ i k ɔ ɾ
ক্ষত্রিয়	kʰ o t̪ː ɾ i̯ oˑ
ক্ষমতা	kʰ ɔ m o t̪ aˑ
ক্ষমতাশালী	kʰ ɔ m o t̪ a ʃ a l iˑ
ক্ষমা	kʰ ɔ m aˑ
ক্ষমাহীন	kʰ ɔ m a h i n
ক্ষার	kʰ a ɾ
ক্ষার	kʰ aː ɾ
ক্ষারমৃত্তিকা	kʰ a ɾ ɔ m ɾ i t̪ː i k aˑ
ক্ষীর	kʰ i ɾ
ক্ষীর	kʰ iː ɾ
ক্ষুদ্র	kʰ u d̪ː ɾ oˑ
ক্ষুধা	kʰ u d̪ aˑ
ক্ষুধা	kʰ u d̪ʱ aˑ
ক্ষুধার্ত	kʰ u d̪ a ɾ t̪ oˑ
ক্ষুধার্ত	kʰ u d̪ʱ a ɾ t̪ oˑ
ক্ষেত্র	kʰ e t̪ː ɾ oˑ
ক্ষেপ	kʰ e p
ক্ষেপ	kʰ eː p
ক্ষ্বীর	kʰ i ɾ
ক্ষ্বীর	kʰ iː ɾ
কৎ	k ɔ t̪
কৎবেল	k ɔ t̪ b e l
খঞ্জর	kʰ ɔ n d͡ʒ ɔ ɾ
খড়	kʰ ɔ ɽ
খড়্গ	kʰ ɔ ɖ ɡ oˑ
খড়্গ	kʰ ɔ ɽ ɡ oˑ
খড়্গ	kʰ ɔ ɾ ɡ oˑ
খণ্ড	kʰ ɔ ɳ ɖ oˑ
খতম	kʰ ɔ t̪ o m
খতরা	kʰ ɔ t̪ː ɾ aˑ
খত্তম	kʰ ɔ t̪ː o m
খত্তম	x ɔ t̪ː o m
খত্ম	kʰ ɔ t̪ː oˑ
