aa	aː
achete	t͡ʃ ɛː t
acheten	a t͡ʃ ɛː t ə n
acheten	t͡ʃ ɛː t ə n
acordaunt	a k ɔː r d a u̯ n t
acordaunt	a k ɔ r d a u̯ n t
acordingli	a k ɔː r d i n ɡ l iː
acordingli	a k ɔ r d i n ɡ l iː
acorn	a k ə r n
acorn	a k ə r
acorn	aː k ə r n
acorn	aː k ə r
acorn	aː k oː r n
acorn	a k oː r n
acorn	a t͡ʃ ə r n
acounte	a k uː n t ə
acounte	a k uː n t
acounten	a k uː n t ə n
acqueren	a k w eː r ə n
acquerne	aː k w ɛ r n ə
acquerne	aː k w ɛ r n
acquerne	ɔː k w ɛ r n ə
acquerne	ɔː k w ɛ r n
acresen	a k r ɛː s ə n
acresen	a k r ɛ s ə n
acrewen	a k r i u̯ ə n
acros	a k r ɔ s
acte	a k t ə
acte	a k t
acten	a k t ə n
actour	a k t uː r
actour	a k t u r
actual	a k t i u̯ ɛː l
actual	a k t i u̯ ɛ l
actual	a k t i u̯ a l
actual	a k t i u̯ a l
actually	a k t i u̯ a l l iː
actually	a k t i u̯ a l iː
actually	a k t i u̯ a l iː
actually	a k t i u̯ ɛː l iː
actually	a k t i u̯ ɛ l iː
actyf	a k t iː f
actyf	a k t i f
actyf	a k t iː v ə
actyf	a k t iː v
actyf	a k t i v ə
actyf	a k t i v
actyvely	a k t i f l iː
actyvely	a k t i v ə l iː
actyvely	a k t i v l iː
acustumaunce	a k u s t u m a u̯ n s ə
acustumaunce	a k u s t u m a u̯ n s
Adam	a d aː m
Adam	a d a m
adamant	a d ə m a n t
adamant	a d ə m a u̯ n t
adamant	a d ə m a n t
adamant	a d ə m a u̯ n t
adamantine	a d ə m a u̯ n t iː n ə
adamantine	a d ə m a u̯ n t iː n
adamantine	a d ə m a n t iː n ə
adamantine	a d ə m a n t iː n
adamantine	a d ə m a u̯ n t iː n ə
adamantine	a d ə m a u̯ n t iː n
adamantine	a d ə m a n t iː n ə
adamantine	a d ə m a n t iː n
adamas	a d ə m aː s
adamas	a d ə m a s
adawe	a d a u̯ ə
adawe	a d a u̯
adawen	a d a u̯ ə n
addre	a d r ə
addre	a d ə r
addre	ɛ d r ə
addre	ɛ d ə r
adel	a d ə l
adighten	a d i x t ə n
adighten	a d iː x t ə n
adle	aː d ə l
adle	a d ə l
adle	ɔː d ə l
administren	a d m i n i s t r ə n
adoun	a d uː n
adreden	a d r ɛ̝ː d ə n
adreden	a d r eː d ə n
adressen	a d r ɛ s ə n
adversite	a d v ɛ r s i t eː
adversite	a d v ɛ r s i t eː
advertisen	a d v ɛ r t iː z ə n
advertisen	a v ɛ r t iː z ə n
advocatrice	a d v ɔ k a t r iː s ə
advocatrice	a d v ɔ k a t r iː s
advocatrice	a d v ɔ k a t r i s ə
advocatrice	a d v ɔ k a t r i s
ærfeðnesse	a r v ə ð n ɛ s
afeld	a f eː l d
afer	a f ɛ r
afered	a f ɛː r ɛ d
afered	a f ɛː r d
affermen	a f ɛ r m ə n
affermour	a f ɛ r m u r
affermour	a f ɛ r m ə r
affermynge	a f ɛ r m i n ɡ ə
affermynge	a f ɛ r m i n ɡ
affodill	a f ɔ d i l
affodill	a f ə d i l
afore	a f ɔː r ə
afore	a f ɔː r
aforthen	a f ɔ r ð ə n
aforthen	a f oː r ð ə n
afraynen	a f r æ i̯ n ə n
afrounten	a f r uː n t ə n
afrounten	a f r u n t ə n
after	a f t ə r
after	ɛ f t ə r
afterward	a f t ə r w a r d
agame	a ɡ aː m ə
agame	a ɡ aː m
agasten	a ɡ a s t ə n
agasten	a ɡ ɛ s t ə n
agasten	a ɡ ɛː s t ə n
agate	a ɡ aː t ə
agate	a ɡ aː t
agayn	a ɡ æ i̯ n
agayn	a j æ i̯ n
agayn	a j eː n
age	aː d͡ʒ ə
age	aː d͡ʒ
agen	aː d͡ʒ ə n
agon	a ɡ ɔː n
agre	a ɡ r eː
agreable	a ɡ r eː aː b ə l
agreable	a ɡ r eː aː b ə l
agreablely	a ɡ r eː aː b ə l iː
agreablely	a ɡ r eː aː b l iː
agreablely	ə ɡ r eː aː b ə l iː
agreablely	ə ɡ r eː aː b l iː
agreen	a ɡ r eː ə n
agrement	a ɡ r eː m ɛ n t
agrement	a ɡ r ə m ɛ n t
agrement	a ɡ r eː m ɛ n t
aide	æ i̯ d ə
aide	æ i̯ d
aiden	æ i̯ d ə n
aire	æ i̯ r
aken	aː k ə n
aken	ɛː k ə n
akennednesse	a k ɛ n ɛ d n ɛ s ə
akennednesse	a k ɛ n ɛ d n ɛ s
aker	aː k ə r
aker	a k ə r
aketoun	a k ɛ t uː n
aketoun	a k ɛ t u n
aketoun	a k t u n
aknowen	a k n ɔ u̯ ə n
al	a l
al	a u̯ l
alabastre	a l ə b a s t r ə
alabastre	a l ə b a s t ə r
alabastre	a l ə b l a s t ə r
alder	a l d ə r
alderman	a l d ə r m a n
aldre	a l d ə r
aldre	a l ə r
aldre	a l d r ə
aldre	a l r ə
ale	aː l ə
ale	aː l
aleden	a l ɛː d ə n
alegiaunce	a l eː d ʒ a u̯ n s ə
alegiaunce	a l eː d ʒ a u̯ n s
alegiaunce	a l eː d ʒ a n s ə
alegiaunce	a l eː d ʒ a n s
alegiaunce	a l iː d ʒ a u̯ n s ə
alegiaunce	a l iː d ʒ a u̯ n s
alegiaunce	a l iː d ʒ a n s ə
alegiaunce	a l iː d ʒ a n s
alegiaunce	a l eː d ʒ a u̯ n s ə
alegiaunce	a l eː d ʒ a u̯ n s
alegiaunce	a l eː d ʒ a n s ə
alegiaunce	a l eː d ʒ a n s
alegiaunce	a l iː d ʒ a u̯ n s ə
alegiaunce	a l iː d ʒ a u̯ n s
alegiaunce	a l iː d ʒ a n s ə
alegiaunce	a l iː d ʒ a n s
alehous	aː l ə h uː s
alehous	aː l h uː s
aleye	a l æ i̯ ə
aleye	a l æ i̯
aleye	a l æ i̯ ə
aleye	a l æ i̯
aleye	aː l æ i̯
aleye	aː l æ i̯
alger	a l ɡ ə r
alger	ɛ l ɡ ə r
alien	aː l i ɛː n
alien	aː l i ɛ n
alien	aː l i ə n
alien	aː l i a n t
alien	aː l i a u̯ n t
alienacioun	a l i ə n aː s i uː n
alienacioun	a l i ə n aː s j uː n
alienacioun	a l i ə n aː s j u n
alienat	aː l i ɛː n aː t
alienat	aː l i ɛ n aː t
alienat	aː l i ə n aː t
alienen	aː l i ɛː n ə n
alienen	aː l i ɛ n ə n
alienen	aː l i ə n ə n
alienyng	aː l i ɛː n i n ɡ
alienyng	aː l i ɛ n i n ɡ
alienyng	aː l i ə n i n ɡ
aline	a l iː n ə
aline	a l iː n
all	a l
alliaunce	a l iː a u̯ n s ə
alliaunce	a l iː a u̯ n s
alliaunce	a l iː a n s ə
alliaunce	a l iː a n s
alliaunce	a l iː a u̯ n s ə
alliaunce	a l iː a u̯ n s
alliaunce	a l iː a n s ə
alliaunce	a l iː a n s
allie	a l iː ə
allie	a l iː
allien	a l iː ə n
allone	a l ɔ̝ː n
almaunden	a l m a u̯ n d ə n
almerie	a m ə r iː ə
almerie	a m ə r iː
almerie	a m r iː ə
almerie	a m r iː
almerie	a u̯ m ə r iː ə
almerie	a u̯ m ə r iː
almerie	a u̯ m r iː ə
almerie	a u̯ m r iː
almerie	a l m ə r iː ə
almerie	a l m ə r iː
almerie	a l m r iː ə
almerie	a l m r iː
almesse	a l m ɛ s ə
almesse	a l m ɛ s
almesse	a l m ə s ə
almesse	a l m ə s
almesse	ɛ l m ɛ s ə
almesse	ɛ l m ɛ s
almesse	ɛ l m ə s ə
almesse	ɛ l m ə s
almesse	a l m u s
almond	a l m ɔ n d
almond	a l m a u̯ n d
almond	a l m a n d
almond	a l m ɔ u̯ n d
almost	a l m ɔː s t
almyghty	a l m i x t iː
alonnesse	a l ɔː n ɛ s ə
alonnesse	a l ɔː n ɛ s
alowe	a l ɔ u̯
alowe	a l ɔː x
alowe	a l ɔ u̯ x
alredy	a l r ɛː d iː
alsone	a l s oː n ə
alsone	a l s oː n
altercacioun	a l t ə r k aː s i uː n
altercacioun	a l t ə r k aː s j u n
althing	a l θ i n ɡ
alwey	a l w æ i̯
alweyes	a l w æ i̯ ə s
alweyes	a l w æ i̯ s
alym	a l i u̯ m
alym	a l iː m
alym	a l u m
alym	a l i m
alym	a l ə m
alyve	a l iː v ə
alyve	a l iː v
alyve	ɔ l iː v ə
alyve	ɔ l iː v
am	a m
am	ɛ m
amad	a m a d
amad	a m ɛ d
amased	a m aː z ə d
amased	a m aː z d
ambicioun	a m b i s i uː n
ambicioun	a m b i s j u n
ambicious	a m b i s i uː s
ambicious	a m b i s j u s
amblen	a m b l ə n
amblen	a u̯ m b l ə n
amblere	a m b l ə r ə
amblere	a m b l ə r
amblere	a u̯ m b l ə r ə
amblere	a u̯ m b l ə r
ambre	a m b ə r
ambre	a m ə r
ame	aː m ə
ame	aː m
amen	aː m ɛː n
amen	aː m ɛ n
amerren	a m ɛ r ə n
amerren	a m a r r ə n
amerren	a m a r r ə
amerren	a m u r r ə
ameven	a m eː v ə n
ameven	a m oː v ə n
amiral	a m i r a l
amiral	a m i r a l
among	a m ɔ n ɡ
amorette	a m u r ɛ t ə
amorette	a m u r ɛ t
amorette	a m u r ɛ t ə
amorette	a m u r ɛ t
amorous	a m u r uː s
amorous	a m u r u s
amorous	a m ə r uː s
amorous	a m ə r u s
amorously	a m u r uː s l iː
amorously	a m u r u s l iː
amorously	a m ə r uː s l iː
amorously	a m ə r u s l iː
amounten	a m uː n t ə n
amour	a m uː r
amour	a m u r
ample	a m p ə l
ample	ɛ m p ə l
amplifiyen	a m p l i f iː ə n
ampte	a m p t ə
ampte	a m p t
ampte	ɛ m p t ə
ampte	ɛ m p t
ampte	a m ə t ə
ampte	a m ə t
ampte	a m t ə
ampte	a m t
ampte	ɛ m ə t ə
ampte	ɛ m ə t
ampte	ɛ m t ə
ampte	ɛ m t
ampte	a n t
ampte	a u̯ n t
amyable	aː m i aː b ə l
an	a n
an	a
ancle	a n k ə l
ancle	a n k l eː
and	a n d
and	a n
and	ɛ n
anentes	a n ɛ n t ɛ s
anentes	a n ɛ n t
anentes	a n ɛ n s
anentes	a n ɛ n s t
ange	a n ɡ ə
ange	a n ɡ
ange	aː n ɡ ə
ange	aː n ɡ
angelik	a u̯ n d ʒ ɛ l iː k
angelik	a n d ʒ ɛ l iː k
anger	a n ɡ ə r
angerly	a n ɡ ə r l iː
angerly	a n ɡ ə r l i t ʃ ə
angerly	a n ɡ ə r l i t ʃ
angren	a n ɡ ə r ə n
angren	a n ɡ r ə n
angrily	a n ɡ r iː l iː
angrily	a n ɡ r iː l iː t ʃ ə
angrily	a n ɡ r iː l iː t ʃ
angry	a n ɡ r iː
angrynes	a n ɡ r iː n ɛ s
angwischen	a n ɡ w i ʃ ə n
angwischen	a n ɡ u i̯ ʃ ə n
angwischen	a n ɡ w i s ə n
angwischous	a n ɡ w i ʃ uː s
angwischous	a n ɡ u i̯ ʃ uː s
angwischous	a n ɡ w i s uː s
angwischous	a n ɡ w i ʃ u s
angwischous	a n ɡ u i̯ ʃ u s
angwischous	a n ɡ w i s u s
angwissh	a n ɡ w i ʃ ə
angwissh	a n ɡ w i ʃ
angwissh	a n ɡ u i̯ ʃ ə
angwissh	a n ɡ u i̯ ʃ
angwissh	a n ɡ w i s ə
angwissh	a n ɡ w i s
ani	a n iː
ani	ɛ n iː
ani	ɔ n iː
ani	ɑː n iː
ani	ɛː n iː
anientishen	a n eː n t i ʃ ə n
animal	a n i m aː l
animal	a n i m a l
animate	a n i m aː t
ankre	a n k r ə
ankre	a n k ə r
anoy	a n u i̯
anoy	a n iː
anoy	a n yː
anoyaunce	a n u i̯ a u̯ n s ə
anoyaunce	a n u i̯ a u̯ n s
anoyaunce	a n u i̯ a n s ə
anoyaunce	a n u i̯ a n s
anoyaunce	a n u i̯ a u̯ n s ə
anoyaunce	a n u i̯ a u̯ n s
anoyaunce	a n u i̯ a n s ə
anoyaunce	a n u i̯ a n s
anoyen	a n u i̯ ə n
anoyen	a n iː ə n
anoyen	a n yː ə
anoyen	a n yː
anoyous	a n u i̯ uː s
anoyous	a n u i̯ u s
answere	a n d s w ɛ̞ː r ə
answere	a n d s w ɛ̞ː r
answere	a n s w ɛ̞ː r ə
answere	a n s w ɛ̞ː r
answere	a n d s w aː r ə
answere	a n d s w aː r
answere	a n s w aː r ə
answere	a n s w aː r
answeren	a n d s w ɛ̞ː r ə n
answeren	a n s w ɛ̞ː r ə n
answeren	a n d s w aː r ə n
answeren	a n s w aː r ə n
answerynge	a n d s w ɛ̞ː r i n ɡ ə
answerynge	a n d s w ɛ̞ː r i n ɡ
answerynge	a n s w ɛ̞ː r i n ɡ ə
answerynge	a n s w ɛ̞ː r i n ɡ
answerynge	a n d s w aː r i n ɡ ə
answerynge	a n d s w aː r i n ɡ
answerynge	a n s w aː r i n ɡ ə
answerynge	a n s w aː r i n ɡ
antecessour	a n t ɛ s ɛ s uː r
antecessour	a n t ɛ s ɛ s u r
Antecrist	a n t ɛ k r iː s t
Antecrist	a n t i k r iː s t
antelope	a n t ə l ɔː p
antelope	a n t ə l ɔ p
anteme	a n t eː m ə
anteme	a n t eː m
anteme	a n t ɛ m ə
anteme	a n t ɛ m
anteme	a n t i m ə
anteme	a n t i m
anteme	a n t ɛ m p n ə
anteme	a n t ɛ m p n
anteme	a n t ɛ m n ə
anteme	a n t ɛ m n
anteme	a n t ɛ v ə n ə
anteme	a n t ɛ v ə n
antiquyte	a n t i k w i t eː
antiquyte	a n t i k w i t eː
anvelt	a n f ɛ l t ə
anvelt	a n f ɛ l t
anvelt	a n v ɛ l t ə
anvelt	a n v ɛ l t
anys	a n iː s
anys	a n i s
ape	aː p ə
ape	aː p
apocalips	a p ɔ k a l i p s ə
apocalips	a p ɔ k a l i p s
apocalips	ə p ɔ k a l i p s ə
apocalips	ə p ɔ k a l i p s
apocalips	a p ɔ k a l i p s i s
appel	a p ə l
appel	ɛ p ə l
appeltre	a p ə l t r eː
appeltre	a p ə l t r i u̯
appenden	a p ɛ n d ə n
apposicioun	a p ɔː z i s i uː n
apposicioun	a p ɔː z i s j u n
Aprill	aː p r iː l
Aprill	a p r iː l
Aprill	aː p r i l
aproven	a p r uː v ə n
aqueyntaunce	a k w æ i̯ n t a u̯ n s ə
aqueyntaunce	a k w æ i̯ n t a u̯ n s
aqueyntaunce	a k w æ i̯ n t a n s ə
aqueyntaunce	a k w æ i̯ n t a n s
aqueyntaunce	a k w æ i̯ n t a u̯ n s ə
aqueyntaunce	a k w æ i̯ n t a u̯ n s
aqueyntaunce	a k w æ i̯ n t a n s ə
aqueyntaunce	a k w æ i̯ n t a n s
aqueyntaunce	a k w u i̯ n t a u̯ n s ə
aqueyntaunce	a k w u i̯ n t a u̯ n s
aqueyntaunce	a k w u i̯ n t a n s ə
aqueyntaunce	a k w u i̯ n t a n s
aqueyntaunce	a k u i̯ n t a u̯ n s ə
aqueyntaunce	a k u i̯ n t a u̯ n s
aqueyntaunce	a k u i̯ n t a n s ə
aqueyntaunce	a k u i̯ n t a n s
aqueyntaunce	a k w u i̯ n t a u̯ n s ə
aqueyntaunce	a k w u i̯ n t a u̯ n s
aqueyntaunce	a k w u i̯ n t a n s ə
aqueyntaunce	a k w u i̯ n t a n s
aqueyntaunce	a k u i̯ n t a u̯ n s ə
aqueyntaunce	a k u i̯ n t a u̯ n s
aqueyntaunce	a k u i̯ n t a n s ə
aqueyntaunce	a k u i̯ n t a n s
aqueyntaunce	a k w i n t a n s
aqueyntaunce	a k w i n t a n s
aqueynten	a k w æ i̯ n t ə n
arable	a r aː b ə l
aray	a r æ i̯
arayne	a r æ i̯ n ə
arayne	a r æ i̯ n
arayne	a r aː n ə
arayne	a r aː n
arayne	i r æ i̯ n ə
arayne	i r æ i̯ n
arayne	a r ɛ n ə
arayne	a r ɛ n
arayne	a r i n ə
arayne	a r i n
ardaunt	a r d a u̯ n t
ardaunt	a r d a n t
ardaunt	a r d a u̯ n t
ardaunt	a r d a n t
ardaunt	a r d ɛ n t
ardaunt	a r d ɛ n t
ardauntly	a r d a u̯ n t l iː
ardauntly	a r d a n t l iː
ardauntly	a r d a u̯ n t l iː
ardauntly	a r d a n t l iː
ardauntly	a r d ɛ n t l iː
ardauntly	a r d ɛ n t l iː
ardour	a r d uː r
ardour	a r d u r
aredden	a r ɛ d ə n
aren	aː r ə n
aren	a r ə n
areynen	a r æ i̯ n ə n
areynen	a r ɛː n ə n
areynen	a r æ i̯ n ə n
argh	a r x
argh	a r ɛ u̯
argh	a r ɔ u̯
arghly	a r x l iː
arghly	a r w ə l iː
arghly	a r ɛ u̯ l i t͡ʃ ə
arghly	a r ɛ u̯ l i t͡ʃ
arghnesse	a r x n ɛ s ə
arghnesse	a r x n ɛ s
arghnesse	a r w ə n ɛ s ə
arghnesse	a r w ə n ɛ s
arȝen	a r x ə n
arȝen	a r x j ə n
arȝen	a r ə w ə n
arisen	a r iː z ə n
ariste	a r iː s t ə
ariste	a r iː s t
ariste	a r i s t ə
ariste	a r i s t
ariste	ɛ̝ː r iː s t
arke	a r k
arm	a r m
arm	aː r ə m
arm	aː r m
armee	a r m eː
armure	a r m i u̯ r ə
armure	a r m i u̯ r
armure	a r m u r ə
armure	a r m u r
armure	a r m ə r ə
armure	a r m ə r
armurer	a r m i u̯ r ɛ r
armurer	a r m u r ə r
armurer	a r m ə r ə r
armurie	a r m i u̯ r iː ə
armurie	a r m i u̯ r iː
armurie	a r m u r iː ə
armurie	a r m u r iː
armurie	a r m u r iː ə
armurie	a r m u r iː
armurie	a r m ə r iː ə
armurie	a r m ə r iː
armyng	a r m i n ɡ ə
armyng	a r m i n ɡ
aron	aː r ɔ n
aroume	a r uː m ə
aroume	a r uː m
arounde	a r uː n d
ars	a r s
ars	ɛː r s
ars	r z
arsoun	a r s uː n
arsoun	a r s u n
art	a r t
art	a r t
art	aː r t
art	aː r t
art	a r t
artificer	a r t i f ə s ɛː r
Artoys	a r t ɔ i̯ s
arveð	a r v ə ð ə
arveð	a r v ə ð
arveðlich	a r v ə ð l iː t ʃ
arveðliche	a r v ə ð l iː t ʃ ə
arveðliche	a r v ə ð l iː t ʃ
arwe	a r w ə
arwe	a r ɔ u̯ ə
arwe	a r ɔ u̯
arwe	a r uː
arwe	a r i u̯ ə
arwe	a r i u̯
as	a s
as	aː s
Aschewednysday	a ʃ w ɛ d n ə z d ɛ i
Aschewednysday	a ʃ w ɛ d n z d ɛ i
Aschewednysday	a ʃ w ɛ n ə z d ɛ i
Aschewednysday	a ʃ w ɛ n z d ɛ i
Aschewednysday	a s k w ɛ d n ə z d ɛ i
Aschewednysday	a s k w ɛ d n z d ɛ i
Aschewednysday	a s k w ɛ n ə z d ɛ i
Aschewednysday	a s k w ɛ n z d ɛ i
aserchen	a s ɛː r t͡ʃ ə n
aserchen	a s ɛ r t͡ʃ ə n
ashore	a ʃ ɔː r ə
aske	a s k ə
aske	a s k
asken	a s k ə n
asken	a k s ə n
asken	ɔ k s i ə n
asken	ɔ k s iː
asker	a s k ə r ə
asker	a s k ə r
asker	a k s ə r ə
asker	a k s ə r
askynge	a s k i n ɡ ə
askynge	a s k i n ɡ
askynge	a k s i n ɡ ə
askynge	a k s i n ɡ
aslepe	a s l ɛ̝ː p ə
aslepe	a s l ɛ̝ː p
aslepe	a s l eː p ə
aslepe	a s l eː p
aspe	a s p ə
aspe	a s p
aspe	ɛ s p ə
aspe	ɛ s p
aspe	a s p ə
aspe	a s p
aspide	a s p i d ə
aspide	a s p i d
assaile	a s æ i̯ l ə
assaile	a s æ i̯ l
assailen	a s æ i̯ l ə n
assailen	s æ i̯ l ə n
assailour	a s æ i̯ l uː r
assailour	a s æ i̯ l ə r
assailynge	a s æ i̯ l i n ɡ ə
assailynge	a s æ i̯ l i n ɡ
assailynge	s æ i̯ l i n ɡ ə
assailynge	s æ i̯ l i n ɡ
assay	a s æ i̯
assay	a s æ i̯
assay	s æ i̯
assayen	a s æ i̯ ə n
assayen	a s æ i̯ ə n
assayen	s æ i̯ ə n
assaynge	a s æ i̯ i n ɡ ə
assaynge	a s æ i̯ i n ɡ
assaynge	a s æ i̯ i n ɡ ə
assaynge	a s æ i̯ i n ɡ
assayour	a s æ i̯ uː r
assayour	a s æ i̯ ə r
assayour	a s æ i̯ ə r
asse	a s ə
asse	a s
asseth	a s eː θ
asseth	a s eː θ
asseth	s eː θ
assethen	a s eː θ ə n
asshe	a ʃ ə
asshe	a ʃ
asshe	ɛ ʃ ə
asshe	ɛ ʃ
asshe	a s k ə
asshe	a s k
asshe	a k s ə
asshe	a k s
asshe	a ʃ
asshe	ɛ ʃ
assheler	a ʃ ə l ə r
assheler	a ʃ l ə r
asshen	a ʃ ə n
asshen	ɛ ʃ ə n
asshen	a ʃ ə n
asshen	a k s ə n
asshy	a ʃ iː
asshy	a s k iː
assise	a s iː z ə
assise	a s iː z
astonen	a s t u n ə n
astoneyen	a s t u n æ i̯ ə n
astoneyen	a s t u n i ə n
astranglen	a s t r a n ɡ l ə n
asure	a z i u̯ r
asure	aː z i u̯ r
aswagen	a s w aː d͡ʒ ə n
asweved	a s w ɛː v ɛ d
atamen	a t aː m ə n
atazir	a t a z iː r
atberen	a t b ɛ̞ː r ə n
atbreken	a t b r ɛ̞ː k ə n
atbresten	a t b r ɛ s t ə n
atbresten	a t b ɛ r s t ə n
athem	a ð ə m
athirst	a θ i r s t
athirst	a θ u r s t
athirst	a θ r i s t
athirst	a f u r s t
atter	a t ə r
attren	a t r ə n
attry	a t ə r iː
attry	a t r iː
auctorite	a u̯ t ɔ r i t eː
auctorite	a u̯ k t ɔ r i t eː
auctour	a u̯ t uː r
auctour	a u̯ k t uː r
auctour	a u̯ t oː r
auctour	a u̯ t ə r
augrym	a u̯ ɡ r iː m ə
augrym	a u̯ ɡ r iː m
augrym	a u̯ ɡ r i m ə
augrym	a u̯ ɡ r i m
augrym	a l ɡ ɔ r i z m ə
augrym	a l ɡ ɔ r i z m
augrym	a l ɡ ɔ r i z ə m
augrym	a l ɡ ɔ r iː m ə
augrym	a l ɡ ɔ r iː m
aumbre	a u̯ m b r ə
aumbre	a m b r ə
auncessour	a u̯ n s ə s uː r
auncessour	a n s ə s uː r
auncessour	a u̯ n s ə s u r
auncessour	a n s ə s u r
auncestre	a u̯ n s ɛ s t r ə
auncestre	a n s ɛ s t r ə
auncestre	a u̯ n s ɛ t r ə
auncestre	a n s ɛ t r ə
auncestre	a u̯ n s ɛ s t ə r
auncestre	a n s ɛ s t ə r
auncestre	a u̯ n s ɛ t ə r
auncestre	a n s ɛ t ə r
auncestrie	a u̯ n s ɛ s t r iː ə
auncestrie	a u̯ n s ɛ s t r iː
auncestrie	a n s ɛ s t r iː ə
auncestrie	a n s ɛ s t r iː
auncestrie	a u̯ n s ɛ t r iː ə
auncestrie	a u̯ n s ɛ t r iː
auncestrie	a n s ɛ t r iː ə
auncestrie	a n s ɛ t r iː
auncestrie	a u̯ n s ɛ s t r iː ə
auncestrie	a u̯ n s ɛ s t r iː
auncestrie	a n s ɛ s t r iː ə
auncestrie	a n s ɛ s t r iː
auncestrie	a u̯ n s ɛ t r iː ə
auncestrie	a u̯ n s ɛ t r iː
auncestrie	a n s ɛ t r iː ə
auncestrie	a n s ɛ t r iː
aundire	a u̯ n d iː r ə
aundire	a u̯ n d iː r
aundire	a u̯ n d eː r ə
aundire	a u̯ n d eː r
aundire	a u̯ n d iː r ə n
aundire	a u̯ n d iː r n
aundire	a u̯ n d ə r n
aunen	a u̯ n ə n
aungel	a u̯ n d͡ʒ ə l
aungel	a n d͡ʒ ə l
aungel	aː n d͡ʒ ə l
aunte	a u̯ n t ə
aunte	a u̯ n t
aunte	a n t ə
aunte	a n t
auntelere	a u̯ n t ə l eː r
auntelere	a u̯ n t l eː r
auntelere	a u̯ n t ə l ə r
auntelere	a u̯ n t l ə r
auntelere	a n t ə l ə r
auntelere	a n t l ə r
auripigment	a u̯ r i p i ɡ m ɛ n t
autumpne	a u̯ t u m p n ə
autumpne	a u̯ t u m p n
autumpne	a u̯ t u m n ə
autumpne	a u̯ t u m n
autumpne	a u̯ t u m p n ə
autumpne	a u̯ t u m p n
autumpne	a u̯ t u m n ə
autumpne	a u̯ t u m n
autumpne	a u̯ t u m ə
autumpne	a u̯ t u m
avalen	a v aː l ə n
avauncen	a v a u̯ n s ə n
avel	aː v ə l
avel	a v ə l
aventure	a v ə n t i u̯ r ə
aventure	a v ə n t i u̯ r
aventure	a v ə n t u r ə
aventure	a v ə n t u r
