A	a
Adżarią	a d͡ʐ a r j ɔ w̃
Adżarka	a d͡ʐ a r k a
Adżarką	a d͡ʐ a r k ɔ w̃
Adżman	a d͡ʐ m a n
Aecjusz	a ɛ t͡s j u ʂ
Afar	a f a r
Afgance	a v ɡ a n t͡s ɛ
Afganek	a v ɡ a n ɛ k
Afganistan	a v ɡ a ɲ i s t a n
Afganka	a v ɡ a n k a
Afgankach	a v ɡ a n k a x
Afgankami	a v ɡ a n k a m i
Afganki	a v ɡ a n k i
Afganko	a v ɡ a n k ɔ
Afgankom	a v ɡ a n k ɔ m
Afganką	a v ɡ a n k ɔ w̃
Afgankę	a v ɡ a n k ɛ
Afgankę	a v ɡ a n k ɛ w̃
Afgańczyk	a v ɡ a ɲ t͡ʂ ɘ k
Afroamerykanin	a f r ɔ a m ɛ r ɘ k a ɲ i n
Afroamerykanka	a f r ɔ a m ɛ r ɘ k a n k a
Afroamerykanką	a f r ɔ a m ɛ r ɘ k a ŋ k ɔ w̃
Afrodyta	a f r ɔ d ɘ t a
Afrodytą	a f r ɔ d ɘ t ɔ w̃
Afryce	a f r ɘ t͡s ɛ
Afryka	a f r ɘ k a
Afrykan	a f r ɘ k a n
Afrykanach	a f r ɘ k a n a x
Afrykanami	a f r ɘ k a n a m i
Afrykance	a f r ɘ k a n t͡s ɛ
Afrykanek	a f r ɘ k a n ɛ k
Afrykanie	a f r ɘ k a ɲ ɛ
Afrykanin	a f r ɘ k a ɲ i n
Afrykanina	a f r ɘ k a ɲ i n a
Afrykaninem	a f r ɘ k a ɲ i n ɛ m
Afrykaninie	a f r ɘ k a ɲ i ɲ ɛ
Afrykaninowi	a f r ɘ k a ɲ i n ɔ v i
Afrykanka	a f r ɘ k a n k a
Afrykankach	a f r ɘ k a n k a x
Afrykankami	a f r ɘ k a n k a m i
Afrykanki	a f r ɘ k a n k i
Afrykanko	a f r ɘ k a n k ɔ
Afrykankom	a f r ɘ k a n k ɔ m
Afrykanką	a f r ɘ k a n k ɔ w̃
Afrykankę	a f r ɘ k a n k ɛ
Afrykankę	a f r ɘ k a n k ɛ w̃
Afrykanom	a f r ɘ k a n ɔ m
Afrykańczyk	a f r ɘ k a ɲ t͡ʂ ɘ k
Afryki	a f r ɘ k i
Afryko	a f r ɘ k ɔ
Afryką	a f r ɘ k ɔ w̃
Afrykę	a f r ɘ k ɛ
Afrykę	a f r ɘ k ɛ w̃
Ag	a k
Aga	a ɡ a
Agach	a ɡ a x
Agacka	a ɡ a t͡s k a
Agacki	a ɡ a t͡s k i
Agamemnon	a ɡ a m ɛ m n ɔ n
Agami	a ɡ a m i
Agata	a ɡ a t a
Agatka	a ɡ a t k a
Agatką	a ɡ a t k ɔ w̃
Agatą	a ɡ a t ɔ w̃
Agi	a ɡ i
Agniesią	a ɡ ɲ ɛ ɕ ɔ w̃
Agnieszczak	a ɡ ɲ ɛ ʂ t͡ʂ a k
Agnieszka	a ɡ ɲ ɛ ʂ k a
Agnieszki	a ɡ ɲ ɛ ʂ k i
Agnieszką	a ɡ ɲ ɛ ʂ k ɔ w̃
Ago	a ɡ ɔ
Agom	a ɡ ɔ m
Agopsowicz	a ɡ ɔ p s ɔ v i t͡ʂ
Agra	a ɡ r a
Agrypin	a ɡ r ɘ p i n
Agrypina	a ɡ r ɘ p i n a
Agrypinach	a ɡ r ɘ p i n a x
Agrypinami	a ɡ r ɘ p i n a m i
Agrypinem	a ɡ r ɘ p i n ɛ m
Agrypinie	a ɡ r ɘ p i ɲ ɛ
Agrypino	a ɡ r ɘ p i n ɔ
Agrypinom	a ɡ r ɘ p i n ɔ m
Agrypinowi	a ɡ r ɘ p i n ɔ v i
Agrypinowie	a ɡ r ɘ p i n ɔ v j ɛ
Agrypiny	a ɡ r ɘ p i n ɘ
Agrypinów	a ɡ r ɘ p i n u f
Agrypiną	a ɡ r ɘ p i n ɔ w̃
Agrypinę	a ɡ r ɘ p i n ɛ
Agrypinę	a ɡ r ɘ p i n ɛ w̃
Agusia	a ɡ u ɕ a
Aguś	a ɡ u ɕ
Agą	a ɡ ɔ w̃
Agę	a ɡ ɛ
Agę	a ɡ ɛ w̃
Ajchler	a j x l ɛ r
Ajchsztet	a j x ʂ t ɛ t
Ajdukiewicz	a j d u k j ɛ v i t͡ʂ
Akerman	a k ɛ r m a n
Akra	a k r a
Akryjczyk	a k r ɘ j t͡ʂ ɘ k
Akryjka	a k r ɘ j k a
Akryjką	a k r ɘ j k ɔ w̃
Akwitania	a k f i t a ɲ j a
Akwizgran	a k f i z ɡ r a n
Ala	a l a
Alabama	a l a b a m a
Aladyn	a l a d ɘ n
Alaska	a l a s k a
Albance	a l b a n t͡s ɛ
Albanek	a l b a n ɛ k
Albania	a l b a ɲ j a
Albanka	a l b a n k a
Albankach	a l b a n k a x
Albankami	a l b a n k a m i
Albanki	a l b a n k i
Albanko	a l b a n k ɔ
Albankom	a l b a n k ɔ m
Albanką	a l b a n k ɔ w̃
Albankę	a l b a n k ɛ
Albankę	a l b a n k ɛ w̃
Albańczyk	a l b a ɲ t͡ʂ ɘ k
Alberski	a l b ɛ r s k i
Albert	a l b ɛ r t
Alberta	a l b ɛ r t a
Albertą	a l b ɛ r t ɔ w̃
Albinowska	a l b i n ɔ f s k a
Albinowski	a l b i n ɔ f s k i
Albrechcie	a l b r ɛ x t͡ɕ ɛ
Albrecht	a l b r ɛ x t
Albrechta	a l b r ɛ x t a
Albrechtach	a l b r ɛ x t a x
Albrechtami	a l b r ɛ x t a m i
Albrechtem	a l b r ɛ x t ɛ m
Albrechtom	a l b r ɛ x t ɔ m
Albrechtowi	a l b r ɛ x t ɔ v i
Albrechtowie	a l b r ɛ x t ɔ v j ɛ
Albrechtów	a l b r ɛ x t u f
Albrychcie	a l b r ɘ x t͡ɕ ɛ
Albrycht	a l b r ɘ x t
Albrychta	a l b r ɘ x t a
Albrychtach	a l b r ɘ x t a x
Albrychtami	a l b r ɘ x t a m i
Albrychtem	a l b r ɘ x t ɛ m
Albrychtom	a l b r ɘ x t ɔ m
Albrychtowi	a l b r ɘ x t ɔ v i
Albrychtowie	a l b r ɘ x t ɔ v j ɛ
Albrychtów	a l b r ɘ x t u f
Alchimowicz	a l x i m ɔ v i t͡ʂ
Aldebaran	a l d ɛ b a r a n
Aldoną	a l d ɔ n ɔ w̃
Ale	a l ɛ
Aleksander	a l ɛ k s a n d ɛ r
Aleksandra	a l ɛ k s a n d r a
Aleksandria	a l ɛ k s a n d r j a
Aleksandrii	a l ɛ k s a n d r j i
Aleksandrią	a l ɛ k s a n d r j ɔ w̃
Aleksandrowicz	a l ɛ k s a n d r ɔ v i t͡ʂ
Aleksandrowie	a l ɛ k s a n d r ɔ v j ɛ
Aleksandrów	a l ɛ k s a n d r u f
Aleksandrą	a l ɛ k s a n d r ɔ w̃
Aleksiewicz	a l ɛ k ɕ ɛ v i t͡ʂ
Aleksją	a l ɛ k s j ɔ w̃
Aleksy	a l ɛ k s ɘ
Aleuty	a l ɛ u t ɘ
Alfons	a l f ɔ n s
Alfred	a l f r ɛ t
Alfreda	a l f r ɛ d a
Alfredą	a l f r ɛ d ɔ w̃
Algier	a l ɡ j ɛ r
Algierczyk	a l ɡ j ɛ r t͡ʂ ɘ k
Algieria	a l ɡ j ɛ r j a
Algierka	a l ɡ j ɛ r k a
Ali	a l i
Alicja	a l i t͡s j a
Alicją	a l i t͡s j ɔ w̃
Alina	a l i n a
Aliną	a l i n ɔ w̃
Alkiewicz	a l k j ɛ v i t͡ʂ
Allach	a l l a x
Allah	a l l a x
Almeria	a l m ɛ r j a
Almerii	a l m ɛ r j i
Almerią	a l m ɛ r j ɔ w̃
Almerię	a l m ɛ r j ɛ
Almerię	a l m ɛ r j ɛ w̃
Almería	a l m ɛ r i j a
Almeríi	a l m ɛ r i j i
Almerío	a l m ɛ r i j ɔ
Almeríą	a l m ɛ r i j ɔ w̃
Almeríę	a l m ɛ r i j ɛ
Almeríę	a l m ɛ r i j ɛ w̃
Alojzy	a l ɔ j z ɘ
Alp	a l p
Alpach	a l p a x
Alpami	a l p a m i
Alpom	a l p ɔ m
Alpy	a l p ɘ
Alpów	a l p u f
Altair	a l t a i r
Alwernia	a l v ɛ r ɲ j a
Alwernią	a l v ɛ r ɲ ɔ w̃
Alzacja	a l z a t͡s j a
Alą	a l ɔ w̃
Alę	a l ɛ
Alę	a l ɛ w̃
Amalia	a m a l j a
Amalią	a m a l j ɔ w̃
Amalteja	a m a l t ɛ j a
Amanda	a m a n d a
Amandą	a m a n d ɔ w̃
Amazonce	a m a z ɔ n t͡s ɛ
Amazonek	a m a z ɔ n ɛ k
Amazonia	a m a z ɔ ɲ j a
Amazonią	a m a z ɔ ɲ ɔ w̃
Amazonka	a m a z ɔ n k a
Amazonkach	a m a z ɔ ŋ k a x
Amazonkami	a m a z ɔ ŋ k a m i
Amazonki	a m a z ɔ ŋ k i
Amazonko	a m a z ɔ ŋ k ɔ
Amazonkom	a m a z ɔ ŋ k ɔ m
Amazonką	a m a z ɔ ŋ k ɔ w̃
Amazonkę	a m a z ɔ ŋ k ɛ
Amazonkę	a m a z ɔ ŋ k ɛ w̃
Ambrosewicz	a m b r ɔ s ɛ v i t͡ʂ
Ambroziak	a m b r ɔ ʑ a k
Ambroziewicz	a m b r ɔ ʑ ɛ v i t͡ʂ
Ambrozik	a m b r ɔ ʑ i k
Ambrozją	a m b r ɔ z j ɔ w̃
Ambrożewicz	a m b r ɔ ʐ ɛ v i t͡ʂ
Ambrożkiewicz	a m b r ɔ ʂ k j ɛ v i t͡ʂ
Ambroży	a m b r ɔ ʐ ɘ
Amelia	a m ɛ l j a
Amelią	a m ɛ l j ɔ w̃
Ameryka	a m ɛ r ɘ k a
Amerykance	a m ɛ r ɘ k a n t͡s ɛ
Amerykanek	a m ɛ r ɘ k a n ɛ k
Amerykanin	a m ɛ r ɘ k a ɲ i n
Amerykanka	a m ɛ r ɘ k a n k a
Amerykankach	a m ɛ r ɘ k a ŋ k a x
Amerykankami	a m ɛ r ɘ k a ŋ k a m i
Amerykanki	a m ɛ r ɘ k a ŋ k i
Amerykanko	a m ɛ r ɘ k a ŋ k ɔ
Amerykankom	a m ɛ r ɘ k a ŋ k ɔ m
Amerykanką	a m ɛ r ɘ k a ŋ k ɔ w̃
Amerykankę	a m ɛ r ɘ k a ŋ k ɛ
Amerykankę	a m ɛ r ɘ k a ŋ k ɛ w̃
Ameryką	a m ɛ r ɘ k ɔ w̃
Amon	a m ɔ n
Amsterdam	a m s t ɛ r d a m
Amur	a m u r
Anabellą	a n a b ɛ l l ɔ w̃
Anafielas	a n a f j ɛ l a s
Anastazja	a n a s t a z j a
Anastazją	a n a s t a z j ɔ w̃
Anastazy	a n a s t a z ɘ
Anatol	a n a t ɔ l
Anatolia	a n a t ɔ l j a
Anatolią	a n a t ɔ l j ɔ w̃
Ancewicz	a n t͡s ɛ v i t͡ʂ
Andaluzja	a n d a l u z j a
Andaluzją	a n d a l u z j ɔ w̃
Andaluzyjce	a n d a l u z ɘ j t͡s ɛ
Andaluzyjczyk	a n d a l u z ɘ j t͡ʂ ɘ k
Andaluzyjka	a n d a l u z ɘ j k a
Andaluzyjką	a n d a l u z ɘ j k ɔ w̃
Andaluzyjkę	a n d a l u z ɘ j k ɛ
Andaluzyjkę	a n d a l u z ɘ j k ɛ w̃
Andami	a n d a m i
Andikitira	a n d i k i t i r a
Andora	a n d ɔ r a
Andorczyk	a n d ɔ r t͡ʂ ɘ k
Andorka	a n d ɔ r k a
Andorką	a n d ɔ r k ɔ w̃
Andruchewicz	a n d r u x ɛ v i t͡ʂ
Andruchowicz	a n d r u x ɔ v i t͡ʂ
Andrukiewicz	a n d r u k j ɛ v i t͡ʂ
Andrulewicz	a n d r u l ɛ v i t͡ʂ
Andrusewicz	a n d r u s ɛ v i t͡ʂ
Andrusiewicz	a n d r u ɕ ɛ v i t͡ʂ
Andruszczak	a n d r u ʂ t͡ʂ a k
Andruszkiewicz	a n d r u ʂ k j ɛ v i t͡ʂ
Andrych	a n d r ɘ x
Andrychiewicz	a n d r ɘ x j ɛ v i t͡ʂ
Andrychów	a n d r ɘ x u f
Andrysewicz	a n d r ɘ s ɛ v i t͡ʂ
Andrysiewicz	a n d r ɘ ɕ ɛ v i t͡ʂ
Andryszczak	a n d r ɘ ʂ t͡ʂ a k
Andryszkiewicz	a n d r ɘ ʂ k j ɛ v i t͡ʂ
Andrzej	a n d ʐ ɛ j
Andrzejczak	a n d ʐ ɛ j t͡ʂ a k
Andrzejczuk	a n d ʐ ɛ j t͡ʂ u k
Andrzejczyk	a n d ʐ ɛ j t͡ʂ ɘ k
Andrzejek	a n d ʐ ɛ j ɛ k
Andrzejewicz	a n d ʐ ɛ j ɛ v i t͡ʂ
Andrzejewo	a n d ʐ ɛ j ɛ v ɔ
Andrzejewska	a n d ʐ ɛ j ɛ f s k a
Andrzejewski	a n d ʐ ɛ j ɛ f s k i
Andrzejkiewicz	a n d ʐ ɛ j k j ɛ v i t͡ʂ
Andrzejkowicz	a n d ʐ ɛ j k ɔ v i t͡ʂ
Andrzeją	a n d ʐ ɛ j ɔ w̃
Andy	a n d ɘ
Andzia	a n d͡ʑ a
Andzią	a n d͡ʑ ɔ w̃
Andżeliką	a n d͡ʐ ɛ l i k ɔ w̃
Aneczka	a n ɛ t͡ʂ k a
Aneczką	a n ɛ t͡ʂ k ɔ w̃
Aneta	a n ɛ t a
Anettą	a n ɛ t t ɔ w̃
Anetą	a n ɛ t ɔ w̃
Angelika	a n d͡ʐ ɛ l i k a
Angeliką	a n d͡ʐ ɛ l i k ɔ w̃
Angelą	a ŋ ɡ ɛ l ɔ w̃
Angielce	a ŋ ɡ j ɛ l t͡s ɛ
Angielek	a ŋ ɡ j ɛ l ɛ k
Angielka	a ŋ ɡ j ɛ l k a
Angielkach	a ŋ ɡ j ɛ l k a x
Angielkami	a ŋ ɡ j ɛ l k a m i
Angielki	a ŋ ɡ j ɛ l k i
Angielko	a ŋ ɡ j ɛ l k ɔ
Angielkom	a ŋ ɡ j ɛ l k ɔ m
Angielką	a ŋ ɡ j ɛ l k ɔ w̃
Angielkę	a ŋ ɡ j ɛ l k ɛ
Angielkę	a ŋ ɡ j ɛ l k ɛ w̃
Anglii	a ŋ ɡ l j i
Anglik	a ŋ ɡ l i k
Anglią	a ŋ ɡ l j ɔ w̃
Anglię	a ŋ ɡ l j ɛ
Anglię	a ŋ ɡ l j ɛ w̃
Anglosas	a ŋ ɡ l ɔ s a s
Angol	a ŋ ɡ ɔ l
Angola	a ŋ ɡ ɔ l a
Angole	a ŋ ɡ ɔ l ɛ
Angoli	a ŋ ɡ ɔ l i
Angolów	a ŋ ɡ ɔ l u f
Ani	a ɲ i
Ania	a ɲ a
Anie	a ɲ ɛ
Aniela	a ɲ ɛ l a
Aniele	a ɲ ɛ l ɛ
Anieli	a ɲ ɛ l i
Anielka	a ɲ ɛ l k a
Anielką	a ɲ ɛ l k ɔ w̃
Anielą	a ɲ ɛ l ɔ w̃
Anielę	a ɲ ɛ l ɛ
Anielę	a ɲ ɛ l ɛ w̃
Anioł	a ɲ ɔ w
Anioła	a ɲ ɔ w a
Aniołek	a ɲ ɔ w ɛ k
Aniszkiewicz	a ɲ i ʂ k j ɛ v i t͡ʂ
Anitką	a ɲ i t k ɔ w̃
Anitą	a ɲ i t ɔ w̃
Aniu	a ɲ u
Anią	a ɲ ɔ w̃
Anię	a ɲ ɛ
Anię	a ɲ ɛ w̃
Aniśkiewicz	a ɲ i ɕ k j ɛ v i t͡ʂ
Anka	a n k a
Ankara	a ŋ k a r a
Ankary	a ŋ k a r ɘ
Ankarze	a ŋ k a ʐ ɛ
Ankarą	a ŋ k a r ɔ w̃
Ankarę	a ŋ k a r ɛ
Ankarę	a ŋ k a r ɛ w̃
Ankiewicz	a ŋ k j ɛ v i t͡ʂ
Ankona	a ŋ k ɔ n a
Anką	a ŋ k ɔ w̃
Ann	a n n
Anna	a n n a
Annamarią	a n n a m a r j ɔ w̃
Annasz	a n n a ʂ
Annopol	a n n ɔ p ɔ l
Anną	a n n ɔ w̃
Anschluss	a n ʂ l u s
Antananarywa	a n t a n a n a r ɘ v a
Antares	a n t a r ɛ s
Antarktyda	a n t a r k t ɘ d a
Antarktyka	a n t a r k t ɘ k a
Antarktyką	a n t a r k t ɘ k ɔ w̃
Antas	a n t a s
Antczak	a n t t͡ʂ a k
Antecki	a n t ɛ t͡s k i
Antek	a n t ɛ k
Antkiewicz	a n t k j ɛ v i t͡ʂ
Antkowicz	a n t k ɔ v i t͡ʂ
Antochów	a n t ɔ x u f
Antolec	a n t ɔ l ɛ t͡s
Antoni	a n t ɔ ɲ i
Antonia	a n t ɔ ɲ j a
Antoniettą	a n t ɔ ɲ ɛ t t ɔ w̃
Antoniewicz	a n t ɔ ɲ ɛ v i t͡ʂ
Antonina	a n t ɔ ɲ i n a
Antoniny	a n t ɔ ɲ i n ɘ
Antoniną	a n t ɔ ɲ i n ɔ w̃
Antonią	a n t ɔ ɲ ɔ w̃
Antonkiewicz	a n t ɔ ŋ k j ɛ v i t͡ʂ
Antonowicz	a n t ɔ n ɔ v i t͡ʂ
Antonówka	a n t ɔ n u f k a
Antos	a n t ɔ s
Antosiak	a n t ɔ ɕ a k
Antosiewicz	a n t ɔ ɕ ɛ v i t͡ʂ
Antosik	a n t ɔ ɕ i k
Antosią	a n t ɔ ɕ ɔ w̃
Antoszczyszyn	a n t ɔ ʂ t͡ʂ ɘ ʂ ɘ n
Antoszkiewicz	a n t ɔ ʂ k j ɛ v i t͡ʂ
Antończyk	a n t ɔ ɲ t͡ʂ ɘ k
Antoś	a n t ɔ ɕ
Antośkiewicz	a n t ɔ ɕ k j ɛ v i t͡ʂ
Antuszewicz	a n t u ʂ ɛ v i t͡ʂ
Antwerpia	a n t f ɛ r p j a
Antwerpii	a n t f ɛ r p j i
Antwerpią	a n t f ɛ r p j ɔ w̃
Antwerpię	a n t f ɛ r p j ɛ
Antwerpię	a n t f ɛ r p j ɛ w̃
Antychryst	a n t ɘ x r ɘ s t
Antychryst	a n t ɨ x r ɨ s t
Antyle	a n t ɘ l ɛ
Anubis	a n u b i s
Anula	a n u l a
Anulą	a n u l ɔ w̃
Anusewicz	a n u s ɛ v i t͡ʂ
Anusia	a n u ɕ a
Anusiewicz	a n u ɕ ɛ v i t͡ʂ
Anusią	a n u ɕ ɔ w̃
Anuszczyk	a n u ʂ t͡ʂ ɘ k
Anuszkiewicz	a n u ʂ k j ɛ v i t͡ʂ
Anyszkiewicz	a n ɘ ʂ k j ɛ v i t͡ʂ
Anzelm	a n z ɛ l m
Aną	a n ɔ w̃
Apacz	a p a t͡ʂ
Apanowicz	a p a n ɔ v i t͡ʂ
Apeniny	a p ɛ ɲ i n ɘ
Apia	a p j a
Apokalipsa	a p ɔ k a l i p s a
Apokalipsie	a p ɔ k a l i p ɕ ɛ
Apokalipso	a p ɔ k a l i p s ɔ
Apokalipsy	a p ɔ k a l i p s ɘ
Apokalipsą	a p ɔ k a l i p s ɔ w̃
Apokalipsę	a p ɔ k a l i p s ɛ
Apokalipsę	a p ɔ k a l i p s ɛ w̃
Apolinary	a p ɔ l i n a r ɘ
Apollin	a p ɔ l l i n
Apollo	a p ɔ l l ɔ
Apollon	a p ɔ l l ɔ n
Apolonia	a p ɔ l ɔ ɲ j a
Apoloniusz	a p ɔ l ɔ ɲ u ʂ
Apolonią	a p ɔ l ɔ ɲ ɔ w̃
Aponowicz	a p ɔ n ɔ v i t͡ʂ
Apostołowo	a p ɔ s t ɔ w ɔ v ɔ
Apryjas	a p r ɘ j a s
Apulia	a p u l j a
Apulii	a p u l j i
Apulią	a p u l j ɔ w̃
Apulię	a p u l j ɛ
Apulię	a p u l j ɛ w̃
Arab	a r a p
Araba	a r a b a
Arabach	a r a b a x
Arabce	a r a p t͡s ɛ
Arabek	a r a b ɛ k
Arabelą	a r a b ɛ l ɔ w̃
Arabia	a r a b j a
Arabie	a r a b j ɛ
Arabią	a r a b j ɔ w̃
Arabka	a r a p k a
Arabkach	a r a p k a x
Arabkami	a r a p k a m i
Arabki	a r a p k i
Arabko	a r a p k ɔ
Arabkom	a r a p k ɔ m
Arabką	a r a p k ɔ w̃
Arabkę	a r a p k ɛ
Arabkę	a r a p k ɛ w̃
Aragonia	a r a ɡ ɔ ɲ j a
Aragonii	a r a ɡ ɔ ɲ j i
Aragonią	a r a ɡ ɔ ɲ ɔ w̃
Arasmus	a r a s m u s
Archangielsk	a r x a ŋ ɡ j ɛ l s k
Archimedes	a r x i m ɛ d ɛ s
Arcikiewicz	a r t͡ɕ i k j ɛ v i t͡ʂ
Arcimowicz	a r t͡ɕ i m ɔ v i t͡ʂ
Arciszewo	a r t͡ɕ i ʂ ɛ v ɔ
Arciszewski	a r t͡ɕ i ʂ ɛ f s k i
Arciuch	a r t͡ɕ u x
Arciuszkiewicz	a r t͡ɕ u ʂ k j ɛ v i t͡ʂ
Ares	a r ɛ s
Aretą	a r ɛ t ɔ w̃
Argentyna	a r ɡ ɛ n t ɘ n a
Argentynce	a r ɡ ɛ n t ɘ n t͡s ɛ
Argentynka	a r ɡ ɛ n t ɘ n k a
Argentynki	a r ɡ ɛ n t ɘ ŋ k i
Argentynką	a r ɡ ɛ n t ɘ ŋ k ɔ w̃
Argentynkę	a r ɡ ɛ n t ɘ ŋ k ɛ
Argentynkę	a r ɡ ɛ n t ɘ ŋ k ɛ w̃
Argentyńczyk	a r ɡ ɛ n t ɘ ɲ t͡ʂ ɘ k
Argonauta	a r ɡ ɔ n a w t a
Argowia	a r ɡ ɔ v j a
Argus	a r ɡ u s
Ariadna	a r j a d n a
Ariadną	a r j a d n ɔ w̃
Ariel	a r j ɛ l
Arizona	a r i z ɔ n a
Arkadia	a r k a d j a
Arkadii	a r k a d j i
Arkadiusz	a r k a d j u ʂ
Arkadią	a r k a d j ɔ w̃
Arkansas	a r k a n z a s
Arktur	a r k t u r
Arktyka	a r k t ɘ k a
Arleną	a r l ɛ n ɔ w̃
Arletką	a r l ɛ t k ɔ w̃
Arletą	a r l ɛ t ɔ w̃
Armenia	a r m ɛ ɲ j a
Armenią	a r m ɛ ɲ ɔ w̃
Armeńczyk	a r m ɛ ɲ t͡ʂ ɘ k
Armidą	a r m i d ɔ w̃
Arndt	a r n t t
Artemida	a r t ɛ m i d a
Artowicz	a r t ɔ v i t͡ʂ
Artur	a r t u r
Artysiewicz	a r t ɘ ɕ ɛ v i t͡ʂ
Aryman	a r ɘ m a n
Arystoteles	a r ɘ s t ɔ t ɛ l ɛ s
Asgard	a z ɡ a r t
Asia	a ɕ a
Asią	a ɕ ɔ w̃
Asklepios	a s k l ɛ p j ɔ s
Asmara	a s m a r a
Astana	a s t a n a
Asterią	a s t ɛ r j ɔ w̃
Asturia	a s t u r j a
Asturii	a s t u r j i
Asturią	a s t u r j ɔ w̃
Asyria	a s ɘ r j a
