ഁ	ɐ̃
അന്വേഷണം	ɐ n ʋʷ eː ʂ ɐ ɳ ɐ m
അന്വേഷിക്കുക	ɐ n ʋʷ eː ʂ i k k u ɡ ɐ
അപ്പച്ച	ɐ p p ɐ t̚ t͡ʃ ɐ
അപ്പച്ചി	ɐ p p ɐ t̚ t͡ʃ i
അമ്മച്ചി	ɐ m m ɐ t̚ t͡ʃ i
അലർച്ച	ɐ l ɐ r t̚ t͡ʃ ɐ
അവജ്ഞ	ɐ ʋ ɐ ɟ ɲ ɐ
അവസരവാദിത്വം	a ʋ a s a ɾ a ʋ aː d̪ i t̪ ʋʷ a m
അവിശ്വാസി	ɐ ʋ i ʃ ʋʷ aː s i
അശ്വം	ɐ ʃ ʋʷ ɐ m
അസ്തിത്വവാദം	ɐ s t̪ i t̪ ʋʷ ɐ ʋ aː d̪ ɐ m
ആഗോളവത്കരണം	aː ɡ oː ɭ a ʋ a l k a ɾ a ɳ a m
ആത്മവിശ്വാസം	aː t̪ m ɐ ʋ i ʃ ʋʷ aː s ɐ m
ആരാച്ചാർ	aː ɾ aː t̚ t͡ʃ aː r
ആർജ്ജിക്കുക	aː r d̚ d͡ʒ i k k u ɡ ɐ
ആർജ്ജിത	aː r d̚ d͡ʒ i d̪ ɐ
ഇച്ചായൻ	i t̚ t͡ʃ aː j ɐ n
ഇച്ഛ	i t̚ t͡ʃʰ ɐ
ഇച്ഛാഭംഗം	i t̚ t͡ʃʰ aː bʱ ɐ ŋ ɡ ɐ m
ഇജ്ജ്	i d̚ d͡ʒ ə̆
ഇഞ്ചാല	i n̠ʲ d͡ʒ aː l ɐ
ഇഞ്ചി	i n̠ʲ d͡ʒ i
ഇഞ്ച്	i n̠ʲ d͡ʒ ə̆
ഇഞ്ജീൽ	i n̠ʲ d͡ʒ iː l
ഇറച്ചി	i r ɐ t̚ t͡ʃ i
ഇവ​ൾ	i ʋ ɐ ɭ
ഈച്ച	iː t̚ t͡ʃ ɐ
ഈനാമ്പേച്ചി	iː n aː m b eː t̚ t͡ʃ i
ഈശ്വരൻ	iː ʃ ʋʷ ɐ ɾ ɐ n
ഉം	m̚ ˦˥
ഉം	m̚ ˧
ഉച്ച	u t̚ t͡ʃ ɐ
ഉച്ചകോടി	u t̚ t͡ʃ ɐ ɡ oː ɖ i
ഉച്ചരിക്കുക	u t̚ t͡ʃ ɐ ɾ i k k u ɡ ɐ
ഉച്ചാരണം	u t̚ t͡ʃ aː ɾ ɐ ɳ ɐ m
ഉച്ചി	u t̚ t͡ʃ i
ഉജ്ജ്വലം	u d̚ d͡ʒ ʋʷ ɐ l ɐ m
ഉത്കർഷം	u l k ɐ r ʂ ɐ m
ഉത്പത്തി	u l p ɐ t̪ t̪ i
ഉത്പന്നം	u l p ɐ n n ɐ m
ഉത്പാദനം	u l p aː d̪ ɐ n ɐ m
ഉത്ഭവ	u l bʱ ɐ ʋ ɐ
ഉത്ഭവസ്ഥാനം	u l bʱ ɐ ʋ ɐ s t̪ʰ aː n ɐ m
ഉത്ഭവിക്കുക	u l bʱ ɐ ʋ i k k u ɡ ɐ
ഉത്സവം	u l s ɐ ʋ ɐ m
ഉത്സാഹം	u l s aː h ɐ m
ഉദ്ഘാടനം	u l ɡʱ aː ɖ ɐ n ɐ m
ഉയർച്ച	u j ɐ r t̚ t͡ʃ ɐ
ഉവ്വ	u ʋ ʋʷ ɐ
ഉവ്വേ	u ʋ ʋʷ eː
ഉർവ്വീജാനി	u r ʋ ʋʷ iː d͡ʒ aː n i
ഊർജ്ജം	uː r d̚ d͡ʒ ɐ m
എഞ്ജ	e n̠ʲ d͡ʒ ɐ
എന്റ	e n d ɐ
എന്റമ്മോ	e n d ɐ m m oː
എന്റെ	e n d e
എന്റോഴ്സ്	e n d oː ɻ s ə̆
എന്റർപ്രൈസ്	e n d ɐ r p r ä i s ɨ̆
ഐശ്വര്യം	a i̯ ʃ ʋʷ ɐ ɾ j ɐ m
ഒച്ച്	o t̚ t͡ʃ ə̆
ഒന്നിച്ച്	o n̪ n̪ i t̚ t͡ʃ ə̆
ഒളിച്ചോടുക	o ɭ i t̚ t͡ʃ oː ɖ u ɡ ɐ
ഓക്സിജൻ	oː k s i d͡ʒ ɐ n
ഓയിന്മെന്റ്	oː j i n m e n d ə̆
ഓറഞ്ച്	oː r ɐ n̠ʲ d͡ʒ ə̆
ഔജ്ജ്വല്യം	a u̯ d̚ d͡ʒ ʋʷ ɐ l j ɐ m
ഔത്സുക്യം	a u̯ l s u k j a m
കച്ച	k ɐ t̚ t͡ʃ ɐ
കച്ചറ	k ɐ t̚ t͡ʃ ɐ r ɐ
കച്ചവടം	k ɐ t̚ t͡ʃ ɐ ʋ ɐ ɖ ɐ m
കച്ചി	k ɐ t̚ t͡ʃ i
കച്ചിത്തുറു	k ɐ t̚ t͡ʃ i t̪ t̪ u r u
കച്ചിൽ	k ɐ t̚ t͡ʃ i l
കച്ചേരി	k ɐ t̚ t͡ʃ eː ɾ i
കച്ച്	k ɐ t̚ t͡ʃ ə̆
കഞ്ചാവ്	k ɐ n̠ʲ d͡ʒ aː ʋ ə̆
കടുംവെട്ട്	k ɐ ɖ u m ʋʷ e ʈ ʈ ə̆
കരിഞ്ചീരകം	k ɐ ɾ i n̠ʲ d͡ʒ iː ɾ ɐ ɡ ɐ m
കലന്റർ	k ɐ l ɐ n d ɐ r
കവർച്ച	k ɐ ʋ ɐ r t̚ t͡ʃ ɐ
കാച്ചിൽ	k aː t̚ t͡ʃ i l
കാച്ചുക	k aː t̚ t͡ʃ u ɡ ɐ
കാഞ്ചനം	k aː n̠ʲ d͡ʒ ɐ n ɐ m
കാളാഞ്ചി	k aː ɭ aː n̠ʲ d͡ʒ i
കാർവ്വലയം	k aː r ʋ ʋʷ ɐ l ɐ j ɐ m
കിന്റ്സുഗി	k i n d s u ɡ i
കുറച്ച്	k u r ɐ t̚ t͡ʃ ə̆
കുശലാന്വേഷണം	k u ʃ ɐ l aː n ʋʷ eː ʂ ɐ ɳ ɐ m
കൈതച്ചക്ക	k ɐ i̯ d̪ ɐ t̚ t͡ʃ ɐ k k ɐ
കൊച്ചച്ഛൻ	k o t̚ t͡ʃ ɐ t̚ t͡ʃʰ ɐ n
കൊച്ചമ്മ	k o t̚ t͡ʃ ɐ m m ɐ
കൊച്ചി	k o t̚ t͡ʃ i
കൊഞ്ച്	k o n̠ʲ d͡ʒ ə̆
കൊഞ്ചൽ	k o n̠ʲ d͡ʒ ɐ l
ക്ലച്ച്	k ɭ ɐ t̚ t͡ʃ ə̆
ക്ലോറിൻ	k ɭ oː r i n
ക്വാഡ്രില്യൻ	k ʋʷ aː ɖ r i l j ɐ n
ക്ഷ്വേളം	k ʂ ʋʷ eː ɭ ɐ m
ഗന്ധകം	ɡ ɐ n d̪ʱ ɐ ɡ ɐ m
ഗഹ്വരം	ɡ a h ʋʷ a ɾ a m
ഗൃഹാതുരത്വം	ɡ r i h aː d̪ u ɾ a t̪ ʋʷ a m
ഗ്രീൻലാന്റ്	ɡ ɾ iː n l aː n d ə̆
ഗർജ്ജനം	ɡ ɐ r d̚ d͡ʒ ɐ n ɐ m
ഗർജ്ജിക്കുക	ɡ ɐ r d̚ d͡ʒ i k k u ɡ ɐ
ഘനത്വം	ɡʱ ɐ n ɐ t̪ ʋʷ ɐ m
ചതി	t͡ʃ ɐ d̪ i
ചലച്ചിത്രം	t͡ʃ ɐ l ɐ t̚ t͡ʃ i t̪ r ɐ m
ചികിത്സ	t͡ʃ i ɡ i l s ɐ
ചീനച്ചട്ടി	t͡ʃ iː n ɐ t̚ t͡ʃ ɐ ʈ ʈ i
ചെടിച്ചട്ടി	t͡ʃ e ɖ i t̚ t͡ʃ ɐ ʈ ʈ i
ചെറിയച്ഛൻ	t͡ʃ e r i j ɐ t̚ t͡ʃʰ ɐ n
ചെറുതേനീച്ച	t͡ʃ e r u d̪ eː n iː t̚ t͡ʃ ɐ
ചെറുദ്വാരം	t͡ʃ e r u d̪ ʋʷ aː ɾ a m
ചേച്ചി	t͡ʃ eː t̚ t͡ʃ i
ചൊച്ചക്ക	t͡ʃ o t̚ t͡ʃ ɐ k k ɐ
ചൊവ്വ	t͡ʃ o ʋ ʋʷ ɐ
ചൊവ്വാഴ്ച	t͡ʃ o ʋ ʋʷ aː ɻ t͡ʃ ɐ
ചർച്ച	t͡ʃ ɐ r t̚ t͡ʃ ɐ
ജഡത്വം	d͡ʒ ɐ ɖ ɐ t̪ ʋʷ ɐ m
ജിജ്ഞാസ	d͡ʒ i ɟ ɲ aː s ɐ
ജ്ജ്	d̚ d͡ʒ ə̆
ജ്ഞാനി	ɟ ɲ aː n i
ജ്യോത്സ്യൻ	d͡ʒ j oː l s j ɐ n
ജ്വരം	d͡ʒ ʋʷ ɐ ɾ ɐ m
ജ്വലനം	d͡ʒ ʋʷ ɐ l ɐ n ɐ m
തഞ്ചുക	t̪ ɐ n̠ʲ d͡ʒ u ɡ ɐ
തടിച്ച	t̪ ɐ ɖ i t̚ t͡ʃ ɐ
തത്സമയ	t̪ ɐ l s ɐ m ɐ j ɐ
തനിച്ച്	t̪ a n i t̚ t͡ʃ ə
തന്റേടം	t̪ ɐ n d eː ɖ ɐ m
തമോദ്വാരം	t̪ a m oː d̪ ʋʷ aː ɾ a m
തലച്ചോറ്	t̪ ɐ l ɐ t̚ t͡ʃ oː r ə̆
തിരിച്ചടിക്കുക	t̪ i ɾ i t̚ t͡ʃ ɐ ɖ i k k u ɡ ɐ
തിരിച്ചയക്കുക	t̪ i ɾ i t̚ t͡ʃ ɐ j ɐ k k u ɡ ɐ
തിരിച്ചറിയുക	t̪ i ɾ i t̚ t͡ʃ ɐ r i j u ɡ ɐ
തിരിച്ചുവിടുക	t̪ i ɾ i t̚ t͡ʃ u ʋ i ɖ u ɡ ɐ
തിരിച്ച്	t̪ i ɾ i t̚ t͡ʃ ə̆
തുച്ഛം	t̪ u t̚ t͡ʃʰ ɐ m
തുഞ്ചുക	t̪ u n̠ʲ d͡ʒ u ɡ ɐ
തൂക്കുമഞ്ചം	t̪ uː k k u m ɐ n̠ʲ d͡ʒ ɐ m
തെളിച്ചം	t̪ e ɭ i t̚ t͡ʃ ɐ m
തേനീച്ച	t̪ eː n iː t̚ t͡ʃ ɐ
തേവിടിച്ചി	t̪ eː ʋ i ɖ i t̚ t͡ʃ i
തോൽവി	t̪ oː l ʋʷ i
ത്വക്ക്	t̪ ʋʷ ɐ k k ə̆
ത്വരണം	t̪ ʋʷ ɐ ɾ ɐ ɳ ɐ m
തർജ്ജമ	t̪ ɐ r d̚ d͡ʒ ɐ m ɐ
ദജ്ജാൽ	d̪ a d̚ d͡ʒ aː l
ദ്രവിച്ച	d̪ r ɐ ʋ i t̚ t͡ʃ ɐ
ദ്വാരം	d̪ ʋʷ aː ɾ ɐ m
ദ്വിതീയ	d̪ ʋʷ i d̪ iː j ɐ
ദ്വീപ്	d̪ ʋʷ iː b ə̆
ദ്വേഷം	d̪ ʋʷ eː ʂ ɐ m
ധന്വം	d̪ʱ ɐ n ʋʷ ɐ m
നഖംവെട്ടി	n̪ a kʰ a m ʋʷ e ʈː i
നച്ചം	n̪ ɐ t̚ t͡ʃ ɐ m
നഞ്ചമ്പ്	n̪ ɐ n̠ʲ d͡ʒ ɐ m b ɨ
നഞ്ച്	n̪ ɐ n̠ʲ d͡ʒ ə̆
നരിച്ചീർ	n̪ ɐ ɾ i t̚ t͡ʃ iː r
നാഗാലാന്റ്	n̪ aː ɡ aː l aː n d ə̆
നിയോൺ	n i j oː ɳ
നിരീശ്വരത്വം	n̪ i ɾ iː ʃ ʋʷ ɐ ɾ ɐ t̪ ʋʷ ɐ m
നിരീശ്വരവാദം	n̪ i ɾ iː ʃ ʋʷ a ɾ a ʋ aː d̪ a m
നിരീശ്വരവാദി	n̪ i ɾ iː ʃ ʋʷ ɐ ɾ ɐ ʋ aː d̪ i
നീർച്ചാൽ	n̪ iː r t̚ t͡ʃ aː l
നെച്ചി	n̪ e t̚ t͡ʃ i
നെഞ്ചകം	n̪ e n̠ʲ d͡ʒ ɐ ɡ ɐ m
നെഞ്ച്	n̪ e n̠ʲ d͡ʒ ə̆
നേതൃത്വം	n̪ eː t̪ r i t̪ ʋʷ ɐ m
നൈട്രജൻ	n ä i ʈ r ä d͡ʒ ɐ n
ന്റ	n d ɐ
പക്വം	p ɐ k ʋʷ ɐ m
പച്ച	p ɐ t̚ t͡ʃ ɐ
പച്ചകുത്തുക	p ɐ t̚ t͡ʃ ɐ ɡ u t̪ t̪ u ɡ ɐ
പച്ചക്കറി	p ɐ t̚ t͡ʃ ɐ k k ɐ r i
പഞ്ചമ	p ɐ n̠ʲ d͡ʒ ɐ m ɐ
പഞ്ചാംഗം	p ɐ n̠ʲ d͡ʒ aː ŋ ɡ ɐ m
പഞ്ചാബി	p ɐ n̠ʲ d͡ʒ aː b i
പഞ്ചാബ്	p ɐ n̠ʲ d͡ʒ aː b ə̆
പഞ്ചായത്ത്	p ɐ n̠ʲ d͡ʒ aː j ɐ t̪ t̪ ə̆
പതിനഞ്ചാം	p ɐ d̪ i n ɐ n̠ʲ d͡ʒ aː m
പതിനഞ്ച്	p ɐ d̪ i n ɐ n̠ʲ d͡ʒ ə̆
പഴഞ്ചൻ	p ɐ ɻ ɐ n̠ʲ d͡ʒ ɐ n
പാക്യജനകം	p äː k j ɐ d͡ʒ ɐ n ɐ ɡ ä m
പിച്ച	p i t̚ t͡ʃ ɐ
പിച്ചാത്തി	p i t̚ t͡ʃ aː t̪ t̪ i
പിച്ചുക	p i t̚ t͡ʃ u ɡ ɐ
പിച്ച്	p i t̚ t͡ʃ ə̆
പിഞ്ച്	p i n̠ʲ d͡ʒ ə
പിഞ്ഛം	p i n̠ʲ d͡ʒʰ ɐ m
പിഞ്ഛിക	p i n̠ʲ d͡ʒʰ i ɡ ɐ
പിരിച്ചെഴുതുക	p i ɾ i t̚ t͡ʃ e ɻ u d̪ u ɡ ɐ
പീച്ചിങ്ങ	p iː t̚ t͡ʃ i ŋ ŋ ɐ
പീച്ച്	p iː t̚ t͡ʃ ə̆
പീത്സ	p iː l s ɐ
പുച്ഛം	p u t̚ t͡ʃʰ ɐ m
പുച്ഛിക്കുക	p u t̚ t͡ʃʰ i k k u ɡ ɐ
പുഞ്ച	p u n̠ʲ d͡ʒ ɐ
പുഞ്ചിരി	p u n̠ʲ d͡ʒ i ɾ i
പുതുവത്സരം	p u d̪ u ʋ a l s a ɾ a m
പുലർച്ച	p u l ɐ r t̚ t͡ʃ ɐ
പൂച്ച	p uː t̚ t͡ʃ ɐ
പൂച്ചി	p uː t̚ t͡ʃ i
പെരുച്ചാഴി	p e ɾ u t̚ t͡ʃ aː ɻ i
പേരച്ഛൻ	p eː ɾ ɐ t̚ t͡ʃʰ ɐ n
പൊട്ടിച്ചിരിക്കുക	p o ʈ ʈ i t̚ t͡ʃ i ɾ i k k u ɡ ɐ
പോണ്ടിച്ചേരി	p oː ɳ ɖ i t̚ t͡ʃ eː ɾ i
പോർച്ചുഗീസ്	p oː r t̚ t͡ʃ u ɡ iː s ə̆
പ്രപഞ്ചം	p r ɐ b ɐ n̠ʲ d͡ʒ ɐ m
പ്രാഞ്ചി	p r aː n̠ʲ d͡ʒ i
പ്രോത്സാഹന	p r oː l s aː h ɐ n ɐ
പ്രോത്സാഹിപ്പിക്കുക	p r oː l s aː h i p p i k k u ɡ ɐ
പർവ്വതം	p ɐ r ʋ ʋʷ ɐ d̪ ɐ m
ഫക്കീർ	f ä kː iː r
ഫയൽ	f ä j ɐ l
ഫോസ്ഫറസ്	f oː s f ɐ r ɐ s ɨ̆
ഫ്ലൂറിൻ	f ɭ uː r i n
ബജ്ജി	b ɐ d̚ d͡ʒ i
ബൂർഷ്വാസി	b uː r ʂ ʋʷ aː s i
ബെറിലിയം	b e r i l i j ɐ m
ഭഗവദ്ഗീത	bʱ ɐ ɡ ɐ ʋ ɐ l ɡ iː d̪ ɐ
ഭീരുത്വം	bʱ iː ɾ u t̪ ʋʷ ɐ m
ഭോഷത്വം	bʱ oː ʂ ɐ t̪ ʋʷ ɐ m
മഗ്നീഷ്യം	m ä ɡ n iː ʂ j ɐ m
മച്ചുനൻപണം	m a t̚ t͡ʃ u n a n b a ɳ a m
മജെന്റ	m ɐ d͡ʒ e n d ɐ
മജ്ജ	m ɐ d̚ d͡ʒ ɐ
മഞ്ചം	m ɐ n̠ʲ d͡ʒ ɐ m
മഞ്ചാടി	m ɐ n̠ʲ d͡ʒ aː ɖ i
മഞ്ചൽ	m ɐ n̠ʲ d͡ʒ ɐ l
മണിച്ചട്ടം	m ɐ ɳ i t̚ t͡ʃ ɐ ʈ ʈ ɐ m
മതവിശ്വാസം	m ɐ d̪ ɐ ʋ i ʃ ʋʷ aː s ɐ m
മത്സരാർത്ഥി	m a l s a ɾ aː r t̪ t̪ʰ i
മത്സ്യം	m ɐ l s j ɐ m
മത്സ്യകന്യക	m ɐ l s j ɐ ɡ ɐ n j ɐ ɡ ɐ
മനഃപൂർവ്വം	m ɐ n ɐ p p uː r ʋ ʋʷ ɐ m
മരച്ചീനി	m ɐ ɾ ɐ t̚ t͡ʃ iː n i
മാർജ്ജാരൻ	m aː r d̚ d͡ʒ aː ɾ ɐ n
മികച്ച	m i ɡ ɐ t̚ t͡ʃ ɐ
മിച്ചം	m i t̚ t͡ʃ ɐ m
മുത്തുച്ചിപ്പി	m u t̪ t̪ u t̚ t͡ʃ i p p i
മുയൽച്ചെവിയൻ	m u j a l t̚ t͡ʃ e ʋ i j a n
മുറച്ചെറുക്കൻ	m u r ɐ t̚ t͡ʃ e r u k k ɐ n
മുൻവിചാരം	m u n ʋʷ i d͡ʒ aː ɾ ɐ m
മൂഞ്ചുക	m uː n̠ʲ d͡ʒ u ɡ ɐ
മൂർച്ചയുള്ള	m uː r t̚ t͡ʃ ɐ j u ɭ ɭ ɐ
മൈലാഞ്ചി	m ɐ i̯ l aː n̠ʲ d͡ʒ i
മൊഞ്ച്	m o n̠ʲ d͡ʒ ə̆
മ്ലേച്ഛ	m l eː t̚ t͡ʃʰ ɐ
മൺവെട്ടി	m ɐ ɳ ʋʷ e ʈ ʈ i
യജ്ഞം	j ɐ ɟ ɲ ɐ m
യന്ത്രവത്കൃത	j ɐ n̪ d̪ r ɐ ʋ ɐ l k r i d̪ ɐ
യാദൃച്ഛികം	j aː d̪ r i t̚ t͡ʃʰ i ɡ ɐ m
ര	ɾ̟
രജസ്വല	ɾ ɐ d͡ʒ ɐ s ʋʷ ɐ l ɐ
രാക്ഷസി	ɾ ɐː k ʂ ɐ s i
രാജത്വം	ɾ aː d͡ʒ ɐ t̪ ʋʷ ɐ m
രാജ്ഞി	ɾ aː ɟ ɲ i
റ	ɾ̠ ~ r̠
ലക്ഷദ്വീപ്	l ɐ k ʂ ɐ d̪ ʋʷ iː b ə̆
ലിഥിയം	l i t̪ʰ i j ɐ m
വഞ്ചി	ʋ ɐ n̠ʲ d͡ʒ i
വഞ്ചിക്കുക	ʋ ɐ n̠ʲ d͡ʒ i k k u ɡ ɐ
വഞ്ചിപ്പാട്ട്	ʋ ɐ n̠ʲ d͡ʒ i p p aː ʈ ʈ ə̆
വത്സരം	ʋ ɐ l s ɐ ɾ ɐ m
വലുത്	ʋ ɐ l u d̪ ɨ
വല്യച്ഛൻ	ʋ ɐ l j ɐ t̚ t͡ʃʰ ɐ n
വളം	ʋ ɐ ɭ ɐ m
വളർച്ച	ʋ ɐ ɭ ɐ r t̚ t͡ʃ ɐ
വവ്വാൽ	ʋ ɐ ʋ ʋʷ aː l
വാപ്പച്ചി	ʋ aː p p ɐ t̚ t͡ʃ i
വിജ്ഞാന	ʋ i ɟ ɲ aː n ɐ
വിനോദസഞ്ചാരം	ʋ i n oː d̪ ɐ s ɐ n̠ʲ d͡ʒ aː ɾ ɐ m
വിശ്വ	ʋ i ʃ ʋʷ ɐ
വിശ്വം	ʋ i ʃ ʋʷ ɐ m
വിശ്വസനീയ	ʋ i ʃ ʋʷ ɐ s ɐ n iː j ɐ
വിശ്വസിക്കുക	ʋ i ʃ ʋʷ ɐ s i k k u ɡ ɐ
വിശ്വാസം	ʋ i ʃ ʋʷ aː s ɐ m
വിശ്വാസി	ʋ i ʃ ʋʷ aː s i
വെളിച്ചം	ʋ e ɭ i t̚ t͡ʃ ɐ m
വെളിച്ചെണ്ണ	ʋ e ɭ i t̚ t͡ʃ e ɳ ɳ ɐ
വെള്ളച്ചാട്ടം	ʋ e ɭ ɭ ɐ t̚ t͡ʃ aː ʈ ʈ ɐ m
വെള്ളച്ചാൽ	ʋ e ɭ ɭ ɐ t̚ t͡ʃ aː l
വോച്ച്	ʋ oː t̚ t͡ʃ ə̆
വ്യഞ്ജനം	ʋ j ɐ n̠ʲ d͡ʒ ɐ n ɐ m
ശ്രീകൃഷ്ണൻ	ʃ r iː k r ʂ ɳ ɐ n
ശ്വസനം	ʃ ʋʷ ɐ s ɐ n ɐ m
ശ്വസിക്കുക	ʃ ʋʷ ɐ s i k k u ɡ ɐ
ശ്വാവ്	ʃ ʋʷ aː ʋ ə
ശ്വാസം	ʃ ʋʷ aː s ɐ m
ശ്വാസകോശം	ʃ ʋʷ aː s ɐ ɡ oː ʃ ɐ m
സംജ്ഞാനാമം	s ɐ n ɟ ɲ aː n aː m ɐ m
സംവത്സരം	s a m ʋʷ a l s a ɾ a m
സംവരണം	s ɐ m ʋʷ ɐ ɾ ɐ ɳ ɐ m
സംവൃതം	s ɐ m ʋʷ r i d̪ ɐ m
സംവൃതോകാരം	s ɐ m ʋʷ r i d̪ oː ɡ aː ɾ ɐ m
സംവേദനാത്മക	s ɐ m ʋʷ eː d̪ ɐ n aː t̪ m ɐ ɡ ɐ
സജ്ജം	s ɐ d̚ d͡ʒ ɐ m
സഞ്ചരിക്കുക	s ɐ n̠ʲ d͡ʒ ɐ ɾ i k k u ɡ ɐ
സഞ്ചാരം	s ɐ n̠ʲ d͡ʒ aː ɾ ɐ m
സഞ്ചാരി	s ɐ n̠ʲ d͡ʒ aː ɾ i
സഞ്ചി	s ɐ n̠ʲ d͡ʒ i
സമത്വം	s ɐ m ɐ t̪ ʋʷ ɐ m
സമുച്ചയം	s a m u t̚ t͡ʃ a j a m
സരസ്വതി	s ɐ ɾ ɐ s ʋʷ ɐ d̪ i
സാക്ഷാത്കരിക്കുക	s aː k ʂ aː l k ɐ ɾ i k k u ɡ ɐ
സാധുത്വം	s aː d̪ʱ u t̪ ʋʷ a m
സോഡിയം	s oː ɖ i j ɐ m
സോഫ	s oː f ä
സോഫ്‌റ്റ്‌വെയർ	s oː f t ʋ e j ɐ r
സ്വകാര്യ	s ʋʷ ɐ ɡ aː ɾ j ɐ
സ്വതന്ത്രചരം	s ʋʷ a d̪ a n̪ d̪ r a d͡ʒ a ɾ a m
സ്വത്ത്	s ʋʷ ɐ t̪ t̪ ə̆
സ്വദേശം	s ʋʷ ɐ d̪ eː ʃ ɐ m
സ്വദേശി	s ʋʷ ɐ d̪ eː ʃ i
സ്വന്തം	s ʋʷ ɐ n̪ d̪ ɐ m
സ്വപരാഗണം	s ʋʷ ɐ b ɐ ɾ aː ɡ ɐ ɳ ɐ m
സ്വപ്നം	s ʋʷ ɐ p n ɐ m
സ്വഭാവം	s ʋʷ ɐ bʱ aː ʋ ɐ m
സ്വയം	s ʋʷ ɐ j ɐ m
സ്വരൂപം	s ʋʷ ɐ ɾ uː b ɐ m
സ്വസ്ഥം	s ʋʷ ɐ s t̪ʰ ɐ m ə̆
സ്വസ്ഥത	s ʋʷ ɐ s t̪ʰ ɐ d̪ ɐ
സ്വാതന്ത്ര്യം	s ʋʷ aː d̪ ɐ n̪ d̪ r j ɐ m
സ്വാദ്	s ʋʷ aː d̪ ə̆
സ്വാധീനം	s ʋʷ aː d̪ʱ iː n ɐ m
സ്വാധീനിക്കുക	s ʋʷ aː d̪ʱ iː n i k k u ɡ ɐ
സ്വാഭാവിക	s ʋʷ aː bʱ aː ʋ i ɡ ɐ
സ്വാഭാവികം	s ʋʷ aː bʱ aː ʋ i ɡ ɐ m
സ്വാർത്ഥ	s ʋʷ aː r t̪ t̪ʰ ɐ
സ്വാർത്ഥത	s ʋʷ aː r t̪ t̪ʰ ɐ d̪ ɐ
സ്വീകരിക്കുക	s ʋʷ iː ɡ ɐ ɾ i k k u ɡ ɐ
സ്വീകാര്യത	s ʋʷ iː ɡ aː ɾ j ɐ d̪ ɐ
സ്വർണ്ണം	s ʋʷ ɐ r ɳ ɳ ɐ m
സൾഫർ	s ä ɭ f ɐ r
ഹീലിയം	h iː l i j ɐ m
