A	a
afrikānisks	a f r i k āː n i s k s
afrikānisks	āː f r i k āː n i s k s
agresija	a ɡ ɾ æ s i jː a
agrs	a ɡ ɾ s
agrums	a ɡ ɾ u m s
aicināt	a î t s i n âː t
aicināt	ā ī t s i n âː t
aicināšana	a i t sː i n aː ʃ a nː a
airis	ā ī ɾ i s
aisbergs	a i s b æ ɾ ɡ s
aita	à j t a
aiz	à j s
aizdusa	à j z d u s a
aizgalds	à j z ɡ â l t s
aizmirst	à j z m ì ɾ s t
aizmārša	à i z m àː ɾ ʃ a
aizparīt	à j z p a ɾ îː t
aizspriedums	à j s p ɾ i ɛ̂ d u m s
aizstāvēt	a j s t āː v ɛ̂ː t
aizvakar	à j z v a k a r
aizvakardiena	à j z v a k a ɾ d ì ɛ n a
aizvietot	a i z v i ɛ t ɔ t
aka	a kː a
akcents	a k t s ɛ n t s
akcentuācija	a k t s ɛ n t u aː t s i jː a
akls	a k l s
aklums	a k l u m s
akmens	a k m ɛ n s
aknas	a k n a s
akrotērijs	a k ɾ o t æː ɾ i j s
akts	a k t s
aktīnijs	a k t īː n i j s
akustika	a k u s t i k a
akustisks	a k u s t i s k s
akustiķe	a k u s t i c e
akustiķis	a kː u s t i c i s
akvedukts	a k v ɛ d u k t s
akvārijs	a k v aː ɾ i j s
ala	a l a
albāniete	a l b āː n i ɛ t ɛ
albānis	a l b āː n i s
alfabēts	ā l f a b ɛ̄ː t͡s
algebra	a l ɡ ɛ b ɾ a
alksnis	à l k s n i s
allaž	ā lː a ʒ
alnis	â l n i s
alumīnijs	a l u m iː n i j s
alus	a l u s
alva	ā l v a
alķīmiķis	ɑ l c iː m i c i s
amerikāniete	a m ɛ ɾ i k āː n i ɛ t ɛ
amerikānis	a m ɛ ɾ i k āː n i s
amerikānisks	a m ɛ ɾ i k āː n i s k s
amerikānisms	a m ɛ ɾ i k āː n i s m s
amerīcijs	a m e r ìː t s i j s
amfībija	a m f īː b i j a
ananass	a n a n a s
anatome	a n a t ōː m ɛ
anatomija	a n a t ōː m i j a
anatomisks	a n a t ōː m i s k s
anatoms	a n a t ōː m s
andoriete	a n d o ɾ i ɛ t ɛ
anglis	ā ŋ ɡ l i s
anglisks	ā ŋ ɡ l i s k s
angļu	a ŋ ɡ ʎ u
anketa	ā ŋ k ɛ t a
antimons	ā n t i m ōː n s
antropologs	ā n t ɾ o p o l o ɡ s
antropoloģe	ā n t ɾ o p o l o ɟ ɛ
antropoloģija	ā n t ɾ o p o l o ɟ i j a
apart	a p â ɾ t
aparšana	a p a ɾ ʃ a n a
apavniece	a p a w n ì ɛ t s ɛ
apavnieks	a p a w n ì ɛ k s
apavs	a pː a w s
apcept	a p t s ɛ p t
apdārzs	a p d àː ɾ sː
apinis	a p i n i s
apinis	a p īː n i s
aplikācija	a p l i k aː t͡s i j a
aploksne	a p l ù o k s n e
apmainīt	a p m ā ī n îː t
apmainīšana	a p m ā ī n îː ʃ a n a
apmaiņa	a p m ā ī ɲ a
apodziņš	ɑ p ɔ d z i ɲ ʃ
apostrofs	a p o s t ɾ oː f s
aprikoze	a p ɾ i k oː z ɛ
apse	a p s ɛ
apspriede	a p s p ɾ i ɛ̂ d ɛ
apspriest	a p s p ɾ i ɛ̂ s t
apstāklis	a p s t àː k l i s
apstāklis	a p s t âː k l i s
apvidus	a p v i d u s
apvidvārds	a p v i d v aː ɾ d s
apvienot	ɑ b v i ɛ̯̂ n u ô̯ t
apziņa	a p z i ɲ a
arbūzs	â ɾ b ūː s
argons	a r ɡ ɔː n s
arkls	â ɾ k l s
armija	a ɾ m i j a
arsēns	a r s eː n s
art	â ɾ t
arvien	a ɾ v î ɛ n
arī	a ɾ îː
arī	a ɾ īː
asinis	a s i n i s
ass	a sː
astats	a s t a t s
aste	a s t ɛ
astere	a s t ɛ ɾ ɛ
astoņi	ɑ s t u o̯ ɲ i
astronomisks	a s t ɾ o n oː m i s k s
atart	a t â ɾ t
atbilde	a t b i l d ɛ
atbildēt	a t b î l d ɛ ː̂ t
atcept	a t t s ɛ p t
atgriezt	a t ɡ r i ɛ̂ s t
atgriezt	a t ɡ r ī ɛ̄ s t
atmiņa	a t m i ɲ a
atoms	a t oː m s
atoms	aː t oː m s
atrast	a t ɾ a s t
atslēga	a t s l æ̂ː ɡ a
atstāstījums	a t s t āː s t īː j u m s
atstāstīt	a t s t âː s t îː t
atvasara	a t v a s a ɾ a
atvere	a t v ɛ ɾ ɛ
atvērt	a t v ɛ̄ː ɾ t
audums	a u d u m s
auglis	â w ɡ l i s
augs	â w k s
augsme	â w k s m e
augsne	â w k s n ɛ
augsts	a û k s t͡s
augt	a û̯ k t
auka	ā w k a
aukla	à w k l a
auksts	ā ū k s t͡s
auns	à w n s
auss	à w s
aust	à w s t
aust	â w s t
austrumi	à w s t r u m i
aut	à u̯ t
aušana	â w ʃ a n a
aušana	â w ʃː a n a
aušana	ā w ʃː a n a
avokado	a v o k a d oː
avokado	a v o k aː d oː
avots	a v ū ɔ̯̄ t͡s
aģentūra	a ɟː e n t uː ɾ a
ašs	a ʃː
b	b
bacilis	b a t͡sː i l i s
badastreiks	b a dː a s t ɾ ɛ i k s
bads	b a t s
bagāts	b a ɡ āː t s
baidīt	b â j d îː t
baidīt	b ā ī d îː t
baigs	b a î ɡ s
bail	b â j l
bailes	b â j l ɛ s
balss	b à l s
baltkrievs	b a l t k ɾ ì e w s
balts	b ā l t s
baltums	b ā l t u m s
batoniņš	b a tː o nː i ɲ ʃ
baznīca	b a z n ìː t s a
bebris	b ɛ b ɾ i s
bebrs	b æ b ɾ s
berilijs	b e r i l i j s
berklijs	b e r k l i j s
bet	b ɛ t
biedre	b ì ɛ d ɾ ɛ
biedrs	b ì ɛ d r s
biezs	b ì ɛ s
biežs	b ì ɛ ʃː
bikls	b i k l s
bikses	b i k s ɛ s
bilde	b i lː d e
bildēt	b i lˀ d eːˀ t
bildēt	b i lː d eːˀ t
binoklis	b ì n o k l i s
birka	b ì ɾ k a
birža	b ī ɾ ʒ a
bismuts	b i s m u t s
bite	b i tː ɛ
blusa	b l u sː a
blāvs	b l āː w s
blīvs	b l īː w s
bole	b ū ō l e
borijs	b ɔː r i j s
bors	b ɔː r s
brasls	b ɾ a s l s
brauciens	b r à w t s i ɛ n s
braukt	b ɾ à w k t
briedis	b ɾ i ɛ̂ d i s
briesmas	b ɾ ī ɛ̄ s m a s
brilles	b ɾ ī l l ɛ s
brokastis	b ɾ ū ɔ̯̄ k a s t i s
broms	b r ɔ m s
broms	b r ɔː m s
brunets	b ɾ u nː æ t s
bruņas	b r u ɲ ɑ s
brālis	b ɾ āː l i s
brālēns	b r āː l æː n s
brīdis	b ɾ îː d i s
brīvs	b r īː w s
brūngans	b r ūː n ɡ a n s
brūngans	b r ūː ŋ ɡ a n s
brūns	b ɾ ū n s
bulta	b ū l t a
bumba	b ū m b a
bumbieris	b u m b i ɐ̯ r i s
bura	b u ɾ a
burka	b ù ɾ k a
burka	b ū ɾ k a
burkāns	b ū ɾ k āː n s
burtnīca	b ū r t n ì t s a
burts	b ū r t s
burāt	b u ɾ aː t
burātājs	b u ɾ aː t aː j s
buča	b u t ʃ a
bāls	b āː l s
bālums	b āː l u m s
bārabērns	b àː ɾ a b æ̀ː ɾ n s
bārda	b àː ɾ d a
bārdains	b àː ɾ d ā j n s
bāre	b àː ɾ ɛ
bārene	b àː ɾ ɛ n ɛ
bārenis	b àː ɾ ɛ n i s
bāris	b àː ɾ i s
bē	b ɛː
bēda	b æ̀ː d a
bēgt	b ɛ̂ː k t
bērns	b æ̀ː ɾ n s
bērzs	b ǣː r s
bīstamais	b iː s t a mː a i s
bīstami	b iː s t a mː i
bīstams	b iː s t a m s
bīstamākais	b iː s t a m aː k a i s
bīstamāks	b iː s t a m aː k s
bīties	b îː t i ɛ̂ s
bļoda	b ʎ ū ō d a
būcenis	b uː t s ɛ n i s
būt	b ûː t
c	t s
cauna	t s a û n a
caur	t s ā ū ɾ
caurs	t s ā ū ɾ s
celis	t s ɛ l i s
celt	t͡s ɛ̂ l t
cena	t͡s æ n a
censties	t s ɛ̀ n s t i ɛ̂ s
cepetis	t s ɛ p ɛ t i s
cepeškrāsns	t s ɛ p ɛ ʃ k ɾ âː s n s
cepešpanna	t͡s ɛ pː ɛ ʃ p a nː a
cepiens	t s ɛ p i e n s
ceplis	t s ɛ p l i s
cept	t͡s ɛ p t
cepties	t͡s ɛ p t i ɛ̂ s
ceptuve	t s æ p t u v ɛ
cepums	t͡s æ pː u m s
cerēt	t s ɛ ɾ ɛ̂ː t
ceļš	t s ɛ ʎ ʃ
ciems	t s ì e m s
ciet	t s i ɛ̂ t
ciets	t s i ɛ̂ t s
ciešs	t s i ɛ̂ ʃ
cilts	t s î l t s
cilvēks	t͡s ì l v ǣː k s
cilvēks	t͡s ì ɫ v ǣː k s
cimds	t s ì m t s
cipars	t s i p a r s
cirslis	t s ì ɾ s l i s
citronkoks	t s i t ɾ o n k ù o k s
citrons	t s i t ɾ oː n s
cits	t s i t s
cukurs	t͡s u kː u ɾ s
cālis	t s āː l i s
cē	t s ɛː
cēls	t s eː l s
cērijs	t s ɛ̄ː ɾ i j s
cēsnieks	t s ēː s i n i ɛ k s
cēsnieks	t s ēː s n i ɛ k s
cūciņa	t s ūː t s i ɲ a
cūka	t͡s ūː k a
cūkgaļa	t s ūː k ɡ a ʎ a
d	d
dabūt	d a b ûː t
daikts	d a î k t͡s
daile	d ā ī l ɛ
daiļš	d ā ī ʎ ʃ
dalīt	d a l îː t
dancis	d ā n t s i s
darbarīks	d â ɾ b a ɾ ìː k s
darbs	d â ɾ p s
darīt	d a r îː t
dators	d a t ɔ̄ː ɾ s
daudz	d ā ū̯ d͡z
daudzi	d ā ū d z i
daudzskaitlis	d ā ū̯ d͡z s k à i̯ t l i s
daļiņa	d a ʎ i ɲ a
daži	d a ʒ i
dažreiz	d a ʒ ɾ ɛ ī z
dažs	d a ʃː
debils	d e b i l s
debils	d e b iː l s
degt	d e k t
degvīns	d æ ɡ v īː n s
dejot	d ɛ j u ô t
delegācija	d æ lː æ ɡ aː t s i jː a
desa	d æ sː a
desmit	d ɛ s m i t
deviņi	d ɛ v i ɲ i
dibens	d i b æ n s
diemžēl	d ì ɛ̯ m ʒ ǣː l
diena	d ì ɛ n a
diennakts	d ì ɛ n n a k t s
dieve	d ì ɛ v ɛ
dievs	d ì ɛ w s
direktore	d i ɾ ɛ k t oː ɾ ɛ
direktors	d i ɾ ɛ k t oː ɾ s
dirst	d ì ɾ s t
diskutēt	d i s k u t ɛ̂ː t
divdabis	d i w d a b i s
divi	d i v i
dobjš	d u ɔ̂ pʲ ʃ
dobs	d u ɔ̂ p s
doma	d ū ɔ̄ m a
dome	d ū ɔ̄ m ɛ
domāju	d̪ u ɔ m ɑ̟ː j u
domāt	d ū ɔ̄ m âː t
dot	d u ɔ̯ t
drakons	d ɾ a k oː n s
draugs	d r à͜ʊ k s̪
drosme	d ɾ ù o s m e
drošs	d ɾ ù o ʃ
drāna	d r āː n a
drēgns	d r ǣː ɡ n s
drīkstēt	d ɾ ìː k s t ɛ̂ː t
ducis	d u t͡sː i s
dundurs	d ū n d u ɾ s
dusa	d u s a
dusēt	d u s ɛ̂ː t
duļķes	d ū ʎ c ɛ s
duša	d u ʃː a
dvielis	d v ī ē ɫ i s
dvēsele	d v ɛ̄ː s ɛ l ɛ
dvīne	d v ìː n ɛ
dvīnis	d v ìː n i s
dzeguze	d͡z æ ɡ u z ɛ
dzejolis	d͡z ɛ j ɔ l i s
dzelt	d z ɛ̂ l t
dzeltens	d z æ̀ l t æ n s
dzelzs	d z ɛ̀ l s
dzert	d͡z ɛ̂ ɾ t
dzestrs	d z æ s t ɾ s
dzestrums	d z æ s t ɾ u m s
dziedāt	d͡z i ɛ̂ d âː t
dziesma	d z i ɛ̂ s m a
dzimt	d z ì m t
dzimt	d z î m t
dzimt	d z ī m t
dzimta	d z ì m t a
dzimte	d z ì m t ɛ
dzimtene	d z î m t e n e
dzimtene	d z ī m t e n e
dzimšana	d z î m ʃ a n a
dzimšana	d z ī m ʃ a n a
dzintars	d͡z ī n t a ɾ s
dzirdēt	d z ì ɾ d ɛ̂ː t
dziļš	d͡z i ʎ ʃ
dzērve	d͡z ɛ̄ː ɾ v ɛ
dzīsla	d z îː s l a
dzīt	d z îː t
dzīt	d z īː t
dzīvnieks	d z î u n ì ɛ k s
dzīvoklis	d z īː v u o k l i s
dzīvot	d z îː vʷ ô t
dzīvs	d z îː w s
dzīšana	d z î ʃ a n a
dzīšana	d z ī ʃ a n a
dāma	d āː m a
dārgs	d àː ɾ ɡ s
dārzs	d àː ɾ s
dāsns	d âː s n s
dāsns	d āː s n s
dāvana	d ɑ̄ː v ɑ n ɑ
dē	d ɛː
dēle	d ɛ̂ː l ɛ
dēli	d æ̂ː l i
dēli	d ɛ̂ː l i
dēli	d ɛ̄ː l i
dēlis	d ɛ̄ː l i s
dēls	d æ̂ː l s
dēļ	d ɛ̄ː ʎ
dīvains	d īː v a j n s
dūzis	d ūː z i s
e	æ
e	ɛ
ef	ɛ f
egle	ɛ ɡ l ɛ
eiro	ɛ ì ɾ ɔ
eiro	ɛ̄ ī ɾ ɔ
eja	ɛ j a
ejakulējoši	ʔ ɛ i̯ ə k ʊ ɫ ɛː j ɔ ʃ ɪ
eksperimentēt	æ k s p æ ɾː i m æ n t æː t
el	ɛ l
elkonis	æ̀ l k u ɔ̯̂ n i s
elkons	æ̀ l k u ɔ̯̂ n s
elpa	ǣ l p a
elpot	ǣ l p u ɔ̯̂ t
elpošana	ǣ l p u ɔ̯̂ ʃ a n a
em	ɛ m
en	ɛ n
enciklopēdija	æ n t s i k l ɔ p æː d i jː a
er	ɛ ɾ
ercens	æ̂ ɾ t͡s æ n s
erotisks	ɛ ɾ ɔː t i s k s
erozija	ɛ ɾ oː z i j a
es	ɛ s
esam	æ sː a m
esamība	æ s a m īː b a
esat	æ sː a t
esmu	æ s m u
ezers	æ z æ ɾ s
ezis	ɛ z i s
eļ	ɛ ʎ
eļļa	æ ʎː a
eņ	ɛ ɲ
eŗ	ɛ rʲ
eš	ɛ ʃ
f	f
fakts	f a k t s
fantastika	f a n t a s t i k a
fantastisks	f a n t a s t i s k s
folklora	f o l k l oː ɾ a
futbols	f u d b ɔː l s
g	ɡ
gads	ɡ a t͡s
gadsimts	ɡ a t s ì m t s
gaist	ɡ à j s t
gaist	ɡ â j s t
gaist	ɡ ā j s t
gaišs	ɡ à j ʃ
galds	ɡ â l t s
galerts	ɡ ə l ɜ r t s
gals	ɡ a l s
galva	ɡ ɑ̂ ɫ v a
galvaspilsēta	ɡ â l v a s p ì l s ǣː t a
gards	ɡ â ɾ t s
garša	ɡ â ɾ ʃ a
gatavot	ɡ a t a v u ô t
gatavs	ɡ a tː a w s
gaume	ɡ ā ū m e
gavēt	ɡ a v æː t
gaļa	ɡ a ʎ a
gliemezis	ɡ l ī ɛ̄ m ɛ z i s
glābt	ɡ l âː p t
glāze	ɡ l āː z ɛ
glīts	ɡ l îː t s
gnīda	ɡ n īː d a
gods	ɡ ù ɔ t͡s
godāt	ɡ ù ɔ d âː t
gotu	ɡ o t u
govs	ɡ ù o w s
gramatika	ɡ ɾ a m a t i k a
grebt	ɡ r ɛ b t
gredzens	ɡ ɾ æ d z æ n s
grezns	ɡ ɾ æ z n s
gribēt	ɡ ɾ i b ɛ̂ː t
grieznes	ɡ ɾ i ɛ̂ z n ɛ s
griezt	ɡ r i ɛ̂ s t
griezt	ɡ r ī ɛ̄ s t
griešana	ɡ r i ê ʃː a n a
griešana	ɡ r ī ē ʃː a n a
grāmata	ɡ ɾ āː m a t a
grīva	ɡ ɾ īː v a
grūsns	ɡ ɾ ūː s n s
grūtniecība	ɡ ɾ ūː t n ì ɛ t s īː b a
grūts	ɡ ɾ ūː t s
grūtums	ɡ ɾ ūː t u m s
gulbis	ɡ ù l b i s
gulta	ɡ ù l t a
gulta	ɡ ū l t a
gulēt	ɡ u l ɛ̂ː t
gurķis	ɡ û ɾ c i s
gā	ɡ aː
gādāt	ɡ āː d âː t
gāze	ɡ âː z e
gāze	ɡ āː z e
h	x
haizivs	x ā ī̯ z i w s
handbolists	x a n d b ɔ lː i s t s
handbols	x a n d b ɔ l s
hasīdisms	x a s iː d i s m s
hroms	h r ɔ m s
hroms	h r ɔː m s
hroms	x r ɔ m s
hroms	x r ɔː m s
hā	x aː
i	i
iecept	i ɛ t s ɛ p t
iedvesma	ì ɛ d v ɛ s m a
iekļūt	ì ɛ k ʎ ûː t
iekša	ì ɛ k ʃ a
iela	ì ɛ l a
ierocis	ì ɛ ɾ u ô t s i s
iespēt	ì ɛ̯ s p ɛ̄ː t
iet	i ɛ̂ t
iet	i ɛ̄ t
igaunis	i ɡ ā ū n i s
ilgs	ī ɫ k s
inde	ī n d ɛ
insekts	i n s ɛ k t s
inspiratore	i n s p i ɾ a t oː ɾ ɛ
inspiratore	i n s p i ɾ aː t oː ɾ ɛ
inspirators	i n s p i ɾ a t oː ɾ s
inspirators	i n s p i ɾ aː t oː ɾ s
interpunkcija	i n t e ɾ p u n k t s i j a
intonācija	i n t o n āː t s i j a
intuīcija	i n t u ī c i j a
intīms	īː n t īː m s
ir	i r
istaba	i s t a b a
izart	i z â ɾ t
izcept	i s t s ɛ p t
izcils	i s t s i l s
izkapts	i s k a p t s
izputēt	i z p u t æː t
izskatās	i sː k a t aː s
izskatīties	i sː k a t iː t i ɛ̯ s
izteikt	i s t ɛ̀ i k t
iztulkot	i s t ū l k u ô t
j	j
jaguārs	j a ɡː u aː r s
jakts	j a k t s
jau	j à u̯
jauks	j â w k s
jauns	j a û̯ n s
jautrs	j à w t ɾ s
jautāt	j ā ū t â t
jebkurš	j ɛ p k u ɾ ʃ
jods	j oː t s
jods	j u o t s
jokot	j u ō k u ô t
joks	j u ō k s
jonosfēra	j ɔ nː ɔ s f æː ɾ a
joprojām	j ù o p ɾ u ô j âː m
joprojām	j ù o p ɾ u ô j āː m
josla	j u ɔ̯̂ s l a
josta	j u ɔ̯̂ s t a
jumts	j ù m t s
just	j u s t
jā	j àː
jāņoga	j āː ɲ u ɔ̯̂ ɡ a
jē	j ɛː
jēdzīgs	j ɛ̄ː d͡z îː k s
jēga	j ǣː ɡ a
jēgt	j ɛ̄ː k t
jēls	j æ̂ː l s
jērs	j ǣː ɾ s
jūra	j ūː ɾ a
jūrascūciņa	j ūː ɾ a s t s ūː t s i ɲ a
jūs	j uː s
k	k
ka	k a
kaija	k ā ī j a
kails	k a î l s
kaitināt	k ā ī t i n âː t
kalns	k â l n s
kalps	k ā l p s
kalt	k ā l t
kapibara	k a p i b a ɾ a
kapitālists	k a pː i t aː l i s t s
kaplis	k a p l i s
kaplēt	k a p l ɛ̂ː t
karaliene	k a ɾ a l ī ɛ̄ n ɛ
karalis	k a ɾ a l i s
karaspēks	k à ɾ a s p æ̀ː k s
karatē	k a ɾː a t eː
kareivis	k a ɾ ɛ̄ ī v i s
karogs	k a ɾ u ō k s
karote	k a r u ô t e
karsts	k â ɾ s t s
kartupelis	k ā r t u p e l i s
karāties	k ɑ r ɑː t i ɛ s
karš	k à ɾ ʃ
kase	k a sː ɛ
katedrāle	k a tː æ d ɾ aː l æ
katedrāli	k a tː æ d ɾ aː l i
kaukt	k à u̯ k t
kauns	k à w n s
kaut	k a û̯ t
kaza	k a z a
kaķe	k a c ɛ
kaķene	k a c ɛ n ɛ
kaķis	k a cː i s
kija	k i j a
kinoteātris	k i n ɔ t e aː t r i s
kivi	k i v i
kivi	k i v iː
klade	k l a d e
klaips	k l à j p s
klaips	k l â j p s
klausīt	k l à w s îː t
klausīt	k l ā ū s îː t
klausīties	k l à w s îː t i ɛ̂ s
klausīties	k l ā ū s îː t i ɛ̂ s
klaviatūra	k l a v j a t ūː ɾ a
klepot	k l æ p u ô t
klepus	k l æ p u s
klints	k l ī n t s
klons	k l o n s
klons	k l ū ō n s
klosteris	k l u o s t ɛ ɾ i s
klupt	k l u p t
kluss	k l u s
klusēt	k l u s ɛ t
klēpjdators	k l ɛ̀ː pʲ d a t ɔ̄ː ɾ s
klēts	k l ɛ̄ː t s
knašs	k n a ʃ
knābis	k n àː b i s
koks	k ù o k s
komandantstunda	k ɔ m a n d a n t s t u n d a
komats	k o m a t s
komunisms	k ɔː m u nː i s m s
komunists	k ɔː m u nː i s t s
konjugēt	k ɔ n j u ɡ ɛː t
konkurss	k ɔ n k u r s
kopā	k u ō p aː
kost	k u ɔ̯̂ s t
kreicis	k ɾ ɛ̄ ī̯ t͡s i s
kreile	k ɾ ɛ̄ ī l ɛ
kreilis	k ɾ ē ī l i s
kreiss	k ɾ è j s
krievs	k ɾ ì ɛ w s
krona	k r ōː n a
kronis	k ɾ ū ō n i s
krusts	k ɾ u s t͡s
krāce	k ɾ āː t s ɛ
krāsa	k r āː s a
krāsns	k ɾ âː s n s
krāšņs	k ɾ àː ʃ ɲ s
krēsla	k r ǣː s l a
krēslains	k r ǣː s l a i n s
krēslot	k ɾ æ̀ː s l u ô t
krēslot	k ɾ ǣː s l u ô t
krēslošana	k r ǣː s l u ɔ ʃ a n a
krēsls	k r ǣː s l s
krūms	k ɾ ūː m s
kukainis	k u k â j n i s
kult	k ū l t
kungs	k ù ŋ k s
kur	k ù ɾ
kur	k û ɾ
kur	k ū ɾ
kurls	k û ɾ l s
kurls	k ū ɾ l s
kurlums	k û ɾ l u m s
kurlums	k ū ɾ l u m s
kurmis	k ū ɾ m i s
kurpe	k û ɾ p ɛ
kurpe	k ū ɾ p ɛ
kurt	k û r t
kurt	k ū r t
kustonis	k u s t u ô n i s
kustēt	k u s t ɛ̂ː t
kuģis	k u ɟ i s
kuņģis	k ū ɲ ɟ i s
kvieši	k v ì ɛ ʃ i
kā	k âː
kā	k āː
kādreiz	k â d r e ī z
kāds	k ɑ̟ː t̪ s̪
kāja	k āː j a
kājbumba	k āː j b ū m b a
kāmis	k āː m i s
kāpnes	k âː p n ɛ s
kāposti	k àː p u ô s t i
kāpt	k âː p t
kāpēc	k âː p êː t s
kāravs	k āː ɾ a w s
kārs	k āː r s
kārts	k āː ɾ t s
kāsis	k àː s i s
kāss	k āː s
kļūda	k ʎ ûː d a
kļūt	k ʎ ûː t
kūka	k ūː k a
kūts	k ūː t s
l	l
labi	ɫ ɑ̟ b ɪ
labrīt	l a b ɾ îː t
labrīts	l a b ɾ îː t s
labvakar	l a b v a k a ɾ
labība	l a b ìː b a
lai	l a î
laidnis	l a î d n i s
laikmets	l ā ī k m æ t͡s
laiks	ɫ ā ī̯ k s̪
laime	l ā ī m ɛ
laimēties	l a i m ɛː t i e s
laimīgs	l ā ī m îː ɡ s
laipns	l ā ī p n s
laisks	l ā ī̯ s k s
laist	l a î s t
laiva	l ā ī v a
laizīt	l a i z iː t
lakstīgala	l a k s t îː ɡ a l a
lakstīgala	l a k s t īː ɡ a l a
lapsa	l a p s a
lapsene	ɫ ɑ p s ɛ n ɛ
lasis	l a sː i s
lasīt	l a s îː t
latvis	l a t v i s
lauks	l ā ū k s
lauva	l ā w v a
ledus	l æ d u s
leduskalns	l æ dː u s k a l n s
ledusskapis	l æ d u sː k a pː i s
leitis	l ɛ̄ ī t i s
lepns	l æ p n s
leģenda	l ɛ ɟ ɛ̄ n d a
lidot	l i d u ô t
liegt	l i ɛ̂ k t
lielpilsēta	l ī ɛ̄ l p ì l s ǣː t a
liels	l i ɛ̂ l s
liels	l ī ɛ̄ l s
lielīgs	l ī ɛ̄ l îː k s
liepa	l ī ɛ̄ p a
liet	l i ɛ̂ t
lieta	l ì ɛ t a
lietojumi	l i ɛ tː ɔ jː u mː i
lietojums	l i ɛ tː ɔ jː u m s
lietus	l i ɛ̂ t u s
lietussargs	l i ê̞̯ t u sː â ɾ k s
lietvārds	l ì ɛ t v àː ɾ d s
ligzda	l i ɡ z d a
loceklis	l ù o t s e k l i s
locījums	l ù o t s îː j u m s
lode	l ū ō d ɛ
logaritms	l o ɡ a ɾ i t m s
logs	l u ô k s
lokans	l ù o k a n s
loks	l ù ɔ̯ k s
loks	l û ɔ̯ k s
loks	l ū ɔ̯ k s
lops	l ū ō p s
lācene	l âː t s ɛ n ɛ
lācis	l âː t s i s
lāpsta	l âː p s t a
lāpstiņa	l âː p s t i ɲ a
lēca	l ǣː t s a
lēns	l æ̀ː n s
lēts	l ǣː t s
līdzeklis	l iː d z æ k l i s
līdzskanis	l īː d s k a n i s
