'day	d a i
abnormalidad	ʔ a b n o ɾ m a l i d a d
abnoy	ʔ a b n o i
abo	ʔ a b o
abobot	ʔ a b o b o t
abog	ʔ a b o ɡ
abogada	ʔ a b o ɡ a d a
abogado	ʔ a b o ɡ a d o
abogasya	ʔ a b o ɡ a s j a
abok	ʔ a b o k
abokado	ʔ a b o k a d o
abolisyon	ʔ a b o l i s j o n
abono	ʔ a b o n o
aborsiyon	ʔ a b o ɾ s j o n
aborsiyonista	ʔ a b o ɾ s i o n i s t a
aborsyonista	ʔ a b o ɾ s j o n i s t a
abot	ʔ a b o t
abot	ʔ a b o t
aboy	ʔ a b o i
abra	ʔ a b ɾ a
abrasador	ʔ a b ɾ a s a d o ɾ
abrasete	ʔ a b ɾ a s e t e
abrasyete	ʔ a b ɾ a s j e t e
abrazado	ʔ a b ɾ a s a d o
abrelata	ʔ a b ɾ e l a t a
abrenica	ʔ a b ɾ e n i k a
abrigo	ʔ a b ɾ i ɡ o
abril	ʔ a b ɾ i l
absik	ʔ a b s i k
abuab	ʔ a b u ʔ a b
abubot	ʔ a b u b o t
abucay	ʔ a b u k a i
abueg	ʔ a b w e ɡ
abuhan	ʔ a b u h a n
abuhan	ʔ a b u h a n
abuhin	ʔ a b u h i n
abuhin	ʔ a b u h i n
abukado	ʔ a b u k a d o
abukanin	ʔ a b u k a n i n
abukay	ʔ a b u k a i
abukay	ʔ a b u k a i
abulencia	ʔ a b u l e n s j a
abuloy	ʔ a b u l o i
abuluyan	ʔ a b u l u j a n
abuluyan	ʔ a b u l u j a n
aburido	ʔ a b u ɾ i d o
aburido	ʔ a b u ɾ i d o
abusado	ʔ a b u s a d o
abuso	ʔ a b u s o
abusuhin	ʔ a b u s u h i n
abutab	ʔ a b u t a b
abutan	ʔ a b u t a n
abutan	ʔ a b u t a n
abutan	ʔ a b u t a n
abutin	ʔ a b u t i n
abutin	ʔ a b u t i n
abuwab	ʔ a b u a b
abwab	ʔ a b w a b
abyad	ʔ a b j a d
abyador	ʔ a b j a d o ɾ
abyarin	ʔ a b j a ɾ i n
abyasyon	ʔ a b j a s j o n
abyog	ʔ a b j o ɡ
abyugin	ʔ a b j u ɡ i n
acebedo	ʔ a s e b e d o
acierto	ʔ a s j e ɾ t o
acorda	ʔ a k o ɾ d a
acosta	ʔ a k o s t a
acuzar	ʔ a k u s a ɾ
acuña	ʔ a k u ɲ a
ada	ʔ a d a
adajar	ʔ a d a h a ɾ
adan	ʔ a d a n
adberbiyo	ʔ a d b e ɾ b i o
adbiyento	ʔ a d b i e n t o
adbokasiya	ʔ a d b o k a s i a
adelanto	ʔ a d e l a n t o
adelpa	ʔ a d e l p a
adhika	ʔ a d h i k a ʔ
adhikain	ʔ a d h i k a ʔ i n
adidas	ʔ a d i d a s
adik	ʔ a d i k
adiksiyon	ʔ a d i k s j o n
adiksyon	ʔ a d i k s j o n
adikto	ʔ a d i k t o
adisyunal	ʔ a d i s j u n a l
adlaw	ʔ a d l a u
adlawan	ʔ a d l a w a n
administrador	ʔ a d m i n i s t ɾ a d o ɾ
administrasyon	ʔ a d m i n i s t ɾ a s j o n
administratibo	ʔ a d m i n i s t ɾ a t i b o
admiral	ʔ a d m i ɾ a l
adobe	ʔ a d o b e
adobo	ʔ a d o b o
adopsiyon	ʔ a d o p s j o n
adopsyon	ʔ a d o p s j o n
adorador	ʔ a d o ɾ a d o ɾ
adorno	ʔ a d o ɾ n o
adres	ʔ a d ɾ e s
adrias	ʔ a d ɾ i a s
adulto	ʔ a d u l t o
aduwana	ʔ a d u a n a
adwa	ʔ a d w a ʔ
adwana	ʔ a d w a n a
adya	ʔ a d j a
adyenda	ʔ a d j e n d a
adyo	ʔ a d j o ʔ
adyo	ʔ a d j o
adyo	ʔ a d j o
aga	ʔ a ɡ a
agaas	ʔ a ɡ a ʔ a s
agaas	ʔ a ɡ a a s
agad	ʔ a ɡ a d
agahan	ʔ a ɡ a h a n
agahas	ʔ a ɡ a h a s
agahas	ʔ a ɡ a h a s
agalya	ʔ a ɡ a l j a
agam	ʔ a ɡ a m
agamahan	ʔ a ɡ a m a h a n
agap	ʔ a ɡ a p
agapay	ʔ a ɡ a p a i
agapay	ʔ a ɡ a p a i
agaran	ʔ a ɡ a ɾ a n
agas	ʔ a ɡ a s
agas	ʔ a ɡ a s
agata	ʔ a ɡ a t a
agatat	ʔ a ɡ a t a t
agaw	ʔ a ɡ a u
agaw	ʔ a ɡ a u
agbarog	ʔ a ɡ b a ɾ o ɡ
agbarugan	ʔ a ɡ b a ɾ u ɡ a n
agbon	ʔ a ɡ b o n
agham	ʔ a ɡ h a m
aghambuhay	ʔ a ɡ h a m b u h a i
aghamwika	ʔ a ɡ h a m w i k a ʔ
aghimo	ʔ a ɡ h i m o ʔ
aghimuan	ʔ a ɡ h i m u a n
aghimuin	ʔ a ɡ h i m u i n
agihap	ʔ a ɡ i h a p
agila	ʔ a ɡ i l a
agimat	ʔ a ɡ i m a t
agimatan	ʔ a ɡ i m a t a n
agingay	ʔ a ɡ i ŋ a i
agipo	ʔ a ɡ i p o
agiw	ʔ a ɡ i u
aglahi	ʔ a ɡ l a h i ʔ
agnas	ʔ a ɡ n a s
agnos	ʔ a ɡ n o s
agong	ʔ a ɡ o ŋ
agos	ʔ a ɡ o s
agosto	ʔ a ɡ o s t o
agoy	ʔ a ɡ o i
agpang	ʔ a ɡ p a ŋ
agrabyado	ʔ a ɡ ɾ a b j a d o
agresibo	ʔ a ɡ ɾ e s i b o
agrikultura	ʔ a ɡ ɾ i k u l t u ɾ a
agrimensor	ʔ a ɡ ɾ i m e n s o ɾ
agsikap	ʔ a ɡ s i k a p
agsikapan	ʔ a ɡ s i k a p a n
agta	ʔ a ɡ t a
aguas	ʔ a ɡ u a s
aguda	ʔ a ɡ u d a
aguha	ʔ a ɡ u h a
aguhilya	ʔ a ɡ u h i l j a
aguho	ʔ a ɡ u h o ʔ
aguho	ʔ a ɡ u h o ʔ
aguhon	ʔ a ɡ u h o n
aguilar	ʔ a ɡ i l a ɾ
aguilera	ʔ a ɡ i l e ɾ a
aguirre	ʔ a ɡ i ɾ e
agulo	ʔ a ɡ u l o
agusan	ʔ a ɡ u s a n
agusil	ʔ a ɡ u s i l
agustin	ʔ a ɡ u s t i n
agustino	ʔ a ɡ u s t i n o
agwa	ʔ a ɡ w a
agwa	ʔ a ɡ w a
agwa	ʔ a ɡ w a
agwahe	ʔ a ɡ w a h e
agwamarina	ʔ a ɡ w a m a ɾ i n a
agwaras	ʔ a ɡ w a ɾ a s
agwardiyente	ʔ a ɡ w a ɾ d i e n t e
agwardyente	ʔ a ɡ w a ɾ d j e n t e
agwas	ʔ a ɡ w a s
agwas	ʔ a ɡ w a s
agwat	ʔ a ɡ w a t
agwela	ʔ a ɡ w e l a
agwelo	ʔ a ɡ w e l o
ahang	ʔ a h a ŋ
ahang	ʔ a h a ŋ
ahas	ʔ a h a s
ahedres	ʔ a h e d ɾ e s
ahedres	ʔ a h e d ɾ e s
ahensiya	ʔ a h e n s i a
ahente	ʔ a h e n t e
ahit	ʔ a h i t
ahit	ʔ a h i t
ahiya	ʔ a h i a
ahiya	ʔ a h i a
ahon	ʔ a h o n
ahunin	ʔ a h u n i n
akademya	ʔ a k a d e m j a
akala	ʔ a k a l a ʔ
akala	ʔ a k a l a
akap	ʔ a k a p
akasya	ʔ a k a s j a
akawntant	ʔ a k a u n t a n t
akay	ʔ a k a i
akayin	ʔ a k a j i n
akayin	ʔ a k a j i n
akba	ʔ a k b a
akba	ʔ a k b a
akbay	ʔ a k b a i
akda	ʔ a k d a ʔ
akibat	ʔ a k i b a t
akiko	ʔ a k i k o
akin	ʔ a k i n
akit	ʔ a k i t
akit	ʔ a k i t
aklan	ʔ a k l a n
aklas	ʔ a k l a s
aklat	ʔ a k l a t
aklatan	ʔ a k l a t a n
akma	ʔ a k m a ʔ
akma	ʔ a k m a
ako	ʔ a k o
ako	ʔ a k o ʔ
akom	ʔ a k o m
akom	ʔ a k o m
akompanya	ʔ a k o m p a n j a
akordeon	ʔ a k o ɾ d e o n
akordeon	ʔ a k o ɾ d i o n
akreditasyon	ʔ a k ɾ e d i t a s j o n
akronim	ʔ a k ɾ o n i m
akrostik	ʔ a k ɾ o s t i k
aksaya	ʔ a k s a j a
aksayado	ʔ a k s a j a d o
aksibal	ʔ a k s i b a l
aksidente	ʔ a k s i d e n t e
aksiyon	ʔ a k s j o n
aksyon	ʔ a k s j o n
aktibidad	ʔ a k t i b i d a d
aktibidades	ʔ a k t i b i d a d e s
aktibismo	ʔ a k t i b i s m o
aktibista	ʔ a k t i b i s t a
aktibo	ʔ a k t i b o
akto	ʔ a k t o
aktor	ʔ a k t o ɾ
aktres	ʔ a k t ɾ e s
aktres	ʔ a k t ɾ e s
aktuwal	ʔ a k t u a l
akuin	ʔ a k u ʔ i n
akumulasyon	ʔ a k u m u l a s j o n
akurdiyon	ʔ a k u ɾ d i o n
akusa	ʔ a k u s a
akusado	ʔ a k u s a d o
akwarela	ʔ a k w a ɾ e l a
akwaryum	ʔ a k w a ɾ j u m
akyat	ʔ a k j a t
akyatan	ʔ a k j a t a n
akyatan	ʔ a k j a t a n
akyatin	ʔ a k j a t i n
alaala	ʔ a l a ʔ a l a
alaala	ʔ a l a ʔ a l a
alabastro	ʔ a l a b a s t ɾ o
alabok	ʔ a l a b o k
alabwab	ʔ a l a b w a b
alaga	ʔ a l a ɡ a ʔ
alaga	ʔ a l a ɡ a ʔ
alagad	ʔ a l a ɡ a d
alagaw	ʔ a l a ɡ a u
alahas	ʔ a l a h a s
alahero	ʔ a l a h e ɾ o
alak	ʔ a l a k
alakdan	ʔ a l a k d a n
alala	ʔ a l a l a
alala	ʔ a l a l a
alalahanin	ʔ a l a l a h a n i n
alalahanin	ʔ a l a l a h a n i n
alalawa	ʔ a l a l a w a ʔ
alalay	ʔ a l a l a i
alalay	ʔ a l a l a i
alam	ʔ a l a m
alam	ʔ a l a m
alam	ʔ a l a m
alamang	ʔ a l a m a ŋ
alamat	ʔ a l a m a t
alambre	ʔ a l a m b ɾ e
alambrera	ʔ a l a m b ɾ e ɾ a
alamid	ʔ a l a m i d
alamin	ʔ a l a m i n
alampay	ʔ a l a m p a i
alangaang	ʔ a l a ŋ a ʔ a ŋ
alangan	ʔ a l a ŋ a n
alanganin	ʔ a l a ŋ a n i n
alangilan	ʔ a l a ŋ i l a n
alapaw	ʔ a l a p a u
alarma	ʔ a l a ɾ m a
alas	ʔ a l a s
alaskador	ʔ a l a s k a d o ɾ
alat	ʔ a l a t
alay	ʔ a l a i
alba	ʔ a l b a
albahaka	ʔ a l b a h a k a
albakora	ʔ a l b a k o ɾ a
albanya	ʔ a l b a n j a
albarikoke	ʔ a l b a ɾ i k o k e
albay	ʔ a l b a i
albay	ʔ a l b a i
alberto	ʔ a l b e ɾ t o
alboroto	ʔ a l b o ɾ o t o
albularyo	ʔ a l b u l a ɾ j o
alcaide	ʔ a l k a i d e
aldover	ʔ a l d o b e ɾ
ale	ʔ a l e
alegre	ʔ a l e ɡ ɾ e
aleman	ʔ a l e m a n
alemanya	ʔ a l e m a n j a
alfaro	a l f a ɾ o
algodon	ʔ a l ɡ o d o n
alguwasil	ʔ a l ɡ u a s i l
alibadbad	ʔ a l i b a d b a d
alibugha	ʔ a l i b u ɡ h a ʔ
aligaga	ʔ a l i ɡ a ɡ a ʔ
aligi	ʔ a l i ɡ i
alikabok	ʔ a l i k a b o k
alila	ʔ a l i l a ʔ
alilis	ʔ a l i l i s
alilis	ʔ a l i l i s
alilisan	ʔ a l i l i s a n
alimango	ʔ a l i m a ŋ o
alimango	ʔ a l i m a ŋ o
alimasag	ʔ a l i m a s a ɡ
alimis	ʔ a l i m i s
alimpayawan	ʔ a l i m p a j a w a n
alimpungat	ʔ a l i m p u ŋ a t
alimpuyo	ʔ a l i m p u j o
alimuom	ʔ a l i m u ʔ o m
alimuom	ʔ a l i m u ʔ o m
alimuran	ʔ a l i m u ɾ a n
alin	ʔ a l i n
alindog	ʔ a l i n d o ɡ
aling	ʔ a l i ŋ
aling	ʔ a l i ŋ
aling	ʔ a l i ŋ
alingasaw	ʔ a l i ŋ a s a u
alingasngas	ʔ a l i ŋ a s ŋ a s
alingawngaw	ʔ a l i ŋ a u ŋ a u
alinlangan	ʔ a l i n l a ŋ a n
alinman	ʔ a l i n m a n
alinsunod	ʔ a l i n s u n o d
alintana	ʔ a l i n t a n a
alipato	ʔ a l i p a t o
alipin	ʔ a l i p i n
alipunga	ʔ a l i p u ŋ a
alipusta	ʔ a l i p u s t a ʔ
alis	ʔ a l i s
alisagsag	ʔ a l i s a ɡ s a ɡ
alisangsang	ʔ a l i s a ŋ s a ŋ
alisin	ʔ a l i s i n
alisto	ʔ a l i s t o
alit	ʔ a l i t
alitan	ʔ a l i t a n
alitangya	ʔ a l i t a ŋ j a
alitaptap	ʔ a l i t a p t a p
aliw	ʔ a l i u
aliw	ʔ a l i u
alkabus	ʔ a l k a b u s
alkabusero	ʔ a l k a b u s e ɾ o
alkalde	ʔ a l k a l d e
alkaldesa	ʔ a l k a l d e s a
alkansiya	ʔ a l k a n s j a
alkansiya	ʔ a l k a n s i a
alkansya	ʔ a l k a n s j a
alkatsopas	ʔ a l k a t͡ʃ o p a s
alkitran	ʔ a l k i t ɾ a n
alkohol	ʔ a l k o h o l
alma	ʔ a l m a
almaden	ʔ a l m a d e n
almarez	ʔ a l m a ɾ e s
almario	ʔ a l m a ɾ i o
almasiga	ʔ a l m a s i ɡ a
almasiga	ʔ a l m a s i ɡ a
almeha	ʔ a l m e h a
almendrala	ʔ a l m e n d ɾ a l a
almirante	ʔ a l m i ɾ a n t e
almirol	ʔ a l m i ɾ o l
almohadilya	ʔ a l m o h a d i l j a
almon	ʔ a l m o n
almoranas	ʔ a l m o ɾ a n a s
almusal	ʔ a l m u s a l
almuwada	ʔ a l m u a d a
alod	ʔ a l o d
alog	ʔ a l o ɡ
alog	ʔ a l o ɡ
alok	ʔ a l o k
alon	ʔ a l o n
alonte	ʔ a l o n t e
alonto	ʔ a l o n t o
aloy	ʔ a l o i
alpa	ʔ a l p a
alpabeto	ʔ a l p a b e t o
alpaka	ʔ a l p a k a
alpapa	ʔ a l p a p a
alpay	ʔ a l p a i
alpay	ʔ a l p a i
alperes	ʔ a l p e ɾ e s
alsa	ʔ a l s a
also	ʔ a l s o
altapresyon	ʔ a l t a p ɾ e s j o n
altar	ʔ a l t a ɾ
alternatibo	ʔ a l t e ɾ n a t i b o
alugin	ʔ a l u ɡ i n
alulod	ʔ a l u l o d
alulong	ʔ a l u l o ŋ
aluminyo	ʔ a l u m i n j o
alupag	ʔ a l u p a ɡ
alupag	ʔ a l u p a ɡ
alupihan	ʔ a l u p i h a n
alusema	ʔ a l u s e m a
alusitha	ʔ a l u s i t h a ʔ
alvarez	ʔ a l b a ɾ e s
alviar	ʔ a l b j a ɾ
alwagi	ʔ a l w a ɡ i
alyansa	ʔ a l j a n s a
alyas	ʔ a l j a s
alyas	ʔ a l j a s
alzaga	a l s a ɡ a
am	ʔ a m
ama	ʔ a m a
ama	ʔ a m a
ama	ʔ a m a
amag	ʔ a m a ɡ
amain	ʔ a m a i n
amak	ʔ a m a k
amak	ʔ a m a k
amam	ʔ a m a m
amama	ʔ a m a m a
amansinaya	ʔ a m a n s i n a j a ʔ
amante	ʔ a m a n t e
amapola	ʔ a m a p o l a
amaranto	ʔ a m a ɾ a n t o
amarilyo	ʔ a m a ɾ i l j o
amas	ʔ a m a s
amatista	ʔ a m a t i s t a
amba	ʔ a m b a ʔ
ambag	ʔ a m b a ɡ
ambi	ʔ a m b i ʔ
ambisyon	ʔ a m b i s j o n
ambisyosa	ʔ a m b i s j o s a
ambisyoso	ʔ a m b i s j o s o
ambon	ʔ a m b o n
ambubuyog	ʔ a m b u b u j o ɡ
ambulansiya	ʔ a m b u l a n s j a
ambuwang	ʔ a m b u a ŋ
amen	ʔ a m e n
amerika	ʔ a m e ɾ i k a
amerikana	ʔ a m e ɾ i k a n a
amerikana	ʔ a m e ɾ i k a n a
amerikano	ʔ a m e ɾ i k a n o
amihan	ʔ a m i h a n
amil	ʔ a m i l
amil	ʔ a m i l
amilyar	ʔ a m i l j a ɾ
amilyaramyento	ʔ a m i l j a ɾ a m j e n t o
amin	ʔ a m i n
aminado	ʔ a m i n a d o
aminin	ʔ a m i n i n
amis	ʔ a m i s
amis	ʔ a m i s
amnestiya	ʔ a m n e s t i a
amo	ʔ a m o
amo	ʔ a m o ʔ
amo	ʔ a m o ʔ
amogis	ʔ a m o ɡ i s
amol	ʔ a m o l
amon	ʔ a m o n
among	ʔ a m o ŋ
amonya	ʔ a m o n j a
amoranto	ʔ a m o ɾ a n t o
amoritis	ʔ a m o ɾ i t i s
amorseko	ʔ a m o ɾ s e k o
amorsiko	ʔ a m o ɾ s i k o
amos	ʔ a m o s
amos	ʔ a m o s
amoy	ʔ a m o i
ampalaya	ʔ a m p a l a j a
ampang	ʔ a m p a ŋ
ampaw	ʔ a m p a u
ampaw	ʔ a m p a u
amperyo	ʔ a m p e ɾ j o
ampibyan	ʔ a m p i b j a n
ampiteatro	ʔ a m p i t e a t ɾ o
ampon	ʔ a m p o n
ampunan	ʔ a m p u n a n
ampunan	ʔ a m p u n a n
amugis	ʔ a m u ɡ i s
amurao	ʔ a m u ɾ a u
amuyong	ʔ a m u j o ŋ
amyenda	ʔ a m j e n d a
amyendahan	ʔ a m j e n d a h a n
anahaw	ʔ a n a h a u
anak	ʔ a n a k
anak	ʔ a n a k
anakroniko	ʔ a n a k ɾ o n i k o
anakronismo	ʔ a n a k ɾ o n i s m o
analisador	ʔ a n a l i s a d o ɾ
analisis	ʔ a n a l i s i s
analitika	ʔ a n a l i t i k a
analitiko	ʔ a n a l i t i k o
analohiya	ʔ a n a l o h i a
anaman	ʔ a n a m a n
ananapla	ʔ a n a n a p l a
anarkiya	ʔ a n a ɾ k i a
anas	ʔ a n a s
anasan	ʔ a n a s a n
anatomista	ʔ a n a t o m i s t a
anatomiya	ʔ a n a t o m i a
anatomiya	ʔ a n a t o m j a
anay	ʔ a n a i
anayad	ʔ a n a j a d
anayin	ʔ a n a j i n
anayo	ʔ a n a j o
anayo	ʔ a n a j o ʔ
anda	ʔ a n d a
andaderas	ʔ a n d a d e ɾ a s
andal	ʔ a n d a l
andam	ʔ a n d a m
andap	ʔ a n d a p
andar	ʔ a n d a ɾ
andaya	ʔ a n d a j a
andora	ʔ a n d o ɾ a
andres	ʔ a n d ɾ e s
ang	a ŋ
ang	a ŋ
anga	ʔ a ŋ a
anga	ʔ a ŋ a ʔ
angal	ʔ a ŋ a l
angal	ʔ a ŋ a l
angas	ʔ a ŋ a s
angas	ʔ a ŋ a s
angat	ʔ a ŋ a t
angaw	ʔ a ŋ a u
anggo	ʔ a ŋ ɡ o
anggulo	ʔ a ŋ ɡ u l o
anghang	ʔ a ŋ h a ŋ
anghel	ʔ a ŋ h e l
anghel	ʔ a ŋ h e l
anghit	ʔ a ŋ h i t
angi	ʔ a ŋ i
angis	ʔ a ŋ i s
angkak	ʔ a ŋ k a k
angkan	ʔ a ŋ k a n
angkas	ʔ a ŋ k a s
angkat	ʔ a ŋ k a t
angkin	ʔ a ŋ k i n
angkla	ʔ a ŋ k l a
angkop	ʔ a ŋ k o p
ango	ʔ a ŋ o
angot	ʔ a ŋ o t
angpao	ʔ a ŋ p a u
anhin	ʔ a n h i n
ani	ʔ a n i
ani	ʔ a n i
ani	ʔ a n i
anib	ʔ a n i b
anibersaryo	ʔ a n i b e ɾ s a ɾ j o
anila	ʔ a n i l a
anila	ʔ a n i l a
anim	ʔ a n i m
animal	ʔ a n i m a l
animnapu	ʔ a n i m n a p u ʔ
animnaraan	ʔ a n i m n a ɾ a ʔ a n
aninag	ʔ a n i n a ɡ
aninaw	ʔ a n i n a u
aninaw	ʔ a n i n a u
anino	ʔ a n i n o
anis	ʔ a n i s
anislag	ʔ a n i s l a ɡ
anit	ʔ a n i t
anit	ʔ a n i t
anito	ʔ a n i t o
anito	ʔ a n i t o
aniya	ʔ a n i a
anlaw	ʔ a n l a u
anluwagi	ʔ a n l u a ɡ i
ano	ʔ a n o
anod	ʔ a n o d
anomalya	ʔ a n o m a l j a
anonang	ʔ a n o n a ŋ
anonas	ʔ a n o n a s
anor	ʔ a n o ɾ
anos	ʔ a n o s
anos	ʔ a n o s
anot	ʔ a n o t
anta	ʔ a n t a
anta	ʔ a n t a
antabay	ʔ a n t a b a i
antak	ʔ a n t a k
antala	ʔ a n t a l a
antanda	ʔ a n t a n d a ʔ
antas	ʔ a n t a s
antay	ʔ a n t a i
antena	ʔ a n t e n a
antibiyotiko	ʔ a n t i b i o t i k o
antig	ʔ a n t i ɡ
antik	ʔ a n t i k
antilope	ʔ a n t i l o p e
antipalo	ʔ a n t i p a l o
antipolo	ʔ a n t i p o l o
antipolo	ʔ a n t i p o l o
antipona	ʔ a n t i p o n a
antique	ʔ a n t i k e
antok	ʔ a n t o k
antot	ʔ a n t o t
antraks	ʔ a n t ɾ a k s
antropolohiya	ʔ a n t ɾ o p o l o h i a
antukin	ʔ a n t u k i n
antukin	ʔ a n t u k i n
anubing	ʔ a n u b i ŋ
anuhin	ʔ a n u h i n
anunsiyo	ʔ a n u n s i o
anunsyo	ʔ a n u n s j o
anwang	ʔ a n w a ŋ
anyaya	ʔ a n j a j a
anyaya	ʔ a n j a j a ʔ
anyayahan	ʔ a n j a j a h a n
anyo	ʔ a n j o ʔ
anyo	ʔ a n j o
apa	ʔ a p a
apa	ʔ a p a ʔ
apahap	ʔ a p a h a p
apak	ʔ a p a k
apak	ʔ a p a k
apalit	ʔ a p a l i t
apalya	ʔ a p a l j a
aparador	ʔ a p a ɾ a d o ɾ
aparato	ʔ a p a ɾ a t o
apat	ʔ a p a t
apatnapu	ʔ a p a t n a p u ʔ
apatnaraan	ʔ a p a t n a ɾ a ʔ a n
apaw	ʔ a p a u
apaw	ʔ a p a u
apaya	ʔ a p a j a
apayao	ʔ a p a j a u
apayao	ʔ a p a j a o
apdo	ʔ a p d o
apektado	ʔ a p e k t a d o
apekto	ʔ a p e k t o
apela	ʔ a p e l a
apelyido	ʔ a p e l j i d o
apendisitis	ʔ a p e n d i s i t i s
apganistan	ʔ a p ɡ a n i s t a n
api	ʔ a p i
apid	ʔ a p i d
apihin	ʔ a p i h i n
apila	ʔ a p i l a
apilado	ʔ a p i l a d o
apir	ʔ a p i ɾ
apitong	ʔ a p i t o ŋ
aplaya	ʔ a p l a j a
aplikante	ʔ a p l i k a n t e
aplikasyon	ʔ a p l i k a s j o n
apo	ʔ a p o
apo	ʔ a p o ʔ
apog	ʔ a p o ɡ
apokripos	ʔ a p o k ɾ i p o s
apolo	ʔ a p o l o
apolonio	ʔ a p o l o n i o
apostasiya	ʔ a p o s t a s i a
apostata	ʔ a p o s t a t a
apostol	ʔ a p o s t o l
apostolado	ʔ a p o s t o l a d o
apostoliko	ʔ a p o s t o l i k o
apoy	ʔ a p o i
apresasyon	ʔ a p ɾ e s a s j o n
apresyasyon	ʔ a p ɾ e s j a s j o n
aprika	ʔ a p ɾ i k a
aprikana	ʔ a p ɾ i k a n a
aprikano	ʔ a p ɾ i k a n o
aprikot	ʔ a p ɾ i k o t
apritada	ʔ a p ɾ i t a d a
aproba	ʔ a p ɾ o b a
aprobado	ʔ a p ɾ o b a d o
apula	ʔ a p u l a ʔ
apula	ʔ a p u l a ʔ
apura	ʔ a p u ɾ a
apurado	ʔ a p u ɾ a d o
apuybilos	ʔ a p u i b i l o s
apyak	ʔ a p j a k
apyan	ʔ a p j a n
apyo	ʔ a p j o
aquino	ʔ a k i n o
arabe	ʔ a ɾ a b e
arabo	ʔ a ɾ a b o
arabya	ʔ a ɾ a b j a
aral	ʔ a ɾ a l
aral	ʔ a ɾ a l
aralin	ʔ a ɾ a l i n
aralin	ʔ a ɾ a l i n
aranda	ʔ a ɾ a n d a
arangkada	ʔ a ɾ a ŋ k a d a
aranya	ʔ a ɾ a n j a
aranya	ʔ a ɾ a n j a
arap	ʔ a ɾ a p
araro	ʔ a ɾ a ɾ o
araru	ʔ a ɾ a ɾ u
aras	ʔ a ɾ a s
aratiles	ʔ a ɾ a t i l e s
aratilis	ʔ a ɾ a t i l i s
araw	ʔ a ɾ a u
araw	ʔ a ɾ a u
arawan	ʔ a ɾ a w a n
arawan	ʔ a ɾ a w a n
aray	ʔ a ɾ a i
arañas	ʔ a ɾ a ɲ a s
arce	ʔ a ɾ s e
arcega	ʔ a ɾ s e ɡ a
arceo	ʔ a ɾ s e o
arcilla	ʔ a ɾ s i l l a
arcillas	ʔ a ɾ s i l l a s
arcinas	ʔ a ɾ s i n a s
ardilya	ʔ a ɾ d i l j a
are	ʔ a ɾ e
areglo	ʔ a ɾ e ɡ l o
arellano	ʔ a ɾ e l j a n o
arenas	ʔ a ɾ e n a s
arestado	ʔ a ɾ e s t a d o
aresto	ʔ a ɾ e s t o
arevalo	ʔ a ɾ e b a l o
argente	ʔ a ɾ h e n t e
argolya	ʔ a ɾ ɡ o l j a
arguelles	a ɾ ɡ w e l j e s
argumento	ʔ a ɾ ɡ u m e n t o
arhentina	ʔ a ɾ h e n t i n a
ari	ʔ a ɾ i ʔ
ari	ʔ a ɾ i
ari	ʔ a ɾ e
arilyos	ʔ a ɾ i l j o s
