abaw	a b a w
aksiyyert	a k s i jː ə r t
akʷer	a kʷ ə r
akʷsir	a kʷ s i r
alzem	a l z ə m
amaker	a m a k ə r
amakkʷer	a m a kʷː ə r
amakʷer	a m a kʷ ə r
aman	a m a n
amayu	a m a j u
amdaki	a m d a k i
amdakkult	a m d a kː u l t
amdakkuy	a m d a kː u j
amdakkuyt	a m d a kː u j t
amdakkʷi	a m d a kʷː i
ameddakkʷel	a m ə dː a kʷː ə l
ameddakkʷi	a m ə dː a kʷː i
ameḥjur	a m ə ħ ʒ u rˤ
ameḥjuṛ	a m ə ħ ʒ u rˤ
amgat	a m ɡ a t
amhar	a m ɦ a r
amka	a m k a
amtakej	a m t a k ə ʒ
amudden	a m u dː ə n
amuden	a m u d ə n
andul	a n d u l
andun	a n d u n
anwer	a n w ə r
anɣur	a n ʁ u r
anɣurt	a n ʁ u r t
appiyuc	a pː i j u ʃ
aqerruc	a q ə rː u ʃ
aqezzun	a q ə zː u n
aqzizen	a q z i z ə n
arba	a r b a
arbat	a r b a t
argaz	a r ɡ a z
arr	a rː
arwaḥ	a r w a ħ
aryaz	a r j a z
asemmiḍ	a s ə mː i dˤ
aserdun	a s ə r d u n
aserdunt	a s ə r d u n t
asettur	a s ə tː u r
asif	a s i f
asiksiw	a s i k s i w
asiwsiw	a s i w s i w
astammen	a s t a mː ə n
asuḍ	a s u dˤ
asuḍi	a s u dˤ i
atar	a t a r
awhar	a w ɦ a rˤ
awhaṛ	a w ɦ a rˤ
awi	a w i
awrez	a w r ə z
axam	a χ a m
axlul	a χ l u l
axxam	a χː a m
axyam	a χ j a m
axyamt	a χ j a m t
axyant	a χ j a n t
axyuy	a χ j u j
axčit	a χ t͡ʃ i t
axčiw	a χ t͡ʃ i w
ayaziḍ	a j a z i dˤ
ayaẓiḍ	a j a zˤ i dˤ
ayelzim	a j ə l z i m
ayenduz	a j ə n d u z
aykma	a j k m a
ayris	a j r i s
aytma	a j t m a
azeggir	a z ə ɡː i r
azemmur	a z ə mː u r
azgar	a z ɡ a r
azger	a z ɡ ə r
azmimer	a z m i m ə r
aɛbibez	a ʕ b i b ə z
aɛebbiz	a ʕ ə bː i z
aɛebbuz	a ʕ ə bː u z
aɛettuq	a ʕ ə tː u q
aɛrur	a ʕ r u r
aɣrum	a ʁ r u m
aɣyul	a ʁ j u l
aɣyult	a ʁ j u l t
aɣyuy	a ʁ j u j
aɣyuyt	a ʁ j u j t
aḍi	a dˤ i
aḍij	a dˤ i ʒ
aḍil	a dˤ i l
aḍu	a dˤ u
aḥfer	a ħ f ə r
aḥfraw	a ħ f r a w
aḥmam	a ħ m a m
aṣenduḥ	a sˤ ə n d u ħ
aṣentiḥ	a sˤ ə n t i ħ
aṣentuḥ	a sˤ ə n t u ħ
aẓar	a zˤ a r
aẓaṛ	a zˤ a rˤ
aẓewwar	a zˤ u wː a rˤ
aẓewwaṛ	a zˤ ə wː a rˤ
aẓuwwar	a zˤ u wː a r
aẓuwwaṛ	a zˤ u wː a rˤ
aẓwar	a zˤ w a r
aẓwaṛ	a zˤ w a rˤ
aẓɣur	a zˤ ʁ u r
aẓɣuṛ	a zˤ ʁ u rˤ
baba	b a b a
barda	b a r d a
bardin	b a r d i n
bared	b a r ə d
bbac	bː a ʃ
beɛɛed	b ə ʕː ə d
bred	b r ə d
buccɛar	b u ʃː ʕ a rˤ
buccɛaṛ	b u ʃː ʕ a rˤ
buyifadden	b u j i f a dː ə n
bɛadin	b ʕ a d i n
bɛed	b ʕ ə d
bɛid	b ʕ i d
bɛida	b ʕ i d a
ccekcem	ʃː ə k ʃ ə m
ccem	ʃː ə m
cceɛra	ʃː ə ʕ rˤ a
cceɛṛa	ʃː ə ʕ rˤ a
cclagem	ʃː l a ɡ ə m
ccnader	ʃː n a d ə r
ccnayef	ʃː n a j ə f
ccnifa	ʃː n i f a
ccwa	ʃː w a
ccɛar	ʃː ʕ a rˤ
ccɛaṛ	ʃː ʕ a rˤ
ceffer	ʃ ə fː ə r
cerreg	ʃ ə rː ə ɡ
ck	ʃ k
cku	ʃ k u
ckun	ʃ k u n
cmen	ʃ m ə n
cucc	ʃ u ʃː
cwi	ʃ w i
d	d
daba	d a b a
daxel	d a χ ə l
daxi	d a χ i
dcar	d ʃ a rˤ
dcaṛ	d ʃ a rˤ
dciran	d ʃ i r a n
dcura	d ʃ u r a
ddamus	dː a m u s
ddellaḥ	dː ə lː a ħ
ddem	dː ə m
ddenjal	dː ə n ʒ a l
ddexla	dː ə χ l a
ddexya	dː ə χ j a
ddheb	dː ɦ ə b
ddrari	dː r a r i
ddraɛ	dː r a ʕ
dduxxan	dː u χː a n
ddwames	dː w a m ə s
ddxul	dː χ u l
derwax	d ə r w a χ
dexxel	d ə χː ə l
dixel	d i χ ə l
dixi	d i χ i
dkar	d k a r
dkur	d k u r
dkʷar	d kʷ a r
drux	d r u χ
fekker	f ə kː ə r
ferfer	f ə r f ə r
ferḥan	f ə rˤ ħ a n
fliyu	f l i j u
freq	f rˤ a q
freq	f rˤ ə q
freḥ	f rˤ a ħ
freḥ	f rˤ ə ħ
fsex	f s a χ
fsex	f s ə χ
fteḥ	f t a ħ
fteḥ	f t ə ħ
fuqac	f u q a ʃ
gg	ɡː
gges	ɡː ə s
gma	ɡ m a
gʷma	ɡʷ m a
i	i
ibawen	i b a w ə n
ibeǧǧiwen	i b ə d͡ʒ d͡ʒ i w ə n
ibeɛɛacen	i b ə ʕː a ʃ ə n
ibeɛɛar	i b ə ʕː a r
ibeɛɛiren	i b ə ʕː i r ə n
iccinen	i ʃː i n ə n
iceffaren	i ʃ ə fː a r ə n
icelgam	i ʃ ə l ɡ a m
icenduren	i ʃ ə n d u r ə n
icqiqen	i ʃ q i q ə n
id	i d
idammen	i d a mː ə n
idanen	i d a n ə n
idisan	i d i s a n
idraren	i d r a r ə n
iduran	i d u r a n
idurar	i d u r a r
ifadden	i f a dː ə n
ifallaten	i f a lː a t ə n
ifellusen	i f ə lː u s ə n
ifergan	i f ə r ɡ a n
iferrim	i f ə rː i m
iferrujen	i f ə rˤ rˤ u ʒ ə n
iferrumen	i f ə rː u m ə n
iferxan	i f ə r χ a n
ifeṛṛujen	i f ə rˤ rˤ u ʒ ə n
ifragen	i f r a ɡ ə n
igenber	i ɡ ə n b ə r
iger	i ɡ ə r
iherdanen	i ɦ ə r d a n ə n
ikbac	i k b a ʃ
ikidar	i k i d a r
ikidaren	i k i d a r ə n
ilzam	i l z a m
imeddukkal	i m ə dː u kː a l
imendi	i m ə n d i
imeḥjuren	i m ə ħ ʒ u rˤ ə n
imeẓyan	i m ə zˤ j a n
imi	i m i
imiwen	i m i w ə n
imudnan	i m u d n a n
imẓi	i m zˤ i
imẓin	i m zˤ i n
induzen	i n d u z ə n
inisi	i n i s i
inuran	i n u r a n
inɣuren	i n ʁ u r ə n
inɣurin	i n ʁ u r i n
ippiyucen	i pː i j u ʃ ə n
iqezznan	i q ə zː n a n
iqezzunen	i q ə zː u n ə n
irban	i r b a n
irden	i r d ə n
irgazen	i r ɡ a z ə n
iryazen	i r j a z ə n
isaffen	i s a fː ə n
iserdan	i s ə r d a n
iserdunen	i s ə r d u n ə n
iserduntin	i s ə r d u n t i n
isetturen	i s ə tː u r ə n
isiksiwen	i s i k s i w ə n
isin	i s i n
isiwsiwen	i s i w s i w ə n
iwehriwen	i w ə ɦ rˤ i w ə n
iwhar	i w ɦ a r
iwharen	i w ɦ a rˤ ə n
iwhaṛ	i w ɦ a rˤ
iwwen	i wː ə n
ixlulen	i χ l u l ə n
ixunčar	i χ u n t͡ʃ a r
ixyamen	i χ j a m ə n
ixyuyen	i χ j u j ə n
iyaziḍen	i j a z i dˤ ə n
iyelzam	i j ə l z a m
izammaren	i z a mː a r ə n
izerf	i z ə r f
izgaren	i z ɡ a r ə n
izi	i z i
izimmer	i z i mː ə r
iɛdel	i ʕ d ə l
iɛdi	i ʕ d i
iɛdiyan	i ʕ d i j a n
iɛettuqen	i ʕ ə tː u q ə n
iɛruren	i ʕ r u r ə n
iɣejḍ	i ʁ ə ʒ dˤ
iɣejḍen	i ʁ ə ʒ dˤ ə n
iɣyay	i ʁ j a j
iɣyuyen	i ʁ j u j ə n
iɣzer	i ʁ z ə r
iḥerrazen	i ħ ə rː a z ə n
iḥmamen	i ħ m a m ə n
iṣenduḥen	i sˤ ə n d u ħ ə n
iṣentuḥen	i sˤ ə n t u ħ ə n
jbed	ʒ b ə d
jdid	ʒ d i d
jjelda	ʒː ə l d a
juj	ʒ u ʒ
ka	k a
kcem	k ʃ ə m
keccem	k ə ʃː ə m
keddeb	k ə dː ə b
keččem	k ə t͡ʃ t͡ʃ ə m
kreh	k r a ɦ
kreh	k r ə ɦ
kṣuḍ	k sˤ u dˤ
layen	l a j ə n
lbakur	l b a k u r
lbala	l b a l a
lbala	l b a lˤ a
lbaṭaṭa	l b a tˤ a tˤ a
lberq	l b a r q
lberq	l b ə r q
lbeṭṭix	l b ə tˤ tˤ i χ
lbit	l b i t
lebruda	l ə b r u d a
lebyut	l ə b j u t
lebyuta	l ə b j u t a
lebṣel	l ə b sˤ ə l
lecfar	l ə ʃ f a r
leflus	l ə f l u s
lehwa	l ə ɦ w a
lekrum	l ə k r u m
lemsaren	l ə m s a r ə n
lemwaden	l ə m w a d ə n
lemwaḥel	l ə m w a ħ ə l
lemḥajer	l ə m ħ a ʒ ə rˤ
lexfif	l ə χ f i f
leɛdes	l ə ʕ d ə s
leɛjaj	l ə ʕ ʒ a ʒ
leɛwan	l ə ʕ w a n
leɛyun	l ə ʕ j u n
leḥdid	l ə ħ d i d
leḥfra	l ə ħ f r a
leḥmel	l ə ħ m ə l
lfiras	l f i r a s
lfuqma	l f u q m a
lfuqmat	l f u q m a t
lganču	l ɡ a n t͡ʃ u
limama	l i m a m a
lkar	l k a rˤ
llil	lː i l
lluwwel	lː u wː ə l
lmaḥal	l m a ħ a l
lmudden	l m u dː ə n
lmurz	l m u r z
lpaṭrun	l p a tˤ rˤ u n
lpikawat	l p i k a w a t
lpiku	l p i k u
lpikuwat	l p i k u w a t
lpinwar	l p i n w a r
lqezdir	l q ə z d i r
lux	l u χ
lwalid	l w a l i d
lwalida	l w a l i d a
lwalidin	l w a l i d i n
lxerrub	l χ ə rˤ rˤ u b
lxiṭ	l χ i tˤ
lxuḍra	l χ u dˤ r a
lčiminiyya	l t͡ʃ i m i n i jː a
lɛafya	l ʕ a f j a
lɛawda	l ʕ a w d a
lɛayel	l ʕ a j ə l
lɛayla	l ʕ a j l a
lɛayyal	l ʕ a jː a l
lɛaʼila	l ʕ a ʔ i l a
lɛenkbut	l ʕ ə n k b u t
lɣanču	l ʁ a n t͡ʃ u
lɣančuwwat	l ʁ a n t͡ʃ u wː a t
lɣebra	l ʁ ə b rˤ a
lḥajeb	l ħ a ʒ ə b
lḥikka	l ħ i kː a
lḥimeṣ	l ħ i m ə sˤ
lḥub	l ħ u b
lḥubb	l ħ u bː
mdexxel	m d ə χː ə l
mecwi	m ə ʃ w i
mecwiyya	m ə ʃ w i jː a
mecwiyyen	m ə ʃ w i jː ə n
mecwiyyin	m ə ʃ w i jː i n
meqqʷer	m ə qː u rˤ
mezyan	m ə z j a n
meḥtaj	m ə ħ t a ʒ
meḥtaja	m ə ħ t a ʒ a
meḥtajin	m ə ħ t a ʒ i n
mqellaq	m q ə lː a q
mqelleq	m q ə lː a q
mqelleq	m q ə lː ə q
mqellqa	m q ə lː q a
mqellqin	m q ə lː q i n
mwalin	m w a l i n
mɛellem	m ʕ ə lː ə m
mɛemmer	m ʕ ə mː ə rˤ
mɛemmeṛ	m ʕ ə mː ə rˤ
mɛemmra	m ʕ ə mː r a
mɛemmrin	m ʕ ə mː r i n
mɛessba	m ʕ ə sː b a
mɛessbin	m ʕ ə sː b i n
mɛesseb	m ʕ ə sː ə b
mɣaylef	m ʁ a j l ə f
mḥemmer	m ħ ə mː ə r
mḥemmra	m ħ ə mː r a
mḥemmrin	m ħ ə mː r i n
n	n
neɣ	n a ʁ
neɣ	n ə ʁ
nn	nː
nnedxel	nː ə d χ ə l
nnekcem	nː ə k ʃ ə m
nneqleb	nː ə q l ə b
nneqyeb	nː ə q j ə b
nnessekcem	nː ə sː ə k ʃ ə m
nnhir	nː ɦ i r
nnuqra	nː u q r a
nnḥas	nː ħ a s
nɛemmer	n ʕ ə mː ə rˤ
nɛemmeṛ	n ʕ ə mː ə rˤ
nɣur	n ʁ u r
nṭar	n tˤ a rˤ
nṭaṛ	n tˤ a rˤ
nṭiyyer	n tˤ i jː ə rˤ
nṭiyyeṛ	n tˤ i jː ə rˤ
plumu	p lˤ u m u
qbel	q b ə l
qellaq	q ə lː a q
qelleb	q ə lː ə b
qelleq	q ə lː a q
qelleq	q ə lː ə q
qeṣṣ	q ə sˤ sˤ
qib	q i b
qleb	q l ə b
qlil	q l i l
qseḥ	q s a ħ
qseḥ	q s ə ħ
qyeb	q j ə b
refraf	r ə f r a f
res	r ə s
reẓ	r ə zˤ
rfes	r f ə s
rrbiɛ	rˤ rˤ b i ʕ
rremla	rˤ rˤ ə m l a
rremla	rˤ rˤ ə m lˤ a
rremman	rˤ rˤ ə mː a n
rriḥ	rː i ħ
rwaḥ	r w a ħ
sbeɛɛed	s b ə ʕː ə d
sdexxel	s d ə χː ə l
sell	s ə lː
semmiḍ	s ə mː i dˤ
seyyeb	s i jː ə b
seyyeb	s ə jː ə b
sferfer	s f ə r f ə r
skeččem	s k ə t͡ʃ t͡ʃ ə m
ssedkar	sː ə d k a r
ssedkur	sː ə d k u r
ssedkʷar	sː ə d kʷ a r
ssekcem	sː ə k ʃ ə m
ssetkur	sː ə t k u r
ssetkʷar	sː ə t kʷ a r
ssferjel	sː f ə r ʒ ə l
steɛmer	s t ə ʕ m ə rˤ
steɛmeṛ	s t ə ʕ m ə rˤ
suḍ	s u dˤ
sḥab	s ħ a b
tabeɛɛact	t a b ə ʕː a ʃ t
tabiyyart	t a b i jː a r t
taceffart	t a ʃ ə fː a r t
tacendurt	t a ʃ ə n d u r t
taceɛrurt	t a ʃ ə ʕ rˤ u r t
taceɛṛurt	t a ʃ ə ʕ rˤ u r t
tacqiqt	t a ʃ q i q t
taferrujt	t a f ə rˤ rˤ u ʒ t
taferrumt	t a f ə rː u m t
tafeṛṛujt	t a f ə rˤ rˤ u ʒ t
tafirast	t a f i r a s t
tafriyyext	t a f r i jː ə χ t
tafruxt	t a f r u χ t
tafullust	t a f u lː u s t
tafunast	t a f u n a s t
tagelzimt	t a ɡ ə l z i m t
tagenturt	t a ɡ ə n t u r t
tagfilt	t a ɡ f i l t
tahala	t a ɦ a l a
taherdant	t a ɦ ə r d a n t
takka	t a kː a
takʷseyyert	t a kʷ s ə jː ə r t
takʷsirt	t a kʷ s i r t
tamda	t a m d a
tameddakkʷel	t a m ə dː a kʷː ə l
tameddakkʷelt	t a m ə dː a kʷː ə l t
tameḥjurt	t a m ə ħ ʒ u rˤ t
tameḥjuṛt	t a m ə ħ ʒ u rˤ t
tamhart	t a m ɦ a r t
tammart	t a mː a r t
tamtakejt	t a m t a k ə ʒ t
tamwat	t a m w a t
tamwaṭ	t a m w a tˤ
tamɣart	t a m ʁ a r t
taqerbuɛat	t a q ə r b u ʕ a t
taqezzunt	t a q ə zː u n t
taqzizzent	t a q z i zː ə n t
tarbat	t a r b a t
tarwa	t a r w a
taserdunt	t a s ə r d u n t
tasetturt	t a s ə tː u r t
taxyamt	t a χ j a m t
tayaziṭ	t a j a z i tˤ
tayaẓiṭ	t a j a zˤ i tˤ
tayelzimt	t a j ə l z i m t
tayenduzt	t a j ə n d u z t
tazart	t a z a r t
tazemmurt	t a z ə mː u r t
tazmimert	t a z m i m ə r t
taɛayelt	t a ʕ a j ə l t
taɛebbizt	t a ʕ ə bː i z t
taɛebbuzt	t a ʕ ə bː u z t
taɛeddist	t a ʕ ə dː i s t
taɛrurt	t a ʕ r u r t
taɣaṭ	t a ʁ a tˤ
taɣsayt	t a ʁ s a j t
taɣyuct	t a ʁ j u ʃ t
taɣyul	t a ʁ j u l
taɣyult	t a ʁ j u l t
taɣyutc	t a ʁ j u t ʃ
taɣyuč	t a ʁ j u t͡ʃ
taḍaṭ	t a dˤ a tˤ
taḥeffirt	t a ħ ə fː i r t
taḥfert	t a ħ f ə r t
taḥmamt	t a ħ m a m t
taṣentuḥet	t a sˤ ə n t u ħ ə t
tbeɛɛacin	t b ə ʕː a ʃ i n
tbeɛɛact	t b ə ʕː a ʃ t
tdexxel	t d ə χː ə l
tebliɣin	t ə b l i ʁ i n
tecqiqin	t ə ʃ q i q i n
tecqiqt	t ə ʃ q i q t
tefruxt	t ə f r u χ t
tekzinin	t ə k z i n i n
tekzint	t ə k z i n t
temwat	t ə m w a t
temwatin	t ə m w a t i n
terbat	t ə r b a t
terbatin	t ə r b a t i n
texyamin	t ə χ j a m i n
texyamt	t ə χ j a m t
teɛdect	t ə ʕ d ə ʃ t
teɣyay	t ə ʁ j a j
teɣyulin	t ə ʁ j u l i n
teɣyult	t ə ʁ j u l t
teḥmamin	t ə ħ m a m i n
teḥmamt	t ə ħ m a m t
tferruj	t f ə rˤ rˤ u ʒ
tferrujin	t f ə rˤ rˤ u ʒ i n
tferrumin	t f ə rː u m i n
tferrumt	t f ə rː u m t
tferxatin	t f ə r χ a t i n
tfullusin	t f u lː u s i n
tfullust	t f u lː u s t
therdanin	t ɦ ə r d a n i n
therdant	t ɦ ə r d a n t
tibeɛɛacin	t i b ə ʕː a ʃ i n
tibliɣin	t i b l i ʁ i n
ticeffarin	t i ʃ ə fː a r i n
ticendurin	t i ʃ ə n d u r i n
ticentit	t i ʃ ə n t i t
ticqiqin	t i ʃ q i q i n
tiferrujin	t i f ə rˤ rˤ u ʒ i n
tiferrumin	t i f ə rː u m i n
tiferxatin	t i f ə r χ a t i n
tifullusin	t i f u lː u s i n
tiherdanin	t i ɦ ə r d a n i n
tikzinin	t i k z i n i n
tikzint	t i k z i n t
timeddukkal	t i m ə dː u kː a l
timessi	t i m ə sː i
timeḥjurin	t i m ə ħ ʒ u rˤ i n
timmiṭ	t i mː i tˤ
timwatin	t i m w a t i n
timzin	t i m z i n
timẓit	t i m zˤ i t
tinduzin	t i n d u z i n
tinifit	t i n i f i t
tiqezzunin	t i q ə zː u n i n
tirbatin	t i r b a t i n
tiserdan	t i s ə r d a n
tiserdunin	t i s ə r d u n i n
tisetturin	t i s ə tː u r i n
tiwekkit	t i w ə kː i t
tiwerẓit	t i w ə r zˤ i t
tiwerẓiwin	t i w ə r zˤ i w i n
tixyamin	t i χ j a m i n
tiyaziḍin	t i j a z i dˤ i n
tiyelzam	t i j ə l z a m
tiyelzimin	t i j ə l z i m i n
tizemrin	t i z ə m r i n
tizimmert	t i z i mː ə r t
tiɛawilin	t i ʕ a w i l i n
tiɛdect	t i ʕ d ə ʃ t
tiɛdetc	t i ʕ d ə t ʃ
tiɛdeč	t i ʕ d ə t͡ʃ
tiɛedcin	t i ʕ ə d ʃ i n
tiɛedlin	t i ʕ ə d l i n
tiɣejḍin	t i ʁ ə ʒ dˤ i n
tiɣejṭ	t i ʁ ə ʒ tˤ
tiɣyay	t i ʁ j a j
tiɣyulin	t i ʁ j u l i n
tiḥmamin	t i ħ m a m i n
tiṣentuḥin	t i sˤ ə n t u ħ i n
tkur	t k u r
tkʷar	t kʷ a r
tmeddakkʷelt	t m ə dː a kʷː ə l t
tmeḥjurin	t m ə ħ ʒ u rˤ i n
tmeḥjurt	t m ə ħ ʒ u rˤ t
tqellaq	t q ə lː a q
tqelleq	t q ə lː a q
tqelleq	t q ə lː ə q
tqezzunin	t q ə zː u n i n
tqezzunt	t q ə zː u n t
tqil	t q i l
tserdan	t s ə r d a n
tserdunin	t s ə r d u n i n
tserdunt	t s ə r d u n t
tsetturin	t s ə tː u r i n
tsetturt	t s ə tː u r t
ttaker	tː a k ə r
tteffaḥ	tː ə fː a ħ
ttekcem	tː ə k ʃ ə m
tteqleb	tː ə q l ə b
tteqyeb	tː ə q j ə b
ttessekcem	tː ə sː ə k ʃ ə m
ttmar	tː m a rˤ
ttuyaker	tː u j a k ə r
ttuyakʷer	tː u j a kʷ ə r
ttuyawi	tː u j a w i
ttwakkʷer	tː w a kʷː ə r
ttyaker	tː j a k ə r
ttyawi	tː j a w i
tyaker	t j a k ə r
tyaziḍin	t j a z i dˤ i n
tyaziṭ	t j a z i tˤ
tyelzam	t j ə l z a m
tyelzimin	t j ə l z i m i n
tyelzimt	t j ə l z i m t
tyenduzt	t j ə n d u z t
tyumba	t j u m b a
tzemmurt	t z ə mː u r t
tzemrin	t z ə m r i n
tɛawilin	t ʕ a w i l i n
tɛayelt	t ʕ a j ə l t
tɛeccer	t ʕ ə ʃː ə rˤ
tɛecceṛ	t ʕ ə ʃː ə rˤ
tɛedcin	t ʕ ə d ʃ i n
tɛedlin	t ʕ ə d l i n
tɛellem	t ʕ ə lː ə m
tɛemmer	t ʕ ə mː ə rˤ
tɛemmeṛ	t ʕ ə mː ə rˤ
tɛesseb	t ʕ ə sː ə b
tɣaylef	t ʁ a j l ə f
tɣejḍin	t ʁ ə ʒ dˤ i n
tɣejṭ	t ʁ ə ʒ tˤ
tṣentuḥet	t sˤ ə n t u ħ ə t
tṣentuḥin	t sˤ ə n t u ħ i n
ubaw	u b a w
ubeǧǧiw	u b ə d͡ʒ d͡ʒ i w
ubeɛɛir	u b ə ʕː i r
uceffar	u ʃ ə fː a r
ucelgum	u ʃ ə l ɡ u m
ucendur	u ʃ ə n d u r
ucqiq	u ʃ q i q
udfi	u d f i
udrar	u d r a r
ufallat	u f a lː a t
ufellus	u f ə lː u s
uferruj	u f ə rˤ rˤ u ʒ
uferrum	u f ə rː u m
ufeṛṛuj	u f ə rˤ rˤ u ʒ
ufrag	u f r a ɡ
ufrux	u f r u χ
ufud	u f u d
uggʷ	u ɡʷː
ugma	u ɡ m a
ugris	u ɡ r i s
uherdan	u ɦ ə r d a n
ukidar	u k i d a r
umayu	u m a j u
umeddakkʷel	u m ə dː a kʷː ə l
umeḥjur	u m ə ħ ʒ u rˤ
unwer	u n w ə r
unɣur	u n ʁ u r
uppiyuc	u pː i j u ʃ
uqezzun	u q ə zː u n
urba	u r b a
urgaz	u r ɡ a z
ursela	u r s ə l a
uryaz	u r j a z
userdun	u s ə r d u n
usettur	u s ə tː u r
usiksiw	u s i k s i w
usiwsiw	u s i w s i w
uxlul	u χ l u l
uxyam	u χ j a m
uxyuy	u χ j u j
uyaziḍ	u j a z i dˤ
uyelzim	u j ə l z i m
uyenduz	u j ə n d u z
uykma	u j k m a
uytma	u j t m a
uzger	u z ɡ ə r
uɛettuq	u ʕ ə tː u q
uɛrur	u ʕ r u r
uɣrum	u ʁ r u m
uɣyuy	u ʁ j u j
uḥmam	u ħ m a m
uṣenduḥ	u sˤ ə n d u ħ
uṣentuḥ	u sˤ ə n t u ħ
waccin	w a ʃː i n
wadan	w a d a n
wakay	w a k a j
waman	w a m a n
wareg	w a r ə ɡ
wasif	w a s i f
wawhar	w a w ɦ a rˤ
waḍi	w a dˤ i
wejma	w ə ʒ m a
wikma	w i k m a
witma	w i t m a
wiytma	w i j t m a
wzen	w z ə n
xdem	χ d ə m
xeyyeḍ	χ i jː ə dˤ
xeyyeḍ	χ ə jː ə dˤ
xeṣṣ	χ ə sˤ sˤ
xizzu	χ i zː u
yan	j a n
yewwen	j u wː ə n
yyamerbiɛ	jː a m ə rˤ b i ʕ
zdi	z d i
zreɛ	z rˤ a ʕ
zreɛ	z rˤ ə ʕ
zyu	z j u
zzenz	zː ə n z
zzitun	zː i t u n
čerri	t͡ʃ ə rː i
ččar	t͡ʃ t͡ʃ a rˤ
ččaṛ	t͡ʃ t͡ʃ a rˤ
ǧǧuz	d͡ʒ d͡ʒ u z
ɛamer	ʕ a m ə rˤ
ɛameṛ	ʕ a m ə rˤ
ɛber	ʕ b ə rˤ
ɛcer	ʕ ʃ ə rˤ
ɛceṛ	ʕ ʃ ə rˤ
ɛeccer	ʕ ə ʃː ə rˤ
ɛecceṛ	ʕ ə ʃː ə rˤ
ɛellem	ʕ ə lː ə m
ɛelleq	ʕ ə lː a q
ɛelleq	ʕ ə lː ə q
ɛemmer	ʕ ə mː ə rˤ
ɛemmeṛ	ʕ ə mː ə rˤ
ɛesseb	ʕ ə sː ə b
ɛeṭṭec	ʕ ə tˤ tˤ ə ʃ
ɛjen	ʕ ʒ ə n
ɛlem	ʕ l ə m
ɛmer	ʕ m ə rˤ
ɛmeṛ	ʕ m ə rˤ
ɛqel	ʕ q ə l
ɛqi	ʕ q i
ɛucra	ʕ u ʃ rˤ a
ɛucṛa	ʕ u ʃ rˤ a
ɛum	ʕ u m
ɣaylef	ʁ a j l ə f
ɣer	ʁ ə r
ɣer	ʁ ə rˤ
ɣez	ʁ ə z
ɣeḍban	ʁ ə dˤ b a n
ɣeḍbana	ʁ ə dˤ b a n a
ɣeḍbanin	ʁ ə dˤ b a n i n
ɣir	ʁ i r
ḥamel	ħ a m ə l
ḥdaj	ħ d a ʒ
ḥebb	ħ ə bː
ḥemmej	ħ ə mː ə ʒ
ḥemmel	ħ ə mː ə l
ḥemmer	ħ ə mː ə r
ḥemmi	ħ ə mː i
ḥerraz	ħ ə rː a z
ḥfer	ħ f ə r
ḥmal	ħ m a l
ḥmel	ħ m ə l
ḥreq	ħ r a q
ḥreq	ħ r ə q
ḥtaj	ħ t a ʒ
ṛṛemla	rˤ rˤ ə m l a
ṛṛemḷa	rˤ rˤ ə m lˤ a
ṣafi	sˤ a f i
ṣbeḥ	sˤ b a ħ
ṣbeḥ	sˤ b ə ħ
ṣenṭiḥa	sˤ ə n tˤ i ħ a
