Adar	ɑː d ɑː ɾ
aksiyon	ɑː k s ɪ j oː n
aktîvîzm	ɑː k t iː v iː z m
akûşke	ɑː k uː ʃ k ɛ
al	ɑː l
ala	ɑː l ɑː
alan	ɑː l ɑː n
alandibe	ɑː l ɑː n d ɪ b ɛ
alandibim	ɑː l ɑː n d ɪ b ɪ m
alandibin	ɑː l ɑː n d ɪ b ɪ n
alandibî	ɑː l ɑː n d ɪ b iː
alandibû	ɑː l ɑː n d ɪ b uː
alandibûya	ɑː l ɑː n d ɪ b uː j ɑː
alandin	ɑː l ɑː n d ɪ n
alandiye	ɑː l ɑː n d ɪ j ɛ
alanîn	ɑː l ɑː n iː n
alastin	ɑː l ɑː s t ɪ n
alav	ɑː l ɑː v
albanî	ɑː l b ɑː n iː
alegorî	ɑː l ɛ ɡ oː ɾ iː
alek	ɑː l ɛ k
alfabe	ɑː l f ɑː b ɛ
alfavît	ɑː l f ɑː v iː t
alif	ɑː l ɪ f
alifba	ɑː l ɪ f b ɑː
alik	ɑː l ɪ k
alistin	ɑː l ɪ s t ɪ n
alizîn	ɑː l ɪ z iː n
alkan	ɑː l kʰ ɑː n
almanî	ɑː l m ɑː n iː
almas	ɑː l m ɑː s
almast	ɑː l m ɑː s t
almaz	ɑː l m ɑː z
alos	ɑː l oː s
aloz	ɑː l oː z
alozyan	ɑː l oː z j ɑː n
alozî	ɑː l oː z iː
alqut	ɑː l q ʊ t
alqût	ɑː l q uː t
alt	ɑː l t
alt	ɑː l tʰ
altax	ɑː l t ɑː x
altaxî	ɑː l t ɑː x iː
altdar	ɑː l tʰ d ɑː ɾ
alternatîv	ɑː l t ɛ ɾ n ɑː t iː v
altindar	ɑː l tʰ ɪ n d ɑː ɾ
altindarî	ɑː l tʰ ɪ n d ɑː ɾ iː
altker	ɑː l tʰ k ɛ ɾ
alêstin	ɑː l eː s t ɪ n
alî	ɑː l iː
alîgir	ɑː l iː ɡ ɪ ɾ
alîgirî	ɑː l iː ɡ ɪ ɾ iː
alîk	ɑː l iː k
alîkar	ɑː l iː kʰ ɑː ɾ
alîkarî	ɑː l iː kʰ ɑː ɾ iː
alîn	ɑː l iː n
alînegir	ɑː l iː n ɛ ɡ ɪ ɾ
alînok	ɑː l iː n oː k
alîsork	ɑː l iː s oː ɾ k
alîstin	ɑː l iː s t ɪ n
alû	ɑː l uː
alûce	ɑː l uː d͡ʒ ɛ
alûme	ɑː l uː m ɛ
alûçe	ɑː l uː t͡ʃ ɛ
amade	ɑː m ɑː d ɛ
amadekarî	ɑː m ɑː d ɛ k ɑː ɾ iː
aman	ɑː m ɑː n
ambar	ɑː m b ɑː ɾ
ambasad	ɑː m b ɑː s ɑː d
ambûlans	ɑː m b uː l ɑː n s
ameliyat	ɑː m ɛ l ɪ j ɑː t
amerîkanî	ɑː m ɛ ɾ iː k ɑː n iː
amerîkayî	ɑː m ɛ ɾ iː k ɑː j iː
amerîkî	ɑː m ɛ ɾ iː k iː
amfetamîn	ɑː m f ɛ t ɑː m iː n
amin	ɑː m ɪ n
amojin	ɑː m oː ʒ ɪ n
amojn	ɑː m oː ʒ n
amoş	ɑː m oː ʃ
amrîkayî	ɑː m ɾ iː k ɑː j iː
amrîkî	ɑː m ɾ iː k iː
amêr	ɑː m eː ɾ
amîn	ɑː m iː n
amîr	ɑː m iː ɾ
amûr	ɑː m uː ɾ
an	ɑː n
ana	ɑː n ɑː
anaka	ɑː n ɑː k ɑː
analojî	ɑː n ɑː l oː ʒ iː
anatoksîn	ɑː n ɑː t oː k s iː n
anatomî	ɑː n ɑː t oː m iː
ancax	ɑː n d͡ʒ ɑː x
androlojî	ɑː n d ɾ oː l oː ʒ iː
androtomî	ɑː n d ɾ oː t oː m iː
anemetî	ɑː n ɛ m ɛ t iː
angaşt	ɑː n ɡ ɑː ʃ t
ango	ɑː n ɡ oː
angot	ɑː n ɡ oː t
angoşt	ɑː n ɡ oː ʃ t
aniha	ɑː n ɪ h ɑː
anika	ɑː n ɪ k ɑː
anku	ɑː n k ʊ
antagonîzm	ɑː n t ɑː ɡ oː n iː z m
antonîm	ɑː n t oː n iː m
antrenor	ɑː n t ɾ ɛ n oː ɾ
antêx	ɑː n tʰ eː ɣ
antîhîstamîn	ɑː n t iː h iː s t ɑː m iː n
anêka	ɑː n eː k ɑː
anîlîn	ɑː n iː l iː n
anîmasyon	ɑː n iː m ɑː s j oː n
anîn	ɑː n iː n
anîşik	ɑː n iː ʃ ɪ k
anîşk	ɑː n iː ʃ k
ap	ɑː p
apik	ɑː p ɪ k
aprax	ɑː p ɾ ɑː x
aqar	ɑː q ɑː ɾ
aqil	ɑː q ɪ l
aqil	ʕ ɑː q ɪ l
aqilbend	ɑː q ɪ l b ɛ n d
aqildar	ˤɑː q ɪ l d ɑː ɾ
aqiljîr	ɑː q ɪ l ʒ iː ɾ
aqilkurîn	ɑː q ɪ l k ʊ r iː n
aqilmend	ɑː q ɪ l m ɛ n d
aqilsivik	ɑː q ɪ l s ɪ v ɪ k
aqiltî	ɑː q ɪ l t iː
aqiltîj	ɑː q ɪ l t iː ʒ
aqilî	ɑː q ɪ l iː
aql	ɑː q l
aqlmend	ɑː q l m ɛ n d
aqût	ɑː q uː t
ar	ɑː ɾ
aram	ɑː ɾ ɑː m
aramtî	ɑː ɾ ɑː m t iː
aramî	ɑː ɾ ɑː m iː
aramîtî	ɑː ɾ ɑː m iː t iː
aran	ɑː ɾ ɑː n
araq	ɑː ɾ ɑː q
arav	ɑː ɾ ɑː v
arbeşk	ɑː ɾ b ɛ ʃ k
ard	ɑː ɾ d
ardû	ɑː ɾ d uː
arehan	ɑː ɾ ɛ h ɑː n
arezo	ɑː ɾ ɛ z oː
arezû	ɑː ɾ ɛ z uː
arhan	ɑː ɾ h ɑː n
arhane	ɑː ɾ h ɑː n ɛ
arihan	ɑː ɾ ɪ h ɑː n
arihîn	ɑː ɾ ɪ h iː n
ariyan	ɑː ɾ ɪ j ɑː n
arkeolojî	ɑː ɾ k ɛ oː l oː ʒ iː
armanc	ɑː ɾ m ɑː n d͡ʒ
armanç	ɑː ɾ m ɑː n t͡ʃ
armîş	ɑː ɾ m iː ʃ
armûş	ɑː ɾ m uː ʃ
aro	ɑː ɾ oː
arpeş	ɑː ɾ p ɛ ʃ
arpeşk	ɑː ɾ p ɛ ʃ k
arsaq	ɑː ɾ s ɑː q
artêş	ɑː ɾ t eː ʃ
arvan	ɑː ɾ v ɑː n
arvane	ɑː ɾ v ɑː n ɛ
arwan	ɑː ɾ w ɑː n
arwane	ɑː ɾ w ɑː n ɛ
arxafk	ɑː ɾ x ɑː f k
arxalix	ɑː ɾ x ɑː l ɪ x
arxavik	ɑː ɾ x ɑː v ɪ k
arxavk	ɑː ɾ x ɑː v k
aryan	ɑː ɾ j ɑː n
arzu	ɑː ɾ z ʊ
arzî	ɑː ɾ z iː
arzû	ɑː ɾ z uː
arîk	ɑː r iː kʰ
arîk	ɑː ɾ iː k
arîkar	ɑː ɾ iː kʰ ɑː ɾ
arîkarî	ɑː ɾ iː kʰ ɑː ɾ iː
arîn	ɑː ɾ iː n
arîze	ɑː ɾ iː z ɛ
arû	ɑː ɾ uː
arûk	ɑː ɾ uː k
arûng	ɑː ɾ uː ŋ ɡ
arşîv	ɑː ɾ ʃ iː v
asan	ɑː s ɑː n
asanî	ɑː s ɑː n iː
asayiş	ɑː s ɑː j ɪ ʃ
asayişt	ɑː s ɑː j ɪ ʃ t
asayîş	ɑː s ɑː j iː ʃ
asayîşt	ɑː s ɑː j iː ʃ t
asetenîl	ɑː s ɛ t ɛ n iː l
asik	ɑː s ɪ k
asin	ɑː s ɪ n
asinger	ɑː s ɪ n ɡ ɛ ɾ
ask	ɑː s k
asman	ɑː s m ɑː n
aso	ɑː s oː
asoyî	ɑː s oː j iː
asparagîn	ɑː s p ɑː ɾ ɑː ɡ iː n
aspêj	ɑː s p eː ʒ
asraq	ɑː s ɾ ɑː q
asrax	ɑː s ɾ ɑː x
ast	ɑː s t
asteng	ɑː s t ɛ ŋ ɡ
astronomî	ɑː s t ɾ oː n oː m iː
asyayî	ɑː s j ɑː j iː
asê	ɑː s eː
asêgeh	ɑː s eː ɡ ɛ h
asên	ɑː s eː n
asî	ɑː s iː
asîman	ɑː s iː m ɑː n
asîmîlasyon	ɑː s iː m iː l ɑː s j oː n
asîmîlekirî	ɑː s iː m iː l ɛ k ɪ ɾ iː
asîstan	ɑː s iː s t ɑː n
asû	ɑː s uː
atraksiyon	ɑː t ɾ ɑː k s ɪ j oː n
australî	ɑː ʊ s t ɾ ɑː l iː
av	ɑː v
ava	ɑː v ɑː
avahî	ɑː v ɑː h iː
avarê	ɑː v ɑː ɾ eː
avayî	ɑː v ɑː j iː
avbend	ɑː v b ɛ n d
avdestxane	ɑː v d ɛ s t x ɑː n ɛ
averê	ɑː v ɛ ɾ eː
avik	ɑː v ɪ k
avir	ɑː v ɪ r
avis	ɑː v ɪ s
avitin	ɑː v ɪ t ɪ n
avjen	ɑː v ʒ ɛ n
avjenî	ɑː v ʒ ɛ n iː
avkêş	ɑː v kʰ eː ʃ
avlêk	ɑː v l eː k
avrabûn	ɑː v r ɑː b uː n
avrêl	ɑː v ɾ eː l
avêtin	ɑː v eː t ɪ n
avî	ɑː v iː
avîtin	ɑː v iː t ɪ n
avîvan	ɑː v iː v ɑː n
awistiralî	ɑː w ɪ s t ɪ ɾ ɑː l iː
awistralyayî	ɑː w ɪ s t ɾ ɑː l j ɑː j iː
awistralî	ɑː w ɪ s t ɾ ɑː l iː
awî	ɑː w iː
ax	ɑː x
axa	ɑː ɣ ɑː
axaftin	ɑː x ɑː f t ɪ n
axavk	ɑː x ɑː v k
axil	ɑː x ɪ l
axîn	ɑː x iː n
aymara	ɑː j m ɑː ɾ ɑː
aza	ɑː z ɑː
azad	ɑː z ɑː d
azadîhez	ɑː z ɑː d iː h ɛ z
azadîxwaz	ɑː z ɑː d iː x w ɑː z
azat	ɑː z ɑː t
azirandin	ɑː z ɪ ɾ ɑː n d ɪ n
azman	ɑː z m ɑː n
azuru	ɑː z ʊ ɾ ʊ
açar	ɑː t͡ʃʰ ɑː r
açar	ɑː t͡ʃʰ ɑː ɾ
aîdiyet	ɑː iː d ɪ j ɛ t
aûl	ɑː uː l
aş	ɑː ʃ
aşera	ɑː ʃ ɛ ɾ ɑː
aşewan	ɑː ʃ ɛ w ɑː n
aşikar	ɑː ʃ ɪ k ɑː ɾ
aşiq	ɑː ʃ ɪ q
aşit	ɑː ʃ ɪ t
aşitîxwaz	ɑː ʃ ɪ t iː x w ɑː z
aşkara	ɑː ʃ k ɑː ɾ ɑː
aşkela	ɑː ʃ k ɛ l ɑː
aşkele	ɑː ʃ k ɛ l ɛ
aşkera	ɑː ʃ k ɛ ɾ ɑː
aşkere	ɑː ʃ k ɛ ɾ ɛ
aşkira	ɑː ʃ k ɪ ɾ ɑː
aşop	ɑː ʃ oː p
aşopî	ɑː ʃ oː p iː
aşpez	ɑː ʃ p ɛ z
aşpêj	ɑː ʃ p eː ʒ
aşt	ɑː ʃ t
aştî	ɑː ʃ t iː
aştîxaz	ɑː ʃ t iː x ɑː z
aştîxwaz	ɑː ʃ t iː x w ɑː z
aşup	ɑː ʃ ʊ p
aşupî	ɑː ʃ ʊ p iː
aşvan	ɑː ʃ v ɑː n
aşêf	ɑː ʃ eː f
aşêv	ɑː ʃ eː v
aşîkar	ɑː ʃ iː k ɑː ɾ
aşît	ɑː ʃ iː t
aşîtîxaz	ɑː ʃ iː t iː x ɑː z
aşîtîxwaz	ɑː ʃ iː t iː x w ɑː z
aşût	ɑː ʃ uː t
aşûte	ɑː ʃ uː t ɛ
aşûvan	ɑː ʃ uː v ɑː n
ba	b ɑː
babirk	b ɑː b ɪ ɾ k
badegêr	b ɑː d ɛ ɡ eː ɾ
bafûn	b ɑː f uː n
bager	b ɑː ɡ ɛ ɾ
bajar	b ɑː ʒ ɑː ɾ
bajarok	b ɑː ʒ ɑː ɾ oː k
bajarî	b ɑː ʒ ɑː ɾ iː
bakteriyolojî	b ɑː k t ɛ ɾ ɪ j oː l oː ʒ iː
bakur	b ɑː k ʊ ɾ
balafir	b ɑː l ɑː f ɪ ɾ
balafirgeh	b ɑː l ɑː f ɪ ɾ ɡ ɛ h
balafirvan	b ɑː l ɑː f ɪ ɾ v ɑː n
balexanî	b ɑː l ɛ x ɑː n iː
balinde	b ɑː l ɪ n d ɛ
balkêş	b ɑː l k eː ʃ
balkêşî	b ɑː l k eː ʃ iː
balyoz	b ɑː l j oː z
balyozxane	b ɑː l j oː z x ɑː n ɛ
balîna	b ɑː l iː n ɑː
ban	b ɑː n
bandev	b ɑː n d ɛ v
bandor	b ɑː n d oː ɾ
bandorker	b ɑː n d oː ɾ k ɛ ɾ
bang	b ɑː ŋ ɡ
bangkirin	b ɑː ŋ ɡ k ɪ ɾ ɪ n
bar	b ɑː ɾ
baran	b ɑː ɾ ɑː n
baregeh	b ɑː ɾ ɛ ɡ ɛ h
bask	b ɑː s k
bastannas	b ɑː s t ɑː n n ɑː s
bastîq	b ɑː s t iː q
bav	b ɑː v
baweşînk	b ɑː w ɛ ʃ iː ŋ k
baxçe	b ɑː x t͡ʃ ɛ
bazdan	b ɑː z d ɑː n
bazirgan	b ɑː z ɪ ɾ ɡ ɑː n
bazirganî	b ɑː z ɪ ɾ ɡ ɑː n iː
baçîk	b ɑː t͡ʃ iː k
baş	b ɑː ʃ
baştir	b ɑː ʃ t ɪ ɾ
baştirîn	b ɑː ʃ t ɪ ɾ iː n
başî	b ɑː ʃ iː
başûr	b ɑː ʃ uː ɾ
bedbext	b ɛ d b ɛ x t
bedenî	b ɛ d ɛ n iː
bedew	b ɛ d ɛ w
behr	b ɛ h ɾ
behr	b ɛ ħ ɾ
belav	b ɛ l ɑː v
belavok	b ɛ l ɑː v oː k
belediye	b ɛ l ɛ d ɪ j ɛ
belişandin	b ɛ l ɪ ʃ ɑː n d ɪ n
belê	b ɛ l eː
benîşt	b ɛ n iː ʃ t
beq	b ɛ q
ber	b ɛ r
ber	b ɛ ɾ
ber	b ɛˤ ɾ
beran	b ɛ ɾ ɑː n
berbijar	b ɛ ɾ b ɪ ʒ ɑː ɾ
berbilavî	b ɛ ɾ b ɪ l ɑː v iː
berdan	b ɛ ɾ d ɑː n
berdewam	b ɛ ɾ d ɛ w ɑː m
berf	b ɛ ɾ f
berfire	b ɛ ɾ f ɪ ɾ ɛ
berhevdanî	b ɛ ɾ h ɛ v d ɑː n iː
bername	b ɛ ɾ n ɑː m ɛ
bernamekirin	b ɛ ɾ n ɑː m ɛ k ɪ ɾ ɪ n
bersiv	b ɛ ɾ s ɪ v
bersivandin	b ɛ ɾ s ɪ v ɑː n d ɪ n
bertîl	b ɛ ɾ t iː l
bertîlxwer	b ɛ ɾ t iː l x w ɛ ɾ
bertîlxwerî	b ɛ ɾ t iː l x w ɛ ɾ iː
berxwedan	b ɛ ɾ x w ɛ d ɑː n
berçavk	b ɛ ɾ t͡ˤ ʃ ɑː v k
berêkane	b ɛ ɾ eː k ɑː n ɛ
betilandin	b ɛ t ɪ l ɑː n d ɪ n
bezok	b ɛ z oː k
beşdar	b ɛ ʃ d ɑː ɾ
biencam	b ɪ ɛ n d͡ʒ ɑː m
biencamî	b ɪ ɛ n d͡ʒ ɑː m iː
biguman	b ɪ ɡ ʊ m ɑː n
bigumanî	b ɪ ɡ ʊ m ɑː n iː
bihar	b ɪ h ɑː ɾ
bihêvî	b ɪ h eː v iː
bijî	b ɪ ʒ iː
bijîşk	b ɪ ʒ iː ʃ k
bikarhêner	b ɪ k ɑː ɾ h eː n ɛ ɾ
bikenin	b ɪ k ɛ n ɪ n
bikevin	b ɪ k ɛ v ɪ n
bilez	b ɪ l ɛ z
bilgîsayar	b ɪ l ɡ iː s ɑː j ɑː ɾ
bilind	b ɪ l ɪ n d
bilûr	b ɪ l uː ɾ
bin	b ɪ n
bindest	b ɪ n d ɛ s t
bindestî	b ɪ n d ɛ s t iː
binefş	b ɪ n ɛ f ʃ
binefşî	b ɪ n ɛ f ʃ iː
bingeh	b ɪ n ɡ ɛ h
binkom	b ɪ n k oː m
binpêker	b ɪ n p eː k ɛ ɾ
binpêkerî	b ɪ n p eː k ɛ ɾ iː
binrûpel	b ɪ n ɾ uː p ɛ l
binîya	b ɪ n iː j ɑː
biratî	b ɪ ɾ ɑː t iː
birc	b ɪ ɾ d͡ʒ
birek	b ɪ ɾ ɛ k
birin	b ɪ ɾ ɪ n
biryar	b ɪ ɾ j ɑː ɾ
birçî	b ɪ ɾ t͡ʃʰ iː
birîn	b ɪ ɾ iː n
birîndar	b ɪ ɾ iː n d ɑː ɾ
bizirav	b ɪ z ɪ ɾ ɑː v
biçûk	b ɪ t͡ʃ uː k
bişirîn	b ɪ ʃ ɪ ɾ iː n
borandin	b oː ɾ ɑː n d ɪ n
bêbandor	b eː b ɑː n d oː ɾ
bêbav	b eː b ɑː v
bêbingeh	b eː b ɪ n ɡ ɛ h
bêcil	b eː d͡ʒ ɪ l
bêcilî	b eː d͡ʒ ɪ l iː
bêdilî	b eː d ɪ l iː
bêdiran	b eː d ɪ ɾ ɑː n
bêdê	b eː d eː
bêencam	b eː ɛ n d͡ʒ ɑː m
bêencamî	b eː ɛ n d͡ʒ ɑː m iː
bêguman	b eː ɡ ʊ m ɑː n
bêgumanî	b eː ɡ ʊ m ɑː n iː
bêhn	b eː h n
bêhtirpêr	b eː h t ɪ ɾ p eː ɾ
bêhêvî	b eː h eː v iː
bêhêvîtî	b eː h eː v iː t iː
bêjenasî	b eː ʒ ɛ n ɑː s iː
bêjing	b eː ʒ ɪ ŋ ɡ
bêkar	b eː k ɑː ɾ
bêkêrî	b eː k eː ɾ iː
bênav	b eː n ɑː v
bênaverok	b eː n ɑː v ɛ ɾ oː k
bênavî	b eː n ɑː v iː
bêpergal	b eː p ɛ ɾ ɡ ɑː l
bêrehm	b eː ɾ ɛ h m
bêwate	b eː w ɑː t ɛ
bêwelat	b eː w ɛ l ɑː t
bêwelatî	b eː w ɛ l ɑː t iː
bêzarok	b eː z ɑː ɾ oː k
bêçî	b eː t͡ʃ iː
bêçî	b eː t͡ʃʰ iː
bêşerm	b eː ʃ ɛ ɾ m
bîr	b iː ɾ
bîra	b iː ɾ ɑː
bîrkarî	b iː ɾ k ɑː ɾ iː
bîst	b iː s t
bîstin	b iː s t ɪ n
bûn	b uː n
bûyer	b uː j ɛ ɾ
cade	d͡ʒ ɑː d ɛ
cahil	d͡ʒ ɑː h ɪ l
camedank	d͡ʒ ɑː m ɛ d ɑː ŋ k
can	d͡ʒ ɑː n
carcaran	d͡ʒ ɑː ɾ d͡ʒ ɑː ɾ ɑː n
carinan	d͡ʒ ɑː ɾ ɪ n ɑː n
ceh	d͡ʒ ɛ h
cem	d͡ʒ ɛ m
cemidandin	d͡ʒ ɛ m ɪ d ɑː n d ɪ n
ceng	d͡ʒ ɛ ŋ ɡ
ceribandin	d͡ʒ ɛ ɾ ɪ b ɑː n d ɪ n
ceza	d͡ʒ ɛ z ɑː
cihûtî	d͡ʒ ɪ h uː t iː
cildank	d͡ʒ ɪ l d ɑː ŋ k
cilixandin	d͡ʒ ɪ l ɪ x ɑː n d ɪ n
civak	d͡ʒ ɪ v ɑː k
civaknas	d͡ʒ ɪ v ɑː k n ɑː s
civat	d͡ʒ ɪ v ɑː t
civîn	d͡ʒ ɪ v iː n
ciwan	d͡ʒ ɪ w ɑː n
ciwanî	d͡ʒ ɪ w ɑː n iː
co	d͡ʒ oː
cotkar	d͡ʒ oː t k ɑː ɾ
cotkarî	d͡ʒ oː t k ɑː ɾ iː
cotmeh	d͡ʒ oː t m ɛ h
cotyar	d͡ʒ oː t j ɑː ɾ
cumle	d͡ʒ ʊ m l ɛ
cîhan	d͡ʒ iː h ɑː n
cînav	d͡ʒ iː n ɑː v
cîzme	d͡ʒ iː z m ɛ
cûtin	d͡ʒ uː t ɪ n
dabaş	d ɑː b ɑː ʃ
