'day	d̪ a ɪ̯
Alehandrina	ʔ ɐ l ɛ h ɐ n̪ d̪ ɾ iː n̪ ɐ
Alehandrino	ʔ ɐ l ɛ h ɐ n̪ d̪ ɾ iː n̪ o
Alejandrino	ʔ ɐ l ɛ h ɐ n̪ d̪ ɾ iː n̪ o
Alejandro	ʔ ɐ l ɛ h a n̪ d̪ ɾ o
Aleman	ʔ ɐ l ɛ m a n̪
Alemana	ʔ ɐ l ɛ m aː n̪ ɐ
Alemanika	ʔ ɐ l ɛ m aː n̪ ɪ x a
Alemaniko	ʔ ɐ l ɛ m aː n̪ ɪ x o
Alemanya	ʔ ɐ l ɛ m a n̪ j ɐ
Alemanya	ʔ ɐ l ɛ m aː ɲ ɐ
Aleng	ʔ aː l ɛ ŋ
Aleosan	ʔ ɐ l j o s a n̪
Alexa	ʔ ɐ l ɛ k s ɐ
Alfaro	ʔ ɐ l f aː ɾ o
Alfaro	ʔ ɐ l p aː ɾ o
Alfeche	ʔ ɐ l f ɛː t͡ʃ ɛ
Alfeche	ʔ ɐ l p ɛ t̪ s ɛ
Alfeche	ʔ ɐ l p ɛː t͡ʃ ɛ
Alfonso	ʔ ɐ l f o n̪ s o
Alfonso	ʔ ɐ l p o n̪ s o
Alfredo	ʔ ɐ l f ɾ ɛː d̪ o
Alfredo	ʔ ɐ l p ɾ ɛː d̪ o
Alherya	ʔ ɐ l h ɛ ɾ j ɐ
Alheryana	ʔ ɐ l h ɛ ɾ j aː n̪ ɐ
Alheryano	ʔ ɐ l h ɛ ɾ j aː n̪ o
Aliaga	ʔ ɐ l j aː ɣ ɐ
Alicante	ʔ ɐ l ɪ x a n̪ t̪ ɛ
Alice	ʔ aː l ɪ s
Alicia	ʔ ɐ l i s j ɐ
Alicia	ʔ ɐ l iː ʃ ɐ
Aliga	ʔ ɐ l iː ɣ ɐ
Alikantino	ʔ ɐ l ɪ x ɐ n̪ t̪ iː n̪ o
Alimango	ʔ ɐ l ɪ m aː ŋ o
Aling	ʔ aː l ɪ ŋ
Alingaro	ʔ ɐ l ɪ ŋ aː ɾ o
Alipustain	ʔ ɐ l ɪ p ʊ s t̪ ɐ ʔ ɪ n̪
Alitagtag	ʔ ɐ l ɪ t̪ ɐ ɡ t̪ a ɡ̚
Aliwalas	ʔ ɐ l ɪ w aː l ɐ s
Alkoran	ʔ ɐ l k o ɾ a n̪
Allacapan	ʔ ɐ l l ɐ x aː p ɐ n̪
Allacapan	ʔ ɐ l ɐ x aː p ɐ n̪
Allan	ʔ aː l ɐ n̪
Allasitan	ʔ ɐ l l ɐ s ɪ t̪ a n̪
Allasitan	ʔ ɐ l ɐ s ɪ t̪ a n̪
Allison	ʔ aː l ɪ s o n̪
Alma	ʔ a l m ɐ
Almaden	ʔ ɐ l m ɐ d̪ ɛ n̪
Almagro	ʔ ɐ l m aː ɡ ɾ o
Almarez	ʔ ɐ l m ɐ ɾ ɛ s
Almario	ʔ ɐ l m a ɾ j o
Almazan	ʔ ɐ l m ɐ s a n̪
Almazan	ʔ ɐ l m ɐ z a n̪
Almeda	ʔ ɐ l m ɛː d̪ ɐ
Almendrala	ʔ ɐ l m ɛ n̪ d̪ ɾ aː l ɐ
Almendras	ʔ ɐ l m ɛ n̪ d̪ ɾ ɐ s
Almeria	ʔ ɐ l m ɛ ɾ iː j ɐ
Aloguinsan	ʔ ɐ l o ɣ ɪ n̪ s a n̪
Alolod	ʔ ɐ l o l o d̪̚
Alonte	ʔ ɐ l o n̪ t̪ ɛ
Alonto	ʔ ɐ l o n̪ t̪ o
Alpes	ʔ a l p ɛ s
Alpino	ʔ ɐ l p iː n̪ o
Alpunsino	ʔ ɐ l p ʊ n̪ s iː n̪ o
Altavas	ʔ ɐ l t̪ aː b ɐ s
Altavas	ʔ ɐ l t̪ aː v ɐ s
Althea	ʔ ɐ l t̪ ɛː j ɐ
Altura	ʔ ɐ l t̪ uː ɾ ɐ
Alumbrado	ʔ ɐ l ʊ m b ɾ aː d̪ o
Alvarado	ʔ ɐ l b ɐ ɾ aː d̪ o
Alvarado	ʔ ɐ l v ɐ ɾ aː d̪ o
Alvarez	ʔ a l b ɐ ɾ ɛ s
Alvarez	ʔ a l v ɐ ɾ ɛ s
Alvaro	ʔ a l b ɐ ɾ o
Alvaro	ʔ a l v ɐ ɾ o
Alviar	ʔ ɐ l b j a ɾ
Alviar	ʔ ɐ l v j a ɾ
Alvin	ʔ a l b ɪ n̪
Alvin	ʔ a l v ɪ n̪
Alzaga	ʔ ɐ l s aː ɣ ɐ
Ama	ʔ ɐ m a
Amadeo	ʔ ɐ m ɐ d̪ ɛː j o
Amanda	ʔ ɐ m a n̪ d̪ ɐ
Amanisaya	ʔ ɐ m ɐ n̪ ɪ s aː j ɐ ʔ
Amansinaya	ʔ ɐ m a n̪ s ɪ n̪ aː j ɐ
Amansinaya	ʔ ɐ m a n̪ s ɪ n̪ aː j ɐ ʔ
Amante	ʔ ɐ m a n̪ t̪ ɛ
Amasoniko	ʔ ɐ m ɐ s oː n̪ ɪ x o
Amber	ʔ a m b ɛ ɾ
Ambo	ʔ ɐ m b o ʔ
Ambrosia	ʔ ɐ m b ɾ o s j ɐ
Ambrosia	ʔ ɐ m b ɾ oː ʃ ɐ
Ambrosio	ʔ ɐ m b ɾ o s j o
Ambrosio	ʔ ɐ m b ɾ oː ʃ o
Amelia	ʔ ɐ m i l j ɐ
Amerika	ʔ ɐ m ɛː ɾ ɪ x a
Amerikana	ʔ ɐ m ɛ ɾ ɪ x aː n̪ ɐ
Amerikanisado	ʔ ɐ m ɛ ɾ ɪ x ɐ n̪ ɪ s aː d̪ o
Amerikanisasyon	ʔ ɐ m ɛ ɾ ɪ x ɐ n̪ ɪ s ɐ s j o n̪
Amerikanisasyon	ʔ ɐ m ɛ ɾ ɪ x ɐ n̪ ɪ s ɐ ʃ o n̪
Amerikanismo	ʔ ɐ m ɛ ɾ ɪ x ɐ n̪ i s m o
Amerikanista	ʔ ɐ m ɛ ɾ ɪ x ɐ n̪ i s t̪ ɐ
Amerikano	ʔ ɐ m ɛ ɾ ɪ x aː n̪ o
Amigable	ʔ ɐ m ɪ ɣ aː b l ɛ
Amihan	ʔ ɐ m iː h ɐ n̪
Amisola	ʔ ɐ m ɪ s oː l ɐ
Amon	ʔ aː m o n̪
Amoranto	ʔ ɐ m o ɾ a n̪ t̪ o
Amores	ʔ ɐ m oː ɾ ɛ s
Amos	ʔ ɐ m o s
Amoy	ʔ aː m o ɪ̯
Amparo	ʔ ɐ m p aː ɾ o
Ampasit	ʔ ɐ m p aː s ɪ t̪̚
Ampatuan	ʔ ɐ m p ɐ t̪ uː ʔ ɐ n̪
Amulung	ʔ ɐ m ʊ l ʊ ŋ
Amurao	ʔ ɐ m ʊ ɾ a ʊ̯
Anabaptismo	ʔ ɐ n̪ ɐ b ɐ p t̪ i s m o
Anabaptista	ʔ ɐ n̪ ɐ b ɐ p t̪ i s t̪ ɐ
Anak	ʔ ɐ n̪ a k̚
Anastacia	ʔ ɐ n̪ ɐ s t̪ a s j ɐ
Anastacia	ʔ ɐ n̪ ɐ s t̪ aː ʃ ɐ
Anastasia	ʔ ɐ n̪ ɐ s t̪ a s j ɐ
Anastasia	ʔ ɐ n̪ ɐ s t̪ aː ʃ ɐ
Ancheta	ʔ ɐ n̪ t͡s ɛː t̪ ɐ
Ancheta	ʔ ɐ n̪ t͡ʃ ɛː t̪ ɐ
Anda	ʔ a n̪ d̪ ɐ
Andal	ʔ ɐ n̪ d̪ a l
Andalus	ʔ ɐ n̪ d̪ ɐ l ʊ s
Andalusana	ʔ ɐ n̪ d̪ ɐ l ʊ s aː n̪ ɐ
Andalusia	ʔ ɐ n̪ d̪ ɐ l ʊ s iː j ɐ
Andalusiya	ʔ ɐ n̪ d̪ ɐ l ʊ s iː j ɐ
Andalusya	ʔ ɐ n̪ d̪ ɐ l u s j ɐ
Andalusya	ʔ ɐ n̪ d̪ ɐ l uː ʃ ɐ
Andaya	ʔ ɐ n̪ d̪ aː j ɐ
Andeng	ʔ ɐ n̪ d̪ ɛ ŋ
Andes	ʔ a n̪ d̪ ɛ s
Andina	ʔ ɐ n̪ d̪ iː n̪ ɐ
Andino	ʔ ɐ n̪ d̪ iː n̪ o
Andora	ʔ ɐ n̪ d̪ oː ɾ ɐ
Andorana	ʔ ɐ n̪ d̪ o ɾ aː n̪ ɐ
Andorano	ʔ ɐ n̪ d̪ o ɾ aː n̪ o
Andrada	ʔ ɐ n̪ d̪ ɾ aː d̪ ɐ
Andrade	ʔ ɐ n̪ d̪ ɾ aː d̪ ɛ
Andrea	ʔ a n̪ d̪ ɾ ɛ j a
Andres	ʔ ɐ n̪ d̪ ɾ ɛ s
Ang	ʔ ɐ ŋ
Angat	ʔ ɐ ŋ ɡ a t̪̚
Angel	ʔ a ŋ h ɛ l
Angel	ʔ e ɪ̯ n̪ d̪ j ɛ l
Angel	ʔ e ɪ̯ n̪ d͡ʒ ɛ l
Angela	ʔ a n̪ d̪ j ɛ l a
Angela	ʔ a n̪ d͡ʒ ɛ l a
Angela	ʔ a ŋ h ɛ l a
Angeles	ʔ a ŋ h ɛ l ɛ s
Angelica	ʔ ɐ n̪ d̪ j ɛː l ɪ x a
Angelica	ʔ ɐ n̪ d͡ʒ ɛː l ɪ x a
Angelina	ʔ ɐ n̪ d̪ j ɛ l iː n̪ ɐ
Angelina	ʔ ɐ n̪ d͡ʒ ɛ l iː n̪ ɐ
Angelina	ʔ ɐ ŋ h ɛ l iː n̪ ɐ
Angelino	ʔ ɐ ŋ h ɛ l iː n̪ o
Angelo	ʔ a n̪ d̪ j ɛ l o
Angelo	ʔ a n̪ d͡ʒ ɛ l o
Angelo	ʔ a ŋ h ɛ l o
Angglikanismo	ʔ ɐ ŋ ɡ l ɪ x ɐ n̪ i s m o
Angglikano	ʔ ɐ ŋ ɡ l ɪ x aː n̪ o
Anggloamerikano	ʔ a ŋ ɡ l o ʔ ɐ m ɛ ɾ ɪ x aː n̪ o
Angglomana	ʔ ɐ ŋ ɡ l oː m ɐ n̪ a
Angglomano	ʔ ɐ ŋ ɡ l oː m ɐ n̪ o
Anggola	ʔ ɐ ŋ ɡ oː l ɐ
Anggolana	ʔ ɐ ŋ ɡ o l aː n̪ ɐ
Anggolano	ʔ ɐ ŋ ɡ o l aː n̪ o
Anglikanismo	ʔ ɐ ŋ ɡ l ɪ x ɐ n̪ i s m o
Anglikano	ʔ ɐ ŋ ɡ l ɪ x aː n̪ o
Angloamerikano	ʔ a ŋ ɡ l o ʔ ɐ m ɛ ɾ ɪ x aː n̪ o
Anglomana	ʔ ɐ ŋ ɡ l oː m ɐ n̪ a
Anglomano	ʔ ɐ ŋ ɡ l oː m ɐ n̪ o
Anglosahon	ʔ a ŋ ɡ l o s ɐ h o n̪
Angola	ʔ ɐ ŋ ɡ oː l ɐ
Angolana	ʔ ɐ ŋ ɡ o l aː n̪ ɐ
Angolano	ʔ ɐ ŋ ɡ o l aː n̪ o
Angono	ʔ ɐ ŋ oː n̪ o
Angono	ʔ ɐ ŋ ɡ oː n̪ o
Anilao	ʔ ɐ n̪ ɪ l a ʊ̯
Ann	ʔ a n̪
Anor	ʔ ɐ n̪ o ɾ
Anseatiko	ʔ ɐ n̪ s ɛ j aː t̪ ɪ x o
Anson	ʔ a n̪ s o n̪
Antarktika	ʔ ɐ n̪ t̪ a ɹ k t̪ ɪ x a
Antarktiko	ʔ ɐ n̪ t̪ a ɹ k t̪ ɪ x o
Antartika	ʔ ɐ n̪ t̪ a ɾ t̪ ɪ x a
Antartiko	ʔ ɐ n̪ t̪ a ɾ t̪ ɪ x o
Antecamara	ʔ ɐ n̪ t̪ ɛ x aː m ɐ ɾ a
Antequera	ʔ ɐ n̪ t̪ ɛ x ɛː ɾ ɐ
Antikristo	ʔ ɐ n̪ t̪ ɪ k ɾ i s t̪ o
Antilyana	ʔ ɐ n̪ t̪ ɪ l j aː n̪ ɐ
Antilyano	ʔ ɐ n̪ t̪ ɪ l j aː n̪ o
Antilyas	ʔ ɐ n̪ t̪ i l j ɐ s
Antipas	ʔ ɐ n̪ t̪ ɪ p a s
Antipolo	ʔ ɐ n̪ t̪ ɪ p oː l o
Antiporda	ʔ ɐ n̪ t̪ ɪ p o ɾ d̪ ɐ
Antique	ʔ ɐ n̪ t̪ iː x ɛ
Anunciacion	ʔ ɐ n̪ ʊ n̪ s j ɐ s j o n̪
Anunciacion	ʔ ɐ n̪ ʊ n̪ ʃ ɐ ʃ o n̪
Anunsasyon	ʔ ɐ n̪ ʊ n̪ s ɐ s j o n̪
Anunsasyon	ʔ ɐ n̪ ʊ n̪ s ɐ ʃ o n̪
Anunsiyasyon	ʔ ɐ n̪ ʊ n̪ s j ɐ s j o n̪
Anunsiyasyon	ʔ ɐ n̪ ʊ n̪ ʃ ɐ ʃ o n̪
Anunsyasyon	ʔ ɐ n̪ ʊ n̪ s j ɐ s j o n̪
Anunsyasyon	ʔ ɐ n̪ ʊ n̪ ʃ ɐ ʃ o n̪
Anyayahan	ʔ ɐ n ɲ ɐ j aː h ɐ n̪
Anyayahan	ʔ ɐ n̪ j ɐ j aː h ɐ n̪
Anyonuwebo	ʔ a n̪ j o n̪ w ɛː b o
Anyonuwebo	ʔ aː ɲ o n̪ w ɛː b o
Anyonwebo	ʔ a n̪ j o n̪ w ɛː b o
Anyonwebo	ʔ aː ɲ o n̪ w ɛː b o
Anyunwebo	ʔ a n̪ j ʊ n̪ w ɛː b o
Anyunwebo	ʔ aː ɲ ʊ n̪ w ɛː b o
Apacible	ʔ ɐ p ɐ s iː b l ɛ
Aparri	ʔ ɐ p ɐ ɾ ɪ
Apatse	ʔ ɐ p a t̪ s ɛ
Apatse	ʔ ɐ p aː t͡ʃ ɛ
Apayao	ʔ ɐ p ɐ j a ʊ̯
Apgana	ʔ ɐ p ɡ aː n̪ ɐ
Apganistan	ʔ ɐ p ɡ ɐ n̪ ɪ s t̪ a n̪
Apgano	ʔ ɐ p ɡ aː n̪ o
Apilado	ʔ ɐ p ɪ l aː d̪ o
Aplasca	ʔ ɐ p l a s k ɐ
Apokripos	ʔ ɐ p oː k ɾ ɪ p o s
Apolinar	ʔ ɐ p o l ɪ n̪ a ɾ
Apolinario	ʔ ɐ p o l ɪ n̪ a ɾ j o
Apolo	ʔ ɐ p oː l o
Apolonio	ʔ ɐ p o l o n̪ j o
Apolonio	ʔ ɐ p o l oː ɲ o
Apostol	ʔ ɐ p o s t̪ o l
Aprika	ʔ aː p ɾ ɪ x a
Aprikana	ʔ ɐ p ɾ ɪ x aː n̪ ɐ
Aprikanismo	ʔ ɐ p ɾ ɪ x ɐ n̪ i s m o
Aprikanista	ʔ ɐ p ɾ ɪ x ɐ n̪ i s t̪ ɐ
Aprikano	ʔ ɐ p ɾ ɪ x aː n̪ o
April	ʔ e ɪ̯ p ɾ ɪ l
Aproasyatiko	ʔ ɐ p ɾ o ʔ ɐ s j aː t̪ ɪ x o
Aproasyatiko	ʔ ɐ p ɾ o ʔ ɐ ʃ aː t̪ ɪ x o
Apulon	ʔ ɐ p uː l o n̪
Aquiles	ʔ ɐ x iː l ɛ s
Aquino	ʔ ɐ x iː n̪ o
Arabe	ʔ ɐ ɾ aː b ɛ
Arabe	ʔ ɐ ɾ ɐ b ɛ
Arabia	ʔ ɐ ɾ a b j ɐ
Arabo	ʔ ɐ ɾ aː b o
Arabya	ʔ ɐ ɾ a b j ɐ
Aragon	ʔ ɐ ɾ ɐ ɣ o n̪
Aragones	ʔ ɐ ɾ ɐ ɣ oː n̪ ɛ s
Arakaki	ʔ ɐ ɾ ɐ x aː x ɪ
Arakan	ʔ ɐ ɾ aː x ɐ n̪
Aramaika	ʔ ɐ ɾ ɐ m a ɪ̯ x ɐ
Aramaika	ʔ ɐ ɾ ɐ m aː j ɪ x a
Aramaiko	ʔ ɐ ɾ ɐ m a ɪ̯ x o
Aramaiko	ʔ ɐ ɾ ɐ m aː j ɪ x o
Aramayika	ʔ ɐ ɾ ɐ m aː j ɪ x a
Aramayiko	ʔ ɐ ɾ ɐ m aː j ɪ x o
Aramayka	ʔ ɐ ɾ ɐ m a ɪ̯ x ɐ
Aramayko	ʔ ɐ ɾ ɐ m a ɪ̯ x o
Arambulo	ʔ ɐ ɾ a m b ʊ l o
Aramea	ʔ ɐ ɾ ɐ m ɛː j ɐ
Arameo	ʔ ɐ ɾ ɐ m ɛː j o
Arameya	ʔ ɐ ɾ ɐ m ɛː j ɐ
Arameyo	ʔ ɐ ɾ ɐ m ɛː j o
Aramita	ʔ ɐ ɾ ɐ m iː t̪ ɐ
Aranda	ʔ ɐ ɾ a n̪ d̪ ɐ
Arandia	ʔ ɐ ɾ a n̪ d̪ j ɐ
Arandia	ʔ ɐ ɾ a n̪ d͡ʒ ɐ
Araneta	ʔ ɐ ɾ ɐ n̪ ɛː t̪ ɐ
Arao	ʔ aː ɾ a ʊ̯
Arañas	ʔ ɐ ɾ a n̪ j ɐ s
Arañas	ʔ ɐ ɾ aː ɲ ɐ s
Arbolante	ʔ ɐ ɾ b o l a n̪ t̪ ɛ
Arbotante	ʔ ɐ ɾ b o t̪ a n̪ t̪ ɛ
Arcalas	ʔ a ɾ k ɐ l a s
Arce	ʔ a ɾ s ɛ
Arcega	ʔ ɐ ɾ s ɛː ɣ ɐ
Arcenas	ʔ ɐ ɾ s ɛː n̪ ɐ s
Arceo	ʔ ɐ ɾ s ɛː j o
Arciaga	ʔ ɐ ɾ s j aː ɣ ɐ
Arciaga	ʔ ɐ ɾ ʃ aː ɣ ɐ
Arcilla	ʔ ɐ ɾ s i l j ɐ
Arcillas	ʔ ɐ ɾ s i l j ɐ s
Arcinas	ʔ ɐ ɾ s iː n̪ ɐ s
Ardiente	ʔ ɐ ɾ d̪ j ɛ n̪ t̪ ɛ
Ardiente	ʔ ɐ ɾ d͡ʒ ɛ n̪ t̪ ɛ
Areglado	ʔ ɐ ɾ ɛ ɡ l aː d̪ o
Arellano	ʔ ɐ ɾ ɛ l j aː n̪ o
Arenas	ʔ ɐ ɾ ɛː n̪ ɐ s
Arevalo	ʔ ɐ ɾ ɛː b ɐ l o
Arevalo	ʔ ɐ ɾ ɛː v ɐ l o
Argao	ʔ ɐ ɾ ɡ a ʊ̯
Argente	ʔ ɐ ɾ h ɛ n̪ t̪ ɛ
Arguelles	ʔ ɐ ɾ ɡ w ɛ l j ɛ s
Arguelles	ʔ ɐ ɾ ɡ ɛ l j ɛ s
Arhelya	ʔ ɐ ɾ h ɛ l j ɐ
Arhentina	ʔ ɐ ɾ h ɛ n̪ t̪ iː n̪ ɐ
Arias	ʔ a ɾ j ɐ s
Arias	ʔ ɐ ɾ j a s
Aries	ʔ a ɾ j ɛ s
Ariola	ʔ ɐ ɾ j oː l ɐ
