A	ɑ
cadugər	d͡z ɑː d uː ɟ æ ɹ
cadugər	d͡ʒ ɑː d uː ɟ æ ɹ
cariyə	d͡ʒ ɑː r i j æ
cihad	d͡ʒ i h ɑ d
civə	d͡ʒ i v æ
daban	d ɑ b ɑ n
daban	d ɑ v ɑ n
dalğın	d ɑ ɫ ɣ ɯ n
dam	d ɑ m
davam	d ɑ v ɑ m
deyil	d e j i l
deyil	d æ j i
deyil	d æ j i l
deyil	d æ j i ɾ
deyil	d æː ɾ
deyil	d œ j
deyil	d œ j y ɭʲ
deyil	d œ j y ɾ
deyil	d œ j ɭ y
deyil	d œ j ɭʲ
deyil	d œ ɥ y ɾ
deşik	d e ʃ i k
dildaş	d i l d ɑ ʃ
diloça	d i l oː t͡ʃ ɑ
dişləmək	d i ʃ l æ m æ k
dodaqlanmayan	d o d ɑ ɡ ɫ ɑ n m ɑ j ɑ n
doqquz	d o ɡ ɡ u z
duz	d u z
düş	d y ʃ
düşünmək	d y ʃ y n m æ k
dışarı	d i ʃ ɣ ɑ ɾ ɯ
dışarı	d ɯ ʃ ɑ ɾ ɯ
dışarı	d ɯ ʃ ɡ ɑ ɾ ɯ
dəniz	d æ n i z
dərinlik	d æ r i n l i k
dərəcə	d æ ɾ æ d ʒ æ
dəsmal	d æ s m ɑ ɫ
dəstək	d æ s t æ c
dəstəkləmək	d æ s t æ c l æ m æ c
e	e
el	e l
elektrik	e l e c t r i c
elti	e l t i
etimologiya	ɛ t i m o l o ɟ i j ɑ
evlənmək	e v l æ n m æ k
evsizlik	e v s i z l i c
eyi	e j i
eşşək	e ʃ ʃ æ c
eşşək	e ʃ ʃ æ j
eşşək	e ʃ ʃ æ ç
eşşək	i ʃ ʃ e j
fikir	f i k i r
fikirləşmək	f i c i r l æ ʃ m æ c
fil	f i l
funksiya	f u n k s i j ɑ
fəqət	f æ ɡ æ t
fərqlənmək	f æ r ɡ l æ n m æ k
fəsilə	f æ s i l æ
gecə	ɟ ʝ e̞ ʒ æ
genə	ɟ e n æ
geriləmək	ɟ e r i l æ m æ k
gey	ɟ e j
ginə	ɟ i n æ
guya	ɟ u j ɑ
guya	ɟ uː j ɑ
guya	ɟ y j æ
göbək	ɟ œ b æ c
göbək	ɟ œ b æ j
göbək	ɟ œ b æ ç
göbək	ɡ y v æ j
görk	ɟ œ r c
görməmiş	ɟ œ r m æ m i ʃ
görünməz	ɟ œ ɾ y n m æ z
göz	d͡ʒ œ z
göz	ɟ œ z
gözəl	d͡ʒ œ z æ l
gözəl	ɟ œ z æ l
güc	ɟ y d͡ʒ
gülburnu	ɟ y l b ɯ r n ɯ
gündəm	ɟ y n d æ m
güz	c y z
güz	ɟ y z
gəlir	ɟ æ l i r
gəmirmək	ɟ æ m i r m æ c
gəndalaş	ɟ æ n d ɑ ɫ ɑ ʃ
gənəşmək	ɟ e i ʃ m ɑ ɣ
gənəşmək	ɟ e ŋ æ ʃ m æ χ
gənəşmək	ɟ i j æ ʃ m æ ɡ
gənəşmək	ɟ æ n æ ʃ m æ c
gənəşmək	ɟ æ n æ ʃ m æ j
gənəşmək	ɟ æ ŋ i ʃ m ɑ χ
gənəşmək	ɟ æ ŋ æ ʃ m æ x
gənəşmək	ɟ æ̃ː ʃ m ɑ χ
gənəşmək	ɡ ɑ ŋ ɑ ʃ m ɑ χ
gənəşmək	ɡ ɑː ʃ m ɑ χ
hafiz	h ɑː f i z
haralısınız	h ɑ r ɑ ɫ ɯ s ɯ n ɯ z
hazırda	h ɑː z ɯ r d ɑ
hidrogen	h i d ɾ o ɟ e n
hörgü	h ø ɾ ɟ y
hürmək	h y r m æ k
hədis	h æ d i s
həftə	h æ f t æ
hələ	h æ l æ
həmdəm	h æ m d æ m
həncəri	h æ n d͡ʒ æ r i
həncəri	h ɑ n d͡ʒ ɑ r u
həncəri	h ɑ n d͡ʒ ɑ r ɯ
həncəri	h ɑ n ʒ ɑ r ɯ
hərf	h æ ɾ f
həvəs	h æ v æ s
həvəskar	h æ v æ s c ɑ r
i	ɪ
idman	i d m ɑ n
igid	i d ʒ i d
igid	i j i t
igid	i ɟ i d
iki	i c i
ilə	n ɑ ɴ
ilə	ɴ æ ɴʲ
inadkar	i n ɑ d k ɑ r
inanmaq	i n ɑ n m ɑ χ
incimək	i n d͡ʒ i m æ k
incitmək	i n d͡ʒ i t m æ k
iqrek	i ɡ r e k
irq	i ɾ ɡ
irs	i r s
iş	i ʃ
işarə	i ʃ aː r æ
kabus	c aː b u s
keçinmək	c e t͡ʃ i n m æ c
keçə	c e t s æ
keçə	k e t ʃ æ
keçə	kʰ e t ʃʰ æ
keçə	kʰ e t ʃʰ ɛ
keçəllənmək	c e t͡ʃ æ l l æ n m æ c
kifirləşmək	c i f i r l æ ʃ m æ c
kit	c i t
kişi	c i ʃ i
komanda	k o m ɑ n d ɑ
komanda	k ɑ m ɑ n d ɑ
komitə	k o m i t æ
kraliça	k r ɑ l i t͡ʃ ɑ
kruk	k r u k
kudu	c u d u
kölə	c œ l æ
körük	c ø ɾ y c
köçmək	c œ t͡ʃ m æ c
kəlbətin	c æ l v æ t i n
kəniz	c æ n i z
ləyaqət	l æ j ɑː ɡ æ t
maaş	m ɑː ʃ
malik	m ɑː l i c
mağaza	m ɑ ɣ ɑ z ɑ
maşın	m ɑ ʃ ɯ n
mirvari	m i ɾ v ɑː ɾ i
mis	m i s
miskin	m i s c i n
müdriklik	m y d r i k l i k
müdriklik	m y d r y k l y k
mühafiz	m y h ɑː f i z
mühafizə	m y h ɑː f i z æ
mırıldamaq	m ɯ r ɯ ɫ d a m a x
mədaxil	m æ d ɑ χ i l
məftil	m æ f t i l
məlumat	m æː l u m ɑ t
məlumatlı	m æː l u m ɑ t l ɯ
məmləkət	m æ m l æ c æ t
mən	m e n
mən	m æ n
mən	m ɑ n
mənfəət	m æ n f æ æ t
mənim	m æ n i m
mərcimək	m æ ɾ d͡ʒ i m æ c
mərkəzi	m æ ɾ k æ z i
məğz	m æ ɣ z
məşhur	m æ ʃ h u r
namə	n ɑː m æ
nar	n ɑ r
nizam	n i z ɑ m
nişanlı	n i ʃ ɑ n ɫ ɯ
nişasta	n i ʃ ɑ s t ɑ
noyabr	n o j ɑ b ɾ
nöqtə	n œ ɡ t æ
növbədənkənar	n ø v b æ d æ n c æ n ɑ ɾ
nümunə	n y m u n æ
nırç	n ɯ r t͡ʃ
nə	n æ
nəmənə	n æ m æ n æ
o	u
o	ɔ
od	o d
od	o t
od	u t
onlar	o l a r
onlar	o n l a r
oyaq	o j ɑ χ
oğlan	o ɣ ɫ ɑ n
oğurlamaq	o ɣ u r l ɑ m ɑ χ
padoş	p ɑ d o ʃ
partlamaq	p ɑ r t ɫ ɑ m ɑ χ
partlatmaq	p ɑ r t ɫ ɑ t m ɑ χ
partlayış	p ɑ r t ɫ ɑ j ɯ ʃ
pasyak	p a s j a k
pox	p o x
pox	p u x
pravoslav	p r ɑ v o s l ɑ v
prestij	p r e s t i ʒ
pul	p u l
qadaq	ɡ ɑ d ɑ x
qanov	ɡ ɑ n o v
qaralmaq	ɡ ɑ ɾ ɑ l m ɑ χ
qart	ɡ ɑ r t
qarı	ɡ ɑ r ɯ
qatmaq	ɡ ɑ t m ɑ χ
qatıqlamaq	ɡ ɑ t ɯ ɣ ɫ ɑ m ɑ χ
qavrayış	ɡ ɑ v r ɑ j ɯ ʃ
qaxac	ɡ ɑ x a d͡z
qaxac	ɡ ɑ x a d͡ʒ
qazanc	ɡ ɑ z ɑ n d͡ʒ
qiraət	ɡ i ɾ ɑː æ t
qiraət	ɡ i ɾ ɑːˀ æ t
qoxu	ɡ o χ u
quduz	ɡ u d u z
quzu	ɡ u z i
quzu	ɡ u z u
qırmızımtıl	ɡ ɯ r m ɯ z ɯ m t ɯ l
qırx	ɡ ɯ r χ
qırxıncı	ɡ ɯ r x ɯ n d ʒ ɯ
qırğız	ɡ ɯ ɾ ɣ ɯ z
qızdırma	ɡ ɯ z d ɯ r m ɑ
qızıl	ɡ ɯ z ɯ ɫ
qəbul	ɡ æː b u ɫ
qələm	ɡ æ l æ m
qərb	ɡ æ r b
qətliam	ɡ æ t l i a m
qətliam	ɡ æ t l i j a m
qəşəng	ɡ æ ʃ æ h
qəşəng	ɡ æ ʃ æ ŋ ɡ
qəşəng	ɡ æ ʃː æ h
respublika	ɾ e s p u b l i k ɑ
rizamənd	ɾ i z ɑː m æ n d
ruh	r u h
sabun	s a b u n
sabun	s aː b u n
sakin	s ɑː c i n
sakit	s ɑː c i t
sanki	s ɑ n k i
sapan	s ɑ p ɑ n
sarp	s ɑ r p
sarı	s ɑ r u
sayrı	s ɑ j ɾ ɯ
sağlam	s ɑ ɣ ɫ ɑ m
sik	sʲ i ç
silah	s i ɫ ɑ h
silahlanmaq	s i l ɑ h l ɑ n m ɑ χ
sim	s i m
sima	s iː m ɑ
sinif	s i n i f
sink	s i ŋ k
siz	s i z
sonra	s o r ɑ
sonra	s o r ɑ m
sonra	s o ŋ r ɑ
soruşmaq	s o r u ʃ m ɑ χ
soy	s o j
soyqırım	s o j ɡ ɯ ɾ ɯ m
soyunmaq	s o j u n m ɑ χ
sulu	s u ɫ u
sözlük	s ø z l y c
süd	s y d
süd	s y t
sınmaq	s ɯ n m ɑ χ
səhm	s æ h m
səmavi	s æ m ɑː v i
sən	s æ n
səngək	s æ ŋ æ k
səpmək	s æ p m æ k
sərinləmək	s æ r i n l æ m æ k
sərvaxt	s æ r v ɑ χ t
səyahət	s æ j ɑː h æ t
tanımaq	t ɑ n ɯ m ɑ χ
tapşırıq	t ɑ p ʃ ɯ r ɯ χ
tavan	t ɑ v ɑ n
tay	t ɑ j
tez	t e z
tiraj	t i r a ʒ
titrəmək	t i t r æ m æ c
toxunmaq	t o χ u n m a χ
toy	t o j
tozsoran	t o z s o ɾ ɑ n
tüfəng	t y f æ ɲ ɟ
təlim	t æ l i m
təpəgöz	t æ p æ ɟ œ z
tərləmək	t æ r l æ m æ c
tərpənmək	t æ r p æ n m æ k
təsadüf	t æ s ɑː d y f
təsis	t æː s i s
təğafül	t æ ɣ ɑ f y ɫ
u	u
uje	u ʒ ɛ
utanmaq	u t ɑ n m ɑ χ
uşaq	ŭ ʃ ɑ χ
uşaq	ʃ ɑ χ
var	v ɑ r
vurmaq	v u r m ɑ x
və	v æ
vəli	v æ l i
vətəndaş	v æ t æ n d ɑ ʃ
xahiş	χ ɑ i ʃ
xuda	x u d ɑː
xudafiz	x u d ɑː f i z
xudahafiz	x u d ɑː f i z
xurma	χ u ɾ m ɑ
xüsusilə	x y s u s i l æ
xüsusilə	x y s u s iː l æ
xəncər	x æ n d͡z æ ɾ
xəncər	x æ n d͡ʒ æ ɾ
ya	j ɑ
yanardağ	j ɑ n ɑ ɾ d ɑ ɣ
yapışqan	j ɑ p ɯ ʃ ɡ ɑ n
yaxa	j æ χ æ
yağmaq	j ɑ ɣ m ɑ x
yaşıl	j ɑ ʃ ɯ ɫ
yaşıl	j ɑ ʃ ʃ i l
yekə	j e c æ
yenə	j e n æ
yer	j e r
yeri	j e r i
yerləşdirmək	j e r l æ ʃ d i r m æ c
yerləşmək	j e r l æ ʃ m æ c
yeyin	j e j i n
yeşik	j e ʃ i c
yoldaş	j o ɫ d ɑ ʃ
yoğun	j o ɣ u n
yoğurt	j o ʁ u ɾ t
yurddaş	j u r dː a ʃ
yük	j y k
yükləmək	j y c l æ m æ c
yüklənmək	j y c l æ n m æ c
yürgək	j y r ɟ æ x
yürgək	j œ r ɟ æ c
yürüş	j y ɾ y ʃ
yüyən	j y j æ n
yüz	j y z
yəhər	j i h æ r
yəhər	j æ h æ r
ziyafət	z i j ɑː f æ t
zorlama	z o r ɫ ɑ m ɑ
zorlamaq	z o r ɫ ɑ m ɑ χ
zürafə	z y r ɑ f æ
zəban	z æ b ɑ n
zəbt	z æ p t
zəhmətkeş	z æ h m æ t k e ʃ
zəiflik	z æ i f l i k
zənci	z æ n d͡ʒ i
çatışmamazlıq	t͡ʃ ɑ t ɯ ʃ m ɑ m ɑ z d ɯ χ
çimdikləmək	t͡ʃ i m d i c l æ m æ c
çizkeyk	t ʃ i z k e j k
çuxur	t͡ʃ u χ u ɾ
çılpaq	t ʃ ɯ l p ɑ x
ö	œ
ömür	œ m y r
örnək	ø ɾ n æ c
örpək	œ r p æ k
örtük	œ r t y k
örtülü	œ r t y l y
örən	œ r æ n
özbək	ø z b æ k
özgüvən	œ z ɟ y v æ n
özgüvənlik	œ z ɡ y v æ n l i k
özəl	œ z æ l
özəlliklə	œ z æ lː i k l æ
ü	y
ünsiyyət	y n s i j æ t
üzüm	y z y m
üzəngi	y z æ ŋ ɟ i
üç	ʏ t ʃ
üçvahidlik	y t͡ʃ v ɑː h i d l i c
üşümək	y ʃ y m æ k
ı	ɯ
şahzadə	ʃ ɑ h z ɑː d æ
şedevr	ʃ e d e v r
şey	ʃ e j
şin	ʃ i n
şırnoux	ʃ ɯ r n oː u x
şəhvət	ʃ æ h v æ t
şənbə	ʃ æ n b æ
şəxs	ʃ æ χ s
şəxsi	ʃ æ χ s i
Ədirnə	æ d i r n æ
Əli	æ l i
Ƣ	ɣ
ƣ	ɣ
ə	æ
əmcək	æ m d͡ʒ æ k
ər	i ɾ
ərik	æ r i c
ərik	æ r y k
ərən	æ r æ n
əsas	æ s ɑ s
əslində	æ s l i n d æ
əyyam	æ j ɑ m
əyyam	ɑ j ɑ m
əzim	æ z i m
əziz	æ z i z
