A	ə
Kaleialoha	k ə l ɛ j j ə l o h ə
Kaleikaumaka	k ə l ɛ j k ə w m ɐ k ə
Kaleiokalani	k ə l ɛ j j o k ə l ɐ n i
Kalema	k ə l ɛ m ə
Kalena	k ə l ɛ n ə
Kaleo	k ə l ɛ j o
Kaleolani	k ə l ɛ j o l ɐ n i
Kaleponi	k ə l e p o n i
Kalia	k ə l i j ə
Kalikimaka	k ə l i t i m ɐ k ə
Kaliko	k ə l i k o
Kalili	k ə l i l i
Kaliʻa	k ə l i ʔ ə
Kalolaina	k ə l o l ɐ j n ə
Kalolaina	k ə l o l ɛ j n ə
Kalua	k ə l u w ə
Kalā	k ə l aː
Kama	k ɐ m ə
Kamabodia	k ə m ə p o t i j ə
Kamahiʻai	k ə m ɐ h i ʔ ɐ j
Kamahiʻai	k ə m ɐ h i ʔ ɛ j
Kamaile	k ə m ɐ j l e
Kamaile	k ə m ɛ j l e
Kamaka	k ə m ɐ k ə
Kamaki	k ə m ɐ t i
Kamala	k ə m ɐ l ə
Kamalani	k ə m ə l ɐ n i
Kamalei	k ə m ə l ɛ j
Kamapuaʻa	k ɐ m ə p u w ɐ ʔ ə
Kamehameha	k ə m ɛ h ə m ɛ h ə
Kameāloha	k ə m e j aː l o h ə
Kamila	k ə m i l ə
Kamoʻoalewa	k ə m o ʔ o w ə l ɛ ʋ ə
Kamāhana	k ɐ m aː h ɐ n ə
Kanakā	k ə n ə k aː
Kanaloa	k ɐ n ə l o w ə
Kanani	k ə n ɐ n i
Kanapela	k ə n ə p ɛ l ə
Kanekaka	k ə n e k ɐ k ə
Kanikau	k ɐ n i k ɐ w
Kanikau	k ɐ n i k ɔ w
Kanimeki	k ə n i m ɛ t i
Kanoa	k ə n o w ə
Kanoelani	k ə n o w e l ɐ n i
Kaomaʻaikū	k ə o̯ m ə ʔ ə j k uː
Kapalakiko	k ə p ə l ə t i k o
Kapalua	k ə p ə l u w ə
Kapeka	k ə p ɛ k ə
Kaperenauma	k ə p e l e n ɐ w m ə
Kaperenauma	k ə p e l e n ɔ w m ə
Kapika	k ə p i k ə
Kapiʻolani	k ə p i ʔ o l ɐ n i
Kapono	k ə p o n o
Kapua	k ə p u w ə
Kapule	k ə p u l e
Katala	k ə k ɐ l ə
Kauaʻi	k ə w w ɐ ʔ i
Kauhi	k ɐ w h i
Kauhi	k ɔ w h i
Kaulana	k ə w l ɐ n ə
Kauō	k ə w oː
Kauʻi	k ɐ w ʔ i
Kauʻi	k ɔ w ʔ i
Kauʻilani	k ɐ w ʔ i l ɐ n i
Kauʻilani	k ɔ w ʔ i l ɐ n i
Kawai	k ə ʋ ɐ j
Kawai	k ə ʋ ɛ j
Kawailani	k ə ʋ ɐ j l ɐ n i
Kawailani	k ə ʋ ɛ j l ɐ n i
Kawehi	k ə ʋ ɛ h i
Kawelo	k ə ʋ ɛ l o
Kawena	k ə ʋ ɛ n ə
Kaʻanāʻanā	k ə ʔ ə n aː ʔ ə n aː
Kaʻaukai	k ə ʔ ə w k ɐ j
Kaʻaukai	k ə ʔ ə w k ɛ j
Kaʻehu	k ə ʔ ɛ h u
Kaʻena	k ə ʔ ɛ n ə
Kaʻepaokaʻāwela	k ə ʔ ɛ p ə o k ɐ ʔ aː ʋ ɛ l ə
Kaʻili	k ə ʔ i l i
Kaʻimi	k ə ʔ i m i
Kaʻiulani	k ə ʔ j u l ɐ n i
Kaʻohu	k ə ʔ o h u
Kaʻuhane	k ə ʔ u h ɐ n e
Keahi	k e j ɐ h i
Keaka	k e j ɐ k ə
Keala	k e j ɐ l ə
Kealalaina	k e j ə l ə l ɐ j n ə
Kealalaina	k e j ə l ə l ɛ j n ə
Kealani	k e j ə l ɐ n i
Kealiʻi	k e j ə l i ʔ i
Kealoha	k e j ə l o h ə
Keanu	k e j ɐ n u
Keao	k e j ɐ o̯
Keaopō	k e j ə o̯ p oː
Keawe	k e j ɐ ʋ e
Keikilani	k e j t i l ɐ n i
Keimoka	k e j m o k ə
Kekeka	k ɛ k ɛ k ə
Kekepa	k ɛ k ɛ p ə
Kekoa	k e k o w ə
Kekokia	k e k o t i j ə
Kelawea	k ɛ l ə ʋ ɛ j ə
Keleka	k ɛ l ɛ k ə
Kelekia	k e l e t i j ə
Kelekolio	k e l e k o l i j o
Kelemānia	k e l e m aː n i j ə
Kelewine	k e l e ʋ i n e
Kelupaina	k e l u p ɐ j n ə
Kelupaina	k e l u p ɛ j n ə
Kenekī	k e n e t iː
Kenemaka	k e n e m ɐ k ə
Keoki	k e j o t i
Keokia	k e j o t i j ə
Keola	k e j o l ə
Keona	k e j o n ə
Keonaona	k e j o n ɐ o̯ n ə
Keone	k e j o n e
Keoni	k e j o n i
Kepakemapa	k e p ə k e m ɐ p ə
Kepania	k e p ə n i j ə
Kepano	k e p ɐ n o
Kepanī	k e p ə n iː
Kepola	k e p o l ə
Keō	k e j oː
Keʻala	k e ʔ ɐ l ə
Keʻalohilani	k e ʔ ə l o h i l ɐ n i
Kiana	t i j ɐ n ə
Kiele	t i ɛ l ɛ
Kikako	t i k ɐ k o
Kikilia	t i t i l i j ə
Kikinē	t i t i n eː
Kila	t i l ə
Kilia	t i l i j ə
Kilikina	t i l i t i n ə
Kimo	t i m o
Kimokeo	t i m o k ɛ j o
Kimona	t i m o n ə
Kina	t i n ə
Kini	t i n i
Kinikiu	t i n i t j u
Kinohi	t i n o h i
Kione	t i j o n e
Kipola	t i p o l ə
Koa	k o w ə
Koleka	k o l ɛ k ə
Kolokea	k o l o k ɛ j ə
Kololako	k o l o l ɐ k o
Kolomepia	k o l o m e p i j ə
Kolomona	k o l o m o n ə
Kolomupia	k o l o m u p i j ə
Kolosa	k o l o k ə
Koma	k o m ə
Konekikuka	k o n e t i k u k ə
Kopaea	k o p ɐ e̯ j ə
Korineto	k o l i n ɛ k o
Kuekena	k u w ɛ k ɛ n ə
Kuekene	k u w ɛ k ɛ n ɛ
Kuete	k u w ɛ k ɛ
Kuikilana	k u w i t i l ɐ n ə
Kuikilani	k u w i t i l ɐ n i
Kuilei	k u w i l ɛ j
Kukana	k u k ɐ n ə
Kula	k u l ə
Kuleke	k u l ɛ k ɛ
Kulia	k u l i j ə
Kuna	k u n ə
Kupelo	k u p ɛ l o
Kuʻualoha	k u ʔ u w ə l o h ə
Kuʻuipo	k u ʔ u w i p o
Kuʻulei	k u ʔ u l ɛ j
Kuʻuleialoha	k u ʔ u l e j j ə l o h ə
Kālona	k aː l o n ə
Kāpena	k aː p ɛ n ə
Kāwelu	k aː ʋ ɛ l u
Kāwika	k aː ʋ i k ə
Kāʻanapali	k aː ʔ ə n ə p ɐ l i
Kēhau	k eː h ɐ w
Kēhau	k eː h ɔ w
Kēhaulani	k eː h ə w l ɐ n i
Kēkēmapa	k eː k eː m ɐ p ə
Kīhei	t iː h ɛ j
Kōlea	k oː l ɛ j ə
Kōleka	k oː l ɛ k ə
Kūaliʻi	k uː ə l i ʔ i
Lahapa	l ə h ɐ p ə
Laka	l ɐ k ə
Lakalo	l ə k ɐ l o
Lakawia	l ə k ə ʋ i j ə
Lalie	l ə l i e
Lanakila	l ə n ə t i l ə
Lani	l ɐ n i
Laniākea	l ɐ n i j aː k ɛ j ə
Laosa	l ɐ o̯ k ə
Laʻakea	l ɐ ʔ ə k ɛ j ə
Lea	l ɛ j ə
Lehua	l e h u w ə
Lei	l ɛ j
Leialoha	l e j j ə l o h ə
Leikawiʻika	l e j k ə ʋ i ʔ i k ə
Leilani	l e j l ɐ n i
Leimomi	l e j m o m i
Leinani	l e j n ɐ n i
Leināʻala	l e j n aː ʔ ɐ l ə
Leleākūhonua	l e l e j aː k uː h o n u w ə
Lepeka	l ɛ p ɛ k ə
Lewi	l ɛ ʋ i
Likeke	l i k ɛ k ɛ
Likenekaina	l i k e n e k ɐ j n ə
Likenekaina	l i k e n e k ɛ j n ə
Likepona	l i k e p o n ə
Lilia	l i l i j ə
Liliana	l i l i j ɐ n ə
Lilinoe	l i l i n o w e
Lituania	l i k u w ə n i j ə
Loika	l o̯ i k ə
Loka	l o k ə
Lokalia	l o k ə l i j ə
Lokelani	l o k e l ɐ n i
Loma	l o m ə
Lopaka	l o p ɐ k ə
Luana	l u w ɐ n ə
Lui	l u w i
Luika	l u w i k ə
Luikiana	l u w i t i j ɐ n ə
Luka	l u k ə
Lukemapuka	l u k e m ə p u k ə
Lukia	l u t i j ə
Lulia	l u l i j ə
Luʻukia	l u ʔ u t i j ə
Lāhainā	l aː h ə j n aː
Lāhela	l aː h ɛ l ə
Lākana	l aː k ɐ n ə
Lānaʻi	l aː n ɐ ʔ i
Lūkia	l uː t i j ə
Lūkini	l uː t i n i
Mahelona	m ə h e l o n ə
Mahina	m ə h i n ə
Mahiʻai	m ə h i ʔ ɐ j
Mahiʻai	m ə h i ʔ ɛ j
Maikaʻi	m ə j k ɐ ʔ i
Maile	m ɐ j l e
Maile	m ɛ j l e
Maine	m ɐ j n e
Maine	m ɛ j n e
Maka	m ɐ k ə
Makaio	m ə k ɐ j j o
Makaio	m ə k ɛ j j o
Makakukeka	m ə k ə k u k ɛ k ə
Makaleka	m ə k ə l ɛ k ə
Makalika	m ə k ə l i k ə
Makamae	m ə k ə m ɐ e̯
Makana	m ə k ɐ n ə
Makanui	m ə k ə n u w i
Makawela	m ə k ə ʋ ɛ l ə
Makelika	m ə k e l i k ə
Makia	m ə t i j ə
Makoa	m ə k o w ə
Malaea	m ə l ɐ e̯ j ə
Malaia	m ə l ɐ j j ə
Malaia	m ə l ɛ j j ə
Malaisia	m ə l ə j t i j ə
Malaki	m ə l ɐ t i
Maleka	m ə l ɛ k ə
Maleko	m ə l ɛ k o
Malia	m ə l i j ə
Manu	m ɐ n u
Manuela	m ə n u w ɛ l ə
Mareko	m ə l ɛ k o
Maria	m ə l i j ə
Maui	m ɐ w w i
Maui	m ɔ w w i
Maunaloa	m ɐ w n ə l o w ə
Maunaloa	m ɔ w n ə l o w ə
Mei	m ɛ j
Mekiko	m e t i k o
Mele	m ɛ l ɛ
Meleana	m e l e j ɐ n ə
Melelana	m e l e l ɐ n ə
Melepona	m e l e p o n ə
Melia	m e l i j ə
Menehune	m ɛ n ɛ h u n e
Mika	m i k ə
Mikala	m i k ɐ l ə
Mikaʻela	m i k ə ʔ ɛ l ə
Mikaʻele	m i k ə ʔ ɛ l ɛ
Mikikana	m i t i k ɐ n ə
Mikikipi	m i t i t i p i
Mikouli	m i k o w l i
Mileka	m i l ɛ k ə
Miliama	m i l i j ɐ m ə
Mililani	m i l i l ɐ n i
Mima	m i m ə
Minekoka	m i n e k o k ə
Moana	m o w ɐ n ə
Moani	m o w ɐ n i
Mohameka	m o h ə m ɛ k ə
Mokekao	m o k e k ɐ o̯
Mokihana	m o t i h ɐ n ə
Molokaʻi	m o l o k ɐ ʔ i
Momilani	m o m i l ɐ n i
Monekana	m o n e k ɐ n ə
Monokolia	m o n o k o l i j ə
Māhealani	m aː h e j ə l ɐ n i
Māhoe	m aː h o w e
Māpuana	m aː p u w ɐ n ə
Māui	m aː w w i
Nahuma	n ə h u m ə
Naigeria	n ə j k e l i j ə
Naiʻa	n ɐ j ʔ ə
Naiʻa	n ɛ j ʔ ə
Nakoa	n ə k o w ə
Nanea	n ə n ɛ j ə
Nani	n ɐ n i
Naomi	n ɐ o̯ m i
Nazareta	n ɐ k ə l ɛ k ə
Nehemia	n e h e m i j ə
Nekelana	n e k e l ɐ n ə
Nekewa	n ɛ k ɛ ʋ ə
Nepalaka	n e p ə l ɐ k ə
Newaka	n e ʋ ɐ k ə
Nihoa	n i h o w ə
Niʻihau	n i ʔ i h ɐ w
Niʻihau	n i ʔ i h ɔ w
Noa	n o w ə
Noelani	n o w e l ɐ n i
Nohea	n o h ɛ j ə
Nohealani	n o h e j ə l ɐ n i
Nolewai	n o l e ʋ ɐ j
Nolewai	n o l e ʋ ɛ j
Nowemapa	n o ʋ e m ɐ p ə
Nuhōlani	n u h oː l ɐ n i
Nuioka	n u w i j o k ə
Nukilani	n u t i l ɐ n i
Nuʻuanu	n u ʔ u w ɐ n u
Nuʻuhiwa	n u ʔ u h i ʋ ə
Nāinoa	n aː j n o w ə
Nālani	n aː l ɐ n i
Nāmaka	n aː m ɐ k ə
Nāpua	n aː p u w ə
Nāwai	n aː ʋ ɐ j
Nāwai	n aː ʋ ɛ j
Nīhoa	n iː h o w ə
Nūkilani	n uː t i l ɐ n i
Oʻahu	o ʔ ɐ h u
Pakitana	p ə t i k ɐ n ə
Palakiko	p ə l ə t i k o
Palakila	p ə l ə t i l ə
Palani	p ə l ɐ n i
Palapala	p ə l ə p ɐ l ə
Palekekine	p ə l e k e t i n e
Palesetine	p ə l e k e t i n e
Palika	p ə l i k ə
Pane	p ɐ n e
Panekoka	p ə n e k o k ə
Panekola	p ə n e k o l ə
Paniolo	p ə n i j o l o
Pauahi	p ə w w ɐ h i
Paulo	p ɐ w l o
Paulo	p ɔ w l o
Paʻuwela	p ɐ ʔ u ʋ ɛ l ə
Peke	p ɛ k ɛ
Pekelo	p ɛ k ɛ l o
Pele	p ɛ l ɛ
Pelekia	p e l e t i j ə
Pelekila	p e l e t i l ə
Pelekiuma	p e l e t j u m ə
Pelekāne	p ɛ l ɛ k aː n e
Pelekānia	p ɛ l ɛ k aː n i j ə
Pelelina	p e l e l i n ə
Penekelewinia	p e n e k e l e ʋ i n i j ə
Peneki	p ɛ n ɛ t i
Peni	p ɛ n i
Peniʻamina	p e n i ʔ ə m i n ə
Pepeluali	p e p e l u w ɐ l i
Pihemanu	p i h e m ɐ n u
Pika	p i k ə
Pila	p i l ə
Pinehaka	p i n e h ɐ k ə
Pinehasa	p i n e h ɐ k ə
Pinilana	p i n i l ɐ n ə
Piʻikea	p i ʔ i k ɛ j ə
Piʻilani	p i ʔ i l ɐ n i
Piʻolani	p i ʔ o l ɐ n i
Poepe	p o w ɛ p ɛ
Pokukala	p o k u k ɐ l ə
Polenekia	p o l e n e t i j ə
Poliʻahu	p o l i ʔ ɐ h u
Pololika	p o l o l i k ə
Popoka	p o p o k ə
Pua	p u w ə
Pualani	p u w ə l ɐ n i
Puanani	p u w ə n ɐ n i
Pukikī	p u t i t iː
Pulukalia	p u l u k ə l i j ə
Puruma	p u l u m ə
Pāʻia	p aː ʔ i j ə
Pīkī	p iː t iː
Pōlani	p oː l ɐ n i
Pōmaikaʻi	p oː m ə j k ɐ ʔ i
Pōniuāʻena	p oː n j u w aː ʔ ɛ n ə
Pōwehi	p oː ʋ ɛ h i
Pōʻahā	p oː ʔ ə h aː
Pōʻakahi	p oː ʔ ə k ɐ h i
Pōʻakolu	p oː ʔ ə k o l u
Pōʻalima	p oː ʔ ə l i m ə
Pōʻalua	p oː ʔ ə l u w ə
Pōʻaono	p oː ʔ ə o n o
Roselani	l o k e l ɐ n i
Roselani	r o s e l ɐ n i
Rusia	l u t i j ə
Rūsia	l uː t i j ə
Sepania	k e p ə n i j ə
Sililanaka	t i l i l ə n ɐ k ə
Sinapoa	t i n ə p o w ə
Solowakia	k o l o ʋ ə t i j ə
Solowenia	k o l o ʋ e n i j ə
Suria	k u l i j ə
Tailani	k ə j l ɐ n i
Tesalonike	k e k ə l o n i k e
Tiberia	t i p e l i j ə
Timoteo	t i m o k ɛ j o
Toma	k o m ə
Uilama	u w i l ɐ m ə
Uka	u k ə
Ululani	u l u l ɐ n i
Uʻilani	u ʔ i l ɐ n i
W	ʋ eː
Waikapū	ʋ ɐ j k ə p uː
Waikapū	ʋ ɛ j k ə p uː
Waikīkī	ʋ ɐ j t iː t iː
Waikīkī	ʋ ɛ j t iː t iː
Wailani	ʋ ə j l ɐ n i
Waiola	ʋ ə j j o l ə
Waiomina	ʋ ə j j o m i n ə
Wakinekona	ʋ ə t i n e k o n ə
Wanuatu	ʋ ə n u w ɐ k u
Welemoneka	ʋ e l e m o n ɛ k ə
Welinakona	ʋ e l i n ə k o n ə
Wenekola	ʋ e n e k o l ə
Wiekanama	ʋ i e k ə n ɐ m ə
Wikolia	ʋ i k o l i j ə
Wikonekina	ʋ i k o n e t i n ə
Wilama	ʋ i l ɐ m ə
Wiliama	ʋ i l i j ɐ m ə
Wilikinia	ʋ i l i t i n i j ə
Zekaria	k e k ə l i j ə
Zepania	k e p ə n i j ə
aeʻo	ɐ ɛ̯ ʔ o
aha	ɐ h ə
ahi	ɐ h i
ahiahi	ɐ h i j ɐ h i
ahimakani	ɐ h i m ə k ɐ n i
aho	ɐ h o
ahupuaʻa	ɐ h u p u w ɐ ʔ ə
ai	ɐ j
ai	ɛ j
aia	ɐ j j ə
aia	ɛ j j ə
aikāne	ɐ j k aː n e
aikāne	ɛ j k aː n e
aina	ɐ j n ə
aina	ɛ j n ə
aka	ɐ k ə
akaaka	ɐ k ə ɐ k ə
akahele	ɐ k ə h ɛ l ɛ
akamai	ə k ə m ɐ j
akamai	ə k ə m ɛ j
akaʻai	ɐ k ə ʔ ɐ j
akaʻai	ɐ k ə ʔ ɛ j
ake	ɐ k e
akeakamai	ɐ k e j ə k ə m ɐ j
akeakamai	ɐ k e j ə k ə m ɛ j
akemāmā	ə k e m aː m aː
ako	ɐ k o
aku	ɐ k u
akua	ə k u w ə
akula	ə k u l ə
akā	ə k aː
ala	ɐ l ə
alahao	ɐ l ə h ɐ o̯
alaila	ə l ɐ j l ə
alaila	ə l ɛ j l ə
alakaʻi	ɐ l ə k ɐ ʔ i
alaloa	ɐ l ə l o w ə
alani	ə l ɐ n i
alanui	ə l ə n u w i
alawai	ɐ l ə ʋ ɐ j
alawai	ɐ l ə ʋ ɛ j
alelo	ə l ɛ l o
aliʻi	ə l i ʔ i
alo	ɐ l o
aloha	ə l o h ə
ama	ɐ m ə
amo	ɐ m o
ana	ɐ n ə
anahulu	ə n ə h u l u
anamanaʻo	ɐ n ə m ə n ɐ ʔ o
anapuni	ɐ n ə p u n i
anawaena	ə n ə ʋ ɐ e̯ n ə
ane	ɐ n e
ani	ɐ n i
aniani	ɐ n i j ɐ n i
anilā	ə n i l aː
ano	ɐ n o
anu	ɐ n u
anuanu	ɐ n u w ɐ n u
ao	ɐ o̯
aouli	ɐ o̯ u l i
apau	ə p ɐ w
apau	ə p ɔ w
au	ɐ w
au	ɔ w
auau	ɐ w w ɐ w
auau	ɔ w w ɔ w
aumiki	ɐ w m i t i
aumiki	ɔ w m i t i
aumoe	ə w m o w e
aupuni	ə w p u n i
auē	ə w w eː
awa	ɐ ʋ ə
awakea	ɐ ʋ ə k ɛ j ə
awatea	ɐ ʋ ə k ɛ j ə
awāwa	ə ʋ aː ʋ ə
aʻa	ɐ ʔ ə
aʻe	ɐ ʔ e
aʻela	ə ʔ ɛ l ə
aʻo	ɐ ʔ o
aʻole	ə ʔ o l e
aʻu	ɐ ʔ u
ea	ɛ j ə
ehu	ɛ h u
emi	ɛ m i
eʻe	ɛ ʔ ɛ
hae	h ɐ e̯
haele	h ɐ e̯ l e
hahai	h ə h ɐ j
hahai	h ə h ɛ j
hahau	h ə h ɐ w
hahau	h ə h ɔ w
hai	h ɐ j
hai	h ɛ j
haikokene	h ɐ j k o k ɛ n ɛ
haikokene	h ɛ j k o k ɛ n ɛ
hailawe	h ɐ j l ɐ ʋ e
hailawe	h ɛ j l ɐ ʋ e
hailepo	h ɐ j l ɛ p o
hailepo	h ɛ j l ɛ p o
hailuku	h ɐ j l u k u
hailuku	h ɛ j l u k u
haka	h ɐ k ə
hakahaka	h ɐ k ə h ɐ k ə
hakakā	h ə k ə k aː
haku	h ɐ k u
hakuhaku	h ɐ k u h ɐ k u
hala	h ɐ l ə
halahala	h ɐ l ə h ɐ l ə
hale	h ɐ l e
halehale	h ɐ l e h ɐ l e
halemākaʻi	h ɐ l e m aː k ɐ ʔ i
hali	h ɐ l i
hame	h ɐ m e
hamo	h ɐ m o
hana	h ɐ n ə
hanahana	h ɐ n ə h ɐ n ə
hanauna	h ə n ɐ w n ə
hanauna	h ə n ɔ w n ə
hanele	h ə n ɛ l ɛ
haneli	h ə n ɛ l i
hanini	h ə n i n i
hano	h ɐ n o
hanohano	h ɐ n o h ɐ n o
hanu	h ɐ n u
hanuāpuaʻa	h ɐ n u w aː p u w ɐ ʔ ə
hao	h ɐ o̯
haole	h ɐ o̯ l e
hapa	h ɐ p ə
hapahā	h ɐ p ə h aː
hapakolu	h ɐ p ə k o l u
hapalua	h ɐ p ə l u w ə
hau	h ɐ w
hau	h ɔ w
hauhau	h ə w h ɐ w
hauhau	h ə w h ɔ w
haukalima	h ɐ w k ə l i m ə
haukalima	h ɔ w k ə l i m ə
haukapila	h ɐ w k ə p i l ə
haukapila	h ɔ w k ə p i l ə
haukaʻe	h ɐ w k ɐ ʔ e
haukaʻe	h ɔ w k ɐ ʔ e
haulani	h ɐ w l ɐ n i
haulani	h ɔ w l ɐ n i
haumia	h ə w m i j ə
haumāna	h ə w m aː n ə
haupia	h ɐ w p i j ə
haupia	h ɔ w p i j ə
hauʻoli	h ə w ʔ o l i
haʻa	h ɐ ʔ ə
haʻahaʻa	h ɐ ʔ ə h ɐ ʔ ə
haʻaheo	h ɐ ʔ ə h ɛ j o
haʻalele	h ɐ ʔ ə l ɛ l ɛ
haʻalulu	h ɐ ʔ ə l u l u
haʻawina	h ɐ ʔ ə ʋ i n ə
haʻihaʻi	h ə ʔ i h ɐ ʔ i
haʻiinoa	h ə ʔ i i n o w ə
haʻina	h ə ʔ i n ə
haʻuki	h ə ʔ u t i
haʻupoho	h ɐ ʔ u p o h o
hea	h ɛ j ə
heahea	h ɛ j ə h ɛ j ə
heheʻe	h ɛ h ɛ ʔ ɛ
heihei	h e j h ɛ j
hekehi	h ɛ k ɛ h i
helahela	h ɛ l ə h ɛ l ə
hele	h ɛ l ɛ
heleāiʻa	h ɛ l ɛ j aː i ʔ ə
heleāwai	h ɛ l ɛ j aː ʋ ɐ j
heleāwai	h ɛ l ɛ j aː ʋ ɛ j
helo	h ɛ l o
helu	h ɛ l u
heluhelu	h ɛ l u h ɛ l u
hema	h ɛ m ə
hemahema	h ɛ m ə h ɛ m ə
hemolele	h e m o l ɛ l ɛ
hene	h ɛ n ɛ
henehene	h ɛ n ɛ h ɛ n ɛ
henua	h e n u w ə
heo	h ɛ j o
hepa	h ɛ p ə
heu	h ɛ w
hewa	h ɛ ʋ ə
heʻe	h ɛ ʔ ɛ
hiamoe	h i j ə m o w e
hihiawai	h i h i j ə ʋ ɐ j
hihiawai	h i h i j ə ʋ ɛ j
hihio	h i h i j o
hikaluhi	h i k ə l u h i
hiki	h i t i
