Ⴁ	b
აგვირგვინებს	a ɡ v i r ɡ v i n ɛ b s
აგვისტო	a ɡ v i s tʼ ɔ
აგვისტოდ	a ɡ v i s tʼ ɔ d
აგვისტოთი	a ɡ v i s tʼ ɔ tʰ i
აგვისტომ	a ɡ v i s tʼ ɔ m
აგვისტოს	a ɡ v i s tʼ ɔ s
აგზნებადობა	a ɡ z n ɛ b a d ɔ b a
აგზნებულად	a ɡ z n ɛ b u l a d
აგიდელი	a ɡ i d ɛ l i
აგიზგიზება	a ɡ i z ɡ i z ɛ b a
აგიზგიზებული	a ɡ i z ɡ i z ɛ b u l i
აგინებს	a ɡ i n ɛ b s
აგიტატორი	a ɡ i tʼ a tʼ ɔ r i
აგლომერაცია	a ɡ l ɔ m ɛ r a t͡s i a
აგნებს	a ɡ n ɛ b s
აგნოსტიკური	a ɡ n ɔ s tʼ i kʼ u r i
აგნოსტიციზმი	a ɡ n ɔ s tʼ i t͡s i z m i
აგონდება	a ɡ ɔ n d ɛ b a
აგონია	a ɡ ɔ n i a
აგორებს	a ɡ ɔ r ɛ b s
აგრეთვე	a ɡ r ɛ tʰ v ɛ
აგრესიულად	a ɡ r ɛ s i u l a d
აგრესიული	a ɡ r ɛ s i u l i
აგრესიულობა	a ɡ r ɛ s i u l ɔ b a
აგრესორი	a ɡ r ɛ s ɔ r i
აგროვებს	a ɡ r ɔ v ɛ b s
აგრძელებ	a ɡ r d͡z ɛ l ɛ b
აგრძელებს	a ɡ r d͡z ɛ l ɛ b s
აგულაშვილი	a ɡ u l a ʃ v i l i
აგური	a ɡ u r i
ადათი	a d a tʰ i
ადამაშვილი	a d a m a ʃ v i l i
ადამი	a d a m i
ადამიანად	a d a m i a n a d
ადამიანები	a d a m i a n ɛ b i
ადამიანი	a d a m i a n i
ადამიანით	a d a m i a n i tʰ
ადამიანის	a d a m i a n i s
ადამიანმა	a d a m i a n m a
ადამიანს	a d a m i a n s
ადამიანურად	a d a m i a n u r a d
ადამიანური	a d a m i a n u r i
ადაპტაცია	a d a pʼ tʼ a t͡s i a
ადარებს	a d a r ɛ b s
ადარნასე	a d a r n a s ɛ
ადგენს	a d ɡ ɛ n s
ადგილას	a d ɡ i l a s
ადგილი	a d ɡ i l i
ადგილობრივად	a d ɡ i l ɔ b r i v a d
ადგილობრივი	a d ɡ i l ɔ b r i v i
ადგომა	a d ɡ ɔ m a
ადევნებს	a d ɛ v n ɛ b s
ადეიშვილი	a d ɛ i ʃ v i l i
ადეკვატურად	a d ɛ kʼ v a tʼ u r a d
ადეკვატური	a d ɛ kʼ v a tʼ u r i
ადეკვატურობა	a d ɛ kʼ v a tʼ u r ɔ b a
ადენოიდური	a d ɛ n ɔ i d u r i
ადეპტი	a d ɛ pʼ tʼ i
ადვაძე	a d v a d͡z ɛ
ადვილად	a d v i l a d
ადვილი	a d v i l i
ადიდებს	a d i d ɛ b s
ადიკაშვილი	a d i kʼ a ʃ v i l i
ადის	a d i s
ადიულტერი	a d i u l tʼ ɛ r i
ადიუტანტი	a d i u tʼ a n tʼ i
ადმინისტრაციულად	a d m i n i s tʼ r a t͡s i u l a d
ადმინისტრაციული	a d m i n i s tʼ r a t͡s i u l i
ადმირალი	a d m i r a l i
ადოლაშვილი	a d ɔ l a ʃ v i l i
ადრე	a d r ɛ
ადრენალინი	a d r ɛ n a l i n i
ადრესატი	a d r ɛ s a tʼ i
ადრეული	a d r ɛ u l i
ადრიანე	a d r i a n ɛ
ადრიანი	a d r i a n i
ადუაშვილი	a d u a ʃ v i l i
ადუღება	a d u ɣ ɛ b a
ადუღებს	a d u ɣ ɛ b s
აეროდინამიკა	a ɛ r ɔ d i n a m i kʼ a
აეროდრომი	a ɛ r ɔ d r ɔ m i
აეროზოლი	a ɛ r ɔ z ɔ l i
აეროპორტი	a ɛ r ɔ pʼ ɔ r tʼ i
აეშლება	a ɛ ʃ l ɛ b a
აეხსნა	a ɛ x s n a
ავად	a v a d
ავადმყოფი	a v a d m qʼ ɔ pʰ i
ავადმყოფობა	a v a d m qʼ ɔ pʰ ɔ b a
ავადმყოფობს	a v a d m qʼ ɔ pʰ ɔ b s
ავადმყოფურად	a v a d m qʼ ɔ pʰ u r a d
ავადმყოფური	a v a d m qʼ ɔ pʰ u r i
ავაზა	a v a z a
ავაზანი	a v a z a n i
ავალდებულებს	a v a l d ɛ b u l ɛ b s
ავანაშვილი	a v a n a ʃ v i l i
ავანგარდი	a v a n ɡ a r d i
ავანპოსტი	a v a n pʼ ɔ s tʼ i
ავანტიურული	a v a n tʼ i u r u l i
ავარდება	a v a r d ɛ b a
ავარია	a v a r i a
ავბედითი	a v b ɛ d i tʰ i
ავგაროზაშვილი	a v ɡ a r ɔ z a ʃ v i l i
ავდარი	a v d a r i
ავეჯი	a v ɛ d͡ʒ i
ავზი	a v z i
ავზნიანი	a v z n i a n i
ავთანდილ	a v tʰ a n d i l
ავთანდილაშვილი	a v tʰ a n d i l a ʃ v i l i
ავთვისებიანი	a v tʰ v i s ɛ b i a n i
ავი	a v i
ავიაკომპანია	a v i a kʼ ɔ m pʼ a n i a
ავიატორი	a v i a tʼ ɔ r i
ავიაქარხანა	a v i a kʰ a r x a n a
ავიაცია	a v i a t͡s i a
ავიახაზი	a v i a x a z i
ავინიონი	a v i n i ɔ n i
ავისმომასწავებლად	a v i s m ɔ m a s t͡sʼ a v ɛ b l a d
ავიწროვებს	a v i t͡sʼ r ɔ v ɛ b s
ავკაცი	a v kʼ a t͡s i
ავკოფაშვილი	a v kʼ ɔ pʰ a ʃ v i l i
ავლაბარი	a v l a b a r i
ავლახაშვილი	a v l a x a ʃ v i l i
ავლებს	a v l ɛ b s
ავლოხაშვილი	a v l ɔ x a ʃ v i l i
ავოკადო	a v ɔ kʼ a d ɔ
ავრორა	a v r ɔ r a
ავრცელებს	a v r t͡s ɛ l ɛ b s
ავრცობს	a v r t͡s ɔ b s
ავსაჯანაშვილი	a v s a d͡ʒ a n a ʃ v i l i
ავსაჯანიშვილი	a v s a d͡ʒ a n i ʃ v i l i
ავსებული	a v s ɛ b u l i
ავსტრალია	a v s tʼ r a l i a
ავსტრალიური	a v s tʼ r a l i u r i
ავსტრია	a v s tʼ r i a
ავსტრიული	a v s tʼ r i u l i
ავტოგრაფი	a v tʼ ɔ ɡ r a pʰ i
ავტოკალამი	a v tʼ ɔ kʼ a l a m i
ავტოკოლონა	a v tʼ ɔ kʼ ɔ l ɔ n a
ავტოკრატია	a v tʼ ɔ kʼ r a tʼ i a
ავტოკრატიული	a v tʼ ɔ kʼ r a tʼ i u l i
ავტომატი	a v tʼ ɔ m a tʼ i
ავტომატურად	a v tʼ ɔ m a tʼ u r a d
ავტომატური	a v tʼ ɔ m a tʼ u r i
ავტონომია	a v tʼ ɔ n ɔ m i a
ავტონომიური	a v tʼ ɔ n ɔ m i u r i
ავტორად	a v tʼ ɔ r a d
ავტორები	a v tʼ ɔ r ɛ b i
ავტორი	a v tʼ ɔ r i
ავტორით	a v tʼ ɔ r i tʰ
ავტორის	a v tʼ ɔ r i s
ავტორიტარული	a v tʼ ɔ r i tʼ a r u l i
ავტორიტეტულად	a v tʼ ɔ r i tʼ ɛ tʼ u l a d
ავტორმა	a v tʼ ɔ r m a
ავტორო	a v tʼ ɔ r ɔ
ავტორობა	a v tʼ ɔ r ɔ b a
ავტორს	a v tʼ ɔ r s
ავტოსადგომი	a v tʼ ɔ s a d ɡ ɔ m i
ავტოსტოპად	a v tʼ ɔ s tʼ ɔ pʼ a d
ავტოსტოპი	a v tʼ ɔ s tʼ ɔ pʼ i
ავტოსტოპით	a v tʼ ɔ s tʼ ɔ pʼ i tʰ
ავტოსტოპის	a v tʼ ɔ s tʼ ɔ pʼ i s
ავტოსტოპმა	a v tʼ ɔ s tʼ ɔ pʼ m a
ავტოსტოპს	a v tʼ ɔ s tʼ ɔ pʼ s
ავტოსტრადა	a v tʼ ɔ s tʼ r a d a
ავქოფაშვილი	a v kʰ ɔ pʰ a ʃ v i l i
ავღანეთი	a v ɣ a n ɛ tʰ i
ავღანელი	a v ɣ a n ɛ l i
ავღანური	a v ɣ a n u r i
ავყია	a v qʼ i a
ავყიობა	a v qʼ i ɔ b a
ავხორცად	a v x ɔ r t͡s a d
ავხორცი	a v x ɔ r t͡s i
ავხორცობა	a v x ɔ r t͡s ɔ b a
ავხორცულად	a v x ɔ r t͡s u l a d
აზალაძე	a z a l a d͡z ɛ
აზარიაშვილი	a z a r i a ʃ v i l i
აზარტული	a z a r tʼ u l i
აზაურაშვილი	a z a u r a ʃ v i l i
აზბესტი	a z b ɛ s tʼ i
აზერბაიჯანი	a z ɛ r b a i d͡ʒ a n i
აზვიადებს	a z v i a d ɛ b s
აზვირთებული	a z v i r tʰ ɛ b u l i
აზია	a z i a
აზიმუტი	a z i m u tʼ i
აზირაშვილი	a z i r a ʃ v i l i
აზიური	a z i u r i
აზმაიფარაშვილი	a z m a i pʰ a r a ʃ v i l i
აზნაური	a z n a u r i
აზოტი	a z ɔ tʼ i
აზოტური	a z ɔ tʼ u r i
აზრად	a z r a d
აზრი	a z r i
აზრიანად	a z r i a n a d
აზრიანი	a z r i a n i
აზრით	a z r i tʰ
აზრის	a z r i s
აზრმა	a z r m a
აზროვნება	a z r ɔ v n ɛ b a
აზრს	a z r s
აზრუმელაშვილი	a z r u m ɛ l a ʃ v i l i
აზღუდი	a z ɣ u d i
ათავისუფლებს	a tʰ a v i s u pʰ l ɛ b s
ათარიღებს	a tʰ a r i ɣ ɛ b s
ათასი	a tʰ a s i
ათასწლეული	a tʰ a s t͡sʼ l ɛ u l i
ათასწლოვანი	a tʰ a s t͡sʼ l ɔ v a n i
ათაშანგი	a tʰ a ʃ a n ɡ i
ათბობს	a tʰ b ɔ b s
ათეიზმი	a tʰ ɛ i z m i
ათეისტი	a tʰ ɛ i s tʼ i
ათეისტური	a tʰ ɛ i s tʼ u r i
ათენი	a tʰ ɛ n i
ათენური	a tʰ ɛ n u r i
ათესვა	a tʰ ɛ s v a
ათესვინებს	a tʰ ɛ s v i n ɛ b s
ათეული	a tʰ ɛ u l i
ათვალიერებს	a tʰ v a l i ɛ r ɛ b s
ათი	a tʰ i
ათლეტი	a tʰ l ɛ tʼ i
ათლეტიკა	a tʰ l ɛ tʼ i kʼ a
ათლეტის	a tʰ l ɛ tʼ i s
ათლეტური	a tʰ l ɛ tʼ u r i
ათმარცვლიანი	a tʰ m a r t͡s v l i a n i
ათობითი	a tʰ ɔ b i tʰ i
ათრევს	a tʰ r ɛ v s
ათქვეფილი	a tʰ kʰ v ɛ pʰ i l i
ათხოვებს	a tʰ x ɔ v ɛ b s
ათჯერადი	a tʰ d͡ʒ ɛ r a d i
აი	a i
აიაფებს	a i a pʰ ɛ b s
აიდა	a i d a
აივანი	a i v a n i
აივნიანი	a i v n i a n i
აინტერესებს	a i n tʼ ɛ r ɛ s ɛ b s
აინშტაინიუმი	a i n ʃ tʼ a i n i u m i
აირადი	a i r a d i
აირი	a i r i
აირღუმელი	a i r ɣ u m ɛ l i
აირწინაღი	a i r t͡sʼ i n a ɣ i
აისბერგი	a i s b ɛ r ɡ i
აისი	a i s i
აკადემია	a kʼ a d ɛ m i a
აკადემიად	a kʼ a d ɛ m i a d
აკადემიამ	a kʼ a d ɛ m i a m
აკადემიას	a kʼ a d ɛ m i a s
აკადემიით	a kʼ a d ɛ m i i tʰ
აკადემიის	a kʼ a d ɛ m i i s
აკადემიკოსი	a kʼ a d ɛ m i kʼ ɔ s i
აკადემიურად	a kʼ a d ɛ m i u r a d
აკადემიური	a kʼ a d ɛ m i u r i
აკაზმულობა	a kʼ a z m u l ɔ b a
აკაკი	a kʼ a kʼ i
აკაკუნებს	a kʼ a kʼ u n ɛ b s
აკანკალებული	a kʼ a n kʼ a l ɛ b u l i
აკაჟუ	a kʼ a ʒ u
აკაცია	a kʼ a t͡s i a
აკეთებს	a kʼ ɛ tʰ ɛ b s
აკერებს	a kʼ ɛ r ɛ b s
აკვალანგი	a kʼ v a l a n ɡ i
აკვამარინი	a kʼ v a m a r i n i
აკვანთა	a kʼ v a n tʰ a
აკვანი	a kʼ v a n i
აკვანმა	a kʼ v a n m a
აკვანნი	a kʼ v a n n i
აკვანნო	a kʼ v a n n ɔ
აკვანო	a kʼ v a n ɔ
აკვანს	a kʼ v a n s
აკვარელი	a kʼ v a r ɛ l i
აკვარელისტი	a kʼ v a r ɛ l i s tʼ i
აკვარიუმი	a kʼ v a r i u m i
აკვდება	a kʼ v d ɛ b a
აკვედუკი	a kʼ v ɛ d u kʼ i
აკვიატება	a kʼ v i a tʼ ɛ b a
აკვიატებულად	a kʼ v i a tʼ ɛ b u l a d
აკვიატებული	a kʼ v i a tʼ ɛ b u l i
აკვირვებს	a kʼ v i r v ɛ b s
აკვნად	a kʼ v n a d
აკვნებად	a kʼ v n ɛ b a d
აკვნები	a kʼ v n ɛ b i
აკვნებით	a kʼ v n ɛ b i tʰ
აკვნების	a kʼ v n ɛ b i s
აკვნებმა	a kʼ v n ɛ b m a
აკვნებო	a kʼ v n ɛ b ɔ
აკვნებს	a kʼ v n ɛ b s
აკვნით	a kʼ v n i tʰ
აკვნის	a kʼ v n i s
აკვრევინებს	a kʼ v r ɛ v i n ɛ b s
აკლდამა	a kʼ l d a m a
აკლებს	a kʼ l ɛ b s
აკლია	a kʼ l i a
აკობაშვილი	a kʼ ɔ b a ʃ v i l i
აკოლაშვილი	a kʼ ɔ l a ʃ v i l i
აკომპანირება	a kʼ ɔ m pʼ a n i r ɛ b a
აკორდეონი	a kʼ ɔ r d ɛ ɔ n i
აკოფაშვილი	a kʼ ɔ pʰ a ʃ v i l i
აკრავს	a kʼ r a v s
აკრი	a kʼ r i
აკრისტალებს	a kʼ r i s tʼ a l ɛ b s
აკრიფეთ	a kʼ r i pʰ ɛ tʰ
აკრობატი	a kʼ r ɔ b a tʼ i
აკრობატიკა	a kʼ r ɔ b a tʼ i kʼ a
აკროპოლისი	a kʼ r ɔ pʼ ɔ l i s i
აკროსტიქი	a kʼ r ɔ s tʼ i kʰ i
აკრძალვა	a kʼ r d͡z a l v a
აკრძალვითად	a kʼ r d͡z a l v i tʰ a d
აკრძალვითი	a kʼ r d͡z a l v i tʰ i
აკრძალული	a kʼ r d͡z a l u l i
აკუთა	a kʼ u tʰ a
აკულაშვილი	a kʼ u l a ʃ v i l i
აკუმულატორი	a kʼ u m u l a tʼ ɔ r i
აკურატულად	a kʼ u r a tʼ u l a d
აკურატული	a kʼ u r a tʼ u l i
აკურატულობა	a kʼ u r a tʼ u l ɔ b a
აკურთხებს	a kʼ u r tʰ x ɛ b s
აკუსტიკა	a kʼ u s tʼ i kʼ a
აკუსტიკური	a kʼ u s tʼ i kʼ u r i
ალაგარდაშვილი	a l a ɡ a r d a ʃ v i l i
ალაგებს	a l a ɡ ɛ b s
ალაგი	a l a ɡ i
ალადასტური	a l a d a s tʼ u r i
ალადინი	a l a d i n i
ალავერდაშვილი	a l a v ɛ r d a ʃ v i l i
ალავერდი	a l a v ɛ r d i
ალაზანი	a l a z a n i
ალალბედზე	a l a l b ɛ d z ɛ
ალალი	a l a l i
ალალმართლად	a l a l m a r tʰ l a d
ალალმართლობა	a l a l m a r tʰ l ɔ b a
ალამი	a l a m i
ალაო	a l a ɔ
ალასანია	a l a s a n i a
ალაფი	a l a pʰ i
ალაჰი	a l a h i
ალბათ	a l b a tʰ
ალბათობა	a l b a tʰ ɔ b a
ალბანეთი	a l b a n ɛ tʰ i
ალბანური	a l b a n u r i
ალბატროსი	a l b a tʼ r ɔ s i
ალბერტი	a l b ɛ r tʼ i
ალბინოსი	a l b i n ɔ s i
ალბომად	a l b ɔ m a d
ალბომი	a l b ɔ m i
ალბომით	a l b ɔ m i tʰ
ალბომის	a l b ɔ m i s
ალბომმა	a l b ɔ m m a
ალბომს	a l b ɔ m s
ალბორაშვილი	a l b ɔ r a ʃ v i l i
ალბუთაშვილი	a l b u tʰ a ʃ v i l i
ალგებრა	a l ɡ ɛ b r a
ალგებრულად	a l ɡ ɛ b r u l a d
ალგებრული	a l ɡ ɛ b r u l i
ალგორითმი	a l ɡ ɔ r i tʰ m i
ალდატი	a l d a tʼ i
ალებასტრი	a l ɛ b a s tʼ r i
ალეგორია	a l ɛ ɡ ɔ r i a
ალეგორიული	a l ɛ ɡ ɔ r i u l i
ალელიშვილი	a l ɛ l i ʃ v i l i
ალეპო	a l ɛ pʼ ɔ
ალერგია	a l ɛ r ɡ i a
ალერგიული	a l ɛ r ɡ i u l i
ალერსად	a l ɛ r s a d
ალერსი	a l ɛ r s i
ალერსიანი	a l ɛ r s i a n i
ალერსით	a l ɛ r s i tʰ
ალერსის	a l ɛ r s i s
ალერსმა	a l ɛ r s m a
ალერსო	a l ɛ r s ɔ
ალერსს	a l ɛ r s s
ალექსანდრა	a l ɛ kʰ s a n d r a
ალექსანდრე	a l ɛ kʰ s a n d r ɛ
ალექსანდრია	a l ɛ kʰ s a n d r i a
ალექსიძე	a l ɛ kʰ s i d͡z ɛ
ალვა	a l v a
ალვეოლური	a l v ɛ ɔ l u r i
ალთუნაშვილი	a l tʰ u n a ʃ v i l i
ალი	a l i
ალიაქოთი	a l i a kʰ ɔ tʰ i
ალიბეგაშვილი	a l i b ɛ ɡ a ʃ v i l i
ალიბი	a l i b i
ალიგატორი	a l i ɡ a tʼ ɔ r i
ალიზი	a l i z i
ალიკაპი	a l i kʼ a pʼ i
ალიმბარაშვილი	a l i m b a r a ʃ v i l i
ალიმბერაშვილი	a l i m b ɛ r a ʃ v i l i
ალიონი	a l i ɔ n i
ალისფერი	a l i s pʰ ɛ r i
ალიტერაცია	a l i tʼ ɛ r a t͡s i a
ალიტერაციული	a l i tʼ ɛ r a t͡s i u l i
ალიხანაშვილი	a l i x a n a ʃ v i l i
ალკოჰოლი	a l kʼ ɔ h ɔ l i
ალკოჰოლიანი	a l kʼ ɔ h ɔ l i a n i
ალკოჰოლიზმი	a l kʼ ɔ h ɔ l i z m i
ალკოჰოლური	a l kʼ ɔ h ɔ l u r i
ალმანახი	a l m a n a x i
ალმასი	a l m a s i
ალმატი	a l m a tʼ i
ალმოდებული	a l m ɔ d ɛ b u l i
ალმური	a l m u r i
ალო	a l ɔ
ალოე	a l ɔ ɛ
ალპინიზმი	a l pʼ i n i z m i
ალპინისტი	a l pʼ i n i s tʼ i
ალპური	a l pʼ u r i
ალჟირი	a l ʒ i r i
ალტერნატივა	a l tʼ ɛ r n a tʼ i v a
ალტერნატიულად	a l tʼ ɛ r n a tʼ i u l a d
ალტერნატიული	a l tʼ ɛ r n a tʼ i u l i
ალტი	a l tʼ i
ალტიმეტრი	a l tʼ i m ɛ tʼ r i
ალტრუიზმი	a l tʼ r u i z m i
ალტრუისტი	a l tʼ r u i s tʼ i
ალტრუისტულად	a l tʼ r u i s tʼ u l a d
ალტრუისტული	a l tʼ r u i s tʼ u l i
ალუაშვილი	a l u a ʃ v i l i
ალუბალი	a l u b a l i
ალუდა	a l u d a
ალუვიური	a l u v i u r i
ალუმინი	a l u m i n i
ალუჩა	a l u t͡ʃ a
ალფა	a l pʰ a
ალქატი	a l kʰ a tʼ i
ალქიმია	a l kʰ i m i a
ალქიმიკოსი	a l kʰ i m i kʼ ɔ s i
ალღო	a l ɣ ɔ
ალყა	a l qʼ a
ალხაზიშვილი	a l x a z i ʃ v i l i
ამ	a m
ამაგი	a m a ɡ i
ამაზაშვილი	a m a z a ʃ v i l i
ამაზე	a m a z ɛ
ამალა	a m a l a
ამალგამა	a m a l ɡ a m a
ამანათაშვილი	a m a n a tʰ a ʃ v i l i
ამანათი	a m a n a tʰ i
ამაო	a m a ɔ
ამაოდ	a m a ɔ d
ამაოება	a m a ɔ ɛ b a
ამართლებს	a m a r tʰ l ɛ b s
ამარილისი	a m a r i l i s i
ამას	a m a s
ამასთან	a m a s tʰ a n
ამატებს	a m a tʼ ɛ b s
ამაღელვებელი	a m a ɣ ɛ l v ɛ b ɛ l i
ამაღელვებლად	a m a ɣ ɛ l v ɛ b l a d
ამაღლებულად	a m a ɣ l ɛ b u l a d
ამაღლებული	a m a ɣ l ɛ b u l i
ამაღლებულობა	a m a ɣ l ɛ b u l ɔ b a
ამაყად	a m a qʼ a d
ამაყი	a m a qʼ i
ამაში	a m a ʃ i
ამახინჯებს	a m a x i n d͡ʒ ɛ b s
ამბავი	a m b a v i
ამბარდნიშვილი	a m b a r d n i ʃ v i l i
ამბიცია	a m b i t͡s i a
ამბობს	a m b ɔ b s
ამბორი	a m b ɔ r i
ამბოხება	a m b ɔ x ɛ b a
ამბოხებული	a m b ɔ x ɛ b u l i
ამბოხი	a m b ɔ x i
ამბრაზურა	a m b r a z u r a
ამბრიაშვილი	a m b r i a ʃ v i l i
ამბროსაშვილი	a m b r ɔ s a ʃ v i l i
ამბროსიშვილი	a m b r ɔ s i ʃ v i l i
ამდენად	a m d ɛ n a d
ამეთვისტო	a m ɛ tʰ v i s tʼ ɔ
ამერიკა	a m ɛ r i kʼ a
ამერიკად	a m ɛ r i kʼ a d
ამერიკამ	a m ɛ r i kʼ a m
ამერიკანიზმი	a m ɛ r i kʼ a n i z m i
ამერიკას	a m ɛ r i kʼ a s
ამერიკელი	a m ɛ r i kʼ ɛ l i
ამერიკით	a m ɛ r i kʼ i tʰ
ამერიკის	a m ɛ r i kʼ i s
ამერიკული	a m ɛ r i kʼ u l i
ამზადებს	a m z a d ɛ b s
ამთავრებს	a m tʰ a v r ɛ b s
ამთვისებელი	a m tʰ v i s ɛ b ɛ l i
ამთქნარებს	a m tʰ kʰ n a r ɛ b s
ამიაკი	a m i a kʼ i
ამიერიდან	a m i ɛ r i d a n
ამიერკავკასია	a m i ɛ r kʼ a v kʼ a s i a
ამით	a m i tʰ
ამინ	a m i n
ამინაშვილი	a m i n a ʃ v i l i
ამინდი	a m i n d i
ამირა	a m i r a
ამირანი	a m i r a n i
ამირაშვილი	a m i r a ʃ v i l i
ამირეზაშვილი	a m i r ɛ z a ʃ v i l i
ამირი	a m i r i
ამირხანაშვილი	a m i r x a n a ʃ v i l i
ამისულაშვილი	a m i s u l a ʃ v i l i
ამიტომ	a m i tʼ ɔ m
ამიტომაც	a m i tʼ ɔ m a t͡s
ამკობს	a m kʼ ɔ b s
ამლევი	a m l ɛ v i
ამნეზია	a m n ɛ z i a
ამნიაშვილი	a m n i a ʃ v i l i
ამნისტია	a m n i s tʼ i a
ამობურცული	a m ɔ b u r t͡s u l i
ამოდის	a m ɔ d i s
ამოზნექილად	a m ɔ z n ɛ kʰ i l a d
ამოზნექილი	a m ɔ z n ɛ kʰ i l i
ამოზნექილობა	a m ɔ z n ɛ kʰ i l ɔ b a
ამოთითხნილი	a m ɔ tʰ i tʰ x n i l i
ამოიდო	a m ɔ i d ɔ
ამოკლებს	a m ɔ kʼ l ɛ b s
ამომწურავად	a m ɔ m t͡sʼ u r a v a d
ამომწურავი	a m ɔ m t͡sʼ u r a v i
ამომჭმელი	a m ɔ m t͡ʃʼ m ɛ l i
ამორალური	a m ɔ r a l u r i
ამორტიზაცია	a m ɔ r tʼ i z a t͡s i a
ამორფული	a m ɔ r pʰ u l i
ამორჩეული	a m ɔ r t͡ʃ ɛ u l i
ამორძალი	a m ɔ r d͡z a l i
ამოურჩეველი	a m ɔ u r t͡ʃ ɛ v ɛ l i
ამოუწურავი	a m ɔ u t͡sʼ u r a v i
ამოყვანილი	a m ɔ qʼ v a n i l i
ამოშვერილი	a m ɔ ʃ v ɛ r i l i
ამოცანა	a m ɔ t͡s a n a
ამოცნობა	a m ɔ t͡s n ɔ b a
ამოძირკვავს	a m ɔ d͡z i r kʼ v a v s
ამოხველება	a m ɔ x v ɛ l ɛ b a
ამპარტავანი	a m pʼ a r tʼ a v a n i
