Abae	a b a e̯
Aeliō	a e̯ l i oː
Aenus	a e̯ n ʊ s
Aenāriae	a e̯ n aː r i a e̯
Aenāriam	a e̯ n aː r i ãː
Aenēae	a e̯ n eː a e̯
Aenēā	a e̯ n eː aː
Aenē̆a	a e̯ n e a
Aenē̆a	a e̯ n eː a
Aenē̆ïdos	a e̯ n e ɪ d ɔ s
Aenē̆ïdos	a e̯ n eː ɪ d ɔ s
Aeole	a e̯ ɔ ɫ ɛ
Aeolum	a e̯ ɔ ɫ ũː
Aeolī	a e̯ ɔ l iː
Aeolō	a e̯ ɔ ɫ oː
Aequātōria	a e̯ kʷ aː t oː r i a
Aesacos	a e̯ s a k ɔ s
Aeserniam	a e̯ s ɛ r n i ãː
Aethaliae	a e̯ tʰ a l i a e̯
Aethaliam	a e̯ tʰ a l i ãː
Aethalidēn	a e̯ tʰ a l ɪ d eː n
Aethalon	a e̯ tʰ a ɫ ɔ n
Aetnae	a e̯ t n a e̯
Aetnam	a e̯ t n ãː
Aetnē	a e̯ t n eː
Aetnēn	a e̯ t n eː n
Aetnēs	a e̯ t n eː s
Afrānium	a f r aː n i ũː
Agamemnona	a ɡ a m ɛ m n ɔ n a
Agamemnone	a ɡ a m ɛ m n ɔ n ɛ
Agamemnonis	a ɡ a m ɛ m n ɔ n ɪ s
Agamemnonī	a ɡ a m ɛ m n ɔ n iː
Agnes	a ŋ n ɛ s
Agrianēs	a ɡ r i a n eː s
Agrippae	a ɡ r ɪ p p a e̯
Agrippam	a ɡ r ɪ p p ãː
Agrius	a ɡ r i ʊ s
Agriānēs	a ɡ r i aː n eː s
Agēnoris	a ɡ eː n ɔ r ɪ s
Ahālae	a aː ɫ a e̯
Ahālae	a ɦ aː ɫ a e̯
Ahālam	a aː ɫ ãː
Ahālam	a ɦ aː ɫ ãː
Aiāce	a j j aː k ɛ
Aiācem	a j j aː k ẽː
Aiācibus	a j j aː k ɪ b ʊ s
Aiācis	a j j aː k ɪ s
Aiācum	a j j aː k ũː
Aiācēs	a j j aː k eː s
Aiācī	a j j aː k iː
Ajāce	a j j aː k ɛ
Ajācem	a j j aː k ẽː
Ajācibus	a j j aː k ɪ b ʊ s
Ajācis	a j j aː k ɪ s
Ajācum	a j j aː k ũː
Ajācēs	a j j aː k eː s
Ajācī	a j j aː k iː
Alabāma	a ɫ a b aː m a
Alasca	a ɫ a s k a
Alba	a ɫ b a
Albem	a ɫ b ẽː
Alberta	a ɫ b ɛ r t a
Albertus	a ɫ b ɛ r t ʊ s
Albertō	a ɫ b ɛ r t oː
Albāna	a ɫ b aː n a
Albāna	a ɫ b aː n aː
Albānae	a ɫ b aː n a e̯
Albānam	a ɫ b aː n ãː
Albāne	a ɫ b aː n ɛ
Albānia	a ɫ b aː n i a
Albānum	a ɫ b aː n ũː
Albānus	a ɫ b aː n ʊ s
Albānārum	a ɫ b aː n aː r ũː
Albānās	a ɫ b aː n aː s
Albānīs	a ɫ b aː n iː s
Albānō	a ɫ b aː n oː
Albānōrum	a ɫ b aː n oː r ũː
Albānōs	a ɫ b aː n oː s
Albīnō	a ɫ b iː n oː
Alcmēnae	a ɫ k m eː n a e̯
Alcmēnam	a ɫ k m eː n ãː
Alexandrīa	a ɫ ɛ k s a n d r iː a
Alienor	a l i ɛ n ɔ r
Alpe	a ɫ p ɛ
Alānus	a ɫ aː n ʊ s
Alāzona	a ɫ aː z z ɔ n a
Alāzone	a ɫ aː z z ɔ n ɛ
Alōīda	a ɫ oː iː d a
Ambibariīs	a m b ɪ b a r i iː s
Ambibariōrum	a m b ɪ b a r i oː r ũː
Ambibariōs	a m b ɪ b a r i oː s
Ambiliatīs	a m b ɪ l i a t iː s
Ambiliatōrum	a m b ɪ l i a t oː r ũː
Ambiliatōs	a m b ɪ l i a t oː s
Ambivaretīs	a m b ɪ w a r ɛ t iː s
Ambivaretōrum	a m b ɪ w a r ɛ t oː r ũː
Ambivaretōs	a m b ɪ w a r ɛ t oː s
Ambuste	a m b ʊ s t ɛ
Ambustum	a m b ʊ s t ũː
Ambustī	a m b ʊ s t iː
Ambustō	a m b ʊ s t oː
Ammiāne	a m m i aː n ɛ
Ammiānum	a m m i aː n ũː
Ammiānī	a m m i aː n iː
Ammiānīs	a m m i aː n iː s
Ammiānō	a m m i aː n oː
Ammiānōrum	a m m i aː n oː r ũː
Ammiānōs	a m m i aː n oː s
Ammōnium	a m m ɔ n i ũː
Ammōniī	a m m oː n i iː
Ammōniō	a m m oː n i oː
Ammōnī	a m m oː n iː
Amōre	a m oː r ɛ
Anapa͡uomenae	a n a p a u̯ ɔ m ɛ n a e̯
Anapa͡uomenēn	a n a p a u̯ ɔ m ɛ n eː n
Anapa͡uomenēs	a n a p a u̯ ɔ m ɛ n eː s
Anchīsēus	a ŋ kʰ iː s eː ʊ s
Andalusiī	a n d a ɫ ʊ s i iː
Andegāvēnsis	a n d ɛ ɡ aː w ẽː s ɪ s
Andium	a n d i ũː
Andria	a n d r i a
Andriae	a n d r i a e̯
Andriae	a n d r iː a e̯
Andriam	a n d r i ãː
Andriam	a n d r iː ãː
Andromachēn	a n d r ɔ m a kʰ eː n
Andromedae	a n d r ɔ m ɛ d a e̯
Andromedam	a n d r ɔ m ɛ d ãː
Andromedēn	a n d r ɔ m ɛ d eː n
Andromedēs	a n d r ɔ m ɛ d eː s
Andrēā	a n d r eː aː
Andrīa	a n d r iː a
Andēs	a n d eː s
Andīs	a n d iː s
Angela	a ŋ ɡ ɛ ɫ a
Anglicāna	a ŋ ɡ l ɪ k aː n a
Anglicāna	a ŋ ɡ l ɪ k aː n aː
Anglicānam	a ŋ ɡ l ɪ k aː n ãː
Anglicānās	a ŋ ɡ l ɪ k aː n aː s
Anglicānī	a ŋ ɡ l ɪ k aː n iː
Angolia	a ŋ ɡ ɔ l i a
Annaeī	a n n a e̯ iː
Antarctica	a n t a r k t ɪ k a
Antemna	a n t ɛ m n a
Antichrīstī	a n t ɪ kʰ r iː s t iː
Antiochēa	a n t i ɔ kʰ eː a
Antiochēna	a n t i ɔ kʰ eː n a
Antipatre	a n t ɪ p a t r ɛ
Antipatrum	a n t ɪ p a t r ũː
Antipatrī	a n t ɪ p a t r iː
Antipatrō	a n t ɪ p a t r oː
Antistium	a n t ɪ s t i ũː
Antistiī	a n t ɪ s t i iː
Antistiō	a n t ɪ s t i oː
Antistī	a n t ɪ s t iː
Antōnī	a n t oː n iː
Anūbem	a n uː b ẽː
Anūbidis	a n uː b ɪ d ɪ s
Anūbim	a n uː b ĩː
Anūbin	a n uː b ɪ n
Anūbī	a n uː b iː
Apamēna	a p a m eː n a
Apamēnus	a p a m eː n ʊ s
Apellae	a p ɛ l l a e̯
Apellam	a p ɛ l l ãː
Apellō	a p ɛ l l oː
Apollinis	a p ɔ l l ɪ n ɪ s
Apollōnis	a p ɔ l l oː n ɪ s
Apollōnium	a p ɔ l l oː n i ũː
Apollōniātae	a p ɔ l l oː n i aː t a e̯
Apollōniātārum	a p ɔ l l oː n i aː t aː r ũː
Apollōniātās	a p ɔ l l oː n i aː t aː s
Apollōniātīs	a p ɔ l l oː n i aː t iː s
Appiānus	a p p i aː n ʊ s
Appiō	a p p i oː
Aprīlēs	a p r iː ɫ eː s
Apīcium	a p iː k i ũː
Apīciī	a p iː k i iː
Apīciō	a p iː k i oː
Apīcī	a p iː k iː
Aquilēia	a kʷ ɪ ɫ eː j a
Aquārium	a kʷ aː r i ũː
Aquāriī	a kʷ aː r i iː
Aquāriō	a kʷ aː r i oː
Aragonia	a r a ɡ ɔ n i a
Arcadēs	a r k a d eː s
Archimēde	a r kʰ ɪ m eː d ɛ
Archimēdem	a r kʰ ɪ m eː d ẽː
Archimēdis	a r kʰ ɪ m eː d ɪ s
Archimēdēn	a r kʰ ɪ m eː d eː n
Archimēdī	a r kʰ ɪ m eː d iː
Arcānsia	a r k ãː s i a
Are	a r ɛ
Arecomicī	a r ɛ k ɔ m ɪ k iː
Arem	a r ẽː
Argos	a r ɡ ɔ s
Argum	a r ɡ ũː
Argus	a r ɡ ʊ s
Argī	a r ɡ iː
Argōs	a r ɡ oː s
Argūs	a r ɡ uː s
Aris	a r ɪ s
Aristippe	a r ɪ s t ɪ p p ɛ
Aristippum	a r ɪ s t ɪ p p ũː
Aristippī	a r ɪ s t ɪ p p iː
Aristippīs	a r ɪ s t ɪ p p iː s
Aristippō	a r ɪ s t ɪ p p oː
Aristippōrum	a r ɪ s t ɪ p p oː r ũː
Aristippōs	a r ɪ s t ɪ p p oː s
Aristiānis	a r ɪ s t i aː n ɪ s
Aristobūlum	a r ɪ s t ɔ b uː ɫ ũː
Aristophanīus	a r ɪ s t ɔ pʰ a n iː ʊ s
Arius	a r i ʊ s
Arizōna	a r ɪ z z oː n a
Armenta	a r m ɛ n t a
Arogae	a r ɔ ɡ a e̯
Arogān	a r ɔ ɡ aː n
Arrius	a r r i ʊ s
Arsenāriae	a r s ɛ n aː r i a e̯
Arsenāriam	a r s ɛ n aː r i ãː
Arsinoēs	a r s ɪ n o eː s
Artabanum	a r t a b a n ũː
Arthure	a r tʰ ʊ r ɛ
Arthurum	a r tʰ ʊ r ũː
Arthurī	a r tʰ ʊ r iː
Arthurīs	a r tʰ ʊ r iː s
Arthurō	a r tʰ ʊ r oː
Arthurōrum	a r tʰ ʊ r oː r ũː
Arthurōs	a r tʰ ʊ r oː s
Arī	a r iː
Arīus	a r iː ʊ s
Arōn	a r oː n
Arūba	a r uː b a
Asprēnāte	a s p r eː n aː t ɛ
Asprēnātem	a s p r eː n aː t ẽː
Asprēnātis	a s p r eː n aː t ɪ s
Asprēnātī	a s p r eː n aː t iː
Assus	a s s ʊ s
Astacus	a s t a k ʊ s
Asturcō	a s t ʊ r k oː
Athamānus	a tʰ a m aː n ʊ s
Athēnae	a tʰ eː n a e̯
Atratīne	a t r a t iː n ɛ
Atratīnum	a t r a t iː n ũː
Atratīnī	a t r a t iː n iː
Atratīnō	a t r a t iː n oː
Atrebatibus	a t r ɛ b a t ɪ b ʊ s
Atrebās	a t r ɛ b aː s
Atrīdae	a t r iː d a e̯
Atrīdās	a t r iː d aː s
Attalēa	a t t a ɫ eː a
Atticae	a t t ɪ k a e̯
Atticam	a t t ɪ k ãː
Attice	a t t ɪ k ɛ
Atticisme	a t t ɪ k ɪ s m ɛ
Atticismoe	a t t ɪ k ɪ s m o e̯
Atticismon	a t t ɪ k ɪ s m ɔ n
Atticismum	a t t ɪ k ɪ s m ũː
Atticismus	a t t ɪ k ɪ s m ʊ s
Atticismī	a t t ɪ k ɪ s m iː
Atticismīs	a t t ɪ k ɪ s m iː s
Atticismō	a t t ɪ k ɪ s m oː
Atticismōrum	a t t ɪ k ɪ s m oː r ũː
Atticum	a t t ɪ k ũː
Atticārum	a t t ɪ k aː r ũː
Atticās	a t t ɪ k aː s
Atticī	a t t ɪ k iː
Atticīs	a t t ɪ k iː s
Atticō	a t t ɪ k oː
Atticōrum	a t t ɪ k oː r ũː
Atticōs	a t t ɪ k oː s
Augurīne	a u̯ ɡ ʊ r iː n ɛ
Augurīnum	a u̯ ɡ ʊ r iː n ũː
Augurīnī	a u̯ ɡ ʊ r iː n iː
Augurīnō	a u̯ ɡ ʊ r iː n oː
Augustus	a u̯ ɡ ʊ s t ʊ s
Augustīna	a u̯ ɡ ʊ s t iː n a
Augustīna	a u̯ ɡ ʊ s t iː n aː
Augustīnā	a u̯ ɡ ʊ s t iː n a
Augustīnā	a u̯ ɡ ʊ s t iː n aː
Aulī	a u̯ l iː
Aurēliānum	a u̯ r eː l i aː n ũː
Auziae	a u̯ z z i a e̯
Auziam	a u̯ z z i ãː
Avarēs	a w a r eː s
Averroēs	a w ɛ r r o eː s
Avīte	a w iː t ɛ
Avītum	a w iː t ũː
Avītī	a w iː t iː
Avītō	a w iː t oː
Axius	a k s i ʊ s
Axonae	a k s ɔ n a e̯
Axonam	a k s ɔ n ãː
Babylōne	b a b y ɫ oː n ɛ
Babylōnie	b a b y ɫ oː n i ɛ
Baebium	b a e̯ b i ũː
Baebiī	b a e̯ b i iː
Baebī	b a e̯ b iː
Bagdadum	b a ɡ d a d ũː
Bagdatum	b a ɡ d a t ũː
Bagdetia	b a ɡ d ɛ t i a
Balbī	b a ɫ b iː
Balbō	b a ɫ b oː
Balista	b a l ɪ s t a
Balista	b a l ɪ s t aː
Ballista	b a l l ɪ s t a
Ballista	b a l l ɪ s t aː
Baltimōra	b a ɫ t ɪ m oː r a
Balventius	b a ɫ w ɛ n t i ʊ s
Barbāta	b a r b aː t a
Barca	b a r k a
Barcam	b a r k ãː
Barcās	b a r k aː s
Barzimerem	b a r z ɪ m ɛ r ẽː
Barzimerēn	b a r z ɪ m ɛ r eː n
Barōlum	b a r oː ɫ ũː
Basilium	b a s ɪ l i ũː
Basiliī	b a s ɪ l i iː
Basilī	b a s ɪ l iː
Bastarnārum	b a s t a r n aː r ũː
Bathūēlis	b a tʰ uː eː l ɪ s
Bauzānum	b a u̯ z z aː n ũː
Beda	b ɛ d a
Belgiō	b ɛ ɫ ɡ i ɔ
Bellovacīs	b ɛ l l ɔ w a k iː s
Bellovacōrum	b ɛ l l ɔ w a k oː r ũː
Bellovacōs	b ɛ l l ɔ w a k oː s
Benjamin	b ɛ n j a m ɪ n
Benjamītae	b ɛ n j a m iː t a e̯
Benjamītārum	b ɛ n j a m iː t aː r ũː
Benjamītās	b ɛ n j a m iː t aː s
Benjamītīs	b ɛ n j a m iː t iː s
Bercizōma	b ɛ r k ɪ z z oː m a
Berenīcēs	b ɛ r ɛ n iː k eː s
Bernardō	b ɛ r n a r d oː
Bessapara	b ɛ s s a p a r a
Bibliōrum	b ɪ b l i oː r ũː
Bidae	b ɪ d a e̯
Bidam	b ɪ d ãː
Bigerionibus	b ɪ ɡ ɛ r i ɔ n ɪ b ʊ s
Bigerionum	b ɪ ɡ ɛ r i ɔ n ũː
Biturigibus	b ɪ t ʊ r ɪ ɡ ɪ b ʊ s
Biturigum	b ɪ t ʊ r ɪ ɡ ũː
Blannoviīs	b ɫ a n n ɔ w i iː s
Blannoviōrum	b ɫ a n n ɔ w i oː r ũː
Blannoviōs	b ɫ a n n ɔ w i oː s
Boadica	b o a d ɪ k a
Boadicēa	b o a d ɪ k eː a
Bocchō	b ɔ k kʰ oː
Boeōtiae	b o e̯ oː t i a e̯
Boeōtiam	b o e̯ oː t i ãː
Boiīs	b ɔ j j iː s
Boiōrum	b ɔ j j oː r ũː
Boiōs	b ɔ j j oː s
Bonifātium	b ɔ n ɪ f aː t i ũː
Bonifātius	b ɔ n ɪ f aː t i ʊ s
Bonifātiī	b ɔ n ɪ f aː t i iː
Bonifātiō	b ɔ n ɪ f aː t i oː
Bonifātī	b ɔ n ɪ f aː t iː
Boreae	b ɔ r e a e̯
Boreā	b ɔ r e aː
Boreān	b ɔ r e aː n
Bosnia	b ɔ s n i a
Boudiccae	b uː d ɪ k k a e̯
Boudiccam	b uː d ɪ k k ãː
Boudicēa	b uː d ɪ k eː a
Bouducēa	b uː d ʊ k eː a
Boēthium	b o eː tʰ i ũː
Boēthiī	b o eː tʰ i iː
Boēthiō	b o eː tʰ i oː
Boēthī	b o eː tʰ iː
Brannovicibus	b r a n n ɔ w ɪ k ɪ b ʊ s
Brannovicum	b r a n n ɔ w ɪ k ũː
Britanna	b r ɪ t a n n a
Britannae	b r ɪ t a n n a e̯
Britannam	b r ɪ t a n n ãː
Britanne	b r ɪ t a n n ɛ
Britanniae	b r ɪ t a n n i a e̯
Britanniam	b r ɪ t a n n i ãː
Britannica	b r ɪ t a n n ɪ k a
Britannicae	b r ɪ t a n n ɪ k a e̯
Britannicam	b r ɪ t a n n ɪ k ãː
Britannice	b r ɪ t a n n ɪ k ɛ
Britannicum	b r ɪ t a n n ɪ k ũː
Britannicā	b r ɪ t a n n ɪ k aː
Britannicārum	b r ɪ t a n n ɪ k aː r ũː
Britannicās	b r ɪ t a n n ɪ k aː s
Britannicī	b r ɪ t a n n ɪ k iː
Britannicīs	b r ɪ t a n n ɪ k iː s
Britannicō	b r ɪ t a n n ɪ k oː
Britannicōrum	b r ɪ t a n n ɪ k oː r ũː
Britannicōs	b r ɪ t a n n ɪ k oː s
Britannides	b r ɪ t a n n ɪ d eː s
Britannides	b r ɪ t a n n ɪ d ɛ s
Britannis	b r ɪ t a n n ɪ s
Britanniārum	b r ɪ t a n n i aː r ũː
Britanniās	b r ɪ t a n n i aː s
Britanniīs	b r ɪ t a n n i iː s
Britannum	b r ɪ t a n n ũː
Britannā	b r ɪ t a n n aː
Britannārum	b r ɪ t a n n aː r ũː
Britannās	b r ɪ t a n n aː s
Britannīs	b r ɪ t a n n iː s
Britannō	b r ɪ t a n n oː
Britannōrum	b r ɪ t a n n oː r ũː
Britannōs	b r ɪ t a n n oː s
Brittannia	b r ɪ t t a n n i a
Brittanniae	b r ɪ t t a n n i a e̯
Brittanniam	b r ɪ t t a n n i ãː
Brittanniārum	b r ɪ t t a n n i aː r ũː
Brittanniās	b r ɪ t t a n n i aː s
Brittanniīs	b r ɪ t t a n n i iː s
Brittānia	b r ɪ t t aː n i a
Brittāniae	b r ɪ t t aː n i a e̯
Brittāniam	b r ɪ t t aː n i ãː
Brittāniārum	b r ɪ t t aː n i aː r ũː
Brittāniās	b r ɪ t t aː n i aː s
Brittāniīs	b r ɪ t t aː n i iː s
Britānia	b r ɪ t aː n i a
Britāniae	b r ɪ t aː n i a e̯
Britāniam	b r ɪ t aː n i ãː
Britāniārum	b r ɪ t aː n i aː r ũː
Britāniās	b r ɪ t aː n i aː s
Britāniīs	b r ɪ t aː n i iː s
Brundusium	b r ʊ n d ʊ s i ũː
Bruttiō	b r ʊ t t i oː
Bruttī	b r ʊ t t iː
Bryazonta	b r y a z z ɔ n t a
Brītō	b r iː t oː
Brōsellae	b r oː s ɛ l l a e̯
Brōsellam	b r oː s ɛ l l ãː
Brūnsvīcum	b r ũː s w iː k ũː
Brūnōnis	b r uː n oː n ɪ s
Brūto	b r uː t ɔ
Bugella	b ʊ ɡ ɛ l l a
Bulotō	b ʊ ɫ ɔ t oː
Burette	b ʊ r ɛ t t ɛ
Burgundius	b ʊ r ɡ ʊ n d i ʊ s
Burundia	b ʊ r ʊ n d i a
Bēlī	b eː l iː
Bēlō	b eː ɫ oː
Bērȳtos	b eː r yː t ɔ s
Bēssī	b eː s s iː
Bēthlehem	b eː tʰ ɫ e ɦ ẽː
Bēthlehem	b eː tʰ ɫ e ẽː
Bēthlehēmī	b eː tʰ ɫ e eː m iː
Bēthlehēmī	b eː tʰ ɫ e ɦ eː m iː
Bēthlehēmō	b eː tʰ ɫ e eː m oː
Bēthlehēmō	b eː tʰ ɫ e ɦ eː m oː
Bēthlem	b eː tʰ ɫ ẽː
Bēvum	b eː w ũː
Bœōtiae	b o e̯ oː t i a e̯
Bœōtiam	b o e̯ oː t i ãː
Būca	b uː k a
Bȳzantiī	b yː z z a n t i iː
Bȳzantiō	b yː z z a n t i oː
Bȳzantī	b yː z z a n t iː
C	k
C	ɡ
Cadurcīs	k a d ʊ r k iː s
Cadurcōrum	k a d ʊ r k oː r ũː
Cadurcōs	k a d ʊ r k oː s
Caecīna	k a e̯ k iː n a
Caesarea	k a e̯ s a r e a
Caesarea	k a e̯ s a r e aː
Caesareae	k a e̯ s a r e a e̯
Caesareae	k a e̯ s a r eː a e̯
Caesaream	k a e̯ s a r e ãː
Caesaream	k a e̯ s a r eː ãː
Caesaree	k a e̯ s a r e ɛ
Caesareum	k a e̯ s a r e ũː
Caesareārum	k a e̯ s a r e aː r ũː
Caesareās	k a e̯ s a r e aː s
Caesareī	k a e̯ s a r e iː
Caesareīs	k a e̯ s a r e iː s
Caesareō	k a e̯ s a r e oː
Caesareōrum	k a e̯ s a r e oː r ũː
Caesareōs	k a e̯ s a r e oː s
Caesariāna	k a e̯ s a r i aː n a
Caesariāna	k a e̯ s a r i aː n aː
Caesariānae	k a e̯ s a r i aː n a e̯
Caesariānam	k a e̯ s a r i aː n ãː
Caesariāne	k a e̯ s a r i aː n ɛ
Caesariānum	k a e̯ s a r i aː n ũː
Caesariānārum	k a e̯ s a r i aː n aː r ũː
Caesariānās	k a e̯ s a r i aː n aː s
Caesariānī	k a e̯ s a r i aː n iː
Caesariānīs	k a e̯ s a r i aː n iː s
Caesariānō	k a e̯ s a r i aː n oː
Caesariānōrum	k a e̯ s a r i aː n oː r ũː
Caesariānōs	k a e̯ s a r i aː n oː s
Caesarēa	k a e̯ s a r eː a
Caesarēa	k a e̯ s a r eː aː
Caesarīna	k a e̯ s a r iː n a
Caesarīna	k a e̯ s a r iː n aː
Caesarīnae	k a e̯ s a r iː n a e̯
Caesarīnam	k a e̯ s a r iː n ãː
Caesarīne	k a e̯ s a r iː n ɛ
Caesarīnum	k a e̯ s a r iː n ũː
Caesarīnārum	k a e̯ s a r iː n aː r ũː
Caesarīnās	k a e̯ s a r iː n aː s
Caesarīnī	k a e̯ s a r iː n iː
Caesarīnīs	k a e̯ s a r iː n iː s
Caesarīnō	k a e̯ s a r iː n oː
Caesarīnōrum	k a e̯ s a r iː n oː r ũː
Caesarīnōs	k a e̯ s a r iː n oː s
Caesellium	k a e̯ s ɛ l l i ũː
Caeselliō	k a e̯ s ɛ l l i oː
Caesellī	k a e̯ s ɛ l l iː
Caesetium	k a e̯ s ɛ t i ũː
Caesetiī	k a e̯ s ɛ t i iː
Caesetiō	k a e̯ s ɛ t i oː
Caesetī	k a e̯ s ɛ t iː
Caesium	k a e̯ s i ũː
Caesiō	k a e̯ s i oː
Caesī	k a e̯ s iː
Caesō	k a e̯ s oː
Caetobrigae	k a e̯ t ɔ b r ɪ ɡ a e̯
Caetobrigam	k a e̯ t ɔ b r ɪ ɡ ãː
Caius	k a j j ʊ s
Caiētē	k a j j eː t eː
Cajētānus	k a j j eː t aː n ʊ s
Calabria	k a ɫ a b r i a
Calabriā	k a ɫ a b r i aː
Calagī	k a ɫ a ɡ iː
Calaris	k a ɫ a r ɪ s
Calaviī	k a ɫ a w i iː
Calchēdōn	k a ɫ kʰ eː d oː n
Calchēdōne	k a ɫ kʰ eː d oː n ɛ
Calchēdōnem	k a ɫ kʰ eː d oː n ẽː
Calchēdōnis	k a ɫ kʰ eː d oː n ɪ s
Calchēdōnī	k a ɫ kʰ eː d oː n iː
Caliburne	k a l ɪ b ʊ r n ɛ
Caliburnum	k a l ɪ b ʊ r n ũː
Caliburnī	k a l ɪ b ʊ r n iː
Caliburnō	k a l ɪ b ʊ r n oː
Calidium	k a l ɪ d i ũː
Calidiī	k a l ɪ d i iː
Calidiō	k a l ɪ d i oː
Caligulae	k a l ɪ ɡ ʊ ɫ a e̯
Caligulam	k a l ɪ ɡ ʊ ɫ ãː
Callaecia	k a l l a e̯ k i a
Calliopēa	k a l l i ɔ p eː a
Callipolim	k a l l ɪ p ɔ l ĩː
Callipolin	k a l l ɪ p ɔ l ɪ n
Callipolī	k a l l ɪ p ɔ l iː
Callirhoē	k a l l ɪ rʰ o eː
Callistūs	k a l l ɪ s t uː s
Calpurniī	k a ɫ p ʊ r n i iː
Calpurniō	k a ɫ p ʊ r n i oː
Calventiō	k a ɫ w ɛ n t i oː
Calypsōn	k a l y p s oː n
Calētum	k a ɫ eː t ũː
Cameronia	k a m ɛ r ɔ n i a
Camilla	k a m ɪ l l a
Camillae	k a m ɪ l l a e̯
Camillam	k a m ɪ l l ãː
Campāniae	k a m p aː n i a e̯
Campāniam	k a m p aː n i ãː
Campānī	k a m p aː n iː
Campānōrum	k a m p aː n oː r ũː
Camēnae	k a m eː n a e̯
Camēnam	k a m eː n ãː
Camēnāle	k a m eː n aː ɫ ɛ
Camēnālem	k a m eː n aː ɫ ẽː
Camēnālia	k a m eː n aː l i a
Camēnālibus	k a m eː n aː l ɪ b ʊ s
Camēnālium	k a m eː n aː l i ũː
Camēnālēs	k a m eː n aː ɫ eː s
Camēnālī	k a m eː n aː l iː
Camēnārum	k a m eː n aː r ũː
Camēnās	k a m eː n aː s
Camēnīs	k a m eː n iː s
Cancrī	k a ŋ k r iː
Cancrō	k a ŋ k r oː
Cannense	k a n n ẽː s ɛ
Cannensem	k a n n ẽː s ẽː
Cannensia	k a n n ẽː s i a
Cannensibus	k a n n ẽː s ɪ b ʊ s
Cannensium	k a n n ẽː s i ũː
Cannensēs	k a n n ẽː s eː s
Cannensī	k a n n ẽː s iː
Cannārum	k a n n aː r ũː
Cantuariēnsis	k a n t u a r i ẽː s ɪ s
