Ѓ	ɟ ə
Анкица	a ŋ k i t͡s a
Анталија	a n t a l i j a
Антананариво	a n t a n a n a r i v ɔ
Антарктик	a n t a r k t i k
Антиганец	a n t i ɡ a n ɛ t͡s
Антиганка	a n t i ɡ a ŋ k a
Антихрист	a n t i x r i s t
Антониј	a n t ɔ n i j
Антонија	a n t ɔ n i j a
Анѓа	a ɲ ɟ a
Апенини	a p ɛ n i n i
Апија	a p i j a
Аплгејт	a p ɫ̩ ɡ ɛ j t
Аполон	a p ɔ ɫ ɔ n
Арап	a ɾ a p
Арапин	a ɾ a p i n
Арапка	a ɾ a p k a
Арапче	a ɾ a p t͡ʃ ɛ
Аргентина	a r ɡ ɛ n t i n a
Аргентинец	a r ɡ ɛ n t i n ɛ t͡s
Аргентинка	a r ɡ ɛ n t i ŋ k a
Арес	a ɾ ɛ s
Аризона	a ɾ i z ɔ n a
Аристотел	a ɾ i s t ɔ t ɛ ɫ
Арнаут	a r n a u t
Арнаути	a r n a u t i
Арнаутка	a r n a u t k a
Арнаутки	a r n a u t k i
Арнаутче	a r n a u t t͡ʃ ɛ
Арсен	a r s ɛ n
Артемида	a r t ɛ m i d a
Аруба	a r u b a
Арубиец	a r u b i j ɛ t͡s
Арубијка	a r u b i j k a
Асмара	a s m a ɾ a
Астана	a s t a n a
Астерикс	a s t ɛ ɾ i k s
Асунсион	a s u n s i ɔ n
Атанас	a t a n a s
Атанасков	a t a n a s k ɔ f
Атанасковски	a t a n a s k ɔ f s k i
Атанаскоски	a t a n a s k ɔ s k i
Атанасов	a t a n a s ɔ f
Атанасовски	a t a n a s ɔ f s k i
Атанасоски	a t a n a s ɔ s k i
Атена	a t ɛ n a
Атина	a t i n a
Атлантида	a t ɫ a n t i d a
Африка	a f r i k a
Африканец	a f r i k a n ɛ t͡s
Африканка	a f r i k a ŋ k a
Афродита	a f r ɔ d i t a
Ахил	a x i ɫ
Аца	a t͡s a
Аце	a t͡s ɛ
Ацко	a t͡s k ɔ
Ацо	a t͡s ɔ
Ашхабад	a ʃ x a b a t
Ајдахо	a j d a x ɔ
Ајнштајн	a j n ʃ t a j n
Ајова	a j ɔ v a
Ања	a ɲ a
Б	b ə
БДП	b ə d ə p ə
Баварија	b a v a ɾ i j a
Багдад	b a ɡ d a t
Бадник	b a d n i k
Баку	b a k u
Балкан	b a ɫ k a n
Балканка	b a ɫ k a ŋ k a
Бамако	b a m a k ɔ
Бангкок	b a ŋ k k ɔ k
Бангладеш	b a ŋ ɡ ɫ a d ɛ ʃ
Бангладешанец	b a ŋ ɡ ɫ a d ɛ ʃ a n ɛ t͡s
Бангладешанка	b a ŋ ɡ ɫ a d ɛ ʃ a ŋ k a
Бангуи	b a ŋ ɡ u i
Банско	b a n s k ɔ
Банџул	b a n d͡ʒ u ɫ
Барбадос	b a r b a d ɔ s
Барбадошанец	b a r b a d ɔ ʃ a n ɛ t͡s
Барбадошанка	b a r b a d ɔ ʃ a ŋ k a
Барбуданец	b a r b u d a n ɛ t͡s
Барбуданка	b a r b u d a ŋ k a
Барселона	b a r s ɛ ɫ ɔ n a
Бас	b a s
Басетер	b a s ɛ t ɛ r
Батман	b a t m a n
Бахамец	b a x a m ɛ t͡s
Бахами	b a x a m i
Бахамка	b a x a m k a
Бахмут	b a x m u t
Бахреин	b a x r ɛ i n
Бахреинец	b a x r ɛ i n ɛ t͡s
Бахреинка	b a x r ɛ i ŋ k a
Баја	b a j a
Бајден	b a j d ɛ n
Бајрам	b a j r a m
Бајрамов	b a j r a m ɔ f
Бајрамовски	b a j r a m ɔ f s k i
Бајрамоски	b a j r a m ɔ s k i
Белгиец	b ɛ ɫ ɡ i j ɛ t͡s
Белгија	b ɛ ɫ ɡ i j a
Белгијка	b ɛ ɫ ɡ i j k a
Белгород	b ɛ ɫ ɡ ɔ ɾ ɔ t
Белград	b ɛ ɫ ɡ r a t
Белижанец	b ɛ l i ʒ a n ɛ t͡s
Белижанка	b ɛ l i ʒ a ŋ k a
Белиз	b ɛ l i s
Белмопан	b ɛ ɫ m ɔ p a n
Белорусин	b ɛ ɫ ɔ r u s i n
Белорусинка	b ɛ ɫ ɔ r u s i ŋ k a
Белорусија	b ɛ ɫ ɔ r u s i j a
Бенин	b ɛ n i n
Бенинец	b ɛ n i n ɛ t͡s
Бенинка	b ɛ n i ŋ k a
Бер	b ɛ r
Берат	b ɛ ɾ a t
Берлин	b ɛ r l i n
Бермудец	b ɛ r m u d ɛ t͡s
Бермуди	b ɛ r m u d i
Бермутка	b ɛ r m u t k a
Берн	b ɛ r n
Берово	b ɛ ɾ ɔ v ɔ
Беровско	b ɛ ɾ ɔ f s k ɔ
Бети	b ɛ t i
Бетмен	b ɛ t m ɛ n
Бејрут	b ɛ j r u t
Библија	b i b l i j a
Биле	b i l ɛ
Билјан	b i ʎ a n
Билјана	b i ʎ a n a
Билјанин	b i ʎ a n i n
Бирмингем	b i r m i ŋ ɡ ɛ m
Бисаец	b i s a ɛ t͡s
Бисао	b i s a ɔ
Бисајка	b i s a j k a
Бисера	b i s ɛ ɾ a
Бисерка	b i s ɛ r k a
Бистра	b i s t r a
Битие	b i t i j ɛ
Битола	b i t ɔ ɫ a
Битолава	b i t ɔ ɫ a v a
Битолана	b i t ɔ ɫ a n a
Битолата	b i t ɔ ɫ a t a
Битолско	b i t ɔ ɫ s k ɔ
Бишкек	b i ʃ k ɛ k
Блага	b ɫ a ɡ a
Благоевград	b ɫ a ɡ ɔ ɛ v ɡ r a t
Благоја	b ɫ a ɡ ɔ j a
Боб	b ɔ p
Бобана	b ɔ b a n a
Бог	b ɔ k
Богда	b ɔ ɡ d a
Богдан	b ɔ ɡ d a n
Богдана	b ɔ ɡ d a n a
Богданка	b ɔ ɡ d a ŋ k a
Богданов	b ɔ ɡ d a n ɔ f
Богдановски	b ɔ ɡ d a n ɔ f s k i
Богданоски	b ɔ ɡ d a n ɔ s k i
Богданци	b ɔ ɡ d a n t͡s i
Богородица	b ɔ ɡ ɔ r ɔ d i t͡s a
Богота	b ɔ ɡ ɔ t a
Богојавление	b ɔ ɡ ɔ j a v l ɛ n i j ɛ
Бодрум	b ɔ d r u m
Боже	b ɔ ʒ ɛ
Божик	b ɔ ʒ i k
Божиќ	b ɔ ʒ i c
Божји	b ɔ ʒ j i
Боки	b ɔ k i
Боливиец	b ɔ l i v i j ɛ t͡s
Боливија	b ɔ l i v i j a
Боливијка	b ɔ l i v i j k a
Бордо	b ɔ r d ɔ
Борис	b ɔ ɾ i s
Борка	b ɔ r k a
Борјан	b ɔ r j a n
Босанец	b ɔ s a n ɛ t͡s
Босанка	b ɔ s a ŋ k a
Босилка	b ɔ s i ɫ k a
Босилко	b ɔ s i ɫ k ɔ
Босна	b ɔ s n a
Ботевград	b ɔ t ɛ v ɡ r a t
Боцвана	b ɔ t͡s v a n a
Боцванец	b ɔ t͡s v a n ɛ t͡s
Боцванка	b ɔ t͡s v a ŋ k a
Бошњак	b ɔ ʃ ɲ a k
Бошњаци	b ɔ ʃ ɲ a t͡s i
Бошњаците	b ɔ ʃ ɲ a t͡s i t ɛ
Бошњачка	b ɔ ʃ ɲ a t͡ʃ k a
Бошњачката	b ɔ ʃ ɲ a t͡ʃ k a t a
Бошњачки	b ɔ ʃ ɲ a t͡ʃ k i
Бошњачките	b ɔ ʃ ɲ a t͡ʃ k i t ɛ
Бојан	b ɔ j a n
Бојана	b ɔ j a n a
Бојмица	b ɔ j m i t͡s a
Бразавил	b r a z a v i ɫ
Бразил	b r a z i ɫ
Бразилец	b r a z i l ɛ t͡s
Бразилија	b r a z i l i j a
Бразилка	b r a z i ɫ k a
Бранка	b r a ŋ k a
Бранко	b r a ŋ k ɔ
Бранков	b r a ŋ k ɔ f
Братислава	b r a t i s ɫ a v a
Браун	b r a u n
Брежанец	b r ɛ ʒ a n ɛ t͡s
Брежанка	b r ɛ ʒ a ŋ k a
Брисел	b r i s ɛ ɫ
Британец	b r i t a n ɛ t͡s
Британија	b r i t a n i j a
Британка	b r i t a ŋ k a
Бриџтаун	b r i t͡ʃ t a u n
Брсјачија	b r̩ s j a t͡ʃ i j a
Брунеец	b r u n ɛ ɛ t͡s
Брунеј	b r u n ɛ j
Брунејка	b r u n ɛ j k a
Бугар	b u ɡ a r
Бугари	b u ɡ a ɾ i
Бугарин	b u ɡ a ɾ i n
Бугарија	b u ɡ a ɾ i j a
Бугаријо	b u ɡ a ɾ i j ɔ
Бугарка	b u ɡ a r k a
Бугарки	b u ɡ a r k i
Бугарче	b u ɡ a r t͡ʃ ɛ
Будимпешта	b u d i m p ɛ ʃ t a
Букефал	b u k ɛ f a ɫ
Букурешт	b u k u ɾ ɛ ʃ t
Бургас	b u r ɡ a s
Буркинец	b u r k i n ɛ t͡s
Буркинка	b u r k i ŋ k a
Бурма	b u r m a
Бурса	b u r s a
Бурунди	b u r u n d i
Бурундиец	b u r u n d i j ɛ t͡s
Бурундијка	b u r u n d i j k a
Бутан	b u t a n
Бутанец	b u t a n ɛ t͡s
Бутанка	b u t a ŋ k a
Буф	b u f
Буш	b u ʃ
Буџумбура	b u d͡ʒ u m b u ɾ a
Б’с	b ə s
В	v ə
Вавилон	v a v i ɫ ɔ n
Вадуц	v a d u t͡s
Валандово	v a ɫ a n d ɔ v ɔ
Валандовско	v a ɫ a n d ɔ f s k ɔ
Валентина	v a l ɛ n t i n a
Вануату	v a n u a t u
Вануатуец	v a n u a t u ɛ t͡s
Вануатујка	v a n u a t u j k a
Ванѓа	v a ɲ ɟ a
Варава	v a ɾ a v a
Варвара	v a r v a ɾ a
Вардар	v a r d a r
Вардаре	v a r d a ɾ ɛ
Вардаров	v a r d a ɾ ɔ f
Вардарон	v a r d a ɾ ɔ n
Вардарот	v a r d a ɾ ɔ t
Варна	v a r n a
Варшава	v a r ʃ a v a
Вас	v a s
Васил	v a s i ɫ
Василка	v a s i ɫ k a
Ватикан	v a t i k a n
Ваш	v a ʃ
Вашингтон	v a ʃ i ŋ k t ɔ n
Вајоминг	v a j ɔ m i ŋ k
Ве	v ɛ
Вевчани	v ɛ f t͡ʃ a n i
Вегета	v ɛ ɡ ɛ t a
Везир	v ɛ z i r
Везирка	v ɛ z i r k a
Везироски	v ɛ z i ɾ ɔ s k i
Велес	v ɛ l ɛ s
Велешко	v ɛ l ɛ ʃ k ɔ
Велибор	v ɛ l i b ɔ r
Велигден	v ɛ l i ɡ d ɛ n
Велимир	v ɛ l i m i r
Велингтон	v ɛ l i ŋ k t ɔ n
Велипеток	v ɛ l i p ɛ t ɔ k
Величетврток	v ɛ l i t͡ʃ ɛ t v r̩ t ɔ k
Велс	v ɛ ɫ s
Велшанец	v ɛ ɫ ʃ a n ɛ t͡s
Велшанка	v ɛ ɫ ʃ a ŋ k a
Велјан	v ɛ ʎ a n
Велјанедела	v ɛ ʎ a n ɛ d ɛ ɫ a
Велјасабота	v ɛ ʎ a s a b ɔ t a
Велјасреда	v ɛ ʎ a s r ɛ d a
Венера	v ɛ n ɛ ɾ a
Венеција	v ɛ n ɛ t͡s i j a
Венецуела	v ɛ n ɛ t͡s u ɛ ɫ a
Венецуелец	v ɛ n ɛ t͡s u ɛ l ɛ t͡s
Венецуелка	v ɛ n ɛ t͡s u ɛ ɫ k a
Венко	v ɛ ŋ k ɔ
Вера	v ɛ ɾ a
Верин	v ɛ ɾ i n
Вероника	v ɛ r ɔ n i k a
Вероника	v ɛ ɾ ɔ n i k a
Верче	v ɛ r t͡ʃ ɛ
Весела	v ɛ s ɛ ɫ a
Веселин	v ɛ s ɛ l i n
Веселинка	v ɛ s ɛ l i ŋ k a
Веселка	v ɛ s ɛ ɫ k a
Весна	v ɛ s n a
Вечерница	v ɛ t͡ʃ ɛ r n i t͡s a
Ви	v i
Видин	v i d i n
Вие	v i j ɛ
Виена	v i ɛ n a
Виентијан	v i j ɛ n t i j a n
Виетнам	v i j ɛ t n a m
Виетнамец	v i j ɛ t n a m ɛ t͡s
Виетнамец	v i ɛ t n a m ɛ t͡s
Виетнамка	v i ɛ t n a m k a
Вики	v i k i
Википедија	v i k i p ɛ d i j a
Викиречник	v i k i r ɛ t͡ʃ n i k
Виктор	v i k t ɔ r
Вилнус	v i ɫ n u s
Виндхук	v i n t x u k
Виница	v i n i t͡s a
Виничко	v i n i t͡ʃ k ɔ
Виолета	v i j ɔ l ɛ t a
Вирџинија	v i r d͡ʒ i n i j a
Висконсин	v i s k ɔ n s i n
Витина	v i t i n a
Витлеем	v i t l ɛ ɛ m
Влав	v ɫ a f
Владимир	v ɫ a d i m i r
Владислав	v ɫ a d i s ɫ a f
Влаинка	v ɫ a i ŋ k a
Влашко	v ɫ a ʃ k ɔ
Воден	v ɔ d ɛ n
Воденско	v ɔ d ɛ n s k ɔ
Водици	v ɔ d i t͡s i
Водокрст	v ɔ d ɔ k r̩ s t
Водопост	v ɔ d ɔ p ɔ s t
Волга	v ɔ ɫ ɡ a
Волос	v ɔ ɫ ɔ s
Воштарани	v ɔ ʃ t a ɾ a n i
Војводина	v ɔ j v ɔ d i n a
Војдан	v ɔ j d a n
Врбен	v r̩ b ɛ n
Врбени	v r̩ b ɛ n i
Врбјани	v r̩ b j a n i
Вухан	v u x a n
Вучитрн	v u t͡ʃ i t r̩ n
В’лтава	v ə ɫ t a v a
Г	ɡ ə
ГШ	ɡ ə ʃ ə
Габон	ɡ a b ɔ n
Габонец	ɡ a b ɔ n ɛ t͡s
Габонка	ɡ a b ɔ ŋ k a
Габороне	ɡ a b ɔ r ɔ n ɛ
Габриела	ɡ a b r i ɛ ɫ a
Гаврил	ɡ a v r i ɫ
Газа	ɡ a z a
Газијантеп	ɡ a z i j a n t ɛ p
Галичник	ɡ a l i t͡ʃ n i k
Гамбиец	ɡ a m b i j ɛ t͡s
Гамбија	ɡ a m b i j a
Гамбијка	ɡ a m b i j k a
Гана	ɡ a n a
Ганец	ɡ a n ɛ t͡s
Ганка	ɡ a ŋ k a
Гваделуп	ɡ v a d ɛ ɫ u p
Гваделупец	ɡ v a d ɛ ɫ u p ɛ t͡s
Гваделупка	ɡ v a d ɛ ɫ u p k a
Гватемала	ɡ v a t ɛ m a ɫ a
Гватемалец	ɡ v a t ɛ m a l ɛ t͡s
Гватемалка	ɡ v a t ɛ m a ɫ k a
Гвајана	ɡ v a j a n a
Гвајанец	ɡ v a j a n ɛ t͡s
Гвајанка	ɡ v a j a ŋ k a
Гвајанци	ɡ v a j a n t͡s i
Гвинеец	ɡ v i n ɛ ɛ t͡s
Гвинеја	ɡ v i n ɛ j a
Гвинејка	ɡ v i n ɛ j k a
Гевгелиско	ɡ ɛ v ɡ ɛ l i s k ɔ
Гевгелија	ɡ ɛ v ɡ ɛ l i j a
Герасим	ɡ ɛ ɾ a s i m
Германец	ɡ ɛ r m a n ɛ t͡s
Германија	ɡ ɛ r m a n i j a
Германка	ɡ ɛ r m a ŋ k a
Германче	ɡ ɛ r m a n t͡ʃ ɛ
Глазгов	ɡ ɫ a z ɡ ɔ f
Глигор	ɡ l i ɡ ɔ r
Глоговац	ɡ ɫ ɔ ɡ ɔ v a t͡s
Голијат	ɡ ɔ l i j a t
Горазд	ɡ ɔ ɾ a s t
Горан	ɡ ɔ ɾ a n
Горанов	ɡ ɔ ɾ a n ɔ f
Горанци	ɡ ɔ ɾ a n t͡s i
Горбачов	ɡ ɔ r b a t͡ʃ ɔ f
Гордана	ɡ ɔ r d a n a
Горица	ɡ ɔ ɾ i t͡s a
Горки	ɡ ɔ r k i
Господ	ɡ ɔ s p ɔ t
Господе	ɡ ɔ s p ɔ d ɛ
Господи	ɡ ɔ s p ɔ d i
Гостивар	ɡ ɔ s t i v a r
Гостиварско	ɡ ɔ s t i v a r s k ɔ
Гоца	ɡ ɔ t͡s a
Гоце	ɡ ɔ t͡s ɛ
Грачаница	ɡ r a t͡ʃ a n i t͡s a
Гребен	ɡ r ɛ b ɛ n
Гренада	ɡ r ɛ n a d a
Гренаѓанец	ɡ r ɛ n a ɟ a n ɛ t͡s
Гренаѓанка	ɡ r ɛ n a ɟ a ŋ k a
Гренланд	ɡ r ɛ n ɫ a n t
Гренланѓанец	ɡ r ɛ n ɫ a ɲ ɟ a n ɛ t͡s
Гренланѓанка	ɡ r ɛ n ɫ a ɲ ɟ a ŋ k a
Грк	ɡ r̩ k
Гркинка	ɡ r̩ k i ŋ k a
Гркинки	ɡ r̩ k i ŋ k i
Груев	ɡ r u ɛ f
Груевски	ɡ r u ɛ f s k i
Груески	ɡ r u ɛ s k i
Грузиец	ɡ r u z i j ɛ t͡s
Грузија	ɡ r u z i j a
Грузијка	ɡ r u z i j k a
Грујевски	ɡ r u j ɛ f s k i
Грујески	ɡ r u j ɛ s k i
Грујов	ɡ r u j ɔ f
Грујовски	ɡ r u j ɔ f s k i
Грујоски	ɡ r u j ɔ s k i
Грција	ɡ r̩ t͡s i j a
Грцијо	ɡ r̩ t͡s i j ɔ
Гулабинка	ɡ u ɫ a b i ŋ k a
Гуменџа	ɡ u m ɛ n d͡ʒ a
Гуменџе	ɡ u m ɛ n d͡ʒ ɛ
Гњилане	ɡ ɲ i ɫ a n ɛ
Д	d ə
ДАРМ	d a ɾ ə m ə
ДДВ	d ə d ə v ə
ДНК	d ɛ ɛ ŋ k a
ДПМ	d ə p ə m ə
Даблин	d a b l i n
Давид	d a v i t
Давор	d a v ɔ r
Дака	d a k a
Дакар	d a k a r
Далибор	d a l i b ɔ r
Дамаск	d a m a s k
Дамјан	d a m j a n
Данец	d a n ɛ t͡s
Даниел	d a n i j ɛ ɫ
Даниела	d a n i ɛ ɫ a
Данка	d a ŋ k a
Данкинка	d a ŋ k i ŋ k a
Данска	d a n s k a
Дарио	d a ɾ i j ɔ
Дарко	d a r k ɔ
Дафина	d a f i n a
Дебар	d ɛ b a r
Дебарско	d ɛ b a r s k ɔ
Дебарца	d ɛ b a r t͡s a
