'ntós	n t o s
acastellanar	a k a s t e ʎ a n a ɾ
acastellanáu	a k a s t e ʎ a n a u̯
accedáis	a k θ e d a i̯ s
accedéis	a k θ e d e i̯ s
accedía	a k θ e d i a
accedíu	a k θ e d i u
acebu	a θ e b u
aceición	a θ e i̯ θ j o n
aceite	a θ e i̯ t e
acentos	a θ e n t o s
acentu	a θ e n t u
acepción	a θ e p θ j o n
aceptable	a θ e p t a b l e
aceptar	a θ e p t a ɾ
aceptáu	a θ e p t a u̯
acertar	a θ e ɾ t a ɾ
aceru	a θ e ɾ u
acetona	a θ e t o n a
aceutar	a θ e u̯ t a ɾ
achacosu	a t͡ʃ a k o s u
achaplar	a t͡ʃ a p l a ɾ
achaque	a t͡ʃ a k e
aclimatáu	a k l i m a t a u̯
acobar	a k o b a ɾ
acoldu	a k o l d u
acollechar	a k o ʎ e t͡ʃ a ɾ
acolumbrar	a k o l u m b ɾ a ɾ
acompangar	a k o m p a n ɡ a ɾ
aconceyamientu	a k o n θ e ʝ a m j e n t u
aconceyar	a k o n θ e ʝ a ɾ
acordanza	a k o ɾ d a n θ a
acorde	a k o ɾ d e
acordi	a k o ɾ d i
acordias	a k o ɾ d j a s
acordies	a k o ɾ d j e s
acordiones	a k o ɾ d j o n e s
acordión	a k o ɾ d j o n
acordáu	a k o ɾ d a u̯
acotar	a k o t a ɾ
acoxicar	a k o ʃ i k a ɾ
acoyedor	a k o ʝ e d o ɾ
acoyer	a k o ʝ e ɾ
acoyíu	a k o ʝ i u
acrónimu	a k ɾ o n i m u
activar	a k t i b a ɾ
activas	a k t i b a s
actualidá	a t w a l i d a
acullá	a k u ʎ a
acumuláu	a k u m u l a u̯
acupuntura	a k u p u n t u ɾ a
acurdión	a k u ɾ d j o n
acusa	a k u s a
acutar	a k u t a ɾ
adaptar	a d a t a ɾ
adatar	a d a t a ɾ
adautar	a d a u̯ t a ɾ
adegañu	a d e ɡ a ɲ u
adiantre	a d j a n t ɾ e
aditivos	a d i t i b o s
aditivu	a d i t i b u
adivinar	a d i b i n a ɾ
adoctrináu	a d o k t ɾ i n a u̯
adolescente	a d o l e s θ e n t e
adormir	a d o ɾ m i ɾ
adoráu	a d o ɾ a u̯
adquirida	a d k i ɾ i d a
adquiríu	a d k i ɾ i u
adrezar	a d ɾ e θ a ɾ
aduces	a d u θ e s
aducíu	a d u θ i u
adulces	a d u l θ e s
adulteriu	a d u l t e ɾ j u
adúlteru	a d u l t e ɾ u
aeropuertos	a e ɾ o p w e ɾ t o s
aeropuertu	a e ɾ o p w e ɾ t u
afacer	a f a θ e ɾ
afachadizu	a f a t͡ʃ a d i θ u
afacinar	a f a θ i n a ɾ
afayadizu	a f a ʝ a d i θ u
afayaízu	a f a ʝ a i θ u
afeitar	a f e i̯ t a ɾ
afeutu	a f e u̯ t u
Afganistán	a f ɡ a n i s t a n
afiar	a f i a ɾ
aficháu	a f i t͡ʃ a u̯
afirmar	a f i ɾ m a ɾ
afiyáu	a f i ʝ a u̯
afiáu	a f j a u̯
afió	a f i o
afogar	a f o ɡ a ɾ
afondar	a f o n d a ɾ
aforfugu	a f o ɾ f u ɡ u
aforismu	a f o ɾ i s m u
aformigar	a f o ɾ m i ɡ a ɾ
aforrador	a f o r a d o ɾ
aforrar	a f o r a ɾ
aforru	a f o r u
africanu	a f ɾ i k a n u
afu	a f u
afuxir	a f u ʃ i ɾ
afuñar	a f u ɲ a ɾ
agarradera	a ɡ a r a d e ɾ a
agarrapañar	a ɡ a r a p a ɲ a ɾ
agarrar	a ɡ a r a ɾ
agnosticismu	a ɡ n o s t i θ i s m u
agnósticu	a ɡ n o s t i k u
agonizáu	a ɡ o n i θ a u̯
agora	a ɡ o ɾ a
agostu	a ɡ o s t u
agradecer	a ɡ ɾ a d e θ e ɾ
agradescer	a ɡ ɾ a d e s θ e ɾ
agraecer	a ɡ ɾ a e θ e ɾ
agrisáu	a ɡ ɾ i s a u̯
agriu	a ɡ ɾ j u
agua	a ɡ w a
aguacate	a ɡ w a k a t e
aguamala	a ɡ w a m a l a
aguamanil	a ɡ w a m a n i l
aguarón	a ɡ w a ɾ o n
aguañu	a ɡ w a ɲ u
aguixar	a ɡ i ʃ a ɾ
aguiyar	a ɡ i ʝ a ɾ
aguiyón	a ɡ i ʝ o n
aguión	a ɡ j o n
aguya	a ɡ u ʝ a
agüecar	a ɡ w e k a ɾ
agüeldu	a ɡ w e l d u
aiciones	a i̯ θ j o n e s
aición	a i̯ θ j o n
Aida	a i̯ d a
aigla	a i̯ ɡ l a
Aique	a i̯ k e
aire	a i̯ ɾ e
akán	a k a n
ala	a l a
alambre	a l a m b ɾ e
alante	a l a n t e
alantre	a l a n t ɾ e
Albania	a l b a n j a
albanés	a l b a n e s
albaricoca	a l b a ɾ i k o k a
albaricoque	a l b a ɾ i k o k e
albentestate	a l b e n t e s t a t e
alboriar	a l b o ɾ j a ɾ
albortu	a l b o ɾ t u
albu	a l b u
albuertu	a l b w e ɾ t u
alcacer	a l k a θ e ɾ
alcachofa	a l k a t͡ʃ o f a
alcaldada	a l k a l d a d a
alcantarelláu	a l k a n t a ɾ e ʎ a u̯
alcantariella	a l k a n t a ɾ j e ʎ a
alce	a l θ e
alcontradizu	a l k o n t ɾ a d i θ u
alcontrar	a l k o n t ɾ a ɾ
alcontrar	a l k u n t ɾ a ɾ
alcontraízu	a l k o n t ɾ a i θ u
alcordión	a l k o ɾ d j o n
alcuando	a l k w a n d o
alcuentru	a l k w e n t ɾ u
alcuntradizu	a l k u n t ɾ a d i θ u
alcurdión	a l k u ɾ d j o n
alcárcel	a l k a ɾ θ e l
aldea	a l d e a
aldeanu	a l d e a n u
aldericar	a l d e ɾ i k a ɾ
alderique	a l d e ɾ i k e
aldovinar	a l d o b i n a ɾ
aldu	a l d u
Alemaña	a l e m a ɲ a
alemán	a l e m a n
alerxa	a l e ɾ ʃ a
aleta	a l e t a
Alexandru	a l e ʃ a n d ɾ u
alfabetizáu	a l f a b e t i θ a u̯
alfabetu	a l f a b e t u
alfaxeme	a l f a ʃ e m e
alfayate	a l f a ʝ a t e
alferi	a l f e ɾ i
alfil	a l f i l
algodón	a l ɡ o d o n
alicar	a l i k a ɾ
alimentación	a l i m e n t a θ j o n
alimentar	a l i m e n t a ɾ
allabancia	a ʎ a b a n θ j a
allabanciosu	a ʎ a b a n θ j o s u
allabar	a ʎ a b a ɾ
allacrán	a ʎ a k ɾ a n
allancar	a ʎ a n k a ɾ
Allande	a ʎ a n d e
allargar	a ʎ a ɾ ɡ a ɾ
allegar	a ʎ e ɡ a ɾ
allegría	a ʎ e ɡ ɾ i a
allendar	a ʎ e n d a ɾ
allexar	a ʎ e ʃ a ɾ
allogueru	a ʎ o ɡ e ɾ u
alloñar	a ʎ o ɲ a ɾ
alluendi	a ʎ w e n d i
allugar	a ʎ u ɡ a ɾ
allumar	a ʎ u m a ɾ
alma	a l m a
almendra	a l m e n d ɾ a
almisible	a l m i s i b l e
almitir	a l m i t i ɾ
almitíu	a l m i t i u
alquirir	a l k i ɾ i ɾ
alquitrán	a l k i t ɾ a n
alsa	a l s a
altabal	a l t a b a l
altor	a l t o ɾ
aluminiu	a l u m i n j u
alviola	a l b j o l a
alvioles	a l b j o l e s
alérxicu	a l e ɾ ʃ i k u
amagüestu	a m a ɡ w e s t u
amalucar	a m a l u k a ɾ
amante	a m a n t e
amarga	a m a ɾ ɡ a
amargo	a m a ɾ ɡ o
amargos	a m a ɾ ɡ o s
amargu	a m a ɾ ɡ u
amargues	a m a ɾ ɡ e s
amariella	a m a ɾ j e ʎ a
amariello	a m a ɾ j e ʎ o
amatagar	a m a t a ɡ a ɾ
Amberes	a m b e ɾ e s
ambulancia	a m b u l a n θ j a
ambulancies	a m b u l a n θ j e s
amburar	a m b u ɾ a ɾ
amenaza	a m e n a θ a
americanizáu	a m e ɾ i k a n i θ a u̯
americanu	a m e ɾ i k a n u
americiu	a m e ɾ i θ j u
ameritar	a m e ɾ i t a ɾ
amesturar	a m e s t u ɾ a ɾ
amestáu	a m e s t a u̯
ameyoramientu	a m e ʝ o ɾ a m j e n t u
Amieva	a m j e b a
amiga	a m i ɡ a
amollecer	a m o ʎ e θ e ɾ
amor	a m o ɾ
amosar	a m o s a ɾ
amplemanía	a m p l e m a n i a
amplifica	a m p l i f i k a
amplificada	a m p l i f i k a d a
amplificáu	a m p l i f i k a u̯
amputáu	a m p u t a u̯
amurniar	a m u ɾ n j a ɾ
amuyerar	a m u ʝ e ɾ a ɾ
amuyeráu	a m u ʝ e ɾ a u̯
América	a m e ɾ i k a
anacronismu	a n a k ɾ o n i s m u
analizáu	a n a l i θ a u̯
analís	a n a l i s
analóxicu	a n a l o ʃ i k u
anantes	a n a n t e s
anantias	a n a n t j a s
ananties	a n a n t j e s
anantres	a n a n t ɾ e s
anarquismu	a n a ɾ k i s m u
anarquistes	a n a ɾ k i s t e s
anarquía	a n a ɾ k i a
anatomía	a n a t o m i a
ancla	a n k l a
anclar	a n k l a ɾ
ancles	a n k l e s
andarina	a n d a ɾ i n a
andecha	a n d e t͡ʃ a
andolina	a n d o l i n a
andorga	a n d o ɾ ɡ a
andorgar	a n d o ɾ ɡ a ɾ
Andorra	a n d o r a
andulina	a n d u l i n a
anfibia	a n f i b j a
anfibies	a n f i b j e s
anfibio	a n f i b j o
anfibios	a n f i b j o s
anfibiu	a n f i b j u
Angola	a n ɡ o l a
anguaño	a n ɡ w a ɲ o
anguila	a n ɡ i l a
anguiles	a n ɡ i l e s
angüeña	a n ɡ w e ɲ a
aniantes	a n j a n t e s
aniantres	a n j a n t ɾ e s
anicios	a n i θ j o s
aniciu	a n i θ j u
animal	a n i m a l
anotáu	a n o t a u̯
anque	a n k e
antayeri	a n t a ʝ e ɾ i
antegüeyos	a n t e ɡ w e ʝ o s
antena	a n t e n a
antes	a n t e s
antia	a n t j a
antias	a n t j a s
anticlericalismu	a n t i k l e ɾ i k a l i s m u
anticristu	a n t i k ɾ i s t u
anties	a n t j e s
antifascismu	a n t i f a s θ i s m u
antiguu	a n t i ɡ u w
antioyos	a n t j o ʝ o s
antisemitismu	a n t i s e m i t i s m u
antoncias	a n t o n θ j a s
antoxu	a n t o ʃ u
antropocentrismu	a n t ɾ o p o θ e n t ɾ i s m u
antropofaxa	a n t ɾ o p o f a ʃ a
antropolóxico	a n t ɾ o p o l o ʃ i k o
antropolóxicu	a n t ɾ o p o l o ʃ i k u
antroxu	a n t ɾ o ʃ u
antóncenes	a n t o n θ e n e s
antóncianas	a n t o n θ j a n a s
antós	a n t o s
antóscenas	a n t o s θ e n a s
antóscinis	a n t o s θ i n i s
anual	a n w a l
anubrir	a n u b ɾ i ɾ
anunciáu	a n u n θ j a u̯
Anxela	a n ʃ e l a
Anxelu	a n ʃ e l u
análisis	a n a l i s i s
análogu	a n a l o ɡ u
anárquicu	a n a ɾ k i k u
apacible	a p a θ i b l e
apanoyar	a p a n o ʝ a ɾ
apavoriar	a p a b o ɾ j a ɾ
apañar	a p a ɲ a ɾ
apegadiegu	a p e ɡ a d j e ɡ u
apeligrar	a p e l i ɡ ɾ a ɾ
apelucar	a p e l u k a ɾ
aperiar	a p e ɾ j a ɾ
apiar	a p j a ɾ
aplausu	a p l a u̯ s u
aplicáu	a p l i k a u̯
apodrecer	a p o d ɾ e θ e ɾ
apodrentar	a p o d ɾ e n t a ɾ
apolazar	a p o l a θ a ɾ
aportar	a p o ɾ t a ɾ
aportelláu	a p o ɾ t e ʎ a u̯
aportiellar	a p o ɾ t j e ʎ a ɾ
aportáu	a p o ɾ t a u̯
aposar	a p o s a ɾ
aposentar	a p o s e n t a ɾ
apostalgar	a p o s t a l ɡ a ɾ
apousar	a p o u̯ s a ɾ
apoyando	a p o ʝ a n d o
apoyo	a p o ʝ o
apoyu	a p o ʝ u
aprender	a p ɾ e n d e ɾ
aprés	a p ɾ e s
apu	a p u
apurríu	a p u r i u
apuñalar	a p u ɲ a l a ɾ
apéndiz	a p e n d i θ
apóstol	a p o s t o l
aquesta	a k e s t a
aqueste	a k e s t e
aquestes	a k e s t e s
aquesti	a k e s t i
aquesto	a k e s t o
aquestos	a k e s t o s
aquén	a k e n
aquí	a k i
arabizáu	a ɾ a b i θ a u̯
aragonesa	a ɾ a ɡ o n e s a
aragoneses	a ɾ a ɡ o n e s e s
aragoneso	a ɾ a ɡ o n e s o
aragonés	a ɾ a ɡ o n e s
Aragón	a ɾ a ɡ o n
arame	a ɾ a m e
arbeyera	a ɾ b e ʝ e ɾ a
arbeyu	a ɾ b e ʝ u
arcebispu	a ɾ θ e b i s p u
arcu	a ɾ k u
arcánxel	a ɾ k a n ʃ e l
arena	a ɾ e n a
arencón	a ɾ e n k o n
argayar	a ɾ ɡ a ʝ a ɾ
argayu	a ɾ ɡ a ʝ u
argolla	a ɾ ɡ o ʎ a
argumentos	a ɾ ɡ u m e n t o s
arguyu	a ɾ ɡ u ʝ u
argüir	a ɾ ɡ w i ɾ
armamentos	a ɾ m a m e n t o s
Armenia	a ɾ m e n j a
armes	a ɾ m e s
arqueolóxico	a ɾ k e o l o ʃ i k o
arqueolóxicu	a ɾ k e o l o ʃ i k u
arquiteutura	a ɾ k i t e u̯ t u ɾ a
arrabalde	a r a b a l d e
arrampañar	a r a m p a ɲ a ɾ
arrampuñar	a r a m p u ɲ a ɾ
arrechu	a r e t͡ʃ u
arremellar	a r e m e ʎ a ɾ
arrexuntar	a r e ʃ u n t a ɾ
arroz	a r o θ
arruaxe	a r w a ʃ e
articulación	a ɾ t i k u l a θ j o n
artificial	a ɾ t i f i θ j a l
artista	a ɾ t i s t a
artistes	a ɾ t i s t e s
artículu	a ɾ t i k u l u
Arxelia	a ɾ ʃ e l j a
arxelín	a ɾ ʃ e l i n
Arxentina	a ɾ ʃ e n t i n a
arxán	a ɾ ʃ a n
arzobispu	a ɾ θ o b i s p u
asar	a s a ɾ
Asclepiu	a s k l e p j u
asegundar	a s e ɡ u n d a ɾ
asemechar	a s e m e t͡ʃ a ɾ
asemeichar	a s e m e i̯ t͡ʃ a ɾ
asemeyar	a s e m e ʝ a ɾ
asemeñar	a s e m e ɲ a ɾ
asensu	a s e n s u
aseo	a s e o
asientos	a s j e n t o s
asientu	a s j e n t u
asimiláu	a s i m i l a u̯
asistas	a s i s t a s
asistida	a s i s t i d a
asistíu	a s i s t i u
asociáu	a s o θ j a u̯
asomear	a s o m e a ɾ
asomechar	a s o m e t͡ʃ a ɾ
asomeyar	a s o m e ʝ a ɾ
aspaciu	a s p a θ j u
asperxar	a s p e ɾ ʃ a ɾ
asprosu	a s p ɾ o s u
aspru	a s p ɾ u
astronomía	a s t ɾ o n o m i a
asturcón	a s t u ɾ k o n
asturiana	a s t u ɾ j a n a
asturianada	a s t u ɾ j a n a d a
asturianes	a s t u ɾ j a n e s
asturianismu	a s t u ɾ j a n i s m u
asturianizada	a s t u ɾ j a n i θ a d a
asturianizáu	a s t u ɾ j a n i θ a u̯
asturiano	a s t u ɾ j a n o
asturianos	a s t u ɾ j a n o s
asturianu	a s t u ɾ j a n u
Asturies	a s t u ɾ j e s
asuelu	a s w e l u
aséu	a s e u̯
atabal	a t a b a l
atabalu	a t a b a l u
atachar	a t a t͡ʃ a ɾ
atachu	a t a t͡ʃ u
atarrecer	a t a r e θ e ɾ
atayar	a t a ʝ a ɾ
atayu	a t a ʝ u
atestar	a t e s t a ɾ
ateísmu	a t e i s m u
atinar	a t i n a ɾ
atleta	a t l e t a
atlánticu	a t l a n t i k u
atochecer	a t o t͡ʃ e θ e ɾ
atomizáu	a t o m i θ a u̯
atopadiegu	a t o p a d j e ɡ u
atopadizu	a t o p a d i θ u
atopaízu	a t o p a i θ u
atoupadizu	a t o u̯ p a d i θ u
atraer	a t ɾ a e ɾ
atrayíu	a t ɾ a ʝ i u
atrocar	a t ɾ o k a ɾ
atroncar	a t ɾ o n k a ɾ
atropar	a t ɾ o p a ɾ
attual	a t t w a l
atual	a t w a l
atualidá	a t w a l i d a
augurar	a u̯ ɡ u ɾ a ɾ
ausencia	a u̯ s e n θ j a
austeridá	a u̯ s t e ɾ i d a
austeru	a u̯ s t e ɾ u
Austria	a u̯ s t ɾ j a
automáticamente	a u̯ t o m a t i k a m e n t e
automático	a u̯ t o m a t i k o
automóvil	a u̯ t o m o b i l
autonomía	a u̯ t o n o m i a
autopista	a u̯ t o p i s t a
autorizar	a u̯ t o ɾ i θ a ɾ
autorizáu	a u̯ t o ɾ i θ a u̯
autoría	a u̯ t o ɾ i a
autónomu	a u̯ t o n o m u
avagosu	a b a ɡ o s u
avenencia	a b e n e n θ j a
avenir	a b e n i ɾ
averiguar	a b e ɾ i ɡ w a ɾ
averosu	a b e ɾ o s u
aveséu	a b e s e u̯
avientu	a b j e n t u
Avilés	a b i l e s
avisiegu	a b i s j e ɡ u
aviéspora	a b j e s p o ɾ a
avés	a b e s
axedrez	a ʃ e d ɾ e θ
axeitar	a ʃ e i̯ t a ɾ
axetivos	a ʃ e t i b o s
axetivu	a ʃ e t i b u
axudáu	a ʃ u d a u̯
axuntanza	a ʃ u n t a n θ a
axuntar	a ʃ u n t a ɾ
ayalga	a ʝ a l ɡ a
Ayande	a ʝ a n d e
ayenu	a ʝ e n u
Ayer	a ʝ e ɾ
ayeri	a ʝ e ɾ i
ayuda	a ʝ u d a
ayudar	a ʝ u d a ɾ
ayudáu	a ʝ u d a u̯
ayunáu	a ʝ u n a u̯
azafrán	a θ a f ɾ a n
azul	a θ u l
azuláu	a θ u l a u̯
Aída	a i d a
aínda	a i n d a
aínda	a i̯ n d a
añoranza	a ɲ o ɾ a n θ a
añu	a ɲ u
aúnda	a u n d a
aḥayadizu	a h a ʝ a d i θ u
aḥiyáu	a h i ʝ a u̯
babayosu	b a b a ʝ o s u
babayu	b a b a ʝ u
bable	b a b l e
bablista	b a b l i s t a
bablistes	b a b l i s t e s
backgammon	b a ɡ a m o n
balagar	b a l a ɡ a ɾ
baleiru	b a l e i̯ ɾ u
baleru	b a l e ɾ u
ballesta	b a ʎ e s t a
ballestes	b a ʎ e s t e s
banana	b a n a n a
bancu	b a n k u
bandera	b a n d e ɾ a
banduyu	b a n d u ʝ u
banzáu	b a n θ a u̯
banzón	b a n θ o n
baqueta	b a k e t a
barafunda	b a ɾ a f u n d a
barandiella	b a ɾ a n d j e ʎ a
baratiegu	b a ɾ a t j e ɡ u
barato	b a ɾ a t o
baratu	b a ɾ a t u
barba	b a ɾ b a
barcu	b a ɾ k u
bardín	b a ɾ d i n
bareru	b a ɾ e ɾ u
barraza	b a r a θ a
barriga	b a r i ɡ a
barón	b a ɾ o n
base	b a s e
basiliscu	b a s i l i s k u
batalla	b a t a ʎ a
bautismu	b a u̯ t i s m u
bautizar	b a u̯ t i θ a ɾ
bautizáu	b a u̯ t i θ a u̯
baxar	b a ʃ a ɾ
baxu	b a ʃ u
bayura	b a ʝ u ɾ a
beatu	b e a t u
bebediegu	b e b e d j e ɡ u
beber	b e b e ɾ
bebida	b e b i d a
bebáis	b e b a i̯ s
bebéis	b e b e i̯ s
bebía	b e b i a
bebíes	b e b i e s
bebíu	b e b i u
Beixín	b e i̯ ʃ i n
belarmín	b e l a ɾ m i n
Belize	b e l i θ e
Benasc	b e n a s k
benasqués	b e n a s k e s
bendicir	b e n d i θ i ɾ
beneficioso	b e n e f i θ j o s o
beneficiosu	b e n e f i θ j o s u
benéfico	b e n e f i k o
benéficu	b e n e f i k u
berenxena	b e ɾ e n ʃ e n a
berenxenal	b e ɾ e n ʃ e n a l
beriliu	b e ɾ i l j u
bermeyu	b e ɾ m e ʝ u
berriu	b e r j u
bestia	b e s t j a
besu	b e s u
bezu	b e θ u
biblioteca	b i b l j o t e k a
bicar	b i k a ɾ
biecu	b j e k u
Bielorrusia	b j e l o r u s j a
bienvenida	b j e m b e n i d a
bienveníes	b j e m b e n i e s
bienveníu	b j e m b e n i u
billón	b i ʎ o n
Bimenes	b i m e n e s
biográfica	b j o ɡ ɾ a f i k a
biográfico	b j o ɡ ɾ a f i k o
biográficos	b j o ɡ ɾ a f i k o s
biográficu	b j o ɡ ɾ a f i k u
bioloxía	b j o l o ʃ i a
bisarma	b i s a ɾ m a
bisgüela	b i s ɡ w e l a
bisgüeles	b i s ɡ w e l e s
bisgüelos	b i s ɡ w e l o s
bisgüelu	b i s ɡ w e l u
bisnieta	b i s n j e t a
bisnietes	b i s n j e t e s
bisnietos	b i s n j e t o s
bisnietu	b i s n j e t u
bisñeta	b i s ɲ e t a
bisñetes	b i s ɲ e t e s
bisñetos	b i s ɲ e t o s
bisñetu	b i s ɲ e t u
bixín	b i ʃ i n
bizcuechu	b i θ k w e t͡ʃ u
blasfemada	b l a s f e m a d a
blasfemáu	b l a s f e m a u̯
blezna	b l e θ n a
blima	b l i m a
blédena	b l e d e n a
boca	b o k a
bocamina	b o k a m i n a
bolenga	b o l e n ɡ a
bolicha	b o l i t͡ʃ a
bolígrafu	b o l i ɡ ɾ a f u
bomba	b o m b a
bomberu	b o m b e ɾ u
bombilla	b o m b i ʎ a
bonamente	b o n a m e n t e
bonandanza	b o n a n d a n θ a
bonanza	b o n a n θ a
bondosu	b o n d o s u
bondá	b o n d a
bonifica	b o n i f i k a
bonificáu	b o n i f i k a u̯
borlla	b o ɾ ʎ a
borra	b o r a
bota	b o t a
botar	b o t a ɾ
botica	b o t i k a
botiellu	b o t j e ʎ u
botiquería	b o t i k e ɾ i a
botánica	b o t a n i k a
botón	b o t o n
boxe	b o ʃ e
branu	b ɾ a n u
Brasil	b ɾ a s i l
braveza	b ɾ a b e θ a
brazalbu	b ɾ a θ a l b u
brazalete	b ɾ a θ a l e t e
brega	b ɾ e ɡ a
bregadera	b ɾ e ɡ a d e ɾ a
bregar	b ɾ e ɡ a ɾ
brenca	b ɾ e n k a
brillante	b ɾ i ʎ a n t e
brillar	b ɾ i ʎ a ɾ
brillosu	b ɾ i ʎ o s u
bronce	b ɾ o n θ e
brusa	b ɾ u s a
Bruxeles	b ɾ u ʃ e l e s
Bual	b w a l
buchaca	b u t͡ʃ a k a
budismu	b u d i s m u
buelu	b w e l u
buenu	b w e n u
bufanda	b u f a n d a
bufar	b u f a ɾ
Bulgaria	b u l ɡ a ɾ j a
bultu	b u l t u
bumerán	b u m e ɾ a n
buonu	b w o n u
burru	b u r u
buscáu	b u s k a u̯
Bélxica	b e l ʃ i k a
búcare	b u k a ɾ e
cabal	k a b a l
caballería	k a b a ʎ e ɾ i a
caballos	k a b a ʎ o s
caballu	k a b a ʎ u
cabeces	k a b e θ e s
cabeza	k a b e θ a
cabo	k a b o
cabra	k a b ɾ a
Cabrales	k a b ɾ a l e s
cabraliegu	k a b ɾ a l j e ɡ u
Cabranes	k a b ɾ a n e s
cabraniegu	k a b ɾ a n j e ɡ u
cabria	k a b ɾ j a
cabudañu	k a b u d a ɲ u
cacabués	k a k a b w e s
cacagüesa	k a k a ɡ w e s a
cacagüés	k a k a ɡ w e s
cacha	k a t͡ʃ a
cachador	k a t͡ʃ a d o ɾ
cachapierna	k a t͡ʃ a p j e ɾ n a
cachopu	k a t͡ʃ o p u
caciplar	k a θ i p l a ɾ
cactus	k a k t u s
cada	k a d a
cadabáu	k a d a b a u̯
cadena	k a d e n a
caderalgu	k a d e ɾ a l ɡ u
caducidá	k a d u θ i d a
cadávere	k a d a b e ɾ e
café	k a f e
cagaderu	k a ɡ a d e ɾ u
cagadoriu	k a ɡ a d o ɾ j u
cagapraos	k a ɡ a p ɾ a o s
cagar	k a ɡ a ɾ
cai	k a i̯
Caitanu	k a i̯ t a n u
calabaza	k a l a b a θ a
calabre	k a l a b ɾ e
calamar	k a l a m a ɾ
calandria	k a l a n d ɾ j a
calciu	k a l θ j u
calculáu	k a l k u l a u̯
calecer	k a l e θ e ɾ
caler	k a l e ɾ
caliente	k a l j e n t e
caligráfica	k a l i ɡ ɾ a f i k a
caligráficos	k a l i ɡ ɾ a f i k o s
caligráficu	k a l i ɡ ɾ a f i k u
callarota	k a ʎ a ɾ o t a
calláxina	k a ʎ a ʃ i n a
calor	k a l o ɾ
caloriegu	k a l o ɾ j e ɡ u
caltenencia	k a l t e n e n θ j a
caltriar	k a l t ɾ j a ɾ
calvu	k a l b u
calzada	k a l θ a d a
calzáu	k a l θ a u̯
camaleón	k a m a l e o n
camba	k a m b a
cambiar	k a m b j a ɾ
cambiáu	k a m b j a u̯
camentar	k a m e n t a ɾ
camineru	k a m i n e ɾ u
camisa	k a m i s a
camión	k a m j o n
campana	k a m p a n a
campus	k a m p u s
camín	k a m i n
can	k a n
canal	k a n a l
canciu	k a n θ j u
canción	k a n θ j o n
Candamu	k a n d a m u
candela	k a n d e l a
canga	k a n ɡ a
cangués	k a n ɡ e s
canoa	k a n o a
canonizáu	k a n o n i θ a u̯
canoxu	k a n o ʃ u
Cantabria	k a n t a b ɾ j a
cantador	k a n t a d o ɾ
cantaor	k a n t a o ɾ
cantariegu	k a n t a ɾ j e ɡ u
cantáu	k a n t a u̯
capar	k a p a ɾ
caparina	k a p a ɾ i n a
capiella	k a p j e ʎ a
capiellu	k a p j e ʎ u
capitalismu	k a p i t a l i s m u
capitalista	k a p i t a l i s t a
capitalistes	k a p i t a l i s t e s
capitalizáu	k a p i t a l i θ a u̯
capituláu	k a p i t u l a u̯
capiu	k a p j u
cara	k a ɾ a
carape	k a ɾ a p e
carauterizáu	k a ɾ a u̯ t e ɾ i θ a u̯
Caravia	k a ɾ a b j a
carbayu	k a ɾ b a ʝ u
carbayón	k a ɾ b a ʝ o n
