ⲁ⸗	ɑ
ⲁⲫⲉ	a f e
ⲁⲫⲣⲟⲇⲓⲧⲏ	a pʰ ɾ ɔ d iː t eː
ⲁⲫⲟⲧ	a pʰ o t
ⲁⲫⲟⲧ	a b u t
ⲁϣⲓⲗⲓ	a ʃ iː l ə
ⲁϣⲓⲣⲉ	a ʃ iː r ə
ⲁϣⲓⲣⲓ	a ʃ iː ɾ ə
ⲁϧⲟ	a x o ʔ
ⲁϧⲱⲙ	a x oː m
ⲁϩⲁ	a h a
ⲁϩⲏ	a h ɛː
ⲁϩⲓ	a ʔ h ə
ⲁϫⲱ	a t͡ʃʼ oː ʔ
ⲁϫⲡ	a c ə p
ⲁϫⲡ	a c p
ⲁϭⲟⲗⲧⲉ	a c ɔ l t ə
ⲁϭⲓⲛ	a t͡ʃʰ iː n
ⲁϭⲓⲛ	a ʃ i n
ⲁϭⲓⲛ	a t͡ʃ i n
ⲃⲏ	β eː ʔ
ⲃⲏⲃ	β eː β
ⲃⲏⲃ	β eː b
ⲃⲏⲃ	w a w
ⲃⲏⲃ	v i b
ⲃⲱⲕⲓ	β oː k ə
ⲃⲱⲕⲓ	w u k a
ⲃⲱⲕⲓ	v o k i
ⲃⲗⲗⲉ	β l̩ l ɛ
ⲃⲉⲗⲗⲉ	β ə l l e ʔ
ⲃⲉⲗⲗⲏ	b ə l l ɛ ʔ
ⲃⲗⲗⲏ	β l̩ l e
ⲃⲗⲗⲉⲉⲩ	β l̩ l ɛː u̯
ⲃⲁⲁⲙⲡⲉ	β a ʔ m p ə
ⲃⲛⲛⲉ	β ə n n e ʔ
ⲃⲉⲛⲓⲡⲉ	β ə n iː p ə
ⲃⲉⲛⲓⲡⲓ	β ə n iː p ə
ⲃⲟⲛϯ	β o n t ə
ⲃⲁⲁⲣⲉ	β a ʔ ɾ ə
ⲃⲁⲣⲓ	β a ʔ ɾ ə
ⲃⲁⲣⲓ	w a ʔ ɾ a
ⲃⲁⲣⲓ	v a r i
ⲃⲉⲣⲧ	β e ɾ t
ⲃⲉⲣⲧ	w a ɾ t
ⲃⲉⲣⲧ	v e r t
ⲃⲉⲣⲉϭⲱⲟⲩⲧ	β ə ɾ ə kʲ oː w t
ⲃⲣϭⲟⲟⲩⲧ	β ə ɾ kʲ o w t
ⲃⲉⲣⲉϭⲱⲟⲩⲧⲥ	β ə r ə t͡ʃʰ oː w t s
ⲃⲉⲣⲉϭⲱⲟⲩⲧⲥ	w a r a ʃ u w d s
ⲃⲉⲣⲉϭⲱⲟⲩⲧⲥ	w æ r æ ʃ u w d s
ⲃⲉⲣⲉϭⲱⲟⲩⲧⲥ	v e r e t͡ʃ o u t s
ⲃⲁⲥⲛϭ	β a s ə n kʲ
ⲃⲁⲥⲛϭ	β a s n kʲ
ⲃⲏⲧ	β ɛ t
ⲃⲁϣⲟⲩⲣ	β a ʃ uː r
ⲃⲁϩ	v a h
ⲃⲁϩⲁⲗ	b a h a l
ⲅⲉⲃ	ɡ ɛː b
ⲅⲩⲡⲧⲓⲟⲥ	ɡ u p t iː o s
ⲅⲁⲓⲟⲥ	ɡ ɑ j o s
ⲇⲁⲅⲱⲛ	d a ɡ ɔː n
ⲇⲏⲙⲏⲧⲏⲣ	d eː m eː t eː ɾ
ⲇⲓⲟⲛⲏⲥⲟⲥ	d iː ɔ n ɛː s ɔ s
ⲇⲓⲟⲛⲩⲥⲟⲥ	d iː ɔ n uː s ɔ s
ⲉ	e
ⲉ	ɛ
ⲉⲃⲓⲱ	ʔ ə β j oː ʔ
ⲉⲃⲁⲗ	ə β a l
ⲉⲃⲟⲗ	ə β o l
ⲉⲃⲟⲗ	a w u l
ⲉⲃⲟⲗ	e v o l
ⲉⲃⲓⲏⲛ	ʔ ə β j eː n
ⲉⲃⲓⲏⲛ	ə β j eː n
ⲉⲃⲣⲏϫ	ʔ ə β ɾ eː t͡ʃ
ⲉⲃⲣⲏϫ	ʔ a w ɾ a ɟ
ⲉⲃⲣⲏϫ	e v r i ɡ
ⲉⲃⲣⲏϭⲉ	ə β ɾ eː kʲ ə
ⲉⲑⲃⲉ	ʔ ə tʰ β e ʔ
ⲉⲑⲱⲙ	e tʰ oː m
ⲉⲑⲱⲙ	e d u m
ⲉⲑⲱⲙ	e θ o m
ⲉⲕⲓⲃⲉ	ʔ ə k iː β ə
ⲉⲕⲱⲧ	ə k oː t
ⲉⲗⲁⲁⲗⲓ	e l a ʔ a l i
ⲉⲗⲟⲟⲗⲉ	e l o ʔ o l ə
ⲉⲗϫⲱⲃ	ʔ ə l t͡ʃʼ oː b
ⲉⲗϫⲱⲃ	ə l t͡ʃʼ oː b
ⲉⲗϫⲱⲃ	a l ɟ u b
ⲉⲗϫⲱⲃ	e l d͡ʒ o b
ⲉⲗϭⲱⲃ	ʔ ə l kʲ oː β
ⲉⲗϭⲱⲃ	ə l kʲ oː β
ⲉⲙⲓ	e ʔ m ə
ⲉⲙⲟⲩ	ʔ ə m uː ʔ
ⲉⲙⲟⲩ	a m u
ⲉⲙⲟⲩ	e m u
ⲉⲙⲛⲁ	ʔ ə m n a ʔ
ⲉⲙⲛⲁ	ə m n a ʔ
ⲉⲙⲛⲟⲩⲧ	ə m n uː t
ⲉⲙⲛⲟⲩⲧ	a m n u d
ⲉⲙⲛⲟⲩⲧ	e m n u t
ⲉⲙⲛⲟⲩⲧ	e m n u t
ⲉⲙⲛⲟⲩϯ	ə m n uː t ə
ⲉⲙⲛⲟⲩϯ	a m n u d a
ⲉⲙⲛⲟⲩϯ	e m n u t i
ⲉⲙⲡⲣⲱ	ə m p ɾ oː ʔ
ⲉⲙⲥⲁϩ	ə m s a h
ⲉⲛⲑⲱⲣⲓ	ə n t oː ɾ i
ⲉⲛⲕⲟⲧ	ʔ ə n kʼ o t
ⲉⲛⲕⲟⲧ	e n k o t
ⲉⲡⲟⲓⲕⲓⲟⲛ	e p y k i o n
ⲉⲡⲟⲓⲕⲓⲟⲛ	ɛ p i kʲ o n
ⲉⲡⲟⲓⲕⲓⲟⲛ	ɛ b i kʲ o n
ⲉⲡⲏⲡ	ə p iː p
ⲉⲣⲃⲓⲛ	ə ɾ β iː n
ⲉⲣⲃⲓⲛ	a ɾ w i n
ⲉⲣⲃⲓⲛ	e r v i n
ⲉⲣⲃⲓⲥⲓ	ə ɾ β iː s ə
ⲉⲣⲃⲓⲥⲓ	a ɾ w i s a
ⲉⲣⲃⲓⲥⲓ	e r v i s i
ⲉⲣⲙⲁⲛⲟⲩⲃⲓⲥ	h ɛ r m a n u b i s
ⲉⲣⲙⲏⲥ	ɛ ɾ m eː s
ⲉⲣⲙⲏⲥ	ɛ ɾ m eː s
ⲉⲣⲙⲏⲥ	ɛ ɾ m eː s
ⲉⲣⲙⲁⲫⲣⲟⲇⲓⲧⲟⲥ	ɛː r m a p h ɾ ɔ d iː t ɔ s
ⲉⲣⲣⲟ	ə r r o ʔ
ⲉⲣⲱϯ	ə ɾ oː t ə
ⲉⲣⲱϯ	a ɾ u d a
ⲉⲣⲱϯ	e r o t i
ⲉⲣⲏⲩ	ʔ ə r eː w
ⲉⲥⲧⲓⲁ	ɛː s t i a
ⲉⲥⲟⲩⲏⲣⲉ	eː s u ɛː r ə
ⲉⲧⲱⲛ	ʔ ə t oː n
ⲉⲧⲱⲛ	ʔ ə tʼ oː n
ⲉⲧⲛⲁⲛⲟⲩϥ	ʔ ə t n a n uː f
ⲉϩⲉ	a h ɛː
ⲉϩⲟⲟⲩ	ʔ ə h o w
ⲉϫⲱⲣϩ	ə t͡ʃʼ oː ɾ h
ⲉϫⲱⲣϩ	a ɟ u ɾ h
ⲉϫⲱⲣϩ	e ɡ o r h
ⲉϫⲱⲣϩ	e ɡ o r
ⲍⲉⲟⲥ	z ə oː s
ⲍⲉⲩⲥ	s ə w s
ⲍⲉⲩⲥⲁⲙⲙⲱⲛ	z ə u s a m ɔ n
ⲏⲣⲁ	eː ɾ a
ⲏⲣⲁⲕⲗⲁⲥ	eː ɾ a k l a s
ⲏⲣⲁⲕⲗⲁⲥ	e ɾ a k l a s
ⲏⲥⲉ	eː s ə
ⲏⲥⲓ	eː s ə
ⲏⲫⲁⲓⲥⲧⲟⲥ	ɛː p h a i s t oː s
ⲏϫⲓ	eː t͡ʃ ə
ⲏϫⲓ	a ɟ a
ⲏϫⲓ	i d͡ʒ i
ⲏϭⲉ	eː kʲ ə
ⲑⲁⲓ	tʰ a i̯
ⲑⲟ	t o
ⲑⲣⲁⲛ	tʰ r a n
ⲑⲟⲩⲣⲏⲥ	tʰ uː ɾ eː s
ⲑⲁⲩⲇ	tʰ aː w d
ⲑⲟⲩⲏⲣⲓ	tʰ w eː ɾ ə
ⲑⲁⲩⲧ	tʰ aː w t
ⲑⲟⲟⲩⲧ	tʰ oː w t
ⲑⲟⲩⲱⲧ	tʰ w oː t
ⲑⲱⲟⲩⲧ	tʰ oː w t
ⲑⲱⲟⲩⲧ	d u w t
ⲑⲱⲟⲩⲧ	θ o u t
ⲑⲓϧⲓ	tʰ iː x ə
ⲑⲓϧⲓ	d i x a
ⲑⲓϧⲓ	θ i x i
ⲉⲓⲉ	j e ʔ
ⲉⲓⲇⲱⲗⲟⲛ	ʔ iː d ɔː l o n
ⲉⲓⲇⲱⲗⲟⲛ	ʔ ɛ ɪ̯ d ɔː l o n
ⲓⲇⲱⲗⲟⲛ	ʔ iː d ɔː l o n
ⲓⲗⲁⲗⲓ	i l a ʔ a l i
ⲉⲓⲟⲟⲣ	j ɔ ʔ r
ⲓⲁⲣⲟ	j a ɾ o ʔ
ⲓⲁⲣⲟ	j a ɾ u ʔ
ⲓⲁⲣⲟ	j æ ɾ u ʔ
ⲓⲁⲣⲟ	j a r o
ⲉⲓⲉⲣⲟ	j ə ɾ o ʔ
ⲓⲉⲣⲁⲕⲗⲁⲥ	j ɛː ɾ a k l a s
ⲓⲣⲓⲥ	i ɾ i s
ⲓⲱⲓⲁⲥ	j oː j ɑ s
ⲓⲱⲥⲏⲡ	i ɔː s ɛ̌ː p
ⲓⲱⲥⲏⲫ	i ɔː s ɛ̌ː pʰ
ⲓⲱⲥⲏⲫ	j o s æ b
ⲓⲱⲧ	j oː t
ⲓⲱⲧ	j oː t
ⲓⲟϯ	j o ʔ t ə
ⲓⲧⲉⲛ	ʔ iː t ə n
ⲓⲧⲉⲛ	iː t ə n
ⲉⲓⲟⲩⲗ	ə j uː l
ⲓⲱⲭⲣⲱⲟⲛ	j o k ɾ oː m
ⲓϧ	ʔ iː x
ⲓϧ	ɪ x
ⲕⲁⲓ	k ɛ
ⲕⲓⲃⲉ	k iː β ə
ⲕⲗⲏ	k l eː ʔ
ⲕⲁⲗⲗⲁⲉⲓⲛⲟⲥ	k ɑ l l ɑ j n o s
ⲕⲉⲗⲗⲟⲩϫ	k ə l l uː t͡ʃ
ⲕⲟⲩⲗⲱϫⲉ	k uː l oː t͡ʃ ə
ⲕⲏⲙⲉ	k eː m ə
ⲕⲏⲙⲓ	k e m i
ⲕⲟⲙⲏⲥ	k o m ɛː s
ⲕⲙⲧⲟ	k m̩ t o ʔ
ⲕⲣⲟⲕⲟⲥ	k r oː k oː s
ⲕⲣⲱⲛⲟⲥ	k r oː n o s
ⲕⲏⲣⲩⲝ	k ɛː r u k s
ⲕⲉⲣⲥⲝ	k ɛ r s k s
ⲕⲟⲣⲧⲓⲙⲟⲥ	k o ɾ d ɪ m o s
ⲕⲉⲥⲧⲱⲛⲁⲣⲓⲟⲥ	k e s t ɔː n aː r i j o s
ⲕⲁⲥⲧⲣⲟⲛ	k a s t r ɔ n
ⲕⲁϯ	kʼ a ʔ t ə
ⲕⲁϯ	ɡ a ʔ d a
ⲕⲁϯ	k a t i
ⲕⲁϣ	k a ʃ
ⲕⲁϩⲓ	kʼ a ʔ h ə
ⲕⲁϩⲓ	k a ʔ h a
ⲕⲁϩⲓ	k a h i
ⲕⲁϩⲓⲣⲏ	kʼ a ʔ h ə ɾ eː ʔ
ⲕⲁϩⲓⲣⲏ	ɡ a ʔ h a ɾ a
ⲕⲁϩⲓⲣⲏ	k a h i r i
ⲕⲟⲩϫⲓ	kʼ uː t͡ʃ ə
ⲕⲟⲩϫⲓ	k u ɟ i
ⲕⲟⲩϫⲓ	k u d͡ʒ i
ⲗⲁ	l a ʔ
ⲗⲁⲃⲟⲓ	l a β ɔ j
ⲗⲁⲙⲡⲓ	l a m p ə
ⲗϧⲏ	ʔ ə l x eː ʔ
ⲗⲱⲓϩⲓ	l oː j h ə
ⲗⲱⲓϩⲓ	l u j h a
ⲗⲱⲓϩⲓ	l o ɪ̯ h i
ⲙⲉⲉⲓ	m e e j
ⲙⲉⲓ	m e j ~ m e ʔ
ⲙⲉⲓ	m a j ~ m a ʔ
ⲙⲉⲓ	m e ɪ̯
ⲙⲓⲑⲣⲁⲥ	m i tʰ r a s
ⲙⲓⲕⲓ	m iː k ə
ⲙⲟⲩⲕⲓ	m uː k ə
ⲙⲕⲁϩ	ə m kʼ a h
ⲙⲕⲁϩ	a m k a h
ⲙⲕⲁϩ	e m k a h
ⲙⲕⲁϩ	e m k a
ⲙⲓⲛ	m iː n
ⲙⲛⲁⲓ	ə m n a i̯
ⲙⲛⲁⲓ	a m n a i̯
ⲙⲛⲁⲓ	e m n a ɪ̯
ⲙⲁⲛⲙⲟⲛ	m ɑ n m o n
ⲙⲉⲛⲣⲓⲧ	m ə n ɾ iː t
ⲙⲉⲛⲣⲓⲧ	m a n ɾ i t
ⲙⲉⲛⲣⲓⲧ	m e n r i t
ⲙⲉⲛⲣⲁϯ	m ə n ɾ a ʔ t ə
ⲙⲛⲧⲣⲙⲛⲕⲏⲙⲉ	m ə n t ɾ ə m ə n k eː m ə
ⲙⲡϥⲥⲱⲧⲙ	m̩ p ə f s ɔː t m̩
ⲙⲟⲩⲣ	m uː r
ⲙⲉⲣⲓ	m e ʔ r ə
ⲙⲣⲱ	ə m ɾ oː ʔ
ⲙⲣⲓⲥ	m̩ r i s
ⲙⲁⲓⲟⲥ	m ɑ j o s
ⲙⲓⲟⲥ	m i oː s
ⲙⲁⲥⲓ	m a ʔ s ə
ⲙⲓⲥⲉ	m iː s ə
ⲙⲓⲥⲓ	m iː s ə
ⲙⲟⲩⲥⲁ	m u s a
ⲙⲁⲓⲧ	m a i̯ t
ⲙⲏⲧ	m eː t
ⲙⲏⲧ	m a t
ⲙⲏⲧ	m i t
ⲙⲱⲓⲧ	m oː i̯ t
ⲙⲱⲓⲧ	m u i̯ t
ⲙⲱⲓⲧ	m o i t
ⲙⲁⲧⲁⲓ	m a t a j
ⲙⲁⲧⲟⲓ	m a t ɔ j
ⲙⲟⲩϯ	m uː t ə
ⲙⲉⲧⲣⲉⲙⲛⲭⲏⲙⲓ	m ə t ɾ ə m ə n kʰ eː m ə
ⲙⲁⲩ	m a w
ⲙⲁⲩ	m a v
ⲙⲟⲟⲩ	m o w
ⲙⲱⲟⲩ	m oː w
ⲙⲱⲟⲩ	m u w
ⲙⲱⲟⲩ	m o u
ⲙⲟⲩⲉⲓ	m uː j
ⲙⲟⲩⲓ	m uː j
ⲙⲟⲩⲓ	m uː ʔ
ⲙⲁⲟⲩⲥⲉ	m a w s ə
ⲙⲫⲟⲟⲩ	ə m pʰ o w
ⲙⲫⲟⲟⲩ	a m b u w
ⲙⲫⲟⲟⲩ	e m f o ʔ w
ⲙⲫⲟⲟⲩ	e m f o w
ⲙⲟϣⲓ	m o ʔ ʃ ə
ⲙⲟⲟϣⲉ	m o ʔ o ʃ e
ⲙⲁϣϫ	m a ʃ t͡ʃ
ⲙⲁⲁϫⲉ	m a ʔ t͡ʃ ə
ⲙⲉϫⲉ	m e e t͡ʃ e
ⲙⲉⲉϫⲉ	m e e t͡ʃ e
ⲙϫⲱⲗ	m̩ t͡ʃ o l
ⲙⲉϭⲧⲱⲗ	m ə c t o l
ⲛⲁ⸗	n a
ⲛⲁⲓ	n a i̯
ⲛⲏⲃ	n eː b
ⲛⲏⲃ	n a b
ⲛⲏⲃ	n i b
ⲛⲟⲃⲓ	n ɔ v i
ⲛⲉⲃⲑⲱ	n ɛ β t h o
ⲛⲓⲃⲉⲛ	n iː β ə n
ⲛⲓⲃⲉⲛ	n i w a n
ⲛⲓⲃⲉⲛ	n i v e n
ⲛⲑⲛⲁⲩ	ʔ ə n tʰ n a w
ⲛⲑⲛⲁⲩ	ʔ ə n d n a w
ⲛⲑⲛⲁⲩ	e n e θ n a ʊ̯
ⲛⲑⲟⲥ	ʔ ə n tʰ o s
ⲛⲑⲱⲧⲉⲛ	ʔ ə n tʰ oː t ə n
ⲛⲑⲱⲟⲩ	ʔ ə n tʰ oː w
ⲛⲑⲟϥ	n̩ tʰ ɔ f
ⲛⲓⲕⲏ	n iː k ɛ
ⲛⲕⲟⲧⲕ	ʔ ə n k o ʔ t ə k
ⲛⲉⲙ	n ə m
ⲛⲟⲩⲛ	n uː n
ⲛⲟⲩⲣⲉ	n uː ɾ ə
ⲛⲟⲩⲣⲓ	n uː ɾ ə
ⲛⲉⲧⲁ	n ə tʼ a ʔ
ⲛⲉⲧⲟ	n ə tʼ o ʔ
ⲛⲟⲩⲧⲉ	n uː t ə
ⲛⲟⲩⲧⲉ	n uː t e
ⲛⲟⲩϯ	n uː t ə
ⲛⲟⲩϯ	n u d i
ⲛⲟⲩϯ	n u t i
ⲛⲟⲩⲧⲙ	n uː t ə m
ⲛⲟⲩⲧⲉⲙ	n uː t ə m
ⲛⲧⲱⲣⲉ	n t oː ɾ ə
ⲛⲏⲉⲧϣⲟⲡ	n eː ʔ ə t ʃ o p
ⲛⲟⲩϥⲉ	n uː f ə
ⲛⲉϥⲑⲏⲙ	n eː f tʰ ɛː m
ⲛⲟϥⲣⲓ	n o f ɾ ə
ⲛⲟϥⲣⲓ	n u f ɾ a
ⲛⲟϥⲣⲓ	n o f r i
ⲛⲉϥⲧⲏⲙ	n e f t ɛː m
ⲛⲁϩⲃⲓ	n a h ʔ b i
ⲛⲉϩⲃⲓ	n e h ʔ b i
ⲛⲟⲩϩⲙ	n uː h ə m
ⲛⲁϫϩⲉ	n a t͡ʃ h ə
ⲛⲁϫϩⲓ	n a t͡ʃ h ə
ⲛⲁϫϩⲓ	n a ɟ h a
ⲛⲁϫϩⲓ	n a d͡ʒ h i
ⲟⲃⲓⲟⲛ	o b j o n
ⲟⲉⲓⲕ	o i̯ k
ⲟⲙⲓ	o ʔ m ə
ⲡⲏ	p eː ʔ
ⲡⲉⲃⲓϫ	b ə b iː kʲ
ⲡⲗⲏⲧⲱⲣⲓⲱⲛ	p l a i t ɔː r i o n
ⲡⲓⲛ	p iː n
ⲡⲛⲉⲩⲙⲁ	p n ɛ w m a
ⲡⲁⲡⲉ	p a p ə
ⲡⲉⲣⲓⲇⲱⲛ	p ɛ r i d oː n
ⲡⲁⲣⲑⲉⲛⲱⲛ	p a r tʰ ə n ɔː n
ⲡⲁⲣⲙϩⲟⲧⲡ	p a r m̩ h ɔ t p
ⲡⲉⲣⲥⲉⲫⲟⲛⲏ	p e r s e pʰ o n ɛː
ⲡⲣⲁⲓⲧⲱⲣⲓⲟⲛ	p r a i t ɔː r i o n
ⲡⲓⲣⲱⲟⲩ	p ə ɾ oː u̯
ⲡⲟⲥⲓⲇⲱⲛ	p ɔ s iː d oː n
ⲡⲟⲥⲓⲧⲱⲛ	p ɔ s iː d oː n
ⲡⲓⲧⲉ	p iː t ə
ⲡⲉⲧⲃⲉ	p ɛ t b ɛ
ⲡⲉⲧⲣⲟⲥ	p e t r o s
ⲡⲉⲧⲟⲩⲁⲁⲃ	p ə t w a ʔ β
ⲡⲉⲧⲉⲫⲣⲏ	p ə t ə pʰ ɾ eː ʔ
ⲡⲧⲁϩ	p t a h
ⲡⲁⲫⲛⲟⲩϯ	p a pʰ n uː t ə
ⲡⲓϣⲱⲓ	p ə ʃ oː i̯
ⲡⲓϣⲉⲛⲛⲟⲩϥⲓ	p ə ʃ ə n n uː f ə
ⲡⲁϣⲟⲛϯ	p a ʃ o n t ə
ⲡⲱϩⲥ	p oː h ə s
ⲡⲉϫⲁ⸗	p e d͡ʒ a
ⲣⲏ	r eː ʔ
ⲣⲟ	r o ʔ
ⲣⲁⲕⲟϯ	ɾ a kʼ o ʔ t ə
ⲣⲁⲕⲟϯ	ɾ a k u d a
ⲣⲁⲕⲟϯ	r a k o t i
ⲣⲁⲙⲁⲟ	r a m a ɔ
ⲣⲱⲙⲉ	r ɔː m e
ⲣⲱⲙⲉ	r ɔː m ə
ⲣⲱⲙⲏ	r ɔː m ɛː
ⲣⲱⲙⲓ	ɾ oː m ə
ⲣⲱⲙⲓ	ɾ u m a
ⲣⲱⲙⲓ	r o m i
ⲣⲙⲙⲁⲟ	r m̩ m a ʔ ɔ
ⲣⲉⲙⲛⲭⲏⲙⲓ	ɾ ə m ə n kʰ eː m ə
ⲣⲉⲙⲛϫⲱⲓⲗⲓ	ɾ ə m ə n t͡ʃʼ oː i̯ l ə
ⲣⲟⲙⲡⲉ	ɾ o m p ə
ⲣⲟⲙⲡⲓ	ɾ o m p ə
ⲣⲟⲙⲡⲓ	ɾ u m b a
ⲣⲟⲙⲡⲓ	r o m p i
ⲣⲙⲟⲩⲧⲉ	ə r m o u t e
ⲣⲙⲟⲩϯ	ə r m o u t i
ⲣⲣⲟ	ə r r o ʔ
ⲣⲣⲱ	ə r r oː ʔ
ⲣⲟⲉⲓⲥ	ɾ o j s
ⲣⲱϧⲓ	r oː x ə
ⲣⲟⲩϩⲓ	ɾ uː h ə
ⲣⲟⲩϩⲓ	ɾ u h a
ⲣⲟⲩϩⲓ	r u h i
ⲣⲱϩⲉ	r oː h ə
ⲥⲁ	s a ʔ
ⲥⲉ	s i
ⲥⲏ	s ɛː
ⲥⲃⲱ	ə s β oː ʔ
ⲥⲃⲱ	s β oː ʔ
ⲥⲃⲱ	a s w u
ⲥⲃⲱ	s w u
ⲥⲃⲱ	e s v o
ⲥⲱⲃⲉ	s oː β ə
ⲥⲱⲃⲓ	s oː β ə
ⲥⲟⲃϯ	s o β t ə
ⲥⲑⲟⲓ	ə s tʰ o i̯
ⲥⲑⲟⲓ	s tʰ o i̯
ⲥⲑⲟⲓ	a s d u i̯
ⲥⲑⲟⲓ	s d u i̯
ⲥⲑⲟⲓ	e s θ o ɪ̯
ⲥⲁⲑⲉⲣⲓ	s a tʰ e ʔ ɾ ə
ⲥⲁⲑⲉⲣⲓ	s a d a ʔ ɾ a
ⲥⲁⲑⲉⲣⲓ	s a θ e r i
ⲥⲁⲕ	s a k
ⲥⲟⲕ	s o k
ⲥⲓⲙ	s iː m
ⲥⲏⲓⲛⲓ	s æ j n i
ⲥⲱⲛⲓ	s oː n ə
ⲥⲱⲛⲓ	s u n a
ⲥⲱⲛⲓ	s o n i
ⲥⲛⲁⲩ	s n a w
ⲥⲛⲁⲩ	s n a w
ⲥⲛⲁⲩ	e s n a v
ⲥⲛⲉⲩ	s n e w
ⲥⲛⲁⲩϩ	s n a u̯ h
ⲥⲁⲁⲛϣ	s a ʔ a n ʃ
ⲥⲛⲁϥ	s n a f
ⲥⲛⲟϥ	s n ɔ f
ⲥⲁⲣⲁⲕⲱϯ	s a ɾ a kʼ oː t ə
ⲥⲁⲣⲁⲡⲓⲥ	s a ɾ a p iː s
ⲥⲁⲣⲁⲡⲓⲥ	s a ɾ a p iː s
ⲥⲉⲣⲁⲡⲓⲥ	s ɛ ɾ a p iː s
ⲥⲁⲣⲡⲱⲧ	s a ɾ p oː t
ⲥⲟⲣⲧ	s ɔ r t
ⲥⲁⲣⲁϭⲱⲟⲩϣ	s a ɾ a t͡ʃʰ oː w ʃ
ⲥⲁⲣⲁϭⲱⲟⲩϣ	s a ɾ a kʲ oː w ʃ
ⲥⲁⲣⲁϭⲱⲟⲩϣ	s a ɾ a ʃ u w ʃ
