'da	d a
bagimi	b ɐ ɡ iː m i
bagina	b aː ɡ i n a
bagina	b ɐ ɡ iː n a
bagis	b ɐ ɡ ɛ s
bagita	b aː ɡ i t a
bagita	b ɐ ɡ iː t a
bagitayo	b aː ɡ i t ɐ j o
bagitayo	b aː ɡ i t ɐ j u
bagitayo	b ɐ ɡ i t a j o
bagitayo	b ɐ ɡ i t a j u
bagitayo	b ɐ ɡ iː t a j o
bagitayo	b ɐ ɡ iː t a j u
bagius	b ɐ ɡ j u s
bagiyo	b aː ɡ i j o
bagiyo	b aː ɡ i j u
bagiyo	b ɐ ɡ iː j o
bagiyo	b ɐ ɡ iː j u
bagkong	b ɐ ɡ k u ŋ
bagyo	b ɐ ɡ j o
bain	b ɐ ʔ i n
baka	b ɐ k a
bakag	b ɐ k a ɡ
bakal	b ɐ k a l
bakia	b ɐ k j a
baknang	b ɐ k n a ŋ
bakud	b ɐ k u d
bakuna	b ɐ k u n a
bakwit	b ɐ k w i t
balang	b ɐ l a ŋ
balaniog	b ɐ l ɐ ɲ o ɡ
balasang	b ɐ l a s a ŋ
balatong	b ɐ l a t o ŋ
balaw	b ɐ l a ʊ̯
balay	b ɐ l a ɪ̯
balbalay	b ɐ l b ɐ l a ɪ̯
balete	b ɐ l ɛ t ɛ
baliad	b ɐ lʲ a d
balibad	b ɐ l i b a d
baligawgaw	b ɐ l ɪ ɡ a u ɡ a u
balik	b ɐ l i k
balikas	b ɐ l ɪ k a s
balinghoy	b ɐ l i ŋ h o ɪ̯
balla	b ɐ l l a
balligi	b ɐ l l i ɡ i
balo	b ɐ l o
balon	b a l o n
banag	b ɐ n a ɡ
bandera	b ɐ n d ɛ ɾ a
bandus	b ɐ n d o s
bangag	b ɐ ŋ a ɡ
bangar	b ɐ ŋ a ɾ
bangir	b a ŋ ɛ ɾ
bangka	b ɐ ŋ k a
bangkay	b ɐ ŋ k a ɪ̯
bangking	b ɐ ŋ k i ŋ
banglo	b ɐ ŋ l o
baniaga	b ɐ n j a ɡ a
banias	b ɐ nʲ a s
bannawag	b ɐ n n a w a ɡ
bannug	b ɐ n n o ɡ
bantay	b ɐ n t a ɪ̯
bantayan	b ɐ n t a j a n
bao	b ɐ ʔ o
baon	b ɐ o n
baot	b a ʔ o t
barato	b ɐ ɾ a t o
barbas	b ɐ ɾ b a s
barekbek	b ɐ ɾ ɛ k b ɛ k
barekbek	b ɐ ɾ ɯ k b ɯ k
baro	b ɐ ɾ o
barot	b a ɾ o t
bartek	b ɐ ɾ t ɛ k
bartek	b ɐ ɾ t ɯ k
basa	b ɐ s a
baskag	b ɐ s k a ɡ
basol	b ɐ s o l
bassit	b ɐ s s i t
bassit	b ɐ t t i t
basura	b ɐ s u ɾ a
batea	b ɐ t e a
bateng	b ɐ t ɛ ŋ
bateng	b ɐ ɾ t ɯ ŋ
batikuleng	b ɐ t ɪ k ʊ l ɛ ŋ
batikuleng	b ɐ t ɪ k ʊ l ɯ ŋ
batil	b ɐ t i l
batok	b ɐ t o k
bawang	b ɐ w a ŋ
bawi	b a w i
bayabas	b ɐ j a b a s
bayad	b ɐ j a d
bayada	b ɐ j a d a
bayawak	b ɐ j a w a k
bayuot	b ɐ j u ʔ u t
beh	b e h
behikulo	b e h i k u l o
beinte	b e ɪ̯ n t e
beinte	b e ʔ i n t e
bendision	b e n d i ʃ o n
bibig	b i b i ɡ
biblioteka	b i b l i o t e k a
bilanggo	b i l ɐ ŋ ɡ o
birtud	b i ɾ t u d
bittaog	b i t t ɐ ʔ o ɡ
bituen	b i t w e n
bituen	b i t w ɯ n
bitwen	b i t w e n
bitwen	b i t w ɯ n
bobeda	b o b e d a
buaya	b w ɐ j a
bubon	b u b o n
budo	b u d o
buelta	b w e l t a
bugaso	b u ɡ a s o
bugnay	b u ɡ n a ɪ̯
buis	b w i s
bukal	b u k a l
bukbok	b ʊ k b o k
buklaw	b u k l a ʊ̯
bulakbol	b u l ɐ k b o l
bulan	b u l a n
bullo	b ʊ l l o
bulong	b u l o ŋ
buok	b u ʔ o k
buwaya	b u w a j a
calis	k ɐ l i s
daak	d ɐ ʔ a k
daan	d ɐ ʔ ɐ n
dado	d ɐ d o
daeg	d ɐ ʔ ɛ ɡ
daeg	d ɐ ʔ ɯ ɡ
daga	d ɐ ɡ a
dagidi	d ɐ ɡ ɪ d i
dagidiay	d ɐ ɡ i d i j a ɪ̯
dagidiay	d ɐ ɡ i d͡ʒ a ɪ̯
dagijai	d ɐ ɡ i d͡ʒ a ɪ̯
dagitay	d ɐ ɡ ɪ t a i
dagsen	d ɐ ɡ s e n
dagsen	d ɐ ɡ s ɯ n
dagum	d ɐ ɡ u m
dagus	d a ɡ o s
dagus	d ɐ ɡ o s
daig	d a ʔ ɛ ɡ
daing	d a ʔ ɛ ŋ
dait	d ɐ ʔ i t
dakami	d ɐ k ɐ m i
dakap	d ɐ k a p
dakay	d ɐ x a ɪ̯
dakayo	d ɐ x ɐ j o
dakayo	d ɐ x ɐ j u
dakkel	d ɐ k k e l
dakkel	d ɐ k k ɯ l
daklis	d ɐ k l i s
dakulap	d ɐ k u l a p
dalan	d ɐ l a n
dalayap	d ɐ l a j a p
dalem	d ɐ l e m
dalem	d ɐ l ɯ m
dalos	d ɐ l o s
dalus	d ɐ l u s
damag	d ɐ m a ɡ
danum	d ɐ n u m
dapo	d ɐ p o
dara	d ɐ ɾ a
darat	d ɐ ɾ a t
data	d aː t a
data	d ɐ t a
datayo	d ɐ t ɐ j o
datayo	d ɐ t ɐ j u
daya	d ɐ j a
dayag	d ɐ j a ɡ
dayaw	d a j a u
daydiay	d a i d͡ʒ a i
debosion	d e b o ʃ o n
delikado	d e l i k a d o
demonio	d e m o ɲ o
dengdeng	d e ŋ d e ŋ
dengdeng	d ɯ ŋ d e ŋ
diding	d i d i ŋ
dies	d i j e s
dies	d͡ʒ e s
digo	d ɪ ɡ u
digos	d i ɡ o s
digra	d i ɡ ɾ a
digus	d i ɡ o s
diksionario	d i k ʃ o n a ɾ j o
dila	d i l a
dili	d i l i
dinengdeng	d i n e ŋ d e ŋ
dinengdeng	d i n ɯ ŋ d e ŋ
disinuebe	d i s i n w e b e
disiotso	d i s i ʔ o t͡ʃ o
disisais	d i s i s a ʔ i s
disisiete	d i s i s i j e t e
disisiete	d i s i ʃ e t e
disnugen	d i s n u ɡ e n
disnugen	d i s n u ɡ ɯ n
distansia	d i s t a n ʃ a
dominggo	d o m i ŋ ɡ o
dos	d o s
dose	d o s e
dre	d ɾ e
dua	d w ɐ
duapulo	d w ɐ p u l o
dudon	d u d o n
duggong	d u ɡ ɡ o ŋ
dugyot	d u ɡ j o t
duling	d ʊ l i ŋ
dundon	d u n d o n
duog	d u ʔ o ɡ
ebolusion	ʔ e b o l u ʃ o n
edukasion	ʔ e d u k a ʃ o n
edukasion	ʔ e d u k ɐ s i j o n
eleksion	ʔ ɛ l ɛ k ʃ o n
elepante	ʔ e l e p a n t e
eramienta	ʔ e ɾ ɐ m j e n t a
eropuerto	ʔ e ɾ o p w e ɾ t o
espada	ʔ e s p a d a
estimar	ʔ e s t i m a ɾ
gabat	ɡ ɐ b a t
gabay	ɡ ɐ b a ɪ̯
gaddil	ɡ ɐ d d i l
gadia	ɡ ɐ d͡ʒ ɐ
gading	ɡ ɐ d i ŋ
galod	ɡ ɐ l o d
gamed	ɡ ɐ m e d
gamed	ɡ ɐ m ɯ d
garami	ɡ ɐ ɾ a m i
garod	ɡ ɐ ɾ o d
garud	ɡ ɐ ɾ u d
gasut	ɡ ɐ s u t
gayaman	ɡ ɐ j a m a n
gayyem	ɡ a ɪ̯ j e m
gayyem	ɡ a ɪ̯ j ɯ m
gimong	ɡ i m o ŋ
gingined	ɡ i ŋ i n e d
gingined	ɡ i ŋ i n ɯ d
grasia	ɡ ɾ ɐ ʃ a
gripo	ɡ ɾ i p o
gubat	ɡ u b a t
gurigor	ɡ u ɾ i ɡ o ɾ
ha'n	h a n
haan	h ɐ ʔ a n
idiay	ʔ i d d͡ʒ a ɪ̯
idiay	ʔ i d i j a ɪ̯
idiay	ʔ i d͡ʒ a ɪ̯
iha	ʔ i h a
iho	ʔ i h o
ijy	ʔ i d͡ʒ a ɪ̯
ikan	ʔ i k a n
ikit	ʔ i k i t
ili	ʔ i l i
immuko	ʔ i m m u k o
impierno	ʔ i m p j e ɾ n o
inapoy	ʔ i n a p o ɪ̯
innem	ʔ i n n e m
inumen	ʔ i n u m e n
inumen	ʔ i n u m ɯ n
ipes	ʔ i p e s
ipes	ʔ i p ɯ s
isem	ʔ i s e m
isem	ʔ i s ɯ m
istoria	ʔ i s t o ɾ j ɐ
isuda	i s uː d a
isuna	i s uː n a
iyot	ʔ i j o t
jy	d͡ʒ a ɪ̯
kaamaan	k ɐ ɐ m a ɐ n
kaano	k ɐ a n o
kaasiannakami	k ɐ s j a n n ɐ k ɐ m i
kaasiannakami	k ɐ ʃ a n n ɐ k ɐ m i
kabalio	k ɐ b a l j o
kabos	k ɐ b o s
kabugaw	k ɐ b ʊ ɡ a u
kabus	k ɐ b u s
kabusor	k ɐ b ʊ s u r
kadakami	k ɐ d ɐ x ɐ m i
kadakayo	k ɐ d ɐ k ɐ j u
kadakayo	k ɐ d ɐ x ɐ j o
kadakuada	k ɐ d ɐ k w aː d a
kadata	k ɐ d ɐ t a
kadatayo	k ɐ d ɐ t ɐ j o
kadatayo	k ɐ d ɐ t ɐ j u
kagaw	k ɐ ɡ a ʊ̯
kalamansi	k ɐ l ɐ m a n s i
kalding	k ɐ l d i ŋ
kalendario	k ɐ l e n d a ɾ j o
kampana	k ɐ m p a n a
kampilan	k ɐ m p i l a n
kamposanto	k ɐ m p o s a n t o
kanawan	k ɐ n ɐ w a n
kaniada	k ɐ n j aː d a
kaniada	k ɐ ɲ aː d a
kaniak	k ɐ n j a k
kaniak	k ɐ ɲ a k
kaniam	k ɐ n j a m
kaniam	k ɐ ɲ a m
kaniami	k ɐ n j aː m i
kaniami	k ɐ ɲ aː m i
kaniana	k ɐ n j aː n a
kaniana	k ɐ ɲ aː n a
kaniata	k ɐ n j aː t a
kaniata	k ɐ ɲ aː t a
kaniatayo	k ɐ n j a t ɐ j o
kaniatayo	k ɐ n j a t ɐ j u
kaniatayo	k ɐ ɲ a t ɐ j o
kaniatayo	k ɐ ɲ a t ɐ j u
kaniayo	k ɐ n j aː j o
kaniayo	k ɐ n j aː j u
kaniayo	k ɐ ɲ aː j o
kaniayo	k ɐ ɲ aː j u
kanigid	k ɐ n i ɡ i d
kanta	k ɐ n t a
kantaen	k ɐ n t ɐ e n
kantaen	k ɐ n t ɐ ɯ n
kanyayo	k ɐ n j a j o
kapas	k ɐ p a s
kapilia	k ɐ p i ʎ ɐ
karabukob	k ɐ ɾ ɐ b u k o b
kararag	k ɐ ɾ a ɾ a ɡ
kararua	k ɐ ɾ ɐ ɾ w ɐ
kararwa	k ɐ ɾ ɐ ɾ w ɐ
karerakit	k ɐ ɾ e ɾ a k i t
kasinsin	k ɐ s i n s i n
kaspagarigan	k ɐ s p ɐ ɡ ɐ ɾ i ɡ a n
katorse	k ɐ t o ɾ s e
kawes	k ɐ w e s
kawit	k ɐ w i t
kayas	k ɐ j a s
kayat	k ɐ j a t
kenkuana	k ɛ n k w aː n a
kenkuana	k ɛ ŋ k w aː n a
kenkuana	k ɯ n k w aː n a
kenkuana	k ɯ ŋ k w aː n a
kiling	k i l i ŋ
kinse	k i n s e
kisame	k i s ɐ m e
koleksion	k o l e k s i j o n
koleksion	k o l e k ʃ o n
komedia	k o m e d͡ʒ ɐ
komediante	k o m e d͡ʒ a n t e
komunikasion	k o m u n i k a ʃ o n
komunikasion	k o m u n i k ɐ s i j o n
konsiensia	k o n ʃ e n ʃ a
koriente	k o ɾ j e n t e
kotse	k o t͡ʃ e
krimen	k ɾ i m e n
kua	k w a
kuak	k w a k
kuarta	k w ɐ ɾ t a
kuarto	k w ɐ ɾ t o
kuatro	k w ɐ t ɾ o
kueba	k w e b a
kukua	k u k w a
kukuada	k u k w aː d a
kukuak	k u k w a k
kukuam	k u k w a m
kukuami	k u k w aː m i
kukuana	k u k w aː n a
kukuata	k u k w aː t a
kukuatayo	k u k w aː t ɐ j o
kukuatayo	k u k w aː t ɐ j u
kukuayo	k u k w aː j o
kukuayo	k u k w aː j u
kulalanti	k u l ɐ l a n t i
kulambo	k u l ɐ m b o
kuneng	k u n e ŋ
kurba	k u ɾ b a
kuripot	k u ɾ i p o t
kuto	k u t o
kutsara	k u t͡ʃ a ɾ a
kutsarita	k u t͡s ɐ ɾ i t a
kutsarita	k u t͡ʃ ɐ ɾ i t a
kutsilio	k u t͡ʃ i ʎ o
labaha	l ɐ b a h a
ladawan	l ɐ d a w a n
ladingit	l ɐ d i ŋ i t
lako	l ɐ k o
laktaw	l ɐ k t a ʊ̯
lampara	l ɐ m p ɐ ɾ a
lampin	l ɐ m p i n
landok	l ɐ n d o k
langit	l ɐ ŋ i t
langoy	l ɐ ŋ o ɪ̯
lansangan	l ɐ n s a ŋ a n
lanseta	l ɐ n s e t a
lapayag	l ɐ p a j a ɡ
lasona	l ɐ s o n a
laud	l ɐ ʔ u d
lawas	l ɐ w a s
laya	l ɐ j a
letsuga	l e t͡ʃ u ɡ a
libreria	l i b ɾ e ɾ j ɐ
libro	l i b ɾ o
lima	l i m a
limus	l i m u s
lubong	l u b o ŋ
lubung	l u b u ŋ
