á	aː
Afganistan	a v ɡ a ɲ i s t a n
afixoid	a f i k s ɔ i t
aforizmu	a f ɔ r i z m u
aforizmus	a f ɔ r i z m u s
africký	a v r i t͡s k iː
afrikánčina	a v r i k aː n t͡ʃ i n a
Afrikánec	a v r i k aː ɲ e t͡s
Agáta	a ɡ aː t a
aglomerácia	a ɡ l ɔ m e r aː t͡s i a
Agnesa	a ɡ n e s a
agnosticizmus	a ɡ n ɔ s t i t͡s i z m u s
agnostický	a ɡ n ɔ s c i t͡s k iː
agónia	a ɡ ɔː n i a
agorafóbia	a ɡ ɔ r a f ɔː b i a
agravácia	a ɡ r a ʋ aː t͡s i a
agregácia	a ɡ r e ɡ aː t͡s i a
agregát	a ɡ r e ɡ aː t
agresia	a ɡ r e s i a
agresívnejší	a ɡ r e s iː u̯ ɲ e ɪ̯ ʃ iː
agresívnejší	a ɡ r e s iː ʋ ɲ e ɪ̯ ʃ iː
agresívnosť	a ɡ r e s iː u̯ n ɔ s c
agresívnosť	a ɡ r e s iː ʋ n ɔ s c
agresívny	a ɡ r e s iː u̯ n i
agresívny	a ɡ r e s iː ʋ n i
agrobiológia	a ɡ r ɔ b i ɔ l ɔː ɡ i a
agronómia	a ɡ r ɔ n ɔː m i a
agroturizmus	a ɡ r ɔ t u r i z m u s
ainčina	a i n t͡ʃ i n a
aj	a ɪ̯
ajhľa	a ɪ̯ ɦ ʎ a
ajhľa	a ɪ̯ ɦ l a
aká	a k aː
akademický	a k a ɟ e m i t͡s k iː
akančina	a k a n t͡ʃ i n a
akcelerácia	a k t͡s e l e r aː t͡s i a
akceptovať	a k t͡s e p t ɔ ʋ a c
akceptuje	a k t͡s e p t u j e
akceptujem	a k t͡s e p t u j e m
akceptujeme	a k t͡s e p t u j e m e
akceptuješ	a k t͡s e p t u j e ʃ
akceptujete	a k t͡s e p t u j e c e
akceptujú	a k t͡s e p t u j uː
akcia	a k t͡s i a
akcidentálny	a k t͡s i ɟ e n t aː l n i
akkadčina	a k a t͡ʃː i n a
Akkra	a kː r a
aklimatizácia	a k l i m a t i z aː t͡s i a
aklimatizovať	a k ʎ i m a c i z ɔ ʋ a c
aklimatizovať	a k l i m a c i z ɔ ʋ a c
akné	a k n eː
ako	a k ɔ
akomodácia	a k ɔ m ɔ d aː t͡s i a
akordeón	a k ɔ r d e ɔː n
akordeónový	a k ɔ r ɟ e ɔː n ɔ ʋ iː
akreditácia	a k r e d i t aː t͡s i a
akrobatický	a k r ɔ b a c i t͡s k iː
akronym	a k r ɔ n i m
aktivácia	a k t i ʋ aː t͡s i a
aktivizácia	a k t i ʋ i z aː t͡s i a
aktivovať	a k c i ʋ ɔ ʋ a c
aktívum	a k t iː ʋ u m
aktualita	a k t u a l i t a
aktualizácia	a k t u a l i z aː t͡s i a
aktualizmus	a k t u a l i z m u s
aktualizovaný	a k t u a ʎ i z ɔ ʋ a n iː
aktualizovaný	a k t u a l i z ɔ ʋ a n iː
aktualizovať	a k t u a ʎ i z ɔ ʋ a c
aktualizovať	a k t u a l i z ɔ ʋ a c
aktualizuje	a k t u a ʎ i z u j e
aktualizuje	a k t u a l i z u j e
aktualizujú	a k t u a ʎ i z u j uː
aktualizujú	a k t u a l i z u j uː
aktuálnejší	a k t u aː l ɲ e ɪ̯ ʃ iː
aktuálny	a k t u aː l n i
akumulácia	a k u m u l aː t͡s i a
akumulovať	a k u m u l ɔ ʋ a c
akupunktúra	a k u p u ŋ k t uː r a
akurátnosť	a k u r aː t n ɔ s c
akustickosť	a k u s c i t͡s k ɔ s c
akustický	a k u s c i t͡s k iː
akuzatív	a k u z a t iː u̯
akváriový	a k ʋ aː r i ɔ ʋ iː
akvárium	a k ʋ aː r i u m
Alabama	a l a b a m a
Albánsko	a l b aː n s k ɔ
Albánsko	a l b aː n̠ s k ɔ
Albert	a l b e r t
Alberta	a l b e r t a
Albína	a l b iː n a
albinizmus	a l b i n i z m u s
Albrecht	a l b r e x t
alchýmia	a l x iː m i a
alchymický	a l x i m i t͡s k iː
alebo	a ʎ e b ɔ
alebo	a l e b ɔ
alegória	a l e ɡ ɔː r i a
alegorický	a ʎ e ɡ ɔ r i t͡s k iː
alegorický	a l e ɡ ɔ r i t͡s k iː
alergén	a l e r ɡ eː n
aleutčina	a ʎ e u t͡ʃː i n a
aleutčina	a l e u t͡ʃː i n a
Alexander	a l e k s a n d e r
Alexandra	a l e k s a n d r a
alfabetizácia	a l f a b e t i z aː t͡s i a
algebrický	a l ɡ e b r i t͡s k iː
algoritmický	a l ɡ ɔ r i t m i t͡s k iː
algoritmizácia	a l ɡ ɔ r i t m i z aː t͡s i a
algoritmizovať	a l ɡ ɔ r i t m i z ɔ ʋ a c
algoritmus	a l ɡ ɔ r i t m u s
Alica	a l i t͡s a
alienácia	a l i e n aː t͡s i a
aliterácia	a l i t e r aː t͡s i a
alka	a l k a
alkalizácia	a l k a l i z aː t͡s i a
alkalizovať	a l k a ʎ i z ɔ ʋ a c
alkalizovať	a l k a l i z ɔ ʋ a c
alkín	a l k iː n
alkohol	a l k ɔ ɦ ɔ l
alkoholický	a l k ɔ ɦ ɔ ʎ i t͡s k iː
alkoholický	a l k ɔ ɦ ɔ l i t͡s k iː
alkoholik	a l k ɔ ɦ ɔ l i k
alkoholika	a l k ɔ ɦ ɔ l i k a
alkoholizácia	a l k ɔ ɦ ɔ l i z aː t͡s i a
alkoholizmus	a l k ɔ ɦ ɔ l i z m u s
alkoholizovať	a l k ɔ ɦ ɔ ʎ i z ɔ ʋ a c
alkoholizovať	a l k ɔ ɦ ɔ l i z ɔ ʋ a c
alkoholový	a l k ɔ ɦ ɔ l ɔ ʋ iː
allatív	a l a t iː u̯
almanach	a l m a n a x
alograf	a l ɔ ɡ r a f
alografný	a l ɔ ɡ r a v n iː
alokácia	a l ɔ k aː t͡s i a
alokovať	a l ɔ k ɔ ʋ a c
alomorf	a l ɔ m ɔ r f
alomorfa	a l ɔ m ɔ r f a
alomorfou	a l ɔ m ɔ r f ɔ u̯
alomorfu	a l ɔ m ɔ r f u
alomorfy	a l ɔ m ɔ r f i
Álp	aː l p
Alpách	a l p aː x
Alpám	a l p aː m
Alpami	a l p a m i
alpinizmus	a l p i n i z m u s
alpský	a l p s k iː
Alpy	a l p i
altajčina	a l t a ɪ̯ t͡ʃ i n a
alternátor	a l t e r n aː t ɔ r
alternátorový	a l c e r n aː t ɔ r ɔ ʋ iː
Altman	a l t m a n
altruista	a l t r u i s t a
altruistický	a l t r u i s c i t͡s k iː
altruizmus	a l t r u i z m u s
altsaxofón	a l t s a k s ɔ f ɔː n
altsaxofón	a l t͡sː a k s ɔ f ɔː n
altsaxofónový	a l t͡sː a k s ɔ f ɔː n ɔ ʋ iː
Alžbeta	a l ʒ b e t a
Alžír	a l ʒ iː r
Alžírsko	a l ʒ iː r s k ɔ
amalgám	a m a l ɡ aː m
amalgamácia	a m a l ɡ a m aː t͡s i a
Amália	a m aː l i a
ambivalencia	a m b i ʋ a l e n t͡s i a
ambivalentnejší	a m b i ʋ a ʎ e n t ɲ e ɪ̯ ʃ iː
ambivalentnejší	a m b i ʋ a l e n t ɲ e ɪ̯ ʃ iː
ambivalentný	a m b i ʋ a ʎ e n t n iː
ambivalentný	a m b i ʋ a l e n t n iː
Ambrož	a m b r ɔ ʃ
Ambruš	a m b r u ʃ
Amcha	a m x a
Američanka	a m e r i t͡ʃ a ŋ k a
americký	a m e r i t͡s k iː
amerikanizácia	a m e r i k a n i z aː t͡s i a
amerikanizmu	a m e r i k a n i z m u
amerikanizmus	a m e r i k a n i z m u s
amerikanizovať	a m e r i k a ɲ i z ɔ ʋ a c
ametyst	a m e t i s t
amfora	a ɱ f ɔ r a
amharčina	a m ɦ a r t͡ʃ i n a
amicenko	a m i t͡s e ŋ k ɔ
Ammán	a m aː n
amnestia	a m n e s t i a
amortizácia	a m ɔ r t i z aː t͡s i a
amortizovať	a m ɔ r c i z ɔ ʋ a c
amplitúda	a m p l i t uː d a
amputácia	a m p u t aː t͡s i a
amputovať	a m p u t ɔ ʋ a c
Amrich	a m r i x
anabaptizmus	a n a b a p t i z m u s
Anabela	a n a b e l a
anachronický	a n a x r ɔ ɲ i t͡s k iː
anachronizmu	a n a x r ɔ n i z m u
anachronizmus	a n a x r ɔ n i z m u s
anafylaxia	a n a f i l a k s i a
analfabetizmus	a n a l f a b e t i z m u s
analfabetka	a n a l f a b e t k a
analógia	a n a l ɔː ɡ i a
analytický	a n a l i c i t͡s k iː
analyzovať	a n a l i z ɔ ʋ a c
analyzuje	a n a l i z u j e
analyzujú	a n a l i z u j uː
anamnéza	a n a m n eː z a
ananás	a n a n aː s
ananásový	a n a n aː s ɔ ʋ iː
anarchistický	a n a r x i s c i t͡s k iː
anarchizmu	a n a r x i z m u
anarchizmus	a n a r x i z m u s
anarchopacifizmus	a n a r x ɔ p a t͡s i f i z m u s
anarchosyndikalizmus	a n a r x ɔ s i n d i k a l i z m u s
Anastázia	a n a s t aː z i a
anatómia	a n a t ɔː m i a
anatomický	a n a t ɔ m i t͡s k iː
anciáš	a n t͡s i aː ʃ
anciáša	a n t͡s i aː ʃ a
anciáši	a n t͡s i aː ʃ i
Ančic	a n t͡ʃ i t͡s
Andami	a n d a m i
Andó	a n d ɔː
Andoč	a n d ɔ t͡ʃ
Andorra	a n d ɔ rː a
Andrea	a n d r e a
Andreides	a n d r e i d e s
Andrejco	a n d r e ɪ̯ t͡s ɔ
Andris	a n d r i s
androcentrizmus	a n d r ɔ t͡s e n t r i z m u s
Andruch	a n d r u x
anduliek	a n d u ʎ ɪ̯ e k
anduliek	a n d u l ɪ̯ e k
andulka	a n d u l k a
andulky	a n d u l k i
Andy	a n d i
anekdota	a n e ɡ d ɔ t a
anekdotický	a ɲ e ɡ d ɔ c i t͡s k iː
anémia	a n eː m i a
anemický	a ɲ e m i t͡s k iː
anestézia	a n ɛ s t ɛː z ɪ j a
anestéziológia	a n e s t eː z i ɔ l ɔː ɡ i a
Aneta	a ɲ e t a
Anežka	a ɲ e ʃ k a
Angela	a ŋ ɡ e l a
Angelika	a ŋ ɡ e l i k a
anglicizmus	a ŋ ɡ ʎ i t͡s i z m u s
anglicizmus	a ŋ ɡ l i t͡s i z m u s
anglická	a ŋ ɡ ʎ i t͡s k aː
anglická	a ŋ ɡ l i t͡s k aː
anglické	a ŋ ɡ ʎ i t͡s k eː
anglické	a ŋ ɡ l i t͡s k eː
Anglicko	a ŋ ɡ ʎ i t͡s k ɔ
Anglicko	a ŋ ɡ l i t͡s k ɔ
anglický	a ŋ ɡ ʎ i t͡s k iː
anglický	a ŋ ɡ l i t͡s k iː
angličtina	a ŋ ɡ ʎ i t͡ʃ c i n a
angličtina	a ŋ ɡ l i t͡ʃ c i n a
angličtinou	a ŋ ɡ ʎ i t͡ʃ c i n ɔ u̯
angličtinou	a ŋ ɡ l i t͡ʃ c i n ɔ u̯
angličtinu	a ŋ ɡ ʎ i t͡ʃ c i n u
angličtinu	a ŋ ɡ l i t͡ʃ c i n u
angličtiny	a ŋ ɡ ʎ i t͡ʃ c i n i
angličtiny	a ŋ ɡ l i t͡ʃ c i n i
anglikanizmus	a ŋ ɡ l i k a n i z m u s
Angola	a ŋ ɡ ɔ l a
angström	a ŋ k s t r ø m
angström	a ŋ k s t r e m
angströme	a ŋ k s t r ø m e
angströmu	a ŋ k s t r ø m u
ani	a ɲ i
anihilácia	a n i ɦ i l aː t͡s i a
anjel	a ɲ ɪ̯ e l
anjelský	a ɲ ɪ̯ e s k iː
Ankara	a ŋ k a r a
anketovať	a ŋ k e t ɔ ʋ a c
Anna	a nː a
áno	aː n ɔ
anojkonymum	a n ɔ ɪ̯ k ɔ n i m u m
anonymný	a n ɔ n i m n iː
anormálny	a n ɔ r m aː l n i
antagonistický	a n t a ɡ ɔ ɲ i s c i t͡s k iː
antagonizmus	a n t a ɡ ɔ n i z m u s
Antal	a n t a l
Antálek	a n t aː ʎ e k
Antálek	a n t aː l e k
Antalovič	a n t a l ɔ ʋ i t͡ʃ
Antananarivo	a n t a n a n a r i ʋ ɔ
anténa	a n t eː n a
antiamerikanizmus	a n t i a m e r i k a n i z m u s
antiboľševizmus	a n t i b ɔ ʎ ʃ e ʋ i z m u s
antiboľševizmus	a n t i b ɔ l ʃ e ʋ i z m u s
anticipácia	a n t i t͡s i p aː t͡s i a
anticipovať	a n c i t͡s i p ɔ ʋ a c
anticyklóna	a n t i t͡s i k l ɔː n a
antifašizmu	a n t i f a ʃ i z m u
antifašizmus	a n t i f a ʃ i z m u s
antifeminizmus	a n t i f e m i n i z m u s
antiglobalizácia	a n t i ɡ l ɔ b a l i z aː t͡s i a
antiglobalizmus	a n t i ɡ l ɔ b a l i z m u s
antikapitalizmu	a n t i k a p i t a l i z m u
antikapitalizmus	a n t i k a p i t a l i z m u s
antiklerikalizmu	a n t i k l e r i k a l i z m u
antikolonializmus	a n t i k ɔ l ɔ n i a l i z m u s
antikomunizmu	a n t i k ɔ m u n i z m u
antikomunizmus	a n t i k ɔ m u n i z m u s
antikoro	a n c i k ɔ r ɔ
antimilitarizmus	a n t i m i l i t a r i z m u s
antirasistický	a n c i r a s i s c i t͡s k iː
antirasizmus	a n t i r a s i z m u s
antisemita	a n t i s e m i t a
antisemitizmu	a n t i s e m i t i z m u
antisemitizmus	a n t i s e m i t i z m u s
antisemitský	a n c i s e m i t͡s k iː
antisionizmu	a n t i s i ɔ n i z m u
antisionizmus	a n t i s i ɔ n i z m u s
Antl	a n t l̩
Antolík	a n t ɔ ʎ iː k
Antolík	a n t ɔ l iː k
antológia	a n t ɔ l ɔː ɡ i a
Antónia	a n t ɔː n i a
antonymum	a n t ɔ n i m u m
Antoš	a n t ɔ ʃ
antropocentrizmus	a n t r ɔ p ɔ t͡s e n t r i z m u s
antropológ	a n t r ɔ p ɔ l ɔː k
antropológia	a n t r ɔ p ɔ l ɔː ɡ i a
antropologička	a n t r ɔ p ɔ l ɔ ɡ i t͡ʃ k a
antropomorfický	a n t r ɔ p ɔ m ɔ r f i t͡s k iː
antropomorfizácia	a n t r ɔ p ɔ m ɔ r f i z aː t͡s i a
antropomorfizmus	a n t r ɔ p ɔ m ɔ r f i z m u s
antroponymum	a n t r ɔ p ɔ n i m u m
antúk	a n t uː k
antuka	a n t u k a
antukový	a n t u k ɔ ʋ iː
antuky	a n t u k i
Apalovič	a p a l ɔ ʋ i t͡ʃ
apartheid	a p a r d ɦ e i t
apatieka	a p a c ɪ̯ e k a
apelativizácia	a p e l a t i ʋ i z aː t͡s i a
apelativizácie	a p e l a t i ʋ i z aː t͡s i e
apelativizačný	a p e l a c i ʋ i z a t͡ʃ n iː
apelatívum	a p e l a t iː ʋ u m
aperitív	a p e r i t iː u̯
aperitívový	a p e r i c iː ʋ ɔ ʋ iː
apetít	a p e t iː t
aplaudovať	a p l a u d ɔ ʋ a c
aplikácia	a p l i k aː t͡s i a
apo	a p ɔ
apokalypsa	a p ɔ k a l i p s a
apolitický	a p ɔ ʎ i c i t͡s k iː
apolitický	a p ɔ l i c i t͡s k iː
apologetický	a p ɔ l ɔ ɡ e c i t͡s k iː
aprílový	a p r iː l ɔ ʋ iː
aproximácia	a p r ɔ k s i m aː t͡s i a
arabčina	a r a p t͡ʃ i n a
Arábia	a r aː b i a
arabizácia	a r a b i z aː t͡s i a
arabizmus	a r a b i z m u s
arabizovať	a r a b i z ɔ ʋ a c
aragonitový	a r a ɡ ɔ ɲ i t ɔ ʋ iː
aramejčina	a r a m e ɪ̯ t͡ʃ i n a
arandčina	a r a n t͡ʃː i n a
araukánčina	a r a u k aː n t͡ʃ i n a
arbitrárny	a r b i t r aː r n i
arborétum	a r b ɔ r eː t u m
archa	a r x a
archaický	a r x a i t͡s k iː
archanjel	a r x a ɲ ɪ̯ e l
archanjelský	a r x a ɲ ɪ̯ e l s k iː
archeológ	a r x e ɔ l ɔː k
archeológia	a r x e ɔ l ɔː ɡ i a
archeologička	a r x e ɔ l ɔ ɡ i t͡ʃ k a
archivár	a r x i ʋ aː r
archivárka	a r x i ʋ aː r k a
archivovať	a r x i ʋ ɔ ʋ a c
arcibiskup	a r t͡s i b i s k u p
arcibiskupský	a r t͡s i b i s k u p s k iː
arcidiecéza	a r t͡s i d i e t͡s eː z a
árešt	aː r e ʃ t
Argaláš	a r ɡ a l aː ʃ
Argentína	a r ɡ e n c iː n a
Argentínčan	a r ɡ e n c iː n t͡ʃ a n
Argentínčanka	a r ɡ e n t iː n t͡ʃ a ŋ k a
argumentácia	a r ɡ u m e n t aː t͡s i a
aristokracia	a r i s t ɔ k r a t͡s i a
aristokrat	a r i s t ɔ k r a t
aristokratický	a r i s t ɔ k r a c i t͡s k iː
Arizona	a r i z ɔ n a
Arkansas	a r k a n s a s
Arkansas	a r k a n̠ s a s
arménčina	a r m eː n t͡ʃ i n a
Arménsko	a r m eː n s k ɔ
Arménsko	a r m eː n̠ s k ɔ
Arno	a r n ɔ
arogancia	a r ɔ ɡ a n t͡s i a
arogantnejší	a r ɔ ɡ a n t ɲ e ɪ̯ ʃ iː
arogantný	a r ɔ ɡ a n t n iː
artikulácia	a r t i k u l aː t͡s i a
artikulovanie	a r t i k u l ɔ ʋ a ɲ ɪ̯ e
artikulovať	a r c i k u l ɔ ʋ a c
artritída	a r t r i t iː d a
ásamčina	aː s a m t͡ʃ i n a
Ašchabad	a ʃ x a b a t
asertívnosť	a s e r c iː u̯ n ɔ s c
asertívnosť	a s e r c iː ʋ n ɔ s c
asertívny	a s e r t iː u̯ n i
asertívny	a s e r t iː ʋ n i
asexualita	a s e k s u a l i t a
asexuality	a s e k s u a ʎ i t i
asexuality	a s e k s u a l i t i
asimilácia	a s i m i l aː t͡s i a
asimilovať	a s i m i l ɔ ʋ a c
Asmara	a s m a r a
asociácia	a s ɔ t͡s i aː t͡s i a
aspirácia	a s p i r aː t͡s i a
astát	a s t aː t
astátový	a s t aː t ɔ ʋ iː
astátu	a s t aː t u
astigmatizmus	a s t i ɡ m a t i z m u s
astma	a s t m a
Astrachán	a s t r a x aː n
astrofyzika	a s t r ɔ f i z i k a
astroláb	a s t r ɔ l aː p
astrológ	a s t r ɔ l ɔː k
astrológia	a s t r ɔ l ɔː ɡ i a
astrologička	a s t r ɔ l ɔ ɡ i t͡ʃ k a
astronautika	a s t r ɔ n a u̯ t i k a
astronómia	a s t r ɔ n ɔː m i a
Asunción	a s u n s i ɔː n
Asunción	a s u n̠ s i ɔː n
asymetria	a s i m e t r i a
asymetrický	a s i m e t r i t͡s k iː
asýrčina	a s iː r t͡ʃ i n a
Asztalos	a s t a l ɔ ʃ
atakovať	a t a k ɔ ʋ a c
atavizmus	a t a ʋ i z m u s
ateizmus	a t e i z m u s
Atény	a t eː n i
atletický	a t ʎ e c i t͡s k iː
atletický	a t l e c i t͡s k iː
atmosféra	a t m ɔ s f eː r a
atóm	a t ɔː m
atomizácia	a t ɔ m i z aː t͡s i a
atomizovať	a t ɔ m i z ɔ ʋ a c
atrakcia	a t r a k t͡s i a
atraktívnosť	a t r a k c iː u̯ n ɔ s c
atraktívnosť	a t r a k c iː ʋ n ɔ s c
atrament	a t r a m e n t
átrium	aː t r i u m
audiencia	a u̯ d i e n t͡s i a
Auer	a u e r
augmentatívum	a u ɡ m e n t a t iː ʋ u m
august	a u̯ ɡ u s t
August	a u̯ ɡ u s t
Augusta	a u ɡ u s t a
Augustín	a u̯ ɡ u s t iː n
augustový	a u ɡ u s t ɔ ʋ iː
Aurélia	a u̯ r eː l i a
Austrália	a u̯ s t r aː l i a
autistický	a u c i s c i t͡s k iː
autizmus	a u t i z m u s
autobuse	a u̯ t ɔ b u s e
autocenzúra	a u t ɔ t͡s e n z uː r a
autocenzúra	a u t ɔ t͡s e n̠ z uː r a
autoerotizmus	a u t ɔ e r ɔ t i z m u s
autokracia	a u̯ t ɔ k r a t͡s i a
automatizácia	a u̯ t ɔ m a t i z aː t͡s i a
automatizovať	a u t ɔ m a c i z ɔ ʋ a c
automobil	a u t ɔ m ɔ b i l
automobilový	a u t ɔ m ɔ b i l ɔ ʋ iː
autonómia	a u̯ t ɔ n ɔː m i a
autonómny	a u t ɔ n ɔː m n i
autorizácia	a u̯ t ɔ r i z aː t͡s i a
autorizovať	a u t ɔ r i z ɔ ʋ a c
autorizuje	a u t ɔ r i z u j e
autorizujem	a u t ɔ r i z u j e m
autorizujeme	a u t ɔ r i z u j e m e
autorizuješ	a u t ɔ r i z u j e ʃ
autorizujete	a u t ɔ r i z u j e c e
autorizujú	a u t ɔ r i z u j uː
autostop	a u t ɔ s t ɔ p
autostopu	a u t ɔ s t ɔ p u
autostráda	a u t ɔ s t r aː d a
autový	a u t ɔ ʋ iː
avarčina	a ʋ a r t͡ʃ i n a
avatára	a ʋ a t aː r a
avestčina	a ʋ e s t͡ʃː i n a
avokádo	a ʋ ɔ k aː d ɔ
avšak	a f ʃ a k
azbest	a z b e s t
azbuka	a z b u k a
azda	a z d a
Azerbajdžan	a z e r b a ɪ̯ d͡ʒ a n
azerbajdžančina	a z e r b a ɪ̯ d͡ʒ a n t͡ʃ i n a
Ázia	aː z i a
Ázie	aː z i e
Ázijčan	aː z i ɪ̯ t͡ʃ a n
Ázijčan	aː z i j t͡ʃ a n
Ázijčanka	aː z i ɪ̯ t͡ʃ a ŋ k a
Ázijčanka	aː z i j t͡ʃ a ŋ k a
Ázijka	aː z i ɪ̯ k a
Ázijka	aː z i j k a
Ázijok	aː z i j ɔ k
azimut	a z i m u t
azimutálny	a z i m u t aː l n i
azyl	a z i l
azylový	a z i l ɔ ʋ iː
azylu	a z i l u
b	p
báb	b aː p
baba	b a b a
Bába	b aː b a
babách	b a b aː x
Babák	b a b aː k
babám	b a b aː m
babami	b a b a m i
Babarik	b a b a r i k
bábätko	b aː b ɛ ɐ̯ t k ɔ
bábätko	b aː b e t k ɔ
Babčák	b a p t͡ʃ aː k
Babčo	b a p t͡ʃ ɔ
babe	b a b e
Babič	b a b i t͡ʃ
Babica	b a b i t͡s a
babička	b a b i t͡ʃ k a
bábik	b aː b i k
bábika	b aː b i k a
Babirád	b a b i r aː t
Babiš	b a b i ʃ
bábizmus	b aː b i z m u s
Babjak	b a b j a k
bábka	b aː p k a
Babnič	b a b ɲ i t͡ʃ
bábok	b aː b ɔ k
babona	b a b ɔ n a
babou	b a b ɔ u̯
babrať	b a b r a c
babu	b a b u
Babus	b a b u s
baby	b a b i
bác	b aː t͡s
bača	b a t͡ʃ a
Bača	b a t͡ʃ a
Bachleda	b a x ʎ e d a
Bachleda	b a x l e d a
bachor	b a x ɔ r
bachora	b a x ɔ r a
bachore	b a x ɔ r e
bachory	b a x ɔ r i
Bachratá	b a x r a t aː
Bachratý	b a x r a t iː
Bačík	b a t͡ʃ iː k
Bačko	b a t͡ʃ k ɔ
Bačkovský	b a t͡ʃ k ɔ u̯ s k iː
bačnosť	b a t͡ʃ n ɔ s c
Bačo	b a t͡ʃ ɔ
bačovka	b a t͡ʃ ɔ u̯ k a
Bačovská	b a t͡ʃ ɔ u̯ s k aː
bačovský	b a t͡ʃ ɔ u̯ s k iː
Bačovský	b a t͡ʃ ɔ u̯ s k iː
Bacula	b a t͡s u l a
Bačuvčík	b a t͡ʃ u u̯ t͡ʃ iː k
Bačuvčík	b a t͡ʃ u ʋ t͡ʃ iː k
bádať	b aː d a c
badkať	b a t k a c
Badura	b a d u r a
Baďura	b a ɟ u r a
Badžgoň	b a d͡ʒ ɡ ɔ ɲ
Badžo	b a d͡ʒ ɔ
bagatelizovať	b a ɡ a c e ʎ i z ɔ ʋ a c
bagatelizovať	b a ɡ a c e l i z ɔ ʋ a c
bagáž	b a ɡ aː ʃ
Bagdad	b a ɡ d a t
Bago	b a ɡ ɔ
bahaizmus	b a ɦ a i z m u s
Bahamy	b a ɦ a m i
Bahrajn	b a ɦ r a ɪ̯ n
Bahrajňan	b a ɦ r a ɪ̯ ɲ a n
Bahrajňanka	b a ɦ r a ɪ̯ ɲ a ŋ k a
baht	b aː t
bahtu	b aː t u
Bajer	b a j e r
