ং	ŋ
উখৰা	u x ɔ ɹ a
উগাৰ	u ɡ a ɹ
উঘলা	u ɡʱ ɔ l a
উঘাল	u ɡʱ a l
উঘালা	u ɡʱ a l a
উজনি	u z ɔ n i
উজবেকিস্তান	u z b ɛ k i s t a n
উজলা	u z ɔ l a
উজান	u z a n
উট	u t
উঠোৱা	u tʰ ʊ a
উতনুৱা	u t ɔ n u a
উতল	u t ɔ l
উতলা	u t ɔ l a
উতলোৱা	u t ɔ l ʊ a
উদ	u d
উদং	u d ɔ ŋ
উদ্যোগ	u d d ʊ ɡ
উদ্যোগ	u ɪ d d ʊ ɡ
উপত্যকা	u p ɔ ɪ t t ɔ k a
উপদ্বীপ	u p ɔ d d i p
উপনিষদ	u p n i x ɔ d
উপন্যাস	u p ɔ ɪ n n a x
উপায়	u p a j
উফি	u pʰ i
উভত	u bʱ ɔ t
উভাল	u bʱ a l
উম	u m
উমনি	u m ɔ n i
উমা	u m a
উলিওৱা	u l i ʊ a
উলিয়া	u l i a
উলুপী	u l u p i
উলূ	u l u
উলূকাছ	u l u k a s ɔ ɦ
উলূম’ৰা	u l u m o ɹ a
উশাহ	u x aʱ
উৰ	u ɹ
উৰহ	u ɹ ɔʱ
উৰহী	u ɹ ɔ ɦ i
উৰা	u ɹ a
উৰাবাতৰি	u ɹ a b a t ɔ ɹ i
ঊ	u
ঊনআশী	u n ɔ a x i
ঊনচল্লিছ	u n s ɔ l l i s
ঊননব্বৈ	u n ɔ n ɔ b b o ɪ
ঊনপঞ্চাছ	u n ɔ p ɔ n s a s
ঊনষাঠি	u n ɔ x a tʰ i
ঊনসত্তৰ	u n ɔ x ɔ t t ɔ ɹ
ঊনৈছ	u n o ɪ s
ঊন্ত্ৰিছ	u n t ɹ i s
ঋ	ɹ i
ঌ	l i
এ	ɛ
এংগাৰ	ɛ ŋ ɡ a ɹ
এই	ɛ i
এইটো	ɛ i t ʊ
এওঁ	ɛ ʊ̃
এওঁলোক	ɛ ʊ̃ l ʊ k
এওঁৰা	ɛ ʊ ɾ a
এক	ɛ k
একচল্লিছ	ɛ k s ɔ l l i s
একতা	ɛ k ɔ t a
একত্ৰিছ	ɛ k ɔ t ɹ i s
একনায়ক	ɛ k ɔ n a ɛ ɔ k
একাডেমি	ɛ k a d ɛ m i
একাধিপতি	ɛ k a dʱ i p ɔ t i
একান্নব্বৈ	ɛ k a n n ɔ b b o ɪ
একাশী	ɛ k a x i
একাৱন	ɛ k a ɔ n
একে	ɛ k ɛ
একেলেথাৰিয়ে	ɛ k ɛ l ɛ tʰ a ɹ i ɛ
একৈছ	ɛ k o ɪ s
একো	ɛ k ʊ
এখেত	ɛ kʰ ɛ t
এঙাৰ	ɛ ŋ a ɹ
এঙ্গাৰ	ɛ ŋ ɡ a ɹ
এটা	ɛ t a
এটি	ɛ t i
এঠা	ɛ tʰ a
এণ্ড্ৰৈড	ɛ n d ɹ ɔ i d
এতিয়া	ɛ t i a
এনাই	ɛ n a ɪ
এনে	ɛ n ɛ
এনেকে	ɛ n ɛ k ɛ
এনেকৈ	ɛ n ɛ k o ɪ
এন্দুৰ	ɛ n d u ɹ
এন্ধাৰ	ɛ n dʱ a ɹ
এপ	ɛ p
এপ্লিকেচন	ɛ p l i k ɛ s ɔ n
এম্বুলেঞ্চ	ɛ m b u l ɛ n s
এয়াৰপ’ৰ্ট	ɛ a ɹ p o ɹ t
এলাহ	ɛ l aʱ
এলেহুৱা	ɛ l ɛ ɦ u a
এল্পেকা	ɛ l p ɛ k a
এশ	ɛ x ɔ ɦ
এষষ্ঠি	ɛ x ɔ s tʰ i
এসত্তৰ	ɛ x ɔ t t ɔ ɹ
এহাজাৰ	ɛ ɦ a z a ɹ
এহেজাৰ	ɛ ɦ ɛ z a ɹ
এৰ	ɛ ɹ
এৰা	ɛ ɹ a
এৰাখাতী	ɛ ɹ a kʰ a t i
এৰাল	ɛ ɹ a l
এৰোৱা	ɛ ɹ ʊ a
এ’	é
ঐ	o ɪ
ঐতিহ্য	ɔ i t i d ʑ ɔ
ও	ʊ
ওঁ	o m
ওঁ	ʊ m
ওঁ	ʊ̃
ওঁঠ	ʊ̃ tʰ
ওকালতি	ʊ k a l ɔ t i
ওখ	ʊ kʰ ɒ
ওখল	ʊ kʰ ɔ l
ওখৰ	ʊ kʰ ɔ ɹ
ওচৰ	ʊ s ɔ ɹ
ওজন	ʊ z ɔ n
ওজা	ʊ z a
ওটা	ʊ t a
ওঠৰ	ʊ tʰ ɔ ɹ ɔ ɦ
ওপঙা	ʊ p ɔ ŋ a
ওপৰ	ʊ p ɔ ɹ
ওল	ʊ l
ওলগ	ʊ l ɔ ɡ
ওলটা	ʊ l ɔ t a
ওলটোৱা	ʊ l ɔ t ʊ a
ওলমা	ʊ l ɔ m a
ওলমোৱা	ʊ l ɔ m ʊ a
ওলা	ʊ l a
ওলোটা	ʊ l ʊ t a
ওলোটোৱা	ʊ l ʊ t ʊ a
ওলোমা	ʊ l ʊ m a
ওলোমোৱা	ʊ l ʊ m ʊ a
ওলোৱা	ʊ l ʊ a
ওষ্ঠ্য	ʊ s tʰ j ɔ
ওস্তাদ	ʊ s t a d
ওৰ	ʊ ɹ
ওৰণি	ʊ ɹ ɔ n i
ওৰোণা	ʊ ɹ ʊ n a
ঔ	o ʊ
ক	k ɔ
কঁকাল	k ɔ̃ k a l
কঁকিলা	k ɔ̃ k i l a
কঁটলা	k ɔ̃ t ɔ l a
কঁটা	k ɔ̃ t a
কঁঠাল	k ɔ̃ tʰ a l
কঁপা	k ɔ̃ p a
কঁহ	k ɔ̃ ɦ
কঁহকঁহীয়া	k ɔ̃ ɦ k ɔ̃ ɦ i a
কঁহকহীয়া	k ɔ̃ ɦ k ɔ̃ ɦ i a
কঁহাৰ	k ɔ̃ ɦ a ɹ
কঁহুৱা	k ɔ̃ ɦ u a
কংগ্ৰেছ	k ɔ ŋ ɡ ɛ s
কংগ্ৰেছ	k ɔ ŋ ɡ ɹ ɛ s
কইনা	k ɔ ɪ n a
ককা	k ɔ k a
ককাই	k ɔ k a ɪ
কচা	k ɔ s a
কচু	k ɔ s u
কটা	k ɔ t a
কটোৱা	k ɔ t ʊ a
কঢ়া	k ɔ ɹʱ a
কঢ়িওৱা	k ɔ ɦ i ʊ a
কঢ়িওৱা	k ɔ ɹʱ i ʊ a
কণা	k ɔ n a
কণামুচৰি	k ɔ n a m u s ɔ ɹ i
কণী	k ɔ n i
কণ্ঠ্য	k ɔ n tʰ j ɔ
কথা	k ɔ tʰ a
কন্দা	k ɔ n d a
কন্দুৱা	k ɔ n d u a
কপাহ	k ɔ p aʱ
কপৌ	k ɔ p o ʊ
কপৌফুল	k ɔ p o ʊ pʰ u l
কবি	k ɔ b i
কম	k ɔ m
কমলা	k ɔ m l a
কমলা	k ɔ m ɔ l a
কমা	k ɔ m a
কমাৰ	k ɔ m a ɹ
কমোৱা	k ɔ m ʊ a
কম্বল	k ɔ m b ɔ l
কলকাতা	k ɔ l k a t a
কলডিল	k ɔ l d i l
কলম	k ɔ l ɔ m
কলহ	k ɔ l ɔ ɦ
কলাঘুমটীয়া	k ɔ l a ɡʱ u m ɔ t i a
কলামলা	k ɔ l a m ɔ l a
কলি	k ɔ l i
কলিকতা	k ɔ l i k ɔ t a
কলিজা	k ɔ l i z a
কহ	k ɔ ɦ
কহা	k ɔ ɦ a
কাঁইট	k ã i t
কাঁইটীয়া	k ã ɪ t i a
কাঁকৰা	k ã k ɔ ɹ a
কাঁচকল	k ã s k ɔ l
কাঁচি	k ã s i
কাঁটা	k ã t a
কাঁটাচামুচ	k ã t a s a m u s
কাঁড়	k ã ɹ
কাঁহ	k ã ɦ
কাঁহী	k ã ɦ i
কাংকাৰা	k a ŋ k a ɹ a
কাই	k a i
কাই	q a i
কাউৰী	k a u ɹ i
কাকত	k a k ɔ t
কাকতি	k a k ɔ t i
কাক্ৰাল	k a k ɹ a l
কাগজ	k a ɡ ɔ z
কাচাৰী	k a s a ɹ i
কাচি	k a s i
কাচিহাড়	k a s i ɦ a ɹ
কাছ	k a s ɔ
কাছু	k a s u
কাজ	k a z
কাজিয়া	k a z i a
কাট	k a t
কাটা	k a t a
কাঠ	k a tʰ
কাঠফুলা	k a tʰ pʰ u l a
কাঠৰোকা	k a tʰ ɹ ʊ k a
কাঢ়া	k a ɹ a
কাঢ়া	k a ɹʱ a
কাণ	k a n
কাদো	k a d ʊ
কানাই	k a n a ɪ
কানি	k a n i
কানিয়া	k a n i a
কানীয়া	k a n i a
কানু	k a n u
কান্দ	k a n
কান্দ	k a n d
কান্দা	k a n d a
কান্ধ	k a n dʱ
কান্ধ	k a nʱ
কান্ধুলি	k a n dʱ u l i
কাপ	k a p
কাপুৰ	k a p u ɾ
কাপুৰ	q a p u ɾ
কাপোৰ	k a p ʊ ɹ
কামলি	k a m ɔ l i
কামি	k a m i
কামিহাড়	k a m i ɦ a ɹ
কামোৰ	k a m ʊ ɹ
কামোৰা	k a m ʊ ɹ a
কায়ম	k a é ɔ m
কাশ্মীৰ	k a s m i ɹ
কাষ	k a kʰ
কাষ	k a x
কাষলতি	k a x l ɔ t i
কাষ্টাৰ	k a s t a ɹ
কাহ	k aʱ
কাহা	k a ɦ a
কাৰখানা	k a ɹ kʰ a n a
কাৰখানা	k a ɹ x a n a
কাৱৈ	k a o ɪ
কি	k i
কিচমিচ	k i s m i s
কিছু	k i s u
কিছুমান	k i s u m a n
কিতাপ	k i t a p
কিন	k i n
কিনা	k i n a
কিন্তু	k i n t u
কিবা	k i b a
কিমান	k i m a n
কিয়	k i ɔ
কিয়েভ	k i ɛ bʱ
কিলাকুটি	k i l a k u t i
কিলিপ	k i l i p
কিষ্ট	k i s t ɔ
কুঁচিয়া	k ũ s i a
কুঁজ	k ũ z
কুঁজা	k ũ z a
কুঁড়	k ũ ɹ
কুঁহিয়াৰ	k ũ ɦ i a ɹ
কুঁৱৰী	k ũ ɔ ɹ i
কুইৰ্মা	k u i m m a
কুকুহা	k u k u ɦ a
কুকুৰ	k u k u ɹ
কুকুৰা	k u k u ɹ a
কুটা	k u t a
কুটুম	k u t u m
কুঠাৰ	k u tʰ a ɹ
কুপতি	k u p t i
কুপতি	k u p ɔ t i
কুবেৰ	k u b ɛ ɹ
কুমজেলুকা	k u m z ɛ l u k a
কুমজেলেকুৱা	k u m z ɛ l ɛ k u a
কুমটি	k u m ɔ t i
কুমলীয়া	k u m ɔ l i a
কুমাৰ	k u m a ɹ
কুম্ভ	k u m bʱ ɔ
কুলা	k u l a
কুহুম	k u ɦ u m
কুহুমকাঁটা	k u ɦ u m k ã t a
কুহুমবুলীয়া	k u ɦ u m b u l i a
কুহুমসাৰ	k u ɦ u m x a ɹ
কুৰুই	k u ɹ u i
কুৰুৱা	k u ɹ u a
কুৱাং	k u a ŋ
কৃষি	k ɹ i x i
কৃষ্ণ	k i s n ɔ
কৃষ্ণ	k ɹ i s n ɔ
কেঁকো	k ẽ k ʊ
কেঁকোসাপ	k ẽ k ʊ x a p
কেঁকোৰা	k ẽ k ʊ ɹ a
কেঁকোৰাবিছা	k ẽ k ʊ ɹ a b i s a
কেঁচা	k ẽ s a
কেঁচি	k ɛ̃ s i
কেঁচুৱা	k ẽ s u a
কেঁটেলা	k ẽ t ɛ l a
কেঁথা	k ẽ tʰ a
কেঁহা	k ẽ ɦ a
কেও	k ɛ ʊ
কেওট	k ɛ ʊ t
কেকোসাপ	k ɛ k ʊ x a p
কেছাল’	k ɛ s a l o
কেতিয়া	k ɛ t i a
কেতিয়াবা	k ɛ t i a b a
কেনে	k ɛ n ɛ
কেনেকুৱা	k ɛ n ɛ k u a
কেনেকে	k ɛ n ɛ k ɛ
কেনেকৈ	k ɛ n ɛ k o ɪ
কেনেবাকৈ	k ɛ n ɛ b a k o ɪ
কেন্দ্ৰ	k ɛ n d ɹ ɔ
কেপিৱাৰা	k ɛ p i w a ɹ a
কেমটাই	k ɛ m ɔ t a ɪ
কেলেই	k ɛ l e
কেলেই	k ɛ l e ɪ
কেহা	k ɛ ɦ a
কেৰাচিন	k ɛ ɹ a s i n
কেৰাহী	k ɛ ɹ a ɦ i
কেৰেলা	k ɛ ɹ ɛ l a
কেৰেলুৱা	k ɛ ɹ ɛ l u a
কেৰ্কেটুৱা	k ɛ ɹ k ɛ t u a
কে’ক	k e k
কোঁৱৰ	k ʊ̃ ɔ ɹ
কোওৱা	k ʊ ʊ a
কোকলোঙা	k ʊ k l ʊ ŋ a
কোকলোঙা	k ʊ k ɔ l ʊ ŋ a
কোটি	k ʊ t i
কোদাল	k ʊ d a l
কোদালি	k ʊ d a l i
কোদো	k ʊ d ʊ
কোন	k ʊ n
কোনোবা	k ʊ n ʊ b a
কোব	k ʊ b
কোবোৱা	k ʊ b ʊ a
কোমোৰা	k ʊ m ʊ ɹ a
কোলা	k ʊ l a
কোৰ	k ʊ ɹ
কোৰোক	k ʊ ɹ ʊ k
কোৰোকা	k ʊ ɹ ʊ k a
কোৰোণা	k ʊ ɹ ʊ n a
কোৱা	k ʊ a
ক্ষ	kʰ j ɔ
কৰ	k ɔ ɹ
কৰত	k ɔ ɹ ɔ t
কৰা	k ɔ ɹ a
কৰাই	k ɔ ɹ a ɪ
কৰাহী	k ɒ ɾ a ɦ i
কৰোৱা	k ɔ ɹ ʊ a
ক‌’লা	k o l a
ক‌’লা	k ɔ l a
ক‌’লা	k ʊ l a
ক’ত	k o t
ক’ৰবাত	k ó ɹ b a t
ক’ৰবালৈ	k ó ɹ b a l ɔ ɪ
খ	kʱ ɔ
খং	kʰ ɔ ŋ
খং	x ɔ ŋ
খচকা	kʰ ɔ s ɔ k a
খচৰা	kʰ ɔ s ɔ ɹ a
খচৰা	x ɔ s ɔ ɹ a
খজুউৱা	kʰ ɔ z u a
খজুউৱা	kʰ ɔ z uː a
খজুউৱা	x ɔ z u a
খজুউৱা	x ɔ z uː a
খজুটি	kʰ ɔ z u t i
খজুটি	x ɔ z u t i
খজুলি	kʰ ɔ z u l i
খজুলি	x ɔ z u l i
খজুৱতি	kʰ ɔ z u ɔ t i
খজুৱতি	x ɔ z u ɔ t i
খটখটী	kʰ ɔ t kʰ ɔ t i
খটা	kʰ ɔ t a
খত	kʰ ɔ t
খন্তি	kʰ ɔ n t i
খন্তি	x ɔ n t i
খন্দা	kʰ ɔ n d a
খলিহনা	kʰ ɔ l i ɦ ɔ n a
খলিহা	kʰ ɔ l i ɦ a
খহটা	kʰ ɔ ɦ ɔ t a
খহা	kʰ ɔ ɦ a
খা	kʰ a
খা	x a
খাঁটি	kʰ ã t i
খাজুৰ	kʰ a z u ɹ
খাজুৰ	x a z u ɹ
খাট	kʰ a t
খাটা	kʰ a t a
খাদ্ৰি	kʰ ɛ z u ɹ
খাদ্ৰি	x ɛ z u ɹ
খানচামা	kʰ a n s a m a
খানা	kʰ a n a
খান্দা	kʰ a n d a
খাল	kʰ a l
খাহী	kʰ a ɦ i
খাৰু	kʰ a ɹ u
খাৱৈ	kʰ a w o ɪ
খিৰিকী	kʰ i ɹ i k i
খিৰিকী	x i ɹ i k i
খিৰোৱা	kʰ i ɹ ʊ a
খিৰোৱা	x i ɹ ʊ a
খীৰ	kʰ i ɹ
খীৰ	x i ɹ
খীৰোৱা	kʰ i ɹ ʊ a
খীৰোৱা	x i ɹ ʊ a
খুঁটা	kʰ ũ t a
খুঁটি	kʰ ũ t i
খুঁটিয়া	kʰ ũ t i a
খুঁত	kʰ ũ t
খুউৱা	kʰ u u a
খুচুৰা	kʰ u s u ɹ a
খুটা	kʰ u t a
খুটি	kʰ u t i
খুদ	kʰ u d
খুন্দ	kʰ u n
খুন্দ	kʰ u n d
খুন্দ	x u n
খুন্দ	x u n d
খুন্দনা	kʰ u n d ɔ n a
খুন্দনা	x u n d ɔ n a
খুন্দনি	kʰ u n d ɔ n i
খুন্দনি	x u n d ɔ n i
খুন্দা	kʰ u n d a
খুন্দা	x u n d a
খুন্দিওৱা	kʰ u n d i ʊ a
খুন্দিয়াখুন্দি	kʰ u n d i a kʰ u n d i
খুন্দোৱা	kʰ u n d ʊ a
খুন্দোৱা	x u n d ʊ a
খুল	kʰ u l
খুৰ	kʰ u ɹ
খুৰ	x u ɹ
খুৰা	kʰ u ɹ a
খুৰা	x u ɹ a
খুৰী	kʰ u ɹ i
খুৰুৱা	kʰ u ɹ u a
খুৰুৱা	x u ɹ u a
খুৰোৱা	kʰ u ɹ ʊ a
খুৰোৱা	x u ɹ ʊ a
খুৱা	kʰ u a
খুৱা	x u a
খেঁকাৰ	kʰ ẽ k a ɹ
খেজুৰ	kʰ ɛ z u ɹ
খেজুৰ	x ɛ z u ɹ
খেতি	kʰ e t i
খেতি	x e t i
খেতিয়ক	kʰ e t i ɔ k
খেতিয়ক	x e t i ɔ k
খেদা	kʰ ɛ d a
খেপিওৱা	kʰ ɛ p i ʊ a
খেপিওৱা	x ɛ p i ʊ a
খেলনা	kʰ ɛ l n a
খেলা	kʰ ɛ l a
খেলাবস্তু	kʰ ɛ l a b ɔ s t u
খেলিমেলি	kʰ ɛ l i m ɛ l i
খেলুৱৈ	kʰ ɛ l u o ɪ
খেৰ	kʰ ɛ ɹ
খোঁচা	kʰ ʊ̃ s a
খোঁচৰা	kʰ ʊ̃ s ɔ ɹ a
খোঁট	kʰ ʊ̃ t
খোঁপা	kʰ ʊ̃ p a
খোওৱা	kʰ ʊ ʊ a
খোজ	kʰ ʊ z
খোজ	x ʊ z
খোজা	kʰ ʊ z a
খোলা	kʰ ʊ l a
খোৱা	kʰ ʊ a
খোৱা	x ʊ a
খোৱাবস্তু	kʰ ʊ a b ɔ s t u
খৰ	kʰ ɔ ɹ
খৰচ	kʰ ɔ ɹ ɔ s
খৰচ	x ɔ ɹ ɔ s
খৰচী	kʰ ɔ ɹ ɔ s i
খৰচী	x ɔ ɹ ɔ s i
খৰম	kʰ ɔ ɹ ɔ m
খৰম	x ɔ ɹ ɔ m
খৰাং	kʰ ɔ ɹ a ŋ
খৰালি	kʰ ɔ ɹ a l i
খৰি	kʰ ɔ ɹ i
খৰিকটীয়া	kʰ ɔ ɹ i k ɔ t i a
গ	ɡ ɔ
গঁড়	ɡ ɔ̃ ɹ
গঁৰাল	ɡ ɔ̃ ɹ a l
গংগাটোপ	ɡ ɔ ŋ ɡ a t ʊ p
গঙা	ɡ ɔ ŋ a
গঙাটোপ	ɡ ɔ ŋ a t ʊ p
গঙ্গাটোপ	ɡ ɔ ŋ ɡ a t ʊ p
গচকা	ɡ ɔ s ɔ k a
গছ	ɡ ɔ s
গজল	ɡ ɔ z ɔ l
গজা	ɡ ɔ z a
গজালি	ɡ ɔ z a l i
গড়	ɡ ɔ ɹ
গঢ়া	ɡ ɔ ɹʱ a
গণ	ɡ ɔ n
গণা	ɡ ɔ n a
গতোৱা	ɡ ɔ t ʊ a
গধুৰ	ɡ ɔ dʱ u ɹ
