AFI	a f i
Pesqueira	p e s k e j ɾ a̝
Pichel	p i t͡ʃ ɛ l
Piñeiro	p i ɲ e j ɾ o̝
Poceiro	p o θ e j ɾ o̝
Polonia	p o l ɔ n j ɐ
Pombo	p ɔ m b o̝
Pontenova	p o n t e n ɔ β a̝
Pontenova	p ɔ n t e n ɔ β a̝
Pontevedra	p o n t e b ɛ d ɾ a
Portela	p o ɾ t ɛ l a̝
Pose	p ɔ s e̝
Poseiro	p o s e j ɾ o̝
Posse	p ɔ s e̝
Prol	p ɾ ɔ l
Páez	p a e s
Páez	p a e θ
Randolfe	r a n d o l f e
Randufe	r a n d u f e̝
Randulfe	r a n d u l f e̝
Raposo	r a p o s o̝
Rebordela	r e b o ɾ d ɛ l a
Rebordelo	r e β o ɾ ð ɛ l o̝
Rebordelos	r e β o ɾ ð ɛ l o̝ s
Reboreda	r e β o ɾ e ð a̝
Reboredo	r e β o ɾ e ð o̝
Reborido	r e β o ɾ i ð o̝
Reguengo	r e ħ ɛ ŋ ħ o
Reguengo	r e ɡ ɛ ŋ ɡ o
Renche	r e n t͡ʃ e
Requesende	r e k e s e n d e̝
Requiá	r e k i a
Requián	r e k i a ŋ
Requiás	r e k i a s
Rial	r i a l
Riazó	r i a θ ɔ
Riazón	r i a θ o ŋ
Ribadavia	r i b a d a b j a
Riquián	r i k i a ŋ
Rodeiro	r o ð e j ɾ o̝
Rodrigo	r o d ɾ i ħ o
Rodrigo	r o d ɾ i ɡ o
Rodríguez	r o d ɾ i ħ e s
Rodríguez	r o d ɾ i ħ e θ
Rodríguez	r o d ɾ i ɡ e θ
Roi	r ɔ j
Roldán	r o l d a ŋ
Román	r o m a ŋ
Rosamonde	r o s a m o n d e̝
Rosomil	r o s o m i l
Rozavales	r o θ a β a l e̝ s
Rusia	r u s j a
Rute	r u t ɪ
Sa	s aː
Saa	s aː
Saavedra	s a a b ɛ d ɾ a
Sabariz	s a β a ɾ i θ
Sabarís	s a β a ɾ i s
Salgado	s a l ħ a d o
Salgado	s a l ɡ a d o
Salnés	s a l n e s
Salvaterra	s a l β a t ɛ r a̝
Samos	s a m o̝ s
Sandiás	s a n d i a s
Sandiás	s a n d j a s
Sangiao	s a n ʃ i a o̯
Sanjiao	s a n ʃ i a o̯
Santiago	s a n t j a ħ o
Santiago	s a n t j a ɡ o
Sanxenxo	s a n ʃ ɛ n ʃ o̝
Sar	s a ɾ
Sara	s a ɾ a
Sarria	s a r j a̝
Saturno	s a t u ɾ n o
Sedofeito	s e ð o f e j t o̝
Seoane	s e̯ ɔ a n e̝
Seoane	s ɔ a n e̝
Serantes	s e ɾ a n t e̝ s
Sevilla	s e b i ɟ a
Siria	s i ɾ j a
Sofía	s o f i a
Somoza	s o m o θ a̝
Souto	s o w t o̝
Sésamo	s e s a̝ m o̝
Sísamo	s i s a̝ m o̝
Taboada	t a β o̯ a ð a̝
Tailandia	t a j l a n d j a
Tamuxe	t a m u ʃ e̝
Tato	t a t o̝
Taxiquistán	t a ʃ i k i s t a ŋ
Terra	t ɛ r a̝
Tesouro	t e s o w ɾ o̝
Tixoa	t i ʃ ɔ a̝
Toiberde	t u j β e ɾ ð e̝
Toimil	t o j m i l
Toimil	t ɔ j m i l
Toiriz	t o j ɾ i θ
Tolosa	t o l o s a
Tomé	t o m ɛ
Touriñán	t o w ɾ i ɲ a ŋ
Toutón	t o w t o ŋ
Tragove	t ɾ a ɣ ɔ β e̝
Triabá	t ɾ i a β a
Triacastela	t ɾ i a k a s t ɛ l a̝
Trives	t ɾ i β e̝ s
Trobe	t ɾ ɔ β e̝
Troitosende	t ɾ o j t o s e n d e̝
Tuimil	t u j m i l
Támboga	t a m b o̝ ɣ a̝
Támega	t a m e̝ ɣ a̝
Támoga	t a m o̝ ɣ a̝
Tánxer	t a n ʃ e ɾ
Tíbet	t i b e t
Valdeorras	b a l d e o r a̝ s
Valella	b a l e ʎ a̝
Valente	b a l ɛ n t e̝
Varela	b a ɾ ɛ l a
Vasalo	b a s a l o
Veiga	b e j ɣ a̝
Veitureira	b e j t u ɾ e j ɾ a̝
Veloso	b e l o s o
Venecia	b e n e s j a
Venecia	b e n e θ j a
Ventureira	b e n t u ɾ e j ɾ a̝
Viana	b i a n a̝
Vieites	b i e j t e̝ s
Vigo	b i ħ o̝
Vigo	b i ɣ o̝
Vila	b i l a̝
Vilaguillulfe	b i l a ɣ i ʎ u l f e̝
Vilargondurfe	b i l a ɾ ɡ o n d u ɾ f e̝
Vilasantar	b i l a s a n t a ɾ
Vilouchada	b i l o w t͡ʃ a ð a̝
Vitureira	b i t u ɾ e j ɾ a̝
Viveiro	b i β e j ɾ o̝
Viéitez	b i e j t e̝ θ
Viña	b i ɲ a̝
Viñoa	b i ɲ ɔ a̝
Voutureira	b o w t u ɾ e j ɾ a̝
Vázquez	b a s k e s
Vázquez	b a θ k e θ
Xacobe	ʃ a k ɔ b e
Xamaica	ʃ a m a j k a
Xan	ʃ a ŋ
Xapón	ʃ a p o ŋ
Xaquín	ʃ a k i ŋ
Xenarde	ʃ e n a ɾ d e
Xenebra	ʃ e n ɛ b ɾ a
Xenxo	ʃ ɛ n ʃ o
Xeremías	ʃ e ɾ e m i a s
Xesús	ʃ ɛ s u s
Xiabre	ʃ i a β ɾ e̝
Xiao	ʃ i a o̯
Xibraltar	ʃ i b ɾ a l t a ɾ
Xián	ʃ i a ŋ
Xoana	ʃ w a n a
Xosé	ʃ o s ɛ
Xoán	ʃ o̯ a ŋ
Xoán	ʃ ʊ a ŋ
Xudit	ʃ u d i t
Xudite	ʃ u d i t e
Xurxo	ʃ u ɾ ʃ o
Xácome	ʃ a k o m e
Xúpiter	ʃ u p i t e ɾ
Zambia	s a m b j a
Zambia	θ a m b j a
Zanfoga	θ a ɱ f ɔ ɣ a̝
aba	a b a
abacá	a b a k a
abada	a b a d a
abade	a b a d e
abadengo	a b a d e ŋ ħ o
abadengo	a b a d e ŋ ɡ o
abadesa	a b a d e s a
abadexo	a b a d e ʃ o
abadía	a b a d i a
abafante	a b a f a n t e
abafar	a b a f a ɾ
abafo	a b a f o
abaixar	a b a j ʃ a ɾ
abaixo	a b a j ʃ o
abalar	a b a l a ɾ
abaloucar	a b a l o w k a ɾ
abandonar	a b a n d o n a ɾ
abandono	a b a n d o n o
abanear	a b a n e a ɾ
abanicar	a b a n i k a ɾ
abanico	a b a n i k o
abano	a b a n o
abarca	a b a ɾ k a
abarquilar	a b a ɾ k i l a ɾ
abastanza	a b a s t a n s a
abastanza	a b a s t a n θ a
abastecemento	a b a s t e s e m e n t o
abastecemento	a b a s t e s e m ɛ n t o
abastecemento	a b a s t e θ e m e n t o
abastecemento	a b a s t e θ e m ɛ n t o
abastecer	a b a s t e s e ɾ
abastecer	a b a s t e θ e ɾ
abasto	a b a s t o
abate	a b a t e
abater	a b a t e ɾ
abates	a b a t e s
abaxial	a b a k s j a l
abdicación	a b d i k a s j o ŋ
abdicación	a b d i k a θ j o ŋ
abdicar	a b d i k a ɾ
abdome	a b d ɔ m e
abducir	a b d u s i ɾ
abducir	a b d u θ i ɾ
abduciu	a b d u s i w
abduciu	a b d u θ i w
abduziu	a b d u s i w
abduziu	a b d u θ i w
abeberar	a b e b e ɾ a ɾ
abelaira	a b e l a j ɾ a
abeleira	a b e l e j ɾ a
abella	a b e ɟ a
abellariza	a b e ɟ a ɾ i s a
abellariza	a b e ɟ a ɾ i θ a
abelleira	a b e ɟ e j ɾ a
abelleiro	a b e ɟ e j ɾ o
abellón	a b e ɟ o ŋ
abelurio	a b e l u ɾ j o
abelá	a b e l a
aberración	a b e r a s j o ŋ
aberración	a b e r a θ j o ŋ
aberraçom	a b e r a s o ŋ
aberraçom	a b e r a θ o ŋ
aberração	a b e r a s o ŋ
aberração	a b e r a θ o ŋ
abertamente	a b ɛ ɾ t a m e n t e
aberto	a b ɛ ɾ t o
abesouro	a b e s o w ɾ o
abetar	a b e t a ɾ
abeto	a b e t o
abetocar	a β e t ɔ k a ɾ
abetouro	a b e t o w ɾ o
abiñar	a b i ɲ a ɾ
ablación	a b l a s j o ŋ
ablación	a b l a θ j o ŋ
ablución	a b l u s j o ŋ
ablución	a b l u θ j o ŋ
abnegación	a b n e ħ a s j o ŋ
abnegación	a b n e ħ a θ j o ŋ
abnegación	a b n e ɡ a θ j o ŋ
abnegaçom	a b n e ħ a s o ŋ
abnegaçom	a b n e ħ a θ o ŋ
abnegaçom	a b n e ɡ a θ o ŋ
abnegação	a b n e ħ a s o ŋ
abnegação	a b n e ħ a θ o ŋ
abnegação	a b n e ɡ a θ o ŋ
aboar	a β o a ɾ
abofé	a b o f ɛ
aboiar	a b o j a ɾ
aboiar	a b ɔ j a ɾ
abolición	a b o l i s j o ŋ
abolición	a b o l i θ j o ŋ
abominable	a b o m i n a b l e
abominábel	a b o m i n a b ɛ l
abondar	a β o n d a ɾ
abondo	a b o n d o
abouxar	a b o w ʃ a ɾ
abraiar	a b ɾ a j a ɾ
abrandamento	a b ɾ a n d a m e n t o
abrandamento	a b ɾ a n d a m ɛ n t o
abrandar	a b ɾ a n d a ɾ
abranguer	a b ɾ a ŋ ħ e ɾ
abranguer	a b ɾ a ŋ ɡ e ɾ
abrazar	a b ɾ a s a ɾ
abrazar	a b ɾ a θ a ɾ
abrazo	a b ɾ a s o
abrazo	a b ɾ a θ o
abrente	a b ɾ e n t e
abrente	a b ɾ ɛ n t e
abreviación	a b ɾ ɛ b j a s j o ŋ
abreviación	a b ɾ ɛ b j a θ j o ŋ
abreviatura	a b ɾ ɛ b j a t u ɾ a
abridor	a b ɾ i d o ɾ
abridores	ɐ β ɾ i ð o ɾ ɪ s
abrigo	a b ɾ i ħ o
abrigo	a b ɾ i ɡ o
abrigos	a b ɾ i ħ o s
abrigos	a b ɾ i ɡ o s
abrigoso	a b ɾ i ħ o s o
abrigoso	a b ɾ i ɡ o s o
abril	a b ɾ i l
abrollo	a b ɾ ɔ ɟ o
abruño	a b ɾ u ɲ o
abrótea	a b ɾ ɔ t e a
abrótega	a b ɾ ɔ t e ħ a
abrótega	a b ɾ ɔ t e ɡ a
absoluto	a b s o l u t o
absorbente	a b s o ɾ b e n t e
abster	a b s t e ɾ
abstracto	a b s t ɾ a k t o
absurdamente	a b s u ɾ d a m e n t e
abubela	a b u b ɛ l a
abullar	a b u ɟ a ɾ
abundancia	a b u n d a n s j a
abundancia	a b u n d a n θ j a
abundante	a b u n d a n t e
aburar	a b u ɾ a ɾ
aburrido	a b u r i d o
aburrir	a b u r i ɾ
aburriu	a b u r i w
abusivo	a b u s i b o
acababa	a k a b a b a
acabado	a k a b a d o
acabar	a k a b a ɾ
acadar	a k a d a ɾ
acaer	a k a e ɾ
acalentar	a k a l e n t a ɾ
acalentar	a k a l ɛ n t a ɾ
acampamento	a k a m p a m e n t o
acanaladura	a k a n a l a d u ɾ a
acanear	a k a n e a ɾ
acantoar	a k a n t o a ɾ
acaramelar	a k a ɾ a m e l a ɾ
acaramelar	a k a ɾ a m ɛ l a ɾ
acareo	a k a ɾ e o
acariñar	a k a ɾ i ɲ a ɾ
acaroar	a k a ɾ o a r
acarreirar	a k a r e j ɾ a ɾ
acañar	a k a ɲ a ɾ
acción	a k s j o ŋ
acción	a k θ j o ŋ
acea	a θ e a̝
aceal	a s e a l
aceal	a θ e a l
aceda	a θ e ð a̝
acedo	a s e d o
acedo	a θ e d o
acedume	a s e d u m e
acedume	a θ e d u m e
aceiro	a s e j ɾ o
aceiro	a θ e j ɾ o
aceitar	a s e j t a ɾ
aceitar	a θ e j t a ɾ
aceite	a s e j t e
aceite	a θ e j t e
acelga	a s ɛ l ħ a
acelga	a θ ɛ l ħ a
acelga	a θ ɛ l ɡ a
acender	a s e n d e ɾ
acender	a θ e n d e ɾ
aceno	a θ e n o̝
acepción	a s ɛ p s j o ŋ
acepción	a θ ɛ p θ j o ŋ
aceptable	a s ɛ p t a b l e
aceptable	a θ ɛ p t a b l e
aceptablemente	a s ɛ p t a b l e m e n t e
aceptablemente	a θ ɛ p t a b l e m e n t e
aceptación	a s e p t a s j o ŋ
aceptación	a θ e p t a θ j o ŋ
aceptar	a s ɛ p t a ɾ
aceptar	a θ ɛ p t a ɾ
acerbo	a s ɛ ɾ b o
acerbo	a θ ɛ ɾ b o
acereiro	a θ e ɾ e j ɾ o̝
acertar	a s e ɾ t a ɾ
acertar	a θ e ɾ t a ɾ
aceso	a s e s o̝
aceso	a θ e s o̝
acevo	a s e b o
acevo	a θ e b o
acha	a t͡ʃ a
achadizo	a t͡ʃ a d i s o
achadizo	a t͡ʃ a d i θ o
achaiar	a t͡ʃ a j a ɾ
achandar	a t͡ʃ a n d a ɾ
achantar	a t͡ʃ a n t a ɾ
achanzar	a t͡ʃ a n s a ɾ
achanzar	a t͡ʃ a n θ a ɾ
achaque	a t͡ʃ a k e
achar	a t͡ʃ a ɾ
achegar	a t͡ʃ e ɣ a ɾ
achen	a t͡ʃ e ŋ
achorentar	a t͡ʃ o ɾ e n t a ɾ
achorentar	a t͡ʃ o ɾ ɛ n t a ɾ
acibeche	a s i b ɛ t͡ʃ e
acibeche	a θ i b ɛ t͡ʃ e
acibecheiro	a s i β ɛ t͡ʃ e i ɾ o̝
acibecheiro	a θ i β ɛ t͡ʃ e i ɾ o̝
acio	a s j o
acio	a θ j o
acivro	a s i b ɾ o
acivro	a θ i b ɾ o
aciñeira	a θ i ɲ e j ɾ a̝
acme	a k m e
acoller	a k o ʎ e ɾ
acolá	a k o l a
acomodar	a k o m o d a ɾ
acompañamento	a k o m p a ɲ a m e n t o
acompañamento	a k o m p a ɲ a m ɛ n t o
acompañar	ɐ k ɔ m p ɐ ɲ a ɾ
