A	a
bruk	b r u k
bruku	b r u k u
brunica	b r u nʲ i t͡s a
brunice	b r u nʲ i t͡s ɛ
brus	b r u s
bruse	b r u s ɛ
brusk	b r u s k
bryła	b r ɨ w a
bryla	b r ɨ l a
bryle	b r ɨ l ɛ
bubon	b u b ɔ n
budka	b u t k a
buducy	b u d u t͡s ɨ
Budyšyn	b u d ɨ ʃ ɨ n
bujny	b u j n ɨ
buk	b u k
Bulgarska	b u l ɡ a r s k a
bušćo	b u ɕ t͡ɕ ɔ
buštej	b u ʃ t ɛ j
butra	b u t r a
buwoł	b u w ɔ w
buź	b u ɕ
buźćo	b u ɕ t͡ɕ ɔ
buźom	b u ʑ ɔ m
buźomej	b u ʑ ɔ m ɛ j
buźomy	b u ʑ ɔ m ɨ
buźoš	b u ʑ ɔ ʃ
buźośo	b u ʑ ɔ ɕ ɔ
buźotej	b u ʑ ɔ t ɛ j
buźtej	b u ɕ t ɛ j
bydle	b ɨ d l ɛ
bydlenje	b ɨ d l ɛ nʲ ɛ
bydli	b ɨ d l i
bydlił	b ɨ d l i w
bydlim	b ɨ d l i m
bydliś	b ɨ d l i ɕ
bydlit	b ɨ d l i t
byk	b ɨ k
był	b ɨ w
była	b ɨ w a
byłej	b ɨ w e j
byli	b ɨ l i
byś	b ɨ ɕ
byśe	b ɨ ɕ ɛ
byt	b ɨ t
bźez	b ʑ ɛ s
b́edro	bʲ ɛ d r ɔ
c	t͡s
C	t͡s
candaŕ	t͡s a n d a rʲ
capla	t͡s a p l a
caple	t͡s a p l ɛ
caplu	t͡s a p l u
carna	t͡s a r n a
carne	t͡s a r n ɛ
carnem	t͡s a r n ɛ m
carnica	t͡s a r nʲ i t͡s a
carny	t͡s a r n ɨ
cas	t͡s a s
casa	t͡s a s a
casach	t͡s a s a x
case	t͡s a s ɛ
casnik	t͡s a s ɲ i k
cej	t͡s ɛ j
ceja	t͡s ɛ j a
ceje	t͡s ɛ j ɛ
ceji	t͡s ɛ j i
ceło	t͡s ɛ w ɔ
cele	t͡s ɛ l ɛ
cep	t͡s ɛ p
ceptaŕ	t͡s ɛ p t a rʲ
cepy	t͡s ɛ p ɨ
cerkwja	t͡s ɛ r k vʲ a
cerw	t͡s ɛ r f
cerwjeny	t͡s ɛ r vʲ ɛ n ɨ
cesa	t͡s ɛ s a
cesć	t͡s ɛ s t͡ɕ
cesta	t͡s ɛ s t a
cesto	t͡s ɛ s t ɔ
cesty	t͡s ɛ s t ɨ
cłowjek	t͡s w ɔ vʲ ɛ k
co	t͡s ɔ
cogo	t͡s ɔ ɡ ɔ
coła	t͡s ɔ w a
cołka	t͡s ɔ w k a
cołn	t͡s ɔ w n
cole	t͡s ɔ l ɛ
comu	t͡s ɔ m u
cora	t͡s ɔ r a
coš	t͡s ɔ ʃ
cowanje	t͡s ɔ w a nʲ ɛ
což	t͡s ɔ ʃ
crjej	t͡s rʲ ɛ j
crjop	t͡s rʲ ɔ p
cuju	t͡s u j u
cukor	t͡s u k ɔ r
cuś	t͡s u ɕ
cut	t͡s u t
cuzy	t͡s u z ɨ
cybula	t͡s ɨ b u l a
cycaś	t͡s ɨ t͡s a ɕ
cyni	t͡s ɨ nʲ i
cynił	t͡s ɨ nʲ i w
cynim	t͡s ɨ nʲ i m
cynimej	t͡s ɨ nʲ i m e j
cynimy	t͡s ɨ nʲ i m ɨ
cyniš	t͡s ɨ ɲ i ʃ
cyniś	t͡s ɨ ɲ i ɕ
cyniśo	t͡s ɨ ɲ i ɕ ɔ
cynitej	t͡s ɨ nʲ i t e j
cynje	t͡s ɨ nʲ ɛ
cysło	t͡s ɨ s w ɔ
cysta	t͡s ɨ s t a
cyste	t͡s ɨ s t ɛ
cysty	t͡s ɨ s t ɨ
cytanje	t͡s ɨ t a nʲ ɛ
cytaś	t͡s ɨ t a ɕ
Č	t͡ʃ
č	t͡ʃ
čaj	t͡ʃ a j
Česka	t͡ʃ ɛ s k a
česki	t͡ʃ ɛ s kʲ i
češćina	t͡ʃ ɛ ɕ t͡ɕ i n a
čet	t͡ʃ ɛ t
ć	t͡ɕ
Ć	t͡ɕ
ćej	t͡ɕ ɛ j
da	d a
dach	d a x
dał	d a w
dalej	d a l ɛ j
dali	d a l i
dalina	d a l i n a
daloko	d a l ɔ k ɔ
damast	d a m a s t
Dan	d a n
Dana	d a n a
dane	d a n ɛ
daneje	d a n ɛ j ɛ
danje	d a nʲ ɛ
dank	d a n k
danki	d a n kʲ i
danku	d a n k u
danu	d a n u
dany	d a n ɨ
Dany	d a n ɨ
dat	d a t
daty	d a t ɨ
dawa	d a w a
dawaś	d a w a ɕ
dawno	d a w n ɔ
dawny	d a w n ɨ
dej	d ɛ j
dejał	d ɛ j a w
dejanje	d ɛ j a nʲ ɛ
dejaś	d ɛ j a ɕ
deje	d ɛ j ɛ
deri	d ɛ rʲ i
deriś	d ɛ rʲ i ɕ
dešć	d ɛ ɕ t͡ɕ
dirigent	dʲ i rʲ i ɡʲ ɛ n t
dirigentka	dʲ i rʲ i ɡʲ ɛ n t k a
diskutowaś	dʲ i s k u t ɔ w a ɕ
dłoń	d w ɔ ɲ
dług	d w u k
długa	d w u ɡ a
długi	d w u ɡʲ i
dłujki	d w u j kʲ i
dłymoki	d w ɨ m ɔ kʲ i
dla	d l a
dnja	d ɲ a
do	d ɔ
dobra	d ɔ b r a
dobre	d ɔ b r ɛ
dobrego	d ɔ b r ɛ ɡ ɔ
dobrej	d ɔ b r ɛ j
dobrem	d ɔ b r ɛ m
dobremu	d ɔ b r ɛ m u
dobrota	d ɔ b r ɔ t a
dobru	d ɔ b r u
dobry	d ɔ b r ɨ
dobrych	d ɔ b r ɨ x
dobrym	d ɔ b r ɨ m
dobrymi	d ɔ b r ɨ mʲ i
dokulaž	d ɔ k u l a ʃ
doł	d ɔ w
dołojce	d ɔ w ɔ j t͡s ɛ
dole	d ɔ l ɛ
dom	d ɔ m
doma	d ɔ m a
domacnosć	d ɔ m a t͡s n ɔ s t͡ɕ
domy	d ɔ m ɨ
dopomnjeś	d ɔ p ɔ m nʲ e ɕ
dosć	d ɔ s t͡ɕ
drap	d r a p
drapaś	d r a p a ɕ
drjewo	d rʲ ɛ w ɔ
Drježdźany	d rʲ ɛ ʑ d͡ʑ a n ɨ
drob	d r ɔ p
droba	d r ɔ b a
drobami	d r ɔ b a mʲ i
droby	d r ɔ b ɨ
droga	d r ɔ ɡ a
droga	d r ɔ w ɡ a
droga	d r ɔ ɡ a
droge	d r ɔ ɡʲ ɛ
drogi	d r ɔ ɡʲ i
drogi	d r ɔ ɡʲ i
drogi	d r ɔ w ɡʲ i
drogich	d r ɔ ɡʲ i x
drogowy	d r ɔ w ɡ ɔ w ɨ
droze	d r ɔ z ɛ
droze	d r ɔ w z ɛ
droznje	d r ɔ z nʲ ɛ
droždźeje	d r ɔ ʑ d͡ʑ ɛ j ɛ
drožka	d r ɔ ʃ k a
drugi	d r u ɡʲ i
drugich	d r u ɡʲ i x
du	d u
dub	d u p
dubach	d u b a x
dubje	d u bʲ ɛ
duł	d u w
duś	d u ɕ
dut	d u t
dute	d u t ɛ
duty	d u t ɨ
dwa	d w a
dwě	d vʲ ɪ
dwór	d w ɛ r
dwór	d w ɨ r
dwór	d w ʊ r
dy	d ɨ
dychaś	d ɨ x a ɕ
dym	d ɨ m
dyma	d ɨ m a
dymom	d ɨ m ɔ m
ef	ɛ f
ej	ɛ j
ejn	ɛ j n
ejŕ	ɛ j rʲ
eł	ɛ w
el	ɛ l
elefant	ɛ l ɛ f a n t
elektrikaŕ	ɛ l ɛ k t rʲ i k a rʲ
em	ɛ m
en	ɛ n
engelšćina	ɛ ŋʲ ɡʲ e l ɕ t͡ɕ i n a
er	ɛ r
es	ɛ s
Estniska	ɛ s t ɲ i s k a
eš	ɛ ʃ
ezel	ɛ z ɛ l
ě	ɪ
ě	j
ě	ɛ
Ě	ɪ
Ě	j
Ě	ɛ
ět	ɪ t
fabrice	f a b rʲ i t͡s ɛ
fabrika	f a b rʲ i k a
fabriki	f a b rʲ i kʲ i
fagot	f a ɡ ɔ t
fagoty	f a ɡ ɔ t ɨ
familija	f a mʲ i l i j a
fanfara	f a n f a r a
fara	f a r a
faram	f a r a m
faraŕ	f a r a rʲ
faru	f a r u
fary	f a r ɨ
fasada	f a s a d a
ferije	f ɛ rʲ i j ɛ
fidle	fʲ i d l ɛ
filozof	fʲ i l ɔ z ɔ f
filozofa	fʲ i l ɔ z ɔ f a
filozofam	fʲ i l ɔ z ɔ f a m
filozofy	fʲ i l ɔ z ɔ f ɨ
formowaś	f ɔ r m ɔ w a ɕ
Francojska	f r a n t͡s ɔ j s k a
francojšćina	f r a n t͡s ɔ j ɕ t͡ɕ i n a
ga	ɡ a
gaby	ɡ a b ɨ
gad	ɡ a t
gada	ɡ a d a
gadach	ɡ a d a x
gadam	ɡ a d a m
gadami	ɡ a d a mʲ i
gadom	ɡ a d ɔ m
gady	ɡ a d ɨ
galerija	ɡ a l ɛ rʲ i j a
gano	ɡ a n ɔ
garba	ɡ a r b a
gardina	ɡ a r dʲ i n a
garona	ɡ a r ɔ n a
gat	ɡ a t
gaž	ɡ a ʃ
gdy	d ɨ
gdyby	d ɨ b ɨ
gej	ɡ ɛ j
gib	ɡʲ i p
gibanje	ɡʲ i b a nʲ ɛ
gjarb	ɡʲ a r p
gjardło	ɡʲ a r d w ɔ
gjardosć	ɡʲ a r d ɔ s t͡ɕ
gjardy	ɡʲ a r d ɨ
gjargawa	ɡʲ a r ɡ a w a
gjarsć	ɡʲ a r s t͡ɕ
gładki	ɡ w a t kʲ i
gładkich	ɡ w a t kʲ i x
gładko	ɡ w a t k ɔ
głog	ɡ w ɔ k
głogi	ɡ w ɔ ɡʲ i
głogom	ɡ w ɔ ɡ ɔ m
głogu	ɡ w ɔ ɡ u
głos	ɡ w ɔ s
głowa	ɡ w ɔ w a
głuchy	ɡ w u x ɨ
głupy	ɡ u p ɨ
glej	ɡ l ɛ j
glědaś	ɡ l ɪ d a ɕ
gnězdo	ɡ ɲ ɪ z d ɔ
gnida	ɡ nʲ i d a
gołub	ɡ ɔ w u p
gołubja	ɡ ɔ w u bʲ a
goły	ɡ ɔ w ɨ
gowjedo	ɡ ɔ vʲ ɛ d ɔ
gowjedo	ɡ ɔ j ɛ d ɔ
gód	ɡ ɨ t
gód	ɡ ɛ t
gód	ɡ ʊ t
gódy	ɡ ɨ d ɨ
gódy	ɡ ɛ d ɨ
gódy	ɡ ʊ d ɨ
gójś	ɡ ɛ j ɕ
góla	ɡ ɛ l a
góla	ɡ ɨ l a
góla	ɡ ʊ l a
gólc	ɡ ɛ l t͡s
gólc	ɡ ɨ l t͡s
gólc	ɡ ʊ l t͡s
góle	ɡ ɨ l ɛ
góle	ɡ ɛ l ɛ
góle	ɡ ʊ l ɛ
góleśa	ɡ ɛ l ɛ ɕ a
góleśa	ɡ ɨ l ɛ ɕ a
góleśa	ɡ ʊ l ɛ ɕ a
góńtwowaś	ɡ ɛ ɲ t w ɔ w a ɕ
góńtwowaś	ɡ ɨ ɲ t w ɔ w a ɕ
góńtwowaś	ɡ ʊ ɲ t w ɔ w a ɕ
góra	ɡ ɛ r a
góra	ɡ ɨ r a
góra	ɡ ʊ r a
górach	ɡ ɨ r a x
górach	ɡ ɛ r a x
górach	ɡ ʊ r a x
góram	ɡ ɨ r a m
góram	ɡ ɛ r a m
góram	ɡ ʊ r a m
górami	ɡ ɨ r a m ɨ
górami	ɡ ɛ r a m ɨ
górami	ɡ ʊ r a m ɨ
górce	ɡ ɨ r t͡s ɛ
górce	ɡ ɛ r t͡s ɛ
górce	ɡ ʊ r t͡s ɛ
górjejce	ɡ ɨ rʲ ɛ j t͡s ɛ
górjejce	ɡ ɛ rʲ ɛ j t͡s ɛ
górjejce	ɡ ʊ rʲ ɛ j t͡s ɛ
górka	ɡ ɛ r k a
górka	ɡ ɨ r k a
górka	ɡ ʊ r k a
górki	ɡ ɨ r kʲ i
górki	ɡ ɛ r kʲ i
górki	ɡ ʊ r kʲ i
góršy	ɡ ɛ r ʃ ɨ
góršy	ɡ ɨ r ʃ ɨ
góršy	ɡ ʊ r ʃ ɨ
góru	ɡ ɨ r u
góru	ɡ ɛ r u
góru	ɡ ʊ r u
góry	ɡ ɨ r ɨ
góry	ɡ ɛ r ɨ
góry	ɡ ʊ r ɨ
gósć	ɡ ɨ s t͡ɕ
gósć	ɡ ɛ s t͡ɕ
gósć	ɡ ʊ s t͡ɕ
gósća	ɡ ɨ s t͡ɕ a
gósća	ɡ ɛ s t͡ɕ a
gósća	ɡ ʊ s t͡ɕ a
gósćeńc	ɡ ɛ s t͡ɕ ɛ ɲ t͡s
gósćeńc	ɡ ɨ s t͡ɕ ɛ ɲ t͡s
gósćeńc	ɡ ʊ s t͡ɕ ɛ ɲ t͡s
gósći	ɡ ɨ s t͡ɕ i
gósći	ɡ ɛ s t͡ɕ i
gósći	ɡ ʊ s t͡ɕ i
góspodaŕstwo	ɡ ɨ s p ɔ d a rʲ s t w ɔ
góspodaŕstwo	ɡ ɛ s p ɔ d a rʲ s t w ɔ
góspodaŕstwo	ɡ ʊ s p ɔ d a rʲ s t w ɔ
gótowa	ɡ ɨ t ɔ w a
gótowa	ɡ ɛ t ɔ w a
gótowa	ɡ ʊ t ɔ w a
gótowy	ɡ ɨ t ɔ w ɨ
gótowy	ɡ ɛ t ɔ w ɨ
gótowy	ɡ ʊ t ɔ w ɨ
gózdź	ɡ ɛ s t͡ɕ
gózdź	ɡ ɨ s t͡ɕ
gózdź	ɡ ʊ s t͡ɕ
gózdźa	ɡ ɛ z d͡ʑ a
gózdźa	ɡ ɨ z d͡ʑ a
gózdźa	ɡ ʊ z d͡ʑ a
gózdźe	ɡ ɨ z d͡ʑ ɛ
gózdźe	ɡ ɛ z d͡ʑ ɛ
gózdźe	ɡ ʊ z d͡ʑ ɛ
gózdźik	ɡ ɨ z d ʑ i k
gózdźik	ɡ ɛ z d ʑ i k
gózdźik	ɡ ʊ z d ʑ i k
góźba	ɡ ɨ ʑ b a
góźba	ɡ ɛ ʑ b a
góźba	ɡ ʊ ʑ b a
góźina	ɡ ɨ ʑ i n a
góźina	ɡ ɛ ʑ i n a
góźina	ɡ ʊ ʑ i n a
graba	ɡ r a b a
grajo	ɡ r a j ɔ
grali	ɡ r a l i
granica	ɡ r a ɲ i t͡s a
granice	ɡ r a ɲ i t͡s ɛ
granicowaś	ɡ r a ɲ i t͡s ɔ w a ɕ
graś	ɡ r a ɕ
graśe	ɡ r a ɕ ɛ
grat	ɡ r a t
grima	ɡ rʲ i m a
grimaś	ɡ rʲ i m a ɕ
grob	ɡ r ɔ p
groba	ɡ r ɔ b a
grobach	ɡ r ɔ b a x
grobami	ɡ r ɔ b a mʲ i
grobje	ɡ r ɔ bʲ ɛ
grobom	ɡ r ɔ b ɔ m
groby	ɡ r ɔ b ɨ
grod	ɡ r ɔ t
groda	ɡ r ɔ d a
grodach	ɡ r ɔ d a x
grodami	ɡ r ɔ d a mʲ i
grodom	ɡ r ɔ d ɔ m
grody	ɡ r ɔ d ɨ
gromaźe	ɡ r ɔ m a ʑ ɛ
groni	ɡ r ɔ nʲ i
groza	ɡ r ɔ z a
groze	ɡ r ɔ z ɛ
grozu	ɡ r ɔ z u
guba	ɡ u b a
gus	ɡ u s
gusta	ɡ u s t a
guste	ɡ u s t ɛ
gustem	ɡ u s t ɛ m
gusto	ɡ u s t ɔ
gustu	ɡ u s t u
gusty	ɡ u s t ɨ
gwězda	ɡ vʲ ɪ z d a
gymnazium	ɡ ɨ m n a z i u m
h	h
H	h
ha	h a
hengist	ɛ n ɡʲ i s t
hengist	h ɛ n ɡʲ i s t
historiske	h i s t ɔ rʲ i s kʲ ɛ
hodlaŕ	ɔ d l a rʲ
hodlaŕ	h ɔ d l a rʲ
how	ɔ w
hura	h u r a
hurje	h u rʲ ɛ
huroma	h u r ɔ m a
huru	h u r u
hyś	ɨ ɕ
hyś	h ɨ ɕ
CH	x
ch	x
Ch	x
cha	x a
charta	x a r t a
chartach	x a r t a x
chartami	x a r t a mʲ i
chartom	x a r t ɔ m
charty	x a r t ɨ
chłodno	x ɔ d n ɔ
chłodny	x ɔ d n ɨ
chlěw	x l ɪ w
Chorwatska	x ɔ r v a t͡s k a
chójźiś	x ɛ j ʑ i ɕ
chóra	x ɛ r a
chóra	x ɨ r a
chóra	x ʊ r a
chóre	x ɨ r ɛ
chóre	x ɛ r ɛ
chóre	x ʊ r ɛ
chórem	x ɨ r ɛ m
chórem	x ɛ r ɛ m
chórem	x ʊ r ɛ m
chórgoj	x ɛ r ɡ ɔ j
chórgoj	x ɨ r ɡ ɔ j
chórgoj	x ʊ r ɡ ɔ j
chórobny	x ɨ r ɔ b n ɨ
chórobny	x ɛ r ɔ b n ɨ
chórobny	x ʊ r ɔ b n ɨ
chórowni	x ɨ r o w nʲ i
chórowni	x ɛ r o w nʲ i
chórowni	x ʊ r o w nʲ i
chórownja	x ɨ r o w nʲ a
chórownja	x ɛ r o w nʲ a
chórownja	x ʊ r o w nʲ a
chóry	x ɨ r ɨ
chóry	x ɛ r ɨ
chóry	x ʊ r ɨ
chórych	x ɨ r ɨ x
chórych	x ɛ r ɨ x
chórych	x ʊ r ɨ x
chóšć	x ɛ ɕ t͡ɕ
chóšć	x ɨ ɕ t͡ɕ
chóšć	x ʊ ɕ t͡ɕ
Chóśebuski	x ɛ ɕ ɛ b u s kʲ i
Chóśebuski	x ɨ ɕ ɛ b u s kʲ i
Chóśebuski	x ʊ ɕ ɛ b u s kʲ i
Chóśebuz	x ɛ ɕ ɛ b u s
Chóśebuz	x ɨ ɕ ɛ b u s
Chóśebuz	x ʊ ɕ ɛ b u s
Chóśebuza	x ɛ ɕ ɛ b u z a
Chóśebuza	x ɨ ɕ ɛ b u z a
Chóśebuza	x ʊ ɕ ɛ b u z a
chrobry	x r ɔ b r ɨ
chrom	x r ɔ m
chroma	x r ɔ m a
chrome	x r ɔ m ɛ
chromy	x r ɔ m ɨ
chrust	x r u s t
chto	x t ɔ
chudy	x u d ɨ
chyliś	x ɨ l i ɕ
chytšy	x ɨ t͡ʃ ɨ
i	i
informacija	i n f ɔ r m a t͡s i j a
informatice	i n f ɔ r m a tʲ i t͡s ɛ
informatika	i n f ɔ r m a tʲ i k a
inženjer	i n ʒ ɛ ɲ ɛ r
inženjerka	i n ʒ ɛ ɲ ɛ r k a
italšćina	i t a l ɕ t͡ɕ i n a
jabłuko	j a b w u k ɔ
jacmjeń	j a t͡s mʲ ɛ nʲ
jaden	j a d ɛ n
jadnanje	j a d n a nʲ ɛ
jagnje	j a ɡ ɲ ɛ
jagnjeśina	j a ɡ nʲ ɛ ɕ i n a
jagoda	j a ɡ ɔ d a
jajach	j a j a x
jajce	j a j t͡s ɛ
jajko	j a j k ɔ
jajo	j a j ɔ
jano	j a n ɔ
jara	j a r a
jare	j a r ɛ
jarem	j a r ɛ m
jary	j a r ɨ
jaseń	j a s ɛ ɲ
jasne	j a s n ɛ
jasno	j a s n ɔ
jasny	j a s n ɨ
jasnych	j a s n ɨ x
jastśeb	j a s t͡ɕ ɛ p
jastśebik	j a s t͡ɕ ɛ bʲ i k
jastśebja	j a s t͡ɕ ɛ bʲ a
jašćeŕ	j a ɕ t͡ɕ ɛ rʲ
jatšy	j a t͡ʃ ɨ
jazor	j a z ɔ r
jazoro	j a z ɔ r ɔ
jazw	j a s
je	j ɛ
jeb	j ɛ p
jeba	j ɛ b a
jebany	j ɛ b a n ɨ
jebat	j ɛ b a t
jedle	j ɛ d l ɛ
jeglicka	j ɛ ɡ l i t͡s k a
jeje	j ɛ j ɛ
jelenica	j ɛ l ɛ nʲ i t͡s a
jeleń	j ɛ l ɛ ɲ
jerjeł	j ɛ rʲ ɛ w
jerła	j ɛ r w a
Jeruzalem	j ɛ r u z a l ɛ m
jesotr	j ɛ s ɔ t r
jež	j ɛ ʃ
ježe	j ɛ ʒ ɛ
ježyk	j ɛ ʒ ɨ k
jědro	j ɪ d r ɔ
jědu	j ɪ d u
jěł	j ɪ w
jěsć	j ɪ s t͡ɕ
jěś	j ɪ ɕ
jětša	j ɪ t͡ʃ a
jěza	j ɪ z a
jězd	j ɪ s t
jězdźiś	j ɪ z d͡ʑ i ɕ
jězyk	j ɪ z ɨ k
jěźecy	j ɪ ʑ ɛ t͡s ɨ
jěźech	j ɪ ʑ ɛ ç
jěźechmej	j ɪ ʑ ɛ ç m ɛ j
jěźechmy	j ɪ ʑ ɛ ç m ɨ
jěźechu	j ɪ ʑ ɛ ç u
jěźenje	j ɪ ʑ ɛ nʲ ɛ
jěźešćo	j ɪ ʑ ɛ ɕ t͡ɕ ɔ
jěźešo	j ɪ ʑ ɛ ʃ ɔ
jěźeštej	j ɪ ʑ ɛ ʃ t e j
jěźo	j ɪ ʑ ɔ
jěźom	j ɪ ʑ ɔ m
jěźony	j ɪ ʑ ɔ n ɨ
jich	j i x
jima	j i m a
jogo	j ɔ ɡ ɔ
jogurt	j ɔ ɡ u r t
joli	j ɔ l i
jot	j ɔ t
ju	j u
jucha	j u x a
juška	j u ʃ k a
jutšo	j u t͡ʃ ɔ
južo	j u ʒ ɔ
k	k
ka	k a
kacka	k a t͡s k a
kak	k a k
kaka	k a k a
kakawa	k a k a w a
kake	k a kʲ ɛ
kaki	k a kʲ i
kał	k a w
kale	k a l ɛ
kamel	k a m ɛ l
kamela	k a m ɛ l a
kamele	k a m ɛ l ɛ
Kamjenica	k a mʲ ɛ nʲ i t͡s a
kamjeny	k a mʲ ɛ n ɨ
kamjeń	k a mʲ ɛ ɲ
kani	k a nʲ i
kanja	k a nʲ a
kanka	k a n k a
kanki	k a n kʲ i
kanu	k a n u
kanuna	k a n u n a
kapa	k a p a
kapow	k a p ɔ w
kapu	k a p u
kara	k a r a
karnikel	k a r nʲ i kʲ ɛ l
karpa	k a r p a
karu	k a r u
kawce	k a w t͡s ɛ
kawč	k a w t͡ʃ
kawka	k a w k a
kawkach	k a w k a x
kawkami	k a w k a mʲ i
kawki	k a w kʲ i
kenž	kʲ ɛ n ʃ
ketšup	kʲ ɛ t͡ʃ u p
kija	kʲ i j a
kije	kʲ i j ɛ
kiju	kʲ i j u
kim	kʲ i m
Kito	kʲ i t ɔ
kjałbasa	kʲ a w b a s a
kjarcma	kʲ a r t͡s m a
kjarm	kʲ a r m
kłojś	k w ɔ j ɕ
