ale	a l ə
dubje	d u bʲ ə
duj	d u j
duli	d u lʲ i
duta	d u t a
dute	d u t ə
dutu	d u t u
dycha	d ɨ x a
ej	e j
fabrice	f a b rʲ i t͡s ə
fagota	f a ɡ ɔ t a
ferije	f ɛ rʲ i j ə
fidle	fʲ i d l ə
gadow	ɡ a d o w
galerija	ɡ a l ə rʲ i j a
gej	ɡ e j
giba	ɡʲ i b a
gibanje	ɡʲ i b a nʲ ə
gibaś	ɡʲ i b a ɕ
gła	ɡ w a
gładka	ɡ w a t k a
gładkim	ɡ w a t kʲ i m
gładkimi	ɡ w a t kʲ i m i
głowy	ɡ w o w ɨ
glej	ɡ l e j
glicka	ɡ lʲ i t s k a
góle	ɡ ɨ l ə
góle	ɡ ɛ l ə
góle	ɡ ʊ l ə
górce	ɡ ɨ r t͡s ə
górce	ɡ ɛ r t͡s ə
górce	ɡ ʊ r t͡s ə
górjejce	ɡ ɨ rʲ e j t͡s ə
górjejce	ɡ ɛ rʲ e j t͡s ə
górjejce	ɡ ʊ rʲ e j t͡s ə
gótowa	ɡ ɨ t o w a
gótowa	ɡ ɛ t o w a
gótowa	ɡ ʊ t o w a
gótowy	ɡ ɨ t o w ɨ
gótowy	ɡ ɛ t o w ɨ
gótowy	ɡ ʊ t o w ɨ
gózdźe	ɡ ɨ z d͡ʑ ə
gózdźe	ɡ ɛ z d͡ʑ ə
gózdźe	ɡ ʊ z d͡ʑ ə
grab	ɡ r a p
graj	ɡ r a j
grał	ɡ r a w
grała	ɡ r a w a
grałej	ɡ r a w e j
grało	ɡ r a w ɔ
grali	ɡ r a lʲ i
graśe	ɡ r a ɕ ə
griwa	ɡ rʲ i w a
grobje	ɡ r ɔ bʲ ə
grodowy	ɡ r ɔ d o w ɨ
gromaźe	ɡ r ɔ m a ʑ ə
groniś	ɡ r ɔ nʲ i ɕ
groze	ɡ r ɔ z ə
gubawka	ɡ u b a w k a
gubu	ɡ u b u
gumno	ɡ u m n ɔ
gumnyško	ɡ u m n ɨ ʃ k ɔ
guste	ɡ u s t ə
historiska	h i s t ɔ rʲ i s k a
historiske	h i s t ɔ rʲ i s kʲ ə
historiski	h i s t ɔ rʲ i s kʲ i
how	o w
hynak	ɨ n a k
hyšći	ɨ ɕ t ɕ i
hyt	ɨ t
chart	x a r t
chartam	x a r t a m
chołuj	x o w u j
chóre	x ɨ r ə
chóre	x ɛ r ə
chóre	x ʊ r ə
Chóśebuski	x ɛ ɕ ə b u s kʲ i
Chóśebuski	x ɨ ɕ ə b u s kʲ i
Chóśebuski	x ʊ ɕ ə b u s kʲ i
chrome	x r ɔ m ə
chyle	x ɨ l ɛ
chytaś	x ɨ t a ɕ
chytat	x ɨ t a t
jabłucyna	j a b w u t s ɨ n a
jabłušcyna	j a b w u ʃ t s ɨ n a
jacmjeń	j a t͡s mʲ e nʲ
jadnanje	j a d n a nʲ ə
jadno	j a d n ɔ
jagnjeśina	j a ɡ nʲ ə ɕ i n a
jaja	j a j a
jaji	j a j i
jare	j a r ə
jaskolicka	j a s k ɔ lʲ i t͡s k a
jasne	j a s n ə
jasniś	j a s nʲ i ɕ
jedła	j ɛ d w a
jedle	j ɛ d l ə
jegła	j ɛ ɡ w a
jeglicka	j ɛ ɡ lʲ i t͡s k a
jej	j e j
jeje	j e j ə
jeje	j ɛ j ə
jeju	j e j u
jelenica	j e l e nʲ i t͡s a
jelenica	j ɛ l e nʲ i t͡s a
jen	j ɛ n
jěźech	j ɪ ʑ e ç
jěźechmej	j ɪ ʑ e ç m e j
jěźechmy	j ɪ ʑ e ç m ɨ
jěźechu	j ɪ ʑ e ç u
jěźenje	j ɪ ʑ e nʲ ə
jěźešćo	j ɪ ʑ e ɕ t͡ɕ ɔ
jim	j i m
jo	j ɔ
joli	j ɔ lʲ i
jsu	s u
kake	k a kʲ ə
kaku	k a k u
kamele	k a m ɛ l ə
Kamjenica	k a mʲ e nʲ i t͡s a
kana	k a n a
kanka	k a ŋ k a
kanki	k a ŋʲ kʲ i
kapow	k a p o w
karam	k a r a m
karow	k a r o w
karwona	k a r w ɔ n a
kawce	k a w t͡s ə
kaž	k a ʃ
kida	kʲ i d a
kidaś	kʲ i d a ɕ
kidat	kʲ i d a t
kij	kʲ i j
kijach	kʲ i j a x
kijami	kʲ i j a mʲ i
kijom	kʲ i j ɔ m
kisały	kʲ i s a w ɨ
kjarmiś	kʲ a r mʲ i ɕ
klěcaś	k lʲ ɪ t͡s a ɕ
klěkaś	k lʲ ɪ k a ɕ
klěś	k lʲ ɪ ɕ
klina	k lʲ i n a
klon	k l ɔ n
klona	k l ɔ n a
klonam	k l ɔ n a m
knigła	k nʲ i ɡ w a
kofera	k ɔ f ɛ r a
koł	k o w
kole	k ɔ l ɛ
kopje	k ɔ pʲ ə
kónopje	k ɨ n ɔ pʲ ə
kónopje	k ɛ n ɔ pʲ ə
kónopje	k ʊ n ɔ pʲ ə
kórjeń	k ɨ rʲ e nʲ
kórjeń	k ɛ rʲ e nʲ
kórjeń	k ʊ rʲ e nʲ
kóse	k ɨ s ə
kóse	k ɛ s ə
kóse	k ʊ s ə
krale	k r a l ə
kralik	k r a lʲ i k
krotki	k r ɔ t kʲ i
kšasny	k ʃ a s n ɨ
kšawny	k ʃ a w n ɨ
kšej	k ʃ e j
kšet	k ʃ ɛ t
kšyś	k ʃ ɨ ɕ
kšyśe	k ʃ ɨ ɕ ə
kśebjat	k ɕ e bʲ a t
kśebjata	k ɕ e bʲ a t a
kśemjeń	k ɕ e mʲ e nʲ
kulaty	k u l a t ɨ
kulturny	k u l t u r n ɨ
kuna	k u n a
kupadło	k u p a d w ɔ
kupka	k u p k a
kupnica	k u p nʲ i t͡s a
kupnice	k u p nʲ i t͡s ə
kurce	k u r t͡s ə
kurkach	k u r k a x
kurkami	k u r k a mʲ i
łakomnik	w a k ɔ m nʲ i k
łoj	w ɔ j
łoje	w ɔ j ə
łojm	w ɔ j m
łokś	w ɔ k ɕ
łonko	w ɔ n k ɔ
łoska	w ɔ s k a
łoskim	w ɔ s kʲ i m
łoskimi	w ɔ s kʲ i m i
łoź	w ɔ ɕ
lana	l a n a
lanam	l a n a m
lank	l a ŋ k
lawa	l a w a
lažał	l a ʒ a w
laže	l a ʒ ə
lažki	l a ʃ kʲ i
lažy	l a ʒ ɨ
lažym	l a ʒ ɨ m
leśe	l e ɕ ə
leśeł	l e ɕ ɛ w
leśeś	l e ɕ e ɕ
lěkaŕ	lʲ ɪ k a rʲ
lěpšy	lʲ ɪ p ʃ ɨ
lěs	lʲ ɪ s
lěwy	lʲ ɪ w ɨ
lězć	lʲ ɪ s t͡ɕ
lice	lʲ i t͡s ə
licy	lʲ i t͡s ɨ
licyś	lʲ i t͡s ɨ ɕ
lip	lʲ i p
lipa	lʲ i p a
lipach	lʲ i p a x
lipami	lʲ i p a mʲ i
lipat	lʲ i p a t
lipoma	lʲ i p ɔ m a
Lipsk	lʲ i p s k
lipu	lʲ i p u
lipy	lʲ i p ɨ
list	lʲ i s t
lista	lʲ i s t a
listam	lʲ i s t a m
lodka	l ɔ t k a
lube	l u b ə
lubje	l u bʲ ə
lubjej	l u bʲ e j
lubowaś	l u b o w a ɕ
luby	l u b ɨ
luda	l u d a
ludam	l u d a m
lute	l u t ə
ma	m a
mała	m a w a
małe	m a w ə
malina	m a lʲ i n a
malinami	m a lʲ i n a mʲ i
mam	m a m
mama	m a m a
mamach	m a m a x
mapje	m a pʲ ə
mapu	m a p u
mapy	m a p ɨ
marchwej	m a r x w e j
marchwje	m a r x vʲ ə
marchwje	m a r x j ə
marznjo	m a r z nʲ ɔ
marznjom	m a r z nʲ ɔ m
marznu	m a r z n u
marznuł	m a r z n u w
marznuś	m a r z n u ɕ
masć	m a s t͡ɕ
masle	m a s l ə
mecha	m æ x a
mej	m e j
měj	mʲ e j
měrje	mʲ ɪ rʲ ə
mězdze	mʲ ɪ z d͡z ə
miłe	mʲ i w ə
mjaza	mʲ a z a
mjelcał	mʲ ɛ l t͡s a w
mjelcaś	mʲ e l t s a ɕ
mjelce	mʲ ɛ l t͡s ɛ
mjelcy	mʲ ɛ l t͡s ɨ
mjelcym	mʲ ɛ l t͡s ɨ m
mjenja	mʲ e nʲ a
mjeńšy	mʲ e nʲ ʃ ɨ
młode	m w ɔ d ə
młody	m w ɔ d ɨ
młoźinske	m ɔ ʑ i n s kʲ ə
mnjo	m nʲ ɔ
modernam	m ɔ d ɛ r n a m
moderne	m ɔ d ɛ r n ə
modernem	m ɔ d ɛ r n ɛ m
modernu	m ɔ d ɛ r n u
moderny	m ɔ d ɛ r n ɨ
mokšy	m ɔ k ʃ ɨ
módle	m ɨ d l ə
módle	m ɛ d l ə
módle	m ʊ d l ə
módli	m ɨ d lʲ i
módli	m ɛ d lʲ i
módli	m ʊ d lʲ i
módlił	m ɨ d lʲ i w
módlił	m ɛ d lʲ i w
módlił	m ʊ d lʲ i w
módlim	m ɨ d lʲ i m
módlim	m ɛ d lʲ i m
módlim	m ʊ d lʲ i m
módliś	m ɨ d lʲ i ɕ
módliś	m ɛ d lʲ i ɕ
módliś	m ʊ d lʲ i ɕ
módre	m ɨ d r ə
módre	m ɛ d r ə
módre	m ʊ d r ə
mógłej	m ɨ ɡ w e j
mógłej	m ɛ ɡ w e j
mógłej	m ʊ ɡ w e j
mógli	m ɨ ɡ lʲ i
mógli	m ɛ ɡ lʲ i
mógli	m ʊ ɡ lʲ i
móle	m ɨ l ə
móle	m ɛ l ə
móle	m ʊ l ə
móli	m ɨ lʲ i
móli	m ɛ lʲ i
móli	m ʊ lʲ i
móžomej	m ɨ ʒ ɔ m e j
móžomej	m ɛ ʒ ɔ m e j
móžomej	m ʊ ʒ ɔ m e j
móžotej	m ɨ ʒ ɔ t e j
móžotej	m ɛ ʒ ɔ t e j
móžotej	m ʊ ʒ ɔ t e j
mroja	m r ɔ j a
mrok	m r ɔ k
mroz	m r ɔ s
muce	m u t͡s ə
mucka	m u t s k a
mudry	m u d r ɨ
muchy	m u x ɨ
muka	m u k a
muki	m u kʲ i
mule	m u l ə
muli	m u lʲ i
murjowaś	m u rʲ o w a ɕ
muski	m u s kʲ i
muše	m u ʃ ə
mušla	m u ʃ l a
muže	m u ʒ ə
myjo	m ɨ j ɔ
myjom	m ɨ j ɔ m
myju	m ɨ j u
mył	m ɨ w
myli	m ɨ lʲ i
mysli	m ɨ s lʲ i
mysliś	m ɨ s lʲ i ɕ
myslit	m ɨ s lʲ i t
myška	m ɨ ʃ k a
myśe	m ɨ ɕ ə
nadra	n a d r a
nadro	n a d r ɔ
nage	n a ɡʲ ə
nalěwo	n a lʲ ɪ w ɔ
nam	n a m
nama	n a m a
nami	n a mʲ i
nanam	n a n a m
nastwark	n a s t w a r k
nejgóršy	n e j ɡ ɨ r ʃ ɨ
nejgóršy	n e j ɡ ɛ r ʃ ɨ
nejgóršy	n ɛ j ɡ ʊ r ʃ ɨ
nime	nʲ i m ə
nimi	nʲ i mʲ i
nimy	nʲ i m ɨ
niski	nʲ i s kʲ i
niskim	nʲ i s kʲ i m
niskimi	nʲ i s kʲ i mʲ i
niś	nʲ i ɕ
njabogi	nʲ a b ɔ ɡʲ i
njaso	nʲ a s ɔ
njasom	nʲ a s ɔ m
njasośo	nʲ a s ɔ ɕ ɔ
njasu	nʲ a s u
nje	nʲ ɛ
njebjo	nʲ e bʲ ɔ
njejdu	nʲ e j d u
njejo	nʲ e j ɔ
njejo	nʲ ɛ j ɔ
njejsćo	nʲ e j s t͡ɕ ɔ
njejsmej	nʲ e j s m e j
njejsom	nʲ e j s ɔ m
njejstej	nʲ e j s t e j
njejsu	nʲ e j s u
njejsy	nʲ e j s ɨ
njejźo	nʲ e j ʑ ɔ
njejźom	nʲ e j ʑ ɔ m
njejźomej	nʲ e j ʑ ɔ m e j
njewjedro	nʲ e vʲ ɛ d r ɔ
njewjedro	nʲ e j ɛ d r ɔ
njewjedro	nʲ ɛ j ɛ d r ɔ
njewjericka	nʲ e j ə rʲ i t͡s k a
njewjericka	nʲ ɛ j ə rʲ i t͡s k a
njewjericka	nʲ e vʲ ə rʲ i t͡s k a
njo	nʲ ɔ
njom	nʲ ɔ m
nju	nʲ u
nogami	n ɔ ɡ a mʲ i
nosa	n ɔ s a
nose	n ɔ s ə
nosu	n ɔ s u
nowa	n o w a
nowe	n o w ə
nowego	n o w ɛ ɡ ɔ
nowo	n o w ɔ
nožyce	n ɔ ʒ ɨ t͡s ə
pada	p a d a
padaj	p a d a j
padał	p a d a w
padała	p a d a w a
padało	p a d a w ɔ
padali	p a d a lʲ i
padam	p a d a m
padamy	p a d a m ɨ
padat	p a d a t
pak	p a k
pałco	p a w t͡s ɔ
pałcom	p a w t͡s ɔ m
pałcu	p a w t͡s u
pałkach	p a w k a x
pałkaju	p a w k a j u
pałkał	p a w k a w
pałkam	p a w k a m
pałkaś	p a w k a ɕ
pal	p a l
palack	p a l a t s k
pale	p a l ə
pali	p a lʲ i
palice	p a lʲ i t͡s ə
palił	p a lʲ i w
paliła	p a lʲ i w a
paliło	p a lʲ i w ɔ
palim	p a lʲ i m
palimy	p a lʲ i m ɨ
pališ	p a lʲ i ʃ
paliś	p a lʲ i ɕ
paliśo	p a lʲ i ɕ ɔ
palit	p a lʲ i t
palone	p a l ɔ n ə
papam	p a p a m
papje	p a pʲ ə
papu	p a p u
papy	p a p ɨ
parkam	p a r k a m
parki	p a r kʲ i
parku	p a r k u
pase	p a s ə
pětkow	pʲ ɪ t k o w
pětkowu	pʲ ɪ t k o w u
pij	pʲ i j
pijo	pʲ i j ɔ
pijom	pʲ i j ɔ m
piju	pʲ i j u
pile	pʲ i l ə
pili	pʲ i lʲ i
pisa	pʲ i s a
pisaju	pʲ i s a j u
pisam	pʲ i s a m
pisaśo	pʲ i s a ɕ ɔ
piš	pʲ i ʃ
pišo	pʲ i ʃ ɔ
pišom	pʲ i ʃ ɔ m
pišośo	pʲ i ʃ ɔ ɕ ɔ
pišu	pʲ i ʃ u
piśe	pʲ i ɕ ə
pita	pʲ i t a
pite	pʲ i t ə
pjaco	pʲ a t͡s ɔ
pjacom	pʲ a t͡s ɔ m
pjakarja	pʲ a k a rʲ a
pjakaŕ	pʲ a k a rʲ
pjaku	pʲ a k u
pjelniś	pʲ e l nʲ i ɕ
pjenjeze	pʲ e nʲ ɛ z ə
pjerina	pʲ e rʲ i n a
pjerjo	pʲ e rʲ ɔ
płod	p w ɔ t
płonina	p w ɔ nʲ i n a
płot	p w ɔ t
płowy	p o w ɨ
pługi	p w u ɡʲ i
planowaś	p l a n o w a ɕ
plast	p l a s t
pleśo	p l ɛ ɕ ɔ
pleśom	p l ɛ ɕ ɔ m
pletu	p l ɛ t u
plěś	p lʲ ɪ ɕ
pluwa	p l u w a
pluwaju	p l u w a j u
pluwał	p l u w a w
pluwam	p l u w a m
pluwaś	p l u w a ɕ
połniś	p o w nʲ i ɕ
połožyś	p o w ɔ ʒ ɨ ɕ
połtera	p o w t ɛ r a
politika	p ɔ lʲ i tʲ i k a
politiki	p ɔ lʲ i tʲ i kʲ i
pomocy	p ɔ m ɛ t s ɨ
popajźeństwo	p ɔ p a j ʑ e nʲ s t w ɔ
póli	p ɨ lʲ i
póli	p ɛ lʲ i
póli	p ʊ lʲ i
pónjeźela	p ɨ nʲ ə ʑ e l a
pónjeźela	p ɛ nʲ ə ʑ e l a
pónjeźela	p ʊ nʲ ə ʑ e l a
pósoł	p ɨ s o w
pósoł	p ɛ s o w
pósoł	p ʊ s o w
prali	p r a lʲ i
pranje	p r a nʲ ə
prat	p r a t
prog	p r ɔ k
prose	p r ɔ s ə
proseśa	p r ɔ s ɛ ɕ a
proseśi	p r ɔ s ɛ ɕ i
proseta	p r ɔ s ɛ t a
psu	p s u
pšawem	p ʃ a w ɛ m
pšawo	p ʃ a w ɔ
pšawy	p ʃ a w ɨ
pšenice	p ʃ ɛ nʲ i t͡s ə
pšose	p ʃ ɔ s ə
pšoso	p ʃ ɔ s ɔ
pšosty	p ʃ ɔ s t ɨ
pšosy	p ʃ ɔ s ɨ
pšosył	p ʃ ɔ s ɨ w
pšosym	p ʃ ɔ s ɨ m
pśedajo	p ɕ ɛ d a j ɔ
pśedajom	p ɕ ɛ d a j ɔ m
pśedaju	p ɕ ɛ d a j u
pśedał	p ɕ ɛ d a w
pśedaś	p ɕ ɛ d a ɕ
pśechwatanje	p ɕ ɛ x w a t a nʲ ə
pśikład	p ɕ i k w a t
puste	p u s t ə
pušćaś	p u ɕ t͡ɕ a ɕ
pyrje	p ɨ rʲ ə
pyta	p ɨ t a
pytaj	p ɨ t a j
pytaju	p ɨ t a j u
pytał	p ɨ t a w
pytała	p ɨ t a w a
pytało	p ɨ t a w ɔ
pytali	p ɨ t a lʲ i
pytam	p ɨ t a m
pytamy	p ɨ t a m ɨ
pytanje	p ɨ t a nʲ ə
pytaś	p ɨ t a ɕ
ramje	r a mʲ ə
rědne	rʲ ɪ d n ə
ric	rʲ i t͡s
ricał	rʲ i t͡s a w
ricali	rʲ i t͡s a lʲ i
ricaś	rʲ i t͡s a ɕ
ricat	rʲ i t͡s a t
rice	rʲ i t͡s ə
ricy	rʲ i t͡s ɨ
ricym	rʲ i t͡s ɨ m
rjemjeń	rʲ e mʲ e nʲ
rjeśaz	rʲ e ɕ a s
robel	r ɔ b ɛ l
rogi	r ɔ ɡʲ i
rosach	r ɔ s a x
rosam	r ɔ s a m
rose	r ɔ s ə
roskam	r ɔ s k a m
rost	r ɔ s t
rostu	r ɔ s t u
rosy	r ɔ s ɨ
row	r o w
rowny	r o w n ɨ
rožk	r ɔ ʃ k
rub	r u p
ruba	r u b a
rubaj	r u b a j
rubaju	r u b a j u
rubał	r u b a w
rubam	r u b a m
rubaś	r u b a ɕ
rubjo	r u bʲ ɔ
rubjom	r u bʲ ɔ m
rubju	r u bʲ u
ruce	r u t͡s ə
rukajca	r u k a j t͡s a
ruki	r u kʲ i
ruku	r u k u
rum	r u m
rumam	r u m a m
rumnosć	r u m n ɔ s t ɕ
rybce	r ɨ p t͡s ə
rybka	r ɨ p k a
rybkach	r i p k a x
rybkami	r ɨ p k a mʲ i
rybki	r ɨ p kʲ i
ryby	r ɨ b ɨ
ryj	r ɨ j
ryś	r ɨ ɕ
sad	s a t
sajźiś	s a j ʑ i ɕ
saźe	s a ʑ ə
sćagłow	s t͡ɕ a ɡ o w
sćěnje	s t͡ɕ ɪ nʲ ə
se	s ɛ
seco	s ɛ t͡s ɔ
sednuś	s ɛ d n u ɕ
segni	s ɛ ɡ nʲ i
segnuś	s ɛ ɡ n u ɕ
sej	s e j
sejźe	s e j ʑ ə
sejźeł	s e j ʑ ɛ w
sejźeś	s e j ʑ e ɕ
sejźi	s e j ʑ i
sejźim	s e j ʑ i m
seku	s ɛ k u
semje	s ɛ mʲ ə
senam	s ɛ n a m
senu	s ɛ n u
seram	s ɛ r a m
serbiska	s ɛ r bʲ i s k a
serbiske	s ɛ r bʲ i s kʲ ə
serbiski	s ɛ r bʲ i s kʲ i
serbisku	s ɛ r bʲ i s k u
Serbowka	s ɛ r b o w k a
serbska	s ɛ r s k a
serbskim	s ɛ r s kʲ i m
serbskimi	s ɛ r s kʲ i mʲ i
serca	s ɛ r t͡s a
sercach	s ɛ r t͡s a x
serce	s ɛ r t͡s ə
seroma	s ɛ r ɔ m a
serow	s ɛ r o w
sery	s ɛ r ɨ
set	s ɛ t
skóńcowaś	s k ɨ nʲ t͡s o w a ɕ
skóńcowaś	s k ɛ nʲ t͡s o w a ɕ
skóńcowaś	s k ʊ nʲ t͡s o w a ɕ
słodka	s w ɔ t k a
słodkim	s w ɔ t kʲ i m
słodkimi	s w ɔ t kʲ i mʲ i
słomce	s w ɔ m t͡s ə
słomkami	s w ɔ m k a mʲ i
słomki	s w ɔ m kʲ i
słona	s w ɔ n a
słowa	s w o w a
słup	s w u p
slach	s l a x
slam	s l a m
slami	s l a mʲ i
slěpy	s lʲ ɪ p ɨ
slěwka	s lʲ ɪ w k a
slězy	s lʲ ɪ z ɨ
slinik	s lʲ i nʲ i k
smej	s m e j
snědanje	s nʲ ɪ d a nʲ ə
solam	s ɔ l a m
son	s ɔ n
sonach	s ɔ n a x
sonje	s ɔ nʲ ə
sony	s ɔ n ɨ
sotše	s ɔ t͡ʃ ə
sowa	s o w a
spach	s p a x
spachmej	s p a x m e j
spachmy	s p a x m ɨ
spachu	s p a x u
spał	s p a w
spała	s p a w a
spałej	s p a w e j
spało	s p a w ɔ
spali	s p a lʲ i
spana	s p a n a
spane	s p a n ə
spany	s p a n ɨ
spašćo	s p a ɕ t ɕ ɔ
spašo	s p a ʃ ɔ
spaštej	s p a ʃ t e j
spat	s p a t
spi	s pʲ i
spica	s pʲ i t͡s a
spice	s pʲ i t͡s ə
spiju	s pʲ i j u
spijucy	s pʲ i j u t s ɨ
spim	s pʲ i m
spimej	s pʲ i m e j
spimy	s pʲ i m ɨ
spiš	s pʲ i ʃ
spiśo	s pʲ i ɕ ɔ
spitej	s pʲ i t e j
spiwa	s pʲ i w a
spiwaju	s pʲ i w a j u
spiwał	s pʲ i w a w
spiwam	s pʲ i w a m
spižka	s pʲ i ʃ k a
sporta	s p ɔ r t a
sportam	s p ɔ r t a m
Sprjewja	s p rʲ e vʲ a
Sprjewja	s p rʲ e j a
Sprjewja	s p rʲ ɛ j a
srjejź	s rʲ e j ɕ
stadle	s t a d l ə
staja	s t a j a
stajaś	s t a j a ɕ
stara	s t a r a
stare	s t a r ə
starego	s t a r ɛ ɡ ɔ
starej	s t a r e j
stareje	s t a r e j ə
stareje	s t a r ɛ j ə
stareju	s t a r e j u
stareju	s t a r ɛ j u
starem	s t a r ɛ m
staremu	s t a r ɛ m u
starjejše	s t a rʲ e j ʃ ə
staru	s t a r u
starych	s t a r ɨ x
starym	s t a r ɨ m
staryma	s t a r ɨ m a
starymi	s t a r ɨ mʲ i
statny	s t a t n ɨ
stawizny	s t a vʲ i z n ɨ
stej	s t e j
stile	s tʲ i l ə
stilist	s tʲ i lʲ i s t
stilistika	s tʲ i lʲ i s tʲ i k a
stoj	s t ɔ j
stoł	s t o w
stole	s t ɔ l ə
strowiś	s t r o w i ɕ
stup	s t u p
stupi	s t u pʲ i
stupiś	s t u pʲ i ɕ
su	s u
sudnica	s u d nʲ i t͡s a
sudnik	s u d nʲ i k
suche	s u x ə
swajźba	s w a j ʑ b a
swak	s w a k
sy	s ɨ
sykorka	s ɨ k ɔ r k a
synk	s ɨ ŋ k
synoju	s ɨ n ɔ j u
syte	s ɨ t ə
šćenje	ɕ t͡ɕ e nʲ ə
škrjono	ʃ k rʲ ɔ n ɔ
štapaś	ʃ t a p a ɕ
šule	ʃ u l ə
šurowaś	ʃ u r o w a ɕ
šwigersyn	ʃ vʲ i ɡʲ ɛ r s ɨ n
šyja	ʃ ɨ j a
śele	ɕ e l ə
śepaś	ɕ ɛ p a ɕ
śeśko	ɕ ɛ ɕ k ɔ
ta	t a
tam	t a m
tase	t a s ə
tasow	t a s o w
te	t ɛ
teja	t e j a
teja	t ɛ j a
teje	t e j ə
teje	t ɛ j ə
ten	t ɛ n
terase	t ə r a s ə
terasu	t ɛ r a s u
tkaj	t k a j
tkała	t k a w a
tkałej	t k a w e j
tkało	t k a w ɔ
tkali	t k a lʲ i
