A	ʔ aː ˧˧
Bính	ʔ ɓ ï ŋ ˧˦
Bò sát	ʔ ɓ ɔ ˨˩ s aː t̚ ˧˦
Bôn	ʔ ɓ o n ˧˧
Bùi	ʔ ɓ u j ˨˩
Bưởi	ʔ ɓ ɨ ə j ˧˩
Bản	ʔ ɓ aː n ˧˩
Bắc	ʔ ɓ a k̚ ˧˦
Bỉ	ʔ ɓ i ˧˩
Bỉm Sơn	ʔ ɓ i m ˧˩ s əː n ˧˧
Bọ Cạp	ʔ ɓ ɔ ˧˨ ʔ k aː p̚ ˧˨ ʔ
Bố Y	ʔ ɓ o ˧˦ ʔ i ˧˧
Bố Đại	ʔ ɓ o ˧˦ ʔ ɗ aː j ˧˨ ʔ
Bồ	ʔ ɓ o ˨˩
Bồ Tát	ʔ ɓ o ˨˩ t aː t̚ ˧˦
Bồ Tát Quan Thế Âm	ʔ ɓ o ˨˩ t aː t̚ ˧˦ k w aː n ˧˧ tʰ e ˧˦ ʔ ə m ˧˧
Bồ Đào Nha	ʔ ɓ o ˨˩ ʔ ɗ aː w ˨˩ ɲ aː ˧˧
Bồn Man	ʔ ɓ o n ˨˩ m aː n ˧˧
Bờ Biển Ngà	ʔ ɓ əː ˨˩ ʔ ɓ i ə n ˧˩ ŋ aː ˨˩
Bờ Tây	ʔ ɓ əː ˨˩ t ə j ˧˧
Bụt	ʔ ɓ u t̚ ˧˨ ʔ
Bụt nhà không thiêng	ʔ ɓ u t̚ ˧˨ ʔ ɲ aː ˨˩ x ə w ŋ͡m ˧˧ tʰ i ə ŋ ˧˧
Bửu	ʔ ɓ i w ˧˩
C	k əː ˨˩
C	s e ˧˧
CH	s e ˧˧ h aː t̚ ˧˦
CH	t͡ɕ əː ˨˩
CH	t͡ɕ əː ˨˩ ɲ ɛ ˧˨ ʔ
CPU	s e ˧˧ p e ˧˧ ʔ u ˧˧
Ca Li	k aː ˧˧ l i ˧˧
Cam Bốt	k aː m ˧˧ ʔ ɓ o t̚ ˧˦
Cam Túc	k aː m ˧˧ t ʊ w k͡p̚ ˧˦
Can Chi	k aː n ˧˧ t͡ɕ i ˧˧
Can Lộc	k aː n ˧˧ l ə w k͡p̚ ˧˨ ʔ
Cang	k aː ŋ ˧˧
Canh	k a j ŋ̟ ˧˧
Canh Tuất	k a j ŋ̟ ˧˧ t w ə t̚ ˧˦
Cao	k aː w ˧˧
Cao Bằng	k aː w ˧˧ ʔ ɓ a ŋ ˨˩
Cao Câu Li	k aː w ˧˧ k ə w ˧˧ l i ˧˧
Cao Hùng	k aː w ˧˧ h ʊ w ŋ͡m ˨˩
Cao Li	k aː w ˧˧ l i ˧˧
Cao Lệ	k aː w ˧˧ l e ˧˨ ʔ
Cao Man	k aː w ˧˧ m aː n ˧˧
Cao Miên	k aː w ˧˧ m i ə n ˧˧
Cao Đài	k aː w ˧˧ ʔ ɗ aː j ˨˩
Cao Đài Tiên Ông Đại Bồ Tát Ma Ha Tát	k aː w ˧˧ ʔ ɗ aː j ˨˩ t i ə n ˧˧ ʔ ə w ŋ͡m ˧˧ ʔ ɗ aː j ˧˨ ʔ ʔ ɓ o ˨˩ t aː t̚ ˧˦ m aː ˧˧ h aː ˧˧ t aː t̚ ˧˦
Cebu	s ɛ ˧˧ ʔ ɓ u ˨˩
Chi	t͡ɕ i ˧˧
Chi Na	t͡ɕ i ˧˧ n aː ˧˧
Choang	t͡ɕ w aː ŋ ˧˧
Chu	t͡ɕ u ˧˧
Chu Ru	t͡ɕ u ˧˧ z u ˧˧
Chu Tước	t͡ɕ u ˧˧ t ɨ ə k̚ ˧˦
Chung	t͡ɕ ʊ w ŋ͡m ˧˧
Châu	t͡ɕ ə w ˧˧
Châu Hải	t͡ɕ ə w ˧˧ h aː j ˧˩
Châu Úc	t͡ɕ ə w ˧˧ ʔ ʊ w k͡p̚ ˧˦
Châu Đại Dương	t͡ɕ ə w ˧˧ ʔ ɗ aː j ˧˨ ʔ z ɨ ə ŋ ˧˧
Chính thống giáo	t͡ɕ ï ŋ ˧˦ tʰ ə w ŋ͡m ˧˦ z aː w ˧˦
Chó	t͡ɕ ɔ ˧˦
Chúa	t͡ɕ u ə ˧˦
Chúa Ba Ngôi	t͡ɕ u ə ˧˦ ʔ ɓ aː ˧˧ ŋ o j ˧˧
Chúa Dêu	t͡ɕ u ə ˧˦ z e w ˧˧
Chúa Trời	t͡ɕ u ə ˧˦ t͡ɕ əː j ˨˩
Chúa nhật	t͡ɕ u ə ˧˦ ɲ ə t̚ ˧˨ ʔ
Chúa ơi	t͡ɕ u ə ˧˦ ʔ əː j ˧˧
Chũ	t͡ɕ u ˦ˀ˥
Chơ Ro	t͡ɕ əː ˧˧ z ɔ ˧˧
Chất Tri	t͡ɕ ə t̚ ˧˦ t͡ɕ i ˧˧
Chế	t͡ɕ e ˧˦
Chệc	t͡ɕ e k̚ ˧˨ ʔ
Chệch	t͡ɕ ə j k̟̚ ˧˨ ʔ
Chệt	t͡ɕ e t̚ ˧˨ ʔ
Chợ Gạo	t͡ɕ əː ˧˨ ʔ ɣ aː w ˧˨ ʔ
Chợ Lớn	t͡ɕ əː ˧˨ ʔ l əː n ˧˦
Chức Nữ	t͡ɕ ɨ k̚ ˧˦ n ɨ ˦ˀ˥
Chử Đồng Tử	t͡ɕ ɨ ˧˩ ʔ ɗ ə w ŋ͡m ˨˩ t ɨ ˧˩
Chữ thập đỏ	t͡ɕ ɨ ˦ˀ˥ tʰ ə p̚ ˧˨ ʔ ʔ ɗ ɔ ˧˩
Cà Lồ	k aː ˨˩ l o ˨˩
Cà Mau	k aː ˨˩ m a w ˧˧
Cà Ná	k aː ˨˩ n aː ˧˦
Các	k aː k̚ ˧˦
Các Thánh	k aː k̚ ˧˦ tʰ a j ŋ̟ ˧˦
Cách mạng Tháng Tám	k a j k̟̚ ˧˦ m aː ŋ ˧˨ ʔ tʰ aː ŋ ˧˦ t aː m ˧˦
Cái Bè	k aː j ˧˦ ʔ ɓ ɛ ˨˩
Cái Răng	k aː j ˧˦ z a ŋ ˧˧
Cân Xứng	k ə n ˧˧ s ɨ ŋ ˧˦
Công Nguyên	k ə w ŋ͡m ˧˧ ŋ w i ə n ˧˧
Công Tăng	k ə w ŋ͡m ˧˧ t a ŋ ˧˧
Công giáo	k ə w ŋ͡m ˧˧ z aː w ˧˦
Cường	k ɨ ə ŋ ˨˩
Cảng Thơm	k aː ŋ ˧˩ tʰ əː m ˧˧
Cấn	k ə n ˧˦
Cần	k ə n ˨˩
Cần Giờ	k ə n ˨˩ z əː ˨˩
Cần Thơ	k ə n ˨˩ tʰ əː ˧˧
Cần Vương	k ə n ˨˩ v ɨ ə ŋ ˧˧
Cầu	k ə w ˨˩
Cầu Giấy	k ə w ˨˩ z ə j ˧˦
Cầu Đỏ	k ə w ˨˩ ʔ ɗ ɔ ˧˩
Cận Đông	k ə n ˧˨ ʔ ʔ ɗ ə w ŋ͡m ˧˧
Cứu Thế Quân	k i w ˧˦ tʰ e ˧˦ k w ə n ˧˧
Cửu Chân	k i w ˧˩ t͡ɕ ə n ˧˧
Cửu Long	k i w ˧˩ l a w ŋ͡m ˧˧
Cựu Kim Sơn	k i w ˧˨ ʔ k i m ˧˧ s əː n ˧˧
Cựu Thế Giới	k i w ˧˨ ʔ tʰ e ˧˦ z əː j ˧˦
Cựu Đường thư	k i w ˧˨ ʔ ʔ ɗ ɨ ə ŋ ˨˩ tʰ ɨ ˧˧
Cựu Ước	k i w ˧˨ ʔ ʔ ɨ ə k̚ ˧˦
D	z e ˧˧
D	z əː ˨˩
D	ʔ ɗ e ˧˧
Da Đỏ	z aː ˧˧ ʔ ɗ ɔ ˧˩
Dao	z aː w ˧˧
Davao	ʔ ɗ aː ˧˦ v aː w ˧˧
Di Lặc	z i ˧˧ l a k̚ ˧˨ ʔ
Diêm Vương	z i ə m ˧˧ v ɨ ə ŋ ˧˧
Diêm Vương tinh	z i ə m ˧˧ v ɨ ə ŋ ˧˧ t ï ŋ ˧˧
Diên	z i ə n ˧˧
Diên Biên	z i ə n ˧˧ ʔ ɓ i ə n ˧˧
Diến Điện	z i ə n ˧˦ ʔ ɗ i ə n ˧˨ ʔ
Diễn	z i ə n ˦ˀ˥
Diệp	z i ə p̚ ˧˨ ʔ
Diệu	z i ə w ˧˨ ʔ
Do Thái	z ɔ ˧˧ tʰ aː j ˧˦
Do Thái giáo	z ɔ ˧˧ tʰ aː j ˧˦ z aː w ˧˦
Do Thái phục quốc	z ɔ ˧˧ tʰ aː j ˧˦ f ʊ w k͡p̚ ˧˨ ʔ k u ə k̚ ˧˦
Doãn	z w aː n ˦ˀ˥
Du	z u ˧˧
Dung	z ʊ w ŋ͡m ˧˧
Dàng	z aː ŋ ˨˩
Dân quân tự vệ	z ə n ˧˧ k w ə n ˧˧ t ɨ ˧˨ ʔ v e ˧˨ ʔ
Dân số kí	z ə n ˧˧ s o ˧˦ k i ˧˦
Dêu	z e w ˧˧
Dòng Tên	z a w ŋ͡m ˨˩ t e n ˧˧
Dần	z ə n ˨˩
Dớt	z əː t̚ ˧˦
E	ʔ ɛ ˧˧
EU	ʔ ɛ ˧˧ ʔ u ˧˧
FA	ʔ ɛ p̚ ˧˦ ʔ aː ˧˧
Facebook	f ə j ˧˧ ʔ ɓ ʊ w k͡p̚ ˧˦
Fansipan	f aː n ˧˧ s i ˧˧ p a ŋ ˧˧
Fêlix	f e ˧˧ l ï k̟̚ ˧˦
G	z e ˧˧
G	ɣ əː ˨˩
GATO	ɣ aː ˧˧ t o ˧˧
GPHĐ	z ə j ˧˦ f ɛ p̚ ˧˦ h w aː t̚ ˧˨ ʔ ʔ ɗ ə w ŋ͡m ˧˨ ʔ
Gia	z aː ˧˧
Gia Hưng	z aː ˧˧ h ɨ ŋ ˧˧
Gia Lai	z aː ˧˧ l aː j ˧˧
Gia Lâm	z aː ˧˧ l ə m ˧˧
Gia Nghĩa	z aː ˧˧ ŋ i ə ˦ˀ˥
Gia Nã Đại	z aː ˧˧ n aː ˦ˀ˥ ʔ ɗ aː j ˧˨ ʔ
Gia Rai	z aː ˧˧ z aː j ˧˧
Gia Tô	z aː ˧˧ t o ˧˧
Gia Định	z aː ˧˧ ʔ ɗ ï ŋ ˧˨ ʔ
Gianh	z a j ŋ̟ ˧˧
Giao Chỉ	z aː w ˧˧ t͡ɕ i ˧˩
Giao Chỉ Chi Na	z aː w ˧˧ t͡ɕ i ˧˩ t͡ɕ i ˧˧ n aː ˧˧
Gioan Baotixita	z w aː n ˧˧ ʔ ɓ aː w ˧˧ t i ˧˧ s i ˧˧ t aː ˧˧
Giu ba	z u ˧˧ ʔ ɓ aː ˧˧
Giuliô	z u ˧˧ l i ˧˧ ʔ o ˧˧
Giuđa	z u ˧˧ ʔ ɗ aː ˧˧
Giuđa Ítcariốt	z u ˧˧ ʔ ɗ aː ˧˧ ʔ i t̚ ˧˦ k aː ˧˧ z i ˧˧ ʔ o t̚ ˧˦
Giuđa Ítcariốt	z u ˧˧ ʔ ɗ aː ˧˧ ʔ i t̚ ˧˦ k aː ˧˧ ɹ i ˧˧ ʔ o t̚ ˧˦
Giàu	z a w ˨˩
Giáng sinh	z aː ŋ ˧˦ s ï ŋ ˧˧
Giáng sinh vui vẻ	z aː ŋ ˧˦ s ï ŋ ˧˧ v u j ˧˧ v ɛ ˧˩
Giáo hội Công giáo	z aː w ˧˦ h o j ˧˨ ʔ k ə w ŋ͡m ˧˧ z aː w ˧˦
Giáp	z aː p̚ ˧˦
Giáp Thìn	z aː p̚ ˧˦ tʰ i n ˨˩
Giáp xác	z aː p̚ ˧˦ s aː k̚ ˧˦
Giáy	z a j ˧˦
Giêsu Maria	z e ˧˧ s u ˧˧ m aː ˧˧ z i ˧˧ ʔ aː ˧˧
Gióp	z ɔ p̚ ˧˦
Giăng	z a ŋ ˧˧
Giẻ Triêng	z ɛ ˧˩ t͡ɕ i ə ŋ ˧˧
Giỏi	z ɔ j ˧˩
Google	ɣ u ˧˧ ɣ o ˨˩
Grêgôriô	ɹ e ˧˧ ɣ o ˧˧ z i ˧˧ ʔ o ˧˧
Grêgôriô	ɹ e ˧˧ ɣ o ˧˧ ɹ i ˧˧ ʔ o ˧˧
Guốc chẵn	ɣ u ə k̚ ˧˦ t͡ɕ a n ˦ˀ˥
Guốc lẻ	ɣ u ə k̚ ˧˦ l ɛ ˧˩
Gò Sặt	ɣ ɔ ˨˩ s a t̚ ˧˨ ʔ
Gò Vấp	ɣ ɔ ˨˩ v ə p̚ ˧˦
Gạo	ɣ aː w ˧˨ ʔ
Gặm nhấm	ɣ a m ˧˨ ʔ ɲ ə m ˧˦
H	h a t̚ ˧˦
H	h aː t̚ ˧˦
H	h əː ˨˩
H'Mông	h əː ˧˧ m ə w ŋ͡m ˧˧
H'Mông	h əː ˨˩ m ə w ŋ͡m ˧˧
Hai Bà Trưng	h aː j ˧˧ ʔ ɓ aː ˨˩ t͡ɕ ɨ ŋ ˧˧
Hi Lạp	h i ˧˧ l aː p̚ ˧˨ ʔ
Hi Lạp cổ đại	h i ˧˧ l aː p̚ ˧˨ ʔ k o ˧˩ ʔ ɗ aː j ˧˨ ʔ
Hi Mã Lạp Sơn	h i ˧˧ m aː ˦ˀ˥ l aː p̚ ˧˨ ʔ s əː n ˧˧
Hilariô	h i ˧˧ l aː ˧˧ z i ˧˧ ʔ o ˧˧
Hilariô	h i ˧˧ l aː ˧˧ ɹ i ˧˧ ʔ o ˧˧
Hiến	h i ə n ˧˦
Hiếu	h i ə w ˧˦
Hiếu Kinh	h i ə w ˧˦ k ï ŋ ˧˧
Hiền	h i ə n ˨˩
Hiển	h i ə n ˧˩
Hiệp	h i ə p̚ ˧˨ ʔ
Hiệu	h i ə w ˧˨ ʔ
Hoa	h w aː ˧˧
Hoa Kì	h w aː ˧˧ k i ˨˩
Hoa Lang	h w aː ˧˧ l aː ŋ ˧˧
Hoa Liên	h w aː ˧˧ l i ə n ˧˧
Hoa Lệ Ước	h w aː ˧˧ l e ˧˨ ʔ ʔ ɨ ə k̚ ˧˦
Hoa Thịnh Đốn	h w aː ˧˧ tʰ ï ŋ ˧˨ ʔ ʔ ɗ o n ˧˦
Hoa Vi	h w aː ˧˧ v i ˧˧
Hoa kiều	h w aː ˧˧ k i ə w ˨˩
Hoa lục	h w aː ˧˧ l ʊ w k͡p̚ ˧˨ ʔ
Hoa ngữ	h w aː ˧˧ ŋ ɨ ˦ˀ˥
Hoa văn	h w aː ˧˧ v a n ˧˧
Hoa Đông	h w aː ˧˧ ʔ ɗ ə w ŋ͡m ˧˧
Hoà	h w aː ˨˩
Hoà Bình	h w aː ˨˩ ʔ ɓ ï ŋ ˨˩
Hoà Cường	h w aː ˨˩ k ɨ ə ŋ ˨˩
Hoà Hảo	h w aː ˨˩ h aː w ˧˩
Hoà chế Hán ngữ	h w aː ˨˩ t͡ɕ e ˧˦ h aː n ˧˦ ŋ ɨ ˦ˀ˥
Hung	h ʊ w ŋ͡m ˧˧
Hy Lạp	h i ˧˧ l aː p̚ ˧˨ ʔ
Hyginô	h i ˧˧ z i ˧˧ n o ˧˧
Hà	h aː ˨˩
Hà Bắc	h aː ˨˩ ʔ ɓ a k̚ ˧˦
Hà Giang	h aː ˨˩ z aː ŋ ˧˧
Hà Lan	h aː ˨˩ l aː n ˧˧
Hà Liên	h aː ˨˩ l i ə n ˧˧
Hà Lội	h aː ˨˩ l o j ˧˨ ʔ
Hà Nam	h aː ˨˩ n aː m ˧˧
Hà Nhì	h aː ˨˩ ɲ i ˨˩
Hà Nội	h aː ˨˩ n o j ˧˨ ʔ
Hà Tiên	h aː ˨˩ t i ə n ˧˧
Hà Trung	h aː ˨˩ t͡ɕ ʊ w ŋ͡m ˧˧
Hà Tĩnh	h aː ˨˩ t ï ŋ ˦ˀ˥
Hà thành	h aː ˨˩ tʰ a j ŋ̟ ˨˩
Hình Thiên	h ï ŋ ˨˩ tʰ i ə n ˧˧
Hình nhện	h ï ŋ ˨˩ ɲ e n ˧˨ ʔ
Hòn Vọng Phu	h ɔ n ˨˩ v a w ŋ͡m ˧˨ ʔ f u ˧˧
Hưng	h ɨ ŋ ˧˧
Hưng Yên	h ɨ ŋ ˧˧ ʔ i ə n ˧˧
Hương	h ɨ ə ŋ ˧˧
Hương Cảng	h ɨ ə ŋ ˧˧ k aː ŋ ˧˩
Hương Khê	h ɨ ə ŋ ˧˧ x e ˧˧
Hương Sơn	h ɨ ə ŋ ˧˧ s əː n ˧˧
Hường	h ɨ ə ŋ ˨˩
Hạ	h aː ˧˨ ʔ
Hạ Lan	h aː ˧˨ ʔ l aː n ˧˧
Hạ Long	h aː ˧˨ ʔ l a w ŋ͡m ˧˧
Hạ Môn	h aː ˧˨ ʔ m o n ˧˧
Hạ Uy Di	h aː ˧˨ ʔ ʔ w i ˧˧ z i ˧˧
Hết	h e t̚ ˧˦
Hố Nai	h o ˧˦ n aː j ˧˧
Hồ	h o ˨˩
Hồ Bắc	h o ˨˩ ʔ ɓ a k̚ ˧˦
Hồ Chí Minh	h o ˨˩ t͡ɕ i ˧˦ m ï ŋ ˧˧
Hồ Gươm	h o ˨˩ ɣ ɨ ə m ˧˧
Hồ Nam	h o ˨˩ n aː m ˧˧
Hồi Quốc	h o j ˨˩ k u ə k̚ ˧˦
Hồi giáo	h o j ˨˩ z aː w ˧˦
Hồi quốc	h o j ˨˩ k u ə k̚ ˧˦
Hổ Cáp	h o ˧˩ k aː p̚ ˧˦
Hội An	h o j ˧˨ ʔ ʔ aː n ˧˧
Hội Tam Điểm	h o j ˧˨ ʔ t aː m ˧˧ ʔ ɗ i ə m ˧˩
Hội đồng Bảo an Liên Hiệp Quốc	h o j ˧˨ ʔ ʔ ɗ ə w ŋ͡m ˨˩ ʔ ɓ aː w ˧˩ ʔ aː n ˧˧ l i ə n ˧˧ h i ə p̚ ˧˨ ʔ k u ə k̚ ˧˦
Hứa	h ɨ ə ˧˦
I	ʔ i ˧˧
I	ʔ i ˧˧ ŋ a n ˧˦
I Rắc	ʔ i ˧˧ z a k̚ ˧˦
Inhaxiô	ʔ i ˧˧ ɲ aː ˧˧ s i ˧˧ ʔ o ˧˧
Isave	ʔ i ˧˧ s aː ˧˧ v ɛ ˧˧
Jakarta	z aː ˧˧ k aː k̚ ˧˦ t aː ˧˧
Jêsus	z e ˧˧ s u ˧˧
K	k aː ˧˧
Khe Sanh	x ɛ ˧˧ s a j ŋ̟ ˧˧
Khăn Đỏ	x a n ˧˧ ʔ ɗ ɔ ˧˩
Khương	x ɨ ə ŋ ˧˧
Kim	k i m ˧˧
Kim Bình Mai	k i m ˧˧ ʔ ɓ ï ŋ ˨˩ m aː j ˧˧
Kim Liên	k i m ˧˧ l i ə n ˧˧
Kim Môn	k i m ˧˧ m o n ˧˧
Kim Ngưu	k i m ˧˧ ŋ i w ˧˧
Kim Nhật Thành	k i m ˧˧ ɲ ə t̚ ˧˨ ʔ tʰ a j ŋ̟ ˨˩
Kim Song Trường	k i m ˧˧ s a w ŋ͡m ˧˧ t͡ɕ ɨ ə ŋ ˨˩
Kim cương thừa	k i m ˧˧ k ɨ ə ŋ ˧˧ tʰ ɨ ə ˨˩
Kim tinh	k i m ˧˧ t ï ŋ ˧˧
Kinh	k ï ŋ ˧˧
Kinh Dịch	k ï ŋ ˧˧ z ï k̟̚ ˧˨ ʔ
Kinh Lễ	k ï ŋ ˧˧ l e ˦ˀ˥
Kinh Thi	k ï ŋ ˧˧ tʰ i ˧˧
Kinh Thánh	k ï ŋ ˧˧ tʰ a j ŋ̟ ˧˦
Kinh Thư	k ï ŋ ˧˧ tʰ ɨ ˧˧
Kinh Xuân Thu	k ï ŋ ˧˧ s w ə n ˧˧ tʰ u ˧˧
Kinh Đô	k ï ŋ ˧˧ ʔ ɗ o ˧˧
Kiên	k i ə n ˧˧
Kiên Giang	k i ə n ˧˧ z aː ŋ ˧˧
Kiên Hải	k i ə n ˧˧ h aː j ˧˩
Kiêu	k i ə w ˧˧
Kiếm	k i ə m ˧˦
Kiến An	k i ə n ˧˦ ʔ aː n ˧˧
Kiến Thuỵ	k i ə n ˧˦ tʰ w i ˧˨ ʔ
Kiều	k i ə w ˨˩
Kiệt	k i ə t̚ ˧˨ ʔ
Kon Tum	k ɔ n ˧˧ t u m ˧˧
Kon Tum	k ə w ŋ͡m ˧˧ t u m ˧˧
Kép	k ɛ p̚ ˧˦
Kê Thành	k e ˧˧ tʰ a j ŋ̟ ˨˩
Kẻ Chợ	k ɛ ˧˩ t͡ɕ əː ˧˨ ʔ
Kỉ	k i ˧˩
Kỳ	k i ˨˩
Kỳ Anh	k i ˨˩ ʔ a j ŋ̟ ˧˧
L	l əː ˨˩
L	l əː ˨˩ k aː w ˧˧
L	ʔ ɛ ˧˧ l əː ˨˩
La	l aː ˧˧
La Chí	l aː ˧˧ t͡ɕ i ˧˦
La Ha	l aː ˧˧ h aː ˧˧
La Hay	l aː ˧˧ h a j ˧˧
La Hủ	l aː ˧˧ h u ˧˩
La Mã	l aː ˧˧ m aː ˦ˀ˥
La Sát	l aː ˧˧ s aː t̚ ˧˦
Lan	l aː n ˧˧
Lan Xang	l aː n ˧˧ s aː ŋ ˧˧
Latinh	l aː ˧˧ t ï ŋ ˧˧
Li	l i ˧˧
Linh	l ï ŋ ˧˧
Linh trưởng	l ï ŋ ˧˧ t͡ɕ ɨ ə ŋ ˧˩
Linô	l i n ˧˧ n o ˧˧
Liêm	l i ə m ˧˧
Liên	l i ə n ˧˧
Liên Giang	l i ə n ˧˧ z aː ŋ ˧˧
Liên Hiệp Quốc	l i ə n ˧˧ h i ə p̚ ˧˨ ʔ k u ə k̚ ˧˦
Liên Hợp Quốc	l i ə n ˧˧ h əː p̚ ˧˨ ʔ k u ə k̚ ˧˦
Liên Xô	l i ə n ˧˧ s o ˧˧
Liên bang Cộng hoà Xã hội Chủ nghĩa Xô viết	l i ə n ˧˧ ʔ ɓ aː ŋ ˧˧ k ə w ŋ͡m ˧˨ ʔ h w aː ˨˩ s aː ˦ˀ˥ h o j ˧˨ ʔ t͡ɕ u ˧˩ ŋ i ə ˦ˀ˥ s o ˧˧ v i ə t̚ ˧˦
Liên bang Nga	l i ə n ˧˧ ʔ ɓ aː ŋ ˧˧ ŋ aː ˧˧
Liên bang Xô viết	l i ə n ˧˧ ʔ ɓ aː ŋ ˧˧ s o ˧˧ v i ə t̚ ˧˦
Liên minh châu Phi	l i ə n ˧˧ m ï ŋ ˧˧ t͡ɕ ə w ˧˧ f i ˧˧
Liên minh châu Âu	l i ə n ˧˧ m ï ŋ ˧˧ t͡ɕ ə w ˧˧ ʔ ə w ˧˧
Liên Âu	l i ə n ˧˧ ʔ ə w ˧˧
Liêu	l i ə w ˧˧
Liêu Ninh	l i ə w ˧˧ n ï ŋ ˧˧
Liễu	l i ə w ˦ˀ˥
Liễu Hạnh	l i ə w ˦ˀ˥ h a j ŋ̟ ˧˨ ʔ
Liễu Hạnh Công Chúa	l i ə w ˦ˀ˥ h a j ŋ̟ ˧˨ ʔ k ə w ŋ͡m ˧˧ t͡ɕ u ə ˧˦
Liệu	l i ə w ˧˨ ʔ
Loan	l w aː n ˧˧
Long	l a w ŋ͡m ˧˧
Long An	l a w ŋ͡m ˧˧ ʔ aː n ˧˧
