aba	à b à
aʋatsokaka	à β à t͡s ó k à k à
aʋatsokala	à β à t͡s ó k à l á
aʋatsotso	à β à t͡s ò t͡s ò
awu	à ɰ ù
aya	à j á
ayiku	à j ì k ú
azɔlizɔzɔ	à z ɔ̀ l ì z ɔ̀ z ɔ̀
blaade	b l á à d é
blaadre	b l á á d l è
blaasieke	b l á à s í è k é
blaatɔ̃	b l á à t ɔ̃́
blaene	b l á è n é
blaenyi	b l á è ɲ í
blaetɔ̃	b l á è t ɔ̃̀
blaeve	b l á è v è
blaevelia	b l á è v è l ì á
blibo	b l í b ò
bɔs	b ɔ́ s
dadi	d à d ì
Damɛ	d à m ɛ̀
Dasiamime	d à s i á m ì m è
didi	d ì d ì
Du	d ù
Dunyo	d ù ɲ ó
Ɖ	ɖ
ɖ	ɖ
ɖeka	ɖ è k á
dzamatre	d͡z à m á t l é
dzesi	d͡z è s ì
dzesinu	d͡z è s ì n ú
dzĩ	d͡z ĩ̀
dzidzime	d͡z ì d͡z ì m è
dzime	d͡z ì m è
dzitsitsi	d͡z ǐ t͡s í t͡s í
dzitsitsiwo	d͡z ǐ t͡s í t͡s í ɰ ó
Dzodze	d͡z ò d͡z è
Dzome	d͡z ò m è
dzosasa	d͡z ò s à s à
Dzove	d͡z ò v é
enelia	è n è l ì á
eve	è v è
evelia	è v è l ì á
Eʋe	è β è
Eʋegbe	è β è ɡ͡b è
ewolia	è ɰ ó l ì á
eya	é j á
ɛ	ɛ
Ɛ	ɛ
Februar	f é b l ù à r
fexexeɖeta	f è x é x é ɖ è t à
fia	f i à
fia	f i á
fianyɔnu	f i à ɲ ɔ́ n ù
fiaŋutsu	f i à ŋ ú t͡s ù
fli	f l ì
fo	f ò
fɔbubu	f ɔ́ b ú b ú
fufu	f ù f ù
fukpekpe	f ù k͡p é k͡p é
fukpekpewo	f ù k͡p é k͡p é ɰ ó
Ƒ	ɸ
ƒ	ɸ
gaŋkui	ɡ à ŋ k ú í
Gɛ̃	ɡ ɛ̃́
Gɛ̃gbe	ɡ ɛ̃́ ɡ͡b è
go	ɡ ò
Gb	ɡ͡b
gb	ɡ͡b
gbãtɔ	ɡ͡b ã́ t ɔ̀
ɣ	ɰ
Ɣ	ɰ
Hagar	h á ɡ à r
ka	k à
kekeli	k è k é l ì
koklo	k ò k l ó
koklolã	k ò k l ó l ã̀
koklonɔ	k ò k l ó n ɔ̀
koklotsu	k ò k l ó t͡s ú
koklovi	k ò k l ó v í
koklozi	k ò k l ô z í
kutsetse	k ú t͡s é t͡s é
kuviatɔ	k ù v í á t ɔ́
kuviawɔwɔ	k ù v í á ɰ ɔ̀ ɰ ɔ̀
kp	k͡p
Kp	k͡p
kpodzi	k͡p ó d͡z í
lala	l à l à
mamayɔvi	m à m á j ɔ́ v í
Mars	m á r s
megbe	m è ɡ͡b é
mi	m ì
miawo	m ì à ɰ ó
mɔkpɔkpɔ	m ɔ́ k͡p ɔ́ k͡p ɔ́
mí	m í
míawo	m í á ɰ ó
no	n ǒ
no	n ò
notsi	n ó t͡s ì
nɔɖi	n ɔ̀ ɖ ì
nɔgã	n ɔ̀ ɡ ã́
nɔvi	n ɔ̀ v í
nɔvinyɔnu	n ɔ̀ v í ɲ ɔ́ n ù
nɔviŋutsu	n ɔ̀ v í ŋ ú t͡s ù
nuɖaɖa	n ù ɖ à ɖ à
nunono	n ú n ò n ò
nuŋlɔla	n ú ŋ l ɔ̀ l á
nutata	n ú t á t á
nyagblɔɖila	ɲ à ɡ͡b l ɔ̀ ɖ í l á
nye	ɲ è
nyi	ɲ ì
nyinɔ	ɲ ì n ɔ̀
nyitsu	ɲ ì t͡s ú
nyɔnu	ɲ ɔ́ n ù
nyɔnuvi	ɲ ɔ́ n ù v í
ŋ	ŋ
Ŋ	ŋ
ŋaneŋane	ŋ á n è ŋ á n è
ŋusẽ	ŋ ú s ẽ́
ŋutinya	ŋ ú t í ɲ à
ɔ	ɔ
Ɔ	ɔ
papa	p à p á
se	s é
Set	s é t
sidzedze	s í d͡z è d͡z è
sɔ	s ɔ́
sue	s u è
tasi	t á s ì
tedzi	t é d͡z í
tɔɖe	t ɔ́ ɖ è
tɔgã	t ɔ́ ɡ ã́
tɔgbuiyɔvi	t ɔ́ ɡ͡b u í j ɔ́ v í
tɔgbuiyɔvinyɔnu	t ɔ́ ɡ͡b u í j ɔ́ v í ɲ ɔ́ n ù
tɔsisi	t ɔ̀ s í s í
tsɛ	t͡s ɛ́
vidzidzi	v í d͡z ì d͡z ì
viviti	v ì v ì t í
vovototo	v ò v ò t ó t ò
vɔsamlekpui	v ɔ̀ s á m l é k͡p u í
ʋ	β
Ʋ	β
ʋɔnudrɔ̃la	β ɔ̀ n ù d l ɔ̃́ l á
wein	ɰ e í n
wɔ	ɰ ɔ̀
wɔfa	ɰ ɔ̀ f à
wò	ɰ ò
Xawa	x á ɰ à
Yakob	j á k ò b
Yanuar	j á n ù à r
yibɔ	j ì b ɔ̀
Yosua	j ó s ù à
