Allâh	a l l ɒː h
bidük	b i̹ d i̹ k
bidük	b y̜ d ʏ k
bidük	b ɪ̹ d ɪ k
bidük	b ɪ̹ d ɪ̹ k
bidük	b ʏ d ʏ k
bidümək	b ɪ̹ d ɪ̹ m æ k
bil	b i e̯ l
bil	b i l
bilmək	b i l m æ k
bilmək	b i̞ l m æ k
bilmək	b ɪ l m æ k
bilmək	b ʊ l m æ k
bilmək	b ʏ l m æ k
bilmək	b ʏ̜ l m æ k
bilə	b ɪ l æ
birçək	b i ɾ t͡ʃ æ̞ k
bit	b i t
bit	b iː t
bit	b iˑ t
bit	b ɪ t
bitmək	b ɪ t m æ k
biyâta	b i j ɒ t a
biz	b ɪ z
bodamaq	b o d a m a q
bodanmaq	b o d a n m a q
bodağ	b o d a ʁ
boyıl	b u j i l
boyıl	b ʊ̞ j ɪ l
boğarsaq	b o ʁ ɒ ɾ s ɒˑ q
boğarsuq	b o ʁ a ɾ s ʊˑ q
boğarsuq	b ɔ ʁ ɒ ɾ s ʊ q
boğaz	b o ʁ a z
boğız	b o ʁ ɪ z
boğız	b o ʁ ɪ̈ z
boğız	b o ʁ ʊ z
boğız	b o ʁ ʊ̜ z
boğız	b o ʁ ʏ z
boğız	b ɔ ʁ ʊ z
buhtân	b ʊ h t ɒː n
bulmaq	b ʊ l m a q
bulâq	b u l aː ɢ̥
bulğamaq	b u l ʁ a m a q
bulınmaq	b ʊ l ɪ̈ n m a q
bulınmaq	b ʊ l ʊ n m a q
bulıt	b ʊ l ɪ t
bulıt	b ʊ l ɪ̈ t
bulıt	b ʊ l ʊ t
burın	b u ɾ ɪ n
burın	b u ɾ ɪ̈ n
burın	b u ɾ ʊ n
burın	b u ɾ ʊ̜ n
burın	b u ɾ ʊ̜ ˖ n
burın	b u ɾ ʏ̜ n
butta	b ʊ t a
butta	b ʊ t t a
buyırmaq	b u j ʊ ɾ m a q
buzı	b ʊ z ʊ
buğda	b ʊ ʁ d aˑ
buğda	b ʊ̞ ʁ d a
bâba	b a b a
bâba	b aː b a
bâba	b ɑ b a
bâba	b ɑ b ɑ
bâba	b ɑː b a
bâba	b ɑː b ɑ
bâba	b ɑˑ b a
bâba	b ɑˑ b ɑ
bâba	b ɒ b ɒ
bâba	b ɒː b a
bâba	b ɒː b aː
bâba	b ɒː b ɑ
bâba	b ɒː b ɒ
bâba	b ɒˑ b ɑ
bâba	b ɒˑ b ɒˑ
bâba	b ɔ b ɒ
bâba	b ɔ̞ː b a
bâba	b ɔ̞ː b æ̞
bâba	b ɔ̞ː b ɑ
bâba	b ɔ̞ː b ɒ
bâba	b ɔ̞ː b ɔ
bâba	b ɔ̞ː β ɑ
bâbacân	b o̞ b ɑ d͡ʒ ɑː n
bâbacân	b ɑː b a d͡ʑ aː n
bâbacân	b ɑː b a d͡ʒ aː n
bâbacân	b ɑː b a d͡ʒ ɑː n
bâbacân	b ɑː b a d͡ʒ ɒː n
bâbacân	b ɑː b ɑ d͡ʒ ɒː n
bâbacân	b ɒː b a d͡ʒ ɒː n
bâbacân	b ɒː b a d͡ʒ ɔ̞ː n
bâbacân	b ɔ̞ː b a d͡ʒ ɑː n ʊ m
bâbacân	b ɔ̞ː b a d͡ʒ ɔ̞ː n
bâbacân	b ɔ̞ː b ɑ d͡ʒ aː n
bâbacân	b ɔ̞ː b ɑ d͡ʒ ɔ̞ː n
bâcanaq	b ɒˑ t͡ʃ a n a χ
bâcanaq	b ɒˑ t͡ʃ ɒ n a χ
bâcı	b aː d͡ʒ ɪ
bâcı	b ɑː d͡ʒ ɪ
bâcı	b ɑː d͡ʒ ɪ s ɪ
bâcı	b ɑˑ d͡ʒ ʊ
bâcı	b ɒː d͡ʒ i
bâcı	b ɒː d͡ʒ i̞
bâcı	b ɒː d͡ʒ ɪ
bâcı	b ɒː d͡ʒ ɪ̈
bâcı	b ɒː d͡ʒ ʊ
bâcı	b ɔ̞ː d͡ʑ ɪ
bâcı	b ɔ̞ː d͡ʒ i
bâcı	b ɔ̞ː d͡ʒ iː
bâcı	b ɔ̞ː d͡ʒ i̞
bâcı	b ɔ̞ː d͡ʒ ɪ
bâdâm	b ɒː d a m
bâdâm	b ɒː d ɒː m
bâdâm	ɡ ɒː ɒ̯ d ɒː m
bâl	b ɒː l
bâlıq	b aː l ʊ q
bâlıq	b aˑ l ʊ q
bâlıq	b ɒː l ɪ q
bâlıq	b ɒː l ʊ q
bâqa	b ɑː q a
bâvjân	b ɔ̞ː v d͡ʒ ɒː n
bâvjûn	b aː v d͡ʒ uː n
bâz	b ɒː z
bâzâr	b ɒː z ɒː ɾ
bâğ	b ɒː ʁ
bâğibân	b ɒː ʁ ɪ b ɒː n
bâğçə	b ɒː ʁ t͡ʃ æ
bâş	b aː ʃ
bâş	b æː ʃ
bâş	b ɒː ʃ
bâş	b ʊ̞ˑ ʃ
bêl	b eː e̯ l
bêl	b i̯ ɛ l
bêş	b eː e̯ ʃ
bêş	b i̯ e̞ˑ ʃ
bêşimi	b ɛː ʃ ĭ m ɪ
bêşminci	b i̯ e̞ː ʃ m ɪ n d͡ʒ ɪ
bî	b iː
bîbi	b iː b iː
bîbi	b iː b iː kʰ
bîbi	b iː v i̞̞
bîbi	b iː v ɪ
bîbi	b y b ɪ
bîel	b iː e̯ l
bîeş	b iː e̯ ʃ
bîeş	b ɪː e̯ ʃ
bîeşimi	b i e̯ ʃ m ɪ
bîeşimi	b iː e̯ ʃ m ɪ
bîeşimi	b iː e̯ ʃ ĭ m ɪ
bîeşimi	b iː e̯ ʃ ɪ̆ m ɪ
bîsikün	b iː s ɪ̹ k ʏ n
bô	b oː
bô	b oˑ
bô	b ʊ
bô	b ʊ̞
bô	b ʊ̞ː
bô	b ʊ̞ˑ
bôra	b oː ɾ a
bôra	b u̯ oː ɾ a
bôva	b ɔ w a
bôva	b ʊ̞ː u̯ ə
bôyunduruq	b o j n d ɪ̈ ɾ ʊ q
bôyunduruq	b ʊ n d ʊ ɾ ʊ q
bôyın	b o j ʊ n
bôyın	b oˑ j ʊ n
bôyın	b u j iː n
bôyın	b ʊ j ɪ n
bôyın	b ʊ j ʊ n
bôyın	b ʊ j ʏ n
bôş	b oː ʃ
bögün	b y j y̆ n
bögün	b œ j ʏ n
bögün	b œ ɡ ʏ n
bögün	b œ̜ j ʏ n
bögün	b ɛ j i n
bögün	b ɛ j ɪ n
bögün	b ɛ j ʏ n
böyil	b œ j ɪ l
böyil	b œ j ʏ l
böyil	b ɛ j i̞ l
böyil	b ɛ j ɪ l
bö̂lmək	b øː l m æ k
bö̂ri	b eː ɾ ɪ
bö̂ri	b i̞ː ɾ ɪ
bö̂ri	b øː ɾ ɪ
bö̂rk	b øː ø̯ k
bö̂rk	b øː ɾ k
bö̂rk	b ø̞ˑ ø̯ k
bö̂rk	b ʏ̞ː ɾ kʰ
bûor	b uː o̯ ɾ
bûrmaq	b u u̯ ɾ m a q
bûta	p uˑ t a
bûut	b uː u̯ t
bûuyn	b u j n
bûuyn	b u u̯ n
bûuyn	b uː n
bûuyn	b u̞ː u̯ n
bûuyn	b ʊː n
bûz	b uː u̯ z
büldür	b ʏ l d ʏ ɾ
bürgək	b iˑ ɾ j æ̞ k
bürgək	b ɪ ɾ j æ k
bürgək	b ɪ ɾ ɡ æ k
bürgək	b ʏ ɾ ɡ æ k
bü̂ölmək	b iː e̯ l m æ k
bü̂öri	b iː e̯ ɾ i̞
bü̂öri	b iː e̯ ɾ ɪ
bü̂öri	b iː e̯ ɾ ɪ̞
bıldır	b ɪ l d i ɾ
bıldır	b ɪ l d ɪ ɾ
bıldır	b ɪ̈ l d ɪ̈ ɾ
bırmaq	b ɪ ɾ m a q
bırmaq	b ʊ ɾ m a q
bıçmaq	b ɪ t͡ʃ m a q
bıçmaq	b ɪː t͡ʃ m a q
bıçmaq	b ɪ̈ t͡ʃ m a q
bıçmaq	b ʊ t͡ʃ m a q
bıçmaq	b ʏ t͡ʃ m a q
bıçâq	b ɪ̈ t͡ʃ ɑː q
bıçâq	b ɪ̈ t͡ʃ ɒː q
bışmaq	b ɪ̈ ʃ m a q
bışmaq	b ʊ ʃ m a q
bışırmaq	b ɪ ʃ ɪ ɾ m a q
bışırmaq	b ɪ ʃ ʊ ɾ m a q
bışırmaq	b ɪ ʃ ʏ ɾ m a q
bışırmaq	b ɪ̈ ʃ ʊ ɾ m a q
bışırmaq	b ʏ ʃ ʏ ɾ m a q
bəbr	b æ b ɾ
bəbr	b æ̞ b ɾ
bəbək	b æ b æ k
bəd	b æ d
bədə	b æ d æ
bədə	b æ̞ t ɪ
bədə	b æ̞ː d æ
bədə	b æ̞ˑ d æ
bədən	b æ d æ n
bəg	b æ ɡ
bəg	b æ̞ j
bəg	b æ̞ ɡ
bəg	b æ̞ ɡ̊
bək	b æ k
bək	b æ̞ k
bəlgülüg	b æ l ɡ y l ʏ ɡ
bəlki	b æ l k ɪ
bəlâ	b æ l ɒː
bənəfş	b æ n æ f ʃ
bənəfş	b æ̞ n æ̞ f ʃ
bərâyı	b æ ɾ ɑː j
bərâyı	b æ ɾ ɒː j ɪ
bərâyı	b æ ɾ ɒː j ɪ̈
bərə	b æ ɾ æ
bəxt	b æ χ t
bəyquş	b ɛ j ʁ ʊ ʃ
bəyât	b æ j ɒ t
bəyât	b ɛ j ɒː t
bəzək	b æ z æ k
bəzəmək	b æ z æ m æ k
bəzənmək	b æ z æ n m æ k
bəççə	b æ t͡ʃː æ
bəççə	b æ̞ t͡ʃː æ
cigər	d͡ʒ i ɡ æ̞ ɾ
cigər	d͡ʒ ɪ ɡ æ ɾ
cirik	d͡ʒ i ɾ i k
cirik	d͡ʒ i ɾ ɪ k
cuvân	d͡ʒ ʊ v aː n
cûca	d͡ʒ uː d͡ʒ a
cûcə	d͡ʒ u d͡ʒ æ
cümə	d͡ʒ ʏ m æ
cəvâb	d͡ʒ æ v ɒː b
cəvân	d͡ʒ æ v ɒˑ n
cəyrân	d͡ʒ æ j ɾ ɒː n
cəyrân	d͡ʒ æ ɪ̯ l ɒː n
cəyrân	d͡ʒ æ ɪ̯ ɾ ɒː n
dadâş	d a d a ʃ
dadâş	d a d ɑˑ ʃ
dadâş	d a d ɒː ʃ
dadâş	d æ̞ d ɒː ʃ
dadâş	d ɑ d ɑˑ ʃ
dara	d a ɾ a
dara	d æ ɾ a
dara	d æ̞ ɾ a
dasğâla	d a s ʁ ɒː l a
dasğâla	d æ s ʁ ɒː l a
diraxt	d ɪ ɾ a χ t
dirəxt	d ɪ ɾ æ χ t
dovr	d o w ɾ
dovr	d ɔ w
dovr	d ɔ w ɾ
dovra	d o w ɾ a
doşək	d o ʃ æ̞ k
durust	d ʊ ɾ ʊ s t
duvâr	d u v ɒˑ ɾ
duşman	d ʊ ʃ m a n
dâam	d aː a̯ m
dâam	d ɑː ɑ̯ m
dâam	d ɒː ɒ̯ m
dâyı	d ɑː i̯ iː
dâyı	d ɑː j ɪ
dâyı	d ɑː j ʊ m
dâyı	d ɒː i
dâyı	d ɒː iː
dâyı	d ɒː i̯ iː
dâyı	d ɒː i̯ ɪ
dâyı	d ɒː j ɪ̈
dâyı	d ɔˑ i
dâyı	d ɔˑ j i̞
dâyı	d ɔ̞ː i
dâyı	d ɔ̞ː i̯ iː
dâyı	d ɔ̞ː i̯ i̞
dâyı	d ɔ̞ː j i
dâyı	d ɔ̞ː j iː
dâyı	d ɔ̞ː j i̞
dâyı	d ɔ̞ː j ɪ
dâyı	d ɔ̞ː ɪ
dâğ	d aː ʁ
dâğ	d aˑ ʁ
dâğ	d ɑ ʁ
dâğ	d ɒ ʁ
döşək	d ø ʃ æ̞ k
dûk	d uː k
dədə	d aː d aː
dədə	d æ d æ
dədə	d æˑ d æ
dədə	d æ̞ d æ
dədə	d æ̞ d æ̞
dədə	d æ̞ː d ə
dədə	d æ̞ˑ d æ
dəndə	d æ n d æ
dərvîş	d æ ɾ v iː ʃ
dərə	d a ɾ æ
dərə	d æ ɾ æ
dəsğâlə	d æ̞ s ʁ ɒ l æ
dəsğâlə	d æ̞ s ʁ ɒ l æ̹
dəşt	d æ ʃ t
dəşt	d æ̞ ʃ t
eşitmək	e ʃ ɪ t m æ k
eşitmək	ɪ ʃ ɪ t m æ k
fındıq	f ɪ n d ɪ̈ q
fındıq	f ɪ n d ɪ̠ q
fəndıq	f æ n d ʊ ʁ
fəndıq	f æ̞ n d ʊ q
fəqət	f æ ʁ æ t
fərik	f æ ɾ ɪ k
fərik	f æ̞ ɾ i k
fərik	f æ̞ ɾ ɪ k
gelîm	ɡ e̞ l iː m
gelîm	ɡ i l iˑ m
gelîm	ɡ ɛ l iː m
gelîm	ɡ ɪ l iː n
gul	ɡ o̝ l
gul	ɡ ʊ l
guosâla	ɡ u o̯ s aː l a
gâvâhin	ɡ ɒˑ v ɒ j i n
gâvəhin	ɡ ɒː v æ h ɪ n
gâvəhin	ɡ ɒː v æ j ɪ n
gövərçin	ɡ e̞ v æ ɾ t͡ʃ iˑ n
gövərçin	ɡ ɛ v æ ɾ t͡ʃ iː n
gövərçin	ɡ ɛ̹ v æ ɾ t͡ʃ i n
gövərçin	ɡ ɶ w æ̞ ɾ t͡ʃ i n
göçü	ɡ œ t͡ʃ y̞
gö̂l	ɡ iˑ l
gö̂l	ɡ øː ø̯ l
gö̂l	ɡ ʏ̞ː ʏ̞̯ l
gü̂öl	ɡ iː e̯ l
gəlin	ɡ æ l iː n
gəlin	ɡ æ l ɪ n
gəlîn	ɡ æ l iː n
gərd	ɡ æ ɾ d
gərmsîl	ɡ æ ɾ m s iː l
gərmsîl	ɡ æ ɾ m æ s iː l
gə̂gürmək	ɡ æː ɡ ʏ ɾ m æ k
hadaq	h a d aː q
hadaq	h ɒ d ɒ q
hadaq	h ɒ d ɒ ɢ̥
hadırmaq	h a d ʊ ɾ m a q
harq	h a ɾ q
harq	h ɒ ɾ q
harqân	h a ɾ q aː n
harqân	h a ɾ q ɒː n
harra	h a r a
harra	h ɒ r ɒ
hat	h aː t
hat	h aˑ t
hat	h æ̞ t
hat	h ɒ t
hat	h ɒː t
hat	h ɒˑ t
hatmaq	h a t m a q
hatmaq	h aː t m a q
hatmaq	h aˑ t m a q
hatmaq	h æ̞ t m a q
hatmaq	h ɒ t m a q
havul	h aˑ v ʊ l
havul	h ɒ v u l
havul	h ɒ v ʊ l
havuz	h a u̯ ʊ z
havâ	h a v ɑː
havâ	h ɒ v ɒː
hayâz	h a j ɑː z
haçmaq	h a t͡ʃ m a q
haçuq	h a t͡ʃ ʊ q
haçuq	h a t͡ʃ ʊ̞ q
haçılmaq	h a t͡ʃ ɪ̈ l m a q
haçılmaq	h a t͡ʃ ʊ l m a q
haçılmaq	h a t͡ʃ ʏ l m a q
hağaç	h a ʁ a t͡ʃ
hağaç	h ɑ ʁ a t͡ʃ
hağaç	h ɒ ʁ ɒ t͡ʃ
hikmək	h i c m æ c
hikmək	h i k m æ̞ k
hikmək	h ɪ k m æ k
hikmək	h ɪ k m æ̞ k
hilmək	h ɪ l m æ k
hirkək	h i ɾ k æ k
hirkək	h iˑ ɾ k æ̞ k
hirkək	h ɪ ɾ k æ k
hirkək	h ʏ ɾ k æ k
hissig	h i s s i
hissig	h i s s i j
hissig	h i s s i ɟ
hissig	h ɪ s s iː
hissig	h ɪ s s ɪ ɡ
hişəmək	h ɪ ʃ æ m æ k
hişəmək	h ʏ ʃ æ m æ k
holımaq	h o l ɪ̈ m a q
holımaq	h o l ʊ m a q
holımaq	h ʊ̞ l ʊ̆ m a q
holınmaq	h o l ɪ̈ n m a q
holınmaq	h o l ʊ n m a q
holınmaq	h o l ʏ n m a q
hoqımaq	h o q ɪ m a q
hoqımaq	h o q ʊ m a q
hoqımaq	h o q ʊ̞ m a q
hottuz	h o tː ʊ z
hottuz	h o̞ tː ʊ z
hottuz	h ɔ t d̥ ʊ z
hottuz	h ɔ tː ʊ z
hottuz	h ɔ tː ʊ z̥
hottuzmıncı	h ɔ t t ʊ z m ɪ n d͡ʒ ɪ
hovz	h ɔ w z
hovz	h ɔ w z̥
hoğrı	h ɔ ʁ ɾ ɪ̈
hoğız	h o ʁ ʊ z
hulımaq	h ʊ l ʊ m a q
hunduvâna	h ʊ n d ʊ v aː n a
hunduvâna	h ʊ n d ʊ v ɒː n a
hunduvânə	h ʊ n d ʊ̆ v ɒ n æ
hurmaq	h ʊ ɾ m a q
hâam	h aː a̯ m
hâam	h ɒː ɒ̯ m
hâarı	h ɑː ɑ̯ ɾ ɪ̈
hârt	h ɑː ɑ̯ ɾ t
hây	h ɑː ɑ̯ j
hây	h ɒː ɒ̯ j
hâymaq	h a j m a q
hâymaq	h aː j m a q
hâymaq	h ɒ j m a q
hâymaq	h ɒˑ j m a q
hâz	h aː z
hâz	h aˑ z
hâçıq	h ɑː t͡ʃ ʊ q
hâçıq	h ɒː ɒ̯ t͡ʃ ɪ q χ
hâçıq	h ɒː ɒ̯ t͡ʃ ʊ q χ
hâçıq	h ɒː ɒ̯ t͡ʃ ʊ χ
hâçığ	h ɑː t͡ʃ ɪ ʁ
hâçığ	h ɑː t͡ʃ ɪ̈̈ ʁ
hâçığ	h ɑː t͡ʃ ʊ ʁ
hâçığ	h ɑː ɑ̯ t͡ʃ ʊ ʁ
hâğrımaq	h ɑː ʁ ɾ ʊ m a q
hâğrıtmaq	h ɑː ʁ ɾ ɪ t m a q
hâğrıtmaq	h ɑː ʁ ɾ ɪ̈ t m a q
hâğrıtmaq	h ɑː ʁ ɾ ʊ t m a q
hâğrığ	h ɑː ʁ ɾ ɪ̈ ʁ
hôt	h oː t
hôt	h oˑ t
hôt	h uː t
hôt	h ʊ̞ t
hôğraq	h oː ʁ ɾ a qʰ
hôğraq	h oː ʁ ɾ a q͡χ
hôğraq	h oː ʁ ɾ a χ
hölmək	h e l m æ k
hölmək	h e̹ l m æ k
hölmək	h œ l m æ k
höy	h œ ɥ
hö̂l	h i̯ eː l
hö̂l	h øː ø̯ l
hûn	h uː n
hûot	h uː o̯ t
hûot	h ʊː o̯ t
hûotun	h uː o̯ t ʊ n
hûotun	h ʊː o̯ t ʊ n
hûoçaq	h uː o̯ t͡ʃ ɒˑ q
hûoçaq	h uˑ o̯ t͡ʃ a q
hûoçaq	h u̞ o̯ t͡ʃ a q
hûoçaq	h ʊː o̯ t͡ʃ a q
hürün	h i ɾ i n
hürün	h i̹ ɾ ɪ n
hürün	h i̹ ɾ ʏ n
hürün	h y ɾ y n
hürün	h y ɾ ʏ n
hürün	h y̜ ɾ ʏ n
hürün	h ɪ ɾ ɪ n
hürün	h ɪ̹ ɾ ɪ̹ n
hürün	h ʏ ɾ ʏ n
hürün	h ʏ̜ ɾ ʏ̜ n
hüzmək	h ɪ z m æ k
hüzmək	h ɪ̹ z m æ k
hüzüm	h y ð y m
hüzüm	h y̜ z ʏ m
hüzüm	h ɪ z ɪ m
hüzüm	h ɪ z ʏ̜ m
hüzüm	h ɪ̹ z ɪ̹ m
hüzüm	h ɪ̹ z ʏ m
hüzüm	h ʏ z ʏ m
hü̂mək	h iː m æ k
hü̂mək	h yː m æ k
hü̂nmək	h iː n m æ k
hü̂nmək	h iˑ n m æ k
hü̂nmək	h ɪ n m æ k
hü̂nmək	h ʏ̜ˑ n m æ k
hü̂öl	h iː e̯ l
hırâq	h i ɾ ɒː q
hırâq	h ɪ̈ ɾ ɑː q
hırâq	i ɾ ɒː q
hığlamaq	h ɪ ʁ l a m a q
hığlamaq	h ɪ ʁ l a m a χ
hığlamaq	h ɪ ʁ l æ̞ m æ k
hığlamaq	h ɪ̈ l l a m a q
hığlamaq	h ɪ̈ ʁ l a m a q
hığlamaq	h ɪ̈ ʁ l æ̞ m æ k
hığmaq	h ɪ ʁ m a q
hığılmaq	h ɪ ʁ ɪ l m a q
hığılmaq	h ɪ ʁ ʊ l m a q
hığılmaq	h ɪ̈ ʁ ʊ l m a q
həlgək	h æ j l æ̞ k
həlgək	h æ l j æ c
həlgək	h æˑ j l æ k
həlgək	h æ̞ j l æ̞ k
həlgəmək	h æ j l æ m æ k
hər	h æ ɾ
hər	h æ ɾ ɪ
hər	h æ ɾ ʏ m
hər	h æː ɾ
hər	h æˑ ɾ
hər	h æ̞ ɾ
hər	h æ̞ ɾ i
hər	h æ̞ ɾ ɪ
hər	h æ̞ˑ ɾ
hərrə	h a r æ
hərrə	h æ r æ
hərrə	æ̞ r æ
həsmək	h æ s m æ k
həsâr	h æ s ɒː ɾ
həsâr	h æ̞ s ɒː ɾ
həsâr	h æ̞ s ɒˑ ɾ
hətək	h æ t æ k
hətək	h æ̞ t æ̞ k
həv	h æˑ v
həv	h æ̞ˑ v
həyvân	h æ j v ɑː n
həyvân	h ɛ j v ɒː n
həştâd	h æ̞ ʃ t ɒˑ d
hə̂n	h æ j n
hə̂n	h æː n
hə̂nlığ	h æ j n l ʊ ʁ
hə̂nlığ	h æː n l ʊ χ
hə̂nlığ	h æ̞ n l ɪ ɡ χ
hə̂nlığ	h æ̞ n l ɪ ʁ̥
hə̂nsüz	h æ̞ n s ɪ z
idbâr	ɪ d b ɒː ɾ
idbâr	ɪ d b ɒˑ ɾ
ilgər	i l j æ ɾ
ilgər	i l j æ̞ ɾ
ilgər	i̞ l ɡ æ ɾ
ilgər	ɪ l ɡ æ ɾ
ilgər	ɪ l ʝ̠ æ ɾ
irdək	ɪ ɾ d æ k
irgənmək	ɪ ɾ j æ n m æ k
irgənmək	ɪ ɾ ɡ æ n m æ k
irgətmək	ɪ ɾ ɡ æ t m æ k
irmək	ɪ ɾ m æ k
ist	i̞ s t
ist	ɪ s t
iç	ɪ t͡ʃ
içmək	ɪ t͡ʃ m æ k
kaklık	k a k l ʊ k
kaklık	k aː k l ɪ k
kaklık	q ɒˑ q ŭ k l ʊ q
kamar	k a m a ɾ
kara	k a ɾ a
kardu	k a ɾ d ʊ
kardu	q a ɾ d u
keçmək	k ɛ t͡ʃ m æ k
kidəyi	k i d æ j ɪ
kidəyi	k i d æ̞ j i
kidəyi	k ɪ d æ j ɪ
kim	k ɪ m
kindük	k i n d i kʰ
kindük	k y n d y k
kindük	k ɪ n d ɪ k
kindük	k ɪ n d ɪ̹ k
kindük	k ʏ n d ʏ k
kindük	k ʏ̜ n d ɪ̹ k
kirpik	k i p ɾ i k
kirpik	k ɪ ɾ p ɪ k
kissi	k i sː ɪ
kissi	k ɪ sː ɪ
kitik	k i t ɪ k
kitik	k i tʰ i kʰ
kitik	k ɪː t ɪ k
kitâb	k ɪ t ɒː b
kişi	k i ʃ i
kişi	k i ʃ i̹
kişi	k i ʃ ɪ
kişi	k ɪ ʃ ɪ
kudı	k ʊ d ɪ
kudı	q ʊ d u
kula	k u̞ l aː
kula	k ʊ l aː
kula	q u l ɒ
kull	k ʊ l l
kullı	k ʊ l l ɪ
kullı	k ʊ l l ʊ
kund	k ʊ n
kund	k ʊ n t
kund	k ʊ̞ n t
kurəkən	k u ɾ æ̞ k ə n
kutula	k ʊ t ʊ l a
kutula	k ʊ t ʊ ɾ a
kutula	k ʊ t ʊ̆ ɾ a
kâkul	k ɑː k ʊ l
kâl	k aː l
kâl	k oː l
kâl	k oː l ɪ
kâl	k ɑː l
kâl	k ɒː l
kâl	q ɒː l
kâlək	k ɒː l æ k
kâlək	q ɒˑ l æ̞ k
kâm	k ɒː m
kâm	q ɒː m
kêm	k eː m
kêng	k eː ŋ ɡ
kêçə	k eː t͡ʃ æ
kîem	k iː e̯ m
kîeng	k iː e̯ ŋ k
kîeng	k iː e̯ ŋ ɡ
kîeçə	k iː e̯ t͡ʃ æ
kîeçə	k ɪː e̯ t͡ʃ æ
kîm	k iː m
kîm	k iˑ m
kîm	k i̞ː m
kîm	k ɪ m
kîç	k iː i̯ t͡ʃ
kôka	k u k a
kôka	k u̯ ɔ̞ː k æ̞
kôna	k oˑ n a
kônə	k o n æ
kôr	k u̯ oː ɾ
kök	k ø k
kök	k œ k
kömək	k e m æ k
kömək	k œ m æ k
köməkləşmək	k e m æ k l æ ʃ m æ k
könmək	k øˑ n m æ k
könmək	k ʏ̞ˑ n m æ k
körmək	k e ɾ m æ k
körmək	k ø ɾ m æ k
körmək	k œ ɾ m æ k
körmək	k œ̜ ɾ m æ k
körmək	k ɛ ɾ m æ k
körmək	k ɛ̹ ɾ m æ k
körsətmək	k e ɾ s æ t m æ k
körsətmək	k ɛ̹ ɾ s æ t m æ k
köt	k eˑ t
köt	k e̞ t
köt	k y̆ e̹ː t
köt	k ø t
köt	k øː t
köt	k øˑ t
köt	k œ t
köt	k œ̜ t
köt	k ɛː t
köt	k ɛ̹ t
köt	k ɪ t
kötürmək	k e̞ t ɪ ɾ m æ k
kötürmək	k e̹ t ɪ ɾ m æ k
