Aaden	aː d ə n
Gould	ɣ oː u̯ l d
Gous	ɣ oː u̯ s
Greeuwer	ɣ r eː u̯ ə r
Grääb	ɣ r ɛː b
Grääf	ɣ r ɛː f
Gäist	ɣ ɛ ɪ̯ s t
Gäize	ɣ ɛ ɪ̯ s ə
Gäärs	ɣ ɛː r s
Haat	h aː t
Hanne	h a n ə
Hart	h a r t
Haud	h aː u̯ d
Hauk	h aː u̯ k
Heer	h eː r
Here	h eː r ə
Hingst	h ɪ ŋ s t
Hoangst	h ɔː ŋ s t
Hoaze	h ɔː s ə
Hoazen	h ɔː s ə n
Hollound	h ɔ l oː u̯ n d
Hollounder	h ɔ l oː u̯ n d ə r
Holt	h ɔ l t
Holtakster	h ɔ l t a k s t ə r
Holtdúve	h ɔ l t d uː v ə
Hone	h oː n ə
Houch	h oː u̯ x
Houden	h oː u̯ d ə n
Houf	h oː u̯ f
Houk	h oː u̯ k
Hounde	h oː u̯ n d ə
Houngst	h oː u̯ ŋ s t
Houngste	h oː u̯ ŋ s t ə
Hudden	h ʊ d ə n
Häid	h ɛ ɪ̯ d
Häire	h ɛ ɪ̯ r ə
Häk	h ɛ k
Häket	h ɛː k ə t
Hälper	h ɛ l p ə r
Häägakster	h ɛː ɣ a k s t ə r
Híer	h iː r
Híere	h iː r ə
Höävel	h œː v ə l
Hööft	h øː f t
Húund	h uː n d
Húus	h uː s
Húusmuze	h uː s m u s ə
Húusmúus	h uː s m uː s
Húze	h uː s ə
Ieme	i m ə
Iengoang	i n ɣ ɔː ŋ
Jadder	j a d ə r
Jader	j aː d ə r
Januoar	j a n u ɔː r
Jeest	j eː s t
Jesus	j eː s ʊ s
Jield	j iˑ l d
Jode	j oː d ə
Jool	j uː l
Jíer	j iː r
Jíerhundert	j iː r h ʊ n d ə r t
Jöäde	j œː d ə
Kannienken	k a n i n k ə n
Kannienkene	k a n i n k ə n ə
Kat	k a t
Katteker	k a t ə k ə r
Katule	k a t u l ə
Keelde	k eː l d ə
Kenientje	k ə n i n t j ə
Kenientjene	k ə n i n t j ə n ə
Kening	k eː n ɪ ŋ
Kieviet	k i v i t
Kniebel	k n i b ə l
Kniebele	k n i b ə l ə
Knientje	k n i n t j ə
Knientjene	k n i n t j ə n ə
Knientjes	k n i n t͡ʃ ə s
Knoke	k n oː k ə
Komer	k oː m ə r
Koolmeeske	k oː l m eː s k ə
Kop	k ɔ p
Koper	k oː p ə r
Kouke	k oː u̯ k ə
Krikhanne	k r ɪ k h a n ə
Ku	k u
Kudderhone	k ʊ d ə r h oː n ə
Kufúgel	k u f uː ɣ ə l
Kukuuk	k u k u k
Kus	k ʊ s
Käize	k ɛ ɪ̯ z ə
Käizedokter	k ɛ ɪ̯ z ə d ɔ k t ə r
Kääle	k ɛː l ə
König	k øː n ɪ ɣ
Köänig	k œː n ɪ ɣ
Kúke	k uː k ə
Leeuwe	l eː u̯ ə
Leeuwerke	l eː u̯ ə r k ə
Lid	l ɪ d
Liene	l i n ə
Lippe	l ɪ p p ə
Loum	l oː u m
Lound	l oː u̯ n d
Lunge	l ʊ ŋ ə
Läiverke	l ɛ ɪ̯ v ə r k ə
Líene	l iː n ə
Líeuwer	l iː u̯ ə r
Lúus	l uː s
Lünik	l yː n ɪ k
Lüüntje	l yː n t j ə
Maiden	m aː i̯ d ə n
Malve	m a l v ə
Mama	m aː m aː
Meel	m iː l
Meente	m eː n t ə
Meenten	m eː n t ə n
Meerte	m eː r t ə
Meeske	m eː s k ə
Middelfinger	m ɪ d ə l f ɪ ŋ ə r
Middewíek	m ɪ d ə v iː k
Midwíek	m ɪ d v iː k
Milte	m ɪ l t ə
Mjuks	m j ʊ k s
Moalk	m ɔː l k
Moalkbäiste	m ɔː l k b ɛ ɪ̯ s t ə
Moalkku	m ɔː l k k u
Moanske	m ɔː n s k ə
Moanskene	m ɔː n s k ə n ə
Mon	m ɔ n
Moud	m oː u̯ d
Mouer	m oː u̯ ə r
Mound	m oː u̯ n d
Moundai	m oː u̯ n d aː i̯
Moune	m oː u̯ n ə
Mounen	m oː u̯ n ə n
Muze	m u s ə
Muzebuk	m u s ə b ʊ k
Mäiden	m ɛ ɪ̯ d ə n
Mäme	m ɛː m ə
Märe	m ɛː r ə
Määlne	m ɛː l n ə
Múur	m uː r
Múurhoungst	m uː r h oː u̯ ŋ s t
Múus	m uː s
Nachtigal	n a x t ɪ ɣ a l
Nail	n aː i l
Neder	n eː d ə r
Need	n eː d
Nichte	n ɪ x t ə
Njúre	n j uː r ə
Noaber	n ɔː b ə r
Noacht	n ɔː x t
Noachte	n ɔː x t ə
Noachtegoal	n ɔː x t ə ɣ ɔː l
Nome	n oː m ə
Nood	n oː d
Noudaaste	n oː u̯ d aː s t ə
Noude	n oː u̯ d ə
Noudwääste	n oː u̯ d v ɛː s t ə
Nudde	n ʊ d ə
Näp	n ɛ p
Nääst	n ɛː s t
Oadler	ɔː d l ə r
Oai	ɔː ɪ̯
Oaiere	ɔː ɪ̯ ə r ə
Oante	ɔː n t ə
Oape	ɔː p ə
Oge	oː ɣ ə
Ogene	oː ɣ ə n ə
Omme	ɔ m ə
Oom	oː m
Oor	oː r
Oostfräislound	oː s t f r ɛ ɪ̯ s l oː u̯ n d
Otter	ɔ t ə r
Oue	oː u̯ ə
Paad	p aː d
Pad	p a d
Papa	p aː p aː
Peel	p eː l
Pere	p eː r ə
Petrieshanne	p ɛ t r i s h a n ə
Piene	p i n ə
Piep	p i p
Piepe	p i p ə
Piepen	p i p ə n
Pink	p ɪ ŋ k
Poade	p ɔː d ə
Potlikker	p ɔ t l ɪ k ə r
Profeet	p r oː f eː t
Provinsje	p r oː v ɪ n s j ə
Púul	p uː l
Púus	p uː s
Púusjene	p uː ʃ j ə n ə
Raier	r aː i̯ ə r
Reger	r eː ɣ ə r
Rekenjen	r eː k ə n j ə n
Ridder	r ɪ d ə r
Ringeldúve	r ɪ ŋ ə l d uː v ə
Ringfinger	r ɪ ŋ f ɪ ŋ ə r
Roage	r ɔː ɣ ə
Roagebrood	r ɔː ɣ ə b r oː d
Roave	r ɔː v ə
Rom	r ɔ m
Romelse	r oː m ə l s ə
Roof	r oː f
Room	r oː m
Roop	r oː p
Rotte	r ɔ t ə
Rotten	r ɔ t ə n
Rouk	r oː u̯ k
Rubbe	r ʊ b ə
Räier	r ɛ ɪ̯ ə r
Saalt	s aː l t
Sail	s aː i̯ l
Sap	s a p
Sapkouke	s a p k oː u̯ k ə
See	s eː
Seelter	s eː l t ə r
Seelterlound	s eː l t ə r l oː u̯ n d
Seeltersk	s eː l t ə r s k
Seemeeske	s eː m eː s k ə
Siene	s iː n ə
Sjunger	s j ʊ ŋ ə r
Sjungerske	s j ʊ ŋ ə r s k ə
Skeper	s k eː p ə r
Skinke	s k ɪ ŋ k ə
Skoule	s k oː u̯ l ə
Skounde	s k oː u̯ n d ə
Skäddel	s k ɛ d ə l
Skäip	s k ɛ ɪ̯ p
Skíere	s k iː r ə
Slange	s l a ŋ ə
Sloange	s l ɔː ŋ ə
Sneeuwende	s n eː u̯ ə n d ə
Snouk	s n oː u̯ k
Snurboart	s n ʊ r b ɔː r t
Snäivende	s n ɛ ɪ̯ v ə n d ə
Soalt	s ɔː l t
Soaltrouk	s ɔː l t r oː u̯ k
Soang	s ɔː ŋ
Sooke	s oː k ə
Soom	s oː m
Sound	s oː u̯ n d
Spitsmuze	s p ɪ t s m u s ə
Spitsmúus	s p ɪ t s m uː s
Spräie	s p r ɛ ɪ̯ ə
Stede	s t eː d ə
Steden	s t eː d ə n
Steen	s t eː n
Steenpiepe	s t eː n p i p ə
Steenpiepen	s t eː n p i p ə n
Stik	s t ɪ k
Stoark	s t ɔː r k
Stok	s t ɔ k
Stom	s t ɔ m
Stomboom	s t ɔ m b oː m
Stoom	s t oː m
Strukelje	s t r ʊ k ə l j ə
Sträite	s t r ɛ ɪ̯ t ə
Stäit	s t ɛ ɪ̯ t
Stääd	s t ɛː d
Stíekel	s t iː k ə l
Stíekele	s t iː k ə l ə
Stíekelswien	s t iː k ə l s v i n
Stíekelswiene	s t iː k ə l s v i n ə
Sude	s u d ə
Sundai	s ʊ n d aː i̯
Sunderkloas	s ʊ n d ə r k l ɔː s
Sunderkloaseeuwend	s ʊ n d ə r k l ɔː s eː u̯ ə n t
Sunne	s ʊ n ə
Suster	s ʊ s t ə r
Suudaaste	s u d aː s t ə
Suudwääste	s u d v ɛː s t ə
Swien	s v i n
Swinneflaask	s v ɪ n ə f l aː s k
Swoalke	s v ɔː l k ə
Swoan	s v ɔː n
Swonne	s v ɔ n ə
Swoolke	s v oː l k ə
Swoon	s v oː n
Swoorm	s v oː r m
Säge	s ɛː ɣ ə
Säi	s ɛ ɪ̯
Säid	s ɛ ɪ̯ d
Säidelsbíerig	s ɛ ɪ̯ d ə l s b iː r ɪ ɣ
Sälver	s ɛ l v ə r
Sände	s ɛ n d ə
Sät	s ɛ t
Säände	s ɛː n d ə
Säärke	s ɛː r k ə
Säärkenmúus	s ɛː r k ə n m uː s
Säärse	s ɛː r s ə
Síes	s iː s
Síesbuutje	s iː s b u t j ə
Súun	s uː n
Taks	t a k s
Tau	t aː u̯
Tejoater	t eː j ɔː t ə r
Tied	t i d
Tit	t ɪ t
Tjoater	t j ɔː t ə r
Tone	t oː n ə
Tonk	t ɔ ŋ k
Toom	t oː m
Tougoang	t oː u̯ ɣ ɔː ŋ
Traast	t r aː s t
Träistrik	t r ɛ ɪ̯ s t r ɪ k
Träitit	t r ɛ ɪ̯ t ɪ t
Tume	t u m ə
Tusk	t ʊ s k
Tuskedokter	t ʊ s k ə d ɔ k t ə r
Tuunsdai	t u n s d aː i̯
Twäintit	t v ɛ ɪ̯ n t ɪ t
Täisdai	t ɛ ɪ̯ s d aː i̯
Täk	t ɛ k
Tästamänt	t ɛ s t a m ɛ n t
Täärp	t ɛː r p
Tíerm	t iː r m
Tüdik	t yː d ɪ k
Ule	u l ə
Undskeeldenge	ʊ n d s k eː l d ə ŋ ə
Uunglove	u n ɣ l oː v ə
Uuntonk	u n t ɔ ŋ k
Uurgoang	u r ɣ ɔː ŋ
Uutgoang	u t ɣ ɔː ŋ
Wareld	v aː r ə l d
Wien	v i n
Wienfúgel	v i n f uː ɣ ə l
Wieuw	v i u̯
Wieuwljude	v i u̯ l j u d ə
Wieuwmoanske	v i u̯ m ɔː n s k ə
Wiezelke	v i s ə l k ə
Wilp	v ɪ l p
Wipstäit	v ɪ p s t ɛ ɪ̯ t
Woater	v ɔː t ə r
Woaterhanne	v ɔː t ə r h a n ə
Woold	v oː l d
Woud	v oː u̯ d
Woudebouk	v oː u̯ d ə b oː u̯ k
Wroute	v r oː u̯ t ə
Wrouten	v r oː u̯ t ə n
Wucht	v ʊ x t
Wud	v ʊ d
Wulf	v ʊ l f
Wurm	v ʊ r m
Wuttel	v ʊ t ə l
Wät	v ɛ t
Wätsteen	v ɛ t s t eː n
Wäänt	v ɛː n t
Wääste	v ɛː s t ə
Wäästfräislound	v ɛː s t f r ɛ ɪ̯ s l oː u̯ n d
Wíek	v iː k
Wíelge	v iː l ɣ ə
Wíend	v iː n d
Wíendmäälne	v iː n d m ɛː l n ə
Wöilmuze	v œː i̯ l m u s ə
Wöilmúus	v œː i̯ l m uː s
Wúurm	v uː r m
Wüülge	v yː l ɣ ə
aal	aː l
aan	aː n
aapje	aː p j ə
achttien	a x t t iˑ n
al	a l
alven	a l v ə n
an	a n
ankume	a n k u m ə
antruuije	a n t r uː i̯ j ə
ap	a p
apníeme	a p n iː m ə
bale	b aː l ə
baue	b aː u̯ ə
bee	b eː
beeën	b eː j ə n
bere	b eː r ə
beter	b eː t ə r
biete	b i t ə
biloved	b i l oː v ə d
biminje	b ɪ m ɪ n j ə
bislute	b ɪ s l u t ə
bispoarje	b ɪ s p ɔː r j ə
bit	b ɪ t
bitje	b ɪ t j ə
breke	b r eː k ə
bruke	b r u k ə
budje	b ʊ d j ə
bääst	b ɛː s t
dan	d a n
daue	d aː u̯ ə
deensk	d eː n s k
deeruum	d eː r u m
deeruur	d eː r u r
die	d i
dien	d i n
dienen	d i n ə n
din	d ɪ n
dinnen	d ɪ n ə n
do	d oː
doof	d oː f
du	d u
dusse	d ʊ s ə
dussen	d ʊ s ə n
dut	d ʊ t
dwo	d v oː
däin	d ɛ ɪ̯ n
dän	d ɛ n
dät	d ɛ t
däänsk	d ɛː n s k
düütsk	d y t s k
een	eː n
eenuntwintich	eː n ʊ n t v ɪ n t ɪ x
enig	eː n ɪ ɣ
er	ə r
et	ə t
fange	f a ŋ ə
fat	f a t
ferbonne	f ə r b ɔ n ə
ferleze	f ə r l eː s ə
ferskiene	f ə r s k i n ə
ferstounde	f ə r s t oː u̯ n d ə
fieuw	f i u̯
fille	f ɪ l ə
fiskje	f ɪ s k j ə
fjauer	f j aː u̯ ə r
fjautien	f j aː u̯ t i n
fljoge	f l j oː ɣ ə
floitje	f l ɔ y̯ t j ə
fläägje	f l ɛː ɣ j ə
foare	f ɔː r ə
fon	f ɔ n
freezje	f r eː z j ə
fräigje	f r ɛ ɪ̯ ɣ j ə
fräisk	f r ɛ ɪ̯ s k
ful	f ʊ l
fulle	f ʊ l ə
fäile	f ɛ ɪ̯ l ə
fääst	f ɛː s t
fúul	f uː l
füüftien	f yː f t i n
gau	ɣ aː u̯
geskjo	ɣ ə s k j oː
gjuchtfäidig	ɣ j ʊ x t f ɛ ɪ̯ d ɪ ɣ
goar	ɣ ɔː r
goud	ɣ oː u̯ d
gratlíerje	ɣ r a t l iː r j ə
greeuwe	ɣ r eː u̯ ə
gries	ɣ r i s
groot	ɣ r oː t
gräin	ɣ r ɛ ɪ̯ n
gunge	ɣ ʊ ŋ ə
haalje	h aː l j ə
hatelk	h aː t ə l k
helig	h eː l ɪ ɣ
here	h eː r ə
hete	h eː t ə
hie	h i
hier	h i r
hiere	h i r ə
hierens	h i r ə n s
him	h ɪ m
hoalje	h ɔː l j ə
hol	h ɔ l
holloundsk	h ɔ l oː u̯ n d s k
holten	h ɔ l t ə n
hondelje	h ɔ n d ə l j ə
hoog	h oː ɣ
hoopje	h oː p j ə
hunderd	h ʊ n d ə r d
hundert	h ʊ n d ə r t
hunnert	h ʊ n ə r d
häbe	h ɛː b ə
häägje	h ɛː ɣ j ə
iek	i k
ien	i n
iete	i t ə
je	j ə
jee	j eː
jeel	j eː l
jie	j i
jo	j oː
jou	j oː u̯
jouens	j oː u̯ ə n s
ju	j u
juns	j ʊ n s
jä	j ɛː
konne	k ɔ n ə
koold	k oː l d
koom	k oː m
koopje	k oː p j ə
krie	k r i
kriege	k r i ɣ ə
krju	k r j u
kro	k r oː
krusse	k r ʊ s ə
krussen	k r ʊ s ə n
krut	k r ʊ t
krän	k r ɛ n
krät	k r ɛ t
kudderje	k ʊ d ə r j ə
kume	k u m ə
kuut	k u t
kwede	k v eː d ə
leeuwe	l eː u̯ ə
legerje	l eː ɣ ə r j ə
leze	l eː s ə
litje	l ɪ t j ə
ljo	l j oː
ljoof	l j oː f
loang	l ɔː ŋ
loos	l oː s
lope	l oː p ə
lusterje	l ʊ s t ə r j ə
líenje	l iː n j ə
líeuwje	l iː u̯ j ə
lúus	l uː s
lúuvje	l uː v j ə
mie	m i
mien	m i n
mienen	m i n ə n
min	m ɪ n
minje	m ɪ n j ə
minnen	m ɪ n ə n
misbruke	m ɪ s b r u k ə
mjo	m j oː
moakje	m ɔː k j ə
moanskelk	m ɔː n s k ə l k
moin	m ɔ y̯ n
moor	m oː r
moute	m oː u̯ t ə
mäd	m ɛ d
mölk	m œ l k
múurje	m uː r j ə
n	ə n
naan	n aː n
namme	n a m ə
ne	n ə
neen	n eː n
nit	n ɪ t
njuugentien	n j uː ɣ ə n t ɪˑ n
njúgen	n j uː ɣ ə n
noa	n ɔː
noch	n ɔ x
nooit	n oː i̯ t
noom	n oː m
níeme	n iː m ə
oachte	ɔː x t ə
oold	oː l d
ou	oː u̯
oubaue	oː u̯ b aː u̯ ə
oubiete	oː u̯ b i t ə
oubreke	oː u̯ b r eː k ə
oulegerje	oː u̯ l eː ɣ ə r j ə
ousoange	oː u̯ s ɔː ŋ ə
pleegje	p l eː ɣ j ə
píepje	p iː p j ə
reke	r eː k ə
rekenje	r eː k ə n j ə
rood	r oː d
roupe	r oː u̯ p ə
sien	s i n
sienen	s i n ə n
sik	s ɪ k
sin	s ɪ n
sinnen	s ɪ n ə n
sjo	s j oː
sjooët	s j oː ə t
sjunge	s j ʊ ŋ ə
skeelde	s k eː l d ə
skeeuw	s k eː u̯
skiene	s k i n ə
skiete	s k i t ə
skrieuwe	s k r i u̯ ə
skäl	s k ɛ l
skälle	s k ɛ l ə
sljucht	s l j ʊ x t
släipe	s l ɛ ɪ p ə
smäl	s m ɛ l
soalten	s ɔː l t ə n
soaltig	s ɔː l t ɪ ɣ
soange	s ɔː ŋ ə
sogen	s oː ɣ ə n
soogentien	s oː ɣ ə n t iˑ n
spits	s p ɪ t s
spreke	s p r eː k ə
stounde	s t oː u̯ n d ə
strieke	s t r i k ə
suk	s ʊ k
sukke	s ʊ k ə
sukken	s ʊ k ə n
sunt	s ʊ n t
sweer	s v eː r
swoot	s v oː t
swot	s v ɔ t
säks	s ɛ k s
säkstien	s ɛ k s t iˑ n
sälven	s ɛ l v ə n
sätte	s ɛ t ə
säärm	s ɛː r m
sääuwen	s ɛː u̯ ə n
súurgje	s uː r ɣ j ə
t	ə t
takje	t a k j ə
tjo	t j ɔ
tjoon	t j oː n
tjuk	t j ʊ k
toai	t ɔː ɪ̯
toanke	t ɔː ŋ k ə
tonkje	t ɔ ŋ k j ə
tou	t oː u̯
touhope	t oː u̯ h oː p ə
touhopewoonje	t oː u̯ h oː p ə v oː n j ə
trjo	t r j ɔ
truch	t r ʊ x
truuije	t r uː i̯ j ə
träi	t r ɛ ɪ̯
trättien	t r ɛ t i n
tweelich	t v eː l ɪ x
twelig	t v eː l ɪ ɣ
twintich	t v ɪ n t ɪ x
two	t v ɔ
twäin	t v ɛ ɪ̯ n
tään	t ɛː n
ume	u m ə
umewöile	u m ə v œː i̯ l ə
un	ʊ n
undfange	ʊ n d f a ŋ ə
uum	u m
uunmoanskelk	u n m ɔː n s k ə l k
uur	uː r
uursätte	u r s ɛ t ə
uurwinne	u r v ɪ n ə
uus	u s
uut	u t
uutkume	u t k u m ə
uutstounde	u t s t oː u̯ n d ə
uzen	u s ə n
wai	v aː i
wanner	v a n ə r
weze	v eː s ə
wie	v i
wieke	v i k ə
wier	v i r
wieruum	v i r u m
wiet	v i t
wilkemen	v ɪ l k eː m ə n
wilst	v ɪ l s t
winne	v ɪ n ə
wipje	v ɪ p j ə
wippelje	v ɪ p ə l j ə
wo	v oː
wolle	v ɔ l ə
wonskje	v ɔ n s k j ə
woonje	v oː n j ə
woorm	v oː r m
wäg	v ɛ ɣ
wäggunge	v ɛ ɣ ɣ ʊ ŋ ə
wäide	v ɛ ɪ̯ d ə
wäkke	v ɛ k ə
wäkker	v ɛ k ə r
wäl	v ɛ l
wäls	v ɛ l s
wät	v ɛ t
wätje	v ɛ t j ə
wíeld	v iː l d
wíete	v iː t ə
wöile	v œː i̯ l ə
wülkemen	v ʏ l k eː m ə n
wüüld	v yː l d
ze	z ə
Äbbe	ɛ b ə
Äi	ɛ ɪ̯
Äirm	ɛ ɪ̯ r m
Äivend	ɛ ɪ̯ v ə n t
Äkker	ɛ k ə r
Ängel	ɛ ŋ ə l
Ängelsk	ɛ ŋ ə l s k
Íerm	iː r m
Íeten	iː t ə n
Íezel	iː s ə l
Íezele	iː s ə l ə
älk	ɛ l k
älkunaan	ɛ l k ʊ n aː n
älkuneen	ɛ l k ʊ n eː n
ängelsk	ɛ ŋ ə l s k
ätter	ɛ t ə r
ättertoanke	ɛ t ə r t ɔː ŋ k ə
ääng	ɛː ŋ
äärm	ɛː r m
íete	iː t ə
íeuwen	iː u̯ ə n
