adaş	a d a ʃ
aşğırmaq	a ʃ ʁ ʊ ɾ m a q
bala	b a l a
bara	b a ɾ a
barasıça	b a ɾ a s ɪ̈ t͡ʃ a
barmaq	b ɒ ɾ m aː χ
barmaq	b a ɾ m ɑˑ χ
barmaq	b ɑ ɾ m a q
barmaq	b a ɾ m ɑː qʰ
barmaq	m a ɾ m aː q
barmaq	b a ɾ m aː q
barmaq	b a ɾ m a q
barmaq	b a ɾ m aˑ q
barmaq	b a ɾ m ɑ q
barmaq	b aˑ ɾ m a q
barmaq	b a ɾ m ɑː q
barmaq	b a ɾ m a χ
barmaq	b ɒ ɾ m ɒ q
barmaq	b a ɾ m ɑˑ q
barmaq	b a ɾ m a qʰ
barmaq	b ɑ ɾ m ɔ q
barmaq	b ɑ ɾ m ɑː χ
barmaq	b a ɾ m ɑ χ
basılmaq	b a s ʊ l m a q
basmaq	b a s m a q
bastırmaq	b a s t ʊ ɾ m a q
batmaq	b ɒ t m ɒ q
batmaq	b a t m a q
baxt	b a χ t
bayquş	b a j a̯ ʁ ʊ ʃ
bayquş	b a j ʁ ʊ ʃ
bağışlamaq	b a ʁ ɪ̈ ʃ l a m a q
baş	b aː ʃ
baş	b aˑ ʃ
baş	b ɑˑ ʃ
baş	b ɑː ʃ
baş	b ɔ ʃ
baş	b ɒˑ ʃ
baş	b ɒː ʃ
baş	b æː ʃ
baş	b ɑˑ ʃ ʊ m
baş	b ɔ̞ː ʃ
baş	b a ʃ
baş	b ɑ ʃ
baş	b ɒː ʃ ʊ m
baş	b ɑ̹ˑ ʃ
baş	b ɔː ʃ
baş	b ɒ̜ ʃ ʊ m
baş	b ɔˑ ʃ
baş	b æ̞ː ʃ
baş	b oˑ ʃ
baş	b ʊ̞ˑ ʃ
baş	b a ʃ ʊ m
bidük	b i d i k
bidük	b i d ɪ k
bidük	b i̞ d ɪ k
bidük	b ʏ d ʏ k
bidük	b i d i k
bidük	b i d ɪ k
bidük	b ɪ̹ d ɪ k
bidük	b ɪ̹ d ɪ̹ k
bidük	b i̹ d i̹ k
bidük	b y̜ d ʏ k
bidük	b ʏ d ʏ k
bidümək	b ɪ̹ d ɪ̹ m æ k
bil	b i e̯ l
bil	b i l
bıldır	b ɪ l d i ɾ
bıldır	b ɪ̈ l d ɪ̈ ɾ
bıldır	b ɪ l d ɪ ɾ
bilmək	b i l m æ k
bilmək	b i̞ l m æ k
bilmək	b ɪ l m æ k
bilmək	b ʏ̜ l m æ k
bilmək	b ʏ l m æ k
bilmək	b ʊ l m æ k
bilmək	b ɪ l m æ k
bilə	b ɪ l æ
bırmaq	b ʊ ɾ m aː χ
bırmaq	b ʊ ɾ m ɑˑ χ
bırmaq	b ɪ ɾ m ɑː χ
bırmaq	b ʊ ɾ m ɒ qʰ
bırmaq	b ʊ ɾ m a χ
bırmaq	b ʊ ɾ m aː q ʊ m
bırmaq	v ʊ ɾ m a q ɪ
bırmaq	b ʊ ɾ m ɑ q
bırmaq	b ʊ ɾ m ɑː q
bırmaq	b ʊ ɾ m a qʰ
bırmaq	b ʊ ɾ m aː qʰ
bırmaq	b ʊ ɾ m aˑ q
bırmaq	b ʊ ɾ m a q
bırmaq	b ʊ ɾ m ɒ q
bırmaq	b ʊ ɾ m ɑː χ
bırmaq	b ʊ ɾ m ɒː qʰ
bırmaq	b ʊ ɾ m ɒː q͡χ
bit	b ɪ t
bit	b iˑ t
bit	b i t
bit	b iː t
bit	b ɪ t
bit	b i t
bitmək	b ɪ t m æ k
bitmək	b ɪ t m æ k
biyâta	b i j ɒ t a
biz	b ɪ z
biz	b ɪ z
bıçmaq	b ɪ t͡ʃ m a q
bıçmaq	b ʊ t͡ʃ m a q
bıçmaq	b ʏ t͡ʃ m a q
bıçmaq	b ɪː t͡ʃ m a q
bıçmaq	b ɪ̈ t͡ʃ m a q
bıçâq	b ɪ̈ t͡ʃ ɒː q
bıçâq	b ɪ̈ t͡ʃ ɑː q
bışırmaq	b ɪ ʃ ɪ ɾ m a q
bışırmaq	b ɪ ʃ ʊ ɾ m a q
bışırmaq	b ɪ ʃ ʏ ɾ m a q
bışırmaq	b ʏ ʃ ʏ ɾ m a q
bışırmaq	b ɪ̈ ʃ ʊ ɾ m a q
bışmaq	b ʊ ʃ m a q
bışmaq	b ɪ̈ ʃ m a q
bodamaq	b o d a m a q
bodanmaq	b o d a n m a q
bodağ	b o d a ʁ
boyıl	b ʊ̞ j ɪ l
boyıl	b u j i l
boğarsaq	b o ʁ ɒ ɾ s ɒˑ q
boğarsaq	b o ʁ a ɾ s a ʁ
boğarsaq	b o ʁ a ɾ s aˑ χ
boğarsaq	b o ʁ a ɾ s a χ
boğarsaq	b ɒ ʁ ɪ ɾ s ɑ q
boğarsuq	b o ʁ a ɾ s ʊ q
boğarsuq	b ɔ ʁ ɒ ɾ s ʊ q
boğarsuq	b o̞ ʁ ɑ ɾ s ʊ q
boğarsuq	b o ʁ a ɾ s ʊ χ
boğarsuq	b o ʁ a ɾ s ʊˑ q
boğarsuq	b o ʁ a ɾ s ʊ q
boğaz	b o̞ ʁ a z
boğaz	b o ʁ ɑ z
boğaz	b o ʁ a z
boğız	b o ʁ ɪ z
boğız	b o ʁ ʊ z
boğız	b ɔ ʁ ɪ z
boğız	b oˑ ʁ ɪ z
boğız	b o̞ ʁ ʊ z
boğız	b ɔ ʁ ʊ z
boğız	b o̞ ʁ z ʊ m
boğız	b ɔ ʁ z ʊ m
boğız	b o ʁ ʊ̞ z
boğız	b oˑ ʁ ʊ z
boğız	b o ʁ z ʊ m
boğız	b ɔ ʁ z ʊ m
boğız	b o ʁ ɪ̈ z
boğız	b o ʁ z ʊ m
boğız	b o ʁ ʏ z
boğız	b o̞ ʁ z
boğız	b ɔ ʁ z
boğız	b ʊ̞ ʁ z ɪ
boğız	b o ʁ ɔ z
boğız	b ɔ ʁ ʊ̜ z
boğız	b ɔ ʁ ʊ z ʊ m
boğız	b o̞ ʁ ɪ z
boğız	b o ʁ o z
buhtân	b ʊ h t ɒː n
bulınmaq	b ʊ l ʊ n m a q
bulınmaq	b ʊ l ɪ̈ n m a q
bulınmaq	b ʊ l ʊ n m a q
bulıt	b ʊ l ʊ t
bulıt	b ʊ l ɪ t
bulıt	b ʊ l ʊ t
bulıt	b ʊ l ɪ̈ t
bulıt	b ʊ l ɪ t
bulmaq	b ʊ l m a q
bulmaq	b ʊ l m a q
bulâq	b u l aː ɢ̥
bulğamaq	b u l ʁ a m a q
burın	b uˑ ɾ ʊ̜̈ n
burın	b u̞ ɾ ʊ n
burın	b ʊ ɾ n
burın	b u̞ˑ ɾ ʊ n
burın	b u̞ ɾ ʏ̜ n
burın	b u ɾ n ʊ m
burın	b u̞ ɾ u̞ n
burın	b ʊ ɾ ʊ n
burın	b u ɾ ʊ n
burın	b u ɾ ɪ n
burın	b ʊ ɾ u̞ n
burın	b u ɾ ɪ̈ n
burın	b u ɾ ʊ n
burın	b u ɾ u n
burın	b i ɾ ɪ n
burın	b u ɾ i̹ː n
burın	b ʊ ɾ ʊ̜ n
burın	b u̞ ɾ ɪ n
burın	b uˑ ɾ u̞ n
burın	b ʊ ɾ ɪ n
burın	b ʊ ɾ u̞ˑ n
burın	b uˑ ɾ i̞ n
butta	b ʊ t a
butta	b ʊ t t a
buyırmaq	b u j ʊ ɾ m a q
buzı	b ʊ z ʊ
buğda	b ʊ ʁ d aˑ
buğda	b ʊ ʁ d a
buğda	b ʊ̞ ʁ d a
bâba	b ɔ̞ː b ɑ
bâba	b ɑ b ɑ
bâba	b ɒ b ɒ
bâba	b ɒː b ɑ
bâba	b aː b a
bâba	b ɔ̞ː b ɒ
bâba	b ɑˑ b a
bâba	b ɑː b ɑ
bâba	b ɔ b ɒ
bâba	b ɒː b aː
bâba	b ɒː b a
bâba	b ɔ̞ː b ɔ
bâba	b ɒˑ b ɑ
bâba	b ɑˑ b ɑ
bâba	b ɔ̞ː β ɑ
bâba	b ɑː b a
bâba	b ɑ b a
bâba	b a b a
bâba	b ɔ̞ː b æ̞
bâba	b ɔ̞ː b a
bâba	b ɑ b a
bâba	b ɔ̞ː b ɑ
bâba	b ɒː b ɑ
bâba	b ɒː b ɒ
bâba	b ɒˑ b ɒˑ
bâba	b ɔ̞ː b ɒ
bâbacân	b ɑː b a d͡ʒ ɑː n
bâbacân	b ɔ̞ː b a d͡ʒ ɑː n ʊ m
bâbacân	b ɑː b ɑ d͡ʒ ɒː n
bâbacân	b ɔ̞ː b ɑ d͡ʒ aː n
bâbacân	b o̞ b ɑ d͡ʒ ɑː n
bâbacân	b ɑː b a d͡ʒ aː n
bâbacân	b ɑː b a d͡ʒ ɒː n
bâbacân	b ɒː b a d͡ʒ ɒː n
bâbacân	b ɒː b a d͡ʒ ɔ̞ː n
bâbacân	b ɔ̞ː b ɑ d͡ʒ ɔ̞ː n
bâbacân	b ɑː b a d͡ʑ aː n
bâbacân	b ɔ̞ː b a d͡ʒ ɔ̞ː n
bâcanaq	b ɒː d͡ʒ a n a ʁ
bâcanaq	b ɔ̞ː d͡ʒ a n a χ
bâcanaq	b ɔˑ d͡ʒ a n a χ
bâcanaq	b ɒ d͡ʒ a n a ʁ
bâcanaq	b ɔ̞ː d͡ʒ æ̞ n a ʁ
bâcanaq	b ɔ̞ː d͡ʒ a n ɑ χ
bâcanaq	b ɒː d͡ʒ a n a χ
bâcanaq	b ɒˑ d͡ʒ ɒ n a χ
bâcanaq	b ɒː d͡ʒ æ n ɒː q
bâcanaq	b aː d͡ʒ a n a q
bâcanaq	b aˑ d͡ʒ a n a ʁ
bâcanaq	b ɔ̞ː d͡ʒ a n a ʁ
bâcanaq	b ɔ̞ː d͡ʒ a n ɑ ʁ
bâcanaq	b ɔ̞ː d͡ʒ a n ɒ ʁ
bâcanaq	b ɒː d͡ʒ a n ɑ ʁ
bâcanaq	b ɒˑ d͡ʒ a n a χ
bâcanaq	b ɑ d͡ʒ a n a χ
bâcanaq	b a d͡ʒ a n a χ
bâcanaq	b ɔ d͡ʒ ɑ n a ʁ
bâcı	b ɔ̞ː d͡ʒ ɪ
bâcı	b ɑː d͡ʒ ɪ s ɪ
bâcı	b ɑː d͡ʒ ɪ
bâcı	b ɒː d͡ʒ ɪ
bâcı	b ɔ̞ː d͡ʒ i̞
bâcı	b ɒː d͡ʒ i
bâcı	b ɒː d͡ʒ ɪ̈
bâcı	b aː d͡ʒ ɪ
bâcı	b ɔ̞ː d͡ʒ i
bâcı	b ɔ̞ː d͡ʑ ɪ
bâcı	b ɔ̞ː d͡ʒ iː
bâcı	b ɒː d͡ʒ ʊ
bâcı	b ɑˑ d͡ʒ ʊ
bâcı	b ɒː d͡ʒ i̞
bâdâm	ɡ ɒː ɒ̯ d ɒː m
bâdâm	b ɒː d ɒː m
bâdâm	b ɒː d a m
bâl	b ɒː l
bâldız	b aˑ l d ʊ z
bâldız	b a l d ʊ z
bâldız	b ɑ l d ʊ z
bâldız	b aː l d ʊ z
bâldız	b ɑ l d ʊ z
bâldız	b a l d ʊ z
bâldız	b a l d uː z̥
bâldız	b a l d ʊ z̥
bâldız	b a l d ʊ z
bâldız	b a l d ʊ z
bâldız	b ɑˑ l d ʊ z
bâldız	b æ̞ l d ʊ z
bâldız	b ɑ l d ʊ z
bâldız	b aː l d ʊ z
bâldız	b a l d uː z̥
bâldız	b a l d ʊ z̥
bâldız	b a l d ʊ z
bâldız	b a l d uː z
bâldız	b aˑ l d u̞ z
bâldız	b a l d ʊ z ʊ m
bâldız	b ɑː l d ʊ z
bâldız	b aˑ l d ʊ z
bâldız	b a l d ʊ z æ ɾ i
bâldız	b ɑ l d ɪ̹ z
bâldız	b ɑ l d ɪ z
bâlıq	b ɒː l ʊ q
bâlıq	b ɒː l ɪ q
bâlıq	b aː l ʊ q
bâlıq	b aˑ l ʊ q
bâqa	b ɑː q a
bâvjân	b ɔ̞ː v d͡ʒ ɒː n
bâvjûn	b aː v d͡ʒ uː n
bâz	b ɒː z
bâzâr	b ɒː z ɒː ɾ
bâğ	b ɒː ʁ
bâğibân	b ɒː ʁ ɪ b ɒː n
bâğçə	b ɒː ʁ t͡ʃ æ
bêl	b eː e̯ l
bêl	b eː l
bêl	b ɛː l
bêl	b e̞ˑ l
bêl	b i̯ ɛ l
bêl	b eˑ l
bêl	b eː l ɪ m
bêl	b i̯ e̞ l
bêş	b eː e̯ ʃ
bêş	b eː ʃ
bêş	b eː e̯ ʃ
bêş	b i̯ e̞ˑ ʃ
bêşimi	b ɛː ʃ ĭ m ɪ
bêşminci	b i̯ e̞ː ʃ m ɪ n d͡ʒ ɪ
bî	b iː
bîbi	b iː b iː
bîbi	b iː v i̞̞
bîbi	b iː v ɪ
bîbi	b y b ɪ
bîbi	b iː b iː kʰ
bîel	b iː e̯ l
bîel	b i̞ː e̯ l
bîel	b i e̯ l
bîel	b ɪː e̯ l
bîel	b i̯ ɛ l
bîel	b i̞ː e̯ l ɪ m
bîeş	b iː e̯ ʃ
bîeş	b iː e̯ ʃ
bîeş	b iː e̯ ʃ
bîeş	b ɪː e̯ ʃ
bîeşimi	b iː e̯ ʃ m ɪ
bîeşimi	b iː e̯ ʃ ĭ m ɪ
bîeşimi	b iː e̯ ʃ ɪ̆ m ɪ
bîeşimi	b iː e̯ ʃ m ɪ
bîeşimi	b i e̯ ʃ m ɪ
bîsikün	b iː s ɪ̹ k ʏ n
bô	b oˑ
bô	b o
bô	b oː
bô	b ʊ̞ː
bô	b ʊ̞
bô	b ʊ
bô	b oˑ
bô	b ʊ̞ˑ
bô	b oː
bô	b oˑ
bô	b o
bô	b oː
bô	b ʊ̞
bôra	b oː ɾ a
bôra	b u̯ oː ɾ a
bôva	b ɔ w a
bôva	b ʊ̞ː u̯ ɜ
bôyın	b u̞ j u̞ n
bôyın	b u j ʊ n
bôyın	b uː n
bôyın	b u j i̞ n
bôyın	b o̞ j ɪ̆ n
bôyın	b uˑ j u n
bôyın	b uˑ j ɪ n
bôyın	b u̞ j ʊ n
bôyın	b ʊ n
bôyın	b u j ʏ n
bôyın	b uː n ʊ m
bôyın	b ʊ j u̞ n
bôyın	b uˑ j ʊ n
bôyın	b u j uˑ n
bôyın	b uː j ʊ n
bôyın	b ʊ̞ j ɪ̆ n
bôyın	b u j n
bôyın	b u i̯ iː n
bôyın	b u̞ j i̞ n
bôyın	b ʊ̞ j ɪ n
bôyın	b u uˑ n
bôyın	b ʊ j u n
bôyın	b ʊ̞ j ʊ n
bôyın	b uˑ j uˑ n
bôyın	b o̞ j u̞ n
bôyın	b u i̯ i n
bôyın	b ʊ̞ j ɪ̆ n
bôyın	b ʊ̞ j n
bôyın	b u j u̞ n
bôyın	b o j ʊ n
bôyın	b ʊ̞ j n ʊ m
bôyın	b o j u̞ n
bôyın	b u̞ j u̞ n
bôyın	b u̞ j u n
bôyın	b o j ɪ n
bôyın	b o j u̞ˑ n
bôyın	b u̞ i̯ i̞ n
bôyın	b o̞ j ʊ n
bôyunduruq	b o j n d ɪ̈ ɾ ʊ q
bôyunduruq	b ʊ n d ʊ ɾ ʊ q
bôş	b oː ʃ
bögün	b œ ɡ ʏ n
bögün	b œ j ʏ n
bögün	b ɛ j ɪ n
bögün	b ɛ j i n
bögün	b y j y̆ n
bögün	b œ̜ j ʏ n
bögün	b ɛ j ʏ n
böyil	b œ j ɪ l
böyil	b ɛ j ɪ l
böyil	b œ j ʏ l
böyil	b ɛ j i̞ l
böyil	b ɛ j ɪ l
böğərçük	b æ v æ ɾ t͡ʃ ʏ k
böğərçük	b æ v æ̞ ɾ t͡ʃ ɪ k
böğərçük	b æ ɡ æ ɾ t͡ʃ ɪ k
böğərçük	b æ j æ̞ ɾ t͡ʃ ɪ k
böğərçük	b œ æ ɾ t͡ʃ ʏ k
böğərçük	b æ j æ ɾ t͡ʃ ɪ k
böğərçük	b æː æ ɾ t͡ʃ ɪ k
böğərçük	b æ v æ ɾ t͡ʃ i k
böğərçük	b æ v æ ɾ t͡ʃ i̞ k
böğərçük	b æ v æ ɾ t͡ʃ ɪ k
böğərçük	b æ h æ ɾ t͡ʃ i k
böğərçük	b ø ɡ æ ɾ t͡ʃ y k
böğərçük	b œ̜ j æ̞ ɾ t͡ʃ ɪ k
bö̂lmək	b øː l m æ k
bö̂ri	b øː ɾ ɪ
bö̂ri	b eː ɾ ɪ
bö̂ri	b i̞ː ɾ ɪ
bö̂rk	b øː ɾ k
bö̂rk	b ʏ̞ː ɾ kʰ
bö̂rk	b ø̞ˑ ø̯ k
bö̂rk	b øː ø̯ k
bûn	b uː n
bûn	b ʊ n
bûn	b uː n ʊ m
bûn	b u̞ː u̯ n
bûn	b u u̯ n
bûn	b ʊː n
bûor	b uː o̯ ɾ
bûrmaq	b u u̯ ɾ m a q
bûta	p uˑ t a
bûut	b uː u̯ t
bûz	b uː u̯ z
bûz	b uː u̯ z
bûz	b uː z
büldür	b ʏ l d ʏ ɾ
bürgək	b ʏ ɾ ɡ æ k
bürgək	b ɪ ɾ ɡ æ k
bürgək	b iˑ ɾ j æ̞ k
bürgək	b ɪ ɾ j æ k
bürgək	b ɪ ɾ ɡ æ k
bürçək	b y ɾ t͡ʃ æ k
bürçək	b y ɾ t͡ʃ æ k
bürçək	b i ɾ t͡ʃ æ̞ k
bürçək	b i ɾ t͡ʃ æ̞ k
bü̂ölmək	b iː e̯ l m æ k
bü̂öri	b iː e̯ ɾ i̞
bü̂öri	b iː e̯ ɾ ɪ
bü̂öri	b iː e̯ ɾ ɪ̞
bəbr	b æ̞ b ɾ
bəbr	b æ b ɾ
bəbək	b æ b æ k
bəd	b æ d
bədə	b æ d æ
bədə	b æ̞ˑ d æ
bədə	b æ̞ː d æ
bədə	b æ̞ t ɪ
bədən	b æ d æ n
bəg	b æ̞ ɡ
bəg	b æ̞ ɡ̊
bəg	b æ ɡ
bəg	b æ j
bəg	b æ̞ i̯
bəg	b æː j
bək	b æ̞ k
bək	b æ k
bəlgülüg	b æ l ɡ y l ʏ ɡ
bəlki	b æ l k ɪ
bəlâ	b æ l ɒː
bənd	b æ n d
bənd	b æ n d i
bənd	b æ n d
bənəfş	b æ̞ n æ̞ f ʃ
bənəfş	b æ n æ f ʃ
bərâyı	b æ ɾ ɒː j ɪ
bərâyı	b æ ɾ ɑː j
bərâyı	b æ ɾ ɒː j ɪ̈
bərâyı	b æ ɾ ɒː j ɪ
bərâyı	b æ ɾ ɒː j
bərâyı	b æ ɾ ɒ j ɪ
bərâyı	b æ ɾ ɒ j
bərçük	b æː ɾ t͡ʃ ɪ k ʏ m
bərçük	p æ ɾ t͡ʃ ʏ k
bərçük	p æ ɾ t͡ʃ ʏ̜ k
bərçük	b ɛ ɾ t͡ʃ ʏ k
bərçük	b æː ɾ t͡ʃ ɪ k
bərçük	p æː ɾ t͡ʃ ɪ k
bərçük	b æ ɾ t͡ʃ ɪ k
bərə	b æ ɾ æ
bəxt	b æ χ t
bəyquş	b ɛ j ʁ ʊ ʃ
bəyât	b ɛ j ɒː t
bəyât	b æ j ɒ t
bəzək	b æ z æ k
bəzəmək	b æ z æ m æ k
bəzənmək	b æ z æ n m æ k
bəççə	b æ t͡ʃː æ
bəççə	b æ t͡ʃ æ
bəççə	b æ t͡ʃː æ
bəççə	b æ̞ t͡ʃː æ
cirik	d͡ʒ i ɾ i k
cirik	d͡ʒ i ɾ ɪ k
ciğər	d͡ʒ i ɡ æ ɾ
ciğər	d͡ʒ i j æ ɾ
ciğər	d͡ʒ i̞ ɡ æ ɾ
ciğər	d͡ʒ i æ ɾ ʏ m
ciğər	d͡ʒ ɪ ɡ æ ɾ
ciğər	d͡ʒ i ɡ æ̞ ɾ
cuvân	d͡ʒ ʊ v aː n
cârı	d͡ʒ ɔ̞ː ɾ iː
cârı	d͡ʒ ɔ̞ː ɾ i
cârı	d͡ʒ ɔ̞ː ɾ u
cârı	d͡ʒ ɔ̞ː ɾ ʊ
cârı	d͡ʒ aː ɾ iː
cârı	d͡ʒ ɔ̞ː ɾ ɑ
cûca	d͡ʒ uː d͡ʒ a
cûcə	d͡ʒ u d͡ʒ æ
cümə	d͡ʒ ʏ m æ
cəvâb	d͡ʒ æ v ɒː b
cəvân	d͡ʒ æ v ɒˑ n
cəyrân	d͡ʒ æ ɪ̯ ɾ ɒː n
cəyrân	d͡ʒ æ ɪ̯ l ɒː n
cəyrân	d͡ʒ æ j ɾ ɒː n
dadâş	d a d a ʃ
dadâş	d a d ɑˑ ʃ
dadâş	d a d ɒː ʃ
dadâş	d æ̞ d ɒː ʃ
dadâş	d ɑ d ɑˑ ʃ
damâğ	d ʊ m aː ʁ
damâğ	d ʊ m ɑː χ
damâğ	d æ m ɑː q
damâğ	d æ m ɔ̞ː qʰ
damâğ	d æ̞ m ɑː ʁ
damâğ	d æ m ɒː ʁ
damâğ	d æ m ɔ̞ː ʁ
dara	d a ɾ a
dara	d æ̞ ɾ a
dara	d æ ɾ a
dara	d a ɾ a
dasğâla	d a s ʁ ɒː l a
dasğâla	d æ s ʁ ɒː l a
diraxt	d ɪ ɾ a χ t
dirəxt	d ɪ ɾ æ χ t
dovr	d ɔ w ɾ
dovr	d o w ɾ
dovr	d ɔ w
dovra	d o w ɾ a
doşək	d o ʃ æ̞ k
durust	d ʊ ɾ ʊ s t
duvâr	d u v ɒˑ ɾ
duşman	d ʊ ʃ m a n
dâam	d ɒː ɒ̯ m
dâam	d ɑː ɑ̯ m
dâam	d aː a̯ m
dâmâd	d ɔ̞ː m ɔ̞ː d̥
dâmâd	d ʊ m ɔ̞ː d̥
dâmâd	d aː m aː d
dâyı	d ɔ̞ː j ɪ
dâyı	d ɔ̞ː j i
dâyı	d ɔ̞ː i̯ iː
dâyı	d ɒː i̯ ɪ
dâyı	d ɑː j ʊ m
dâyı	d ɒː iː
dâyı	d ɑː i̯ iː
dâyı	d ɔ̞ː j i̞
dâyı	d ɒː j ɪ̈
dâyı	d ɒː i
dâyı	d ɔˑ i
dâyı	d ɔˑ j i̞
dâyı	d ɑː j ɪ
dâyı	d ɔ̞ː ɪ
dâyı	d ɔ̞ː i
dâyı	d ɔ̞ː i̯ i̞
dâyı	d ɔ̞ː j iː
dâyı	d ɒː i̯ iː
dâğ	d ɒ ʁ
dâğ	d ɑ ʁ
dâğ	d ɒ ʁ
dâğ	d aː ʁ
dâğ	d aˑ ʁ
döşək	d ø ʃ æ̞ k
dö̂ş	d øː ø̯ ʃ
dûk	d uː k
dədə	d æ d æ
dədə	d æ̞ d æ
dədə	d æˑ d æ
dədə	d æ̞ d æ̞
dədə	d æ̞ˑ d æ
dədə	d æ d æ
dədə	d æ̞ː d ɜ
dədə	d aː d aː
dəndə	d æ n d æ
dəndə	d æ n d æ
dərvîş	d æ ɾ v iː ʃ
dərvîş	d æ ɾ v iː ʃ
dərə	d æ ɾ æ
dərə	d a ɾ æ
dərə	d æ ɾ æ
dəsğâlə	d æ̞ s ʁ ɒ l æ
dəsğâlə	d æ̞ s ʁ ɒ l æ
dəsğâlə	d æ̞ s ʁ ɒ l æ̹
dəşt	d æ̞ ʃ t
dəşt	d æ ʃ t
eşitmək	e ʃ ɪ t m æ k
eşitmək	ɪ ʃ ɪ t m æ k
eşitmək	e ʃ ɪ t m æ k
fındıq	f ɪ n d ɪ̈ q
fındıq	f ɪ n d ɪ̠ q
fokul	f ʊ̞ k ʊ l
fokul	f ɔ k ʊ l
fokul	f o̞ k ʊ l
fəndıq	f æ̞ n d ʊ q
fəndıq	f æ n d ʊ ʁ
fəqət	f æ ʁ æ t
fərik	f æ ɾ ɪ k
fərik	f æ̞ ɾ ɪ k
fərik	f æ̞ ɾ i k
fərik	f æ̞ ɾ i k
fərik	f æ ɾ ɪ k
gelîm	ɡ i l iˑ m
gelîm	ɡ ɪ l iː n
gelîm	ɡ e̞ l iː m
gelîm	ɡ ɛ l iː m
gul	ɡ ʊ l
gul	ɡ o̝ l
guosâla	ɡ u o̯ s aː l a
gâvâhin	ɡ ɒˑ v ɒ j i n
gâvəhin	ɡ ɒː v æ h ɪ n
gâvəhin	ɡ ɒː v æ j ɪ n
gövərçin	ɡ ɶ w æ̞ ɾ t͡ʃ i n
gövərçin	ɡ ɛ̹ v æ ɾ t͡ʃ i n
gövərçin	ɡ ɛ v æ ɾ t͡ʃ iː n
gövərçin	ɡ e̞ v æ ɾ t͡ʃ iˑ n
göçü	ɡ œ t͡ʃ y̞
gö̂l	ɡ iˑ l
gö̂l	ɡ øː ø̯ l
gö̂l	ɡ ʏ̞ː ʏ̞̯ l
gü̂öl	ɡ iː e̯ l
gəlin	ɡ æ l ɪ n
gəlin	ɡ æ l iː n
gəlîn	ɡ æ l iː n
gərd	ɡ æ ɾ d
gərmsîl	ɡ æ ɾ m æ s iː l
gərmsîl	ɡ æ ɾ m s iː l
gə̂gürmək	ɡ æː ɡ ʏ ɾ m æ k
hadaq	h a d aː χ
hadaq	h a d aˑ χ
hadaq	h a j a q
hadaq	h a d a q
hadaq	h a d a χ
hadaq	h a d ɑ q
hadaq	h a d ɑ χ
hadaq	h a d aˑ qʰ
hadaq	h a d ɑː q
hadaq	h a d a qʰ
hadaq	h a d a χ ʊ m
hadaq	h a d a q ʏ m
hadaq	h a d aː q
hadaq	h a d a qʰ
hadaq	h a d aˑ q
hadaq	h a d ɑ qʰ
hadaq	h ɒ d ɒ ɢ̥
hadaq	h a d ɑˑ qʰ
hadaq	h a d ɒ ɢ̥
hadaq	h a d ɒ q
hadaq	h a d aː qʰ
hadaq	h a d a q͡χ
