aa	ɑː
čeeli	t͡ʃ eː l i
čeeltä	t͡ʃ eː l tʲ æ
čeertä	t͡ʃ eː r tʲ æ
čehsi	t͡ʃ e h sʲ i
čehsimein	t͡ʃ e h sʲ i mʲ e i̯ n
čehspaikkõ	t͡ʃ e h s p ɑ i̯ kː ə̠
čelle	t͡ʃ e lː ə̟
čello	t͡ʃ e ɫː o
čen	t͡ʃ e n
čen	t͡ʃ e n
čenččiä	t͡ʃ e n t͡ʃː i æ̯
čenče	t͡ʃ e n t͡ʃ ə̟
čenče	t͡ʃ e n t͡ʃʲ
čenčisse	t͡ʃ e n t͡ʃ i sʲː ə̟
čenčisse	t͡ʃ e n t͡ʃ i sʲː
čenle	t͡ʃ e n l e
čenle	t͡ʃ e lː e
čenni	t͡ʃ e nʲː i
čennibutʹ	t͡ʃ e n nʲ i b u c
čerikko	t͡ʃ e rʲ i kː o
čerikko	t͡ʃ e rʲ i kː o
čerriä	t͡ʃ e rʲː i æ̯
čerttõ	t͡ʃ e r tː ə̠
čerä	t͡ʃ e rʲ æ
česnokkõ	t͡ʃ e s n o kː ə̠
česnokkõ	t͡ʃ e s n o kː ə̠
česä	t͡ʃ e sʲ æ
česä	t͡ʃ e sʲ æ
česänisu	t͡ʃ e sʲ æ nʲ i s u
čezze	t͡ʃ e zʲː e
čezze	t͡ʃ e zː e
čettä	t͡ʃ e tʲː æ
čeväd	t͡ʃ e vʲ æ d̥
čeväd	t͡ʃ e vʲ æ d̥
čihgotta	t͡ʃ i x ɡ o tː ɑ
čihhua	t͡ʃ i hː u ɑ̯
čihkua	t͡ʃ i x k u ɑ̯
čihlõ	t͡ʃ i h ɫ ə̠
čihlõ	t͡ʃ i h ɫ
čihutta	t͡ʃ i h u tː ɑ
čiin	t͡ʃ iː n
čiin	t͡ʃ iː n
čiini	t͡ʃ iː nʲ i
čiinittä	t͡ʃ iː nʲ i tʲː æ
čiire	t͡ʃ iː rʲ e
čiire	t͡ʃ iː rʲ e
čiire	t͡ʃ iː r e
čiisõllõ	t͡ʃ iː s ɤ ɫː ə̠
čiitoz	t͡ʃ iː t o z̥
čiittä	t͡ʃ iː tʲː æ
čimo	t͡ʃ i m o
čimolain	t͡ʃ i m o ɫ ɑ i̯ n
činnõz	t͡ʃ i nː ɤ̟ z̥
čippa	t͡ʃ i pː ɑ
čirjotta	t͡ʃ i r ʝ o tː ɑ
čirjutta	t͡ʃ i r ʝ u tː ɑ
čirjõ	t͡ʃ i r ʝ ə̠
čirjõvõ	t͡ʃ i r ʝ ɤ̟ v ə̠
čirotõ	t͡ʃ i r o t ə̠
čirppu	t͡ʃ i r pː u
čirroa	t͡ʃ i rː o ɑ̯
čirroa	t͡ʃ i rː o ɑ̯
čirvez	t͡ʃ i r vʲ e z̥
čiskoa	t͡ʃ i s k o ɑ̯
čitkõa	t͡ʃ i t k ɤ ɑ̯
čiuzõtõ	t͡ʃ i u̯ z ɤ̟ t ə̠
čiutto	t͡ʃ i u̯ tː o
čivi	t͡ʃ i vʲ i
čivikko	t͡ʃ i vʲ i kː o
čutʹ	t͡ʃ u c
čuuditta	t͡ʃ uː dʲ i tː ɑ
čäčüd	t͡ʃ æ t͡ʃ y d̥
čähsiä	t͡ʃ æ h sʲ i æ̯
čähsü	t͡ʃ æ h sʲ y
čälü	t͡ʃ æ l y
čämmel	t͡ʃ æ mː e̠ l
čämmelkakku	t͡ʃ æ mː e̠ l k ɑ kː u
čäpäle	t͡ʃ æ pʲ æ l ə̟
čäpü	t͡ʃ æ pʲ y
čärpen	t͡ʃ æ r p e̠ n
čärppe	t͡ʃ æ r pʲː ə̟
čäsi	t͡ʃ æ sʲ i
čäsi	t͡ʃ æ sʲ i
čäsivarsi	t͡ʃ æ sʲ i v ɑ r sʲ i
čäzne	t͡ʃ æ z nʲ ə̟
čääntä	t͡ʃ æː n tʲ æ
čääntüä	t͡ʃ æː n tʲ y æ̯
čääriä	t͡ʃ æː rʲ i æ̯
čäärüä	t͡ʃ æː rʲ y æ̯
čäüttä	t͡ʃ æ y̯ tʲː æ
čäüvve	t͡ʃ æ y̯ vʲː ə̟
čäüvve	t͡ʃ æ y̯ vʲː
čöhhiä	t͡ʃ ø hʲː i æ̯
čöhä	t͡ʃ ø hʲ æ
čöüsi	t͡ʃ ø y̯ sʲ i
čöüsi	t͡ʃ ø y̯ sʲ i
čüče	t͡ʃ y t͡ʃ e
čühseä	t͡ʃ y h sʲ e æ̯
čühzettä	t͡ʃ y h zʲ e tʲː æ
čülči	t͡ʃ y l t͡ʃ i
čülčiluu	t͡ʃ y l t͡ʃ i ɫ uː
čülme	t͡ʃ y l mʲ ə̟
čülme	t͡ʃ y l mʲ
čülmessä	t͡ʃ y l m e̠ sʲː æ
čülmettä	t͡ʃ y l mʲ e tʲː æ
čülmettüä	t͡ʃ y l mʲ e tʲː y æ̯
čülpesse	t͡ʃ y l pʲ e sʲː ə̟
čülvettä	t͡ʃ y l vʲ e tʲː æ
čülvä	t͡ʃ y l vʲ æ
čülvä	t͡ʃ y l vʲ æ
čülä	t͡ʃ y l æ
čülä	t͡ʃ y l æ
čüläläin	t͡ʃ y l æ l æ i̯ n
čümme	t͡ʃ y mʲː e
čümme	t͡ʃ y mː e
čünnerpää	t͡ʃ y nː e̠ r pʲ æː
čünnüz	t͡ʃ y nʲː y z̥
čünsi	t͡ʃ y n sʲ i
čüntteli	t͡ʃ y n tʲː e l i
čüntä	t͡ʃ y n tʲ æ
čüntä	t͡ʃ y n tʲ æ
čüssüä	t͡ʃ y sʲː y æ̯
čüssüä	t͡ʃ y sʲː y æ̯
čütü	t͡ʃ y tʲ y
čüünel	t͡ʃ yː nʲ e l
čüünere	t͡ʃ yː n e̠ rʲ ə̟
čüüsi	t͡ʃ yː sʲ i
da	d ɑ
da	d ə̠
damkkõ	d ɑ m kː ə̠
dekabri	dʲ e k ɑ b rʲ i
dʹekabri	ɟ e k ɑ b rʲ i
dengõd	dʲ e ŋ ɡ ɤ̟ d̥
dobra	d o b r ɑ
dobra	d o b r ɑ
dohtõri	d o h t ɤ̟ rʲ i
dohtõri	d o x t ɤ̟ rʲ i
dolottõ	d o ɫ o tː ə̠
doro	d o r o
dovariššõ	d o v ɑ rʲ i ʃː ə̠
dovariššõ	d o v ɑ rʲ i ʃː ə̠
duumõtõ	d uː m ɤ̟ t ə̠
duumõtõ	d uː m ɤ̟ t
dääde	dʲ æː dʲ ə̟
eb	e b̥
eb	e b̥
eess	eː sː ə̟
eess	eː sː
eestä	eː s tʲ æ
eestä	eː s tʲ æ
eez	eː z̥
eezepi	eː zʲ e pʲ i
egle	e ɡ l e
egle	e ɡ l e
eglin	e ɡ l i n
eglin	e ɡ l i n
ehči	e h t͡ʃ i
ehe	e hʲ e
ehittä	e hʲ i tʲː æ
ehtiä	e h tʲ i æ̯
ei	e i̯
eine	e i̯ nʲ ə̟
eine	e i̯ nʲ
einemaa	e i̯ nʲ ə̟ m ɑː
eittisse	e i̯ tʲː i sʲː ə̟
elisse	e l i sʲː ə̟
elliä	e lː i æ̯
ellä	e lː æ
ellä	e lː æ
elmi	e l mʲ i
elo	e ɫ o
elo	e ɫ o
elokõz	e ɫ o k ɤ̟ z̥
eloz	e ɫ o z̥
eloz	e ɫ o z̥
eläin	e l æ i̯ n
eläje	e l æ ʝ ə̟
eläme	e l æ mʲ ə̟
eläve	e l æ vʲ ə̟
elää	e lː æ
emikko	e mʲ i kː o
emintimä	e mʲ i n tʲ i mʲ æ
emitelle	e mʲ i tʲ e lː ə̟
emä	e mʲ æ
emälammõz	e mʲ æ ɫ ɑ mː ɤ̟ z̥
emänte	e mʲ æ n tʲ ə̟
enči	e n t͡ʃ i
enči	e n t͡ʃ i
enčisse	e n t͡ʃ i sʲː ə̟
enčisse	e n t͡ʃ i sʲː
enipäive	e nʲ i pʲ æ i̯ vʲ ə̟
enne	e nʲː e
enne	e nʲː e
enne	e nʲː ə̟
enne	e nː e
enne	e nː
ennedegle	e nʲː e dʲ e ɡ l e
ennegle	e nʲː e ɡ l e
ennepi	e nʲː e pʲ i
ennä	e nʲː æ
ennä	e nʲː æ
entin	e n tʲ i n
enäpi	e nʲ æ pʲ i
eri	e rʲ i
erne	e r nʲ e
erne	e r n e
ero	e r o
erotta	e r o tː ɑ
esijalkõ	e sʲ i ʝ ɑ ɫ k ə̠
esijalkõ	e sʲ i ʝ ɑ ɫ k
esimein	e sʲ i mʲ e i̯ n
esimespäive	e sʲ i mʲ e s pʲ æ i̯ vʲ ə̟
esimespäive	e sʲ i mʲ e s pʲ æ i̯ vʲ ə̟
etele	e tʲ e l ə̟
etenesse	e tʲ e nʲ e sʲː ə̟
etez	e tʲ e z̥
etez	e t e z̥
eteztakaz	e tʲ e s t ɑ k ɑ z̥
eteztakaz	e t e s t ɑ k ɑ z̥
ette	e tʲː e
ette	e tʲː ə̟
etti	e tʲː i
ettsiä	e t͡sː i æ̯
eväz	e vʲ æ z̥
familija	f ɑ mʲ i l i ʝ ɑ
fevrali	fʲ e v r ɑ l i
filmõ	fʲ i ɫ m ə̠
flakku	f ɫ ɑ kː u
floottõ	f ɫ oː tː ə̠
formõ	f o r m ə̠
frovvõ	f r o vː ə̠
fökle	fʲ ø k l ə̟
fökle	fʲ ø k lʲ
gaadõ	ɡ ɑː d ə̠
gaikõ	ɡ ɑ i̯ k ə̠
galstukki	ɡ ɑ ɫ s t u kʲː i
garmoni	ɡ ɑ r m o nʲ i
gazetti	ɡ ɑ zʲ e tʲː i
gazetti	ɡ ɑ zʲ e tʲː i
gili	ɡʲ i l i
gimnazi	ɡʲ i m n ɑ zʲ i
gitari	ɡʲ i t ɑ rʲ i
glaizõ	ɡ ɫ ɑ i̯ z ə̠
gluhhoi	ɡ ɫ u hː o i̯
gluhhoi	ɡ ɫ u h o i̯
goorʹõ	ɡ oː rʲ ə̠
graadussi	ɡ r ɑː d u sʲː i
grammõ	ɡ r ɑ mː ə̠
greebeni	ɡ rʲ eː b e nʲ i
griba	ɡ rʲ i b ɑ
grizziä	ɡ rʲ i zʲː i æ̯
grooznõtõ	ɡ r oː z n ɤ̟ t ə̠
gruušõ	ɡ r uː ʃ ə̠
grõžõvnikkõ	ɡ r ɤ ʒ ɤ v nʲ i kː ə̠
gulʹaitta	ɡ u ʎ ɑ i̯ tː ɑ
gulʹaitta	ɡ u ʎ ɑ i̯ tː ɑ
gulʹu	ɡ u ʎ u
haakki	h ɑː kʲː i
haili	h ɑ i̯ l i
haisoa	h ɑ i̯ s o ɑ̯
haisu	h ɑ i̯ s u
haitta	h ɑ i̯ tː ɑ
hakatõ	h ɑ k ɑ t ə̠
hako	h ɑ k o
hakulid	h ɑ k u l i d̥
halatti	h ɑ ɫ ɑ tʲː i
halatti	x ɑ ɫ ɑ tʲː i
halatti	h ɑ ɫ ɑ tʲː i
halatti	x ɑ ɫ ɑ tʲː i
halissõ	h ɑ l i sː ə̠
haltiaz	h ɑ ɫ tʲ i ɑ̯ z̥
hanki	h ɑ ŋ kʲ i
hankkia	h ɑ ŋ kʲː i ɑ̯
happo	h ɑ pː o
harakkõ	h ɑ r ɑ kː ə̠
harkkamuz	h ɑ r kː ɑ m u z̥
harkõtõ	h ɑ r k ɤ̟ t ə̠
harma	h ɑ r m ɑ
harʹokkõ	h ɑ rʲ o kː ə̠
harotta	h ɑ r o tː ɑ
hattu	h ɑ tː u
haukkua	h ɑ u̯ kː u ɑ̯
haukkua	h ɑ u̯ kː u ɑ̯
haukkõ	h ɑ u̯ kː ə̠
haukõtõ	h ɑ u̯ k ɤ̟ t ə̠
havattsua	h ɑ v ɑ t͡sː u ɑ̯
heeno	hʲ eː n o
heittä	hʲ e i̯ tʲː æ
heitüttä	hʲ e i̯ tʲ y tʲː æ
heitüttä	h e i̯ tʲ y tʲː æ
helle	hʲ e lː ə̟
herkkõ	hʲ e r kː ə̠
herrõ	hʲ e rː ə̠
herttõ	hʲ e r tː ə̠
hetkisse	hʲ e t kʲ i sʲː ə̟
higõssua	hʲ i ɡ ɤ sː u ɑ̯
hiki	hʲ i kʲ i
hikiaukko	hʲ i kʲ i ɑ u̯ kː o
hiugõtõ	hʲ i u̯ ɡ ɤ̟ t ə̠
hiutta	hʲ i u̯ tː ɑ
hlaamu	h ɫ ɑː m u
hlaamu	x ɫ ɑː m u
hoikkõ	h o i̯ kː ə̠
hoksõtõ	h o k s ɤ̟ t ə̠
honkõ	h o ŋ k ə̠
hoogõtõ	h oː ɡ ɤ̟ t ə̠
hooku	h oː k u
hooli	h oː l i
hoolia	h oː l i ɑ̯
hoolõto	h oː ɫ ɤ t o
hoono	h oː n o
hoonopooli	h oː n o p oː l i
hoonosää	h oː n o sʲ æː
hoovõtõ	h oː v ɤ̟ t ə̠
hotʹ	h o c
hotʹ	x o c
huimõ	h u i̯ m ə̠
hukatõ	h u k ɑ t ə̠
hukkaussõ	h u kː ɑ u̯ sː ə̠
hulkkua	h u ɫ kː u ɑ̯
hullu	h u ɫː u
hullu	x u ɫː u
hullu	h u ɫː u
hullu	x u ɫː u
hullukoto	h u ɫː u k o t o
hõõzmõtõ	h ɤː z m ɤ̟ t ə̠
häkä	hʲ æ kʲ æ
hämmentä	hʲ æ mʲː e n tʲ æ
hämäre	hʲ æ mʲ æ rʲ ə̟
hämöläin	hʲ æ mʲ ø l æ i̯ n
härme	hʲ æ r mʲ ə̟
hätä	hʲ æ tʲ æ
häülüttä	hʲ æ y̯ l y tʲː æ
häülüä	hʲ æ y̯ l y æ̯
häülüä	hʲ æ y̯ l y æ̯
höröläin	hʲ ø rʲ ø l æ i̯ n
höüttüä	hʲ ø y̯ tʲː y æ̯
höütüttä	hʲ ø y̯ tʲ y tʲː æ
hülgete	hʲ y l ɡ e̠ tʲ ə̟
hüppiä	hʲ y pʲː i æ̯
hüpäte	hʲ y pʲ æ tʲ ə̟
hüpäte	hʲ y pʲ æ tʲ
hüü	hʲ yː
hüü	hʲ yː
hüüpiäz	hʲ yː pʲ i æ̯ z̥
hüütüä	hʲ yː tʲ y æ̯
ičee	i t͡ʃː ɪ̆ e
ičemed	i t͡ʃ e mʲ e d̥
ičin	i t͡ʃ i n
ičä	i t͡ʃ æ
Ičäpäivä	i t͡ʃ æ pʲ æ i̯ vʲ
ičäve	i t͡ʃ æ vʲ ə̟
iha	i h ɑ
iha	i h ɑ
ihalõ	i h ɑ ɫ ə̠
ihan	i h ɑ n
ihan	i h ɑ n
ihassua	i h ɑ sː u ɑ̯
iho	i h o
iili	iː l i
iiri	iː rʲ i
iivõ	iː v ə̠
ikolookkõ	i k o ɫ oː kː ə̠
ikossa	i k o sː ɑ
ilatõ	i ɫ ɑ t ə̠
ilatõ	i ɫ ɑ t
ilʹi	i ʎ i
ilka	i ɫ k ɑ
ilʹlʹa	i ʎː ɑ
illekoitta	i lː e k o i̯ tː ɑ
ilma	i ɫ m ɑ
ilmaussõ	i ɫ m ɑ u̯ sː ə̠
ilmotta	i ɫ m o tː ɑ
ilmõ	i ɫ m ə̠
ilmõ	i ɫ m
ilmõhtua	i ɫ m ɤ̟ h t u ɑ̯
ilo	i ɫ o
ilozuz	i ɫ o z u z̥
ilozõ	i ɫ o z ə̠
ilvez	i l vʲ e z̥
ime	i m e
imettä	i mʲ e tʲː æ
imettüä	i mʲ e tʲː y æ̯
imeä	i m e æ̯
imi	i mʲ i
immiä	i mʲː i æ̯
imo	i m o
inemin	i nʲ e mʲ i n
inimin	i nʲ i mʲ i n
inimin	i nʲ i mʲ i n
inkerilain	i ŋ kʲ e rʲ i ɫ ɑ i̯ n
Inkerimaa	i ŋ kʲ e rʲ i m ɑː
inotta	i n o tː ɑ
intõ	i n t ə̠
irnua	i r n u ɑ̯
irsi	i r sʲ i
irsi	i r sʲ i
irvi	i r vʲ i
irvieine	i r vʲ i e i̯ nʲ ə̟
iso	i s o
issossõ	i sː o sː ə̠
issua	i sː u ɑ̯
issua	i sː u ɑ̯
issussõ	i sː u sː ə̠
issussõ	i sː u sː
isutta	i s u tː ɑ
isutta	i s u tː ɑ
isä	i sʲ æ
isä	i sʲ æ
ize	i zʲ e
ize	i ʑ e
ize	i z e
izintimä	i zʲ i n tʲ i mʲ æ
izʹumõ	i ʑ u m ə̠
ižori	i ʒ o rʲ i
ižori	i ʒ o rʲ i
ižorilain	i ʒ o rʲ i ɫ ɑ i̯ n
itikkõ	i tʲ i kː ə̠
itku	i t k u
itkõa	i t k ɤ ɑ̯
itä	i tʲ æ
itäpõhjõ	i tʲ æ p ɤ h ʝ ə̠
itätuuli	i tʲ æ t uː l i
ivuz	i v u z̥
iäte	i æ̯ tʲ ə̟
ja	ʝ ɑ
ja	ʝ ɑ
jaadu	ʝ ɑː d u
Jaama	ʝ ɑː m ə̠
jaani	ʝ ɑː nʲ i
jaanikukkõ	ʝ ɑː nʲ i k u kː ə̠
jaati	ʝ ɑː tʲ i
jahtua	ʝ ɑ h t u ɑ̯
jakka	ʝ ɑ kː ɑ
jako	ʝ ɑ k o
jalajõ	ʝ ɑ ɫ ɑ ʝ ə̠
jalajõ	ʝ ɑ ɫ ɑ ʝ ə̠̆
jalgõz	ʝ ɑ ɫ ɡ ɤ̟ z̥
jalkõ	ʝ ɑ ɫ k ə̠
jalkõ	ʝ ɑ ɫ k
jalkõlapa	ʝ ɑ ɫ k ə̠ ɫ ɑ p ɑ
jalkõzi	ʝ ɑ ɫ k ɤ̟ zʲ i
jalkõzi	ʝ ɑ ɫ k ɤ̟ zʲ i
jano	ʝ ɑ n o
janokõz	ʝ ɑ n o k ɤ̟ z̥
janotta	ʝ ɑ n o tː ɑ
janvari	ʝ ɑ n v ɑ rʲ i
jarvi	ʝ ɑ r v i
jaššikkõ	ʝ ɑ ʃː i kː ə̠
jatka	ʝ ɑ t k ɑ
jatko	ʝ ɑ t k o
javo	ʝ ɑ v o
javva	ʝ ɑ vː ɑ
jevikõz	ʝ e vʲ i k ɤ̟ z̥
jevikõz	ʝ e vʲ i k ɤ̟ z̥
jo	ʝ o
jo	ʝ o
johsu	ʝ o h s u
johtua	ʝ o h t u ɑ̯
jolttari	ʝ o ɫ t t ɑ rʲ i
joomukõz	ʝ oː m u k ɤ̟ z̥
joomõ	ʝ oː m ə̠
joonitõllõ	ʝ oː nʲ i t ɤ ɫː ə̠
joopua	ʝ oː p u ɑ̯
joopua	ʝ oː p u ɑ̯
joossõ	ʝ oː sː ə̠
joossõ	ʝ oː sː
joožikkõ	ʝ oː ʒ i kː ə̠
joršši	ʝ o r ʃː i
jotti	ʝ o tʲː i
jotti	ʝ o tʲː i
juli	ʝ u l i
julka	ʝ u ɫ k ɑ
julkia	ʝ u ɫ kʲ i ɑ̯
jumalõ	ʝ u m ɑ ɫ ə̠
jumalõlintu	ʝ u m ɑ ɫ ə̠ l i n t u
juni	ʝ u nʲ i
jupkõ	ʝ u p k ə̠
jurmõ	ʝ u r m ə̠
juttu	ʝ u tː u
juttu	ʝ u tː u
jutõllõ	ʝ u t ɤ ɫː ə̠
jutõllõ	ʝ u t ɤ ɫː
juučči	ʝ uː t͡ʃː i
juuli	ʝ uː l i
juumin	ʝ uː mʲ i n
juumõri	ʝ uː m ɤ̟ rʲ i
juuni	ʝ uː nʲ i
juuri	ʝ uː rʲ i
juutta	ʝ uː tː ɑ
juuvvõ	ʝ uː vː ə̠
juuvvõ	ʝ uː vː
jõči	ʝ ɤ t͡ʃ i
Jõgõperä	ʝ ɤ ɡ ɤ pʲ e rʲ æ
jõka	ʝ ɤ k ɑ
jõka	ʝ ɤ k ɑ
jõki	ʝ ɤ kʲ i
jõulu	ʝ ɤ u̯ ɫ u
jõutu	ʝ ɤ u̯ t u
jõutua	ʝ ɤ u̯ t u ɑ̯
jõvi	ʝ ɤ vʲ i
jõvikõz	ʝ ɤ vʲ i k ɤ̟ z̥
jälči	ʝ æ l t͡ʃ i
jämmiä	ʝ æ mʲː i æ̯
jänez	ʝ æ nʲ e z̥
jänez	ʝ æ n e z̥
järčü	ʝ æ r t͡ʃ y
järestä	ʝ æ rʲ e s tʲ æ
järestä	ʝ æ r e s tʲ æ
järisse	ʝ æ rʲ i sʲː ə̟
järriä	ʝ æ rʲː i æ̯
järriä	ʝ æ r i æ̯
järvi	ʝ æ r vʲ i
järvi	ʝ æ r vʲ i
jäsen	ʝ æ sʲ e n
jätaži	ʝ æ t ɑ ʒ i
jättä	ʝ æ tʲː æ
jää	ʝ æː
jää	ʝ æː
jääaukko	ʝ æː ɑ u̯ kː o
jäättüä	ʝ æː tʲː y æ̯
jäättüä	ʝ æː tʲː y æ̯
jäätüttä	ʝ æː tʲ y tʲː æ
