а̄бпь	aː bʲ pʲ
ныммьп	n ɨ mʲː pʲ
ныммьпоаррк	n ɨ mʲː pʲ ɒ rː k
нюххч	ɲ u xː t͡s
ня̄лльм	ɲ aː lʲː m
ня̄льянт	ɲ aː ʎː a n t
нёа̄лл	ɲ ɒː lː
нӣййт	n iː jː t
нӯҏҏьт	n uː r̥ʲː tʲ
о̄дтыгкьма̄нн	oː d t ɨ ɡʲ kʲ m aː nː
оа̄б	ɒː b
оа̄бпан	ɒː b p a n
оа̄ррьтэ	ɒː rʲː t ɛ
оаннӭ	ɒ nʲː ɛ
па̄ннҍ	p aː nʲː
па̄ҋк	p aː j̥ k
па̄ҋҋк	p aː j̥ː k
пе̄ййв	p i̯ e jː v
пе̄лльй	p i̯ e ʎː
пе̄ренҍ	p i̯ e rʲ e nʲ
пе̄цехь	p i̯ e t͡sʲ e xʲ
по̄ра	p oː r a
по̄ррк	p oː rː k
поа̄дан	p ɒː d a n
порьяс	p o rʲ j a s
пуадтмушш	p u̯ a d t m u ʃː
пуай	p u̯ a j
пуӆӆьк	p u l̥ː k
пӣӈкхэшкуэдтӭ	p iː ŋ x ɛ ʃ k u̯ ɛ d tʲ ɛ
пӯджьпоа̄плэннч	p uː d͡ʒʲ p ɒː p l ɛ nː t͡ʃʲ
пӯдзэ	p uː d z ɛ
пӯйе	p uː jː e
ра̄дт	r aː d t
рукэмоййнэһкь	r u k m o jː n ɛ hʲ kʲ
рыннт	r ɨ nː t
рысст	r ɨ sː t
рыһп	r ɨ h p
рыһпва̄лль	r ɨ h p v aː lʲː
рыһпмушш	r ɨ h p m u ʃː
рыһпмӯррьй	r ɨ h p m uː rʲː j
рӣммьн	r iː mʲː nʲ
рӣссэм	r iː sː ɛ m
са̄ййм	s aː jː m
са̄ннҍ	s aː nʲː
се̄ййп	s i̯ e jː p
соа̄рнънэ	s ɒː r n n ɛ
сэ̄кксэм	s ɛː kː s ɛ m
сэфс	s ɛ f s
ся̄м	s e̯ a m
сӣййнэ	s iː j n ɛ
та̄лльв	t aː lʲː v
тылльй	t ɨ ʎː
тӣрьмесью̄ккс	t iː r mʲ e sʲʲ uː kː s
тӯйй	t uː jː
удця	u d t͡sʲ a
уҏҏт	u r̥ː t
фло̄һт	f l oː h t
це̄ӆӆькэ	t͡s i̯ e l̥ʲː k ɛ
цыӈӈьк	t͡s ɨ ŋʲː kʲ
ча̄вврас	t͡ʃʲ aː vː r a s
чальмря̄ммчлэмпайй	t͡ʃʲ a lʲ m r e̯ a mː t͡ʃʲ l ɛ m p a jː
чаццькэ	t͡ʃʲ a t͡sʲː k ɛ
че̄вьресь	t͡ʃʲ i̯ e vʲ rʲ e sʲ
че̄д	t͡ʃʲ ɛː d
чуэнь	t͡ʃʲ u̯ ɛ ɲ
чӯвв	t͡ʃʲ uː vː
чӯзэм	t͡ʃʲ uː z ɛ m
чӯһпэ	t͡ʃʲ uː h p ɛ
ша̄бп	ʃ aː b p
шо̄йвым	ʃ oː j v ɨ m
шоабшэ	ʃ ɒ b ʃ ɛ
шуэннь	ʃ u̯ ɛ ɲː
шэ̄ннтэ	ʃ ɛː nː t ɛ
эйй	ɛ jː
эллей	ɛ lː e j
я̄ввьр	j e̯ a vʲː rʲ
я̄лак	j a l a k
я̄лах	j a l a x
ёарксэй	j ɒ r k s ɛ j
ёарркэй	j ɒ rː k ɛ j
ёгк	j o ɡ k
ёӈхаһтӭ	j o ŋ x a h tʲ ɛ
ёӈӈ	j o ŋː
ёӈӈлаһтӭ	j o ŋ l a h tʲ ɛ
ёӈӈлуввэ	j o ŋː l u vː ɛ
ёӈӈшэ	j o ŋː ʃ ɛ
Ҋ	j̊
ҋ	j̊
ҍ	ʲ
Ҏ	r̥
ҏ	r̥
ӆ	l̥
ӈ	ŋ
ӊ	n̥
ӎ	m̥
ӓ	ʲa
ӣӈӈ	iː ŋː
ӣӈӈёадтмушш	j iː ŋː j ɒ d t m u ʃː
Ӭ	ʲe
ӭ	ʲe
