a.K.	a k o
abdikate	a b d i k a t e
abdikato	a b d i k a t o
abdikatoj	a b d i k a t o i̯
abdikatojn	a b d i k a t o i̯ n
abdikaton	a b d i k a t o n
abdiki	a b d i k i
abdikinta	a b d i k i n t a
abdikintaj	a b d i k i n t a i̯
abdikintajn	a b d i k i n t a i̯ n
abdikintan	a b d i k i n t a n
abdikinte	a b d i k i n t e
abdikinto	a b d i k i n t o
abdikintoj	a b d i k i n t o i̯
abdikintojn	a b d i k i n t o i̯ n
abdikinton	a b d i k i n t o n
abdikis	a b d i k i s
abdikita	a b d i k i t a
abdikitaj	a b d i k i t a i̯
abdikitajn	a b d i k i t a i̯ n
abdikitan	a b d i k i t a n
abdikite	a b d i k i t e
abdikito	a b d i k i t o
abdiko	a b d i k o
abdikoj	a b d i k o i̯
abdikojn	a b d i k o i̯ n
abdikon	a b d i k o n
abdikonta	a b d i k o n t a
abdikontaj	a b d i k o n t a i̯
abdikontajn	a b d i k o n t a i̯ n
abdikontan	a b d i k o n t a n
abdikonte	a b d i k o n t e
abdikos	a b d i k o s
abdikota	a b d i k o t a
abdikotaj	a b d i k o t a i̯
abdikotajn	a b d i k o t a i̯ n
abdikotan	a b d i k o t a n
abdikote	a b d i k o t e
abdiku	a b d i k u
abdikus	a b d i k u s
abdomena	a b d o m e n a
abdomenaj	a b d o m e n a i̯
abdomenajn	a b d o m e n a i̯ n
abdomenan	a b d o m e n a n
abdomeno	a b d o m e n o
abdomenoj	a b d o m e n o i̯
abdomenojn	a b d o m e n o i̯ n
abdomenon	a b d o m e n o n
abduktoro	a b d u k t o r o
abduktoroj	a b d u k t o r o i̯
abduktorojn	a b d u k t o r o i̯ n
abduktoron	a b d u k t o r o n
abela	a b e l a
abelaj	a b e l a i̯
abelajn	a b e l a i̯ n
abelan	a b e l a n
abelaro	a b e l a r o
abelaroj	a b e l a r o i̯
abelarojn	a b e l a r o i̯ n
abelaron	a b e l a r o n
abelejo	a b e l e j o
abelejoj	a b e l e j o i̯
abelejojn	a b e l e j o i̯ n
abelejon	a b e l e j o n
abeleto	a b e l e t o
abeletoj	a b e l e t o i̯
abeletojn	a b e l e t o i̯ n
abeleton	a b e l e t o n
abelisto	a b e l i s t o
abelistoj	a b e l i s t o i̯
abelistojn	a b e l i s t o i̯ n
abeliston	a b e l i s t o n
abelkesto	a b e l k e s t o
abelkestoj	a b e l k e s t o i̯
abelkestojn	a b e l k e s t o i̯ n
abelkeston	a b e l k e s t o n
abelmanĝulo	a b e l m a n d͡ʒ u l o
abelmanĝuloj	a b e l m a n d͡ʒ u l o i̯
abelmanĝulojn	a b e l m a n d͡ʒ u l o i̯ n
abelmanĝulon	a b e l m a n d͡ʒ u l o n
abelo	a b e l o
abeloj	a b e l o i̯
abelojn	a b e l o i̯ n
abelon	a b e l o n
abelreĝino	a b e l r e d͡ʒ i n o
abelreĝinoj	a b e l r e d͡ʒ i n o i̯
abelreĝinojn	a b e l r e d͡ʒ i n o i̯ n
abelreĝinon	a b e l r e d͡ʒ i n o n
abelsvarmo	a b e l s v a r m o
abelsvarmoj	a b e l s v a r m o i̯
abelsvarmojn	a b e l s v a r m o i̯ n
abelsvarmon	a b e l s v a r m o n
abelujo	a b e l u j o
abelujoj	a b e l u j o i̯
abelujojn	a b e l u j o i̯ n
abelujon	a b e l u j o n
abelvakso	a b e l v a k s o
abelvaksoj	a b e l v a k s o i̯
abelvaksojn	a b e l v a k s o i̯ n
abelvakson	a b e l v a k s o n
aberacianta	a b e r a t͡s i a n t a
aberaciantaj	a b e r a t͡s i a n t a i̯
aberaciantajn	a b e r a t͡s i a n t a i̯ n
aberaciantan	a b e r a t͡s i a n t a n
aberaciante	a b e r a t͡s i a n t e
aberacias	a b e r a t͡s i a s
aberacii	a b e r a t͡s i i
aberaciinta	a b e r a t͡s i i n t a
aberaciintaj	a b e r a t͡s i i n t a i̯
aberaciintajn	a b e r a t͡s i i n t a i̯ n
aberaciintan	a b e r a t͡s i i n t a n
aberaciinte	a b e r a t͡s i i n t e
aberaciis	a b e r a t͡s i i s
aberacio	a b e r a t͡s i o
aberacioj	a b e r a t͡s i o i̯
aberaciojn	a b e r a t͡s i o i̯ n
aberacion	a b e r a t͡s i o n
aberacionta	a b e r a t͡s i o n t a
aberaciontaj	a b e r a t͡s i o n t a i̯
aberaciontajn	a b e r a t͡s i o n t a i̯ n
aberaciontan	a b e r a t͡s i o n t a n
aberacionte	a b e r a t͡s i o n t e
aberacios	a b e r a t͡s i o s
aberaciu	a b e r a t͡s i u
aberacius	a b e r a t͡s i u s
abhxazino	a b h x a z i n o
abĥaza	a b x a z a
abĥazaj	a b x a z a i̯
abĥazajn	a b x a z a i̯ n
abĥazan	a b x a z a n
abĥaze	a b x a z e
abĥazino	a b x a z i n o
abĥazinoj	a b x a z i n o i̯
abĥazinojn	a b x a z i n o i̯ n
abĥazinon	a b x a z i n o n
Abĥazio	a b x a z i o
Abĥazion	a b x a z i o n
abĥazo	a b x a z o
abĥazoj	a b x a z o i̯
abĥazojn	a b x a z o i̯ n
abĥazon	a b x a z o n
Abĥazujo	a b x a z u j o
Abĥazujon	a b x a z u j o n
abia	a b i a
abiaj	a b i a i̯
abiajn	a b i a i̯ n
abian	a b i a n
abiaro	a b i a r o
abiaroj	a b i a r o i̯
abiarojn	a b i a r o i̯ n
abiaron	a b i a r o n
abio	a b i o
abiogenezo	a b i o ɡ e n e z o
abiogenezon	a b i o ɡ e n e z o n
abioj	a b i o i̯
abiojn	a b i o i̯ n
abion	a b i o n
abiseno	a b i s e n o
abisenoj	a b i s e n o i̯
abisenojn	a b i s e n o i̯ n
abisenon	a b i s e n o n
abismo	a b i s m o
abismoj	a b i s m o i̯
abismojn	a b i s m o i̯ n
abismon	a b i s m o n
abituriento	a b i t u r i e n t o
abiturientoj	a b i t u r i e n t o i̯
abiturientojn	a b i t u r i e n t o i̯ n
abiturienton	a b i t u r i e n t o n
abĵuranta	a b ʒ u r a n t a
abĵurante	a b ʒ u r a n t e
abĵuras	a b ʒ u r a s
abĵurata	a b ʒ u r a t a
abĵurate	a b ʒ u r a t e
abĵuri	a b ʒ u r i
abĵurinta	a b ʒ u r i n t a
abĵurinte	a b ʒ u r i n t e
abĵuris	a b ʒ u r i s
abĵurita	a b ʒ u r i t a
abĵurite	a b ʒ u r i t e
abĵuronta	a b ʒ u r o n t a
abĵuronte	a b ʒ u r o n t e
abĵuros	a b ʒ u r o s
abĵurota	a b ʒ u r o t a
abĵurote	a b ʒ u r o t e
abĵuru	a b ʒ u r u
abĵurus	a b ʒ u r u s
ablativa	a b l a t i v a
ablativo	a b l a t i v o
ablativoj	a b l a t i v o i̯
ablativojn	a b l a t i v o i̯ n
ablativon	a b l a t i v o n
abnegacia	a b n e ɡ a t͡s i a
abnegaciaj	a b n e ɡ a t͡s i a i̯
abnegaciajn	a b n e ɡ a t͡s i a i̯ n
abnegacian	a b n e ɡ a t͡s i a n
abnegacianta	a b n e ɡ a t͡s i a n t a
abnegaciante	a b n e ɡ a t͡s i a n t e
abnegacias	a b n e ɡ a t͡s i a s
abnegaciata	a b n e ɡ a t͡s i a t a
abnegaciataj	a b n e ɡ a t͡s i a t a i̯
abnegaciatajn	a b n e ɡ a t͡s i a t a i̯ n
abnegaciatan	a b n e ɡ a t͡s i a t a n
abnegaciate	a b n e ɡ a t͡s i a t e
abnegacii	a b n e ɡ a t͡s i i
abnegaciinta	a b n e ɡ a t͡s i i n t a
abnegaciinte	a b n e ɡ a t͡s i i n t e
abnegaciis	a b n e ɡ a t͡s i i s
abnegaciita	a b n e ɡ a t͡s i i t a
abnegaciitaj	a b n e ɡ a t͡s i i t a i̯
abnegaciitajn	a b n e ɡ a t͡s i i t a i̯ n
abnegaciitan	a b n e ɡ a t͡s i i t a n
abnegaciite	a b n e ɡ a t͡s i i t e
abnegacio	a b n e ɡ a t͡s i o
abnegacioj	a b n e ɡ a t͡s i o i̯
abnegaciojn	a b n e ɡ a t͡s i o i̯ n
abnegacion	a b n e ɡ a t͡s i o n
abnegacionta	a b n e ɡ a t͡s i o n t a
abnegacionte	a b n e ɡ a t͡s i o n t e
abnegacios	a b n e ɡ a t͡s i o s
abnegaciota	a b n e ɡ a t͡s i o t a
abnegaciote	a b n e ɡ a t͡s i o t e
abnegaciu	a b n e ɡ a t͡s i u
abnegacius	a b n e ɡ a t͡s i u s
aboco	a b o t͡s o
abocoj	a b o t͡s o i̯
abocojn	a b o t͡s o i̯ n
abocon	a b o t͡s o n
abolas	a b o l a s
aboli	a b o l i
abolicias	a b o l i t͡s i a s
abolicii	a b o l i t͡s i i
aboliciis	a b o l i t͡s i i s
aboliciismo	a b o l i t͡s i i s m o
aboliciismon	a b o l i t͡s i i s m o n
aboliciisto	a b o l i t͡s i i s t o
aboliciistoj	a b o l i t͡s i i s t o i̯
aboliciistojn	a b o l i t͡s i i s t o i̯ n
aboliciiston	a b o l i t͡s i i s t o n
abolicio	a b o l i t͡s i o
abolicioj	a b o l i t͡s i o i̯
aboliciojn	a b o l i t͡s i o i̯ n
abolicion	a b o l i t͡s i o n
abolicios	a b o l i t͡s i o s
aboliciu	a b o l i t͡s i u
abolicius	a b o l i t͡s i u s
abolis	a b o l i s
abolismo	a b o l i s m o
abolismon	a b o l i s m o n
abolo	a b o l o
aboloj	a b o l o i̯
abolojn	a b o l o i̯ n
abolon	a b o l o n
abolos	a b o l o s
abolu	a b o l u
abolus	a b o l u s
abomena	a b o m e n a
abomenaj	a b o m e n a i̯
abomenajn	a b o m e n a i̯ n
abomenaĵo	a b o m e n a ʒ o
abomenaĵoj	a b o m e n a ʒ o i̯
abomenaĵojn	a b o m e n a ʒ o i̯ n
abomenaĵon	a b o m e n a ʒ o n
abomenan	a b o m e n a n
abomenanta	a b o m e n a n t a
abomenantaj	a b o m e n a n t a i̯
abomenantajn	a b o m e n a n t a i̯ n
abomenantan	a b o m e n a n t a n
abomenante	a b o m e n a n t e
abomenas	a b o m e n a s
abomenata	a b o m e n a t a
abomenataj	a b o m e n a t a i̯
abomenatajn	a b o m e n a t a i̯ n
abomenatan	a b o m e n a t a n
abomenate	a b o m e n a t e
abomenato	a b o m e n a t o
abomenatoj	a b o m e n a t o i̯
abomenatojn	a b o m e n a t o i̯ n
abomenaton	a b o m e n a t o n
abomene	a b o m e n e
abomeni	a b o m e n i
abomenigas	a b o m e n i ɡ a s
abomenigi	a b o m e n i ɡ i
abomenigis	a b o m e n i ɡ i s
abomenigos	a b o m e n i ɡ o s
abomenigu	a b o m e n i ɡ u
abomenigus	a b o m e n i ɡ u s
abomeninda	a b o m e n i n d a
abomenindaj	a b o m e n i n d a i̯
abomenindajn	a b o m e n i n d a i̯ n
abomenindan	a b o m e n i n d a n
abomeninta	a b o m e n i n t a
abomenintaj	a b o m e n i n t a i̯
abomenintajn	a b o m e n i n t a i̯ n
abomenintan	a b o m e n i n t a n
abomeninte	a b o m e n i n t e
abomenis	a b o m e n i s
abomenita	a b o m e n i t a
abomenitaj	a b o m e n i t a i̯
abomenitajn	a b o m e n i t a i̯ n
abomenitan	a b o m e n i t a n
abomenite	a b o m e n i t e
abomeno	a b o m e n o
abomenon	a b o m e n o n
abomenonta	a b o m e n o n t a
abomenontaj	a b o m e n o n t a i̯
abomenontajn	a b o m e n o n t a i̯ n
abomenontan	a b o m e n o n t a n
abomenonte	a b o m e n o n t e
abomenos	a b o m e n o s
abomenota	a b o m e n o t a
abomenotaj	a b o m e n o t a i̯
abomenotajn	a b o m e n o t a i̯ n
abomenotan	a b o m e n o t a n
abomenote	a b o m e n o t e
abomenu	a b o m e n u
abomenulo	a b o m e n u l o
abomenuloj	a b o m e n u l o i̯
abomenulojn	a b o m e n u l o i̯ n
abomenulon	a b o m e n u l o n
abomenus	a b o m e n u s
abona	a b o n a
abonado	a b o n a d o
abonadoj	a b o n a d o i̯
abonadojn	a b o n a d o i̯ n
abonadon	a b o n a d o n
abonaj	a b o n a i̯
abonajn	a b o n a i̯ n
abonan	a b o n a n
abonanta	a b o n a n t a
abonantaj	a b o n a n t a i̯
abonantajn	a b o n a n t a i̯ n
abonantan	a b o n a n t a n
abonante	a b o n a n t e
abonanto	a b o n a n t o
abonantoj	a b o n a n t o i̯
abonantojn	a b o n a n t o i̯ n
abonanton	a b o n a n t o n
abonas	a b o n a s
abonata	a b o n a t a
abonate	a b o n a t e
abonato	a b o n a t o
abonebla	a b o n e b l a
aboneblaj	a b o n e b l a i̯
aboneblajn	a b o n e b l a i̯ n
aboneblan	a b o n e b l a n
abonejo	a b o n e j o
abonejoj	a b o n e j o i̯
abonejojn	a b o n e j o i̯ n
abonejon	a b o n e j o n
aboni	a b o n i
abonigas	a b o n i ɡ a s
abonigi	a b o n i ɡ i
abonigis	a b o n i ɡ i s
abonigos	a b o n i ɡ o s
abonigu	a b o n i ɡ u
abonigus	a b o n i ɡ u s
abonilo	a b o n i l o
aboniloj	a b o n i l o i̯
abonilojn	a b o n i l o i̯ n
abonilon	a b o n i l o n
aboninta	a b o n i n t a
aboninte	a b o n i n t e
aboninto	a b o n i n t o
abonintoj	a b o n i n t o i̯
abonintojn	a b o n i n t o i̯ n
aboninton	a b o n i n t o n
abonis	a b o n i s
abonita	a b o n i t a
abonitan	a b o n i t a n
abonite	a b o n i t e
abono	a b o n o
abonoj	a b o n o i̯
abonojn	a b o n o i̯ n
abonon	a b o n o n
abononta	a b o n o n t a
abononte	a b o n o n t e
abononto	a b o n o n t o
abonontoj	a b o n o n t o i̯
abonontojn	a b o n o n t o i̯ n
abononton	a b o n o n t o n
abonos	a b o n o s
abonota	a b o n o t a
abonote	a b o n o t e
abonpago	a b o n p a ɡ o
abonpagoj	a b o n p a ɡ o i̯
abonpagojn	a b o n p a ɡ o i̯ n
abonpagon	a b o n p a ɡ o n
abonu	a b o n u
abonus	a b o n u s
aborigena	a b o r i ɡ e n a
aborigenaj	a b o r i ɡ e n a i̯
aborigenajn	a b o r i ɡ e n a i̯ n
aborigenan	a b o r i ɡ e n a n
aborigeno	a b o r i ɡ e n o
aborigenoj	a b o r i ɡ e n o i̯
aborigenojn	a b o r i ɡ e n o i̯ n
aborigenon	a b o r i ɡ e n o n
aborta	a b o r t a
abortado	a b o r t a d o
abortadon	a b o r t a d o n
abortaj	a b o r t a i̯
abortajn	a b o r t a i̯ n
abortaĵo	a b o r t a ʒ o
abortaĵoj	a b o r t a ʒ o i̯
abortaĵojn	a b o r t a ʒ o i̯ n
abortaĵon	a b o r t a ʒ o n
abortan	a b o r t a n
abortanta	a b o r t a n t a
abortante	a b o r t a n t e
abortas	a b o r t a s
abortato	a b o r t a t o
abortema	a b o r t e m a
abortemaj	a b o r t e m a i̯
abortemajn	a b o r t e m a i̯ n
aborteman	a b o r t e m a n
aborti	a b o r t i
abortigas	a b o r t i ɡ a s
abortigi	a b o r t i ɡ i
abortigilo	a b o r t i ɡ i l o
abortigiloj	a b o r t i ɡ i l o i̯
abortigilojn	a b o r t i ɡ i l o i̯ n
abortigilon	a b o r t i ɡ i l o n
abortigis	a b o r t i ɡ i s
abortigisto	a b o r t i ɡ i s t o
abortigistoj	a b o r t i ɡ i s t o i̯
abortigistojn	a b o r t i ɡ i s t o i̯ n
abortigiston	a b o r t i ɡ i s t o n
abortigo	a b o r t i ɡ o
abortigoj	a b o r t i ɡ o i̯
abortigojn	a b o r t i ɡ o i̯ n
abortigon	a b o r t i ɡ o n
abortigos	a b o r t i ɡ o s
abortigu	a b o r t i ɡ u
abortigus	a b o r t i ɡ u s
abortinta	a b o r t i n t a
abortinte	a b o r t i n t e
abortis	a b o r t i s
abortitaĵo	a b o r t i t a ʒ o
abortitaĵoj	a b o r t i t a ʒ o i̯
abortitaĵojn	a b o r t i t a ʒ o i̯ n
abortitaĵon	a b o r t i t a ʒ o n
abortitan	a b o r t i t a n
aborto	a b o r t o
abortoj	a b o r t o i̯
abortojn	a b o r t o i̯ n
aborton	a b o r t o n
abortonta	a b o r t o n t a
abortonte	a b o r t o n t e
abortos	a b o r t o s
abortu	a b o r t u
abortus	a b o r t u s
Abrahamo	a b r a h a m o
Abrahamon	a b r a h a m o n
abrikotarbo	a b r i k o t a r b o
abrikotarboj	a b r i k o t a r b o i̯
abrikotarbojn	a b r i k o t a r b o i̯ n
abrikotarbon	a b r i k o t a r b o n
abrikoto	a b r i k o t o
abrikotoj	a b r i k o t o i̯
abrikotojn	a b r i k o t o i̯ n
abrikoton	a b r i k o t o n
abrikotujo	a b r i k o t u j o
abrikotujoj	a b r i k o t u j o i̯
abrikotujojn	a b r i k o t u j o i̯ n
abrikotujon	a b r i k o t u j o n
abrupta	a b r u p t a
abruptaj	a b r u p t a i̯
abruptajn	a b r u p t a i̯ n
abruptan	a b r u p t a n
abruptas	a b r u p t a s
abrupte	a b r u p t e
abrupteco	a b r u p t e t͡s o
abruptecoj	a b r u p t e t͡s o i̯
abruptecojn	a b r u p t e t͡s o i̯ n
abruptecon	a b r u p t e t͡s o n
abrupti	a b r u p t i
abruptis	a b r u p t i s
abruptos	a b r u p t o s
abruptu	a b r u p t u
abruptus	a b r u p t u s
absceso	a b s t͡s e s o
abscesoj	a b s t͡s e s o i̯
abscesojn	a b s t͡s e s o i̯ n
absceson	a b s t͡s e s o n
absciso	a b s t͡s i s o
abscisoj	a b s t͡s i s o i̯
abscisojn	a b s t͡s i s o i̯ n
abscison	a b s t͡s i s o n
absido	a b s i d o
absidoj	a b s i d o i̯
absidojn	a b s i d o i̯ n
absidon	a b s i d o n
absintaĵo	a b s i n t a ʒ o
absintaĵoj	a b s i n t a ʒ o i̯
absintaĵojn	a b s i n t a ʒ o i̯ n
absintaĵon	a b s i n t a ʒ o n
absinto	a b s i n t o
absintoj	a b s i n t o i̯
absintojn	a b s i n t o i̯ n
absinton	a b s i n t o n
absoluta	a b s o l u t a
absolutaj	a b s o l u t a i̯
absolutajn	a b s o l u t a i̯ n
absolutan	a b s o l u t a n
absolute	a b s o l u t e
absolutismo	a b s o l u t i s m o
absolutismoj	a b s o l u t i s m o i̯
absolutismojn	a b s o l u t i s m o i̯ n
absolutismon	a b s o l u t i s m o n
absolutisto	a b s o l u t i s t o
absolutistoj	a b s o l u t i s t o i̯
absolutistojn	a b s o l u t i s t o i̯ n
absolutiston	a b s o l u t i s t o n
absoluto	a b s o l u t o
absolutoj	a b s o l u t o i̯
absolutojn	a b s o l u t o i̯ n
absoluton	a b s o l u t o n
absolvas	a b s o l v a s
absolvi	a b s o l v i
absolvis	a b s o l v i s
absolvite	a b s o l v i t e
absolvo	a b s o l v o
absolvoj	a b s o l v o i̯
absolvojn	a b s o l v o i̯ n
absolvon	a b s o l v o n
absolvos	a b s o l v o s
absolvu	a b s o l v u
absolvus	a b s o l v u s
absorba	a b s o r b a
absorbaj	a b s o r b a i̯
absorbajn	a b s o r b a i̯ n
absorban	a b s o r b a n
absorbanta	a b s o r b a n t a
absorbante	a b s o r b a n t e
absorbas	a b s o r b a s
absorbata	a b s o r b a t a
absorbate	a b s o r b a t e
absorbato	a b s o r b a t o
absorbi	a b s o r b i
absorbiĝanta	a b s o r b i d͡ʒ a n t a
absorbiĝante	a b s o r b i d͡ʒ a n t e
absorbiĝas	a b s o r b i d͡ʒ a s
absorbiĝi	a b s o r b i d͡ʒ i
absorbiĝinta	a b s o r b i d͡ʒ i n t a
absorbiĝinte	a b s o r b i d͡ʒ i n t e
absorbiĝis	a b s o r b i d͡ʒ i s
absorbiĝo	a b s o r b i d͡ʒ o
absorbiĝon	a b s o r b i d͡ʒ o n
absorbiĝonta	a b s o r b i d͡ʒ o n t a
absorbiĝonte	a b s o r b i d͡ʒ o n t e
absorbiĝos	a b s o r b i d͡ʒ o s
absorbiĝu	a b s o r b i d͡ʒ u
absorbiĝus	a b s o r b i d͡ʒ u s
absorbilo	a b s o r b i l o
absorbiloj	a b s o r b i l o i̯
absorbilojn	a b s o r b i l o i̯ n
absorbilon	a b s o r b i l o n
absorbinta	a b s o r b i n t a
absorbinte	a b s o r b i n t e
absorbis	a b s o r b i s
absorbita	a b s o r b i t a
absorbitan	a b s o r b i t a n
absorbite	a b s o r b i t e
absorbo	a b s o r b o
absorboj	a b s o r b o i̯
absorbojn	a b s o r b o i̯ n
absorbon	a b s o r b o n
absorbonta	a b s o r b o n t a
absorbonte	a b s o r b o n t e
absorbos	a b s o r b o s
absorbota	a b s o r b o t a
absorbote	a b s o r b o t e
absorbu	a b s o r b u
absorbus	a b s o r b u s
abstemia	a b s t e m i a
abstemiaj	a b s t e m i a i̯
abstemiajn	a b s t e m i a i̯ n
abstemian	a b s t e m i a n
abstemio	a b s t e m i o
abstemion	a b s t e m i o n
abstina	a b s t i n a
abstinado	a p s t i n a d o
abstinadoj	a b s t i n a d o i̯
abstinadojn	a b s t i n a d o i̯ n
abstinadon	a b s t i n a d o n
abstinaj	a b s t i n a i̯
abstinajn	a b s t i n a i̯ n
abstinan	a b s t i n a n
abstinanta	a b s t i n a n t a
abstinante	a b s t i n a n t e
abstinanto	a b s t i n a n t o
abstinantoj	a b s t i n a n t o i̯
abstinantojn	a b s t i n a n t o i̯ n
abstinanton	a b s t i n a n t o n
abstinas	a p s t i n a s
abstinema	a b s t i n e m a
abstinemaj	a b s t i n e m a i̯
abstinemajn	a b s t i n e m a i̯ n
abstineman	a b s t i n e m a n
abstinemo	a b s t i n e m o
abstinemon	a b s t i n e m o n
abstinenca	a b s t i n e n t͡s a
abstinencaj	a b s t i n e n t͡s a i̯
abstinencajn	a b s t i n e n t͡s a i̯ n
abstinencan	a b s t i n e n t͡s a n
abstinenco	a b s t i n e n t͡s o
abstinencon	a b s t i n e n t͡s o n
abstinenculo	a b s t i n e n t͡s u l o
abstinenculoj	a b s t i n e n t͡s u l o i̯
abstinenculojn	a b s t i n e n t͡s u l o i̯ n
abstinenculon	a b s t i n e n t͡s u l o n
abstini	a p s t i n i
abstininta	a b s t i n i n t a
abstininte	a b s t i n i n t e
abstinis	a b s t i n i s
abstino	a b s t i n o
abstinoj	a b s t i n o i̯
abstinojn	a b s t i n o i̯ n
abstinon	a b s t i n o n
abstinonta	a b s t i n o n t a
abstinonte	a b s t i n o n t e
abstinos	a b s t i n o s
abstinu	a b s t i n u
abstinulo	a p s t i n u l o
abstinuloj	a b s t i n u l o i̯
abstinulojn	a b s t i n u l o i̯ n
abstinulon	a b s t i n u l o n
abstinus	a b s t i n u s
abstrakta	a p s t r a k t a
abstraktado	a b s t r a k t a d o
abstraktadoj	a b s t r a k t a d o i̯
abstraktadojn	a b s t r a k t a d o i̯ n
abstraktadon	a b s t r a k t a d o n
abstraktaj	a b s t r a k t a i̯
abstraktajn	a b s t r a k t a i̯ n
abstraktaĵo	a p s t r a k t a ʒ o
abstraktaĵoj	a b s t r a k t a ʒ o i̯
abstraktaĵojn	a b s t r a k t a ʒ o i̯ n
abstraktaĵon	a b s t r a k t a ʒ o n
abstraktan	a b s t r a k t a n
abstraktanta	a b s t r a k t a n t a
abstraktante	a b s t r a k t a n t e
abstraktas	a b s t r a k t a s
abstraktata	a b s t r a k t a t a
abstraktate	a b s t r a k t a t e
abstraktato	a b s t r a k t a t o
abstrakte	a p s t r a k t e
abstrakteco	a p s t r a k t e t͡s o
abstraktecoj	a b s t r a k t e t͡s o i̯
abstraktecojn	a b s t r a k t e t͡s o i̯ n
abstraktecon	a b s t r a k t e t͡s o n
abstrakti	a b s t r a k t i
abstraktiga	a b s t r a k t i ɡ a
abstraktigaj	a b s t r a k t i ɡ a i̯
abstraktigajn	a b s t r a k t i ɡ a i̯ n
abstraktigan	a b s t r a k t i ɡ a n
abstraktigas	a b s t r a k t i ɡ a s
abstraktigi	a b s t r a k t i ɡ i
abstraktigis	a b s t r a k t i ɡ i s
abstraktigo	a b s t r a k t i ɡ o
abstraktigoj	a b s t r a k t i ɡ o i̯
abstraktigojn	a b s t r a k t i ɡ o i̯ n
abstraktigon	a b s t r a k t i ɡ o n
abstraktigos	a b s t r a k t i ɡ o s
abstraktigu	a b s t r a k t i ɡ u
abstraktigus	a b s t r a k t i ɡ u s
abstraktinte	a b s t r a k t i n t e
abstraktis	a b s t r a k t i s
abstraktismo	a p s t r a k t i s m o
abstraktismoj	a b s t r a k t i s m o i̯
abstraktismojn	a b s t r a k t i s m o i̯ n
abstraktismon	a b s t r a k t i s m o n
abstraktitan	a b s t r a k t i t a n
abstraktite	a b s t r a k t i t e
abstrakto	a b s t r a k t o
abstraktoj	a b s t r a k t o i̯
abstraktojn	a b s t r a k t o i̯ n
abstrakton	a b s t r a k t o n
abstraktonta	a b s t r a k t o n t a
abstraktonte	a b s t r a k t o n t e
abstraktos	a b s t r a k t o s
abstraktote	a b s t r a k t o t e
abstraktu	a b s t r a k t u
abstraktus	a b s t r a k t u s
absurda	a b s u r d a
absurdaj	a b s u r d a i̯
absurdajn	a b s u r d a i̯ n
absurdaĵo	a b s u r d a ʒ o
absurdaĵoj	a b s u r d a ʒ o i̯
absurdaĵojn	a b s u r d a ʒ o i̯ n
absurdaĵon	a b s u r d a ʒ o n
absurdan	a b s u r d a n
absurdeco	a b s u r d e t͡s o
absurdecoj	a b s u r d e t͡s o i̯
absurdecojn	a b s u r d e t͡s o i̯ n
absurdecon	a b s u r d e t͡s o n
Abuĝo	a b u d͡ʒ o
Abuĝon	a b u d͡ʒ o n
abunda	a b u n d a
abundaj	a b u n d a i̯
abundajn	a b u n d a i̯ n
