ааба	ʔ äˑ b ɜ
агазеҭ	a ɡ a z e̞ tʰ
агандал	a ɡ a n d a l
агандалеира	a ɡ a n d a l e̞ j r a
агараҿаҟәара	a ɡ a r a ʈ ʂʼ a qʼʷ a r a
агаҭҳәы	a ɡ a tʰ ħʷ ə
Гьанаба	ɡʲ a n a b a
агьаргьалас	a ɡʲ a r ɡʲ a l a s
агьаҭа	a ɡʲ a tʰ a
агьаурым	a ɡʲ a w ə r ə m
агьежь	a ɡʲ e̞ ʒ
агьемуа	a ɡʲ e̞ m ə w a
агьенџь	a ɡʲ e n d ʒ
агәабанақь	a ɡʷ a b a n a kʰʲ a
агәагәышь	a ɡʷ a ɡʷ ə ʃ
агәамҵра	a ɡʷ a m t sʼ r a
агәанҵьра	a ɡʷ a n t ɕʼ r a
агәараҭа	a ɡʷ a r a tʰ a
агәарԥла	a ɡʷ a r pʰ l a
агәлаҵа	a ɡʷ l a t sʼ a
агәҭасра	a ɡʷ tʰ a s r a
агәы	a ɡʷ ɨ
агәыбӷан	a ɡʷ ə b ʁ a n
агәыӡра	a ɡʷ ə d z r a
агәыӡьра	a ɡʷ ə d ʑ r a
агәылшьаԥ	a ɡʷ ə l ʃ a pʰ
агәынн	a ɡʷ ə n n
агәырӷьаҽҳәаҫ	a ɡʷ ə r ɡʲ a ʈ ʂʰ ħʷ a ɕ
агәыруа	a ɡʷ ə r ə w a
агәырх	a ɡʷ ə r χ
аӷбаҟаҵарҭа	a ʁ b a qʼ a t sʼ a r tʰ a
аӷбаԥшыра	a ʁ b a pʰ ʂ ə r a
аӷбатәара	a ʁ b a tʼʷ a r a
аӷыбзаҫәа	a ʁ ə b z a ɕʷ a
аӷьа	a ʁʲ a
аӷьажәла	a ʁʲ a ʒʷ l a
аӷьаз	a ʁʲ a z
аӷьаӡ	a ʁʲ a d z
Ӷьатама	ʁʲ a tʼ a m a
аӷәаӷә	a ʁʷ a ʁʷ
аӷәыл	a ʁʷ ə l
адагәа	a d a ɡʷ a
ададаҳ	a d a d a ħ
Адамыр	a d a m ə r
Данаҟаи	d a n a qʼ a j
адаԥа	a d a pʰ a
Адаԥазар	a d a pʰ a z a r
Дараҭиа	d a r a tʰ ə j a
адарсма	a d a r s m a
дасу	d a s ə w
Даттәыла	d a t tʼʷ ə l a
адауар	a d a w a r
адгьылҿацә	a d ɡʲ ə l ʈ ʂʼ a t ɕʰʷ
адиалект	a d ə j a l e kʼ tʼ
адиуан	a d i w a n
адоуҳа	a d o̞ w ħ a
адунеи	a d ə w n e̞ j
адырҩала	a d ə r ɥˤ a l a
Ебыжьноу	e̞ b ə ʒ n o̞ w
Ебырҳам	e̞ b ə r ħ a m
Езаҭ	e̞ z a tʰ
еизқурха	e̞ j z kʰ ə w r χ a
аеиры	a j a j r y
Еирытәыла	a j r ə tʼʷ ə l a
Еқәыԥ	e̞ kʰʷ ə pʰ
Елҟан	e̞ l qʼ a n
аенцәыш	a j a n t ɕʷʰ ə ʂ
еркьжьоу	e̞ r kʼʲ ʒ o̞ w
аерман	a j a r m a n
Еслам	e̞ s l a m
Есҳаҟ	e̞ s ħ a qʼ
Есыф	e̞ s ə f
Ешсоу	e̞ ʂ s o̞ w
ажыга	a ʐ ə ɡ a
ажьаҵәыра	a ʒ a t ɕʼʷ ə r a
Ажьгьери	a ʒ ɡʲ e̞ r ə j
ажьҭаара	a ʒ tʰ aː r a
ажьыӡ	a ʒ ə d z
ажьымжьакьа	a ʒ ə m ʒ a kʼʲ a
жәаа	ʒʷ aː
жәаба	ʒʷ ɜ b æ̈
ажәамаӡа	a ʒʷ a m a d z a
жәаф	ʒʷ a f
жәаха	ʒʷ a χ ə
жәаҩа	ʒʷ ø ɥ ɜ
жәба	ʒʷ b æ̈
жәеиза	ʒʷ eˑ z ɜ
ажәзҩа	a ʒʷ z ɥˤ a
жәибжь	ʑʷ ə b ʑ̩
жәиԥшь	ʒʷ i b ɕ
жәохә	ʒʷ o χʷ
Жәраб	ʒʷ r a b
ажәрытә	a ʒʷ r ə tʼʷ
ажәҵыс	a ʒʷ t sʼ ə s
ажәынтхь	a ʒʷ ə n tʼ χʲ
ажәытәӡа	a ʒʷ ə tʼʷ d z a
ажәҩа	a ʒʷ ɥˤ a
ажәҩан	a ʒʷ ɥˤ a n
ажәҩахыр	a ʒʷ ɥˤ a χ ə r
ажәҩашәаҟьа	a ʒʷ ɥˤ a ʃʷ a qʼʲ a
азаахә	a z aː χʷ
азар	a z a r
Зарҭыжә	z a r tʰ ə ʒʷ
Зафас	z a f a s
Зафҟара	z a f qʼ a r a
азаҵә	a z a t ɕʼʷ
азаҵәра	a z a t ɕʼʷ r a
зеижә	z eˑ ʒʷ
Зекәа	z a j kʼʷ a
Зереԥс	z e̞ r e̞ pʰ s
азифҭ	a z ə j f tʰ
азҳара	a z ħ a r a
азҳәара	a z ħʷ a w a
азыкь	a z ə kʼʲ
азыхә	a z ə χʷ
азҩа	a ʑ ɥˤ a
аҙх'аҙ	a ʑ χˤ a ʑ
аҙәамаӡьа	a ʑʷ a m a d ʑ a
аҙәиа	a ʑʷ j a
аҙәиан	a ʑʷ j a n
аҙәиах'ыр	a ʑʷ j a χˤ ə r
аҙәҵьыҫ	a ʑʷ t ɕʼ ə ɕ
аҙәыҫәаҟьа	a ʑʷ ə ɕʷ a qʼʲ a
аӡ	a d z
аӡа	á d z ə
аӡеиқәа	a d z e̞ j kʰʷ a
аӡрыцқьага	a d z r ə t sʰ kʰʲ a ɡ a
аӡсара	a d z s a r a
аӡҭас	a d z tʰ a s
аӡхьамԥш	a d z χʲ a m pʰ ʂ
аӡыгага	a d z ə ɡ a ɡ a
аӡыӷӷара	a d z ə ʁ ʁ a r a
аӡырҳәра	a d z ə r ħʷ r a
аӡыс	a d z ə s
аӡысаамҭа	a d z ə s aː m tʰ a
аӡьаӡьа	a d ʑ a d ʑ a
аӡьах'әа	a d ʑ a χˤʷ a
аӡьын	a d ʑ ə n
аӡьыҫ	a d ʑ ə ɕ
аи	ʔ a j
иежәа	j ɛ ʒʷ a
Аиергь	a j e̞ r ɡʲ
аизырх'а	a j z ə r χˤ a
аилар	a j l a r
аимпериа	a j ə m pʼ e r ə j a
Ингәыштәыла	j ə n ɡʷ ə ʂ tʼʷ ə l a
аиныжә	a j n ə ʒʷ
иҭабуп	i tʰ a b u pʼ
Аиҭар	a j tʰ a r
акамыршша	a kʼ a m ə r ʂ ʂ a
акариера	a kʼ a r ə j e r a
акаркаламышә	a kʼ a r kʼ a l a m ə ʃ
Каталантәыла	kʼ a tʼ a l a n tʼʷ ə l a
акаторӷа	a kʼ a tʼ o̞ r ʁ a
акы	a kʼ ə
акы	a kʼ ɯ
акыӷәра	a kʼ ə ʁʷ r a
акыркылыш	a kʼ ə r kʼ ə l ə ʃ
Кьаӷәса	kʼʲ a ʁʷ s a
акьарахә	a kʼʲ a r a χʷ
акьарыхә	a kʼʲ a r ə χʷ
акьысра	a kʼʲ ə s r a
акьыцә	a kʼʲ ə t ɕʰʷ
акәакәышь	a kʼʷ a kʼʷ ə ʃ
акәалӡы	a kʼʷ a l d z ə
акәаскьа	a kʼʷ a s kʼʲ a
акәасҭӷа	a kʼ a s tʰ ʁ a
акәата	a kʼʷ a tʼ a
акәац	a kʼʷ a t sʰ
акәаць	a kʼʷ a t ɕʰ
акәаҵамлықь	a kʼʷ a t sʰ a m l ə kʰʲ
акәуа	a kʼʷ ə w a
Кәыбраа	kʼʷ ə b r aː
акәыи	a kʼʷ ə j ə
акәылыи	a kʼʷ ə l ə j
акәымсаг	a kʼʷ ə m s a ɡ
ақачала	a kʰ a t ʃʰ a l a
ақырдуаг	a kʰ ə r d w a ɡ
ақыҭа	a kʰ ə tʰ a
ақьаафыр	a kʰʲ aː f ə r
ақьабз	a kʰʲ a b z
ақьаӷьариа	a kʰʲ a ʁʲ a r ə j a
ақьақәа	a kʰʲ a kʰʲ a
Қьалышьбеи	kʰʲ a l ə ʃ b e j
ақьаԥҭа	a kʰʲ a pʰ tʰ a
ақьаранџь	a kʰʲ a r a n d ʒ
ақьаранџьы	a kʰʲ a r a n d ʒ ə
ақьаҭәа	a kʰʲ a tʰʷ a
ақьафан	a kʰʲ a f a n
ақьаҳиа	a kʰʲ a ħ ə j a
ақәасаб	a kʰʷ a s a b
ақәрахьымӡа	a kʰʷ r a χʲ ə m d z a
ақәырқәыр	a kʰʷ ə r kʰʷ ə r
Ҟазан	qʼ a z a n
Ҟаир	qʼ a j ə r
аҟаитан	a qʼ a j tʼ a n
Ҟамлаҭ	qʼ a m l a tʰ
аҟант	a χ ə n ɡʷ ə s tʰ a
аҟанҷ	a qʼ a n t ʃʼ
аҟарҟалыш	a qʼ a r qʼ a l ə ʂ
аҟармаҵыс	a qʼ a r m a t sʼ ə s
аҟармаҵьыҫ	a qʼ a r m a t ɕʼ ə ɕ
аҟарул	a qʼ a r w ə l
аҟаршы	a qʼ a r ʂ ə
Ҟатар	qʼ a tʼ a r
аҟаҵарба	a qʼ a t sʼ a r b a
аҟмыҟ	a qʼ m ə qʼ
аҟьантаз	a qʲʼ a n tʼ a z
аҟьаԥҟьаԥ	a qʼʲ a pʰ qʼʲ a pʰ
аҟәаҟә	a qʼʷ a qʼʷ
аҟәаҟәа	a qʼʷ a qʼʷ a
аҟәара	a qʼʷ a r a
аҟәараан	a qʼʷ a r aː n
аҟәараса	a qʼʷ a r a s a
аҟәарҭлах	a qʼʷ a r tʰ l a χ
аҟәаҭҳа	a qʼʷ a tʰ ħ a
аҟәлабиса	a qʼʷ l a b ə j s a
Аҟәлангьери	a qʼʷ l a n ɡʲ e̞ r ə j
аҟәраан	a qʼʷ r aː n
аҟәыра	a qʼʷ ə r a
алагажә	a l a ɡ a ʒʷ
алакҭаҩ	a l a kʼ tʰ a ɥˤ
алала	a l a l a
аламӡы	a l a m d z ə
аласа	a l a s a
аласба	a l a s b a
алахҭым	a l a χ tʰ ə m
алаҳагәаџа	a l a ħ a ɡʷ a ɖ ʐ a
Лаҵьыҫ	l a t ɕʼ ə ɕ
Лаҿыс	l a ʈ ʂʼ ə s
алаша	a l a ʂ a
алашәа	a l a ʃʷ a
алашәараца	a l a ʃʷ a r a t sʰ a
алаҩта	a l a ɥˤ tʼ a
алезгьы	a l e̞ z ɡʲ ə
алемса	a l e̞ m s a
Леон	l e o n
Алиас	a l j a s
Алиасгьери	a l j a s ɡʲ e̞ r ə j
алман	a l m a n
Алмантәыла	a l m a n tʼʷ ə l a
алуҟьанта	a l w ə qʼʲ a n t aʼ
алуҭаҩ	a l w ə tʰ a ɥˤ
Алҵыкә	a l t sʼ ə kʼʷ
Алықьса	a l ə kʰʲ s a
Алџьаир	a l d ʒ a j ə r
альупльуп	a lʲ u pʼ lʲ u pʼ
амаана	a m aː n a
амажәа	a m a ʒʷ a
амазгәыҭ	a m a z ɡʷ ə tʰ
амаҙәа	a m a ʑʷ a
амаӡа	a m a d z a
амаӡажәа	a m a d z a ʒʷ a
маӡала	m a d z a l a
амаӡьа	a m a d ʑ a
амаӡьаҙәа	a m a d ʑ a ʑʷ a
маӡьала	m a d ʑ a l a
амақьа	a m a kʰʲ a
манцыз	m a n t sʰ ə z
аманыӡа	a m a n ə d z a
амардуан	a m a r d w a n
амарцыф	a m a r t sʰ ə f
амаҭԥсыӡ	a m a tʰ pʰ s ə d z
амаҭырбага	a m a tʰ ə r b a ɡ a
амахҽ	a m a χ ʈ ʂʰ
амаҳагьа	a m a ħ a ɡʲ a
амаҳагьара	a m a ħ a ɡʲ a r a
амаҳаҵә	a m a ħ a t ɕʼʷ
Маҳмаҭқьери	m a ħ m a tʰ kʰʲ e̞ r ə j
амаҳмыз	a m a ħ m ə z
амаҳәцара	a m a ħʷ t sʰ a r a
амаҳәҩыза	a m a ħʷ ɥˤ ʏ z a
амацәыс	a m a t ɕʰʷ ə s
амаҵаԥа	a m a t sʼ a pʰ a
амаҵуар	a m a t sʼ ə w a r
амаҵура	a m a t sʼ ə w r a
амаҵуразқәу	a m a t sʼ ə w r a z kʰʷ ə w
амаҵураныҟәара	a m a t sʼ ə w r a n ə qʼʷ a r a
амаҵурауаҩ	a m a t sʼ ə w r a w a ɥˤ
амаҵурҭа	a m a t sʼ ə w r tʰ a
амаҷыҟәа	a m a t ʃʼ ə qʼʷ a
амаџьар	a m a d ʒ a r
амбадлаԥса	a m b a d l a pʰ s a
амилаҭ	a m i l a tʰ
амлаӷәыр	a m l a ʁʷ ə r
ампышҭа	a m pʼ ə ʂ tʰ a
амԥаҟа	a m pʰ a qʼ a
Мсоусҭ	m s o̞ w ə s tʰ
амҳара	a m ħ a r a
амҵ	a m t͡sʼ
амҵарсра	a m t͡sʼ a r s r a
амҷаагара	a m t ʃʼ aː ɡ a r a
амшын	a m ʂ ə n
амыиныф	a m ə j n ə f
амырканеиқәа	a m ə r kʼ a n e̞ j kʰʷ a
амысқь	a m ə s kʰʲ
Мыцҳәаркьыжьоу	m ə t sʰ ħʷ a r kʼʲ ə ʒ o̞ w
амыҩныф	a m ə ɥˤ n ə f
анабзыҭ	a n a b z ə tʰ
надаада	n a d aː d a
анаӡӡеи	a n a d z d z e̞ j
анамӡаԥса	a n a m d z a pʰ s a
Ананашацәа	a n a n a ʂ a t ɕʰʷ a
анапхыц	a n a pʼ χ ə t sʰ
анапы	a n a pʼ ə
анармеиқәа	a n a r m e̞ j kʰʷ a
анаскьагара	a n a s kʼʲ a ɡ a r a
анаскьара	a n a s kʼʲ a r a
анасыԥ	a n a s ə pʰ
анахәҭа	a n a χʷ tʰ a
анаҩеи	a n a ɥˤ e̞ j
анаџьа	a n a d ʒ a
англыз	a n ɡ l ə z
Англызтәыла	a n ɡ l ə z tʼʷ ə l a
Никарагуа	n ə j kʼ a r a ɡ w a
анкьапышҭа	a n kʼʲ a pʼ ə ʂ tʰ a
Ноурыз	n o w r ə z
анԥса	a n pʰ s a
Анҭақьиа	a n tʰ a kʰʲ i a
анхаҩы	a n χ a ɥˤ ʏ
анхаҩыцқьа	a n χ a ɥˤ ʏ t sʰ kʰʲ a
анышәынҭра	a n ə ʃʷ ə n tʰ r a
анџьныр	a n ʒ n ə r
Парагәаи	pʼ a r a ɡʷ a j
апҟыз	a pʼ qʼ ə z
апыззы	a pʼ pʼ ə z ə
апызра	a pʼ ə z r a
аԥакьалҵӷа	a pʰ a kʼʲ a l t sʼ ʁ a
аԥаԥса	a pʰ a pʰ s a
аԥаҭлыка	a pʰ a tʰ l ə kʼ a
аԥаҭхь	a pʰ a tʰ χʲ
аԥаҵақьиа	a pʰ a t sʼ a kʰʲ ə j a
аԥаҵасарҭа	a pʰ a t sʰ a r tʰ a
аԥача	a pʰ a t ʃʰ a
аԥаҩ	a pʰ a ɥˤ
аԥаџьа	a pʰ a d ʒ a
аԥҟыз	a pʰ qʼ ə z
аԥошьҭа	a pʰ o̞ ʃ tʰ a
аԥса	a pʰ s a
аԥсаатә	a pʰ s aː tʼʷ
аԥсабара	a pʰ s a b a r a
аԥсазаара	a pʰ s a z aː r a
аԥсаԥа	a pʰ s a pʰ a
аԥсара	a pʰ s a r a
аԥсауаҭла	a pʰ s a w a tʰ l a
аԥсахра	a pʰ s a χ r a
аԥсацәа	a pʰ s a t ɕʰʷ a
аԥсеизгара	a pʰ s e̞ j z ɡ a r a
аԥскра	a pʰ s k r a
аԥскәабазхада	a pʰ s kʼʷ a b a z χ a d a
аԥсқьар	a pʰ s kʰʲ a r
аԥсҟы	a pʰ s qʼ ə
аԥслаҳә	a pʰ s l a ħʷ
аԥслы	a pʰ s l ə
аԥслыш	a pʰ s l ə ʂ
аԥсра	a pʰ s r a
аԥсҭа	a pʰ s tʰ a
аԥсҭазаара	a pʰ s tʰ a z aː r a
аԥсҭам	a pʰ s tʰ a m
аԥсҭыр	a pʰ s tʰ ə r
аԥсуа	a pʰ s ə w a
аԥсуаа	a pʰ s ə w aː
Аԥсуара	a pʰ s ə w a r a
аԥсуаҭҵааҩы	a pʰ s w a tʰ t sʼ aː ɥˤ ʏ
аԥсхыхра	a pʰ s χ ə χ r a
аԥсхыҵра	a pʰ s χ ə t sʼ r a
аԥсхәы	a pʰ s χʷ ə
Аԥсҳа	a pʰ s ħ a
Аԥсҳара	a pʰ s ħ a r a
аԥсҳәысҭра	a pʰ s ħʷ ə s tʰ r a
аԥсы	a pʰ s ə
аԥсыжырҭа	a pʰ s ə ʐ ə r tʰ a
аԥсыӡкра	a pʰ s ə d z kʼ r a
аԥсыӡкҩы	a pʰ s ə d z kʼ ɥˤ ʏ
Аԥсынҟьаҟьаду	a pʰ s ə n qʼʲ a qʼʲ a d ə w
аԥҫа	a pʰ ɕ a
аԥҫлаҳә	a pʰ ɕ l a ħʷ
аԥҫлы	a pʰ ɕ l ə
аԥҫҭа	a pʰ ɕ tʰ a
аԥҫуа	a pʰ ɕ ə w a
аԥҫх'әы	a pʰ ɕ χˤʷ ə
аԥҫцәаҳа	a pʰ ɕ t ɕʰʷ a ħ a
аԥҫы	a pʰ ɕ ə
аԥҫыӡ	a pʰ ɕ ə d͡z
аԥҫых'ә	a pʰ ɕ ə χˤʷ
аԥҭека	a pʰ tʰ e̞ kʼ a
аԥхасҭа	a pʰ χ a s tʰ a
аԥхашьахьа	a pʰ χ a ʃ a χʲ a
аԥхьа	a pʰ χʲ a
аԥх'аҫҭа	a pʰ χˤ a ɕ tʰ a
аԥҳаԥса	a pʰ ħ a pʰ s a
аԥҳәыс	a pʰ ħʷ ə s
аԥчараҳ	a pʰ t ʃʼ a r a ħ
аԥш	a pʰ ʂ
ԥшьба	p ɕː b æ
аԥынӡар	a pʰ ə n d z a r
аԥынҵаҵәыр	a pʰ ə n t sʼ a t ɕʼʷ ə r
аԥырсал	a pʰ ə r s a l
аԥыхьҟа	a ʑʷ j a χˤ ə r
аҧхьарца	a pʰ χʲ a r t͡sʰ a
араса	a r a s a
арасаҭра	a r a s a tʰ r a
арахҭ	a r a ħ tʰ
Раҵьыҫ	r a t ɕʼ ə ɕ
Раҿыс	r a ʈ ʂʼ ə s
арӷьажәҩа	a r ʁʲ a ʒʷ ɥˤ a
Ардашьын	a r d a ʃ ə n
арҟәдтәы	a r qʼʷ d tʼʷ ə
арнауҭ	a r n a w ə tʰ
Арнауҭтәыла	a r n a w ə tʰ tʼʷ ə l a
Арноу	a r n o̞ w
арԥаҫ	a r pʰ a ɕ
арԥыс	a r pʰ ə s
Арсоу	a r s o̞ w
арсра	a r s r a
арссара	a r s s a r a
аруҭул	a r u tʰ ə w l
арфақь	a r f a kʰʲ
арҵаҩы	a r t sʼ a ɥˤ ʏ
арҵу	a r t sʼ ə w
арҵыӷь	a r t sʼ ə ʁʲ
арыԥҵә	a r ə pʰ t ɕʼʷ
асаанкылара	a s aː n kʼ ə l a r a
Сааҭбеи	s aː tʰ b e j
Сааҭқьери	s aː tʰ kʰʲ e̞ r ə j
саӷо	s ɑ ɣ o̞ w
асадаҟа	a s a d a qʼ a
Саӡны	s a d z n ə
асаӡуа	a s a d z ə w a
асаҟаҭ	a s a qʼ a tʰ
Самырзаҟан	s a m ə r z a qʼ a n
асара	a s a r a
асаскьыр	a s a s kʼʲ ə r
асаҵрал	a s a t sʼ r a l
асқьала	a s kʰʲ a l a
Аслангьери	a s l a n ɡʲ e̞ r ə j
Словактәыла	s l o v a kʼ tʼʷ ə l a
Словентәыла	s l o v e n tʼʷ ə l a
Соӷәым	s o̞ ʁʷ ə m
Соулаҳә	s o̞ w l a ħʷ
асоура	a s o̞ w r a
Соусран	s o̞ w s r a n
Соуфыџь	s o̞ w f ə d ʒ
асра	a s r a
асрыцқьага	a s r ə t sʰ kʰʲ a ɡ a
Асҭамыр	a s tʰ a m ə r
асура	a s w ə r a
асуст	a s w ə s tʼ
асха	a s χ a
асцәыхьчара	a s t ɕʰʷ ə χʲ t ʃʰ a r a
асшәага	a s ʃʷ a ɡ a
асы	a s ə
асынкылара	a s ə n kʼ ə l a r a
сынтәа	s ə n tʼʷ a
асыԥса	a s ə pʰ s a
асыԥсалеира	a s ə pʰ s a l e̞ j r a
асыԥсаҳәа	a s ə pʰ s a ħʷ a
асырӡ	a s ə r d z
асырҭы	a s ə r tʰ ə
асыс	a s ə s
аҫаанкылара	a ɕ aː n kʼ ə l a r a
аҫаӡьуа	a ɕ a d ʑ ə w a
аҫоура	a ɕ o̞ w r a
аҫры	a ɕ r ə
аҫрыцқьага	a ɕ r ə t sʰ kʰʲ a ɡ a
аҫха	a ɕ χ a
аҫх'амшә	a ɕ χˤ a m ʃʷ
аҫцәыхьчара	a ɕ t ɕʰʷ ə χʲ t ʃʰ a r a
аҫшәага	a ɕ ʃʷ a ɡ a
аҫы	a ɕ ə
аҫынкылара	a ɕ ə n kʼ ə l a r a
аҫыԥҫа	a ɕ ə pʰ ɕ a
аҫыԥҫалеира	a ɕ ə pʰ ɕ a l e̞ j r a
аҫыԥҫаҳәа	a ɕ ə pʰ ɕ a ħʷ a
аҫыранҵара	a ɕ ə r a n t sʼ a r a
аҫәануа	a ɕʷ a n ə w a
аҫәахьы	a ɕʷ a χʲ ə
аҫәеикьа	a ɕʷ e̞ j kʼʲ a
аҫәиҫәи	a ɕʷ ə j ɕʷ ə j
атазыла	a tʼ a z ə l a
атама	a tʼ a m a
Таԥшь	tʼ a pʰ ʃ
Тоулаҳә	tʼ o̞ w l a ħʷ
атыҩ	a tʼ ə ɥˤ
атәыиа	a tʼʷ ə j a
атәымтәыланыҟәаҩ	a tʼʷ ə m tʼʷ ə l a n ə qʼʷ a ɥˤ
атәыҩа	a tʼʷ ə ɥˤ a
аҭагә	a tʰ a ɡʷ
аҭамҳа	a tʰ a m ħ a
аҭаԥҭа	a tʰ a pʰ tʰ a
Ҭарбзана	tʰ a r b z a n a
аҭарчеи	a tʰ a r t ʃʰ e̞ j
аҭарџьман	a tʰ a r d ʒ m a n
аҭасра	a tʰ a s r a
аҭаҭлуба	a tʰ a tʰ l ə w b a
ҭауан	tʰ a w a n
аҭаҳмада	a tʰ a ħ m a d a
аҭаҳцәа	a tʰ a ħ t͡ɕʷʰ a
аҭенқьызыс	a tʰ e n kʰʲ ə z ə s
аҭесԥыҳә	a tʰ e̞ s pʰ ə ħʷ
аҭеҭлашә	a tʰ e̞ tʰ l a ʃʷ
аҭӡамц	a tʰ d z a m t sʰ
аҭӡьамць	a tʰ d ʑ a m t ɕʰ
аҭкәицар	a tʰ kʼʷ ə j t sʰ a r
аҭоурых	a tʰ o̞ w r ə χ
аҭсыс	a tʰ s ə s
Ҭхәаж	tʰ χʷ a ʐ
Ҭҳасоу	tʰ ħ a s o̞ w
аҭыԥ	a tʰ ə pʰ
аҭыԥла	a tʰ ə pʰ l a
аҭәамба	a tʰʷ a m b a
ауада	a w a d a
ауадрахс	a w a d r a χ s
ауалагәыр	a w a l a ɡʷ ə r
ауалон	a w a l o̞ n
ауаԥс	a w a pʰ s
ауар	a w a r
ауарҭак	a w a r tʰ a kʼ
ауарҳал	a w a r ħ a l
ауатка	a w a tʼ kʼ a
ауахьад	a w a χʲ a d
ауаҩаса	a w a ɥˤ a s a
ауаџьаҟ	a w a d ʒ a qʼ
аугәуа	a w ɡʷ ə w a
ауеиа	a w e̞ j a
ауриа	a w r ə j a
Уругәаи	w ə r ə w ɡʷ a j
Аусҭриа	a w ə s tʰ r ə j a
Фаҭқьери	f a tʰ kʰʲ e̞ r ə j
фба	fː b æ
Афӷанисҭан	a f ʁ a n ə j s tʰ a n
Афӷантәыла	a f ʁ a n tʼʷ ə l a
