अ	ə
अंग्रेज़ियत	ə ŋ ɡ ɾ eː d͡ʒ ɪ j ə t̪
अंग्रेज़ियत	ə ŋ ɡ ɾ eː z ɪ j ə t̪
अंग्रेज़ी	ə ŋ ɡ ɾ eː d͡ʒ iː
अंग्रेज़ी	ə ŋ ɡ ɾ eː z iː
अंग्रेज़ो	ə ŋ ɡ ɾ eː d͡ʒ oː
अंग्रेज़ो	ə ŋ ɡ ɾ eː z oː
अंग्रेज़ों	ə ŋ ɡ ɾ eː d͡ʒ õː
अंग्रेज़ों	ə ŋ ɡ ɾ eː z õː
अंग्रेजी	ə ŋ ɡ ɾ eː d͡ʒ iː
अंग्रेजी	ə ŋ ɡ ɾ eː z iː
अंग्रेजो	ə ŋ ɡ ɾ eː d͡ʒ oː
अंग्रेजो	ə ŋ ɡ ɾ eː z oː
अंग्रेजों	ə ŋ ɡ ɾ eː d͡ʒ õː
अंग्रेजों	ə ŋ ɡ ɾ eː z õː
अंचल	ə n t͡ʃ ə l
अंछर	ə n t͡ʃʰ ə ɾ
अंजन	ə n d͡ʒ ə n
अंजाम	ə n d͡ʒ ɑː m
अंजीर	ə n d͡ʒ iː ɾ
अंजु	ə n d͡ʒ uː
अंटार्कटिका	ə ɳ ʈ ɑː ɾ k ʈ ɪ k ɑː
अंटार्टिका	ə ɳ ʈ ɑː ɾ ʈ ɪ k ɑː
अंडकोष	ə ɳ ɖ k oː ʂ
अंडमान	ə ɳ ɖ ə m ɑː n
अंडा	ə ɳ ɖ ɑː
अंडोरा	ə ɳ ɖ oː ɾ ɑː
अंत	ə n t̪
अंतःक्षेप	ə n t̪ ə ɦ k ʂ eː p
अंतःपुर	ə n t̪ ə ɦ p ʊ ɾ
अंतड़ी	ə n t̪ ɽ iː
अंततः	ə n t̪ ə t̪ ə ɦ
अंतम	ə n t̪ ə m
अंतर	ə n t̪ ə ɾ
अंतरंगता	ə n t̪ ə ɾ ə ŋ ɡ t̪ ɑː
अंतरजाल	ə n t̪ ə ɾ d͡ʒ ɑː l
अंतरण	ə n t̪ ɾ ə ɳ
अंतरराष्ट्रीय	ə n t̪ ə ɾ ɾ ɑː ʂ ʈ ɾ iː jᵊ
अंतरराष्ट्रीयता	ə n t̪ ə ɾ ɾ ɑː ʂ ʈ ɾ iː j t̪ ɑː
अंतरा	ə n t̪ ə ɾ ɑː
अंतरा	ə n t̪ ɾ ɑː
अंतराल	ə n t̪ ə ɾ ɑː l
अंतरिक्ष	ə n t̪ ə ɾ ɪ k ʂ
अंतरिक्ष	ə n t̪ ɾ ɪ k ʂ
अंतरिम	ə n t̪ ɾ ɪ m
अंतर्कालीन	ə n t̪ ə ɾ k ɑː l iː n
अंतर्गत	ə n t̪ ə ɾ ɡ ə t̪
अंतर्जातीय	ə n t̪ ə ɾ d͡ʒ ɑː t̪ iː jᵊ
अंतर्जाल	ə n t̪ ə ɾ d͡ʒ ɑː l
अंतर्देशीय	ə n t̪ ə ɾ d̪ eː ʃ iː jᵊ
अंतर्धान	ə n t̪ ə ɾ d̪ʱ ɑː n
अंतर्निहित	ə n t̪ ə ɾ n ɪ ɦ ɪ t̪
अंतर्भूमि	ə n t̪ ə ɾ bʱ uː m iː
अंतर्भौम	ə n t̪ ə ɾ bʱ ɔː m
अंतर्राष्ट्रीय	ə n t̪ ə ɾ ɾ ɑː ʂ ʈ ɾ iː jᵊ
अंतर्वासी	ə n t̪ ə ɾ ʋ ɑː s iː
अंताक्षरी	ə n t̪ ɑː k ʂ ə ɾ iː
अंतिम	ə n t̪ ɪ m
अंतीम	ə n t̪ iː m
अंत्यलक	ə n t̪ j ə l ə k
अंत्येष्टि	ə n t̪ j eː ʂ ʈ iː
अंत्र	ə n t̪ ɾᵊ
अंदर	ə n d̪ ə ɾ
अंदरुनी	ə n d̪ ə ɾ ʊ n iː
अंदलुस	ə n d̪ l ʊ s
अंदाज	ə n d̪ ɑː d͡ʒ
अंदाज	ə n d̪ ɑː z
अंदाज़	ə n d̪ ɑː d͡ʒ
अंदाज़	ə n d̪ ɑː z
अंदाज़ा	ə n d̪ ɑː d͡ʒ ɑː
अंदाज़ा	ə n d̪ ɑː z ɑː
अंदेशा	ə n d̪ eː ʃ ɑː
अंधकार	ə n d̪ʱ k ɑː ɾ
अंधड़	ə n d̪ʱ ə ɽ
अंधभक्त	ə n d̪ʱ bʱ ə k t̪
अंधविश्वास	ə n d̪ʱ ʋ ɪ ʃ ʋ ɑː s
अंधा	ə n d̪ʱ ɑː
अंधाधुंध	ə n d̪ʱ ɑː d̪ʱ ʊ n d̪ʱ
अंधापन	ə n d̪ʱ ɑː p ə n
अंधियारा	ə n d̪ʱ ɪ j ɑː ɾ ɑː
अंधेर	ə n d̪ʱ eː ɾ
अंधेरा	ə n d̪ʱ eː ɾ ɑː
अंबर	ə m b ə ɾ
अंबा	ə m b ɑː
अंबु	ə m b uː
अंबुपति	ə m b ʊ p t̪ iː
अंश	ə n ʃ
अंशकालिक	ə n ʃ k ɑː l ɪ k
अंशतः	ə n ʃ t̪ ə ɦ
अंशुक	ə n ʃ ʊ k
अंशुल	ə n ʃ ʊ l
अः	ə ɦ
अऊत	ə uː t̪
अए	ə eː
अक	ə k
अकड़	ə k ə ɽ
अकड़न	ə k ɽ ə n
अकड़ना	ə k ə ɽ n ɑː
अकथ	ə k ə t̪ʰ
अकथनीय	ə k ə t̪ʰ n iː jᵊ
अकथित	ə k ə t̪ʰ ɪ t̪
अकथ्य	ə k ə t̪ʰ jᵊ
अकन्या	ə k ə n j ɑː
अकर्म	ə k ə ɾ m
अकर्मक	ə k ə ɾ m ə k
अकर्मण्यता	ə k ə ɾ m ə ɳ j ə t̪ ɑː
अकस्मात्	ə k ə s m ɑː t̪
अक़्ल	ə k lᵊ
अक़्ल	ə k ə l
अक़्ल	ə q lᵊ
अक़्ल	ə q ə l
अक़्लमंद	ə k lᵊ m ə n d̪
अक़्लमंद	ə k ə l m ə n d̪
अक़्लमंद	ə q lᵊ m ə n d̪
अक़्लमंद	ə q ə l m ə n d̪
अकाज	ə k ɑː d͡ʒ
अकादमिक	ə k ɑː d̪ m ɪ k
अकादमी	ə k ɑː d̪ m iː
अकार	ə k ɑː ɾ
अकारण	ə k ɑː ɾ ə ɳ
अकारथ	ə k ɑː ɾ ə t̪ʰ
अकार्बनिक	ə k ɑː ɾ b ə n ɪ k
अकाल	ə k ɑː l
अकूत	ə k uː t̪
अकेला	ə k eː l ɑː
अकेलापन	ə k eː l ɑː p ə n
अकेली	ə k eː l iː
अकेले	ə k eː l eː
अक्कद	ə k k ə d̪
अक्कदी	ə k k ə d̪ iː
अक्काद	ə k k ɑː d̪
अक्कादी	ə k k ɑː d̪ iː
अक्कास	ə k k ɑː s
अक्कासी	ə k k ɑː s iː
अक्खड़	ə k kʰ ə ɽ
अक्खा	ə k kʰ ɑː
अक्टूबर	ə k ʈ uː b ə ɾ
अक्तूबर	ə k t̪ uː b ə ɾ
अक्लमंद	ə k lᵊ m ə n d̪
अक्लमंद	ə k ə l m ə n d̪
अक्लमंद	ə q lᵊ m ə n d̪
अक्लमंद	ə q ə l m ə n d̪
अक्लान्त	ə k l ɑː n t̪
अक्ष	ə k ʂ
अक्षत	ə k ʂ ə t̪
अक्षम	ə k ʂ ə m
अक्षम्य	ə k ʂ ə m jᵊ
अक्षय	ə k ʃ ə j
अक्षय	ə k ʃ ɛ
अक्षर	ə k ʂ ə ɾ
अक्षरारंभ	ə k ʂ ə ɾ ɑː ɾ ə m bʱ
अक्षांश	ə k ʂ ɑː n ʃ
अक्षुण्ण	ə k ʂ ʊ ɳ ɳ
अक्षुण्णता	ə k ʂ ʊ ɳ ɳ ə t̪ ɑː
अक्षुण्णताएँ	ə k ʂ ʊ ɳ ɳ ə t̪ ɑː ẽː
अक्षुण्णताओ	ə k ʂ ʊ ɳ ɳ ə t̪ ɑː oː
अक्षुण्णताओं	ə k ʂ ʊ ɳ ɳ ə t̪ ɑː õː
अक्स	ə k s
अक्सर	ə k s ə ɾ
अखंड	ə kʰ ə ɳ ɖ
अखंडता	ə kʰ ə ɳ ɖ t̪ ɑː
अखज	ə kʰ ə d͡ʒ
अखबार	ə kʰ b ɑː ɾ
अखबार	ə x b ɑː ɾ
अखबारो	ə kʰ b ɑː ɾ oː
अखबारो	ə x b ɑː ɾ oː
अखबारों	ə kʰ b ɑː ɾ õː
अखबारों	ə x b ɑː ɾ õː
अखरना	ə kʰ ə ɾ n ɑː
अखरोट	ə kʰ ɾ oː ʈ
अखरोट	ə x ɾ oː ʈ
अखरोटी	ə kʰ ɾ oː ʈ iː
अख़बार	ə kʰ b ɑː ɾ
अख़बार	ə x b ɑː ɾ
अख़बारवाला	ə kʰ b ɑː ɾ ʋ ɑː l ɑː
अख़बारवाला	ə x b ɑː ɾ ʋ ɑː l ɑː
अख़बारो	ə kʰ b ɑː ɾ oː
अख़बारो	ə x b ɑː ɾ oː
अख़बारों	ə kʰ b ɑː ɾ õː
अख़बारों	ə x b ɑː ɾ õː
अख़रोट	ə kʰ ɾ oː ʈ
अख़रोट	ə x ɾ oː ʈ
अख़्ज़र	ə kʰ d͡ʒ ə ɾ
अख़्ज़र	ə x z ə ɾ
अखाड़ा	ə kʰ ɑː ɽ ɑː
अखिल	ə kʰ ɪ l
अखिलेश	ə kʰ ɪ l eː ʃ
अगणित	ə ɡ ə ɳ ɪ t̪
अगर	ə ɡ ə ɾ
अगरचे	ə ɡ ə ɾ t͡ʃ eː
अगरतला	ə ɡ ə ɾ t̪ ə l ɑː
अगरबत्तियाँ	ə ɡ ə ɾ b ə t̪ t̪ ɪ j ɑ̃ː
अगरबत्तियो	ə ɡ ə ɾ b ə t̪ t̪ ɪ j oː
अगरबत्तियों	ə ɡ ə ɾ b ə t̪ t̪ ɪ j õː
अगरबत्ती	ə ɡ ə ɾ b ə t̪ t̪ iː
अगला	ə ɡ l ɑː
अगले	ə ɡ l eː
अगवाड़ा	ə ɡ ʋ ɑː ɽ ɑː
अगवाड़े	ə ɡ ʋ ɑː ɽ eː
अगवाड़ों	ə ɡ ʋ ɑː ɽ õː
अगवानी	ə ɡ ʋ ɑː n iː
अगस्त	ə ɡ ə s t̪
अगाऊ	ə ɡ ɑː uː
अगिन	ə ɡ ɪ n
अगुआ	ə ɡ ʊ ɑː
अग्नि	ə ɡ n iː
अग्निपरीक्षा	ə ɡ n ɪ p ə ɾ iː k ʂ ɑː
अग्निशस्त्र	ə ɡ n ɪ ʃ ə s t̪ ɾᵊ
अग्निशामक	ə ɡ n ɪ ʃ ɑː m ə k
अग्न्याशय	ə ɡ n j ɑː ʃ ə j
अग्रज	ə ɡ ɾ ə d͡ʒ
अग्रवाल	ə ɡ ɾᵊ ʋ ɑː l
अग्रहायण	ə ɡ ɾ ə ɦ ɑː j ə ɳ
अग्रिम	ə ɡ ɾ ɪ m
अग्रिमता	ə ɡ ɾ ɪ m t̪ ɑː
अघुलनशील	ə ɡʱ ʊ l ə n ʃ iː l
अघुलनशीलता	ə ɡʱ ʊ l ə n ʃ iː l t̪ ɑː
अचंभा	ə t͡ʃ ə m bʱ ɑː
अचंभित	ə t͡ʃ ə m bʱ ɪ t̪
अचकन	ə t͡ʃ k ə n
अचर	ə t͡ʃ ə ɾ
अचरज	ə t͡ʃ ɾ ə d͡ʒ
अचल	ə t͡ʃ ə l
अचानक	ə t͡ʃ ɑː n ə k
अचार	ə t͡ʃ ɑː ɾ
अचूक	ə t͡ʃ uː k
अचेत	ə t͡ʃ eː t̪
अच्छा	ə t̪ t͡ʃʰ ɑː
अच्छाई	ə t̪ t͡ʃʰ ɑː iː
अच्छापन	ə t̪ t͡ʃʰ ɑː p ə n
अछना	ə t͡ʃʰ n ɑː
अछूत	ə t͡ʃʰ uː t̪
अछूता	ə t͡ʃʰ uː t̪ ɑː
अजगर	ə d͡ʒ ɡ ə ɾ
अजगरी	ə d͡ʒ ɡ ə ɾ iː
अजनबियत	ə d͡ʒ n ə b ɪ j ə t̪
अजनबियों	ə d͡ʒ n ə b ɪ j õː
अजनबी	ə d͡ʒ n ə b iː
अजब	ə d͡ʒ ə b
अजमेर	ə d͡ʒ m eː ɾ
अजमोद	ə d͡ʒ m oː d̪
अजय	ə d͡ʒ ə j
अजवाइन	ə d͡ʒ ʋ ɑː ɪ n
अज़दहा	ə d͡ʒ d̪ ə ɦ ɑː
अज़दहा	ə z d̪ ə ɦ ɑː
अज़रबैजान	ə d͡ʒ ə ɾ b ɛː d͡ʒ ɑː n
अज़रबैजान	ə z ə ɾ b ɛː d͡ʒ ɑː n
अज़ान	ə d͡ʒ ɑː n
अज़ान	ə z ɑː n
अज़ाब	ə d͡ʒ ɑː b
अज़ाब	ə z ɑː b
अज़ीज़	ə d͡ʒ iː d͡ʒ
अज़ीज़	ə z iː z
अज़ीम	ə d͡ʒ iː m
अज़ीम	ə z iː m
अजाइब	ə d͡ʒ ɑː ɪ b
अजागरूकता	ə d͡ʒ ɑː ɡ ɾ uː k t̪ ɑː
अजान	ə d͡ʒ ɑː n
अजायबघर	ə d͡ʒ ɑː j ə b ɡʱ ə ɾ
अजिल्द	ə d͡ʒ ɪ l d̪
अजी	ə d͡ʒ iː
अजीब	ə d͡ʒ iː b
अजीर्ण	ə d͡ʒ iː ɾ ɳ
अजूबा	ə d͡ʒ uː b ɑː
अजूबे	ə d͡ʒ uː b eː
अजूबो	ə d͡ʒ uː b oː
अजूबों	ə d͡ʒ uː b õː
अजेंडा	ə d͡ʒ eː ɳ ɖ ɑː
अज्ञ	ə ɡ jᵊ
अज्ञात	ə ɡ j ɑː t̪
अज्ञानपन	ə ɡ j ɑː n p ə n
अज्ञेय	ə ɡ j eː j
अज्ञेयवाद	ə ɡ j eː j ʋ ɑː d̪
अज्ञेयवादी	ə ɡ j eː j ʋ ɑː d̪ iː
अझ़ंग	ə z ə ŋ ɡ
अझ़ंग	ə ʒ ə ŋ ɡ
अझ़दहा	ə z ə d̪ʱ ɑː
अझ़दहा	ə ʒ ə d̪ʱ ɑː
अझ़्दा	ə z d̪ ɑː
अझ़्दा	ə ʒ d̪ ɑː
अटक	ə ʈ ə k
अटककर	ə ʈ ə k k ə ɾ
अटकके	ə ʈ ə k k eː
अटकता	ə ʈ ə k t̪ ɑː
अटकती	ə ʈ ə k t̪ iː
अटकतीं	ə ʈ ə k t̪ ĩː
अटकते	ə ʈ ə k t̪ eː
अटकना	ə ʈ ə k n ɑː
अटकनी	ə ʈ ə k n iː
अटकनीं	ə ʈ ə k n ĩː
अटकने	ə ʈ ə k n eː
अटकनेवाला	ə ʈ ə k n eː ʋ ɑː l ɑː
अटकनेवाली	ə ʈ ə k n eː ʋ ɑː l iː
अटकनेवालीं	ə ʈ ə k n eː ʋ ɑː l ĩː
अटकनेवाले	ə ʈ ə k n eː ʋ ɑː l eː
अटकल	ə ʈ k ə l
अटकलपच्चू	ə ʈ k ə l p ə t̪ t͡ʃ uː
अटका	ə ʈ k ɑː
अटकाऊँ	ə ʈ k ɑː ũː
अटकाऊँगा	ə ʈ k ɑː uː ŋ ɡ ɑː
अटकाऊँगी	ə ʈ k ɑː uː ŋ ɡ iː
अटकाओ	ə ʈ k ɑː oː
अटकाओगे	ə ʈ k ɑː oː ɡ eː
अटकाता	ə ʈ k ɑː t̪ ɑː
अटकाती	ə ʈ k ɑː t̪ iː
अटकातीं	ə ʈ k ɑː t̪ ĩː
अटकाना	ə ʈ k ɑː n ɑː
अटकाया	ə ʈ k ɑː j ɑː
अटकायी	ə ʈ k ɑː j iː
अटकाव	ə ʈ k ɑː ʋ
अटकिये	ə ʈ k ɪ j eː
अटकियेगा	ə ʈ k ɪ j eː ɡ ɑː
अटकी	ə ʈ k iː
अटकीं	ə ʈ k ĩː
अटकूँ	ə ʈ k ũː
अटकूँगा	ə ʈ k uː ŋ ɡ ɑː
अटकूँगी	ə ʈ k uː ŋ ɡ iː
अटके	ə ʈ k eː
अटकें	ə ʈ k ẽː
अटकेंगी	ə ʈ k eː ŋ ɡ iː
अटकेंगे	ə ʈ k eː ŋ ɡ eː
अटकेगा	ə ʈ k eː ɡ ɑː
अटकेगी	ə ʈ k eː ɡ iː
अटको	ə ʈ k oː
अटकोगी	ə ʈ k oː ɡ iː
अटकोगे	ə ʈ k oː ɡ eː
अटपटा	ə ʈ p ə ʈ ɑː
अटल	ə ʈ ə l
अटविक	ə ʈ ʋ ɪ k
अटारी	ə ʈ ɑː ɾ iː
अटीकाकृत	ə ʈ iː k ɑː k ɾ ɪ t̪
अटूट	ə ʈ uː ʈ
अटैची	ə ʈ ɛː t͡ʃ iː
अट्टालिका	ə ʈ ʈ ɑː l ɪ k ɑː
अट्ठा	ə ʈ ʈʰ ɑː
अट्ठाईस	ə ʈ ʈʰ ɑː iː s
अट्ठानवे	ə ʈ ʈʰ ɑː n ʋ eː
अट्ठावन	ə ʈ ʈʰ ɑː ʋ ə n
अट्ठासी	ə ʈ ʈʰ ɑː s iː
अठन्नियाँ	ə ʈʰ ə n n ɪ j ɑ̃ː
अठन्नियो	ə ʈʰ ə n n ɪ j oː
अठन्नियों	ə ʈʰ ə n n ɪ j õː
अठन्नी	ə ʈʰ ə n n iː
अठपहिया	ə ʈʰ p ə iː j ɑː
अठपहिया	ə ʈʰ p ə ɦ ɪ j ɑː
अठहत्तर	ə ʈʰ ɦ ə t̪ t̪ ə ɾ
अठारह	ə ʈʰ ɑː ɾ ə ɦ
अड़	ə ɽ
अड़ंगा	ə ɽ ə ŋ ɡ ɑː
अड़ंगे	ə ɽ ə ŋ ɡ eː
अड़ंगो	ə ɽ ə ŋ ɡ oː
अड़ंगों	ə ɽ ə ŋ ɡ õː
अड़कर	ə ɽ k ə ɾ
अड़के	ə ɽ k eː
अड़चन	ə ɽ t͡ʃ ə n
अड़चनो	ə ɽ t͡ʃ ə n oː
अड़चनों	ə ɽ t͡ʃ ə n õː
अड़ता	ə ɽ t̪ ɑː
अड़तालीस	ə ɽ t̪ ɑː l iː s
अड़ती	ə ɽ t̪ iː
अड़तीं	ə ɽ t̪ ĩː
अड़तीस	ə ɽ t̪ iː s
अड़ते	ə ɽ t̪ eː
अड़ना	ə ɽ n ɑː
अड़ने	ə ɽ n eː
अड़सठ	ə ɽ s ə ʈʰ
अड़ा	ə ɽ ɑː
अड़ाऊँगा	ə ɽ ɑː uː ŋ ɡ ɑː
अड़ाना	ə ɽ ɑː n ɑː
अड़ायेगा	ə ɽ ɑː j eː ɡ ɑː
अड़ायेगी	ə ɽ ɑː j eː ɡ iː
अड़ियल	ə ɽ ɪ j ə l
अड़ी	ə ɽ iː
अड़ीं	ə ɽ ĩː
अड़ूँ	ə ɽ ũː
अड़ूँगा	ə ɽ uː ŋ ɡ ɑː
अड़ूँगी	ə ɽ uː ŋ ɡ iː
अड़े	ə ɽ eː
अड़ें	ə ɽ ẽː
अड़ेंगी	ə ɽ eː ŋ ɡ iː
अड़ेंगे	ə ɽ eː ŋ ɡ eː
अड़ेगा	ə ɽ eː ɡ ɑː
अड़ेगी	ə ɽ eː ɡ iː
अड़ो	ə ɽ oː
अड़ोगी	ə ɽ oː ɡ iː
अड़ोगे	ə ɽ oː ɡ eː
अडिग	ə ɖ ɪ ɡ
अडोल	ə ɖ oː l
अड्डा	ə ɖ ɖ ɑː
अणु	ə ɳ uː
अण्डा	ə ɳ ɖ ɑː
अतः	ə t̪ ə ɦ
अतएव	ə t̪ ə eː ʋ
अतएव	ə t̪ ə eː ʋ ə
अतम	ə t̪ ə m
अतलस	ə t̪ l ə s
अताई	ə t̪ ɑː iː
अति	ə t̪ iː
अतिकाल	ə t̪ ɪ k ɑː l
अतिथि	ə t̪ ɪ t̪ʰ iː
अतिपरवलय	ə t̪ ɪ p ɾ ə ʋ l ə j
अतिपरवलयज	ə t̪ ɪ p ɾ ə ʋ ə l j ə d͡ʒ
अतिरिक्त	ə t̪ ɪ ɾ ɪ k t̪
अतिवाद	ə t̪ ɪ ʋ ɑː d̪
अतिवादी	ə t̪ ɪ ʋ ɑː d̪ iː
अतिशय	ə t̪ ɪ ʃ ə j
अतिशयोक्ति	ə t̪ ɪ ʃ j oː k t̪ iː
अतिशयोक्तियो	ə t̪ ɪ ʃ j oː k t̪ ɪ j oː
अतिशयोक्तियों	ə t̪ ɪ ʃ j oː k t̪ ɪ j õː
अतिसंवेदनशील	ə t̪ ɪ s ə m ʋ eː d̪ ə n ʃ iː l
अतिसार	ə t̪ ɪ s ɑː ɾ
अतीत	ə t̪ iː t̪
अतुलित	ə t̪ ʊ l ɪ t̪
अतुल्य	ə t̪ ʊ l jᵊ
अतैराक	ə t̪ ɛː ɾ ɑː k
अतैराकों	ə t̪ ɛː ɾ ɑː k õː
अत्तार	ə t̪ t̪ ɑː ɾ
अत्तारी	ə t̪ t̪ ɑː ɾ iː
अत्फ़ाल	ə t̪ f ɑː l
अत्फ़ाल	ə t̪ pʰ ɑː l
अत्यंत	ə t̪ j ə n t̪
अत्यधिक	ə t̪ j ə d̪ʱ ɪ k
अत्यन्त	ə t̪ j ə n t̪
अत्याचार	ə t̪ j ɑː t͡ʃ ɑː ɾ
अत्याचारी	ə t̪ j ɑː t͡ʃ ɑː ɾ iː
अत्यावश्यक	ə t̪ j ɑː ʋ ə ʃ j ə k
अत्युत्तम	ə t̪ j ʊ t̪ t̪ ə m
अथक	ə t̪ʰ ə k
अथवा	ə t̪ʰ ʋ ɑː
अथाई	ə t̪ʰ ɑː iː
अथाह	ə t̪ʰ ɑː ɦ
अदब	ə d̪ ə b
अदरक	ə d̪ ɾ ə k
अदहन	ə d̪ ɦ ə n
अदा	ə d̪ ɑː
अदाएँ	ə d̪ ɑː ẽː
अदाओ	ə d̪ ɑː oː
अदाओं	ə d̪ ɑː õː
अदाकार	ə d̪ ɑː k ɑː ɾ
अदाकारा	ə d̪ ɑː k ɑː ɾ ɑː
अदालत	ə d̪ ɑː l ə t̪
अदालती	ə d̪ ɑː l ə t̪ iː
अदालतें	ə d̪ ɑː l ə t̪ ẽː
अदालतो	ə d̪ ɑː l ə t̪ oː
अदालतों	ə d̪ ɑː l ə t̪ õː
अदावत	ə d̪ ɑː ʋ ə t̪
अदिश	ə d̪ ɪ ʃ
अदृश्य	ə d̪ ɾ ɪ ʃ jᵊ
अद्भुत	ə d̪ bʱ ʊ t̪
अद्य	ə d̪ jᵊ
अद्यतन	ə d̪ j ə t̪ ə n
अद्यापि	ə d̪ j ɑː p iː
अद्यैव	ə d̪ j ɛː ʋ
अद्वैत	ə d̪ ʋ ɛː t̪
अधजल	ə d̪ʱ d͡ʒ ə l
अधर्म	ə d̪ʱ ə ɾ m
अधश्चेतक	ə d̪ʱ ə ʃ t͡ʃ eː t̪ ə k
अधिक	ə d̪ʱ ɪ k
अधिकतम	ə d̪ʱ ɪ k t̪ ə m
अधिकता	ə d̪ʱ ɪ k t̪ ɑː
अधिकरण	ə d̪ʱ ɪ k ə ɾ ə ɳ
अधिकांश	ə d̪ʱ ɪ k ɑː n ʃ
अधिकार	ə d̪ʱ ɪ k ɑː ɾ
अधिकारिणी	ə d̪ʱ ɪ k ɑː ɾ ɪ ɳ iː
अधिकारिता	ə d̪ʱ ɪ k ɑː ɾ ɪ t̪ ɑː
अधिकारियो	ə d̪ʱ ɪ k ɑː ɾ ɪ j oː
अधिकारियों	ə d̪ʱ ɪ k ɑː ɾ ɪ j õː
अधिकारी	ə d̪ʱ ɪ k ɑː ɾ iː
अधिकारो	ə d̪ʱ ɪ k ɑː ɾ oː
अधिकारों	ə d̪ʱ ɪ k ɑː ɾ õː
अधिकृत	ə d̪ʱ ɪ k ɾ ɪ t̪
अधिनायक	ə d̪ʱ ɪ n ɑː j ə k
अधिनियम	ə d̪ʱ ɪ n ɪ j ə m
