ஃ	ɐ hᵄ
அங்கம்	ɐ ŋ ɡ ɐ m
அங்கயற்கண்ணி	ɐ ŋ ɡ ɐ j ɐ r k ɐ ɳː i
அங்காடி	ɐ ŋ ɡ aː ɖ i
அங்காலே	ɐ ŋ ɡ aː l eː
அங்கிட்டு	ɐ ŋ ɡ i ʈː u
அங்கு	ɐ ŋ ɡ u
அங்குத்தை	ɐ ŋ ɡ u t̪ː a ɪ̯
அங்குலி	ɐ ŋ ɡ u l i
அங்கூசம்	ɐ ŋ ɡ uː t͡ɕ ɐ m
அங்கே	ɐ ŋ ɡ eː
அங்கோடிங்கோடு	ɐ ŋ ɡ oː ɖ i ŋ ɡ oː ɖ u
அங்ஙனம்	ɐ ŋː ɐ n ɐ m
அசர்	ɐ t͡ɕ ɐ ɾ
அசர்த்து	ɐ t͡ɕ ɐ ɾ t̪ː u
அசாம்	ɐ t͡ɕ aː m
அசிங்கம்	ɐ t͡ɕ i ŋ ɡ ɐ m
அசும்பு	ɐ t͡ɕ u m b u
அசை	ɐ t͡ɕ a ɪ̯
அசைவம்	ɐ t͡ɕ a ɪ̯ ʋ ɐ m
அச்சன்	ɐ t͡ɕː ɐ n
அச்சம்	ɐ t͡ɕː ɐ m
அச்சி	ɐ t͡ɕː i
அச்சு	ɐ t͡ɕː u
அச்சுவினி	ɐ t͡ɕː u ʋ i n i
அஜினோமோட்டோ	ɐ d͡ʑ i n oː m oː ʈː oː
அஞ்சலகம்	ɐ ɲ d͡ʑ ɐ l ɐ ɡ ɐ m
அஞ்சல்	ɐ ɲ d͡ʑ ɐ l
அஞ்சு	ɐ ɲ d͡ʑ u
அஞ்ஞானம்	ɐ ɲː aː n ɐ m
அஞ்ஞை	ɐ ɲː a ɪ̯
அடக்கு	ɐ ɖ ɐ kː u
அடங்கு	ɐ ɖ ɐ ŋ ɡ u
அடங்குதல்	ɐ ɖ ɐ ŋ ɡ u d̪ ɐ l
அடர்த்தி	ɐ ɖ ɐ ɾ t̪ː i
அடவி	ɐ ɖ ɐ ʋ i
அடி	ɐ ɖ i
அடிகேயா	ɐ ɖ i ɡ eː j aː
அடிக்கடி	ɐ ɖ i kː ɐ ɖ i
அடிக்கொருக்கால்	ɐ ɖ i kː o ɾ u kː aː l
அடிக்கோடு	ɐ ɖ i kː oː ɖ u
அடித்தட்டு	ɐ ɖ i t̪ː ɐ ʈː u
அடித்தளம்	ɐ ɖ i t̪ː ɐ ɭ ɐ m
அடிநிலை	ɐ ɖ i n̪ i l a ɪ̯
அடிபந்தாட்டம்	ʔ a ɖ i p a n̪ d̪ aː ʈː a m
அடிப்பகுதி	ɐ ɖ i pː ɐ ɡ u d̪ i
அடிப்பாகம்	ɐ ɖ i pː aː ɡ ɐ m
அடிப்பொளி	ɐ ɖ i pː o ɭ i
அடிமுடி	ɐ ɖ i m u ɖ i
அடிமை	ɐ ɖ i m a ɪ̯
அடுத்த	ɐ ɖ u t̪ː ɐ
அடுத்து	ɐ ɖ u t̪ː u
அடுப்பு	ɐ ɖ u pː u
அடுமனை	ɐ ɖ u m ɐ n a ɪ̯
அடுமனைகள்	ɐ ɖ u m ɐ n a ɪ̯ ɡ ɐ ɭ
அடை	ɐ ɖ a ɪ̯
அடைக்கலக்குருவி	ɐ ɖ a ɪ̯ kː ɐ l ɐ kː u ɾ u ʋ i
அடைக்கலம்	ɐ ɖ a ɪ̯ kː ɐ l ɐ m
அடைக்காய்	ɐ ɖ a ɪ̯ kː aː j
அடைச்சு	ɐ ɖ a ɪ̯ t͡ɕː u
அடைந்தோர்	ɐ ɖ a ɪ̯ n̪ d̪ oː ɾ
அடைப்பு	ɐ ɖ a ɪ̯ pː u
அடைய	ɐ ɖ a ɪ̯ j ɐ
அடையாளம்	ɐ ɖ a ɪ̯ j aː ɭ ɐ m
அட்சரம்	ɐ ʈ t͡ɕ ɐ ɾ ɐ m
அட்டம்	ɐ ʈː ɐ m
அட்டவண்ணைத்திருக்கை	ɐ ʈː ɐ ʋ ɐ ɳː a ɪ̯ t̪ː i ɾ u kː a ɪ̯
அட்டை	ɐ ʈː a ɪ̯
அணங்கம்	ɐ ɳ ɐ ŋ ɡ ɐ m
அணங்கு	ɐ ɳ ɐ ŋ ɡ u
அணங்குகள்	ɐ ɳ ɐ ŋ ɡ u ɡ ɐ ɭ
அணாவு	ɐ ɳ aː ʋ u
அணி	ɐ ɳ i
அணிகம்	ɐ ɳ i ɡ ɐ m
அணிச்சல்	ɐ ɳ i t͡ɕː ɐ l
அணிந்துரை	ɐ ɳ i n̪ d̪ u ɾ a ɪ̯
அணிமை	ɐ ɳ i m a ɪ̯
அணியம்	ɐ ɳ i j ɐ m
அணில்	ɐ ɳ i l
அணிவகு	ɐ ɳ i ʋ ɐ ɡ u
அணு	ɐ ɳ u
அணுகு	ɐ ɳ u ɡ u
அணுக்கன்	ɐ ɳ u kː ɐ n
அணுக்கம்	ɐ ɳ u kː ɐ m
அணுதரிசினி	ɐ ɳ u d̪ ɐ ɾ i t͡ɕ i n i
அணை	ɐ ɳ a ɪ̯
அணைக்கட்டு	ɐ ɳ a ɪ̯ kː ɐ ʈː u
அண்டசராசரம்	ɐ ɳ ɖ ɐ t͡ɕ ɐ ɾ aː t͡ɕ ɐ ɾ ɐ m
அண்டம்	ɐ ɳ ɖ ɐ m
அண்டை	ɐ ɳ ɖ a ɪ̯
அண்டையர்	ɐ ɳ ɖ a ɪ̯ j ɐ ɾ
அண்ணன்	ɐ ɳː ɐ n
அண்ணா	ɐ ɳː aː
அண்ணி	ɐ ɳː i
அண்மை	ɐ ɳ m a ɪ̯
அதனால்	ɐ d̪ ɐ n aː l
அதர்	ɐ d̪ ɐ ɾ
அதான்	ɐ d̪ aː n
அதிகமாய்	ɐ d̪ i h ə m ɛː
அதிகமாய்	ɐ d̪ i ɡ ɐ m aː j
அதிகம்	ɐ d̪ i ɡ ɐ m
அதிகரி	ɐ d̪ i ɡ ɐ ɾ i
அதிகாரம்	ɐ d̪ i ɡ aː ɾ ɐ m
அதிகாரி	ɐ d̪ i ɡ aː ɾ i
அதிக்கிரமம்	ɐ d̪ i kː i ɾ ɐ m ɐ m
அதிட்டம்	ɐ d̪ i ʈː ɐ m
அதிதூதன்	ɐ d̪ i d̪ uː d̪ ɐ n
அதிமதுரம்	ɐ d̪ i m ɐ d̪ u ɾ ɐ m
அதிரசம்	ɐ d̪ i ɾ ɐ t͡ɕ ɐ m
அதிருப்தி	ɐ d̪ i ɾ u p t̪ i
அதிர்ச்சி	ɐ d̪ i ɾ t͡ɕː i
அதிர்ஷ்டம்	ɐ d̪ i ɾ ʂ ʈ ɐ m
அதிவிடை	ɐ d̪ i ʋ i ɖ a ɪ̯
அது	ɐ d̪ u
அதோள்	ɐ d̪ oː ɭ
அத்தனை	ɐ t̪ː ɐ n a ɪ̯
அத்தாயம்	ɐ t̪ː aː j ɐ m
அத்தி	ɐ t̪ː i
அத்தியாபகன்	ɐ t̪ː i j aː b ɐ ɡ ɐ n
அத்தியாயங்கள்	ɐ t̪ː i j aː j ɐ ŋ ɡ ɐ ɭ
அத்தியாயம்	ɐ t̪ː i j aː j ɐ m
அத்தை	ɐ t̪ː a ɪ̯
அத்தோ	ɐ t̪ː oː
அந்த	ɐ n̪ d̪ ɐ
அந்தண்டை	ɐ n̪ d̪ ɐ ɳ ɖ a ɪ̯
அந்தந்த	ɐ n̪ d̪ ɐ n̪ d̪ ɐ
அந்தரீயம்	ɐ n̪ d̪ ɐ ɾ iː j ɐ m
அந்நின்று	ɐ n̪ː i n r u
அந்நியபாஷை	ɐ n̪ː i j ɐ b aː ʂ a ɪ̯
அந்நிலை	ɐ n̪ː i l a ɪ̯
அனாவசியம்	ɐ n aː ʋ ɐ t͡ɕ i j ɐ m
அனுபவம்	ɐ n u b ɐ ʋ ɐ m
அனுப்பு	ɐ n u pː u
அனுமதி	ɐ n u m ɐ d̪ i
அனுமன்	ɐ n u m ɐ n
அனை	ɐ n a ɪ̯
அனைத்து	ɐ n a ɪ̯ t̪ː u
அனைய	ɐ n a ɪ̯ j ɐ
அனைவரும்	ɐ n a ɪ̯ ʋ ɐ ɾ u m
அன்னணம்	ɐ nː ɐ ɳ ɐ m
அன்னம்	ɐ nː ɐ m
அன்னவூர்தி	ɐ nː ɐ ʋ uː ɾ d̪ i
அன்னை	ɐ nː a ɪ̯
அன்பளிப்பு	ɐ n b ɐ ɭ i pː u
அன்பு	ɐ n b u
அன்மொழித்தொகை	ɐ n m o ɻ i t̪ː o ɡ a ɪ̯
அன்றியில்	ɐ n r i j i l
அன்றியும்	ɐ n r i j u m
அன்றில்	ɐ n r i l
அன்று	ɐ n r u
அபராதம்	ɐ b ɐ ɾ aː d̪ ɐ m
அபர்யாப்தகம்	ɐ b ɐ ɾ j aː p t̪ ɐ ɡ ɐ m
அபாமார்க்கம்	ɐ b aː m aː ɾ kː ɐ m
அபாயம்	ɐ b aː j ɐ m
அபாரம்	ɐ b aː ɾ ɐ m
அபாலீர்ப்பு	a p aː l iː ɾ pː u
அபிமானம்	ɐ b i m aː n ɐ m
அபிவிருத்தி	ɐ b i ʋ i ɾ u t̪ː i
அபிஷேகம்	ɐ b i ʂ eː ɡ ɐ m
அப்படி	ɐ pː ɐ ɖ i
அப்பன்	ɐ pː ɐ n
அப்பம்	ɐ pː ɐ m
அப்பா	ɐ pː aː
அப்பால்	ɐ pː aː l
அப்புறம்	ɐ pː u r ɐ m
அப்பொழுது	ɐ pː o ɻ u d̪ u
அமரம்	ɐ m ɐ ɾ ɐ m
அமர்	ɐ m ɐ ɾ
அமானுஷ்யம்	ɐ m aː n u ʂ j ɐ m
அமிர்தம்	ɐ m i ɾ d̪ ɐ m
அமிலம்	ɐ m i l ɐ m
அமுக்கு	ɐ m u kː u
அமுதம்	ɐ m u d̪ ɐ m
அமெரிக்கா	ɐ m e ɾ i kː aː
அமை	ɐ m a ɪ̯
அமைச்சன்	ɐ m a ɪ̯ t͡ɕː ɐ n
அமைச்சர்	ɐ m a ɪ̯ t͡ɕː ɐ ɾ
அமைச்சு	ɐ m a ɪ̯ t͡ɕː u
அமைதி	ɐ m a ɪ̯ d̪ i
அமையம்	ɐ m a ɪ̯ j ɐ m
அம்பட்டன்	ɐ m b ɐ ʈː ɐ n
அம்பரம்	ɐ m b ɐ ɾ ɐ m
அம்பர்	ɐ m b ɐ ɾ
அம்பலகாரன்	ɐ m b ɐ l ɐ ɡ aː ɾ ɐ n
அம்பாரி	ɐ m b aː ɾ i
அம்பு	ɐ m b u
அம்மன்	ɐ mː ɐ n
அம்மா	ɐ mː aː
அம்மான்	ɐ mː aː n
அம்மாய்	ɐ mː aː j
அம்மாள்	ɐ mː aː ɭ
அம்மி	ɐ mː i
அம்மை	ɐ mː a ɪ̯
அயனமண்டலம்	ɐ j ɐ n ɐ m ɐ ɳ ɖ ɐ l ɐ m
அயனம்	ɐ j ɐ n ɐ m
அயர்	ɐ j ɐ ɾ
அயர்ச்சி	ɐ j ɐ ɾ t͡ɕː i
அயலான்	ɐ j ɐ l aː n
அயல்	ɐ j ɐ l
அயிங்கிசை	ɐ j i ŋ ɡ i t͡ɕ a ɪ̯
அயோத்தி	ɐ j oː t̪ː i
அய்யா	ɐ jː aː
அரக்கன்	ɐ ɾ ɐ kː ɐ n
அரக்கி	ɐ ɾ ɐ kː i
அரக்கு	ɐ ɾ ɐ kː u
அரங்கம்	ɐ ɾ ɐ ŋ ɡ ɐ m
அரசன்	ɐ ɾ ɐ t͡ɕ ɐ n
அரசமரபு	ɐ ɾ ɐ t͡ɕ ɐ m ɐ ɾ ɐ b u
அரசவை	ɐ ɾ ɐ t͡ɕ ɐ ʋ a ɪ̯
அரசாங்கம்	ɐ ɾ ɐ t͡ɕ aː ŋ ɡ ɐ m
அரசி	ɐ ɾ ɐ t͡ɕ i
அரசியல்	ɐ ɾ ɐ t͡ɕ i j ɐ l
அரசியும்	ɐ ɾ ɐ t͡ɕ i j u m
அரசு	ɐ ɾ ɐ t͡ɕ u
அரண்	ɐ ɾ ɐ ɳ
அரண்மனை	ɐ ɾ ɐ ɳ m ɐ n a ɪ̯
அரத்தை	ɐ ɾ ɐ t̪ː a ɪ̯
அரளி	ɐ ɾ ɐ ɭ i
அரவம்	ɐ ɾ ɐ ʋ ɐ m
அரவிந்தம்	ɐ ɾ ɐ ʋ i n̪ d̪ ɐ m
அராவாரம்	ɐ ɾ aː ʋ aː ɾ ɐ m
அரி	ɐ ɾ i
அரிசி	ɐ ɾ i t͡ɕ i
அரிச்சுவடி	ɐ ɾ i t͡ɕː u ʋ ɐ ɖ i
அரிமா	ɐ ɾ i m aː
அரியணை	ɐ ɾ i j ɐ ɳ a ɪ̯
அரியலூர்	ɐ ɾ i j ɐ l uː ɾ
அரியானா	ɐ ɾ i j aː n aː
அரிவாள்	ɐ ɾ i ʋ aː ɭ
அரிவாள்மணை	ɐ ɾ i ʋ aː ɭ m ɐ ɳ a ɪ̯
அருகதிகம்	ɐ ɾ u ɡ ɐ d̪ i ɡ ɐ m
அருகலை	ɐ ɾ u ɡ ɐ l a ɪ̯
அருகல்	ɐ ɾ u ɡ ɐ l
அருகு	ɐ ɾ u ɡ u
அருக்கன்	ɐ ɾ u kː ɐ n
அருக்கன்வீதி	ɐ ɾ u kː ɐ n ʋ iː d̪ i
அருங்காட்சியகம்	ɐ ɾ u ŋ ɡ aː ʈ t͡ɕ i j ɐ ɡ ɐ m
அருஞ்சொற்பொருள்	ɐ ɾ u ɲ d͡ʑ o r p o ɾ u ɭ
அருந்து	ɐ ɾ u n̪ d̪ u
அருப்பம்	ɐ ɾ u pː ɐ m
அருமை	ɐ ɾ u m a ɪ̯
அருளுரை	ɐ ɾ u ɭ u ɾ a ɪ̯
அருளுரைகள்	ɐ ɾ u ɭ u ɾ a ɪ̯ ɡ ɐ ɭ
அருள்	ɐ ɾ u ɭ
அருள்மிகு	ɐ ɾ u ɭ m i ɡ u
அருள்வாக்கு	ɐ ɾ u ɭ ʋ aː kː u
அருவி	ɐ ɾ u ʋ i
அரை	ɐ ɾ a ɪ̯
அரைகல்	ɐ ɾ a ɪ̯ ɡ ɐ l
அரைக்கச்சு	ɐ ɾ a ɪ̯ kː ɐ t͡ɕː u
அரைநெல்லி	ɐ ɾ a ɪ̯ n̪ e l l i
அர்க்கார்	ɐ ɾ kː aː ɾ
அர்ச்சிதன்	ɐ ɾ t͡ɕː i d̪ ɐ n
அர்ஜுனன்	ɐ ɾ d͡ʑ u n ɐ n
அர்ப்பணம்	ɐ ɾ pː ɐ ɳ ɐ m
அறக்கட்டளை	ɐ r ɐ kː ɐ ʈː ɐ ɭ a ɪ̯
அறம்	ɐ r ɐ m
அறி	ɐ r i
அறிகுறி	ɐ r i ɡ u r i
அறிக்கைபண்ணு	ɐ r i kː a ɪ̯ b ɐ ɳː u
அறிக்கைப்பத்திரம்	ɐ r i kː a ɪ̯ pː ɐ t̪ː i ɾ ɐ m
அறிஞர்	ɐ r i ɲ ɐ ɾ
அறிப்பு	ɐ r i pː u
அறிவாய்வியல்	ɐ r i ʋ aː j ʋ i j ɐ l
அறிவி	ɐ r i ʋ i
அறிவிப்பு	ɐ r i ʋ i pː u
அறிவியல்	ɐ r i ʋ i j ɐ l
அறிவு	ɐ r i ʋ u
அறு	ɐ r u
அறுகம்புல்	ɐ r u ɡ ɐ m b u l
அறுகு	ɐ r u ɡ u
அறுகோணம்	ɐ r u ɡ oː ɳ ɐ m
அறுதி	ɐ r u d̪ i
அறுநூறு	ɐ r u n̪ uː r u
அறுபது	ɐ r u b ɐ d̪ u
அறுப்பு	ɐ r u pː u
அறுவடை	ɐ r u ʋ ɐ ɖ a ɪ̯
அறை	ɐ r a ɪ̯
அற்பகதம்	ɐ r p ɐ ɡ ɐ d̪ ɐ m
அற்புதம்	ɐ r p u d̪ ɐ m
அலகு	ɐ l ɐ ɡ u
அலங்கரணம்	ɐ l ɐ ŋ ɡ ɐ ɾ ɐ ɳ ɐ m
அலங்கரி	ɐ l ɐ ŋ ɡ ɐ ɾ i
அலங்காரமாடம்	ɐ l ɐ ŋ ɡ aː ɾ ɐ m aː ɖ ɐ m
அலங்காரம்	ɐ l ɐ ŋ ɡ aː ɾ ɐ m
அலமாரி	ɐ l ɐ m aː ɾ i
அலம்பு	ɐ l ɐ m b u
அலர்த்தி	ɐ l ɐ ɾ t̪ː i
அலறு	ɐ l ɐ r u
அலாதி	ɐ l aː d̪ i
அலாஸ்கா	ɐ l aː s k aː
அலுப்பு	ɐ l u pː u
அலுவம்	ɐ l u ʋ ɐ m
அலுவலகம்	ɐ l u ʋ ɐ l ɐ ɡ ɐ m
அலுவல்	ɐ l u ʋ ɐ l
அலை	ɐ l a ɪ̯
அலைதாடி	ɐ l a ɪ̯ d̪ aː ɖ i
அலைப்பு	ɐ l a ɪ̯ pː u
அலைப்பேசி	ɐ l a ɪ̯ pː eː t͡ɕ i
அல்	ɐ l
அல்ல	ɐ l l ɐ
அல்லது	ɐ l l ɐ d̪ u
அல்லதை	ɐ l l ɐ d̪ a ɪ̯
அல்லறம்	ɐ l l ɐ r ɐ m
அல்லல்	ɐ l l ɐ l
அல்லேலூயா	ɐ l l eː l uː j aː
அள	ɐ ɭ ɐ
அளம்	ɐ ɭ ɐ m
அளவர்	ɐ ɭ ɐ ʋ ɐ ɾ
அளவில்	ɐ ɭ ɐ ʋ i l
அளவு	ɐ ɭ ɐ ʋ u
அளவுகோல்	ɐ ɭ ɐ ʋ u ɡ oː l
அளவை	ɐ ɭ ɐ ʋ a ɪ̯
அளி	ɐ ɭ i
அளேரியம்	ɐ ɭ eː ɾ i j ɐ m
அள்ளு	ɐ ɭː u
அழகன்	ɐ ɻ ɐ ɡ ɐ n
அழகு	ɐ ɻ ɐ ɡ u
அழி	ɐ ɻ i
அழிஞ்சில்	ɐ ɻ i ɲ d͡ʑ i l
அழிபு	ɐ ɻ i b u
அழிப்பு	ɐ ɻ i pː u
அழிவாய்	ɐ ɻ i ʋ aː j
அழிவு	ɐ ɻ i ʋ u
அழு	ɐ ɻ u
அழுத்தம்	ɐ ɻ u t̪ː ɐ m
அழுத்து	ɐ ɻ u t̪ː u
அழை	ɐ ɻ a ɪ̯
அழைப்பு	ɐ ɻ a ɪ̯ pː u
அவகாசம்	ɐ ʋ ɐ ɡ aː t͡ɕ ɐ m
அவசியம்	ɐ ʋ ɐ t͡ɕ i j ɐ m
அவண்	ɐ ʋ ɐ ɳ
அவதாரம்	ɐ ʋ ɐ d̪ aː ɾ ɐ m
அவதி	ɐ ʋ ɐ d̪ i
அவதூறு	ɐ ʋ ɐ d̪ uː r u
அவன்	ɐ ʋ ɐ n
அவமதிப்பு	ɐ ʋ ɐ m ɐ d̪ i pː u
அவமானம்	ɐ ʋ ɐ m aː n ɐ m
அவரை	ɐ ʋ ɐ ɾ a ɪ̯
அவரோகணம்	ɐ ʋ ɐ ɾ oː ɡ ɐ ɳ ɐ m
அவர்	ɐ ʋ ɐ ɾ
அவர்கள்	ɐ ʋ ɐ ɾ ɡ ɐ ɭ
அவல்	ɐ ʋ ɐ l
அவள்	ɐ ʋ ɐ ɭ
அவா	ɐ ʋ aː
அவாந்தரம்	ɐ ʋ aː n̪ d̪ ɐ ɾ ɐ m
அவி	ɐ ʋ i
அவித்துருமம்	ɐ ʋ i t̪ː u ɾ u m ɐ m
அவிழ்	ɐ ʋ i ɻ
அவுரி	ɐ ʋ u ɾ i
அவுஸ்திரேலியா	ɐ ʋ u s t̪ i ɾ eː l i j aː
அவை	ɐ ʋ a ɪ̯
அவ்	ɐ ʋ
அவ்வண்ணம்	ɐ ʋː ɐ ɳː ɐ m
அவ்வது	ɐ ʋː ɐ d̪ u
அவ்வருகு	ɐ ʋː ɐ ɾ u ɡ u
அவ்வழி	ɐ ʋː ɐ ɻ i
அவ்வாறு	ɐ ʋː aː r u
அவ்விடம்	ɐ ʋː i ɖ ɐ m
அவ்வோ	ɐ ʋː oː
அவ்வோன்	ɐ ʋː oː n
அஸ்தமனம்	ɐ s t̪ ɐ m ɐ n ɐ m
அஸ்தி	ɐ s t̪ i
அஹம்	ɐ h ɐ m
ஆ	aː
ஆகடியம்	aː ɡ ɐ ɖ i j ɐ m
ஆகஸ்டு	aː ɡ ɐ s ʈ u
ஆகாசம்	aː ɡ aː t͡ɕ ɐ m
ஆகாதே	aː ɡ aː d̪ eː
ஆகாயதந்தம்	aː ɡ aː j ɐ d̪ ɐ n̪ d̪ ɐ m
ஆகு	aː ɡ u
ஆகுபெயர்	ʔ aː ɡ u p e j a ɾ̪
ஆகைச்சுட்டி	aː ɡ a ɪ̯ t͡ɕː u ʈː i
ஆகையால்	aː ɡ a ɪ̯ j aː l
ஆக்கன்	aː kː ɐ n
ஆக்கம்	aː kː ɐ m
ஆக்கவினை	aː kː ɐ ʋ i n a ɪ̯
ஆக்கினை	aː kː i n a ɪ̯
ஆக்கு	aː kː u
ஆக்ஸிஜன்	aː k s i d͡ʑ ɐ n
ஆங்க	aː ŋ ɡ ɐ
ஆங்கண்	aː ŋ ɡ ɐ ɳ
ஆங்கனம்	aː ŋ ɡ ɐ n ɐ m
ஆங்கிலம்	aː ŋ ɡ i l ɐ m
ஆங்கு	aː ŋ ɡ u
ஆங்ஙனம்	aː ŋː ɐ n ɐ m
ஆசயம்	aː t͡ɕ ɐ j ɐ m
ஆசற	aː t͡ɕ ɐ r ɐ
ஆசான்	aː t͡ɕ aː n
ஆசினி	aː t͡ɕ i n i
ஆசியா	aː t͡ɕ i j aː
ஆசிரியர்	aː t͡ɕ i ɾ i j ɐ ɾ
ஆசிருந்தம்	aː t͡ɕ i ɾ u n̪ d̪ ɐ m
ஆசீர்வசனம்	aː t͡ɕ iː ɾ ʋ ɐ t͡ɕ ɐ n ɐ m
ஆசீர்வதி	aː t͡ɕ iː ɾ ʋ ɐ d̪ i
ஆசை	aː t͡ɕ a ɪ̯
ஆச்ச	aː t͡ɕː ɐ
ஆச்சரியம்	aː t͡ɕː ɐ ɾ i j ɐ m
ஆடம்பரம்	aː ɖ ɐ m b ɐ ɾ ɐ m
ஆடல்	aː ɖ ɐ l
ஆடவை	aː ɖ ɐ ʋ a ɪ̯
ஆடாதோடை	aː ɖ aː d̪ oː ɖ a ɪ̯
ஆடி	aː ɖ i
ஆடிக்காற்று	aː ɖ i kː aː rː u
ஆடு	aː ɖ u
ஆடுமாடு	aː ɖ u m aː ɖ u
ஆடை	aː ɖ a ɪ̯
ஆட்சி	aː ʈ t͡ɕ i
ஆட்சை	aː ʈ t͡ɕ a ɪ̯
ஆட்டன்	aː ʈː ɐ n
ஆட்டம்	aː ʈː ɐ m
ஆட்டி	aː ʈː i
ஆட்டு	aː ʈː u
ஆட்டுக்கல்	aː ʈː u kː ɐ l
ஆட்டுப்பால்	aː ʈː u pː aː l
ஆணவம்	aː ɳ ɐ ʋ ɐ m
ஆணி	aː ɳ i
ஆணிமுத்து	aː ɳ i m u t̪ː u
ஆணிவேர்	aː ɳ i ʋ eː ɾ
ஆணை	aː ɳ a ɪ̯
ஆணையம்	aː ɳ a ɪ̯ j ɐ m
ஆணையிடு	aː ɳ a ɪ̯ j i ɖ u
ஆண்	aː ɳ
ஆண்கள்	aː ɳ ɡ ɐ ɭ
ஆண்குறி	aː ɳ ɡ u r i
ஆண்டவன்	aː ɳ ɖ ɐ ʋ ɐ n
ஆண்டான்	aː ɳ ɖ aː n
ஆண்டு	aː ɳ ɖ u
ஆண்டுகள்ளடவு	aː ɳ ɖ u ɡ ɐ ɭː ɐ ɖ ɐ ʋ u
ஆண்பால்	aː ɳ b aː l
ஆண்மை	aː ɳ m a ɪ̯
ஆதாம்	aː d̪ aː m
ஆதாயம்	aː d̪ aː j ɐ m
ஆதாரம்	aː d̪ aː ɾ ɐ m
ஆதி	aː d̪ i
ஆதியாகமம்	aː d̪ i j aː ɡ ɐ m ɐ m
ஆந்தை	aː n̪ d̪ a ɪ̯
ஆனால்	aː n aː l
ஆனி	aː n i
ஆனை	aː n a ɪ̯
ஆனைக்கொம்பு	aː n a ɪ̯ kː o m b u
ஆன்மீகம்	aː n m iː ɡ ɐ m
