Aude	a w d e
auca	a w k o
aucèl	a w s ɛ l
aurelha	a w ɾ e ʎ o
australian	a w s t ɾ a l j a
auton	a w t u
autor	a w t u
autora	a w t u ɾ o
avelana	a β e l a n o
avelanièr	a β e l a n j ɛ
babi	b a β i
badau	b a ð a w
bagatge	b a ɣ a d͡ʒ e
banh	b a ɲ
benvengut	b e m b e ŋ ɡ y t
beutat	b e u̯ t a
beç	b e s
bibliotecari	b i β l j u t e k a ɾ i
bolon	b u l u
bolon	b u l ũᵑ
bolons	b u l u s
botanica	b u t a n i k o
branca	b ɾ a ŋ k o
braç	b ɾ a s
breçar	b ɾ e s a
bèll	b ɛ l l
bèstia	b ɛ s t j o
bèstias	b ɛ s t j o s
cabriolar	k a β ɾ j u l a
cagaraula	k a ɣ a r a w l o
cagaròl	k a ɡ a ɾ ɔ l
caissal	k a j s a w
caissau	k a j s a w
calfar	k a l f a
calfar	k a u̯ h a
calfar	k aʷ f a
calfar	s ɔʷ f a
calfar	t s o f ɑ
calfar	t ʃ ɔʷ f a
cambiar	k a m b j a
camin	k a m i
can	k a
can	k ã ŋ
canha	k a ɲ a
canha	k a ɲ o
cantaire	k a n t a j ɾ e
cantar	k a n t a
capèl	k a p ɛ l
capèu	k a p ɛ w
casse	k a s e
castèl	k a s t ɛ l
castèu	k a s t ɛ w
caud	k a u̯
caud	k a u̯ t
caud	t ʃ a u̯ t
caudièra	k a u̯ ð j ɛ ɾ o
caudièra	t ʃ oʷ d j e ɾ ɔ
caudièra	ʃ ɔʷ d j ɛ i̯ ʁ ɔ
caulet	k a w l e t
causa	k a w z o
caval	k a β a l
caval	k a β a t ʃ
caval	k a β a ʎ
caval	t s a v o
caval	t ʃ a v ɑʷ
caval	ʃ i β a u̯
cavala	k a β a l o
cavilha	k a β i ʎ o
caçar	k a s a
ceba	s e β o
cerièra	s e ɾ j ɛ ɾ o
chata	t ʃ a t o
chicho	t ʃ i t ʃ u
coide	k u j ð e
corean	k u ɾ e a
cosina	k u z i n ɔ
cotèl	k u t e u̯
cotèl	k u t ɛ l
coïna	k u i n a
coïna	k u i n ɔ
coïna	k u i̯ n a
coïna	k u i̯ n ɔ
coïna	k w i n ɔ
crompaira	k r u m p a j ɾ o
crompaire	k r u m p a j ɾ e
crompar	k r u m p a
cèl	s ɛ l
cèl	s ɛ u̯
cèl	ʃ j aʷ
cèl	ʃ j ɑʷ
cò	k ɔ
còire	k ɔ j r e
còrb	k ɔ ɾ p
còs	k ɔ s
còu	k ɔ w
damatge	d a m a t ʒ e
davant	d a v ã ŋ
defòra	d e f u a
defòra	d e f w ɔ r ɔ
defòra	d e f w ɔ ɾ ɔ
degun	d e ɡ y
degun	d e ɡ ỹᵑ
degun	d y ɡ y
degun	d y ɡ ỹᵑ
destruccion	d e s t ɾ y t͡s i w
destruccion	d e s t ɾ y t͡s j u
destruccion	d e s t ʁ y s j ũᵑ
destruccion	d e s t ʁ y s j ẽᵑ
dijòus	d i d ʒ ɔ w s
dijòus	d i ʒ ɔ w s
diluns	d i l y s
diluns	d i l ỹ
diluns	d i l ỹ ŋ
dimars	d i m a r s
dissabte	d i s a t t e
distància	d i s t a n s i
distància	d i s t a n s j o̞
dit	d i t
divendres	d i v ɛ̃ n d ʀ e
divendres	d i β e n d r e s
dolor	d u l u
dotze	d u z e
eissugar	e j s y ɣ a
elefant	e l e f a n
elefant	e l e f a n t
eruga	e r y ɣ o
erugas	e r y ɣ o s
escala	e s k a l a
escala	e s k a l ɔ
eschala	e s t ʃ a l ɔ
eschala	i ʃ a l ɔ
esgarron	e i̯ ɡ a ʀ ũ ŋ
esgarron	e z ɡ a r u
esgarron	e z ɡ a ʀ ũ ŋ
esgarron	z ɡ a ʀ ã
espatla	e s p a l l o
estornèl	e s t u r n ɛ l
exsudar	e t͡s y ð a
falcon	f a l k u
falcon	f ɔ u̯ k ũ ŋ
familha	f a m i ʎ ɒ
felicitacion	f e l i s i t a s j u
felicitacion	f e l i s i t a s j u n
felicitat	f e l i s i t a t
femna	f e n n ɒ
fenèstra	f e n ɛ s t r o
fil	f i l
fil	f i u̯
fil	f j aʷ
fil	f j ɑʷ
fil	h i u̯
fiu	f i w
formiga	f u r m i ɣ o
fraire	f r a j r e
frais	f r a j s
fraisse	f r a j s e
francés	f ʀ ã ŋ s e
francés	f ʀ ã ŋ s e s
frema	f r e m o
fuèlha	f œ j a
fèr	f ɛ r
fèrre	f ɛ r r e
fòra	f u a
fòra	f u ɹ a
fòra	f w a ʀ a
fòra	f w ɔ r ɔ
fòra	f w ɔ ə
fòra	f w ɔ ɹ a
gal	d ʒ a l
gal	ɡ a l
gal	ɡ a u̯
galina	ɡ a l i n o
garganta	ɡ a r ɡ a n t o
garir	ɡ a r i
gat	ɡ a t
genolh	d ʒ e n u l
genolh	ʒ e n u l
ginolh	d ʒ i n u i̯
ginolh	d ʒ i n u l
ginolh	d ʒ i u i̯
gos	ɡ u s
guerrejar	ɡ e r e d ʒ a
guerrejar	ɡ e r e ʒ a
guèine	ɡ ɛ j n e
hemna	e n n o
hemna	h e n n o
hèr	h ɛ r
ieu	j e u̯
ieu	j e w
ieu	j i u̯
ieu	j u
ivèrn	i v ɛ ʀ
ivèrn	i β ɛ r
ivèrn	i β ɛ r n
ivèrn	i β ɛ ʁ n
ièr	i ɹ
ièr	j ɛ
ièr	j ɛ r
ièr	j ɛ ɹ
ièr	j ɛ ʀ
jamai	d ʒ a m a i̯
jardin	d ʒ a r d i
jardin	ʒ a r d i
jogar	d͡ʒ u ɡ a
lac	l a k
lac	l a k e
lach	l a t͡ʃ
laissar	l a j s a
laissar	l a j ʃ a
laissar	l e j s a
lausa	l a u̯ z a
laüt	l a y t
libre	l i β ɾ e
liech	l j e
literari	l i t e ɾ a ɾ i
lièch	j ɛ t͡ʃ
lièch	l j ɛ t͡ʃ
lièch	l j ɛ t͡ʃ e
lo	l u
lop	l u p
lua	l y a
lua	l y o
luec	l j ɛ k
luna	l y n o
lusir	l y z i
luènh	l œ̃ᵑ
làmia	l a m j o
lèbre	l ɛ β ɾ e
lèit	l ɛ j t
macarèl	m a k a ʁ ɛ l
maire	m a j ɾ e
mairina	m a j ɾ i n o
maitot	m a j t u t
malaisit	m a l a j z i t
man	m a
mandolina	m a n d u l i n ɔ
mandra	m a n d ɾ o
marcejada	m a r s e d ʒ a ð o
marcejada	m a r s e ʒ a ð o
maridatge	m a r i ð a d ʒ e
marrit	m a ʀ i
marrit	m a ʀ i t e
masatge	m a z a d ʒ e
massar	m a s s a r
matematic	m a t e m a t i k
mestierau	m e s t j ɛ r a w
meteis	m e t e j s
microscòpi	m i k r u s k ɔ p i
milh	m i l
milhòc	m i ʎ ɔ k
mina	m i n ɔ
mirga	m i r ɣ o
mièg	m j ɛ t ʃ
miègjorn	m j e d͡ʒ u
mobilizar	m u b i l i z a
monin	m u n i
mosca	m u s k a
mosca	m u s k ɔ
moscha	m u s t ʃ ɔ
moscha	m w ɔ i̯ ʃ ɔ
mura	m u r o
mèlsa	m ɛ l s o
mòstra	m w a s t ʀ a
navegar	n a β e ɣ a
nis	n i s
nuèch	n ɥ ɛ t ʃ
nuèchola	n œ t ʃ u l a
nuèchola	n œ t ʃ u ɹ a
nuèchola	n ɥ ɛ t ʃ u l ɔ
nèbia	n ɛ β j o
nèbla	n ɛ β l o
nèblas	n ɛ β l o s
nèu	n ɛ w
occitan	ɔ u̯ s i t ã
occitan	ɔ u̯ s i t ã ŋ
octobre	ɔ u̯ t u b ʀ e
octòbre	u t t ɔ β ɾ e
octòbre	ɔ t ɔ b r e
octòbre	ɔ u̯ t u b ʀ e
ongla	u ŋ ɡ l o
ora	u r o
pagar	p a ɣ a
paire	p a j ɾ e
pairin	p a j ɾ i
pairòl	p a i̯ ɾ ɔ l
pairòl	p e i̯ d ɔʷ
palmon	p a l m u
pantèra	p a n t ɛ ɾ o
paor	p a u
paor	p a u ɹ
paradís	p a ɾ a ð i s
parièr	p a j ɛ
parièr	p a r j ɛ r
parièr	p a ʀ j ɛ
patz	p a t s
paur	p oː
paur	p ɔ r
paur	p ɔ u̯
paur	p ɔ u̯ r
paur	p ɔ u̯ ɹ
país	p a i
país	p a i s
país	p a i̯ s
país	p ɛ i̯ s
pebre	p e β r e
pegaurelha	p e ɡ a ʊ ɾ e ʎ ɒ
pera	p e ɾ o
pereu	p e ɾ e w
perfièch	p e r f j ɛ t ʃ
pintar	p i n t a
pluèia	p l y j ɔ
pluèia	p l œ j a
pluèia	p l ɛ j ɔ
pluèia	p l ɥ œ j a
pluèia	p l ɥ ɛ j ɔ
pluèia	t ʃ œ j a
pluèja	p l ɥ ɛ d ʒ o
pluèja	p l ɥ ɛ ʒ o
poder	p u d e
policièr	p u l i s j ɛ
polit	p u l i t
politic	p u l i t i k
polícia	p u l i s j ɒ
poma	p u m ɒ
ponh	p u n
prima	p r i m ɒ
prima	p ʁ i m ɒ
profecia	p r u f e s i o
pròpi	p ʁ ɔ p i
punh	p y n
pè	p ɛ
pèl	p ɛ l
pòrta	p ɔ r t o
qualqu'un	k ɑ o k y
qualqu'un	k ɔ u̯ k ỹ
qualqu'un	k ɔ u̯ k ỹ ŋ
quiet	k j e t
rabàs	r a β a s
rainal	r a j n a l
rambalh	r a m b a l
rambalh	ʁ a m b a l
ratapenada	r a t o p e n a ð o
ratuga	r a t y ɣ o
rauba	ʀ ɔ u̯ b a
respuòsta	r e s p w ɔ s t ɔ
respuòsta	ʀ e s p w a s t a
resson	r e s u
riba	r i β o
riu	r r i w
roge	r u d͡ʒ e
roge	ʁ u d͡ʒ e
rompre	r u m p ɾ e
rompre	ʁ u m p ʁ e
rosada	r u z a ð ɔ̝
rossinhòl	r u s i ɲ ɔ l
ròsa	r ɔ z o
ròtle	r ɔ t l e
sabla	s a β l o
sanha	s a ɲ o
sason	s a z u
sauma	s a w m o
sedaç	s e ð a s
sentiment	s e n t i m e n
sentimentalitat	s e n t i m e n t a l i t a t
singlar	s i ŋ ɡ l a
siás	s j ɛ s
siáu	s j e u̯
sièm	s j ɛ̃ᵑ
siètz	s j ɛ s
social	s u s j a l
son	s ũᵑ
straa	s t r a o
suve	s y v e
sènso	s ɛ n s o
sòrre	s ɔ r e
tais	t a j s
tanben	t a b e
tard	t a r t
taula	t a w l o
taupa	t a w p o
temperatura	t e m p e ɾ a t y ɾ o
teulat	t e w l a t
tigre	t i ɡ ʀ e
tochar	t u t ʃ a r
totjorn	t u d ʒ u
totjorn	t u d ʒ u r n
totplen	t u p j ẽ ŋ
totplen	t u p l ẽ ŋ
traite	t r a i t e
tramontana	t r a m u n t a n ɔ
tramontana	t ʀ a m ũ n t a n a
trauc	t r a w k
traïdor	t r a i ð u
tresaur	t r e s a w r
trobador	t r u β a ð u
trovar	t ʀ u v a
ulhauç	y ʎ a w s
uman	y m a
uman	y m ãᵑ
umilitat	y m i l i t a
umilitat	y m i l i t a t
ungla	y ŋ ɡ l o
ussa	y s o
utilizaire	y t i l i z a j r e
utilizaires	y t i l i z a j r e s
utilizar	y t i l i z a
uòu	ɥ ɔ u̯
vendeire	b e n d e j ɾ e
vergonha	b e r ɣ u ɲ o
viatge	b i a d ʒ e
viatge	v j a d ʒ e
viatjaire	b i a d ʒ a j r e
viatjaire	v j a d ʒ a i̯ ʀ e
vida	v i d a
vilatge	b i l a d ʒ e
vin	v i
vinha	b i ɲ o
vocala	v u k a l a
voltor	b u l t u
votz	v u s
voutor	v a w t u r
vulcanologia	b y l k a n u l u d ʒ i o
vulcanologia	b y l k a n u l u ʒ i o
vuèch	v œ t͡ʃ
vuèch	v ɥ ɛ t͡ʃ
Àustria	a w s t r j o
ària	a r j o
èga	ɛ ɣ o
èrba	ɛ r β o
èstre	ɛ s t
èstre	ɛ s t ʀ e
èstre	ɛ t ʁ ə
òc	o
òc	ɔ
òme	ɔ m e
òs	ɔ s
