ꦄ	a
ꦏꦼꦫꦤ	k ə r ɔ n ɔ
ꦏꦼꦭꦏꦺꦴꦤ꧀	k ə l a k ɔ n
ꦏꦼꦮꦸ	k ə w u
ꦏꦽꦠ	k r ə t ɔ
ꦏꦽꦱ꧀ꦤ	k r ə s n ɔ
ꦏꦿꦗꦤ꧀	k r a d͡ʒ a n
ꦏꦿꦠꦺꦴꦤ꧀	k r a t ɔ n
ꦏꦿꦤ	k r ɔ n ɔ
ꦏꦿꦩ	k r a m a
ꦏꦿꦩ	k r ɔ m ɔ
ꦏꦿꦮꦸ	k r a w u
ꦏꦿꦶꦝ	k r i ɖ ɔ
ꦏꦿꦺꦠ	k r e t ɔ
ꦏꦿꦺꦠ	k r ɛ t a ʔ
ꦏꦿꦺꦠꦺꦏ꧀	k r ɛ t ɛ k
ꦏꦿꦺꦴꦠꦺꦴ	k r o t o
ꦏꦿꦺꦴꦠꦺꦴ	k r o t o ʔ
ꦏ꧀ꦭꦩ꧀ꦧꦶ	k l a m b i
ꦏ꧀ꦭꦮꦸ	k l a w u
ꦒꦁꦱ	ɡ ɔ ŋ s ɔ
ꦒꦂꦮ	ɡ a r w ɔ
ꦒꦒꦁ	ɡ a ɡ a ŋ
ꦒꦒꦱ꧀	ɡ a ɡ a s
ꦒꦤ꧀ꦝꦺꦏ꧀	ɡ a n ɖ ɛ ʔ
ꦒꦤ꧀ꦠꦶ	ɡ a n t i
ꦒꦧꦃ	ɡ a b a h
ꦒꦩꦼꦭꦤ꧀	ɡ a m ə l a n
ꦒꦩ꧀ꦥꦁ	ɡ a m p a ŋ
ꦒꦫꦶꦱꦤ꧀	ɡ a r i s a n
ꦒꦭꦸꦃ	ɡ a l u h
ꦒꦮ	ɡ ɔ w ɔ
ꦒꦸꦤ	ɡ u n ɔ
ꦒꦸꦭ	ɡ u l ɔ
ꦒꦸꦮ	ɡ u w ɔ
ꦒꦼꦣꦺꦴꦁ	ɡ ə ɖ ɔ ŋ
ꦒꦼꦤ꧀ꦝꦶꦱ꧀	ɡ ə n ɖ ɪ s
ꦒꦼꦫꦃ	ɡ ə r a h
ꦒꦼꦫꦶꦁ	ɡ ə r i ŋ
ꦒꦼꦭ	ɡ ə l ɔ
ꦒꦼꦭꦂ	ɡ ə l a r
ꦒꦼꦭꦸꦠ꧀	ɡ ə l ʊ t
ꦔꦥ	ŋ ɔ p ɔ
ꦔꦥꦏ꧀	ŋ a p a k
ꦔꦧꦺꦲꦶ	ŋ a b ɛ h i
ꦔꦽꦱ꧀ꦩꦺꦏꦏꦺ	ŋ r ə s m ɛ k a k e
ꦕꦏꦿ	t͡ʃ ɔ k r ɔ
ꦕꦒꦂ	t͡ʃ a ɡ a r
ꦕꦝꦁ	t͡ʃ a ɖ a ŋ
ꦕꦝꦔꦤ꧀	t͡ʃ a ɖ a ŋ a n
ꦕꦠꦸ	t͡ʃ a t u
ꦕꦤ꧀ꦝꦶ	t͡ʃ aː n dʰ iː
ꦕꦧꦂ	t͡ʃ a b a r
ꦕꦧꦺ	t͡ʃ a b e
ꦕꦩꦫ	t͡ʃ a m ɔ r ɔ
ꦕꦫ	t͡ʃ ɔ r ɔ
ꦕꦫꦤ	t͡ʃ a r a n a
ꦕꦶꦠꦿ	t͡ʃ i t r ɔ
ꦕꦸꦏꦏ꧀	t͡ʃ u k a ʔ
ꦕꦸꦠ	t͡ʃ u t a
ꦕꦸꦥꦸ	t͡ʃ u p u
ꦕꦸꦫꦶꦒ	t͡ʃ u r i ɡ ɔ
ꦕꦺꦴꦏꦏ꧀	t͡ʃ o k a ʔ
ꦕꦺꦴꦏꦺꦴꦠ꧀	t͡ʃ ɔ k ɔ t
ꦕꦺꦴꦫꦺꦴ	t͡ʃ o r o
ꦕꦼꦛ	t͡ʃ ə ʈ ɔ
ꦕꦼꦝꦏ꧀	t͡ʃ ə ɖ a k
ꦕꦼꦩꦤꦶ	t͡ʃ ə m a n i
ꦕꦼꦩꦫ	t͡ʃ ə m ɔ r ɔ
ꦕꦼꦩꦼꦔꦚ꧀	t ʃ ə m ə ŋ a n
ꦕꦼꦩꦼꦛꦶ	t͡ʃ ə m ə ʈ i
ꦕꦿꦶꦠ	t͡ʃ r i t ɔ
ꦗꦏ꧀ꦱ	d͡ʒ a k s ɔ
ꦗꦒꦧꦪ	d͡ʒ a ɡ ɔ b ɔ j ɔ
ꦗꦒꦭ꧀	d͡ʒ a ɡ a l
ꦗꦒꦺꦴ	d͡ʒ a ɡ o
ꦗꦠꦶ	d͡ʒ a t i
ꦗꦤ꧀ꦠꦸꦁ	j a n t ʊ ŋ
ꦗꦩꦸ	d͡ʒ a m u
ꦗꦩ꧀ꦧꦸ	j a m b u
ꦗꦩ꧀ꦧꦸ	j a m b u ʔ
ꦗꦩ꧀ꦧꦸ	j ɔ m b u
ꦗꦪ	d͡ʒ ɔ j ɔ
ꦗꦭ	d͡ʒ ɔ l ɔ
ꦗꦭꦸ	d͡ʒ a l u
ꦗꦮ	d ʒ a w a ʔ
ꦗꦮ	d ʒ ɔ w ɔ
ꦗꦮꦶ	d͡ʒ a w i
ꦗꦶꦮ	d͡ʒ i w ɔ
ꦗꦸꦏꦸꦠ꧀	d͡ʒ u k u t
ꦗꦸꦝꦶ	d͡ʒ u ɖ i
ꦗꦸꦫꦶꦠ꧀	d͡ʒ u r ɪ t
ꦗꦸꦫꦸꦃ	d͡ʒ u r u h
ꦗꦼꦤꦼꦁ	d͡ʒ ə n ə ŋ
ꦗꦼꦧꦸꦭꦺ	d͡ʒ ə b u l e
ꦚꦥ	ɲ ɔ p ɔ
ꦝꦠꦸ	ɖ a t u
ꦝꦥꦸꦂ	ɖ a p ʊ r
ꦝꦫ	ɖ ɔ r ɔ
ꦝꦫꦃ	ɖ a r a h
ꦝꦮꦸꦃ	ɖ a w u h
ꦝꦮꦼꦠ꧀	ɖ a w ə t
ꦝꦶꦫꦶ	ɖ i r i
ꦝꦸꦏꦸꦃ	ɖ u k u h
ꦝꦸꦮꦸꦂ	ɖ u w ʊ r
ꦝꦸꦱꦸꦤ꧀	ɖ ʊ s ʊ n
ꦝꦼꦝꦏ꧀	ɖ ə ɖ a k
ꦠꦔꦤ꧀	t a ŋ a n
ꦠꦔꦶ	t a ŋ i
ꦠꦗꦶꦤ꧀	t a d͡ʒ ɪ n
ꦠꦝꦃ	t a ɖ a h
ꦠꦤ꧀	t aː n
ꦠꦤ꧀ꦠꦿꦶ	t a n t r i
ꦠꦤ꧀ꦢꦁ	t a n d a ŋ
ꦠꦤ꧀ꦢꦸꦏ꧀	t a n d ʊ k
ꦠꦥꦏ꧀	t a p a k
ꦠꦥꦶꦱ꧀	t a p i s
ꦠꦫ	t ɔ r ɔ
ꦠꦶꦂꦠ	t i r t ɔ
ꦠꦶꦠꦃ	t i t a h
ꦠꦶꦠꦶ	t i t i
ꦠꦶꦠꦶꦃ	t i t i h
ꦠꦶꦩꦸꦂ	t i m ʊ r
ꦠꦶꦩ꧀ꦧꦁ	t ɪ m b a ŋ
ꦠꦶꦩ꧀ꦧꦔꦤ꧀	t ɪ m b a ŋ a n
ꦠꦶꦪꦁ	t i j a ŋ
ꦠꦸꦁꦏꦱ꧀	t ʊ ŋ k a s
ꦠꦸꦏꦁ	t u k a ŋ
ꦠꦸꦤꦁ	t u n a ŋ
ꦠꦸꦩꦼꦁꦒꦸꦁ	t u m ə ŋ ɡ ʊ ŋ
ꦠꦸꦩ꧀	t ʊ m
ꦠꦸꦮꦺꦏ꧀	t u w ɛ k
ꦠꦺꦗ	t e d͡ʒ ɔ
ꦠꦺꦴꦃ	t ɔ h
ꦠꦺꦴꦥꦶ	t o p i
ꦠꦺꦴꦪ	t o j ɔ
ꦠꦺꦴꦱ꧀	t ɔ s
ꦠꦼꦁꦒꦼꦂ	t ə ŋ ɡ ə r
ꦠꦼꦩꦸ	t ə m u
ꦠꦼꦩꦼꦁꦒꦸꦁ	t u m ə ŋ ɡ ʊ ŋ
ꦠꦼꦩ꧀ꦥꦸꦂ	t ə m p u r
ꦠꦼꦩ꧀ꦧꦸꦁ	t ə m b u ŋ
ꦠꦼꦫꦁ	t ə r a ŋ
ꦢꦂꦩ	d̪ a r m ɔ
ꦢꦤ	d ɔ n ɔ
ꦢꦤꦂꦠ	d a n a r t ɔ
ꦢꦩꦂ	d a m a r
ꦢꦪ	d ɔ j ɔ
ꦢꦮ	d ɔ w ɔ
ꦢꦱ	d ɔ s ɔ
ꦢꦶꦤ꧀ꦠꦼꦤ꧀	d i n t ə n
ꦢꦶꦥ	d i p ɔ
ꦢꦶꦭꦠ꧀	d i l a t
ꦢꦸꦂꦗꦤ	d u r d͡ʒ ɔ n ɔ
ꦢꦸꦏ	d u k ɔ
ꦢꦸꦮꦺ	d u w e
ꦢꦸꦱꦸꦤ꧀	d ʊ s ʊ n
ꦢꦸꦱ꧀	d u s
ꦢꦺꦤ꧀ꦠ	d ɛ n t a
ꦢꦼꦤ꧀ꦠ	d ə n t a
ꦢꦼꦩꦁ	d ə m a ŋ
ꦢꦼꦩꦏ꧀	d ə m a k
ꦢ꧀ꦭꦶꦩ	d l i m a
ꦢ꧀ꦭꦸꦮꦁ	d l u w a ŋ
ꦤꦂꦥ	n a r p ɔ
ꦤꦒ	n ɔ ɡ ɔ
ꦤꦒꦫ	n a ɡ ɔ r ɔ
ꦤꦤꦃ	n a n a h
ꦤꦩ	n a m ɔ
ꦤꦪꦏ	n a j ɔ k ɔ
ꦤꦭꦶꦏ	n a l i k ɔ
ꦤꦱ꧀ꦠꦥ	n a s t ɔ p ɔ
ꦤꦶꦠꦶ	n i t i
ꦤꦶꦠꦾ	n i t j ɔ
ꦤꦺꦴꦩ꧀	n ɔ m
ꦤꦼꦒꦫ	n ə ɡ ɔ r ɔ
ꦥꦁꦫꦶꦥ꧀ꦠ	p a ŋ r i p t ɔ
ꦥꦒꦼꦂ	p a ɡ ə r
ꦥꦒꦼꦭꦫꦤ꧀	p a ɡ ə l a r a n
ꦥꦔꦫꦸꦃ	p a ŋ a r ʊ h
ꦥꦔꦺꦫꦤ꧀	p a ŋ e r a n
ꦥꦗꦁ	p a d͡ʒ a ŋ
ꦥꦚ꧀ꦗꦼꦤꦼꦔꦤ꧀	p a ɲ d͡ʒ ə n ə ŋ a n
ꦥꦝꦱ꧀	p a ɖ a s
ꦥꦝꦸꦏꦸꦲꦤ꧀	p a d u k u h a n
ꦥꦠꦶꦁꦒꦶ	p a t i ŋ ɡ i
ꦥꦢ	p ɔ d ɔ
ꦥꦤꦶꦠꦶ	p a n i t i
ꦥꦤꦶꦠꦿ	p a n i t r ɔ
ꦥꦤꦺꦮꦸ	p a n ɛ w u
ꦥꦤ꧀ꦠꦼꦱ꧀	p a n t ə s
ꦥꦫꦩ	p a r ɔ m ɔ
ꦥꦫꦩꦱꦱ꧀ꦠꦿ	p a r ɔ m ɔ s a s t r ɔ
ꦥꦫꦱ꧀	p a r a s
ꦥꦫꦺꦤ꧀ꦠꦃ	p a r e n t a h
ꦥꦫꦺꦴ	p a r o
ꦥꦭ	p ɔ l ɔ
ꦥꦮꦺꦴꦤ꧀	p a w ɔ n
ꦥꦱꦸꦏꦤ꧀	p a s ʊ k a n
ꦥꦱꦺꦧꦤ꧀	p a s e b a n
ꦥꦱꦺꦴꦏꦤ꧀	p a s ɔ k a n
ꦥꦶꦠ	p i t ɔ
ꦥꦶꦠ꧀	p ɪ t
ꦥꦶꦤ꧀ꦠ	p ɪ n t ɔ
ꦥꦸꦁꦒꦮ	p ʊ ŋ ɡ ɔ w ɔ
ꦥꦸꦂꦮ	p ʊ r w ɔ
ꦥꦸꦂꦮꦏꦤ꧀ꦛꦶ	p ʊ r w a k a n ʈ i
ꦥꦸꦃ	p u h
ꦥꦸꦒꦼꦂ	p u ɡ ə r
ꦥꦸꦠꦿ	p u t r ɔ
ꦥꦸꦥꦸꦃ	p u p u h
ꦥꦸꦭꦶ	p u l i
ꦥꦸꦭꦺꦴ	p u l o
ꦥꦸꦱꦏ	p u s ɔ k ɔ
ꦥꦸꦱ꧀ꦠꦏ	p u s t ɔ k ɔ
ꦥꦸꦲꦸꦤ꧀	p u h u n
ꦥꦺꦭꦺꦴꦒ꧀	p e l ɔ k
ꦥꦺꦱꦺꦴ	p e s o
ꦥꦺꦴꦭꦃ	p o l a h
ꦥꦼꦂꦭꦸ	p ə r l u
ꦥꦼꦉꦱ꧀	p ə r ə s
ꦥꦼꦊꦩ꧀	p ə l ə m
ꦥꦼꦔꦸꦭꦸ	p ə ŋ u l u
ꦥꦼꦔꦸꦭꦺꦴꦤ꧀	p ə ŋ u l o n
ꦥꦼꦛꦶ	p ə ʈ i
ꦥꦼꦠꦶꦱ꧀	p ə t ɪ s
ꦥꦼꦤ꧀ꦝꦼꦩ꧀	p ə n ɖ ə m
ꦥꦼꦥꦼꦠ꧀	p ə p ə t
ꦥꦿꦕꦶꦩ	p r a t͡ʃ i m ɔ
ꦥꦿꦗꦸꦫꦶꦠ꧀	p r a d͡ʒ u r ɪ t
ꦥꦿꦠꦩ	p r a t ɔ m ɔ
ꦥꦿꦤꦏꦤ꧀	p r ʌ n ʌ ʔ ʌ n
ꦥꦿꦤꦮ	p r a n ɔ w ɔ
ꦥꦿꦩꦤ	p r a m ɔ n ɔ
ꦥꦿꦩꦺꦱ꧀ꦮꦫꦶ	p r a m e s w a r i
ꦥꦿꦱꦢ	p r a s ɔ d ɔ
ꦥꦿꦱꦱ꧀ꦠꦶ	p r a s a s t i
ꦥꦿꦶꦧꦸꦩꦶ	p r i b u m i
ꦥꦿꦺꦤ꧀ꦠꦃ	p r e n t a h
ꦥ꧀ꦭꦼꦁꦏꦸꦁ	p l ə ŋ k ʊ ŋ
ꦧꦁ	b a ŋ
ꦧꦁꦱꦭ꧀	b a ŋ s a l
ꦧꦏ	b ɔ k ɔ
ꦧꦏꦶ	b a k i
ꦧꦏꦸ	b a k u
ꦧꦏ꧀	b a k
ꦧꦒꦺꦴꦁ	b a ɡ ɔ ŋ
ꦧꦒꦺꦴꦔꦤ꧀	b a ɡ ɔ ŋ a n
ꦧꦒꦾ	b a ɡ j ɔ
ꦧꦚꦸ	b a ɲ u
ꦧꦚ꧀ꦕꦤ	b a ɲ t͡ʃ ɔ n ɔ
ꦧꦚ꧀ꦕꦶ	b a n t͡ʃ i
ꦧꦛꦶꦏ꧀	b a ʈ ɪ ʔ
ꦧꦠꦸ	b a t u
ꦧꦤ꧀ꦝ	b̥ ɔ ɳ ɖ̥ ɔ
ꦧꦤ꧀ꦢꦂ	b a n d̪ a r
ꦧꦧꦢ꧀	b a b a t
ꦧꦧꦸ	b a b u
ꦧꦩ꧀ꦧꦁ	b a m b a ŋ
ꦧꦪ	b a j ɔ
ꦧꦪꦼꦩ꧀	b a j ə m
ꦧꦫ	b ɔ r ɔ
ꦧꦫꦃ	b a r a h
ꦧꦭ	b ɔ l ɔ
ꦧꦭꦺ	b a l e
ꦧꦮꦁ	b a w a ŋ
ꦧꦱ	b ɔ s ɔ
ꦧꦲꦸ	b a h u
ꦧꦲꦸꦮꦂꦤ	b a ʔ u w a r n ɔ
ꦧꦲꦸꦱꦱ꧀ꦠꦿ	b a u s a s t r a
ꦧꦶꦩ	b i m ɔ
ꦧꦶꦱ	b i s ɔ
ꦧꦸꦃ	b u h
ꦧꦸꦗꦁ	b u d͡ʒ a ŋ
ꦧꦸꦠ	b u t ɔ
ꦧꦸꦢꦪ	b u d ɔ j ɔ
ꦧꦸꦤ꧀ꦠꦸ	b ʊ n t u
ꦧꦸꦧꦸꦂ	b u b ʊ r
ꦧꦸꦩꦶ	b u m i
ꦧꦸꦭꦸꦱ꧀	b u l ʊ s
ꦧꦸꦮꦤ	b u w ɔ n ɔ
ꦧꦸꦱꦏ꧀	b u s a k
ꦧꦸꦱꦤ	b u s ɔ n ɔ
ꦧꦺꦧꦺꦏ꧀	b ɛ b ɛ k
ꦧꦺꦪ	b e j a
ꦧꦺꦴꦁ	w ɔ ŋ
ꦧꦺꦴꦒ	b o ɡ a
ꦧꦺꦴꦗꦺꦴ	b o d͡ʒ o
ꦧꦺꦴꦠ꧀	b o t
ꦧꦺꦴꦪ	b o j a
ꦧꦼꦏꦠꦸꦭ꧀	b ə k a t ʊ l
ꦧꦼꦏꦼꦭ꧀	b ə k ə l
ꦧꦼꦔꦮꦤ꧀	b ə ŋ a w a n
ꦧꦼꦗ	b ə d͡ʒ ɔ
ꦧꦼꦝꦃ	b ə ɖ a h
ꦧꦼꦝꦪ	b ə ɖ a j a
ꦧꦼꦝꦺꦴ	b ə ɖ o
ꦧꦼꦠꦺꦴꦤ꧀	b ə t ɔ n
ꦧꦼꦤ꧀ꦢꦫ	b ə n d ɔ r ɔ
ꦧꦼꦫꦱ꧀	b ə r a s
ꦧꦿꦩ꧀ꦧꦁ	b r a m b a ŋ
ꦧ꧀ꦊꦢꦸꦒ꧀	b l ə d̪ u ɡ
ꦧ꧀ꦊꦣꦸꦒ꧀	b l ə ɖ u ɡ
ꦨꦶꦩ	b i m ɔ
ꦩꦁꦱ	m ɔ ŋ s ɔ
ꦩꦂꦢꦮ	m a r d ɔ w ɔ
ꦩꦒꦁ	m a ɡ a ŋ
ꦩꦔꦪꦸꦧꦒꦾ	m a ŋ a j u b a ɡ j ɔ
ꦩꦠ	m ɔ t ɔ
ꦩꦠꦿ	m a t r ɔ
ꦩꦤꦶꦫ	m a n i r a
ꦩꦤꦸꦁꦱ	m a n u ŋ s ɔ
ꦩꦤ꧀ꦝꦶꦫꦶ	m a n ɖ i r i
ꦩꦤ꧀ꦢꦭ	m a n d a l a
ꦩꦤ꧀ꦢꦿ	m a n d r ɔ
ꦩꦫꦏ꧀ꦏꦺ	m a r a k k e
ꦩꦫꦠꦸꦮ	m a r a t u w a
ꦩꦫꦸ	m a r u
ꦩꦫꦸꦱ꧀	m a r u s
ꦩꦭ	m ɔ l ɔ
ꦩꦭꦩ꧀	m a l a m
ꦩꦭꦶꦁ	m a l ɪ ŋ
ꦩꦭꦶꦒꦺ	m a l i ɡ e
ꦩꦶꦤ꧀ꦠ	m ɪ n t ɔ
ꦩꦸꦁ	m u ŋ
ꦩꦸꦂꦏ	m ʊ r k ɔ
ꦩꦸꦂꦤꦶ	m u r n i
ꦩꦸꦫꦏꦧꦶ	m u r a k a b i
ꦩꦸꦮꦫ	m u w ɔ r ɔ
ꦩꦸꦱ꧀ꦠꦏ	m u s t ɔ k ɔ
ꦩꦺꦤꦏ꧀	m e n a k
ꦩꦺꦴꦁ	m ɔ ŋ
ꦩꦼꦤꦶꦂ	m ə n ɪ r
ꦩꦼꦤ꧀ꦢꦼꦩ꧀	m ə n d ə m
ꦪꦏ꧀ꦠꦶ	j a k t i
ꦪꦠꦿ	j ɔ t r ɔ
ꦪꦱ	j ɔ s ɔ
ꦪꦸꦪꦸ	j u j u
ꦪꦸꦱ꧀ꦮ	j u s w ɔ
ꦪꦼꦏ꧀ꦠꦶ	j ə k t i
ꦫꦃ	r a h
ꦫꦏ꧀ꦱ	r a k s ɔ
ꦫꦒꦶꦭ꧀	r a ɡ ɪ l
ꦫꦗ	r ɔ d͡ʒ ɔ
ꦫꦗꦃ	r a d͡ʒ a h
ꦫꦠ	r a t a ʔ
ꦫꦠ	r ɔ t ɔ
ꦫꦠ	r ɔ t ɔ ʔ
ꦫꦠꦁꦒ	r a t a ŋ ɡ a ʔ
ꦫꦠꦁꦒ	r ɔ t ɔ ŋ ɡ ɔ
ꦫꦢꦶꦠꦾ	r a d i t j a
ꦫꦢꦺꦤ꧀	r a d ɛ n
ꦫꦤ	r ɔ n ɔ
ꦫꦧꦸꦏ꧀	a b ʊ k
ꦫꦩ	r ɔ m ɔ
ꦫꦩꦼꦱ꧀	r a m ə s
ꦫꦫ	r ɔ r ɔ
ꦫꦮꦸꦃ	r a w ʊ h
ꦫꦱꦸꦏꦤ꧀	r a s ʊ k a n
ꦫꦱꦺ	r a s e
ꦫꦱ꧀ꦩꦶ	r a s m i
ꦫꦶ	r i
ꦫꦶꦁꦒꦶꦠ꧀	r i ŋ ɡ ɪ t
ꦫꦶꦤ	r i n a
ꦫꦶꦤ꧀ꦠꦼꦤ꧀	r i n t ə n
ꦫꦶꦥ꧀ꦠ	r i p t ɔ
ꦫꦸꦁꦏꦢ꧀	r ʊ ŋ k a t
ꦫꦸꦔꦸ	r u ŋ u
ꦫꦸꦢꦶꦫ	r u d i r a
ꦫꦸꦥ	r u p ɔ
ꦫꦺꦚ꧀ꦕꦁ	r e n t͡ʃ a ŋ
ꦫꦺꦤ	r e n ɔ
ꦫꦺꦮꦁ	r e w a ŋ
ꦫꦺꦴꦠꦶ	r o t i
ꦭꦁꦒꦼꦁ	l a ŋ ɡ ə ŋ
ꦭꦏꦺꦴꦤ꧀	l a k ɔ n
ꦭꦏ꧀ꦱꦤ	l a k s ɔ n ɔ
ꦭꦤꦁ	l a n a ŋ
ꦭꦤ꧀ꦝꦼꦥ꧀	l a n ɖ ə p
ꦭꦪ	l ɔ j ɔ
ꦭꦪꦁ	l a j a ŋ
ꦭꦪꦸ	l a j u
ꦭꦫ	l ɔ r ɔ
ꦭꦫꦱ꧀	l a r a s
ꦭꦫꦺ	l a r e
ꦭꦮꦤ꧀	l a w a n
ꦭꦲꦂ	l a h a r
ꦭꦸꦃ	l u h
ꦭꦸꦔ	l u ŋ ɔ
ꦭꦸꦢꦶꦫ	l u d i r ɔ
ꦭꦸꦫꦃ	l u r a h
ꦭꦸꦮꦼꦱ꧀	l u w ə s
ꦭꦸꦲꦸꦂ	l u h u r
ꦭꦺꦴꦫꦺꦴ	l o r o
ꦮꦂꦒ	w a r ɡ ɔ
ꦮꦂꦢꦪ	w a r d ɔ j ɔ
ꦮꦂꦤ	w a r n ɔ
ꦮꦕ	w ɔ t͡ʃ ɔ
ꦮꦕꦤ	w a t͡ʃ a n a
ꦮꦗ	w ɔ d͡ʒ ɔ
ꦮꦝꦃ	w a ɖ a h
ꦮꦝꦸꦏ꧀	w a ɖ u k
ꦮꦢꦤ	w a d a n a
ꦮꦤ	w ɔ n ɔ
ꦮꦤ꧀ꦢ	w a n d a
ꦮꦤ꧀ꦢꦮ	w a n d ɔ w ɔ
ꦮꦪꦁ	w a j a ŋ
ꦮꦪꦃ	w a j a h
ꦮꦫꦤ	w a r ɔ n ɔ
ꦮꦫꦶꦃ	w a r i h
ꦮꦭꦤ꧀ꦢ	w a l ɔ n d ɔ
ꦮꦭꦶ	w a l i
ꦮꦱ	w ɔ s ɔ
ꦮꦱ꧀	w a s
ꦮꦱ꧀ꦠ	w a s t ɔ
ꦮꦱ꧀ꦥꦢ	w a s p ɔ d ɔ
ꦮꦲꦤ	w a h ɔ n ɔ
ꦮꦲꦸ	w a u
ꦮꦲꦺ	w a ʔ e
ꦮꦶꦏꦸ	w i k u
ꦮꦶꦕꦏ꧀ꦱꦤ	w i t͡ʃ a k s ɔ n ɔ
ꦮꦶꦗꦪ	w i d͡ʒ ɔ j ɔ
ꦮꦶꦢꦢ	w i d ɔ d ɔ
ꦮꦶꦢꦾ	w i d j ɔ
ꦮꦸꦠꦸꦃ	w u t u h
