aakʼee	ʔ ɑ̀ː kʼ èː
azeedíchʼííʼ	ʔ ɑ̀ z èː t ɪ́ t͡ʃʼ íː ʔ
azeeʼ	ʔ ɑ̀ z èː ʔ
azeeʼálʼį́	ʔ ɑ̀ z èː ʔ ɑ́ l ʔ ĩ́
azeeʼííłʼíní	ʔ ɑ̀ z èː ʔ íː ɬ ʔ ɪ́ n ɪ́
azhą́	ʔ ɑ̀ ʒ ɑ̃́
azhéʼé	ʔ ɑ̀ ʒ ɛ́ ʔ ɛ́
aʼáád	ʔ ɑ̀ ʔ ɑ́ː t
aʼáádké	ʔ ɑ̀ ʔ ɑ́ː t kʰ ɛ́
bá	p ɑ́
baa	p ɑ̀ː
bááh	p ɑ́ː h
bąąh	p ɑ̃̀ː h
bą́ą́h	p ɑ̃́ː h
bááshzhinii	p ɑ́ː ʃ ʒ ɪ̀ n ìː
basdéél	p ɑ̀ s t éː l
baʼáłchíní	p ɑ̀ ʔ ɑ́ ɬ t͡ʃʰ ɪ́ n ɪ́
báʼóltaʼí	p ɑ́ ʔ ó l tʰ ɑ̀ ʔ ɪ́
bee	p èː
béédahoniilzin	p éː t ɑ̀ h ò n ìː l z ɪ̀ n
béédahonohsin	p éː t ɑ̀ h ò n ò h s ɪ̀ n
béégashii	p éː k ɑ̀ ʃ ìː
bééhániih	p éː h ɑ́ n ìː h
bééhasin	p éː h ɑ̀ s ɪ̀ n
bééhoniilzin	p éː h ò n ìː l z ɪ̀ n
bééhonísin	p éː h ò n ɪ́ s ɪ̀ n
bééhonohsin	p éː h ò n ò h s ɪ̀ n
bééhoozįįh	p éː h òː z ĩ̀ː h
bééhózin	p éː h ó z ɪ̀ n
beeldléí	p èː l t͡l ɛ́ ɪ́
béeso	p êː s ò
béésh	p éː ʃ
bééshbiiʼkǫǫʼítsoh	p éː ʃ p ìː ʔ kʰ õ̀ ʔ ɪ́ t͡sʰ ò h
Béíyózhin	p ɛ́ ɪ́ j ó ʒ ɪ̀ n
beʼakʼah	p ɛ̀ ʔ ɑ̀ kʼ ɑ̀ h
bídahoołʼaah	p ɪ́ d ɑ̀ h òː ɬ ʔ ɑ̀ː h
bídahwiilʼaah	p ɪ́ t ɑ̀ hʷ ìː lʼ ɑ̀ː h
bideiidę́ęʼgo	p ɪ̀ t ɛ̀ ìː t ẽ̂ː ʔ k ò
bigaan	p ɪ̀ k ɑ̀ː n
bigod	p ɪ̀ k ò t
bighaaʼ	p ɪ̀ ɣ ɑ̀ː ʔ
bíhoołʼaah	p ɪ́ h òː ɬ ʔ ɑ̀ː h
bíhwiilʼaah	p ɪ́ hʷ ìː l ʔ ɑ̀ː h
bíighah	p îː ɣ ɑ̀ h
bįįh	p ĩ̀ː h
Biinis	p ìː n ɪ̀ s
biiskání	p ìː s kʰ ɑ́ n ɪ́
bíiyis	p îː j ɪ̀ s
biiʼ	p ìː ʔ
biiʼadéestʼį́į́ʼ	p ìː ɑ̀ t eː ˥˩ s tʼ ĩ́ː ʔ
biiʼndaʼaʼnéhé	p ìː ʔ ǹ̩ t ɑ̀ ʔ ɑ̀ ʔ n ɛ́ h ɛ́
bijáád	p ɪ̀ t͡ʃ ɑ́ː t
bijaaʼ	p ɪ̀ t͡ʃ ɑ̀ː ʔ
bíká	p ɪ́ kʰ ɑ́
bikááʼ	p ɪ̀ kʰ ɑ́ː ʔ
bikáaʼgi	p ɪ̀ kʰ ɑ̂ː ʔ k ɪ̀
bikeeʼ	p ɪ̀ kʰ èː ʔ
bikétłʼóól	p ɪ̀ k ɛ́ t͡ɬʼ óː l
bikétsíín	p ɪ̀ kʰ ɛ́ t͡sʰ íː n
bikéyah	p ɪ̀ kʰ ɛ́ j ɑ̀ h
bikʼah	p ɪ̀ kʼ ɑ̀ h
bikʼaʼ	p ɪ̀ kʼ ɑ̀ ʔ
bikʼi	p ɪ̀ kʼ ɪ̀
bikʼos	p ɪ̀ kʼ ò s
bilááh	p ɪ̀ l ɑ́ː h
bilagáana	p ɪ̀ l ɑ̀ k ɑ̂ː n ɑ̀
bilasáana	p ɪ̀ l ɑ̀ s ɑ̂ː n ɑ̀
bílaʼ	p ɪ́ l ɑ̀ ʔ
bił	p ɪ̀ ɬ
biłʼéʼélʼíní	p ɪ̀ ɬ ʔ ɛ́ ʔ ɛ́ l ʔ ɪ́ n ɪ́
bináká	p ɪ̀ n ɑ́ kʰ ɑ́
biniinaa	p ɪ̀ n ìː n ɑ̀ː
bíniʼ	p ɪ́ n ɪ̀ ʔ
Biniʼantʼą́ą́tsoh	p ɪ̀ n ɪ̀ ʔ ɑ́ n ɪ̀ tʼ ɑ̃́ː t͡sʰ ò h
Biniʼantʼą́ą́tsoh	p ɪ̀ n ɪ̀ ʔ ɑ́ n tʼ ɑ̃́ː t͡sʰ ò h
Biniʼantʼą́ą́tsʼózí	p ɪ̀ n ɪ̀ ʔ ɑ́ n ɪ̀ tʼ ɑ̃́ː t͡sʼ ó z ɪ́
Biniʼantʼą́ą́tsʼózí	p ɪ̀ n ɪ̀ ʔ ɑ́ n tʼ ɑ̃́ː t͡sʼ ó z ɪ́
bis	p ɪ̀ s
bitʼąąʼ	p ɪ̀ tʼ ɑ̃̀ː ʔ
bitsiighąąʼ	p ɪ̀ t͡sʰ ìː ɣ ɑ̃̀ː ʔ
bitsiitsʼiin	p ɪ́ t͡sʰ ìː t͡sʼ ìː n
bitsiiʼ	p ɪ̀ t͡sʰ ìː ʔ
biyázhí	p ɪ̀ j ɑ́ ʒ ɪ́
biyeʼ	p ɪ̀ j ɛ̀ ʔ
biyiin	p ɪ̀ j ìː n
biyiʼ	p ɪ̀ j ɪ̀ ʔ
biyiʼdi	p ɪ̀ j ɪ̀ ʔ t ɪ̀
bizaad	p ɪ̀ z ɑ̀ː t
bízháneeʼ	p ɪ́ ʒ ɑ́ n èː ʔ
biʼdizhchį́	b i ʔ d i ʒ t ʃʰ ĩ
biʼoh	p ɪ̀ ʔ ò h
bóhoołʼaah	p ó h òː ɬ ʔ ɑ̀ː h
bóhooshʼaah	p ó h òː ʃ ʔ ɑ̀ː h
cha	t͡ʃʰ ɑ̀
chąąłtązhii	t͡ʃʰ ɑ̃̀ː ɬ tʰ ɑ̃̀ ʒ ìː
chąąshtʼezhii	t͡ʃʰ ɑ̃̀ː ʃ tʼ ɛ̀ ʒ íː
chąąshtʼezhiitsoh	t͡ʃʰ ɑ̃̀ː ʃ tʼ ɛ̀ ʒ ìː t͡sʰ ò h
chaaʼ	t͡ʃʰ àː ʔ
chąąʼ	t͡ʃʰ ã̀ː ʔ
chánah	t͡ʃʰ ɑ́ n ɑ̀ h
chidí	t͡ʃʰ ɪ̀ t ɪ́
chin	t͡ʃʰ ɪ̀ n
chxǫ́ǫ́ʼí	t͡ʃʰ x ṍː ʔ ɪ́
chʼ	t͡ʃʼ
Chʼ	t͡ʃʼ
chʼah	t͡ʃʼ ɑ̀ h
chʼałdą́ą́ʼ	t͡ʃʼ ɑ̀ ɬ t ɑ̃́ː ʔ
chʼéélį́	t͡ʃʼ éː l ĩ́
chʼéhááh	t͡ʃʼ ɛ́ h ɑ́ː h
chʼélʼéés	t͡ʃʼ ɛ́ l ʔ éː s
chʼíhonítʼiʼ	t͡ʃʼ ɪ́ h ò n ɪ́ tʼ ɪ̀ ʔ
chʼį́įdii	t͡ʃʼ ĩ̂ː t ìː
chʼííłmáás	t͡ʃʼ íː ɬ m ɑ́ː s
chʼikę́ę́h	t͡ʃʼ ɪ̀ kʰ ẽ́ː h
chʼil	t͡ʃʼ ɪ̀ l
chʼilzooł	t͡ʃʼ ɪ̀ l z òː ɬ
chʼiyáán	t͡ʃʼ ɪ̀ j ɑ́ː n
chʼosh	t͡ʃʼ ò ʃ
da	t ɑ̀
dą	t ɑ̃̀
daa	t ɑ̀ː
daadánígíí	t ɑ̀ː t ɑ́ n ɪ́ k íː
daadził	t ɑ̀ː t͡s ɪ̀ ɬ
daan	t ɑ̀ː n
daanéʼé	t ɑ̀ː n ɛ́ ʔ ɛ́
daaní	t ɑ̀ː n ɪ́
daatsaah	t ɑ̀ː t͡sʰ ɑ̀ː h
daatsʼí	t ɑ̀ː t͡sʼ ɪ́
dą́ą́ʼ	t ɑ̃́ː ʔ
dadiiʼní	t ɑ̀ t ìː ʔ n ɪ́
dadohní	t ɑ̀ t ò h n ɪ́
dah	t ɑ̀ h
Damį́įgo	t ɑ̀ m ĩ̂ː k ò
damį́įgo	t ɑ̀ m ĩ̂ː k ò
Damóo	t ɑ̀ m ôː
damóo	t ɑ̀ m ôː
daniidzin	t ɑ̀ n ìː t͡s ɪ̀ n
danízin	t ɑ̀ n ɪ́ z ɪ̀ n
danohsin	t ɑ̀ n ò h s ɪ̀ n
daʼ	t ɑ̀ ʔ
dáʼákʼeh	t ɑ́ ʔ ɑ́ kʼ ɛ̀ h
daʼayą́	t ɑ̀ ʔ ɑ̀ j ɑ̃́
daʼiidą́	t ɑ̀ ʔ ìː t ɑ̃́
daʼííníiltaʼ	t ɑ̀ ʔ íː n îː l tʰ ɑ̀ ʔ
daʼíínółtaʼ	t ɑ̀ ʔ íː n ó ɬ tʰ ɑ̀ ʔ
daʼohsą́	t ɑ̀ ʔ ò h s ɑ̃́
daʼółtaʼ	t ɑ̀ ʔ ó ɬ tʰ ɑ̀ ʔ
dééh	t éː h
deekai	t èː kʰ ɑ̀ ɪ̀
deení	t èː n ɪ́
deesdoi	t èː s t ò ɪ̀
deeskai	t èː s kʰ ɑ̀ ɪ̀
deeskʼaaz	t èː s kʼ ɑ̀ː z
deeteel	t èː tʰ èː l
deetʼáázh	t èː tʼ ɑ́ː ʒ
deeyá	t èː j ɑ́
deezʼá	t èː z ʔ ɑ́
deezhʼáázh	t èː ʒ ʔ ɑ́ː ʒ
deigo	t è ɪ̀ k ò
déyá	t ɛ́ j ɑ́
dibááʼ	t ɪ̀ p ɑ́ː ʔ
dibah	t ɪ̀ p ɑ̀ h
dibé	t ɪ̀ p ɛ́
dibéłchíʼí	t ɪ̀ p ɛ́ ɬ t͡ʃʰ ɪ́ ʔ ɪ́
dichin	t ɪ̀ t͡ʃʰ ɪ̀ n
dighááh	t ɪ̀ ɣ ɑ́ː h
dííjį́	t íː t͡ʃ ĩ́
diimáás	t ìː m áː s
diitííh	t ìː tʰ íː h
dį́į́ʼ	t ĩ́ː ʔ
diiʼní	t ìː ʔ n ɪ́
dį́į́ʼtsʼáadah	t ĩ́ː ʔ t͡sʼ ɑ̂ː t ɑ̀ h
dijool	t ɪ̀ t͡ʃ òː l
dikos	t ɪ̀ kʰ ò s
dikʼą́	t ɪ̀ kʼ ɑ̃́
díkwíí	t ɪ́ kʷʰ íː
dildlóósh	t ɪ̀ l t͡l óː ʃ
dił	t ɪ̀ ɬ
diłkʼáás	t ɪ̀ ɬ kʼ ɑ́ː s
dimáás	t ɪ̀ m ɑ́ː s
dinas	t ɪ̀ n ɑ̀ s
diné	t ɪ̀ n ɛ́
dineʼé	t ɪ̀ n ɛ̀ ʔ ɛ́
diní	t ɪ̀ n ɪ́
diniih	t ɪ̀ n ìː h
dinilbá	t ɪ̀ n ɪ̀ l p ɑ́
diniltsxo	t ɪ̀ n ɪ̀ l t͡sʰ x ò
díníyá	t ɪ́ n ɪ́ j ɑ́
disoohkai	t ɪ̀ s òː h kʰ ɑ̀ ɪ̀
dishní	t ɪ̀ ʃ n ɪ́
dishooʼáázh	t ɪ̀ ʃ òː ʔ ɑ́ː ʒ
ditʼééh	t ɪ̀ tʼ éː h
ditsʼoz	t ɪ̀ t͡sʼ ò z
diyin	t ɪ̀ j ɪ̀ n
diyogí	t ɪ̀ j ò k ɪ́
dízdiin	t ɪ́ z t ìː n
diʼil	t ɪ̀ ʔ ɪ̀ l
dohní	t ò h n ɪ́
doo	t òː
dooda	t òː t ɑ̀
dóola	t ôː l ɑ̀
dooleeł	t òː l èː ɬ
dóoneʼé	t ôː n ɛ̀ ʔ ɛ́
dootłʼizh	t òː t͡ɬʼ ɪ̀ ʒ
dóʼ	t ó ʔ
dl	t͡l
Dl	t͡l
dláád	t͡l ɑ́ː t
dz	t͡s
Dz	t͡s
dzaanééz	t͡s ɑ̀ː n éː z
Dzaanééz	t͡s ɑ̀ː n éː z
dzééh	t͡s éː h
dził	t͡s ɪ̀ ɬ
dziʼizí	t͡s ɪ̀ ʔ ɪ̀ z ɪ́
dziʼizítsoh	t͡s ɪ̀ ʔ ɪ̀ z ɪ́ t͡sʰ ò h
éélkid	ʔ éː l kʰ ɪ̀ t
éétsoh	ʔ éː t͡sʰ ò h
ééʼ	ʔ éː ʔ
éí	ʔ ɛ́ ɪ́
éidí	ʔ ɛ́ ɪ̀ t ɪ́
éísh	ʔ ɛ́ ɪ́ ʃ
eʼeʼáád	ʔ ɛ̀ ʔ ɛ̀ ʔ ɑ́ː t
eʼeʼaah	ʔ ɛ̀ ʔ ɛ̀ ʔ ɑ̀ː h
gáagii	k ɑ̂ː k ìː
gaan	k ɑ̀ː n
Gáana	k ɑ̂ː n ɑ̀
gad	k à t
gaʼ	k ɑ̃̀ ʔ
géeso	k êː s o
gídí	k ɪ́ t ɪ́
gíinisi	k îː n ɪ̀ s ɪ̀
gish	k ɪ̀ ʃ
gohwééh	k ò hʷ éː h
golchóón	k ò l t͡ʃ óː n
gólízhii	k ó l ɪ́ ʒ ìː
gónaa	k ó n ɑ̀ː
góneʼ	k ó n ɛ̀ ʔ
góyaa	k ó j ɑ̀ː
gh	ɣ
Gh	ɣ
Ghąąjįʼ	ɣ ɑ̃̀ː t͡ʃ ĩ̀ ʔ
ghąąjįʼ	ɣ ɑ̃̀ː t͡ʃ ĩ̀ ʔ
haabá	h ɑ̀ː p ɑ́
haachééh	h ɑ̀ː t͡ʃʰ éː h
haachiiʼ	h ɑ̀ː t͡ʃʰ ìː ʔ
haagai	h ɑ̀ː k ɑ̀ ɪ̀
haajííł	h ɑ̀ː t͡ʃ íː ɬ
haajin	h ɑ̀ː t͡ʃ ɪ̀ n
háájiʼjin	h ɑ́ː t͡ʃ ɪ̀ ʔ t͡ʃ ɪ̀ n
háálá	h ɑ́ː l ɑ́
haaldóóh	h ɑ̀ː l t óː h
háálį́	h ɑ́ː l ĩ́
haatʼééh	h ɑ̀ː tʼ éː h
haatso	h ɑ̀ː t͡sʰ ò
hachįʼ	h ɑ̀ː t͡ʃʰ ĩ̀ ʔ
hadibin	h ɑ̀ t ɪ̀ p ɪ̀ n
hágoóneeʼ	h ɑ́ k ǒː n èː ʔ
hahastiin	h ɑ̀ h ɑ̀ s tʰ ìː n
hahgo	h ɑ̀ h k ò
hahoodzo	h ɑ̀ h òː t͡s ò
hai	h ɑ̀ ɪ̀
háí	h ɑ́ ɪ́
háidísh	h ɑ́ ɪ̀ t ɪ́ ʃ
haiłgéésh	h ɑ̀ ɪ̀ ɬ k éː ʃ
haiłmáás	h ɑ̀ ɪ̀ ɬ m ɑ́ː s
hainiłchaad	h ɑ̀ ɪ̀ n ɪ̀ ɬ t͡ʃʰ ɑ̀ː t
háíshąʼ	h ɑ́ ɪ́ ʃ ɑ̃̀ ʔ
haitʼáo	h ɑ̀ ɪ̀ tʼ ɑ́ ò
haizǫ́ǫ́s	h ɑ̀ ɪ̀ z ṍː s
hakʼaz	h ɑ̀ kʼ ɑ̀ z
halchííʼ	h ɑ̀ l t͡ʃʰ íː ʔ
halneʼ	h ɑ̀ l n ɛ̀ ʔ
halzhíísh	h ɑ̀ l ʒ íː ʃ
hánaaí	h ɑ́ n ɑ̀ː ɪ́
haneʼ	h ɑ̀ n ɛ̀ ʔ
haniih	h ɑ̀ n ìː h
hasbídí	h ɑ̀ s p ɪ́ t ɪ́
hasįįh	h ɑ̀ s ĩ̀ː h
hastą́ą́	h ɑ̀ s tʰ ɑ̃́ː
hastą́diin	h ɑ̀ s tʰ ɑ̃́ t ìː n
hastą́ʼáadah	h ɑ̀ s t ɑ̃́ ʔ ɑ̂ː t ɑ̀ h
hastiin	h ɑ̀ s tʰ ìː n
hashkeeh	h ɑ̀ ʃ kʰ èː h
hashkʼaan	h ɑ̀ ʃ kʼ ɑ̀ː n
hashtʼeʼ	h ɑ̀ ʃ tʼ ɛ̀ ʔ
hataał	h ɑ̀ tʰ ɑ̀ː ɬ
hataałii	h ɑ̀ tʰ ɑ̀ː ɬ ìː
hazʼą́	h ɑ̀ z ʔ ɑ̃́
hazhóóʼógo	h ɑ̀ ʒ óː ʔ ó k ò
hazhóʼó	h ɑ̀ ʒ ó ʔ ó
hazhóʼógo	h ɑ̀ ʒ ó ʔ ó k ò
haʼáłchíní	h ɑ̀ ʔ ɑ́ ɬ t͡ʃʰ ɪ́ n ɪ́
haʼátʼíí	h ɑ̀ ʔ ɑ́ tʼ íː
haʼátʼíishąʼ	h ɑ̀ ʔ ɑ́ tʼ îː ʃ ɑ̃̀ ʔ
haʼaʼaah	h ɑ̀ ʔ ɑ̀ ʔ ɑ̀ː h
haʼíí	h ɑ̀ ʔ íː
haʼní	h ɑ̀ ʔ n ɪ́
Haʼooméya	h ɑ̀ ʔ òː m ɛ́ j ɑ̀
hééł	h éː ɬ
Héítii	h é ɪ́ tʰ ìː
his	h ɪ̀ s
hólǫ́	h ó l ṍ
honeezílí	h ò n èː z ɪ́ l ɪ́
honeezkʼází	h ò n èː z kʼ ɑ́ z ɪ́
honiłné	h ò n ɪ̀ ɬ n ɛ́
hooghan	h òː ɣ ɑ̀ n
hoołʼaah	h òː ɬ ʔ ɑ̀ː h
hóóyééʼ	h óː j éː ʔ
Hoozdo	h òː z t ò
hoozdo	h òː z t ò
Hoozdoh	h òː z t ò h
hooʼaah	h òː ʔ ɑ̀ː h
hosh	h ò ʃ
hoshdódii	h ò ʃ t ó t ìː
hóteel	h ó tʰ èː l
hózhǫ́	h ó ʒ ṍ
hózhǫ́ǫgo	h ó ʒ õ̂ː k ò
hw	hʷ
Hw	hʷ
Hwéeldi	hʷ êː l t ɪ̀
hweʼesdzáán	hʷ ɛ̀ ʔ ɛ̀ s t͡s ɑ́ː n
ídlą́	ʔ ɪ́ t͡l ɑ̃́
íhoołʼaah	ʔ ɪ́ h òː ɬ ʔ ɑ̀ː h
iichʼąh	ʔ ìː t͡ʃʼ ɑ̀ h
iichʼąhii	ʔ ìː t͡ʃʼ ɑ̃̀ h ìː
iidą́	ʔ ìː t ɑ̃́
iidiʼaah	ʔ ìː t ɪ̀ ʔ ɑ̀ː h
iighááh	ʔ ìː ɣ ɑ́ː h
iijííł	ʔ ìː t͡ʃ íː ɬ
iikááh	ʔ ìː kʰ ɑ́ː h
