㑚	n a ² ³
中華臺北	t͡s o ŋ ⁵ ⁵ ɦ o ³ ³ d e ² ² p o ʔ ⁴ ⁴
中裝	t͡s o ŋ ⁵ ⁵ t͡s ɑ̃ ² ¹
中西	t͡s o ŋ ⁵ ⁵ ɕ i ² ¹
中跑	t͡s o ŋ ⁵ ⁵ b ɔ ² ¹
中路	t͡s o ŋ ⁵ ⁵ l u ² ¹
中道	t͡s o ŋ ⁵ ⁵ d ɔ ² ¹
中醫	t͡s o ŋ ⁵ ⁵ i ² ¹
中間	t͡s o ŋ ⁵ ⁵ k e ² ¹
中風	t͡s o ŋ ³ ³ f o ŋ ⁴ ⁴
中風	t͡s o ŋ ⁴ ⁴ f o ŋ ⁵ ³
中飯	t͡s o ŋ ⁵ ⁵ v e ² ¹
串	t͡sʰ ø ³ ⁴
串串燒	t͡sʰ ø ⁵ ⁵ t͡sʰ ø ³ ³ s ɔ ² ¹
丸	ɦ u ø ² ³
丹	t e ⁵ ³
丹麥	t e ⁵ ⁵ m a ʔ ² ¹
丹麥人	t e ⁵ ⁵ m a ʔ ³ ³ n̠ʲ i n ² ¹
主	t͡s z̩ ³ ⁴
主人	t͡s z̩ ³ ³ n̠ʲ i n ⁴ ⁴
主任	t͡s z̩ ³ ³ z ə n ⁴ ⁴
主客	t͡s z̩ ³ ³ kʰ a ʔ ⁴ ⁴
主席	t͡s z̩ ³ ³ ʑ i ɪ ʔ ⁴ ⁴
主意	t͡s z̩ ³ ³ i ⁴ ⁴
主教	t͡s z̩ ³ ³ t͡ɕ i ɔ ⁴ ⁴
主格	t͡s z̩ ³ ³ k a ʔ ⁴ ⁴
主義	t͡s z̩ ³ ³ n̠ʲ i ⁴ ⁴
主要	t͡s z̩ ³ ³ i ɔ ⁴ ⁴
主食	t͡s z̩ ³ ³ z ə ʔ ⁴ ⁴
乃	n e ² ³
乃下去	n e ² ² ɦ o ⁵ ⁵ t͡ɕʰ i ² ¹
乃下去	n e ³ ³ ɦ o ² ² t͡ɕʰ i ⁴ ⁴
乃朝後	n e ² ² z ɔ ⁵ ⁵ ɦ ɤ ² ¹
乃朝後	n e ³ ³ z ɔ ² ² ɦ ɤ ⁴ ⁴
乃朝後頭	n e ² ² z ɔ ⁵ ⁵ ɦ ɤ ³ ³ d ɤ ² ¹
乃末	n a ² ² m ə ʔ ⁴ ⁴
乃末	n e ² ² m ə ʔ ⁴ ⁴
久	t͡ɕ i ɤ ³ ⁴
之	t͡s z̩ ⁵ ³
之一	t͡s z̩ ⁴ ⁴ i ɪ ʔ ⁵ ⁵
之乎者也	t͡s z̩ ⁵ ⁵ h u ³ ³ t͡s e ³ ³ ɦ i e ² ¹
之內	t͡s z̩ ⁵ ⁵ n e ² ¹
之前	t͡s z̩ ⁴ ⁴ ʑ i ² ³
之前	t͡s z̩ ⁵ ⁵ ʑ i ² ¹
之間	t͡s z̩ ⁵ ⁵ t͡ɕ i ² ¹
乍	z o ² ³
乎	ɦ u ² ³
乏	f e ³ ⁴
乏	v a ʔ ¹ ²
乒乓	pʰ i n ⁵ ⁵ pʰ ã ² ¹
乒乓球	pʰ i n ⁵ ⁵ pʰ ã ³ ³ d͡ʑ i ɤ ² ¹
乓	pʰ ã ⁵ ³
乓乓響	pʰ ã ⁵ ⁵ pʰ ã ³ ³ ɕ i ã ² ¹
乖	k u a ⁵ ³
乘	t͡sʰ ə n ³ ⁴
乘	z ə n ² ³
乘客	z ə n ² ² kʰ a ʔ ⁴ ⁴
乘車	t͡sʰ ə n ³ ³ t͡sʰ o ⁴ ⁴
乘車	t͡sʰ ə n ⁴ ⁴ t͡sʰ o ⁵ ³
乘車子	t͡sʰ ə n ³ ³ t͡sʰ o ⁵ ⁵ t͡s z̩ ² ¹
乘風涼	z ə n ² ³ f o ŋ ⁵ ⁵ l i ã ² ¹
乙	i ɪ ʔ ⁵ ⁵
乙巳	i ɪ ʔ ³ ³ z z̩ ⁴ ⁴
九	t͡ɕ i ɤ ³ ⁴
九十	t͡ɕ i ɤ ³ ³ z ə ʔ ⁴ ⁴
九十九	t͡ɕ i ɤ ³ ³ z ə ʔ ⁵ ⁵ t͡ɕ i ɤ ² ¹
九天	t͡ɕ i ɤ ³ ³ tʰ i ⁴ ⁴
九月	t͡ɕ i ɤ ³ ³ ɦ y ɪ ʔ ⁴ ⁴
九江	t͡ɕ i ɤ ³ ³ k ɑ̃ ⁴ ⁴
九牛一毛	t͡ɕ i ɤ ³ ³ n̠ʲ i ɤ ⁵ ⁵ i ɪ ʔ ³ ³ m ɔ ² ¹
九點	t͡ɕ i ɤ ³ ³ t i ⁴ ⁴
九龍	t͡ɕ i ɤ ³ ³ l o ŋ ⁴ ⁴
乞	t͡ɕʰ i ɪ ʔ ⁵ ⁵
乞丐	t͡ɕʰ i ɪ ʔ ³ ³ k e ⁴ ⁴
也	a ⁵ ³
也	ɦ a ² ³
也	ɦ i e ² ³
也怕	a ⁵ ⁵ pʰ o ² ¹
也是	ɦ a ² ³ z z̩ ² ³
