㐁	tʰ ʌ m H
㘝	ɳˠ i ɪ p̚
㘠	p ɨ k̚
㘣	h w e n
㘨	n e p̚
㙀	l ɨ u H
㙙	l ɨ o ŋ X
㚅	l ɨ u ŋ
㚊	kʰ ʌ i
㚋	t e u
㚍	kʰ u ʌ i X
㚒	ɕ i ᴇ m X
㚔	ɳˠ i ᴇ p̚
㚘	b u ɑ n X
㚤	j ɨ k̚
㚫	s ʌ p̚
㚲	t͡ɕʰ i ᴇ m
㛁	pʰˠ ɛ ŋ
㛂	ŋ u ɑ X
㛄	ʔ ɨ i
㛅	ȵ ɨ H
㛍	hˠ i ᴇ m X
㛑	t͡sʰ ɑ n H
㛗	s u ɑ
㛘	pʰ u ə t̚
㛥	tʰ ʌ p̚
㛧	m ɑ m X
㛱	ʔ u ʌ i X
㛳	j i ᴇ i H
㛶	tʰ ɑ n H
㛹	b i ᴇ n
㛼	t͡ʃʰˠ ɛ p̚
㜅	h ɨ u k̚
㜇	ʔ i u ᴇ H
㜊	ʈˠ i ᴇ n X
㜎	ɦ e i
㜓	t ʌ p̚
㜗	t͡sʰ ʌ m
㜘	t͡s i a
㜝	ŋ ʌ m X
㜢	l ɨ o X
㜣	ȵ i ᴇ n
㜤	ɕ i ɪ m X
㜪	ʃ ɪ n
㜮	l ɑ m H
㜰	j ɨ ɐ k̚
㜲	j i ᴇ ŋ
㜳	ɦˠ u ɛ i
㜵	n e u X
㜷	m i ᴇ
㜺	t͡s ɑ n H
㝂	t͡ɕ i ᴇ i H
㝅	n ə u X
㝌	j ɨ u X
㝏	kˠ ɛ i H
㝗	l ɑ ŋ
㝞	ʔˠ a
㝢	ɦ ɨ o X
㝤	k ə u H
㝩	kʰ ɑ ŋ
㝪	t e m H
㝯	ɡˠ i ᴇ u
㝰	m e n
㝻	ɡˠ i ɪ n H
㝼	ʔ ɨ o
㝾	t͡s ɑ X
㞁	j i ᴇ u H
㞂	tʰ u ʌ i X
㞄	ʔ ʌ m
㞆	kˠ i ᴇ X
㞇	ʔ u ʌ i X
㞋	ȵ i u ᴇ n X
㞏	ɖˠ i ɪ p̚
㞓	kʰ i ɪ H
㞚	t͡ʃʰˠ i ɪ p̚
㞛	k i ɪ X
㞜	tʰ u ʌ i
㞟	d e n H
㞟	t e ŋ X
㞥	d͡ʒˠ i ɪ m
㞦	k i ɪ X
㞷	ɡ ʉ ɐ ŋ
㞽	h ʉ ɐ t̚
㟅	l u ŋ
㟉	l ɑ u
㟋	d u ɑ i H
㟌	mˠ ʌ ŋ
㟍	l ɑ ŋ
㟎	tʰ u ʌ i X
㟏	h ʌ m
㟐	m ɑ ŋ X
㟛	d͡z ɑ m X
㟞	d͡ʒˠ ɛ n X
㟪	ʔ ʉ i
㟳	l i ɪ t̚
㟽	p i ᴇ u X
㟾	j ɨ o ŋ
㠆	t ɑ n
㠇	d͡z ɨ u H
㠊	kʰ ɨ ʌ
㠍	t͡s i ɪ p̚
㠐	ɡˠ i ᴇ u
㠑	d͡z i u ɪ X
㠔	pˠ ɛ H
㠖	ŋˠ i ᴇ X
㠛	ʔˠ w i æ k̚
㠢	ɦˠ u ɛ i
㠥	l i u ɪ
㠦	pʰ ɨ u ŋ
㠴	ȵ i ɪ t̚
㠵	h w ɑ ŋ
㠷	k ʌ p̚
㠹	kˠ ɛ i H
㠺	m i ᴇ u
㠽	d u o ŋ
㠾	ʔ ʉ ɐ n
㠿	t͡s i ᴇ
㡁	kʰˠ u a X
㡅	n ɑ X
㡆	h w ɑ ŋ
㡇	t e m
㡉	k e n
㡋	ʔ ɨ ɐ p̚
㡏	ʃ ɨ o
㡑	t͡sʰ i ᴇ u
㡒	ɖ i u ɪ n
㡓	k u ə n
㡔	m u o
㡗	d e i
㡘	l i ᴇ m
㡙	p e i
㡜	ʃˠ i ᴇ i H
㡝	b ɨ o ŋ H
㡟	t͡s ɑ u
㡥	ʔ ɨ n H
㡧	ʈˠ æ ŋ H
㡨	t͡sʰ i ᴇ m
㡲	ɦˠ u a n
㡷	p u ə n X
㡹	t͡sʰ i ᴇ H
㡺	t ɑ n H
㡼	j i ɪ H
㢀	t͡sʰ i ᴇ H
㢁	t͡ɕʰ i ᴇ X
㢂	ŋ ɨ ɐ m X
㢅	l u ŋ H
㢈	d u ʌ i
㢊	ʔˠ ɛ X
㢋	t͡ɕʰ i ᴇ X
㢏	d ə u
㢒	d͡ʒˠ a
㢓	t͡ɕ ɨ ɐ ŋ H
㢔	t͡s u ŋ X
㢖	pʰ u ɑ n
㢗	kʰˠ i ᴇ u H
㢚	l u o
㢝	s u o
㢟	ʈʰˠ i ᴇ n
㢨	ɦ ɑ n H
㢪	ʔ u o
㢯	t u ə n
㢰	bˠ i ᴇ H
㢵	h ɨ ɐ p̚
㢻	ɳˠ i u ᴇ H
㢾	k w e n H
㣁	bˠ i ɪ H
㣂	ŋˠ ɛ k̚
㣅	d͡z ʌ m X
㣆	m i ᴇ
㣇	j i ɪ H
㣈	s i ɪ H
㣌	ʃˠ a m H
㣎	m ɨ u k̚
㣑	j ɨ o ŋ
㣙	d e k̚
㣝	s ɨ u ŋ
㣟	h i ɪ t̚
㣤	d͡z i ᴇ n X
㣭	t͡s u ŋ
㣶	ʈˠ ɛ n
㣻	ŋ ɨ ɐ i H
㣿	t e u X
㤄	pʰ ɑ i H
㤆	pʰ ʉ ɐ n H
㤇	ʔ ɑ u X
㤉	kʰˠ a
㤊	ɦˠ a u
㤍	kʰˠ a u
㤎	k ɑ
㤏	d u o ŋ
㤒	k ɑ u
㤕	ʈʰ i u ɪ t̚
㤞	d ɑ k̚
㤠	l i ᴇ t̚
㤥	ɦ ʌ i H
㤩	kʰ ɑ k̚
㤮	k ʉ ɐ ŋ H
㤱	pʰ ɨ u X
㤲	kʰ e p̚
㤴	t͡ɕʰ i ᴇ p̚
㤸	h e k̚
㤾	s ʌ m H
㤿	ʔ i ᴇ m
㤿	ʔ ɨ ɐ m H
㥂	tʰ ə k̚
㥆	tʰ u ʌ i H
㥈	d e p̚
㥊	bˠ ɛ ŋ
㥋	ʔ ɨ i
㥌	k ɨ u k̚
㥏	tʰ e n X
㥒	t͡sʰ ʌ i X
㥓	kʰˠ i ᴇ
㥚	j ɨ o
㥛	k ɨ k̚
㥜	ɦ ʉ i H
㥝	m i ᴇ X
㥟	ɦˠ ɛ
㥠	s ɨ ʌ
㥢	d͡z ɨ u
㥯	ʔ ɨ n X
㥴	j i ᴇ
㥶	s ə k̚
㥷	ʔ e i H
㥽	t͡ʃʰˠ ɛ k̚
㥾	ɳˠ i ɪ t̚
㦁	l i ᴇ n
㦃	ʃˠ ɛ n X
㦄	mˠ a
㦅	d e t̚
㦌	h u ə t̚
㦎	hˠ w ɛ k̚
㦒	l e i
㦓	ɦ e n X
㦗	kˠ i ɪ m
㦚	p i ᴇ n X
㦛	j ɨ ʌ
㦜	ɦ w ɑ k̚
㦝	mˠ ʌ k̚
㦣	t͡s i ᴇ i H
㦦	h e k̚
㦴	kˠ æ k̚
㦵	ʈ ɨ o
㦺	ȵ ɨ o k̚
㦼	ʃˠ ʌ ŋ H
㦿	kʰˠ ɛ m X
㧀	ɡˠ i ɪ p̚
㧁	kʰ ɨ ʌ H
㧄	kʰ ɨ ɐ m X
㧆	k ɨ n H
㧉	k ʌ i H
㧒	ɦˠ i u ɪ t̚
㧓	kˠ u a
㧔	kˠ u ɛ i H
㧗	t͡s i ᴇ X
㧘	d͡ʒˠ ɛ
㧡	ɦ ʌ i X
㧢	ʔ i ɪ n
㧦	h w e n H
㧬	k ɨ o ŋ X
㧲	s ʌ m X
㧴	ŋ ɑ X
㧶	kʰˠ ɛ ŋ
㧹	tʰ ə k̚
㧺	d ʌ p̚
㧻	ʈˠ ʌ k̚
㧾	kʰ u ə t̚
㨅	ɳˠ i u ᴇ H
㨉	mˠ i ɪ n
㨊	j i u ɪ X
㨋	t͡ɕʰ i a X
㨍	p ɑ ŋ
㨎	ȵ i u ᴇ t̚
㨏	tʰ ɑ n
㨐	p ə u X
㨒	kʰ w e i
㨖	ʈˠ i ᴇ X
㨙	ɦˠ ɛ
㨝	s e t̚
㨞	s u o H
㨠	m e n X
㨡	ɦ u ə n
㨤	kʰˠ u ɛ i
㨧	b u ə n X
㨨	ʈʰ ɨ u
㨵	t͡s i ᴇ n X
㨷	ɡˠ i ɪ n
㨹	t͡s i u ᴇ i H
㨻	d͡z ɑ m
㩇	hˠ w ɛ k̚
㩊	s i u ᴇ n
㩋	s e u
㩓	hˠ i u ᴇ X
㩜	l ɑ m
㩢	m e i H
㩤	pʰ ɨ o
㩧	bˠ ʌ k̚
㩨	ɦ w e i H
㩩	kʰ w i ᴇ ŋ X
㩱	t͡s ɨ ɐ k̚
㩳	s ɨ o ŋ X
㩵	d͡z ɑ t̚
㩺	pʰ i ɪ
㩻	kʰˠ i ᴇ
㩻	kˠ i u ᴇ H
㩼	t͡ɕ i ᴇ
㩽	ɡˠ i ᴇ
㩾	ʈˠ i u ᴇ
㩿	kʰ u ə t̚
㪁	ɡˠ i ɪ m
㪆	t e i X
㪇	s e n H
㪉	k ʌ p̚
㪋	h ɑ X
㪌	s u ŋ X
㪏	p e i X
㪏㪒	p e i X
㪐	l u ə t̚
㪑	ʔ ɨ ɐ p̚
㪒	ŋ e i
㪖	l u k̚
㪙	kʰ u ɑ H
㪜	t͡ʃʰˠ i u ᴇ X
㪝	l e n H
㪡	kʰ ɑ i H
㪤	p i ɪ t̚
㪥	t͡ʃˠ a
㪩	s ɨ u k̚
㪪	s ɑ p̚
㪬	ɖˠ ʌ k̚
㪭	l u o
㪵	p u ɑ n H
㪺	k ɨ o
㪻	pʰ ʉ ɐ n H
㫂	t͡ɕ ɨ ʌ H
㫃	ʔ ɨ ɐ n X
㫊	ʔ ɑ X
㫍	j i ᴇ u
㫎	h ʉ i
㫏	ʔ e u X
㫐	ʔ e u X
㫱	ɳˠ a n X
㫹	ʃ ɨ ʌ H
㫽	l ɨ o k̚
㬄	ʈʰˠ a n H
㬊	ɦ u ɑ n X
㬎	ŋ ʌ p̚
㬒	m ɑ ŋ X
㬓	pʰ i ᴇ u H
㬗	n e n H
㬝	s u ŋ
㬤	kʰˠ i ɪ p̚
㬫	ʔ e n H
㬮	ɳˠ ɛ n
㬱	tʰ e i H
㬻	h w ɑ ŋ X
㭁	ȵ ɨ ŋ
㭂	t͡s e u X
㭈	k w e t̚
㭋	bˠ ʌ ŋ X
㭔	l u o
㭘	k ʌ p̚
㭘	ɦ ʌ p̚
㭚	l ɨ ʌ X
㭛	pʰˠ ɛ H
㭜	ȵ ɨ u ŋ
㭝	ɡ ɨ u
㭠	s e n X
㭩	l u o X
㭫	d͡z u ɑ
㭭	pˠ a t̚
㭯	ʈˠ i ᴇ p̚
㭰	t͡s i ᴇ
㭸	d u o
㭺	ʔˠ i ᴇ m X
㭼	d ʌ p̚
㭿	ŋ ɑ ŋ
㮀	ɦˠ ɛ m
㮁	ɦˠ a u
㮂	k ɨ o k̚
㮃	ʔˠ i u ᴇ
㮇	tʰ e m H
㮌	m i ᴇ n
㮍	t͡s e n
㮐	s i ᴇ ŋ X
㮕	ȵ i u ᴇ n X
㮖	kˠ ɛ t̚
㮙	ŋ ɑ k̚
㮚	l i ɪ t̚
㮢	ɦ ə u
㮤	z ɨ o ŋ
㮦	s ɑ k̚
㮧	ʔ u o
㮨	t͡s ɨ k̚
㮩	s ɨ k̚
㮫	ɦ ɑ t̚
㮬	ʔ u ŋ
㮯	ɦ u ə n
㮰	b i ɪ
㮶	ʃˠ ʌ k̚
㮷	k e i
㯁	b ʌ i
㯃	t͡sʰ i ɪ t̚
㯄	t͡ɕ i ᴇ
㯅	bˠ i ᴇ
㯉	ʈʰ ɨ ʌ
㯊	ɦ ə n
㯋	k w e ŋ X
㯍	t͡s ɨ ɐ ŋ X
㯓	tʰ ɑ p̚
㯔	t͡sʰ i u ᴇ i H
㯕	s e i
㯙	ɖˠ i ᴇ t̚
㯚	t ʌ p̚
㯛	ɦ u o
㯜	ʃ ɪ n
㯞	k i u ᴇ n H
㯠	kʰ e n H
㯡	bˠ a u
㯫	ɡ ɨ ʌ
㯬	l i ᴇ m X
㯮	d͡ʑ ɨ o k̚
㯯	k u ŋ H
㯱	pʰ ɑ u
㯲	kˠ i ɪ m H
㯳	kˠ i æ ŋ X
㯸	t͡s i ɪ n X
㯿	j i ᴇ p̚
㰁	l ɑ X
㰂	ɕ i ɪ m X
㰈	l i ᴇ m X
㰊	z i ᴇ m
㰋	b i ɪ n
㰚	l i ᴇ
㰠	h ɑ ŋ
㰢	kʰˠ ɛ ŋ
㰣	t͡s i ᴇ
㰤	h ɑ X
㰥	h e i H
㰦	kʰ ɨ ɑ
㰨	hˠ ɛ
㰬	s i u ɪ n
㰭	h ɨ o
㰮	d͡ʑ i ɪ n X
㰯	tʰ ə u H
㰲	ʔ ɨ u k̚
㰳	ʔˠ a H
㰴	pʰ ə u H
㰵	t͡s i u ɪ t̚
㰶	bˠ i ᴇ u X
㰹	hˠ ɛ m
㰻	ʔ i ɪ X
㰼	ʃˠ i ᴇ p̚
㰽	ʔ ɨ ɐ n H
㱀	t͡ʃʰ ɨ X
㱂	kʰ ɑ ŋ
㱄	h ə k̚
㱇	ʃ ɨ k̚
㱊	ʔ ɨ u
㱍	l u ɑ n
㱎	k u ə n
㱖	d͡z i u ɪ H
㱟	pʰˠ i ᴇ
㱬	ʔ u ʌ i X
㱯	k ʌ i
㱻	l u ɑ i H
㱿	kʰˠ ʌ k̚
㲀	t͡ɕ i ɪ n
㲉	kʰ u k̚
㲋	ʈʰ ɨ ɐ k̚
㲓	ɕ ɨ o H
㲚	ʃˠ a
㲞	s u ə t̚
㲡	n ɑ i H
㲦	ɦ ɑ n H
㲪	t ə ŋ
㲲	d e p̚
㲳	ʈˠ i ɪ t̚
㲺	t͡s i ɪ t̚
㲼	ŋ ɨ ɐ i H
㳦	ɦˠ ɛ i H
㳧	t͡ɕʰ i ᴇ p̚
㳬	z i u ᴇ n
㴧	s ɨ k̚
㴫	k u ə n H
㴴	ɖˠ ɛ m X
㴽	s e t̚
㵋	mˠ ɛ X
㵐	kʰ ʉ ɐ t̚
㵑	ɦ ɑ H
㵗	b ɨ ŋ
㵞	d͡ʒ ɨ u
㵺	pʰˠ ɛ H
㵾	t͡ʃʰˠ æ ŋ H
㶀	kˠ a u
㶁	kˠ w æ k̚
㶏	ʔ ɨ n
㶒	ɕ ɑ m X
㶕	kˠ ɛ n X
㶛	j ɨ ʌ
㶟	l i u ɪ
㷄	h u ʌ i X
㷅	t͡ʃʰˠ ɛ p̚
㷉	ʔ ʉ i H
㷒	ŋ ɨ o
㷟	tʰ u ʌ i
㷠	l i ɪ n
㷮	t͡s ɑ u
㷳	ŋ ɑ n H
㷹	ɖˠ a u H
㸒	j i ɪ m
㸙	t͡ɕ i a
㸚	l e i H
㸚	l i ᴇ X
㸣	ŋ ɨ ɐ p̚
㸪	ʑ i u ɪ n
㸬	p ɑ i H
㸰	d u ɑ
㸲	d͡z ɑ k̚
㸳	l e ŋ
㸶	ʔˠ ɛ n
㸸	h ə u X
㸹	l u ɑ t̚
㸼	pʰ ɨ o ŋ
㹁	l ɨ ɐ ŋ
㹂	ɦˠ ɛ n X
㹃	p ʉ i H
㹄	t͡s ɨ k̚
㹉	ŋ ʉ ɐ n
㹊	ŋˠ ʌ k̚
㹌	ʃˠ ɛ n X
㹍	d e k̚
㹏	k ɨ n X
㹒	pʰˠ ʌ k̚
㹔	k ɨ ɐ ŋ
㹗	t͡ɕʰ ʌ i
㹘	ȵ ɨ o H
㹛	ȵ i ᴇ u
㹜	ŋ ɨ n
㹱	t͡sʰ ɨ o k̚
㹲	hˠ a u
㹳	ŋ u o
㹼	k ɨ u k̚
㺎	j ɨ o ŋ
㺏	l ɨ o
㺑	ʃˠ ɛ m
㺑	ʃˠ ɛ m X
㺒	ɦˠ a u X
㺔	h ɑ i H
㺜	n u o ŋ
㺞	j ɨ ʌ
㺦	l i ᴇ n
㺧	hˠ i ᴇ u
㺿	j ɨ
㻍	ŋ u o
㻒	ɡˠ i u ɪ n X
㻝	l ɑ t̚
㻞	pˠ i ɪ n
㼉	ɖˠ i ɪ m H
㼋	k u o
㼌	j ɨ o X
㼎	bˠ ʌ k̚
㼏	n u ʌ i X
㼐	b e n
㼑	l e n H
㼒	tʰ ɑ ŋ X
㼔	ʔ u ə n
㼕	t ɑ ŋ
㼗	d e ŋ
㼟	pˠ æ k̚
㼠	d ɑ
㼡	d͡ʑ ɨ o
㼢	j ɨ
㼤	kʰ e t̚
㼦	k ɨ o ŋ X
㼧	d u ŋ
㼪	t͡s e p̚
㼬	ɦˠ ɛ ŋ X
㼭	d e m H
㼮	t͡ʃʰˠ ɛ
㼯	t u ŋ H
㼰	b e i
㼲	l i ᴇ p̚
㼵	d e i X
㼻	d͡z u o ŋ
㼽	t͡ʃʰ ɨ ɐ ŋ X
㼽	ʃ ɨ ɐ ŋ X
㼿	d u ŋ
㽉	ɦˠ a m H
㽎	d ʌ m
㽎	hˠ i ɪ m
㽘	k ɑ ŋ X
㽚	ʈʰ ɨ k̚
㽤	k ɨ u k̚
㽥	ȵ ɨ u
㽬	pʰ ɨ k̚
㽰	ʃ ɨ ʌ
㽱	k ɨ u
㽱	kˠ a u X
㾀	kʰ ɨ ɐ p̚
㾁	h u ə t̚
㾏	kˠ ɛ H
㾓	ʔ w e n
㾕	ʃ ɪ n
㾞	j ɨ u
㾪	ʃˠ i æ ŋ X
㾯	h u ʌ i
㾶	k u ə t̚
㾷	s i ᴇ
㾹	d͡ʒˠ ɛ
㾹	d͡ʒˠ ɛ H
㾻	ɖ ɨ ʌ
㾻	ɖ ɨ ʌ H
㿃	t ɑ i H
㿃	ʈˠ i ᴇ i H
㿋	s ɑ u H
㿪	ɦ u ɑ n
㿬	pˠ a
㿮	ʔˠ i æ ŋ
㿯	t ʌ p̚
㿱	z i u ᴇ t̚
㿴	t ɑ p̚
㿷	t͡ʃʰˠ i u ɪ H
㿸	m ʉ ɐ n X
㿺	pˠ ʌ k̚
㿻	k ɑ n
㿼	ŋ e n
䀀	pʰ ɨ ɐ m H
䀁	ɦ ɨ u X
䀂	ʔ ɑ n
䀐	ʃˠ ɛ m
䀠	k ɨ o
䀫	kˠ ɛ p̚
䀮	h w ɑ ŋ
䀰	k u k̚
䀴	ŋ e ŋ X
䀴	ŋˠ ɛ p̚
䁆	ʔ ɨ ɐ p̚
䁌	ɦ ɨ u t̚
䁍	kʰˠ ɛ p̚
䁎	ɖˠ ɛ ŋ
䁒	t͡s i ɪ p̚
䁓	t͡s u ŋ X
䁔	h ʉ ɐ n
䁝	j w i ᴇ ŋ
䁦	t͡sʰ ɨ ʌ H
䁱	ʔ ə u
䁽	l i ᴇ p̚
䁿	m ə k̚
䂇	ɳ ɨ u k̚
䂈	d u o ŋ
䂌	t͡ɕʰ ɨ o ŋ
䂎	t͡s u ɑ n X
䂏	t e u
䂑	t͡s e i
䂒	kʰˠ ɛ t̚
䂕	h ʉ ɐ i H
䂬	ɡ ɨ o ŋ
䂮	l ɨ ɐ k̚
䂳	t͡sʰ u ɑ X
䂻	ɖˠ æ ŋ H
䂽	d e u X
䃚	t͡sʰ u k̚
䃭	k ʌ m X
䃴	t͡ɕ ɨ ʌ
䃸	s e m H
䃺	m u ɑ H
䃽	kˠ i u ᴇ X
䃾	p i ɪ X
䃿	p ɨ o
䄩	j ɨ k̚
䅃	ɡ ɨ o ŋ
䅃	ɡ ɨ o ŋ X
䅘	l ʌ i
䅣	ɦ w ɑ ŋ
䅭	b ɑ ŋ
䆀	m ʌ i X
䆨	n e ŋ
䆸	ʈˠ ɛ ŋ
䆽	ɡ ɨ ʌ
䇂	kʰˠ i ᴇ n
䇘	ɦ u o H
䇦	ʔ ɑ ŋ X
䇫	k ɨ
䇸	ɖ i ᴇ ŋ
䈪	h e k̚
䈮	k ɨ o H
䈰	ʃˠ a u
䈶	j ɨ o ŋ
䉛	ʔ ɨ u k̚
䉬	p ʉ ɐ i H
䉶	ʃˠ ʌ ŋ
䉷	ŋ ɨ ɐ m
䊆	ɡ ɨ u X
䊡	m u ɑ n
䊦	ʔ e t̚
䊬	ʈʰˠ u a X
䊭	d ɑ u H
䊮	d e k̚
䊵	ɡ ɨ u
䊷	t͡ʃ ɨ
䋎	ɖˠ ɛ n H
䋖	j i u ɪ t̚
䋙	ȵ ɨ X
䋪	ʔ ɑ
䋰	k ɨ o k̚
䋻	ɳˠ i ɪ m
䋼	tʰ e ŋ
䋿	ʔ u ʌ i
䌟	bˠ ɛ k̚
䌠	k ʌ m
䌥	ʔ ɨ n X
䌵	t͡ɕ ɨ o k̚
䍃	j ɨ u
䍇	d ɑ p̚
䍎	t͡sʰ u ə n H
䍐	h ɑ n X
䍔	kˠ w æ ŋ
䍖	pʰˠ a u
䍜	ʈˠ a u H
䍡	l u k̚
䍤	t͡s e i X
䍦	l i ᴇ
䍺	ɦˠ u a n
䎉	h i ɪ t̚
䎑	l u k̚
䎕	hˠ w æ ŋ
䎙	pʰ i ɪ n
䎠	ȵ ɨ
䎦	j i ᴇ m X
䎧	bˠ ʌ ŋ X
䏆	d͡z i ᴇ u
䏐	k w e t̚
䏒	pʰ e n H
䏔	ɳ ɨ u X
䏖	ɖˠ i ɪ n X
䏘	pʰ i ɪ t̚
䏙	tʰ ʌ m X
䏟	b e t̚
䏣	t͡sʰ ɨ ʌ
䐁	t u k̚
䐄	ɦ ʌ m H
䐓	ȵ ɨ u
䐜	t͡ɕʰ i ɪ n
䐥	ʔ u ŋ X
䐬	d͡z ɑ u
䐮	t͡ʃʰˠ ɛ n X
䐯	lˠ u ɛ i
䐶	t͡s ʌ m
䐷	t ɑ n
䑂	j ʌ i X
䑃	m u ŋ
䑠	l e u X
䑣	ʈʰˠ i ɪ m
䑦	k ə u
䒆	ʈʰˠ i ᴇ t̚
䒉	m ɨ o X
䒊	h e i
䒌	m e ŋ H
䒌靘	m e ŋ H
䒍	pʰ ɑ ŋ X
䒎	m ɑ ŋ X
䒏	s ə ŋ
䒐	m ə ŋ
䒐䒏	m ə ŋ
䒢	ŋ ɑ ŋ
䒦	pʰ ɨ ɐ m
䒩	ɦ u ɑ
䒲	ʈˠ a H
䒴	ɦ ɨ u X
䓈	j i u ᴇ X
䓊	ŋ u o
䓠	tʰ ʌ p̚
䓮	m ɑ u X
䓳	ɦˠ ɛ i
䓴	ȵ i u ᴇ n X
䔁	l i ɪ t̚
䔄	j i ᴇ u
䔄	j i ᴇ u H
䔏	t͡ʃʰ ɨ u H
䔛	kʰ w i ᴇ ŋ X
䔺	j i u ᴇ
䔺	j i u ᴇ X
䔽	ʔˠ i ᴇ i H
䕆	d ə u X
䕍	j i ᴇ i H
䕺	d͡z u ŋ
䖃	j ɨ ɐ k̚
䖆	ȵ ɨ ɐ ŋ X
䖊	ŋ ɨ ɐ i H
䖒	hˠ i ᴇ
䖘	d u o
䖙	d e i
䖡	ɳ ɨ u k̚
䖡蚭	ɳ ɨ u k̚
䖦	t͡ɕ i u ᴇ t̚
䖭	kˠ i u ᴇ n H
䖯	kʰ w e i
䖳	ɖˠ a H
䖵	k u ə n
䖻	l ɨ u
䗅	ɖ ɨ ɐ ŋ
䗆	k u ɑ n X
䗇	ɡ ɨ u k̚
䗓	t͡sʰ u ŋ
䗘	k ɑ p̚
䗤	j ɨ o ŋ
䗥	t͡s u ŋ
䗽	j i u ɪ H
䘆	h ɨ n X
䘎	ʔˠ u a n
䘓	kʰ ʌ m H
䘝	j ɨ k̚
䘷	p e t̚
䘼	ʔ ʉ ɐ n X
䘿	ɡ ɨ u t̚
䙎	ɦˠ ɛ
䙔	ʔ ɨ o
