ᆜ	j ɯ
가설	k a̠ː sʰ ʌ̹ ɭ
가설되다	k a̠ sʰ ʌ̹ ɭ d w e̞ d a̠
가설되다	k a̠ː sʰ ʌ̹ ɭ d w e̞ d a̠
가설법	k a̠ː sʰ ʌ̹ ɭ p͈ ʌ̹ p̚
가설하다	k a̠ sʰ ʌ̹ ɾ ɦ a̠ d a̠
가설하다	k a̠ː sʰ ʌ̹ ɾ ɦ a̠ d a̠
가성비	k a̠ sʰ ʌ̹ ŋ b i
가세	k a̠ sʰ e̞
가세하다	k a̠ sʰ e̞ ɦ a̠ d a̠
가소롭다	k a̠ː sʰ o̞ ɾ o̞ p̚ t͈ a̠
가소제	k a̠ː sʰ o̞ d͡ʑ e̞
가속	k a̠ sʰ o̞ k̚
가솔린	k a̠ sʰ o̞ ʎ ʎ i n
가수	k a̠ sʰ u
가숭어	k a̠ː sʰ u ŋ ʌ̹
가스	k͈ a̠ s͈ ɯ
가스나이	k a̠ sʰ ɯ n a̠ i
가스레인지	k a̠ sʰ ɯ ɾ e̞ i ɲ d͡ʑ i
가스아바이	k a̠ sʰ ɯ a̠ b a̠ i
가스용기	k a̠ sʰ ɯ j o ŋ ɡ i
가스파초	k a̠ sʰ ɯ pʰ a̠ t͡ɕʰ o̞
가슴	k a̠ sʰ ɯ m
가슴골	k a̠ sʰ ɯ m k͈ o̞ ɭ
가슴띠	k a̠ sʰ ɯ m t͈ i
가슴뼈	k a̠ sʰ ɯ m p͈ j ʌ̹
가슴속	k a̠ sʰ ɯ m sʰ o̞ k̚
가슴주머니	k a̠ sʰ ɯ m d͡ʑ u m ʌ̹ n i
가습기	k a̠ sʰ ɯ p̚ k͈ i
가시	k a̠ ɕʰ i
가시고기	k a̠ ɕʰ i ɡ o̞ ɡ i
가시광선	k a̠ ɕʰ i ɡ w a̠ ŋ sʰ ʌ̹ n
가시나	k a̠ ɕʰ i n a̠
가시나무	k a̠ ɕʰ i n a̠ m u
가시납지리	k a̠ ɕʰ i n a̠ p̚ t͡ɕ͈ i ɾ i
가시다	k a̠ ɕʰ i d a̠
가시두더지	k a̠ ɕʰ i d u d ʌ̹ d͡ʑ i
가시버시	k a̠ ɕʰ i b ʌ̹ ɕʰ i
가시비름	k a̠ ɕʰ i b i ɾ ɯ m
가시상추	k a̠ ɕʰ i sʰ a̠ ŋ t͡ɕʰ u
가시아버지	k a̠ ɕʰ i a̠ b ʌ̹ d͡ʑ i
가시어머니	k a̠ ɕʰ i ʌ̹ m ʌ̹ n i
가시집	k a̠ ɕʰ i d͡ʑ i p̚
가시철사	k a̠ ɕʰ i t͡ɕʰ ʌ̹ ɭ sʰ a̠
가시칠엽수	k a̠ ɕʰ i t͡ɕʰ i ɾ j ʌ̹ p s͈ u
가시화	k a̠ ɕʰ i β w a̠
가식	k a̠ː ɕʰ i k̚
가식하다	k a̠ː ɕʰ i kʰ a̠ d a̠
가실	k a̠ ɕʰ i ɭ
가쓰오부시	k a̠ s͈ ɯ o̞ b u ɕʰ i
가야	k a̠ j a̠
가야금	k a̠ j a̠ ɡ ɯ m
가얏고	k a̠ j a̠ t̚ k͈ o̞
가언적	k a̠ ʌ̹ ɲ d͡ʑ ʌ̹ k̚
가업	k a̠ ʌ̹ p̚
가없다	k a̠ː ʌ̹ p̚ t͈ a̠
가없이	k a̠ː ʌ̹ p ɕ͈ i
가연성	k a̠ː j ʌ̹ n s͈ ʌ̹ ŋ
가열기	k a̠ j ʌ̹ ɭ ɡ i
가엾다	k a̠ː j ʌ̹ p̚ t͈ a̠
가오	k a̠ o̞
가오리	k a̠ o̞ ɾ i
가요	k a̠ j o
가운	k a̠ u n
가운데	k a̠ u n d e̞
가운데소리	k a̠ u n d e̞ sʰ o̞ ɾ i
가운뎃점	k a̠ u n d e̞ t̚ t͡ɕ͈ ʌ̹ m
가웃	k a̠ u t̚
가위	k a̠ ɥ i
가위	k a̠ː ɥ i
가위바위보	k a̠ ɥ i b a̠ ɥ i b o̞
가위주먹	k a̠ ɥ i d͡ʑ u m ʌ̹ k̚
가을	k a̠ ɯ ɭ
가을밤	k a̠ ɯ ɭ p͈ a̠ m
가을비	k a̠ ɯ ɭ p͈ i
가을철	k a̠ ɯ ʎ t͡ɕʰ ʌ̹ ɭ
가이	k a̠ i
가이드	k a̠ i d ɯ
가이아나	k a̠ i a̠ n a̠
가입하다	k a̠ i pʰ a̠ d a̠
가자	k a̠ d͡ʑ a̠
가자미	k a̠ d͡ʑ a̠ m i
가장	k a̠ d͡ʑ a̠ ŋ
가장	k a̠ː d͡ʑ a̠ ŋ
가장자리	k a̠ː d͡ʑ a̠ ŋ d͡ʑ a̠ ɾ i
가정	k a̠ d͡ʑ ʌ̹ ŋ
가정	k a̠ː d͡ʑ ʌ̹ ŋ
가정법	k a̠ː d͡ʑ ʌ̹ ŋ p͈ ʌ̹ p̚
가정부	k a̠ d͡ʑ ʌ̹ ŋ b u
가정하다	k a̠ː d͡ʑ ʌ̹ ŋ ɦ a̠ d a̠
가제	k a̠ d͡ʑ e̞
가제	k a̠ː d͡ʑ e̞
가제따	k a̠ d͡ʑ e̞ t͈ a̠
가젤	k a̠ d͡ʑ e̞ ɭ
가져가다	k a̠ d͡ʑ ʌ̹ ɡ a̠ d a̠
가져다주다	k a̠ d͡ʑ ʌ̹ d a̠ d͡ʑ u d a̠
가져오다	k a̠ d͡ʑ ʌ̹ o̞ d a̠
가족	k a̠ d͡ʑ o̞ k̚
가주	k a̠ d͡ʑ u
가죽	k a̠ d͡ʑ u k̚
가죽끈	k a̠ d͡ʑ u k̚ k͈ ɯ n
가지	k a̠ d͡ʑ i
가지	k a̠ː d͡ʑ i
가지가지	k a̠ d͡ʑ i ɡ a̠ d͡ʑ i
가지고	k a̠ d͡ʑ i ɡ o̞
가지다	k a̠ d͡ʑ i d a̠
가지뿔	k a̠ d͡ʑ i p͈ u ɭ
가짜	k a̠ː t͡ɕ͈ a̠
가차	k a̠ t͡ɕʰ a̠
가찹다	k a̠ t͡ɕʰ a̠ p̚ t͈ a̠
가창	k a̠ t͡ɕʰ a̠ ŋ
가창오리	k a̠ t͡ɕʰ a̠ ŋ o̞ ɾ i
가철	k a̠ː t͡ɕʰ ʌ̹ ɭ
가체	k a̠ t͡ɕʰ e̞
가축	k a̠ t͡ɕʰ u k̚
가출	k a̠ t͡ɕʰ u ɭ
가출하다	k a̠ t͡ɕʰ u ɾ ɦ a̠ d a̠
가치	k a̠ t͡ɕʰ i
가치관	k a̠ t͡ɕʰ i ɡ w a̠ n
가타가나	k a̠ tʰ a̠ ɡ a̠ n a̠
가타나	k a̠ tʰ a̠ n a̠
가타카나	k a̠ tʰ a̠ kʰ a̠ n a̠
가톨릭	k a̠ tʰ o̞ ʎ ʎ i k̚
가티노	k a̠ tʰ i n o̞
가파르다	k a̠ pʰ a̠ ɾ ɯ d a̠
가필드	k a̠ pʰ i ɭ d ɯ
가하다	k a̠ ɦ a̠ d a̠
가하다	k a̠ː ɦ a̠ d a̠
가혹	k a̠ː β o̞ k̚
가히	k a̠ː ʝ i
각	k a̠ k̚
각각	k a̠ k̚ k͈ a̠ k̚
각골난망	k a̠ k̚ k͈ o̞ ɭ ɭ a̠ n m a̠ ŋ
각국	k a̠ k̚ k͈ u k̚
각기	k a̠ k̚ k͈ i
각다귀	k a̠ k̚ t͈ a̠ ɡ ɥ i
각도	k a̠ k̚ t͈ o̞
각막	k a̠ ŋ m a̠ k̚
각목	k a̠ ŋ m o̞ k̚
각본	k a̠ k̚ p͈ o̞ n
각선미	k a̠ k s͈ ʌ̹ n m i
각설	k a̠ k s͈ ʌ̹ ɭ
각설탕	k a̠ k s͈ ʌ̹ ɭ tʰ a̠ ŋ
각시	k a̠ k ɕ͈ i
각시메뚜기	k a̠ k ɕ͈ i m e̞ t͈ u ɡ i
각시붕어	k a̠ k ɕ͈ i b u ŋ ʌ̹
각오	k a̠ ɡ o̞
각자	k a̠ k̚ t͡ɕ͈ a̠
각종	k a̠ k̚ t͡ɕ͈ o̞ ŋ
각주	k a̠ k̚ t͡ɕ͈ u
각주구검	k a̠ k̚ t͡ɕ͈ u ɡ u ɡ ʌ̹ m
각하	k a̠ kʰ a̠
간	k a̠ n
간	k a̠ː n
간간이	k a̠ n ɡ a̠ n i
간격	k a̠ː n ɡ j ʌ̹ k̚
간계	k a̠ n ɡ j e̞
간곡	k a̠ː n ɡ o̞ k̚
간곡하다	k a̠ː n ɡ o̞ kʰ a̠ d a̠
간과	k a̠ n ɡ w a̠
간균	k a̠ n ɡ j u n
간극	k a̠ n ɡ ɯ k̚
간나	k a̠ n n a̠
간난	k a̠ n n a̠ n
간단	k a̠ n t͈ a̠ n
간단	k a̠ː n d a̠ n
간단하다	k a̠ n t͈ a̠ n ɦ a̠ d a̠
간단하다	k a̠ː n d a̠ n ɦ a̠ d a̠
간단히	k a̠ n d a̠ n ʝ i
간데없이	k a̠ n d e̞ ʌ̹ p ɕ͈ i
간드리	k a̠ n d ɯ ɾ i
간모	k a̠ n m o̞
간물	k a̠ n m u ɭ
간밤	k a̠ n b a̠ m
간병	k a̠ n b j ʌ̹ ŋ
간병인	k a̠ n b j ʌ̹ ŋ i n
간병하다	k a̠ n b j ʌ̹ ŋ ɦ a̠ d a̠
간부	k a̠ n b u
간부회	k a̠ n b u β w e̞
간사	k a̠ n sʰ a̠
간사하다	k a̠ n sʰ a̠ ɦ a̠ d a̠
간사히	k a̠ n sʰ a̠ ʝ i
간선	k a̠ n sʰ ʌ̹ n
간섭	k a̠ n sʰ ʌ̹ p̚
간섭하다	k a̠ n sʰ ʌ̹ pʰ a̠ d a̠
간성	k a̠ n sʰ ʌ̹ ŋ
간소	k a̠ n sʰ o̞
간소하다	k a̠ n sʰ o̞ ɦ a̠ d a̠
간수	k a̠ n sʰ u
간식	k a̠ː n ɕʰ i k̚
간신	k a̠ n ɕʰ i n
간신히	k a̠ n ɕʰ i n ʝ i
간쑤	k a̠ n s͈ u
간악	k a̠ n a̠ k̚
간악하다	k a̠ n a̠ kʰ a̠ d a̠
간암	k a̠ː n a̠ m
간유	k a̠ː ɲ u
간음	k a̠ː n ɯ m
간장	k a̠ ɲ d͡ʑ a̠ ŋ
간장	k a̠ː ɲ d͡ʑ a̠ ŋ
간절	k a̠ ɲ d͡ʑ ʌ̹ ɭ
간절기	k a̠ː ɲ d͡ʑ ʌ̹ ɭ ɡ i
간접	k a̠ː ɲ d͡ʑ ʌ̹ p̚
간접화법	k a̠ ɲ d͡ʑ ʌ̹ pʰ w a̠ b ʌ̹ p̚
간조	k a̠ ɲ d͡ʑ o̞
간주	k a̠ː ɲ d͡ʑ u
간증	k a̠ ɲ d͡ʑ ɯ ŋ
간지	k a̠ ɲ d͡ʑ i
간지럼	k a̠ ɲ d͡ʑ i ɾ ʌ̹ m
간직하다	k a̠ ɲ d͡ʑ i kʰ a̠ d a̠
간질	k a̠ː ɲ d͡ʑ i ɭ
간질거리다	k a̠ ɲ d͡ʑ i ɭ ɡ ʌ̹ ɾ i d a̠
간질이다	k a̠ ɲ d͡ʑ i ɾ i d a̠
간첩	k a̠ː ɲ t͡ɕʰ ʌ̹ p̚
간청	k a̠ː ɲ t͡ɕʰ ʌ̹ ŋ
간청하다	k a̠ː ɲ t͡ɕʰ ʌ̹ ŋ ɦ a̠ d a̠
간체	k a̠ ɲ t͡ɕʰ e̞
간체자	k a̠ ɲ t͡ɕʰ e̞ d͡ʑ a̠
간추리다	k a̠ ɲ t͡ɕʰ u ɾ i d a̠
간통	k a̠ː n tʰ o̞ ŋ
간파	k a̠ n pʰ a̠
간판	k a̠ n pʰ a̠ n
간편하다	k a̠ n pʰ j ʌ̹ n ɦ a̠ d a̠
간헐천	k a̠ː n ɦ ʌ̹ ʎ t͡ɕʰ ʌ̹ n
간호	k a̠ n β o̞
간호사	k a̠ n β o̞ sʰ a̠
간호원	k a̠ n β o̞ w ʌ̹ n
간호하다	k a̠ n β o̞ ɦ a̠ d a̠
간혹	k a̠ː n β o̞ k̚
갇히다	k a̠ t͡ɕʰ i d a̠
갈	k a̠ ɭ
갈겨니	k a̠ ɭ ɡ j ʌ̹ n i
갈고	k a̠ ɭ ɡ o̞
갈고닦다	k a̠ː ɭ ɡ o̞ d a̠ k̚ t͈ a̠
갈고랑이	k a̠ ɭ ɡ o̞ ɾ a̠ ŋ i
갈고리	k a̠ ɭ ɡ o̞ ɾ i
갈기	k a̠ː ɭ ɡ i
갈기다	k a̠ ɭ ɡ i d a̠
갈까마귀	k a̠ ɭ k͈ a̠ m a̠ ɡ ɥ i
갈나무	k a̠ ɭ ɭ a̠ m u
갈다	k a̠ ɭ d a̠
갈다	k a̠ː ɭ d a̠
갈닦다	k a̠ː ɭ d a̠ k̚ t͈ a̠
갈등	k a̠ ɭ t͈ ɯ ŋ
갈라지다	k a̠ ɭ ɭ a̠ d͡ʑ i d a̠
갈륨	k a̠ ʎ ʎ u m
갈리	k a̠ ʎ ʎ i
갈리다	k a̠ ʎ ʎ i d a̠
갈리시아	k a̠ ʎ ʎ i ɕʰ i a̠
갈림	k a̠ ʎ ʎ i m
갈림길	k a̠ ʎ ʎ i m k͈ i ɭ
갈망	k a̠ ɭ m a̠ ŋ
갈망하다	k a̠ ɭ m a̠ ŋ ɦ a̠ d a̠
갈문망둑	k a̠ ɭ m u n m a̠ ŋ d u k̚
갈밭	k a̠ ɭ b a̠ t̚
갈밭쥐	k a̠ ɭ b a̠ t̚ t͡ɕ͈ ɥ i
갈보	k a̠ ɭ b o̞
갈보집	k a̠ ɭ b o̞ d͡ʑ i p̚
갈부수다	k a̠ː ɭ b u sʰ u d a̠
갈비	k a̠ ɭ b i
갈비뼈	k a̠ ɭ b i p͈ j ʌ̹
갈비탕	k a̠ ɭ b i tʰ a̠ ŋ
갈수록	k a̠ ɭ s͈ u ɾ o̞ k̚
갈쓰뚝	k a̠ ɭ s͈ ɯ t͈ u k̚
갈아들다	k a̠ ɾ a̠ d ɯ ɭ d a̠
갈아신다	k a̠ ɾ a̠ ɕʰ i n d a̠
갈아입다	k a̠ ɾ a̠ i p̚ t͈ a̠
갈아타다	k a̠ ɾ a̠ tʰ a̠ d a̠
갈옷	k a̠ ɾ o̞ t̚
갈음이름씨	k a̠ ɾ ɯ m i ɾ ɯ m ɕ͈ i
갈음하다	k a̠ ɾ ɯ m ɦ a̠ d a̠
갈이	k a̠ ɾ i
갈증	k a̠ ʎ t͡ɕ͈ ɯ ŋ
갈증나다	k a̠ ʎ t͡ɕ͈ ɯ ŋ n a̠ d a̠
갈참나무	k a̠ ʎ t͡ɕʰ a̠ m n a̠ m u
갈치	k a̠ ʎ t͡ɕʰ i
갈퀴	k a̠ ɭ kʰ ɥ i
갈퀴다	k a̠ ɭ kʰ ɥ i d a̠
갈토	k a̠ ɭ tʰ o̞
갉	k a̠ k̚
갉다	k a̠ k̚ t͈ a̠
감	k a̠ m
감	k a̠ː m
감각	k a̠ː m ɡ a̠ k̚
감각적	k a̠ː m ɡ a̠ k̚ t͡ɕ͈ ʌ̹ k̚
감금	k a̠ m ɡ ɯ m
감기	k a̠ː m ɡ i
감기다	k a̠ m ɡ i d a̠
감나무	k a̠ː m n a̠ m u
감다	k a̠ː m t͈ a̠
감당	k a̠ m d a̠ ŋ
감당되다	k a̠ m d a̠ ŋ d w e̞ d a̠
감당하다	k a̠ m d a̠ ŋ ɦ a̠ d a̠
감독	k a̠ m d o̞ k̚
감독관	k a̠ m d o̞ k̚ k͈ w a̠ n
감돌고기	k a̠ m d o̞ ɭ ɡ o̞ ɡ i
감동	k a̠ː m d o̞ ŋ
감동사	k a̠ː m d o̞ ŋ sʰ a̠
감동적	k a̠ː m d o̞ ŋ d͡ʑ ʌ̹ k̚
감람	k a̠ m n a̠ m
감람	k a̠ː m n a̠ m
감람나무	k a̠ m n a̠ m n a̠ m u
감로	k a̠ m n o̞
감로수	k a̠ m n o̞ sʰ u
감로주	k a̠ m n o̞ d͡ʑ u
감리교	k a̠ m n i ɡ j o
감마	k a̠ m m a̠
감명	k a̠ m m j ʌ̹ ŋ
감명되다	k a̠ː m m j ʌ̹ ŋ d w e̞ d a̠
감명하다	k a̠ː m m j ʌ̹ ŋ ɦ a̠ d a̠
감미	k a̠ m m i
감미롭다	k a̠ m m i ɾ o̞ p̚ t͈ a̠
감미료	k a̠ m m i ɾ j o
감방	k a̠ m b a̠ ŋ
감법	k a̠ m b ʌ̹ p̚
감비아	k a̠ m b i a̠
감사	k a̠ m sʰ a̠
감사	k a̠ː m sʰ a̠
감사역	k a̠ m sʰ a̠ j ʌ̹ k̚
감사하다	k a̠ m sʰ a̠ ɦ a̠ d a̠
감사하다	k a̠ː m sʰ a̠ ɦ a̠ d a̠
감사합니다	k a̠ː m sʰ a̠ ɦ a̠ m n i d a̠
감상	k a̠ m sʰ a̠ ŋ
감성돔	k a̠ m sʰ ʌ̹ ŋ d o̞ m
감세	k a̠ː m sʰ e̞
감소	k a̠ː m sʰ o̞
감송	k a̠ m sʰ o̞ ŋ
감송	k a̠ː m sʰ o̞ ŋ
감쇠기	k a̠ː m sʰ w e̞ ɡ i
감수	k a̠ m sʰ u
감수	k a̠ː m sʰ u
감수하다	k a̠ m sʰ u ɦ a̠ d a̠
감수하다	k a̠ː m sʰ u ɦ a̠ d a̠
감숙	k a̠ m sʰ u k̚
감시	k a̠ m ɕʰ i
감시하다	k a̠ m ɕʰ i ɦ a̠ d a̠
감싸다	k a̠ː m s͈ a̠ d a̠
감안	k a̠ m a̠ n
감안하다	k a̠ m a̠ n ɦ a̠ d a̠
감염	k a̠ː m j ʌ̹ m
감염증	k a̠ː m j ʌ̹ m t͡ɕ͈ ɯ ŋ
감옥	k a̠ m o̞ k̚
감응	k a̠ m ɯ ŋ
감자	k a̠ m d͡ʑ a̠
감자	k a̠ m t͡ɕ͈ a̠
감자탕	k a̠ m d͡ʑ a̠ tʰ a̠ ŋ
감자튀김	k a̠ m d͡ʑ a̠ tʰ ɥ i ɡ i m
감자편튀기	k a̠ m d͡ʑ a̠ pʰ j ʌ̹ n tʰ ɥ i ɡ i
감전	k a̠ː m d͡ʑ ʌ̹ n
감정	k a̠ m d͡ʑ ʌ̹ ŋ
감정	k a̠ː m d͡ʑ ʌ̹ ŋ
감정가	k a̠ m d͡ʑ ʌ̹ ŋ k͈ a̠
감정가	k a̠ m d͡ʑ ʌ̹ ŋ ɡ a̠
감정가	k a̠ː m d͡ʑ ʌ̹ ŋ ɡ a̠
감정아이	k a̠ m d͡ʑ ʌ̹ ŋ a̠ i
감지	k a̠ː m d͡ʑ i
감지기	k a̠ː m d͡ʑ i ɡ i
감지하다	k a̠ː m d͡ʑ i ɦ a̠ d a̠
감초	k a̠ m t͡ɕʰ o̞
감추다	k a̠ m t͡ɕʰ u d a̠
감치	k a̠ m t͡ɕʰ i
감치다	k a̠ː m t͡ɕʰ i d a̠
감칠맛	k a̠ː m t͡ɕʰ i ɭ m a̠ t̚
감탄	k a̠ː m tʰ a̠ n
감탄사	k a̠ː m tʰ a̠ n sʰ a̠
감탄하다	k a̠ː m tʰ a̠ n ɦ a̠ d a̠
감탕나무	k a̠ m tʰ a̠ ŋ n a̠ m u
감투	k a̠ m tʰ u
감파르다	k a̠ː m pʰ a̠ ɾ ɯ d a̠
감히	k a̠ː m ʝ i
갑	k a̠ p̚
갑각	k a̠ p̚ k͈ a̠ k̚
갑각류	k a̠ p̚ k͈ a̠ ŋ ɲ u
갑분싸	k a̠ p̚ p͈ u n s͈ a̠
갑산아바이	k a̠ p s͈ a̠ n a̠ b a̠ i
