abecedari	a b e t ʃ e d aː r i
reude	r ø d i
risott	r i z ɔ tː
rost	r ɔ ʃ t
ròda	r ɔ d a
ròda	r ɔ v a
ròde	r ɔ t
ròde	r ɔ d i
saa	s a a
scepp	ʃ ɛ p
scepp	t͡ʃ ɛ p
scires	ʃ i r eː s
sciresa	ʃ i r eː z a
ses	s e s
ses	s e s
set	s e t
set	s e t
sofegar	s o f e ɡ a
sofegar	s o f e ɡ a r
someià	s o m e j a
someià	s o m i j a
someià	s o m eː a
strani	s t r aː n i
strani	s t r aː n e
strania	s t r aː n j a
stremí	s t r e m i
stremí	s t r i m i
stremí	s t r e m i
stremí	s t r i m i
stremí	s t r y m i
stremísser	s t r e m i s
stremísser	s t r i m i s
stremísser	s t r e m e s
stremísser	s t r e m e s ɛ r
stremísser	s t r e m i s ɐ r
stria	s t r i a
strie	s t r i j
strie	s t r i e
s·cèt	s t ʃ ɛ t
süpa	s y p a
tajâ	t a j e
tajâ	t a j a r
tajâ	t a ʎ a
television	t e l e v i ʒ u n
tera	t ɛ r a
torr	t o r
torr	t u r
vardà	v a r d a
vegg	v ɛ t͡ʃ
veggia	v ɛ d͡ʒ a
venerdí	v e n e r d i
venerdí	v e r n e d i
venerdí	v e n d e r d i
venerdí	v e n e r d e
vin	v ĩː
vin	v i ŋ
vin	v i
vost	v o s t
vost	v o s t
vòt	v ɔ t
vòt	w ɔ t
zeneugg	d ʒ e n ø t ʃ
zeneugg	d ʒ i n ø t ʃ
zeneugg	z e n ø t ʃ
zeneugg	d ʒ i n y t ʃ
zeneugg	z e n o t ʃ
çinc	t ʃ i n k
çinc	s i k
çinc	s i n k
çinc	ʃ i n k
çincu	t ʃ i n k w
çitâ	s i t aː
çitâ	t s i t aː
òr	ɔː r
öv	ø ø f
üsmarin	y ʃ m a r i ŋː
