Ⴀ	ɑ
აგენტით	a ɡ e n tʼ i tʰ
აგენტის	a ɡ e n tʼ i s
აგენტმა	a ɡ e n tʼ m a
აგენტო	a ɡ e n tʼ o
აგენტს	a ɡ e n tʼ s
აგენტურა	a ɡ e n tʼ u ɾ a
აგვირგვინებს	a ɡʷ i ɾ ɡʷ i n e b s
აგვისტო	a ɡʷ i s tʼ o
აგვისტოდ	a ɡʷ i s tʼ o d
აგვისტოთი	a ɡʷ i s tʼ o tʰ i
აგვისტომ	a ɡʷ i s tʼ o m
აგვისტოს	a ɡʷ i s tʼ o s
აგზნებადობა	a ɡ z n e b a d o b a
აგზნებულად	a ɡ z n e b u ɫ a d
აგიდელი	a ɡ i d e l i
აგიზგიზება	a ɡ i z ɡ i z e b a
აგიზგიზებული	a ɡ i z ɡ i z e b u l i
აგინებს	a ɡ i n e b s
აგიტატორი	a ɡ i tʼ a tʼ o ɾ i
აგლომერაცია	a ɡ ɫ o m e ɾ a t͡sʰ i a
აგნებს	a ɡ n e b s
აგნოსტიკური	a ɡ n o s tʼ i kʼ u ɾ i
აგნოსტიციზმი	a ɡ n o s tʼ i t͡sʰ i z m i
აგონდება	a ɡ o n d e b a
აგონია	a ɡ o n i a
აგორაფობია	a ɡ o ɾ a pʰ o b i a
აგორებს	a ɡ o ɾ e b s
აგრეთვე	a ɡ ɾ e tʰʷ e
აგრესიულად	a ɡ ɾ e s i u ɫ a d
აგრესიული	a ɡ ɾ e s i u l i
აგრესიულობა	a ɡ ɾ e s i u ɫ o b a
აგრესორი	a ɡ ɾ e s o ɾ i
აგროვებს	a ɡ ɾ o v e b s
აგრძელებ	a ɡ ɾ d͡z e l e b
აგრძელებს	a ɡ ɾ d͡z e l e b s
აგულაშვილი	a ɡ u ɫ a ʃʷ i l i
აგური	a ɡ u ɾ i
ადათი	a d a tʰ i
ადამაშვილი	a d a m a ʃʷ i l i
ადამი	a d a m i
ადამიანად	a d a m i a n a d
ადამიანები	a d a m i a n e b i
ადამიანთაშორისი	a d a m i a n tʰ a ʃ o ɾ i s i
ადამიანი	a d a m i a n i
ადამიანით	a d a m i a n i tʰ
ადამიანის	a d a m i a n i s
ადამიანმა	a d a m i a n m a
ადამიანს	a d a m i a n s
ადამიანურად	a d a m i a n u ɾ a d
ადამიანური	a d a m i a n u ɾ i
ადაპტაცია	a d a pʼ tʼ a t͡sʰ i a
ადარებს	a d a ɾ e b s
ადარნასე	a d a ɾ n a s e
ადგენს	a d ɡ e n s
ადგილას	a d ɡ i ɫ a s
ადგილი	a d ɡ i l i
ადგილობრივად	a d ɡ i ɫ o b ɾ i v a d
ადგილობრივი	a d ɡ i ɫ o b ɾ i v i
ადგომა	a d ɡ o m a
ადევნებს	a d e v n e b s
ადეიშვილი	a d e i ʃʷ i l i
ადეკვატურად	a d e kʼʷ a tʼ u ɾ a d
ადეკვატური	a d e kʼʷ a tʼ u ɾ i
ადეკვატურობა	a d e kʼʷ a tʼ u ɾ o b a
ადენოიდური	a d e n o i d u ɾ i
ადეპტი	a d e pʼ tʼ i
ადესა	a d e s a
ადვაძე	a dʷ a d͡z e
ადვილად	a dʷ i ɫ a d
ადვილი	a dʷ i l i
ადიდებს	a d i d e b s
ადიკაშვილი	a d i kʼ a ʃʷ i l i
ადის	a d i s
ადიულტერი	a d i u l tʼ e ɾ i
ადიუტანტი	a d i u tʼ a n tʼ i
ადმინისტრაციულად	a d m i n i s tʼ ɾ a t͡sʰ i u ɫ a d
ადმინისტრაციული	a d m i n i s tʼ ɾ a t͡sʰ i u l i
ადმირალი	a d m i ɾ a l i
ადოლაშვილი	a d o ɫ a ʃʷ i l i
ადრე	a d ɾ e
ადრენალინი	a d ɾ e n a l i n i
ადრესატი	a d ɾ e s a tʼ i
ადრეული	a d ɾ e u l i
ადრიანე	a d ɾ i a n e
ადრიანი	a d ɾ i a n i
ადუაშვილი	a d u a ʃʷ i l i
ადუღება	a d u ʁ e b a
ადუღებს	a d u ʁ e b s
აეროდინამიკა	a e ɾ o d i n a m i kʼ a
აეროდრომი	a e ɾ o d ɾ o m i
აეროზოლი	a e ɾ o z o l i
აეროპორტი	a e ɾ o pʼ o ɾ tʼ i
აეშლება	a e ʃ l e b a
აეხსნა	a e χ s n a
ავად	a v a d
ავადმყოფი	a v a d m χʼ o pʰ i
ავადმყოფობა	a v a d m χʼ o pʰ o b a
ავადმყოფობს	a v a d m χʼ o pʰ o b s
ავადმყოფურად	a v a d m χʼ o pʰ u ɾ a d
ავადმყოფური	a v a d m χʼ o pʰ u ɾ i
ავაზა	a v a z a
ავაზანი	a v a z a n i
ავალდებულებს	a v a l d e b u l e b s
ავანაშვილი	a v a n a ʃʷ i l i
ავანგარდი	a v a n ɡ a ɾ d i
ავანპოსტი	a v a n pʼ o s tʼ i
ავანტიურული	a v a n tʼ i u ɾ u l i
ავარდება	a v a ɾ d e b a
ავარია	a v a ɾ i a
ავბედითი	a v b e d i tʰ i
ავგაროზაშვილი	a v ɡ a ɾ o z a ʃʷ i l i
ავდარი	a v d a ɾ i
ავეჯი	a v e d͡ʒ i
ავზი	a v z i
ავზნიანი	a v z n i a n i
ავთანდილ	a f tʰ a n d i l
ავთანდილაშვილი	a f tʰ a n d i ɫ a ʃʷ i l i
ავთვისებიანი	a f tʰʷ i s e b i a n i
ავი	a v i
ავიაბილეთები	a v i a b i l e tʰ e b i
ავიაბილეთი	a v i a b i l e tʰ i
ავიაკომპანია	a v i a kʼ o m pʼ a n i a
ავიატორი	a v i a tʼ o ɾ i
ავიაქარხანა	a v i a kʰ a ɾ χ a n a
ავიაცია	a v i a t͡sʰ i a
ავიახაზი	a v i a χ a z i
ავინიონი	a v i n i o n i
ავისმომასწავებლად	a v i s m o m a s t͡sʼ a v e b ɫ a d
ავიწროვებს	a v i t͡sʼ ɾ o v e b s
ავკაცი	a f kʼ a t͡sʰ i
ავკოფაშვილი	a f kʼ o pʰ a ʃʷ i l i
ავლაბარი	a v ɫ a b a ɾ i
ავლახაშვილი	a v ɫ a χ a ʃʷ i l i
ავლებს	a v l e b s
ავლოხაშვილი	a v ɫ o χ a ʃʷ i l i
ავოკადო	a v o kʼ a d o
ავრორა	a v ɾ o ɾ a
ავრცელებს	a v ɾ t͡sʰ e l e b s
ავრცობს	a v ɾ t͡sʰ o b s
ავსაჯანაშვილი	a f s a d͡ʒ a n a ʃʷ i l i
ავსაჯანიშვილი	a f s a d͡ʒ a n i ʃʷ i l i
ავსებული	a f s e b u l i
ავსტრალია	a f s tʼ ɾ a l i a
ავსტრალიური	a f s tʼ ɾ a l i u ɾ i
ავსტრია	a f s tʼ ɾ i a
ავსტრიელი	a f s tʼ ɾ i e l i
ავსტრიული	a f s tʼ ɾ i u l i
ავტობიოგრაფია	a f tʼ o b i o ɡ ɾ a pʰ i a
ავტობიოგრაფიულად	a f tʼ o b i o ɡ ɾ a pʰ i u ɫ a d
ავტობიოგრაფიული	a f tʼ o b i o ɡ ɾ a pʰ i u l i
ავტობუსი	a f tʼ o b u s i
ავტოგრაფი	a f tʼ o ɡ ɾ a pʰ i
ავტოკალამი	a f tʼ o kʼ a ɫ a m i
ავტოკოლონა	a f tʼ o kʼ o ɫ o n a
ავტოკრატი	a f tʼ o kʼ ɾ a tʼ i
ავტოკრატია	a f tʼ o kʼ ɾ a tʼ i a
ავტოკრატიული	a f tʼ o kʼ ɾ a tʼ i u l i
ავტომატარებელი	a f tʼ o m a tʼ a ɾ e b e l i
ავტომატი	a f tʼ o m a tʼ i
ავტომატურად	a f tʼ o m a tʼ u ɾ a d
ავტომატური	a f tʼ o m a tʼ u ɾ i
ავტონომია	a f tʼ o n o m i a
ავტონომიური	a f tʼ o n o m i u ɾ i
ავტორად	a f tʼ o ɾ a d
ავტორები	a f tʼ o ɾ e b i
ავტორი	a f tʼ o ɾ i
ავტორით	a f tʼ o ɾ i tʰ
ავტორის	a f tʼ o ɾ i s
ავტორიტარული	a f tʼ o ɾ i tʼ a ɾ u l i
ავტორიტეტი	a f tʼ o ɾ i tʼ e tʼ i
ავტორიტეტულად	a f tʼ o ɾ i tʼ e tʼ u ɫ a d
ავტორიტეტული	a f tʼ o ɾ i tʼ e tʼ u l i
ავტორმა	a f tʼ o ɾ m a
ავტორო	a f tʼ o ɾ o
ავტორობა	a f tʼ o ɾ o b a
ავტორს	a f tʼ o ɾ s
ავტოსადგომი	a f tʼ o s a d ɡ o m i
ავტოსტოპად	a f tʼ o s tʼ o pʼ a d
ავტოსტოპი	a f tʼ o s tʼ o pʼ i
ავტოსტოპით	a f tʼ o s tʼ o pʼ i tʰ
ავტოსტოპის	a f tʼ o s tʼ o pʼ i s
ავტოსტოპმა	a f tʼ o s tʼ o pʼ m a
ავტოსტოპს	a f tʼ o s tʼ o pʼ s
ავტოსტრადა	a f tʼ o s tʼ ɾ a d a
ავტოფობია	a f tʼ o pʰ o b i a
ავქოფაშვილი	a f kʰ o pʰ a ʃʷ i l i
ავღანეთი	a v ʁ a n e tʰ i
ავღანელი	a v ʁ a n e l i
ავღანური	a v ʁ a n u ɾ i
ავყია	a f χʼ i a
ავყიობა	a f χʼ i o b a
ავხორცად	a f χ o ɾ t͡sʰ a d
ავხორცი	a f χ o ɾ t͡sʰ i
ავხორცობა	a f χ o ɾ t͡sʰ o b a
ავხორცულად	a f χ o ɾ t͡sʰ u ɫ a d
აზალაძე	a z a ɫ a d͡z e
აზარიაშვილი	a z a ɾ i a ʃʷ i l i
აზარტული	a z a ɾ tʼ u l i
აზაურაშვილი	a z a u ɾ a ʃʷ i l i
აზბესტი	a z b e s tʼ i
აზერბაიჯანი	a z e ɾ b a i d͡ʒ a n i
აზვიადებს	a zʷ i a d e b s
აზვირთებული	a zʷ i ɾ tʰ e b u l i
აზია	a z i a
აზიმუტი	a z i m u tʼ i
აზირაშვილი	a z i ɾ a ʃʷ i l i
აზიური	a z i u ɾ i
აზმაიფარაშვილი	a z m a i pʰ a ɾ a ʃʷ i l i
აზნაური	a z n a u ɾ i
აზოტი	a z o tʼ i
აზოტური	a z o tʼ u ɾ i
აზრად	a z ɾ a d
აზრი	a z ɾ i
აზრიანად	a z ɾ i a n a d
აზრიანი	a z ɾ i a n i
აზრით	a z ɾ i tʰ
აზრის	a z ɾ i s
აზრმა	a z ɾ m a
აზროვნება	a z ɾ o v n e b a
აზრს	a z ɾ s
აზრუმელაშვილი	a z ɾ u m e ɫ a ʃʷ i l i
აზღუდი	a z ʁ u d i
ათავისუფლებს	a tʰ a v i s u pʰ l e b s
ათარიღებს	a tʰ a ɾ i ʁ e b s
ათასი	a tʰ a s i
ათასწლეული	a tʰ a s t͡sʼ l e u l i
ათასწლოვანი	a tʰ a s t͡sʼ ɫ o v a n i
ათაშანგი	a tʰ a ʃ a n ɡ i
ათბობს	a tʰ b o b s
ათეიზმი	a tʰ e i z m i
ათეისტი	a tʰ e i s tʼ i
ათეისტური	a tʰ e i s tʼ u ɾ i
ათენი	a tʰ e n i
ათენური	a tʰ e n u ɾ i
ათესვა	a tʰ e sʷ a
ათესვინებს	a tʰ e sʷ i n e b s
ათეული	a tʰ e u l i
ათვალიერებს	a tʰʷ a l i e ɾ e b s
ათი	a tʰ i
ათიანები	a tʰ i a n e b i
ათკუთხა	a tʰ kʼ u tʰ χ a
ათკუთხედი	a tʰ kʼ u tʰ χ e d i
ათლეტი	a tʰ l e tʼ i
ათლეტიკა	a tʰ l e tʼ i kʼ a
ათლეტის	a tʰ l e tʼ i s
ათლეტური	a tʰ l e tʼ u ɾ i
ათმარცვლიანი	a tʰ m a ɾ t͡sʰʷ l i a n i
ათობითი	a tʰ o b i tʰ i
ათრევს	a tʰ ɾ e f s
ათქვეფილი	a tʰ kʰʷ e pʰ i l i
ათწლეული	a tʰ t͡sʼ l e u l i
ათხოვებს	a tʰ χ o v e b s
ათჯერადი	a tʰ d͡ʒ e ɾ a d i
აი	a i
აიაფებს	a i a pʰ e b s
აიდა	a i d a
აივანი	a i v a n i
აივნიანი	a i v n i a n i
აინტერესებს	a i n tʼ e ɾ e s e b s
აინშტაინიუმი	a i n ʃ tʼ a i n i u m i
აირადი	a i ɾ a d i
აირი	a i ɾ i
აირღუმელი	a i ɾ ʁ u m e l i
აირწინაღი	a i ɾ t͡sʼ i n a ʁ i
აისბერგი	a i s b e ɾ ɡ i
აისი	a i s i
აკადემია	a kʼ a d e m i a
აკადემიად	a kʼ a d e m i a d
აკადემიამ	a kʼ a d e m i a m
აკადემიას	a kʼ a d e m i a s
აკადემიით	a kʼ a d e m i i tʰ
აკადემიის	a kʼ a d e m i i s
აკადემიკოსი	a kʼ a d e m i kʼ o s i
აკადემიურად	a kʼ a d e m i u ɾ a d
აკადემიური	a kʼ a d e m i u ɾ i
აკაზმულობა	a kʼ a z m u ɫ o b a
აკაკი	a kʼ a kʼ i
აკაკუნებს	a kʼ a kʼ u n e b s
აკანკალებული	a kʼ a n kʼ a l e b u l i
აკაჟუ	a kʼ a ʒ u
აკაცია	a kʼ a t͡sʰ i a
აკეთებს	a kʼ e tʰ e b s
აკერებს	a kʼ e ɾ e b s
აკვალანგი	a kʼʷ a ɫ a n ɡ i
აკვამარინი	a kʼʷ a m a ɾ i n i
აკვანთა	a kʼʷ a n tʰ a
აკვანი	a kʼʷ a n i
აკვანმა	a kʼʷ a n m a
აკვანნი	a kʼʷ a n n i
აკვანნო	a kʼʷ a n n o
აკვანო	a kʼʷ a n o
აკვანს	a kʼʷ a n s
აკვარელი	a kʼʷ a ɾ e l i
აკვარელისტი	a kʼʷ a ɾ e l i s tʼ i
აკვარიუმი	a kʼʷ a ɾ i u m i
აკვდება	a kʼʷ d e b a
აკვედუკი	a kʼʷ e d u kʼ i
აკვიატება	a kʼʷ i a tʼ e b a
აკვიატებულად	a kʼʷ i a tʼ e b u ɫ a d
აკვიატებული	a kʼʷ i a tʼ e b u l i
აკვირვებს	a kʼʷ i ɾʷ e b s
აკვიტანია	a kʼʷ i tʼ a n i a
აკვნად	a kʼʷ n a d
აკვნებად	a kʼʷ n e b a d
აკვნები	a kʼʷ n e b i
აკვნებით	a kʼʷ n e b i tʰ
აკვნების	a kʼʷ n e b i s
აკვნებმა	a kʼʷ n e b m a
აკვნებო	a kʼʷ n e b o
აკვნებს	a kʼʷ n e b s
აკვნით	a kʼʷ n i tʰ
აკვნის	a kʼʷ n i s
აკვრევინებს	a kʼʷ ɾ e v i n e b s
აკლდამა	a kʼ l d a m a
აკლებს	a kʼ l e b s
აკლია	a kʼ l i a
აკობაშვილი	a kʼ o b a ʃʷ i l i
აკოლაშვილი	a kʼ o ɫ a ʃʷ i l i
აკომპანირება	a kʼ o m pʼ a n i ɾ e b a
აკორდეონი	a kʼ o ɾ d e o n i
აკოფაშვილი	a kʼ o pʰ a ʃʷ i l i
აკრავს	a kʼ ɾ a f s
აკრი	a kʼ ɾ i
აკრისტალებს	a kʼ ɾ i s tʼ a l e b s
აკრიფეთ	a kʼ ɾ i pʰ e tʰ
აკრობატი	a kʼ ɾ o b a tʼ i
აკრობატიკა	a kʼ ɾ o b a tʼ i kʼ a
აკროპოლისი	a kʼ ɾ o pʼ o l i s i
აკროსტიქი	a kʼ ɾ o s tʼ i kʰ i
აკროფობია	a kʼ ɾ o pʰ o b i a
აკრძალვა	a kʼ ɾ d͡z a lʷ a
აკრძალვითად	a kʼ ɾ d͡z a lʷ i tʰ a d
აკრძალვითი	a kʼ ɾ d͡z a lʷ i tʰ i
აკრძალული	a kʼ ɾ d͡z a ɫ u l i
აკუთა	a kʼ u tʰ a
აკულაშვილი	a kʼ u ɫ a ʃʷ i l i
აკუმულატორი	a kʼ u m u ɫ a tʼ o ɾ i
აკურატულად	a kʼ u ɾ a tʼ u ɫ a d
აკურატული	a kʼ u ɾ a tʼ u l i
აკურატულობა	a kʼ u ɾ a tʼ u ɫ o b a
აკურთხებს	a kʼ u ɾ tʰ χ e b s
აკუსტიკა	a kʼ u s tʼ i kʼ a
აკუსტიკური	a kʼ u s tʼ i kʼ u ɾ i
ალაგარდაშვილი	a ɫ a ɡ a ɾ d a ʃʷ i l i
ალაგებს	a ɫ a ɡ e b s
ალაგი	a ɫ a ɡ i
ალადასტური	a ɫ a d a s tʼ u ɾ i
ალადინი	a ɫ a d i n i
ალავერდაშვილი	a ɫ a v e ɾ d a ʃʷ i l i
ალავერდი	a ɫ a v e ɾ d i
ალავი	a ɫ a v i
ალაზანი	a ɫ a z a n i
ალალბედზე	a ɫ a l b e d z e
ალალი	a ɫ a l i
ალალმართლად	a ɫ a l m a ɾ tʰ ɫ a d
ალალმართლობა	a ɫ a l m a ɾ tʰ ɫ o b a
ალამი	a ɫ a m i
ალაო	a ɫ a o
ალასანია	a ɫ a s a n i a
ალაფი	a ɫ a pʰ i
ალაჰი	a ɫ a h i
ალბათ	a l b a tʰ
ალბათობა	a l b a tʰ o b a
ალბანეთი	a l b a n e tʰ i
ალბანური	a l b a n u ɾ i
ალბატროსი	a l b a tʼ ɾ o s i
ალბერტა	a l b e ɾ tʼ a
ალბერტი	a l b e ɾ tʼ i
ალბინოსი	a l b i n o s i
ალბომად	a l b o m a d
ალბომი	a l b o m i
ალბომით	a l b o m i tʰ
ალბომის	a l b o m i s
ალბომმა	a l b o m m a
ალბომს	a l b o m s
ალბორაშვილი	a l b o ɾ a ʃʷ i l i
ალბუთაშვილი	a l b u tʰ a ʃʷ i l i
ალგებრა	a l ɡ e b ɾ a
ალგებრულად	a l ɡ e b ɾ u ɫ a d
ალგებრული	a l ɡ e b ɾ u l i
ალგორითმი	a l ɡ o ɾ i tʰ m i
ალდატი	a l d a tʼ i
ალებასტრი	a l e b a s tʼ ɾ i
ალეგორია	a l e ɡ o ɾ i a
ალეგორიული	a l e ɡ o ɾ i u l i
ალელიშვილი	a l e l i ʃʷ i l i
ალეპო	a l e pʼ o
ალერგია	a l e ɾ ɡ i a
ალერგიული	a l e ɾ ɡ i u l i
ალერსად	a l e ɾ s a d
ალერსი	a l e ɾ s i
ალერსიანი	a l e ɾ s i a n i
ალერსით	a l e ɾ s i tʰ
ალერსის	a l e ɾ s i s
ალერსმა	a l e ɾ s m a
ალერსო	a l e ɾ s o
ალერსს	a l e ɾ s s
ალექსანდრა	a l e kʰ s a n d ɾ a
ალექსანდრე	a l e kʰ s a n d ɾ e
ალექსანდრია	a l e kʰ s a n d ɾ i a
ალექსიძე	a l e kʰ s i d͡z e
ალვა	a lʷ a
ალვეოლური	a lʷ e o ɫ u ɾ i
ალთუნაშვილი	a l tʰ u n a ʃʷ i l i
ალი	a l i
ალიაქოთი	a l i a kʰ o tʰ i
ალიბეგაშვილი	a l i b e ɡ a ʃʷ i l i
ალიბი	a l i b i
ალიგატორი	a l i ɡ a tʼ o ɾ i
ალიზი	a l i z i
ალიკაპი	a l i kʼ a pʼ i
ალიმბარაშვილი	a l i m b a ɾ a ʃʷ i l i
ალიმბერაშვილი	a l i m b e ɾ a ʃʷ i l i
ალიონი	a l i o n i
ალისფერი	a l i s pʰ e ɾ i
ალიტერაცია	a l i tʼ e ɾ a t͡sʰ i a
ალიტერაციული	a l i tʼ e ɾ a t͡sʰ i u l i
ალიხანაშვილი	a l i χ a n a ʃʷ i l i
ალკოჰოლი	a l kʼ o h o l i
ალკოჰოლიანი	a l kʼ o h o l i a n i
ალკოჰოლიზმი	a l kʼ o h o l i z m i
ალკოჰოლური	a l kʼ o h o ɫ u ɾ i
ალკუნი	a l kʼ u n i
ალმანახი	a l m a n a χ i
ალმასი	a l m a s i
ალმატი	a l m a tʼ i
ალმოდებული	a l m o d e b u l i
ალმური	a l m u ɾ i
ალო	a ɫ o
ალოე	a ɫ o e
ალპინიზმი	a l pʼ i n i z m i
ალპინისტი	a l pʼ i n i s tʼ i
ალპური	a l pʼ u ɾ i
ალჟირი	a l ʒ i ɾ i
ალტერნატივა	a l tʼ e ɾ n a tʼ i v a
ალტერნატიულად	a l tʼ e ɾ n a tʼ i u ɫ a d
ალტერნატიული	a l tʼ e ɾ n a tʼ i u l i
ალტი	a l tʼ i
ალტიმეტრი	a l tʼ i m e tʼ ɾ i
ალტრუიზმი	a l tʼ ɾ u i z m i
ალტრუისტი	a l tʼ ɾ u i s tʼ i
ალტრუისტულად	a l tʼ ɾ u i s tʼ u ɫ a d
ალტრუისტული	a l tʼ ɾ u i s tʼ u l i
ალუაშვილი	a ɫ u a ʃʷ i l i
ალუბალი	a ɫ u b a l i
ალუდა	a ɫ u d a
ალუვიური	a ɫ u v i u ɾ i
ალუმინი	a ɫ u m i n i
ალუჩა	a ɫ u t͡ʃʰ a
ალფა	a l pʰ a
ალქატი	a l kʰ a tʼ i
ალქიმია	a l kʰ i m i a
ალქიმიკოსი	a l kʰ i m i kʼ o s i
ალღო	a l ʁ o
ალყა	a l χʼ a
ალხაზიშვილი	a l χ a z i ʃʷ i l i
ამ	a m
ამაგი	a m a ɡ i
ამაზაშვილი	a m a z a ʃʷ i l i
ამაზე	a m a z e
ამალა	a m a ɫ a
ამალგამა	a m a l ɡ a m a
ამანათაშვილი	a m a n a tʰ a ʃʷ i l i
ამანათი	a m a n a tʰ i
ამაო	a m a o
ამაოდ	a m a o d
ამაოება	a m a o e b a
ამართლებს	a m a ɾ tʰ l e b s
ამარილისი	a m a ɾ i l i s i
ამას	a m a s
ამასთან	a m a s tʰ a n
ამატებს	a m a tʼ e b s
ამაღელვებელი	a m a ʁ e lʷ e b e l i
ამაღელვებლად	a m a ʁ e lʷ e b ɫ a d
ამაღლებულად	a m a ʁ l e b u ɫ a d
ამაღლებული	a m a ʁ l e b u l i
ამაღლებულობა	a m a ʁ l e b u ɫ o b a
ამაყად	a m a χʼ a d
ამაყი	a m a χʼ i
ამაში	a m a ʃ i
ამახინჯებს	a m a χ i n d͡ʒ e b s
ამბავი	a m b a v i
ამბარდნიშვილი	a m b a ɾ d n i ʃʷ i l i
ამბიცია	a m b i t͡sʰ i a
ამბობს	a m b o b s
ამბორი	a m b o ɾ i
ამბოხება	a m b o χ e b a
ამბოხებული	a m b o χ e b u l i
ამბოხი	a m b o χ i
ამბრაზურა	a m b ɾ a z u ɾ a
ამბრიაშვილი	a m b ɾ i a ʃʷ i l i
ამბროსაშვილი	a m b ɾ o s a ʃʷ i l i
ამბროსიშვილი	a m b ɾ o s i ʃʷ i l i
ამდენად	a m d e n a d
ამეთვისტო	a m e tʰʷ i s tʼ o
ამეთვისტოსფერი	a m e tʰʷ i s tʼ o s pʰ e ɾ i
ამერიკა	a m e ɾ i kʼ a
ამერიკად	a m e ɾ i kʼ a d
ამერიკამ	a m e ɾ i kʼ a m
ამერიკანიზმი	a m e ɾ i kʼ a n i z m i
ამერიკას	a m e ɾ i kʼ a s
ამერიკელი	a m e ɾ i kʼ e l i
ამერიკით	a m e ɾ i kʼ i tʰ
ამერიკის	a m e ɾ i kʼ i s
ამერიკული	a m e ɾ i kʼ u l i
ამზადებს	a m z a d e b s
ამთავრებს	a m tʰ a v ɾ e b s
ამთვისებელი	a m tʰʷ i s e b e l i
ამთქნარებს	a m tʰ kʰ n a ɾ e b s
ამიაკი	a m i a kʼ i
ამიერიდან	a m i e ɾ i d a n
ამიერკავკასია	a m i e ɾ kʼ a f kʼ a s i a
ამით	a m i tʰ
ამინ	a m i n
ამინაშვილი	a m i n a ʃʷ i l i
ამინდი	a m i n d i
ამინომჟავა	a m i n o m ʒ a v a
ამირა	a m i ɾ a
ამირანი	a m i ɾ a n i
ამირაშვილი	a m i ɾ a ʃʷ i l i
ამირეზაშვილი	a m i ɾ e z a ʃʷ i l i
ამირი	a m i ɾ i
ამირხანაშვილი	a m i ɾ χ a n a ʃʷ i l i
ამისულაშვილი	a m i s u ɫ a ʃʷ i l i
ამიტომ	a m i tʼ o m
ამიტომაც	a m i tʼ o m a t͡sʰ
ამკობს	a m kʼ o b s
ამლევი	a m l e v i
ამნეზია	a m n e z i a
ამნიაშვილი	a m n i a ʃʷ i l i
ამნისტია	a m n i s tʼ i a
ამობურცული	a m o b u ɾ t͡sʰ u l i
ამოდის	a m o d i s
