'is	ə s
Smuts	s m œ t s
Spanje	s p a n j ə
Swede	s v ɛ d ə
T	t ɪ ə
Terblanche	t ə r b l aː n ʃ
Theo	t i u
Theron	t r o n
Theron	t r ɔ n
Tsjeggies	t ʃ ɛ χ i s
U	y
V	f ɪ ə
Viljoen	f ə l j u n
Visagie	f ə s aː s i
Visagie	f ə s aː x i
Viviers	v ə v ə j e ə
Vrydag	f r ə i d a χ
W	v ɪ ə
Wilhelm	v ə l ɦ ɛ l ə m
Woensdag	v u n s d a χ
X	ɛ k s
Y	ə ɪ̯
aag	ɑː χ
aalbessie	ɑː l b ɛ s i
aalfuik	ɑː l f œ i k
aalfuike	ɑː l f œ i k ə
aalfuikie	ɑː l f œ i k i
aalfuikies	ɑː l f œ i k i s
aalmoes	ɑː l m u s
aalwyn	a l v ə i n
aalwyn	ɑː l v ə i n
aan	ɑː n
aanbid	ɑː n b ə t
aandete	ɑː n t ɪ ə̯ t ə
aandklok	ɑː n t k l ɔ k
aandrok	ɑː n t r ɔ k
aangaan	ɑː n χ ɑː n
aanmatiging	ɑː m ɑː t ə χ ə ŋ
aanveg	ɑː n f ɛ χ
aanvraag	ɑː n f r ɑː χ
aap	ɑː p
aarbei	ɑː r b ɛ i̯
aarde	ɑː r d ə
aardes	ɑː r d ə s
aartappel	ɑː r t a p ə l
abba	a b a
aborsie	a b ɔ r s i
adder	a d ə r
adel	ɑː d ə l
adelstand	ɑː d ə l s t a n t
adres	a d r ɛ s
advies	a t f i s
afgaan	a f χ ɑː n
afgeleë	a f χ ə l ɪ ə
aflaai	a f l ɑː i̯
afsaag	a f s ɑː χ
afslaandak	a f s l ɑː n d a k
afstand	a f s t a n t
aftands	a f t a n t s
afwesig	a f v ɪ ə̯ s ə χ
afwesigheid	a f v ɪ ə̯ s ə x ɦ ə i̯ t
ag	a χ
agt	a χ t
akkerboom	a k ə r b ʊ ə̯ m
al	a l
alledaags	a l ə d ɑː χ s
almal	a l m a l
altaar	a l t ɑː r
altyd	a l t ə i̯ t
amp	a m p
amper	a m p ə r
an	a n
ander	ɑ n d ɛ r
andersyds	a n d ə r s ə i̯ t s
anker	a ŋ k ə r
antenne	a n t ɛ n n ə
antiek	a n t i k
antiheld	ɑ n t i ɦ ɛ l d
antwoord	ɐ n t v u ə̯ r t
anys	a n ə i s
apart	a p a r t
ape	ɑː p ə
appel	a p ə l
appelkoos	a p ə l k ʊ ə s
argaïes	a r χ ɑː i s
argitek	a r ʃ i t ɛ k
argitek	a r χ i t ɛ k
arriveer	a r i f ɪ ə̯ r
arts	a r t s
as	a s
asseblief	a s ə b l i f
assegaai	a s ə χ ɑː i̯
assit	a s ə t
asyn	a s ə i n
avontuur	a f ɔ n t y r
baadjie	b ɑː ɪ̯ k i
baai	b ɑː i̯
baarmoeder	b ɑː r m u d ə r
baas	b ɑː s
baie	b a j ə
bak	b a k
bakkie	b a k i
baklei	b ə k l ə i̯
bal	b a l
ballingskap	b a l ə ŋ s k a p
ballon	b a l ɔ n
bamboes	b a m b u s
bandana	b a n d a n a
bandopnemer	b a n t ɔ p n ɪ ə̯ m ə r
bang	b a ŋ
bank	b a ŋ k
bed	b ɛ t
bediende	b ə d i n d ə
bedkussing	b ɛ t k œ s ə ŋ
bedoeling	b ə d u l ə ŋ
bedrog	b ə d r ɔ x
bedryf	b ə d r ə i f
beeldsend	b ɪ ə̯ l t s ɛ n t
beer	b ɪ ə r
bees	b ɪ ə s
beesvleis	b ɪ ə̯ s f l ə i̯ s
beet	b i ə̯ t
begraafplaas	b ə χ r ɑː f p l ɑː s
begrip	b ə χ r ə p
begripsraamwerk	b ə χ r ə p s r ɑː m v ɛ r k
begroting	b ə χ r ʊ ə̯ t ə ŋ
beheersing	b ə ɦ ɪ ə̯ r s ə ŋ
behoort	b ə ɦ ʊ ə r t
bejaard	b ə j ɑː r t
bek	b ɛ k
bekend	b ə k ɛ n t
bekostig	b ə k ɔ s t ə χ
bekroon	b ə k r ʊ ə̯ n
belangrik	b ə l a ŋ r ə k
beleefdheid	b ə l ɪ ə̯ f t ɦ ə i̯ t
belofte	b ə l ɔ f t ə
belowe	b ə l ʊ ə̯ v ə
belus	b ə l œ s
belydenis	b ə l ə i̯ d ə n ə s
beperk	b ə p ɛ r k
beperking	b ə p ɛ r k ə ŋ
bergreeks	b ɛ r χ r ɪ ə̯ k s
bergwind	b ɛ r χ v ə n t
beroof	b ə r ʊ ə̯ f
besef	b ə s ɛ f
beset	b ə s ɛ t
besetting	b ə s ɛ t ə ŋ
besig	b ɪ ə s ə χ
beskaaf	b ə s k ɑː f
beskawing	b ə s k ɑː v ə ŋ
beskeie	b ə s k ə i̯ ə
beskou	b ə s k œ u̯
besoedel	b ə s u d ə l
besoek	b ə s u k
besoeker	b ə s u k ə r
bessie	b ɛ s i
bestanddeel	b ə s t a n d ɪ ə̯ l
bestialiteit	b ɛ s t i a l i t ə i̯ t
bestuiwing	b ə s t œ i̯ v ə ŋ
betekenis	b ə t i ə̯ k ə n ə s
beter	b ɪ ə t ə r
beton	b ə t ɔ n
betuig	b ə t œ i̯ χ
beweeg	b ə v ɪ ə̯ χ
bid	b ə t
bieg	b i χ
bier	b i r
bietjie	b i k i
biskop	b ə s k ɔ p
bitter	b ə t ə r
blaar	b l ɑː r
bladsy	b l a t s ə i̯
blaker	b l ɑː k ə r
blank	b l a ŋ k
blanke	b l a ŋ k ə
blaps	b l a p s
bliksem	b l ə k s ə m
bliksemstraal	b l ə k s ə m s t r ɑː l
blind	b l ə n t
bloed	b l u t
bloedbank	b l u t b a ŋ k
bloedgroep	b l u t χ r u p
bloedoortapping	b l u t ʊ ə̯ r t a p ə ŋ
blom	b l ɔ m
blou	b l œ u̯
bloubok	b l œ u b ɔ k
blouwalvis	b l œ u̯ v a l f ə s
bly	b l ə i
bo	b ʊ ə
bobbejaan	b ɔ b ə j ɑː n
boei	b u i̯
boek	b u k
boeke	b u k ə
boekery	b u k ə r ə i̯
boeket	b u k ɛ t
boelie	b u l i
boemelaar	b u m ə l ɑː r
boep	b u p
boepens	b u p ɛ̃ː s
boer	b uː r
boereplaas	b u r ə p l ɑː s
bok	b ɔ k
bokwiet	b ɔ k v i t
bol	b ɔ l
bom	b ɔ m
bome	b ʊ ə m ə
boogskutter	b ʊ ə̯ χ s k œ t ə r
boom	b ʊ ə m
boon	b ʊ ə̯ n
boonop	b ʊ ə̯ n ɔ p
boor	b ʊ ə r
boot	b ʊ ə t
bordeel	b ɔ r d ɪ ə̯ l
bors	b ɔː r s
borsmelk	b ɔ r s m ɛ l k
bos	b ɔ s
bosbedryf	b ɔ s b ə d r ə i f
bosse	b ɔ s ə
boswagter	b ɔ s v a χ t ə r
boswerker	b ɔ s v ɛ r k ə r
bot	b ɔ t
bote	b ʊ ə t ə
botter	b ɔ t ə r
bou	b œ u̯
bouval	b œ u̯ f a l
bra	b r ɑː
braai	b r ɑː i
braaivleis	b r ɑː i f l ə i s
braak	b r ɑː k
brand	b r a n t
branderplank	b r a n d ə r p l a ŋ k
bredie	b r ɪ ə̯ d i
breed	b r ɪ ə̯ t
breek	b r ɪ ə̯ k
breekwater	b r ɪ ə̯ k v ɑː t ə r
brekfis	b r ɛ k f ə s
breuk	b r ɪ ø k
breë	b r eː ə
breë	b r ɪ ə̯
brief	b r i f
briefkaart	b r i f k ɑː r t
bries	b r i s
bril	b r ə l
bring	b r ə ŋ
brode	b r ʊ ə d ə
broederskap	b r u d ə r s k a p
broek	b r u k
bromponie	b r ɔ m p oː n i
brood	b r ʊ ə t
brug	b r œ χ
bruidskat	b r œ i̯ t s k a t
buffel	b œ f ə l
buig	b œ i̯ χ
buig	b ə i̯ χ
buis	b œ i s
buit	b œ i̯ t
buite	b œ i̯ t ə
buitenshuis	b œ i̯ t ə n s ɦ œ i̯ s
buk	b œ k
bundel	b œ n d ə l
burger	b œ r ɡ ə r
burgeroorlog	b œ r χ ə r ʊ ə̯ r l ɔ χ
buro	b y r ʊ ə̯
buur	b y r
buurman	b y r m ɑ n
buurvrou	b y r f r œ u̯
by	b ə i
bybel	b ə i̯ b ə l
bydra	b ə i̯ d r a
bydraag	b ə i̯ d r ɑː χ
byna	b ə i̯ n a
byrie	b ə i̯ r i
byt	b ɛ i t
byvoorbeeld	b ə i f ʊ ə r b ɪ ə l t
chemie	x ɛ m i
daagliks	d ɑː χ l ə k s
daai	d ɑː i̯
daaiman	d ɑː i̯ m ə n
daais	d ɑː i̯ s
daar	d ɑː r
daardie	d ɑː r d i
daarnatoe	d ɑː r n a t u
dader	d ɑː d ə r
dae	d ɑː ə
dag	d a χ
dagboek	d a χ b u k
dagga	d a χ a
daglig	d ɑ χ l ə χ
dak	d a k
dakpan	d a k p a n
dalk	d a l k
danig	d ɑː n ə χ
dankie	d a ŋ k i
darem	d ɑː r ə m
dassie	d a s i
dassiepis	d a s i p ə s
dat	d a t
deelname	d ɪ ə̯ l n ɑː m ə
deksel	d ɛ k s ə l
den	d ɛ n
denk	d ɛ ŋ k
denkbeeld	d ɛ ŋ k b ɪ ə̯ l t
denkbeeldig	d ɛ ŋ k b ɪ ə̯ l d ə x
deug	d ɪ ø̯ χ
deur	d ɪ ø r
deure	d ɪ ø r ə
deurtrekker	d ɪ̯ ø r t r ɛ k ə r
dialek	d i a l ɛ k
die	d i
diens	d i n s
diensstasie	d i n s t ɑː s i
diep	d i p
dier	d i r
dierasie	d i r ɑː s i
dig	d ə χ
digter	d ə χ t ə r
digterlik	d ə χ t ə r l ə k
dimensie	d i m ɛ n s i
dink	d ə ŋ k
diplomasie	d i p l oː m a s i
dis	d ə s
dissie	d ə s i
dit	d ə t
dié	d i
djaar	d ʒ ɑː r
djou	d ʒ œ u̯
djulle	d ʒ œ l ə
djy	d ʒ ə i̯
doek	d u k
doeke	d u k ə
doeleinde	d u l ə i̯ n d ə
dog	d ɔ χ
dogter	d ɔ χ t ə r
dogtertjie	d ɔ χ t ə r k i
dok	d ɔ k
dokkie	d ɔ k i
dokter	d ɔ k t ə r
dokumentêr	d ʊ ə̯ k y m ɛ n t ɛː r
dommie	d ɔ m i
donder	d ɔː n ə r
donker	d ɔ ŋ k ə r
donkerte	d ɔ ŋ k ə r t ə
dons	d ɔ n s
dood	d ʊ ə t
doodgegaan	d o ə̯ t x ə x ɑː n
doodstil	d ʊ ə̯ t s t ə l
doof	d ʊ ə f
doofste	d ʊ ə f s t ə
dophou	d ɔ p ɦ œ u̯
doringboom	d ʊ ə̯ r n b ʊ ə̯ m
dorp	d ɔ r p
dors	d ɔ r s
dorstig	d ɔ r s t ə χ
dorsvloer	d ɔ r s f l u r
dowe	d ʊ ə v ə
draad	d r ɑː t
draadstrik	d r ɑː t s t r ə k
draai	d r ɑː i
draak	d r ɑː k
drie	d r i
drif	d r ə f
drol	d r ɔ l
dronkaard	d r ɔ ŋ k ɑː r d
droog	d r ʊ ə̯ χ
droë	d r oː ə
droë	d r ʊ ə̯
druipeling	d r œ i̯ p ə l ə ŋ
druk	d r œ k
drukkende	d r œ k ə n d ə
drup	d r œ p
drywer	d r ə i̯ v ə r
duif	d œ i̯ f
duik	d œ i̯ k
duikboot	d œ i̯ k b ʊ ə̯ t
duiker	d œ i̯ k ə r
duikweg	d œ i̯ k v ɛ x
duin	d œ i̯ n
duinebesie	d œ i̯ n ə b ɪ ə̯ s i
duisend	d œ i̯ s ə n t
duister	d œ i s t ə r
duisternis	d œ i̯ s t ə r n ə s
duskant	d œ s k a n t
dwaal	d v ɑː l
dwaalleer	d v ɑː l ɪ ə̯ r
dwarsoor	d v a r s ʊ ə̯ r
edelman	ɪ ə̯ d ə l m a n
een	e ə̯ n
een	ɪ ə̯ n
eend	ɪ ə̯ n t
eensaam	ɪ ə̯ n s ɑː m
eensaamheid	ɪ ə̯ n s ɑː m ɦ ə i̯ t
eenvoudig	ɪ ə̯ n f œ u̯ d ə χ
eers	i ə̯ r s
eet	ɪ ə t
eeu	i u
eg	ɛ χ
egpaar	ɛ χ p ɑː r
eie	ə i̯ ə
eiendomsbelasting	ə i̯ ə n d ɔ m s b ə l a s t ə ŋ
eier	ə i ə r
eiers	ɛ i ə r s
eierstok	ə i̯ ə r s t ɔ k
eik	ə i̯ k
eiland	ə i̯ l a n t
eina	ə i̯ n a
einde	ə i̯ n d ə
ek	ɛ k
ekstase	ɛ k s t ɑː s ə
eland	ɪ ə̯ l a n t
elektrisiteit	ɪ ə̯ l ɛ k t r i s i t ə i̯ t
elf	ɛ l f
en	ə n
en	ɛ n
enersyds	ɪ ə̯ n ə r s ə i̯ t s
engte	ɛ ŋ t ə
enkel	ɛ ŋ k ə l
ensiklopedie	ɛ n s i k l ʊ ə p ə d i
entjie	ɛ ŋ k i
entstof	ɛ n t s t ɔ f
er	æː r
erfenisgebied	ɛ t f ə n ə s χ ə b i t
erfenisterrein	ɛ r f ə n ə s t ə r ə i̯ n
erfenisterrein	ɛ r f ə n ə s t ɛ r ə i̯ n
erken	ɛ r k ɛ n
erosie	ɪ ə̯ r ʊ ə̯ s i
ertjie	ɛ r k i
erts	ɛ r t s
esel	ɪ ə s ə l
ewig	ɪ ə v ə x
fabriek	f a b r i k
fantasie	f a n t a s i
fantasie	f a n t ə s i
faset	f a s ɛ t
fassineer	f a s i n ɪ ə̯ r
feeks	f ɪ ə̯ k s
fel	f ɛ l
fiets	f i t s
film	f ə l m
filterkoffie	f ə l t ə r k ɔ f i
fisant	f i s a n t
flamink	f l a m ə ŋ k
fliek	f l i k
fok	f ɔ k
foon	f ʊ ə̯ n
foonsnol	f ʊ ə̯ n s n ɔ l
fopnuus	f ɔ p n y s
formule	f ɔ r m y l ə
forseer	f ɔ r s ɪ ə̯ r
foto	f ʊ ə̯ t ʊ ə̯
fouteer	f œ u t ɪ ə̯ r
framboos	f r ɑ m b u ə̯ s
g'n	χ ə n
gaan	χ ɑː n
gaas	χ ɑː s
galg	χ a l χ
galm	χ a l m
gang	χ a ŋ
ganja	ɡ a n d ʒ a
gars	χ a r s
gat	χ a t
gatta	χ a t a
gebaar	χ ə b ɑː r
gebaretaal	χ ə b ɑː r ə t ɑː l
gebed	χ ə b ɛ t
gebergte	χ ə b ɛ r χ t ə
gebeurtenis	χ ə b ɪ ø r t ə n ə s
geboorte	χ ə b ʊ ə̯ r t ə
gebou	χ ə b œ u̯
gebruik	χ ə b r œ i̯ k
gedaante	χ ə d ɑː n t ə
gedagte	χ ə d ɑ χ t ə
gedagtegoed	χ ə d a χ t ə χ u t
gedig	χ ə d ə χ
gee	χ ɪ ə
geel	χ ɪ ə̯ l
geelperske	χ ɪ ə̯ l p ɛ r s k ə
geelste	χ ɪ ə l s t ə
geen	χ ɪ ə̯ n
gees	χ ɪ ə̯ s
gegaan	χ ə χ ɑː n
gegroet	χ ə χ r u t
gehad	χ ə ɦ a t
geheue	χ ə ɦ ɪ ø ə
geitjie	χ ə i k i
geld	χ ɛ l t
gele	χ ɪ ə l ə
geleerde	χ ə l ɪ ə̯ r d ə
geleë	χ ə l i ə
geleë	χ ə l ɪ ə̯
gelowig	χ ə l ʊ ə̯ v ə χ
gelowige	χ ə l ʊ ə̯ v ə χ ə
geluk	χ ə l œ k
gelukkig	χ ə l œ k ə χ
gemeenskap	χ ə m ɪ ə̯ n s k a p
gemeente	χ ə m ɪ ə̯ n t ə
gemenebes	χ ə m ɪ ə̯ n ə b ɛ s
gerug	χ ə r œ χ
gesels	χ ə s ɛ l s
gesig	χ ə s ə χ
gesiggestremde	χ ə s ə χ ə s t r ɛ m d ə
gesigsuitdrukking	χ ə s ə χ s œ i̯ t d r œ k ə ŋ
geskenk	χ ə s k ɛ ŋ k
geskiedenis	χ ə s k i d ə n ə s
gesond	χ ə s ɔ n t
gesondheid	χ ə s ɔ n t ɦ ə i̯ t
gesprek	χ ə s p r ɛ k
gestalte	χ ə s t a l t ə
geur	χ ɪ ø r
gevaar	χ ə f ɑː r
gevaarlik	χ ə f ɑː r l ə k
geveg	χ ə f a χ
gevegstenue	x ə v ɛ x s t ə n y
gevoel	χ ə f u l
gewoon	χ ə v ʊ ə̯ n
gewoonlik	χ ə v ʊ ə̯ n l ə k
geëet	χ ə ɪ ə t
ghong	ɡ ɔ ŋ
gif	χ ə f
gifte	χ ə f t ə
gister	χ ə s t ə r
gisteraand	χ ə s t ə r ɑː n t
giwwe	χ ə v ə
glas	χ l a s
gletser	χ l ɛ t s ə r
glimlag	χ l ə m l a χ
glo	χ l ʊ ə
godsdiens	χ ɔ t s d i n s
goed	χ u t
goedkeur	χ u t k ɪ ø r
goedkeuring	χ u t k ɪ ø r ɪ ŋ
gogga	χ ɔ χ a
goiing	χ ɔ i ə ŋ
gom	χ ɔ m
graad	χ r ɑː t
graag	χ r ɑː χ
graf	χ r a f
granaat	χ r a n ɑː t
grasieus	χ r a s i ɪ ø s
grens	χ r ɛ n s
groente	χ r u n t ə
groep	χ r u p
groet	χ r u t
grof	χ r ɔ f
grond	χ r ɔ n t
groot	χ r ʊ ə t
grootmens	χ r ʊ ə̯ t m ɛ n s
groottoon	χ r ʊ ə t t ʊ ə n
grot	χ r ɔ t
gruweldaad	χ r y v ə l d ɑː t
guur	χ yː r
haai	ɦ ɑː i
haakspeld	ɦ ɑː k s p ɛ l t
haan	ɦ ɑː n
haar	ɦ ɑː r
haarnaald	ɦ ɑː r n ɑː l t
haarspeld	ɦ ɑː r s p ɛ l t
haastig	ɦ ɑː s t ə x
haat	ɦ ɑː t
halfrond	ɦ a l f r ɔ n t
hallo	ɦ a l ə u
ham	ɦ a m
hamer	ɦ a m ə r
hamer	ɦ ɑː m ə r
hand	ɦ a n t
handgreep	ɦ a n t χ r ɪ ə̯ p
handhaaf	ɦ a n t ɦ ɑː f
handruiker	ɦ a n t r œ i̯ k ə r
handskoen	ɦ a n t s k u n
hang	ɦ a ŋ
hangmat	ɦ a ŋ m a t
hartaanval	ɦ a r t ɑː n f a l
hartlik	ɦ a r t ə l ə k
hartoorplanting	ɦ a r t ʊ ə̯ r p l a n t ə ŋ
hawe	ɦ ɑː v ə
heelal	ɦ ɪ ə̯ l a l
hef	ɦ ɛ f
heilig	ɦ ə i̯ l ə χ
heipaal	ɦ ə i̯ p ɑː l
heks	ɦ ɛ k s
helder	ɦ ɛ l d ə r
help	ɦ ɛ l p
hemel	ɦ ɪ ə m ə l
hemp	ɦ ɛ m p
hennep	ɦ ɛ n ə p
herfs	ɦ ɛ r f s
herinner	ɦ ɛ r ə n ə r
herinnering	ɦ ɛ r ə n ə r ə ŋ
hertog	ɦ ɛ r t ɔ χ
het	ə t
het	ɦ ɛ t
hier	ɦ i r
hierdie	ɦ i r d i
hiernatoe	ɦ i r n a t u
hings	ɦ ə ŋ s
hobo	ɦ ʊ ə b ʊ ə
hoed	ɦ u t
hoedband	ɦ u t b ɐ n t
hoeka	ɦ u k a
hoekom	ɦ u k ɔ m
hoender	ɦ u n ə r
hoenders	ɦ u n ə r s
hol	ɦ ɔ l
holte	ɦ ɔ l t ə
hond	ɦ ɔ n t
honger	ɦ ɔ ŋ ə r
hongersnood	ɦ ɔ ŋ ə r s n ʊ ə̯ t
hoof	ɦ ʊ ə̯ f
hoofman	ɦ ʊ ə̯ f m a n
hoofsaaklik	ɦ ʊ ə̯ f s ɑː k l ə k
hoofstad	ɦ ʊ ə̯ f s t a t
hoog	ɦ ʊ ə χ
hoogland	ɦ ʊ ə̯ χ l a n t
hoogste	ɦ ʊ ə χ s t ə
hoogtevrees	ɦ ʊ ə̯ χ t ə f r ɪ ə̯ s
hoop	ɦ ʊ ə̯ p
hoor	ɦ ʊ ə̯ r
horing	ɦ ʊ ə r ə ŋ
horlosie	ɦ ɔ r l ʊ ə̯ s i
hospitaal	ɦ ɔ s p i t ɑː l
hou	ɦ œ u
huis	ɦ œ i s
huisves	ɦ œ i̯ s f ɛ s
hul	ɦ œ l
hulle	ɦ œ l ə
hulpbron	ɦ œ l p b r ɔ n
hupstoot	ɦ œ p s t ʊ ə̯ t
hutsmerk	ɦ œ t s m ɛ r k
huur	ɦ y r
hy	ɦ ə i
hys	ɦ ə i̯ s
hysbak	ɦ ə i̯ s b a k
hê	ɦ ɛː
iemand	i m a n t
iets	i t s
iewers	i v ə r s
iewers	ɪ ə̯ v ə r s
ik	ə k
impak	ə m p a k
in	ə n
indoena	ə n d u n a
industrie	ə n d œ s t r i
inent	ə n ɛ n t
inenting	ə n ɛ n t ə ŋ
inentingsveldtog	ə n ɛ n t ə ŋ s f ɛ l t ɔ χ
inhoud	ə n ɦ œ u̯ t
ink	ə ŋ k
inlei	ə n l ə i̯
innie	ə n i
innig	ə n ə x
insig	ə n s ə χ
intiem	ə n t i m
invloedsfeer	ə n f l u t s f ɪ ə̯ r
inwoner	ə n v ʊ ə n ə r
is	ə s
issie	ə s i
ja	j aː
jaar	j ɑː r
jaart	j ɑː r t
jag	j ɑ χ
jammer	j a m ə r
jare	j ɑː r ə
jas	j a s
jellievis	d ʒ ɛ l i f ə s
jil	j ə l
joel	j u l
jogurt	j o x œ r t
joint	d ʒ ɔ i̯ n t
jok	j ɔ k
jong	j ɔ ŋ
jonk	j ɔ ŋ k
jou	j œ u
juis	j œ i̯ s
julle	j œ l ə
jy	j ə i
kaal	k ɑː l
kaaldans	k ɑː l d a n s
kaart	k ɑː r t
kaas	k ɑː s
kaaskoek	k ɑː s k u k
kabeljou	k a b ə l j œ u̯
kaboedel	k a b u d ə l
kaffer	k a f ə r
kak	k a k
kakkerlak	k a k ə r l a k
kalf	k a l f
kalkoen	k a l k u n
kameel	k a m ɪ ə̯ l
kameeldoring	k ɑ m ɪ ə̯ ɫ d ʊ ə̯ r ə ŋ
kamer	k ɑː m ə r
kamera	k a m ə r a
kamp	k a m p
kan	k a n
kanaal	k a n ɑː l
kandidaat	k a n d i d ɑː t
kanker	k a ŋ k ə r
kanonkoeël	k a n ɔ n k uː l
kans	k a n s
kansvatter	k a n s f a t ə r
kapater	k a p ɑː t ə r
kapel	k a p ɛ l
kar	k a r
karakter	k a r a k t ə r
kardoes	k a r d u s
karre	k a r ə
kas	k a s
kat	k a t
keel	k ɪ ə̯ l
keiser	k ə i̯ s ə r
kelder	k ɛ l d ə r
kelk	k ɛ l k
ken	k ɛ n
kerk	k ɛ r k
kerker	k ɛ r k ə r
kerkvader	k ɛ r k f ɑː d ə r
kerm	k ɛ r m
kernkragsentrale	k ɛ r ə n k r a χ s ɛ n t r ɑː l ə
ketel	k ɪ ə̯ t ə l
keurslyf	k ɪ ø r s l ə i̯ f
kiaat	k i ɑː t
kiaat	k ə j ɑː t
kiek	k i k
kieliebak	k i l i b a k
kierie	k i r i
kiesa	k i s a
kikvors	k ə k f ɔ r s
kil	k ə l
kim	k ə m
kind	k ə n t
kindermishandeling	k ə n d ə r m ə s ɦ a n d ə l ə ŋ
kinders	k ə n ə r s
kinderwa	k ə n d ə r v ɑː
klaaglied	k l ɑː χ l i t
klaar	k l ɑː r
klad	k l a t
klank	k l a ŋ k
klankbaan	k l a ŋ k b ɑː n
klankwet	k l a ŋ k v ɛ t
klant	k l a n t
klavier	k l a f i r
kleding	k l ɪ ø d ə ŋ
kleef	k l eː v ə n
klei	k l ə i̯
klein	k l ə i̯ n
kleinkind	k l ə i̯ n k ə n t
klem	k l ɛ m
kleur	k l ɪ ø r
kleurvol	k l ɪ ø r f ɔ l
klewerig	k l ɪ ə̯ v ə r ə x
klier	k l i r
klink	k l ə ŋ k
klinker	k l ə ŋ k ə r
klinknael	k l ə ŋ k n ɑː ə l
klinknaelbroek	k l ə ŋ k n ɑː ə l b r u k
klok	k l ɔ k
klont	k l ɔ n t
kloof	k l u ə f
klopjag	k l ɔ p j a χ
kluisenaar	k l œ i̯ s ə n ɑː r
knaag	k n ɑː χ
knaagdier	k n ɑː χ d i r
knae	k n ɑː ə
knaende	k n ɑː ə n d ə
kneg	k n ɛ χ
knoffel	k n ɔ f ə l
knoflok	k n ɔ f l ɔ k
knus	k n œ s
koedoe	k u d u
koei	k u i̯
koek	k u k
koeksister	k u k s ə s t ə r
koelkas	k u l k a s
koerant	k u r a n t
koeël	k uː l
koeëls	k uː l s
koffie	k ɔ f i
kokosneut	k ʊ ə̯ k ɔ s n ɪ ø t
kolgans	k ɔ l χ a n s
kolonel	k ʊ ə̯ l ʊ ə̯ n ɛ l
kolonie	k ʊ ə̯ l ʊ ə̯ n i
kom	k ɔ m
kombers	k ɔ m b ɛː r s
kombi	k ɔ m b i
kombuis	k ɔ m b œ i̯ s
komeet	k ʊ ə̯ m ɪ ə̯ t
komkommer	k ɔ m k ɔ m ə r
kommunikeer	k ɔ m y n i s ɪ ə̯ r
kompas	k ɔ m p a s
kon	k ɔ n
koning	k ʊ ə n ə ŋ
koninkryk	k ʊ ə̯ n ə ŋ k r ə i̯ k
konsentrasiekamp	k ɔ n s ɛ n t r ɑː s i k a m p
konsep	k ɔ n s ɛ p
kont	k ɔ n t
kontak	k ɔ n t a k
konteks	k ɔ n t ɛ k s
kontrak	k ɔ n t r a k
kontreikuns	k ɔ n t r ə i̯ k œ n s
kooi	k oː i
kool	k ʊ ə l
koop	k ʊ ə̯ p
kop	k ɔ p
kopende	k ʊ ə p ə n d ə
koper	k oː p ə r
kopie	k ʊ ə̯ p i
