'bout	b a ʊ t
aacu	e ɪ e ɪ k e ɪ j ʊ
aacu	æ k ʊ
aakp	e ɪ e ɪ k e ɪ p iː
aalborg	ɔː l b ɔː ɡ
aalborg	ɔː l b ɔː ɹ
aalii	ɑː l iː iː
aalst	ɑː l s t
aam	ɑː m
aam	ɔː m
aandblom	ɑː n t b l ɒ m
aar	ɑː ɹ
aarau	aː ɹ a u
aardvark	ɑː d v ɑː k
aardwolf	ɑː d w ʊ l f
aare	ɑː ɹ ə
aarhus	ɔː h uː s
aaron	æ ɹ ə n
aaron	ɛ ə ɹ ə n
aaronic	æ ɹ ɒ n ɪ k
aaronic	ɛː ɹ ɒ n ɪ k
aaronical	æ ɹ ɑ n ɪ k ə l
aaronical	ɛː ɹ ɑ n ɪ k ə l
aaronite	e ə ɹ n̩ a ɪ t
aarp	e ɪ e ɪ ɑː p iː
aasvogel	ɑː s f ə ʊ ɡ ə l
aatheist	e ɪ e ɪ θ i ɪ s t
ab	æ b
aba	ə b ɑː
abaca	æ b ə k ɑ
abacavir	ə b a k ə v ɪ ə
abaci	æ b ə k a ɪ
abacinate	æ b æ s ɪ n e ɪ t
aback	ə b æ k
abackward	ə b æ k w ə d
abaco	æ b æ k o ʊ
abaco	æ b ə k o ʊ
abacost	æ b ə k ɒ s t
abacus	æ b ə k a ɪ
abacus	æ b ə k ə s
abaft	ə b æ f t
abaft	ə b ɑː f t
abaht	ə b ɑː t
abaisance	ə b e ɪ z ə n s
abalone	æ b ə l ə ʊ n i
abampere	æ b æ m p ɪ ə
aband	ə b æ n d
abandon	ə b æ n d n̩
abandoned	ə b æ n d n̩ d
abandonedly	ə b æ n d n̩ ə d l i
abandoner	ə b æ n d ə n ə
abandonment	ə b æ n d n̩ m n̩ t
abarognosis	æ b ə ɹ ə ɡ n ə ʊ s ɪ s
abart	ə b ɑː t
abase	ə b e ɪ s
abased	ə b e ɪ s t
abasedly	ə b e ɪ s ɪ d l i
abasement	ə b e ɪ s m ə n t
abash	ə b æ ʃ
abashed	ə b æ ʃ t
abashedly	ə b æ ʃ ɪ d l i
abashedness	ə b æ ʃ ɪ d n ɪ s
abashless	ə b æ ʃ l ɪ s
abashment	ə b æ ʃ m ə n t
abasia	ə b e ɪ z i ə
abasia	ə b e ɪ ʒ i ə
abasia	ə b e ɪ ʒ ə
abate	ə b e ɪ t
abatement	ə b e ɪ t m ə n t
abates	ə b e ɪ t s
abating	ə b e ɪ t ɪ ŋ
abatis	æ b ə t iː
abatised	æ b ə t ɪ s t
abattoir	æ b ə t w ɑː ɹ
abaza	ə b ɑː z ə
abba	æ b ɑ
abba	æ b ə
abbas	ə b ɑː s
abbes	æ b e ɪ z
abbes	ə b e ɪ z
abbess	æ b ɛ s
abbess	æ b ɪ s
abbey	æ b i
abbeys	æ b i z
abbot	æ b ə t
abbots	æ b ə t s
abbotship	æ b ə t ʃ ɪ p
abbreviate	ə b ɹ iː v i e ɪ t
abbreviated	ə b ɹ iː v i e ɪ t ɪ d
abbreviation	ə b ɹ iː v i e ɪ ʃ ə n
abbreviator	ə b ɹ iː v i e ɪ t ə
abby	æ b i
abc	e ɪ b iː s iː
abcde	æ b s ə d iː
abdabs	æ b d æ b z
abderitism	æ b d ə ɹ ɪ t ɪ z m̩
abdicate	æ b d ɪ k e ɪ t
abdicated	æ b d ɪ k e ɪ t ɪ d
abdication	æ b d ə k e ɪ ʃ ə n
abditive	æ b d ɪ t ɪ v
abdomen	æ b d ə m ə n
abdomen	æ b d ə ʊ m ə n
abdominal	æ b d ɒ m ə n l̩
abdominal	ə b d ɒ m ə n l̩
abdominalia	æ b d ɒ m ɪ n e ɪ l i ə
abdominous	æ b d ɒ m ə n ə s
abduce	ə b d j uː s
abduce	ə b d ʒ uː s
abduced	ə b d j uː s t
abducted	æ b d ʌ k t ɪ d
abductee	æ b d ʌ k t iː
abduction	ə b d ʌ k ʃ n̩
abe	e ɪ b
abe	ə b i
abeam	ə b iː m
abear	ə b ɛː
abec	e ɪ b ɛ k
abecedarian	e ɪ b iː s iː d ɛː ɹ ɪ ə n
abecedary	e ɪ b iː s iː d ə ɹ i
abed	ɑː b ɛ d
abed	ə b ɛ d
abegge	ə b ɛ d͡ʒ
abeigh	ə b e ɪ x
abeigh	ə b i x
abeigh	ə b iː x
abel	e ɪ b l̩
abele	e ɪ b l̩
abele	ə b e ɪ l
abele	ə b iː l
abelmosk	e ɪ b l m ɒ s k
abelmosk	e ɪ b ə l m ɒ s k
abelungu	a b ə l ʊ ŋ ɡ uː
abend	æ b ɛ n d
abend	ə b ɛ n d
aberdare	æ b ə d ɛː
aberdeen	æ b ə ɹ d iː n
aberrant	æ b ə ɹ n̩ t
aberrant	ə b ɛ ɹ n̩ t
aberuncate	æ b ə ɹ ʌ ŋ k e ɪ t
aberystwyth	æ b ə ɹ ɪ s t w ɪ θ
abet	ə b ɛ t
abets	ə b ɛ t s
abetted	ə b ɛ t ɪ d
abetting	ə b ɛ t ɪ ŋ
abettor	ə b ɛ t ə
abeyance	ə b e ɪ ə n s
abeyant	ə b e ɪ ə n t
abhisheka	ʌ b ɪ ʃ e ɪ k ə
abhominable	ə b h ɒ m n ɪ ə b ə l
abhominable	ə b ɒ m n ɪ ə b ə l
abhor	ə b h ɔː ɹ
abhorrence	ə b h ɒ ɹ n̩ s
abhorrence	ə b h ɒ ɹ n̩ t s
abhorrency	ə b ɔ ɹ ɪ n s i
abhorrent	æ b h ɒ ɹ ə n t
abhorrent	ə b h ɒ ɹ ə n t
abhorrer	ə b h ɔː ɹ ə
abhorrers	æ b h ɔː ɹ ɚ
abide	ə b a ɪ d
abided	ə b a ɪ d ə d
abides	ə b a ɪ d s
abidest	ə b a ɪ d ɪ s t
abier	ə b ɪ ə ɹ
abigail	a b ɪ ɡ e ɪ l
abilene	æ b ɪ l iː n
abilene	æ b ɪ l iː n iː
abimelech	ə b ɪ m ə l ɛ k
abiogenesis	e ɪ b a ɪ ə ʊ d ʒ ɛ n ə s ɪ s
abiraterone	æ b ɪ ɹ æ t ə ɹ ə ʊ n
abite	ə b a ɪ t
abitur	æ b i t ʊ ə ɹ
abitur	æ b ɪ t ʊ ə ɹ
abject	æ b d ʒ ɛ k t
abject	æ b d͡ʒ ɛ k t
abjection	æ b d͡ʒ ɛ k ʃ n̩
abjectly	æ b d͡ʒ ɛ k t l i
abjudication	ə b d ʒ uː d ɪ k e ɪ ʃ ə n
abjugate	æ b d ʒ ə ɡ e ɪ t
abjunction	æ b d͡ʒ ʌ ŋ k ʃ ə n
abjunctive	æ b d ʒ ʌ ŋ k t ɪ v
abjured	ə b d ʒ ʊ ə d
abjurement	ə b d͡ʒ ʊ ə ɹ m ə n t
abjures	ə b d ʒ ʊ ə z
abjuring	ə b d ʒ ʊ ɹ ɪ ŋ
ablactate	æ b l æ k t e ɪ t
ablativity	a b l ə t ɪ v ɪ t i
abligurition	ə b l ɪ ɡ j ʊ ɹ ɪ ʃ ə n
ablings	e ɪ b l ɪ n z
ablood	ə b l ʌ d
ablude	ə b l uː d
abluent	æ b l u n̩ t
ablur	ə b l ɜː ɹ
ablute	ə b l uː t
ablution	ə b l uː ʃ n̩
abnegate	æ b n ɪ ɡ e ɪ t
abnegative	æ b n ɛ ɡ ə t ɪ v
abo	æ b ə ʊ
aboard	ə b ɔː d
abode	ə b ə ʊ d
abolish	ə b ɒ l ɪ ʃ
abolished	ə b ɒ l ɪ ʃ t
abolitionist	æ b ə l ɪ ʃ n̩ ɪ s t
abolitionists	æ b ə l ɪ ʃ n̩ ɪ s t s
abolla	ə b ɒ l ə
abomination	ə b ɑ m ə n e ɪ ʃ n̩
abomination	ə b ɑ m ɪ n e ɪ ʃ n̩
abominationly	ə b ɑ m ə n e ɪ ʃ n̩ l i
abominationly	ə b ɑ m ɪ n e ɪ ʃ n̩ l i
abood	ə b uː d
aboral	æ b ɔː ɹ l̩
aborally	æ b ɔː ɹ ə l i
abord	ə b ɔː d
abordage	ə b ɔː ɹ d ɪ d͡ʒ
aborsement	ə b ɔː ɹ s m ə n t
abort	ə b ɔː t
aborted	ə b ɔ r t ɪ d
abortee	ə b ɔː ɹ t i
abortive	ə b ɔː t ɪ v
abortorium	æ b ɔ ɹ t ɔː ɹ i ə m
abortoriums	æ b ɔ ɹ t ɔ ə ɹ i ə m z
abound	ə b a ʊ n d
abounder	ə b a ʊ n d ɚ
above	ə b ʌ v
abovementioned	ə b ʌ v m ɛ n ʃ ə n d
abra	æ b ɹ ə
abra	ɑː b ɹ ə
abracadabra	a b ɹ ə k ə d a b ɹ ə
abrade	ə b ɹ e ɪ d
abraham	e ɪ b ɹ ə h æ m
abraham	ɑː b ɹ ə h æ m
abrahamic	e ɪ b ɹ ə h æ m ɪ k
abraid	ə b ɹ e ɪ d
abrams	e ɪ b ɹ ə m z
abrasively	ə b ɹ e ɪ s ɪ v l i
abreast	ə b ɹ ɛ s t
abreuvoir	ə b ɹ uː v w ɑː ɹ
abri	ɑː b ɹ iː
abri	ə b ɹ iː
abridge	ə b ɹ ɪ d͡ʒ
abridged	ə b ɹ ɪ d ʒ d
abridgement	ə b ɹ ɪ d͡ʒ m ə n t
abridges	ə b ɹ ɪ d ʒ ɪ z
abridging	ə b ɹ ɪ d ʒ ɪ ŋ
abrim	ə b ɹ ɪ m
abroad	ə b ɹ ɔː d
abrogate	æ b ɹ ə ɡ e ɪ t
abrogate	æ b ɹ ə ɡ ə t
abrogate	æ b ɹ ə ʊ ɡ e ɪ t
abrogationist	æ b ɹ ə ɡ e ɪ ʃ n̩ ɪ s t
abs	æ b z
abscise	ə b s a ɪ z
absciss	æ b s ɪ s
absciss	ə b s ɪ s
abscissae	æ b s ɪ s iː
absconce	æ b s k ɒ n s
abscond	ə b s k ɒ n d
absconder	æ b s k ɒ n d ɚ
abseil	æ b s a ɪ l
abseil	æ b s e ɪ l
absence	æ b s n̩ t s
absence	æ b s ə n̩ s
absence	æ b s ə n̩ t s
absent	æ b s n̩ t
absent	æ b s ɛ n t
absenteeism	æ b s ə n t iː ɪ z m̩
absentia	æ b s ɛ n t ʃ i ə
absentia	æ b s ɛ n t ʃ ə
absentment	ə b s ɛ n t m ə n t
absinth	æ b s ɪ n θ
absinthe	æ b s æ n θ
absinthe	æ b s ɪ n θ
absist	æ b s ɪ s t
absist	ə b s ɪ s t
absolute	æ b s ə l j uː t
absolute	æ b s ə l uː t
absolutely	æ b s ə l j uː t l ɪ
absoluteness	a b s ə l uː t n ə s
absolution	æ b s ə l j uː ʃ n̩
absolutism	æ b s ə l j uː t ɪ z m̩
absolutism	æ b s ə l uː t ɪ z m̩
absolutist	æ b s ə l j uː t ɪ s t
absolutist	æ b s ə l uː t ɪ s t
absolutive	æ b s ə l uː t ɪ v
absolutize	æ b s ə l j uː t a ɪ z
absolutize	æ b s ə l uː t a ɪ z
absolve	ə b z ɒ l v
absolvitor	æ b s ɒ l v ɪ t ɔː
absolviture	æ b s ɒ l v ɪ t j uː ə
absorb	ə b s ɔː b
absorb	ə b z ɔː b
absorbent	ə b s ɔː b n̩ t
absorbent	ə b z ɔː b n̩ t
absorbing	ə b s ɔː b ɪ ŋ
absorbing	ə b z ɔː b ɪ ŋ
absorptance	ə b z ɔː p t n̩ s
absorptiometer	ə b s ɔː p ʃ ɪ ɒ m ɪ ɚ
absorptiometer	ə b z ɔː p ʃ ɪ ɒ m ɪ ɚ
absorption	ə b s ɔː p ʃ n̩
absorption	ə b z ɔː p ʃ n̩
absorptions	ə b s ɔː p ʃ n̩
absorptions	ə b z ɔː p ʃ n̩
absquatulate	æ b s k w ɑ t ʃ ʊ l e ɪ t
absquatulate	æ b z k w ɑ t ʃ ə l e ɪ t
absquatulate	æ b z k w ɑ t ʃ ʊ l e ɪ t
abstain	ə b s t e ɪ n
abstemious	æ b s t iː m ɪ ə s
abstemiously	æ b s t i m i ə s l i
abstemiously	ə b s t i m i ə s l i
abstention	ə b s t ɛ n ʃ n̩
abstentionism	ə b s t ɛ n ʃ n̩ ɪ z m̩
abstentionist	ə b s t ɛ n ʃ n̩ ɪ s t
absterge	ə b s t ɜː ɹ d͡ʒ
abstergent	ə b s t ɝː ɹˑ d͡ʒ n̩ t
absterse	ə b s t ɜː ɹ s
abstersion	æ b s t ɜː ʒ n̩
abstersive	ə b s t ɝː ɹ s ɪ v
abstersiveness	ə b s t ɝː ɹ s ɪ v n ə s
abstinence	æ b s t ɪ n ə n s
abstract	æ b s t ɹ æ k t
abstract	ə b s t ɹ æ k t
abstracta	ə b s t ɹ æ k t ə
abstractable	ə b s t ɹ æ k t ə b l̩
abstracted	ə b s t ɹ æ k t ɪ d
abstractedness	ə b s t ɹ æ k t ɪ d n ə s
abstraction	ə b s t ɹ æ k ʃ n̩
abstractitious	æ b s t ɹ æ k t ɪ ʃ ə s
abstractive	ə b s t ɹ æ k t ɪ v
abstractum	ə b s t ɹ æ k t m̩
abstrict	æ b s t ɹ ɪ k t
abstringe	ə b s t ɹ ɪ n d ʒ
abstruse	ə b s t ɹ uː s
abstrusely	ə b s t ɹ uː s l i
abstruseness	ə b s t ɹ uː s n ə s
abstrusity	ə b s t ɹ uː s ə t i
abstrusive	ə b s t ɹ uː s ɪ v
absume	ə b s u m
absurd	ə b s ɜː d
absurd	ə b z ɜː d
absurda	ə b s ɜː d ə
absurdism	ə b s ɜː d ɪ z m̩
absurdist	ə b s ɜː d ə s t
absurdity	ə b s ɜː d ɪ t i
absurdly	ə b s ɜː d l i
absurdness	ə b s ɜː d n ə s
absurdum	æ b s ɝ d m̩
absurdum	ə b s ɝ d m̩
absurdum	ə b s ɝː d m̩
abubble	ə b ʌ b l̩
abud	ə b ʌ d
abugida	ɑː b u ɡ iː d ə
abuilding	ə b ɪ l d ɪ ŋ
abuja	ə b uː d͡ʒ ə
abulfeda	ɑ b u l f ɛ d ɑ
abulge	ə b ʌ l d͡ʒ
abulia	ə b j uː l ɪ ə
abuna	ə b uː n ə
abundance	ə b ʌ n d n̩ s
abundant	ə b ʌ n d n̩ t
abundantly	ə b ʌ n d n̩ t l i
abune	ə b uː n
abune	ə b ʏ n
abura	ə b j ʊː ɹ ə
aburn	ə b ɜː ɹ n
aburst	ə b ɜː s t
aburton	ə b ɝː t n̩
abusable	ə b j uː z ə b l̩
abusage	ə b j uː s ɪ d͡ʒ
abuse	ə b j uː s
abuse	ə b j uː z
abused	ə b j uː z d
abuseful	ə b j u s f ʊ l
abusefully	ə b j uː s f ə l i
abuser	ə b j uː z ɚ
abuses	ə b j uː s ɪ z
abuses	ə b j uː z ɪ z
abusion	ə b j uː ʒ n̩
abusive	ə b j uː s ɪ v
abusively	ə b j uː s ɪ v l i
abusiveness	ə b j uː s ɪ v n ə s
abustle	ə b ʌ s l̩
abut	ə b ʌ t
abutilon	ə b j uː t ɪ l ɒ n
abutment	ə b ʌ t m n̩ t
abuts	ə b ʌ t s
abutt	ə b ʌ t
abuzz	ə b ʌ z
abvolt	æ b v ə ʊ l t
abwab	ə b w ɑː b
abwatt	æ b w ɒ t
aby	ə b a ɪ
abydene	æ b ɪ d iː n
abydocomist	æ b ɪ d ə k ə ʊ m ɪ s t
abye	ə b a ɪ
abysm	ə b ɪ z m̩
abysmal	ə b ɪ z m ə l
abysmally	ə b ɪ z m l̩ i
abyss	ə b ɪ s
abyssal	ə b ɪ s l̩
abyssinia	æ b ɪ s ɪ n i ə
abyssinian	æ b ɪ s ɪ n ɪ ə n
acacia	ə k e ɪ s j ə
acacia	ə k e ɪ ʃ ə
academe	æ k ə d iː m
academese	ə k æ d ə m iː z
academia	æ k ə d iː m ɪ ə
academian	æ k ə d iː m i n̩
academic	æ k ə d ɛ m ɪ k
academical	æ k ə d ɛ m ɪ k l̩
academician	a k ə d ə m ɪ ʃ n̩
academician	ə k a d ə m ɪ ʃ n̩
academicism	æ k ə d ɛ m ə s ɪ z m̩
academicking	æ k ə d ɛ m ɪ k ɪ ŋ
academics	æ k ə d ɛ m ɪ k s
academies	ə k æ d ə m i z
academy	ə k æ d ə m i
acadian	ə k e ɪ d i n̩
acai	æ s a ɪ iː
acai	ə s a ɪ iː
acajou	æ k ə ʒ uː
acalculia	e ɪ k æ l k j uː l ɪ ə
acalculiac	e ɪ k æ l k j u l ɪ ə k
acanth	ə k æ n θ
acanthamoeba	ə k æ n θ ə m iː b ə
acanthite	ə k æ n θ a ɪ t
acantholysis	æ k æ n θ ɒ l ɪ s ɪ s
acanthus	ə k æ n θ ə s
acariasis	æ k ə ɹ a ɪ ə s ɪ s
acarid	æ k ə ɹ ɪ d
acarnanian	ɔ k ɔ ɹ n e ɪ n iː ə n
acarology	æ k ə ɹ ɒ l ə d͡ʒ i
acarophobia	æ k ə ɹ ə f ə ʊ b i ə
acarpous	e ɪ k ɑ ɹ p ə s
acars	e ɪ k ɑ ɹ s
acarus	æ k ə ɹ ə s
acaulous	e ɪ k ɔː l ə s
accadian	ə k e ɪ d i ə n
accadian	ə k ɑ d i ə n
accede	ə k s iː d
accelerando	æ k s ɛ l ə ɹ æ n d ə ʊ
accelerant	ə k s ɛ l ə ɹ ə n t
accelerate	æ k s ɛ l ə ɹ e ɪ t
accelerate	ə k s ɛ l ə ɹ e ɪ t
accelerate	ɪ k s ɛ l ə ɹ e ɪ t
acceleration	æ k s ɛ l ə ɹ e ɪ ʃ ə n
acceleration	ə k s ɛ l ə ɹ e ɪ ʃ ə n
acceleration	ɪ k s ɛ l ə ɹ e ɪ ʃ ə n
accendible	ə k s ɛ n d ɪ b ə l
accensor	æ k s ɛ n s ə ɹ
accensor	ə k s ɛ n s ə ɹ
accent	a k s ə n t
accent	æ k s ɛ n t
accentor	ə k s ɛ n t ə
accents	æ k s ɛ n t s
accentually	æ k s ɛ n t ʃ u ə l i
accentuate	æ k s e n t ʃ u e ɪ t
accentuate	ə k s e n t ʃ u e ɪ t
accept	æ k s ɛ p t
accept	ə k s ɛ p t
acceptation	æ k s ɛ p t e ɪ ʃ ə n
accepting	ə k s ɛ p t ɪ ŋ
acceptor	ə k s ɛ p t ə ɹ
accepts	ə k s ɛ p t s
access	æ k s ɛ s
access	ə k s ɛ s
accessary	æ k s ɛ s ə ɹ i
accessary	ə k s ɛ s ə ɹ i
accessed	æ k s ɛ s t
accessed	ə k s ɛ s t
accesses	æ k s ɛ s ɪ z
accesses	ə k s ɛ s ɪ z
accessing	æ k s ɛ s ɪ ŋ
accessing	ə k s ɛ s ɪ ŋ
accession	æ k s ɛ ʃ ə n
accession	ə s ɛ ʃ ə n
accessorize	ə k s ɛ s ə ɹ a ɪ z
accessory	æ k s ɛ s ə ɹ i
accessory	ə k s ɛ s ə ɹ i
acciaccatura	ə t ʃ æ k ə t j ʊ ə ɹ ə
accidence	æ k s ə d ə n s
accidence	æ k s ə d ə n t s
accidence	æ k s ə d ɛ n s
accidence	æ k s ə d ɛ n t s
accidental	æ k s ɪ d ɛ n t l̩
accidentally	æ k s ə d ɛ n t ə l i
accidie	æ k s ɪ d i
accinge	æ k s ɪ n d ʒ
accipient	ə k s ɪ p i ə n t
accipitral	æ k s ɪ p ə t ɹ ə l
accipitral	æ s ɪ p ə t ɹ ə l
accismus	æ k s ɪ z m ə s
accite	ə k s a ɪ t
acclaimed	ə k l e ɪ m d
acclaiming	ə k l e ɪ m ɪ ŋ
acclaims	ə k l e ɪ m z
acclimate	ə k l a ɪ m ə t
acclimated	æ k l ɪ m e ɪ t ə d
acclimatizational	ə k l a ɪ m ə t ɪ z e ɪ ʃ ə n ə l
acclimatize	ə k l a ɪ m ə t a ɪ z
acclive	ə k l a ɪ v
acclivitous	ə k l ɪ v ɪ t ə s
acclivity	ə k l ɪ v ə t i
accloy	ə k l ɔ ɪ
accoast	ə k ə ʊ s t
accoil	æ k k ɔ ɪ l
accolade	æ k ə l e ɪ d
accolade	æ k ə l ɑ d
accommodable	ə k ɒ m ə d ə b ə l
accommodableness	ə k ɒ m ə d ə b ə l n ə s
accommodate	ə k ɒ m ə d e ɪ t
accommodating	ə k ɒ m ə d e ɪ t ɪ ŋ
accommodation	ə k ɒ m ə d e ɪ ʃ ə n
accompanable	ə k ʌ m p n ə b ə l
accompanable	ə k ʌ m p ə n ə b ə l
accompanied	ə k ʌ m p n i d
accompanied	ə k ʌ m p ə n i d
accompanier	ə k ʌ m p ə n ɪ ə
accompaniment	ə k ʌ m p n i m ə n t
accompaniment	ə k ʌ m p ə n i m ə n t
accompany	ə k ʌ m p n i
accompany	ə k ʌ m p ə n i
accompanying	ə k ʌ m p ə n i ɪ ŋ
accomplice	ə k ʌ m p l ɪ s
accomplicity	æ k ɔ m p l ɪ s ɪ t i
accomplish	ə k ʌ m p l ɪ ʃ
accomplished	ə k ɒ m p l ɪ ʃ t
accomplishment	ə k ʌ m p l ɪ ʃ m ə n t
accomplishments	ə k ʌ m p l ɪ ʃ m ə n t s
accompt	ə k ɒ m p t
accord	ə k ɔː d
accordancy	ə k ɔː ɹ d ə n s i
accordantly	ə k ɔː d ə n t l i
accorded	ə k ɔː d ɪ d
according	ə k ɔː d ɪ ŋ
accordingly	ə k ɔː ɹ d ɪ ŋ l i
accordion	ə k ɔ ɹ d i ə n
accost	ə k ɒ s t
accouchement	ə k uː ʃ m ə n t
accoucheur	æ k u ʃ ɜː
accountable	ə k a ʊ n t ə b l̩
accounted	ə k a ʊ n t ɪ d
accounting	ə k a ʊ n t ɪ ŋ
accounts	ə k a ʊ n t s
accouple	ə k ʌ p ə l
accouplement	ə k ʌ p ə l m ə n t
accourage	ə k ɜ ɹ ɪ d͡ʒ
accourage	ə k ʌ ɹ ɪ d͡ʒ
accourt	ə k ɔː t
accouterments	ə k uː t ə m ə n t s
accoutre	ə k uː t ə
accpds	e ɪ s iː s iː p iː d iː ɛ s
accreditation	ə k ɹ ɛ d ɪ t e ɪ ʃ ə n
accrediting	ə k ɹ ɛ d ɪ t ɪ ŋ
accredits	ə k ɹ ɛ d ɪ t s
accrescence	ə k ɹ ɛ s ə n s
accrescences	ə k ɹ ɛ s ə n s ɪ z
accrescent	ə k ɹ ɛ s ə n t
accrete	ə k ɹ i t
accrete	ə k ɹ iː t
accretive	ə k ɹ i t ɪ v
accriminate	ə k ɹ ɪ m ɪ n e ɪ t
accroach	ə k ɹ ə ʊ t ʃ
accroides	ə k ɹ ɔ ɪ d iː z
accrual	ə k ɹ uː ə l
accrue	ə k ɹ uː
accrued	ə k ɹ uː d
accrues	ə k ɹ uː z
accruing	ə k ɹ uː ɪ ŋ
acculturate	ə k ʌ l t ʃ ə ɹ e ɪ t
acculturation	ə k ʌ l t ʃ ə ɹ e ɪ ʃ ə n
acculturational	ə k ʌ l t ʃ ə ɹ e ɪ ʃ n ə l
acculturational	ə k ʌ l t ʃ ə ɹ e ɪ ʃ ə n ə l
acculture	ə k ʌ l t ʃ ə ɹ
accumber	ə k ʌ m b ə
accumulate	ə k j uː m j ʊ l e ɪ t
accumulated	ə k j uː m j ʊ l e ɪ t ɪ d
accumulatio	ə k ʊ m j u l ɑ t i o
accumulation	ə k j uː m j ə l e ɪ ʃ ə n
accurate	æ k j ə ɹ ɪ t
accurate	æ k j ʊ ɹ ə t
accurately	æ k j ə ɹ ɪ t l i
accurater	a k j ʊ ɹ ə t ə
accurater	a k j ʊ ɹ ə t ə ɹ
accurse	ə k ɜː ɹ s
accursed	ə k ɜː s ɪ d
accurst	æ k ɜː s t
accurst	ə k ɜː s t
accusable	ə k j uː z ə b l
accusal	ə k j u z ə l
accusal	ə k j uː z ə l
accusant	ə k j uː z ə n t
accusation	æ k j ə z e ɪ ʃ ə n
accusation	æ k j ʊ z e ɪ ʃ ə n
accusatival	ə k j uː z ə t a ɪ v ə l
accusative	ə k j uː z ə t ɪ v
accusatively	ə k j uː z ə t ɪ v l ɪ
accusatrices	æ k j u z e ɪ t ɹ ɪ s iː z
accusatrix	æ k j u z e ɪ t ɹ ɪ k s
accusatrix	ə k j u s ə t ɹ ɪ k s
accuse	ə k j uː z
accusement	ə k j uː z m ə n t
accuser	əˑ k j uː z ə
accuses	ə k j uː z ɪ z
accusing	ə k j uː z ɪ ŋ
accustom	ə k ʌ s t ə m
accustomably	ə k ʌ s t ə m ə b l i
accustomed	ə k ʌ s t ə m d
ace	e ɪ s
acebutolol	a s ɪ b j uː t ə l ɒ l
aced	e ɪ s t
acedia	ə s iː d ɪ ə
acela	ə s ɛ l ə
aceldama	ə k e l d ə m ə
aceldama	ə s ɛ l d ə m ə
acephali	ɑː s ɛ f æ l ɪ i
acephalous	ə s ɛ f ə l ə s
acerb	ə s ɜː b
acerbate	a s ə b e ɪ t
acerbic	ə s ɜː ɹ b ɪ k
acerbity	ə s ɜː b ɪ t i
acerglyn	e ɪ s ə ɹ ɡ l ɪ n
aceric	æ s ɜ ɹ ɪ k
acerola	æ s ə ɹ ə ʊ l ə
acerose	æ s ə ɹ o ʊ s
acerose	æ s ə ɹ o ʊ z
acerous	e ɪ s ɪ e ɹ ə s
acerous	æ s ə ɹ ə s
acerval	ə s əː v ə l
acervate	æ s ə v e ɪ t
acervation	æ s ɚ v e ɪ ʃ ə n
acervuline	ə s ɝ v j ə l a ɪ n
acervuline	ə s ɝ v j ə l i n
aces	e ɪ s ɪ z
acescence	ə s ɛ s ə n s
acescent	ə s iː s ə n t
acetable	æ s ɪ t ə b ə l
acetabular	æ s ɪ t æ b j ʊ l ə
acetabuliferous	æ s ɪ t æ b j uː l ɪ f ə ɹ ʊ s
acetabuliform	æ s ɪ t æ b j uː l ɪ f ɔː m
acetabulum	æ s ɪ t æ b j ʊ l ə m
acetal	æ s ɪ t æ l
acetaminophen	ə s i t ə m ɪ n ə f ə n
acetary	ə s iː t ə ɹ i
acetate	æ s ɪ t e ɪ̯ t
