A	a
abeltzaini	a β̞ e l t͡s̻ a i̯ n i
abeltzaini	a β̞ e l t͡s̻ a ɲ i
abeltzainik	a β̞ e l t͡s̻ a i̯ n i k
abeltzainik	a β̞ e l t͡s̻ a ɲ i k
abeltzaintza	a β̞ e l t͡s̻ ã ĩ̯ n t͡s̻ a
abemaria	a β̞ e m a ɾ i a
abemarietako	a β̞ e m a ɾ i e t̪ a k o
abendu	a β̞ ẽ n̪ d̪ u
Abendu	a β̞ ẽ n̪ d̪ u
Abendualdi	a β̞ ẽ n̪ d̪ u a l̪ d̪ i
abenka	a β̞ e ŋ k a
abentura	a β̞ ẽ n̪ t̪ u ɾ a
abenturazale	a β̞ ẽ n̪ t̪ u ɾ a s̻ a l e
abenturazale	a β̞ ẽ n̪ t̪ u ɾ a s̻ a l e
abenturazale	a β̞ ẽ n̪ t̪ u ɾ a s̺ a l e
aberasbide	a β̞ e ɾ a z̺ β̞ i ð̞ e
aberasgarri	a β̞ e ɾ a z̺ ɣ̞ a r i
aberaskeria	a β̞ e ɾ a s̺ k e ɾ i a
aberasketa	a β̞ e ɾ a s̺ k e t̪ a
aberaski	a β̞ e ɾ a s̺ k i
aberaskume	a β̞ e ɾ a s̺ k u m e
aberastasun	a β̞ e ɾ a s̺ t̪ a s̺ ũ n
aberaste	a β̞ e ɾ a s̺ t̪ e
aberastu	a β̞ e ɾ a s̺ t̪ u
Aberasturi	a β̞ e ɾ a s̺ t̪ u ɾ i
aberats	a β̞ e ɾ a t͡s̺
aberats	a β̞ e ɾ a t͡s̺
aberats	a β̞ e ɾ a t͡s̻
abere	a β̞ e ɾ e
aberekeria	a β̞ e ɾ e k e ɾ i a
abereki	a β̞ e ɾ e k i
aberekoi	a β̞ e ɾ e k o i̯
aberetasun	a β̞ e ɾ e t̪ a s̺ ũ n
aberetiar	a β̞ e ɾ e t̪ i a r
aberetu	a β̞ e ɾ e t̪ u
aberetzar	a β̞ e ɾ e t͡s̻ a r
aberezale	a β̞ e ɾ e s̻ a l e
aberezale	a β̞ e ɾ e s̻ a l e
aberezale	a β̞ e ɾ e s̺ a l e
aberezko	a β̞ e ɾ e s̻ k o
aberezko	a β̞ e ɾ e s̻ k o
aberezko	a β̞ e ɾ e s̺ k o
aberrazio	a β̞ e r a s̻ i o
aberrazio	a β̞ e r a s̻ i o
aberrazio	a β̞ e r a s̺ i o
aberri	a β̞ e r i
aberrigabe	a β̞ e r i ɣ̞ a β̞ e
aberriratu	a β̞ e r i ɾ a t̪ u
abertzale	a β̞ e r t͡s̻ a l e
abertzalego	a β̞ e r t͡s̻ a l e ɣ̞ o
abertzalekeria	a β̞ e r t͡s̻ a l e k e ɾ i a
abertzaletasun	a β̞ e r t͡s̻ a l e t̪ a s̺ ũ n
abertzaletu	a β̞ e̞ r t͡s̻ a l e̞ t̪ u
abes	a β̞ e s̺
abesbatza	a β̞ e z̺ β̞ a t͡s̻ a
abeslari	a β̞ e z̺ l a ɾ i
abestalde	a β̞ e s̺ t̪ a l̪ d̪ e
abestaldi	a β̞ e s̺ t̪ a l̪ d̪ i
abeste	a β̞ e s̺ t̪ e
abesten	a β̞ e s̺ t̪ ẽ n
abesti	a β̞ e s̺ t̪ i
abestu	a β̞ e s̺ t̪ u
abestuko	a β̞ e s̺ t̪ u k o
abia	a β̞ i a
abiaburu	a β̞ i a β̞ u ɾ u
abiada	a β̞ i a ð̞ a
abiadan	a β̞ i a ð̞ ã n
abiadura	a β̞ i a ð̞ u ɾ a
abiagailu	a β̞ i a ɣ̞ a i̯ l u
abiagailu	a β̞ i a ɣ̞ a ʎ u
abiagune	a β̞ i a ɣ̞ u n e
abialdi	a β̞ i a l̪ d̪ i
abiamen	a β̞ i a m ẽ n
abian	a β̞ i ã n
abiapuntu	a β̞ i a p ũ n̪ t̪ u
abiarazi	a β̞ i a ɾ a s̻ i
abiarazi	a β̞ i a ɾ a s̻ i
abiarazi	a β̞ i a ɾ a s̺ i
abiarazle	a β̞ i a ɾ a z̻ l e
abiarazle	a β̞ i a ɾ a z̻ l e
abiarazle	a β̞ i a ɾ a z̺ l e
abiasari	a β̞ i a s̺ a ɾ i
abiatu	a β̞ i a t̪ u
abiatzaile	a β̞ i a t͡s̻ a i̯ l e
abiatzaile	a β̞ i a t͡s̻ a ʎ e
abiazio	a β̞ i a s̻ i o
abiazio	a β̞ i a s̻ i o
abiazio	a β̞ i a s̺ i o
abil	a β̞ i l
abildu	a β̞ i l̪ d̪ u
abilezia	a β̞ i l e s̻ i a
abilezia	a β̞ i l e s̻ i a
abilezia	a β̞ i l e s̺ i a
abilidade	a β̞ i l i ð̞ a ð̞ e
abilki	a β̞ i l k i
abiltasun	a β̞ i l̪ t̪ a s̺ ũ n
abio	a β̞ i o
abioneta	a β̞ i o n e t̪ a
abisal	a β̞ i s̺ a l
abisatu	a β̞ i s̺ a t̪ u
abisu	a β̞ i s̺ u
abitu	a β̞ i t̪ u
abixoi	a β̞ i ʃ o i̯
abizari	a β̞ i s̻ a ɾ i
abizari	a β̞ i s̻ a ɾ i
abizari	a β̞ i s̺ a ɾ i
abizen	a β̞ i s̻ ẽ n
abizen	a β̞ i s̻ ẽ n
abizen	a β̞ i s̺ ẽ n
abkhazera	a β̞ k a s̻ e ɾ a
abkhazera	a β̞ x a s̻ e ɾ a
abkhazera	a β̞ x a s̻ e ɾ a
abkhazera	a β̞ x a s̺ e ɾ a
Abkhazia	a β̞ k a s̻ i a
Abkhazia	a β̞ x a s̻ i a
Abkhazia	a β̞ x a s̻ i a
Abkhazia	a β̞ x a s̺ i a
abkhaziar	a β̞ k a s̻ i a r
abkhaziar	a β̞ x a s̻ i a r
abkhaziar	a β̞ x a s̻ i a r
abkhaziar	a β̞ x a s̺ i a r
abkhaziera	a β̞ k a s̻ i e ɾ a
abkhaziera	a β̞ x a s̻ i e ɾ a
abkhaziera	a β̞ x a s̻ i e ɾ a
abkhaziera	a β̞ x a s̺ i e ɾ a
ablatibo	a β̞ l a t̪ i β̞ o
ablazio	a β̞ l a s̻ i o
ablazio	a β̞ l a s̻ i o
ablazio	a β̞ l a s̺ i o
aboatu	a β̞ o a t̪ u
Aboitiz	a β̞ o i̯ t̪ i s̻
Aboitiz	a β̞ o i̯ t̪ i s̻
Aboitiz	a β̞ o i̯ t̪ i s̺
abokatu	a β̞ o k a t̪ u
abokatuk	a β̞ o k a t̪ u k
abokaturik	a β̞ o k a t̪ u ɾ i k
abokatutza	a β̞ o k a t̪ u t͡s̻ a
aboli	a β̞ o l i
abolitu	a β̞ o l i t̪ u
abolizio	a β̞ o l i s̻ i o
abolizio	a β̞ o l i s̻ i o
abolizio	a β̞ o l i s̺ i o
abolizionismo	a β̞ o l i s̻ i o n i z̺ m o
abolizionismo	a β̞ o l i s̻ i o n i z̺ m o
abolizionismo	a β̞ o l i s̺ i o n i z̺ m o
abolizionista	a β̞ o l i s̻ i o n i s̺ t̪ a
abolizionista	a β̞ o l i s̻ i o n i s̺ t̪ a
abolizionista	a β̞ o l i s̺ i o n i s̺ t̪ a
abonamendu	a β̞ o n a m ẽ n̪ d̪ u
abonatu	a β̞ o n a t̪ u
abondo	a β̞ õ n̪ d̪ o
abonitu	a β̞ o n i t̪ u
abonu	a β̞ o n u
abordatu	a β̞ o r ð̞ a t̪ u
abordatze	a β̞ o r ð̞ a t͡s̻ e
aborigen	a β̞ o ɾ i ɣ̞ ẽ n
aborin	a β̞ o ɾ ĩ n
aborritu	a β̞ o r i t̪ u
abortatu	a β̞ o r t̪ a t̪ u
abortatze	a β̞ o r t̪ a t͡s̻ e
abortu	a β̞ o r t̪ u
abortza	a β̞ o r t͡s̻ a
abrasio	a β̞ r a s̺ i o
abrigo	a β̞ r i ɣ̞ o
abrigu	a β̞ r i ɣ̞ u
abrikot	a β̞ r i k o t̪
abrikotondo	a β̞ r i k o t̪ õ n̪ d̪ o
abruska	a β̞ r u s̺ k a
absente	a β̞ s̺ ẽ n̪ t̪ e
absentismo	a β̞ s̺ ẽ n̪ t̪ i z̺ m o
absentzia	a β̞ s̺ ẽ n t͡s̻ i a
abside	a β̞ s̺ i ð̞ e
absolbitu	a β̞ s̺ o̞ l β̞ i t̪ u
absolutibo	a β̞ s̺ o l u t̪ i β̞ o
absolutismo	a β̞ s̺ o l u t̪ i z̺ m o
absolutista	a β̞ s̺ o l u t̪ i s̺ t̪ a
absolutu	a β̞ s̺ o l u t̪ u
absolutuki	a β̞ s̺ o l u t̪ u k i
absolututasun	a β̞ s̺ o l u t̪ u t̪ a s̺ ũ n
absoluzio	a β̞ s̺ o l u s̻ i o
absoluzio	a β̞ s̺ o l u s̻ i o
absoluzio	a β̞ s̺ o l u s̺ i o
absorbatu	a β̞ s̺ o̞ r β̞ a t̪ u
absortzio	a β̞ s̺ o r t͡s̻ i o
abstenitu	a β̞ s̺ t̪ e n i t̪ u
abstentzio	a β̞ s̺ t̪ ẽ n t͡s̻ i o
abstinentzia	a β̞ s̺ t̪ i n ẽ n t͡s̻ i a
abstinentzia	a β̞ s̺ t̪ i ɲ ẽ n t͡s̻ i a
abstraitu	a β̞ s̺ t̪ r a i̯ t̪ u
abstraktu	a β̞ s̺ t̪ r a k t̪ u
abstrakzio	a β̞ s̺ t̪ r a k s̻ i o
abstrakzio	a β̞ s̺ t̪ r a k s̻ i o
abstrakzio	a β̞ s̺ t̪ r a k s̺ i o
absurdo	a β̞ s̺ u r ð̞ o
abu	a β̞ u
Abundi	a β̞ ũ n̪ d̪ i
Abundio	a β̞ ũ n̪ d̪ i o
aburna	a β̞ u r n a
aburu	a β̞ u ɾ u
aburukide	a β̞ u ɾ u k i ð̞ e
aburumenka	a β̞ u ɾ u m e ŋ k a
aburuz	a β̞ u ɾ u s̻
aburuz	a β̞ u ɾ u s̻
aburuz	a β̞ u ɾ u s̺
abusatu	a β̞ u s̺ a t̪ u
abusu	a β̞ u s̺ u
abuztu	a β̞ u s̻ t̪ u
abuztu	a β̞ u s̻ t̪ u
abuztu	a β̞ u s̺ t̪ u
abzesu	a β̞ s̻ e s̺ u
abzesu	a β̞ s̻ e s̺ u
abzesu	a β̞ s̺ e s̺ u
abzisa	a β̞ s̻ i s̺ a
abzisa	a β̞ s̻ i s̺ a
abzisa	a β̞ s̺ i s̺ a
accesit	a k s̻ e s̺ i t̪
accesit	a k s̻ e s̺ i t̪
accesit	a k s̺ e s̺ i t̪
adabaki	a ð̞ a β̞ a k i
adabakitu	a ð̞ a β̞ a k i t̪ u
adabatu	a ð̞ a β̞ a t̪ u
adabegi	a ð̞ a β̞ e ɣ̞ i
adabegitsu	a ð̞ a β̞ e ɣ̞ i t͡s̺ u
adabegitsu	a ð̞ a β̞ e ɣ̞ i t͡s̺ u
adabegitsu	a ð̞ a β̞ e ɣ̞ i t͡s̻ u
adabeso	a ð̞ a β̞ e s̺ o
adaburu	a ð̞ a β̞ u ɾ u
adaburutu	a ð̞ a β̞ u ɾ u t̪ u
adagio	a ð̞ a ɣ̞ i o
adaje	a ð̞ a ʒ e
adaje	a ð̞ a x e
adakera	a ð̞ a k e ɾ a
adaki	a ð̞ a k i
adakitu	a ð̞ a k i t̪ u
adaptatu	a ð̞ a p t̪ a t̪ u
adar	a ð̞ a r
adarbakar	a ð̞ a r β̞ a k a r
adarbakoitz	a ð̞ a r β̞ a k o i̯ t͡s̻
adardun	a ð̞ a r ð̞ ũ n
adargabe	a ð̞ a r ɣ̞ a β̞ e
adarjotzaile	a ð̞ a r ɟ o t͡s̻ a i̯ l e
adarjotzaile	a ð̞ a r x o t͡s̻ a ʎ e
adarjotzaile	a ð̞ a r x o t͡s̻ a ʎ e
adarjotzaile	a ð̞ a r d͡ʒ o t͡s̻ a ʎ e
adarjotzaile	a ð̞ a r j o t͡s̻ a ʎ e
adarjotze	a ð̞ a r ɟ o t͡s̻ e
adarjotze	a ð̞ a r x o t͡s̻ e
adarjotze	a ð̞ a r x o t͡s̻ e
adarjotze	a ð̞ a r d͡ʒ o t͡s̻ e
adarjotze	a ð̞ a r j o t͡s̻ e
adarka	a ð̞ a r k a
adarkada	a ð̞ a r k a ð̞ a
adarkadura	a ð̞ a r k a ð̞ u ɾ a
adarkari	a ð̞ a r k a ɾ i
adarkatu	a ð̞ a r k a t̪ u
adarki	a ð̞ a r k i
adarmotz	a ð̞ a r m o t͡s̻
adaro	a ð̞ a ɾ o
adarreko	a ð̞ a r e k o
adarrondo	a ð̞ a r õ n̪ d̪ o
adarrondotsu	a ð̞ a r õ n̪ d̪ o t͡s̺ u
adarrondotsu	a ð̞ a r õ n̪ d̪ o t͡s̺ u
adarrondotsu	a ð̞ a r õ n̪ d̪ o t͡s̻ u
adartsu	a ð̞ a r t͡s̺ u
adartsu	a ð̞ a r t͡s̺ u
adartsu	a ð̞ a r t͡s̻ u
adartu	a ð̞ a r t̪ u
adarzabal	a ð̞ a r s̻ a β̞ a l
adarzabal	a ð̞ a r s̻ a β̞ a l
adarzabal	a ð̞ a r s̺ a β̞ a l
adasdun	a ð̞ a z̺ ð̞ ũ n
adastu	a ð̞ a s̺ t̪ u
adats	a ð̞ a t͡s̺
adats	a ð̞ a t͡s̺
adats	a ð̞ a t͡s̻
adausi	a ð̞ a u̯ s̺ i
adausika	a ð̞ a u̯ s̺ i k a
adaxka	a ð̞ a ʃ k a
adberbial	a ð̞ β̞ e r β̞ i a l
adberbio	a ð̞ β̞ e r β̞ i o
adegi	a ð̞ e ɣ̞ i
adei	a ð̞ e i̯
adeitasun	a ð̞ e i̯ t̪ a s̺ ũ n
adeitasunez	a ð̞ e i̯ t̪ a s̺ u n e s̻
adeitasunez	a ð̞ e i̯ t̪ a s̺ u n e s̻
adeitasunez	a ð̞ e i̯ t̪ a s̺ u n e s̺
adeitasunezko	a ð̞ e i̯ t̪ a s̺ u n e s̻ k o
adeitasunezko	a ð̞ e i̯ t̪ a s̺ u n e s̻ k o
adeitasunezko	a ð̞ e i̯ t̪ a s̺ u n e s̺ k o
adeitsu	a ð̞ e i̯ t͡s̺ u
adeitsu	a ð̞ e i̯ t͡s̺ u
adeitsu	a ð̞ e i̯ t͡s̻ u
adeitsuki	a ð̞ e i̯ t͡s̺ u k i
adeitsuki	a ð̞ e i̯ t͡s̺ u k i
adeitsuki	a ð̞ e i̯ t͡s̻ u k i
adelatu	a ð̞ e̞ l a t̪ u
adelazale	a ð̞ e l a s̻ a l e
adelazale	a ð̞ e l a s̻ a l e
adelazale	a ð̞ e l a s̺ a l e
adelu	a ð̞ e l u
adenina	a ð̞ e n i n a
adi	a ð̞ i
adia	a ð̞ i a
adiabatiko	a ð̞ i a β̞ a t̪ i k o
adiagile	a ð̞ i a ɣ̞ i l e
adiagile	a ð̞ i a ɣ̞ i ʎ e
adiaka	a ð̞ i a k a
adiakari	a ð̞ i a k a ɾ i
adiakatu	a ð̞ i a k a t̪ u
adian	a ð̞ i ã n
adibide	a ð̞ i β̞ i ð̞ e
adibidetegi	a ð̞ i β̞ i ð̞ e t̪ e ɣ̞ i
adibidez	a ð̞ i β̞ i ð̞ e s̻
adibidez	a ð̞ i β̞ i ð̞ e s̻
adibidez	a ð̞ i β̞ i ð̞ e s̺
adiera	a ð̞ i e ɾ a
adierabakar	a ð̞ i e ɾ a β̞ a k a r
adierazezin	a ð̞ i e ɾ a s̻ e s̻ ĩ n
adierazezin	a ð̞ i e ɾ a s̻ e s̻ ĩ n
adierazezin	a ð̞ i e ɾ a s̺ e s̺ ĩ n
adierazgarri	a ð̞ i e ɾ a z̻ ɣ̞ a r i
adierazgarri	a ð̞ i e ɾ a z̻ ɣ̞ a r i
adierazgarri	a ð̞ i e ɾ a z̺ ɣ̞ a r i
adierazgarritasun	a ð̞ i e ɾ a z̻ ɣ̞ a r i t̪ a s̺ ũ n
adierazgarritasun	a ð̞ i e ɾ a z̻ ɣ̞ a r i t̪ a s̺ ũ n
adierazgarritasun	a ð̞ i e ɾ a z̺ ɣ̞ a r i t̪ a s̺ ũ n
adierazi	a ð̞ i e ɾ a s̻ i
adierazi	a ð̞ i e ɾ a s̻ i
adierazi	a ð̞ i e ɾ a s̺ i
adierazkaitz	a ð̞ i e ɾ a s̻ k a i̯ t͡s̻
adierazkaitz	a ð̞ i e ɾ a s̻ k a i̯ t͡s̻
adierazkaitz	a ð̞ i e ɾ a s̺ k a i̯ t͡s̻
adierazkizun	a ð̞ i e ɾ a s̻ k i s̻ ũ n
adierazkizun	a ð̞ i e ɾ a s̻ k i s̻ ũ n
adierazkizun	a ð̞ i e ɾ a s̺ k i s̺ ũ n
adierazkor	a ð̞ i e ɾ a s̻ k o r
adierazkor	a ð̞ i e ɾ a s̻ k o r
adierazkor	a ð̞ i e ɾ a s̺ k o r
adierazkortasun	a ð̞ i e ɾ a s̻ k o r t̪ a s̺ ũ n
adierazkortasun	a ð̞ i e ɾ a s̻ k o r t̪ a s̺ ũ n
adierazkortasun	a ð̞ i e ɾ a s̺ k o r t̪ a s̺ ũ n
adierazle	a ð̞ i e ɾ a z̻ l e
adierazle	a ð̞ i e ɾ a z̻ l e
adierazle	a ð̞ i e ɾ a z̺ l e
adierazmolde	a ð̞ i e ɾ a z̻ m o l̪ d̪ e
adierazmolde	a ð̞ i e ɾ a z̻ m o l̪ d̪ e
adierazmolde	a ð̞ i e ɾ a z̺ m o l̪ d̪ e
adierazpen	a ð̞ i e ɾ a s̻ p ẽ n
adierazpen	a ð̞ i e ɾ a s̻ p ẽ n
adierazpen	a ð̞ i e ɾ a s̺ p ẽ n
adierazpide	a ð̞ i e ɾ a s̻ p i ð̞ e
adierazpide	a ð̞ i e ɾ a s̻ p i ð̞ e
adierazpide	a ð̞ i e ɾ a s̺ p i ð̞ e
adierazte	a ð̞ i e ɾ a s̻ t̪ e
adierazte	a ð̞ i e ɾ a s̻ t̪ e
adierazte	a ð̞ i e ɾ a s̺ t̪ e
adierraz	a ð̞ i e r a s̻
adierraz	a ð̞ i e r a s̻
adierraz	a ð̞ i e r a s̺
adierraztasun	a ð̞ i e r a s̻ t̪ a s̺ ũ n
adierraztasun	a ð̞ i e r a s̻ t̪ a s̺ ũ n
adierraztasun	a ð̞ i e r a s̺ t̪ a s̺ ũ n
adiezin	a ð̞ i e s̻ ĩ n
adiezin	a ð̞ i e s̻ ĩ n
adiezin	a ð̞ i e s̺ ĩ n
adigabe	a ð̞ i ɣ̞ a β̞ e
adigabetu	a ð̞ i ɣ̞ a β̞ e t̪ u
adigai	a ð̞ i ɣ̞ a i̯
adigaitz	a ð̞ i ɣ̞ a i̯ t͡s̻
adigaiztasun	a ð̞ i ɣ̞ a i̯ s̻ t̪ a s̺ ũ n
adigaiztasun	a ð̞ i ɣ̞ a i̯ s̻ t̪ a s̺ ũ n
adigaiztasun	a ð̞ i ɣ̞ a i̯ s̺ t̪ a s̺ ũ n
adigalkor	a ð̞ i ɣ̞ a l k o r
adigarri	a ð̞ i ɣ̞ a r i
adigarritasun	a ð̞ i ɣ̞ a r i t̪ a s̺ ũ n
adigogor	a ð̞ i ɣ̞ o ɣ̞ o r
adiguri	a ð̞ i ɣ̞ u ɾ i
adiguritsu	a ð̞ i ɣ̞ u ɾ i t͡s̺ u
adiguritsu	a ð̞ i ɣ̞ u ɾ i t͡s̺ u
adiguritsu	a ð̞ i ɣ̞ u ɾ i t͡s̻ u
adikatu	a ð̞ i k a t̪ u
adikor	a ð̞ i k o r
adikune	a ð̞ i k u n e
adimen	a ð̞ i m ẽ n
adimendu	a ð̞ i m ẽ n̪ d̪ u
adimendun	a ð̞ i m ẽ n̪ d̪ ũ n
adimengabe	a ð̞ i m e ŋ ɡ a β̞ e
adimentsu	a ð̞ i m ẽ n t͡s̺ u
adimentsu	a ð̞ i m ẽ n t͡s̺ u
adimentsu	a ð̞ i m ẽ n t͡s̻ u
adin	a ð̞ ĩ n
adiskide	a ð̞ i s̺ k i ð̞ e
adiskidetasun	a ð̞ i s̺ k i ð̞ e t̪ a s̺ ũ n
aditu	a ð̞ i t̪ u
aditz	a ð̞ i t͡s̻
aditzondo	a ð̞ i t͡s̻ õ n̪ d̪ o
adizki	a ð̞ i s̻ k i
adizki	a ð̞ i s̻ k i
adizki	a ð̞ i s̺ k i
adizkitegi	a ð̞ i s̻ k i t̪ e ɣ̞ i
adizkitegi	a ð̞ i s̻ k i t̪ e ɣ̞ i
adizkitegi	a ð̞ i s̺ k i t̪ e ɣ̞ i
administratzaile	a ð̞ m i n i s̺ t̪ r a t͡s̻ a i̯ l e
administratzaile	a ð̞ m i n i s̺ t̪ r a t͡s̻ a ʎ e
Adolba	a ð̞ o l β̞ a
adore	a ð̞ o ɾ e
ados	a ð̞ o s̺
adoste	a ð̞ o s̺ t̪ e
adosten	a ð̞ o s̺ t̪ ẽ n
adostu	a ð̞ o s̺ t̪ u
adostuko	a ð̞ o s̺ t̪ u k o
adreilu	a ð̞ r e i̯ l u
adreilu	a ð̞ r e ʎ u
adur	a ð̞ u r
aerobik	a e ɾ o β̞ i k
aerobiko	a e ɾ o β̞ i k o
aerobio	a e ɾ o β̞ i o
aerodinamika	a e ɾ o ð̞ i n a m i k a
aerodinamiko	a e ɾ o ð̞ i n a m i k o
aerodromo	a e ɾ o ð̞ r o m o
aeroespazial	a e̞ ɾ o̞ e̞ s̺ p a s̻ i a l
aeroklub	a e̞ ɾ o̞ k l u β̞
aerolabaingailu	a e ɾ o l a β̞ a i̯ ŋ ɡ a i̯ l u
aerolabaingailu	a e ɾ o l a β̞ a i̯ ŋ ɡ a ʎ u
aerolito	a e ɾ o l i t̪ o
aerometro	a e ɾ o m e t̪ r o
aeromodelismo	a e ɾ o m o ð̞ e l i z̺ m o
